game,2017,13,20171203,201712030atl,min,"Minnesota Vikings",14,atl,"Atlanta Falcons",9
player,201712030atl,min,TreaLa00,rec_long,9,,,,,
player,201712030atl,min,TreaLa00,fumbles,0,,,,,
player,201712030atl,min,TreaLa00,fumbles_lost,0,,,,,
player,201712030atl,atl,RyanMa00,pass_cmp,16,,,,,
player,201712030atl,atl,RyanMa00,pass_att,29,,,,,
player,201712030atl,atl,RyanMa00,pass_yds,173,,,,,
player,201712030atl,atl,RyanMa00,pass_td,0,,,,,
player,201712030atl,atl,RyanMa00,pass_int,0,,,,,
player,201712030atl,atl,RyanMa00,pass_sacked,0,,,,,
player,201712030atl,atl,RyanMa00,pass_sacked_yds,0,,,,,
player,201712030atl,atl,RyanMa00,pass_long,20,,,,,
player,201712030atl,atl,RyanMa00,pass_rating,72.9,,,,,
player,201712030atl,atl,RyanMa00,rush_att,1,,,,,
player,201712030atl,atl,RyanMa00,rush_yds,1,,,,,
player,201712030atl,atl,RyanMa00,rush_td,0,,,,,
player,201712030atl,atl,RyanMa00,rush_long,1,,,,,
player,201712030atl,atl,RyanMa00,targets,0,,,,,
player,201712030atl,atl,RyanMa00,rec,0,,,,,
player,201712030atl,atl,RyanMa00,rec_yds,0,,,,,
player,201712030atl,atl,RyanMa00,rec_td,0,,,,,
player,201712030atl,atl,RyanMa00,rec_long,0,,,,,
player,201712030atl,atl,RyanMa00,fumbles,0,,,,,
player,201712030atl,atl,RyanMa00,fumbles_lost,0,,,,,
player,201712030atl,atl,FreeDe00,pass_cmp,0,,,,,
player,201712030atl,atl,FreeDe00,pass_att,0,,,,,
player,201712030atl,atl,FreeDe00,pass_yds,0,,,,,
player,201712030atl,atl,FreeDe00,pass_td,0,,,,,
player,201712030atl,atl,FreeDe00,pass_int,0,,,,,
player,201712030atl,atl,FreeDe00,pass_sacked,0,,,,,
player,201712030atl,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201712030atl,atl,FreeDe00,pass_long,0,,,,,
player,201712030atl,atl,FreeDe00,pass_rating,,,,,,
player,201712030atl,atl,FreeDe00,rush_att,12,,,,,
player,201712030atl,atl,FreeDe00,rush_yds,74,,,,,
player,201712030atl,atl,FreeDe00,rush_td,0,,,,,
player,201712030atl,atl,FreeDe00,rush_long,13,,,,,
player,201712030atl,atl,FreeDe00,targets,2,,,,,
player,201712030atl,atl,FreeDe00,rec,1,,,,,
player,201712030atl,atl,FreeDe00,rec_yds,7,,,,,
player,201712030atl,atl,FreeDe00,rec_td,0,,,,,
player,201712030atl,atl,FreeDe00,rec_long,7,,,,,
player,201712030atl,atl,FreeDe00,fumbles,0,,,,,
player,201712030atl,atl,FreeDe00,fumbles_lost,0,,,,,
player,201712030atl,atl,ColeTe01,pass_cmp,0,,,,,
player,201712030atl,atl,ColeTe01,pass_att,0,,,,,
player,201712030atl,atl,ColeTe01,pass_yds,0,,,,,
player,201712030atl,atl,ColeTe01,pass_td,0,,,,,
player,201712030atl,atl,ColeTe01,pass_int,0,,,,,
player,201712030atl,atl,ColeTe01,pass_sacked,0,,,,,
player,201712030atl,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201712030atl,atl,ColeTe01,pass_long,0,,,,,
player,201712030atl,atl,ColeTe01,pass_rating,,,,,,
player,201712030atl,atl,ColeTe01,rush_att,8,,,,,
player,201712030atl,atl,ColeTe01,rush_yds,22,,,,,
player,201712030atl,atl,ColeTe01,rush_td,0,,,,,
player,201712030atl,atl,ColeTe01,rush_long,6,,,,,
player,201712030atl,atl,ColeTe01,targets,6,,,,,
player,201712030atl,atl,ColeTe01,rec,3,,,,,
player,201712030atl,atl,ColeTe01,rec_yds,27,,,,,
player,201712030atl,atl,ColeTe01,rec_td,0,,,,,
player,201712030atl,atl,ColeTe01,rec_long,15,,,,,
player,201712030atl,atl,ColeTe01,fumbles,0,,,,,
player,201712030atl,atl,ColeTe01,fumbles_lost,0,,,,,
player,201712030atl,atl,GabrTa00,pass_cmp,0,,,,,
player,201712030atl,atl,GabrTa00,pass_att,0,,,,,
player,201712030atl,atl,GabrTa00,pass_yds,0,,,,,
player,201712030atl,atl,GabrTa00,pass_td,0,,,,,
player,201712030atl,atl,GabrTa00,pass_int,0,,,,,
player,201712030atl,atl,GabrTa00,pass_sacked,0,,,,,
player,201712030atl,atl,GabrTa00,pass_sacked_yds,0,,,,,
player,201712030atl,atl,GabrTa00,pass_long,0,,,,,
player,201712030atl,atl,GabrTa00,pass_rating,,,,,,
player,201712030atl,atl,GabrTa00,rush_att,1,,,,,
player,201712030atl,atl,GabrTa00,rush_yds,5,,,,,
player,201712030atl,atl,GabrTa00,rush_td,0,,,,,
player,201712030atl,atl,GabrTa00,rush_long,5,,,,,
player,201712030atl,atl,GabrTa00,targets,2,,,,,
player,201712030atl,atl,GabrTa00,rec,1,,,,,
player,201712030atl,atl,GabrTa00,rec_yds,6,,,,,
player,201712030atl,atl,GabrTa00,rec_td,0,,,,,
player,201712030atl,atl,GabrTa00,rec_long,6,,,,,
player,201712030atl,atl,GabrTa00,fumbles,0,,,,,
player,201712030atl,atl,GabrTa00,fumbles_lost,0,,,,,
player,201712030atl,atl,SanuMo00,pass_cmp,0,,,,,
player,201712030atl,atl,SanuMo00,pass_att,0,,,,,
player,201712030atl,atl,SanuMo00,pass_yds,0,,,,,
player,201712030atl,atl,SanuMo00,pass_td,0,,,,,
player,201712030atl,atl,SanuMo00,pass_int,0,,,,,
player,201712030atl,atl,SanuMo00,pass_sacked,0,,,,,
player,201712030atl,atl,SanuMo00,pass_sacked_yds,0,,,,,
player,201712030atl,atl,SanuMo00,pass_long,0,,,,,
player,201712030atl,atl,SanuMo00,pass_rating,,,,,,
player,201712030atl,atl,SanuMo00,rush_att,0,,,,,
player,201712030atl,atl,SanuMo00,rush_yds,0,,,,,
player,201712030atl,atl,SanuMo00,rush_td,0,,,,,
player,201712030atl,atl,SanuMo00,rush_long,0,,,,,
player,201712030atl,atl,SanuMo00,targets,5,,,,,
