game,2017,2,20170917,201709170sdg,mia,"Miami Dolphins",19,sdg,"Los Angeles Chargers",17
player,201709170sdg,mia,DrakKe00,rec_td,0,,,,,
player,201709170sdg,mia,DrakKe00,rec_long,0,,,,,
player,201709170sdg,mia,DrakKe00,fumbles,0,,,,,
player,201709170sdg,mia,DrakKe00,fumbles_lost,0,,,,,
player,201709170sdg,sdg,RivePh00,pass_cmp,31,,,,,
player,201709170sdg,sdg,RivePh00,pass_att,39,,,,,
player,201709170sdg,sdg,RivePh00,pass_yds,331,,,,,
player,201709170sdg,sdg,RivePh00,pass_td,1,,,,,
player,201709170sdg,sdg,RivePh00,pass_int,0,,,,,
player,201709170sdg,sdg,RivePh00,pass_sacked,1,,,,,
player,201709170sdg,sdg,RivePh00,pass_sacked_yds,8,,,,,
player,201709170sdg,sdg,RivePh00,pass_long,24,,,,,
player,201709170sdg,sdg,RivePh00,pass_rating,110.6,,,,,
player,201709170sdg,sdg,RivePh00,rush_att,1,,,,,
player,201709170sdg,sdg,RivePh00,rush_yds,0,,,,,
player,201709170sdg,sdg,RivePh00,rush_td,0,,,,,
player,201709170sdg,sdg,RivePh00,rush_long,0,,,,,
player,201709170sdg,sdg,RivePh00,targets,0,,,,,
player,201709170sdg,sdg,RivePh00,rec,0,,,,,
player,201709170sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201709170sdg,sdg,RivePh00,rec_td,0,,,,,
player,201709170sdg,sdg,RivePh00,rec_long,0,,,,,
player,201709170sdg,sdg,RivePh00,fumbles,0,,,,,
player,201709170sdg,sdg,RivePh00,fumbles_lost,0,,,,,
player,201709170sdg,sdg,OlivBr01,pass_cmp,0,,,,,
player,201709170sdg,sdg,OlivBr01,pass_att,0,,,,,
player,201709170sdg,sdg,OlivBr01,pass_yds,0,,,,,
player,201709170sdg,sdg,OlivBr01,pass_td,0,,,,,
player,201709170sdg,sdg,OlivBr01,pass_int,0,,,,,
player,201709170sdg,sdg,OlivBr01,pass_sacked,0,,,,,
player,201709170sdg,sdg,OlivBr01,pass_sacked_yds,0,,,,,
player,201709170sdg,sdg,OlivBr01,pass_long,0,,,,,
player,201709170sdg,sdg,OlivBr01,pass_rating,,,,,,
player,201709170sdg,sdg,OlivBr01,rush_att,3,,,,,
player,201709170sdg,sdg,OlivBr01,rush_yds,31,,,,,
player,201709170sdg,sdg,OlivBr01,rush_td,0,,,,,
player,201709170sdg,sdg,OlivBr01,rush_long,26,,,,,
player,201709170sdg,sdg,OlivBr01,targets,0,,,,,
player,201709170sdg,sdg,OlivBr01,rec,0,,,,,
player,201709170sdg,sdg,OlivBr01,rec_yds,0,,,,,
player,201709170sdg,sdg,OlivBr01,rec_td,0,,,,,
player,201709170sdg,sdg,OlivBr01,rec_long,0,,,,,
player,201709170sdg,sdg,OlivBr01,fumbles,0,,,,,
player,201709170sdg,sdg,OlivBr01,fumbles_lost,0,,,,,
player,201709170sdg,sdg,GordMe00,pass_cmp,0,,,,,
player,201709170sdg,sdg,GordMe00,pass_att,0,,,,,
player,201709170sdg,sdg,GordMe00,pass_yds,0,,,,,
player,201709170sdg,sdg,GordMe00,pass_td,0,,,,,
player,201709170sdg,sdg,GordMe00,pass_int,0,,,,,
player,201709170sdg,sdg,GordMe00,pass_sacked,0,,,,,
player,201709170sdg,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201709170sdg,sdg,GordMe00,pass_long,0,,,,,
player,201709170sdg,sdg,GordMe00,pass_rating,,,,,,
player,201709170sdg,sdg,GordMe00,rush_att,9,,,,,
player,201709170sdg,sdg,GordMe00,rush_yds,13,,,,,
player,201709170sdg,sdg,GordMe00,rush_td,1,,,,,
player,201709170sdg,sdg,GordMe00,rush_long,11,,,,,
player,201709170sdg,sdg,GordMe00,targets,8,,,,,
player,201709170sdg,sdg,GordMe00,rec,7,,,,,
player,201709170sdg,sdg,GordMe00,rec_yds,65,,,,,
player,201709170sdg,sdg,GordMe00,rec_td,0,,,,,
player,201709170sdg,sdg,GordMe00,rec_long,16,,,,,
player,201709170sdg,sdg,GordMe00,fumbles,0,,,,,
player,201709170sdg,sdg,GordMe00,fumbles_lost,0,,,,,
player,201709170sdg,sdg,AlleKe00,pass_cmp,0,,,,,
player,201709170sdg,sdg,AlleKe00,pass_att,0,,,,,
player,201709170sdg,sdg,AlleKe00,pass_yds,0,,,,,
player,201709170sdg,sdg,AlleKe00,pass_td,0,,,,,
player,201709170sdg,sdg,AlleKe00,pass_int,0,,,,,
player,201709170sdg,sdg,AlleKe00,pass_sacked,0,,,,,
player,201709170sdg,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201709170sdg,sdg,AlleKe00,pass_long,0,,,,,
player,201709170sdg,sdg,AlleKe00,pass_rating,,,,,,
player,201709170sdg,sdg,AlleKe00,rush_att,0,,,,,
player,201709170sdg,sdg,AlleKe00,rush_yds,0,,,,,
player,201709170sdg,sdg,AlleKe00,rush_td,0,,,,,
player,201709170sdg,sdg,AlleKe00,rush_long,0,,,,,
