game,2017,2,20170917,201709170kan,phi,"Philadelphia Eagles",20,kan,"Kansas City Chiefs",27
player,201709170kan,kan,SmitAl03,pass_sacked_yds,19,,,,,
player,201709170kan,kan,SmitAl03,pass_long,44,,,,,
player,201709170kan,kan,SmitAl03,pass_rating,113.8,,,,,
player,201709170kan,kan,SmitAl03,rush_att,4,,,,,
player,201709170kan,kan,SmitAl03,rush_yds,21,,,,,
player,201709170kan,kan,SmitAl03,rush_td,0,,,,,
player,201709170kan,kan,SmitAl03,rush_long,12,,,,,
player,201709170kan,kan,SmitAl03,targets,0,,,,,
player,201709170kan,kan,SmitAl03,rec,0,,,,,
player,201709170kan,kan,SmitAl03,rec_yds,0,,,,,
player,201709170kan,kan,SmitAl03,rec_td,0,,,,,
player,201709170kan,kan,SmitAl03,rec_long,0,,,,,
player,201709170kan,kan,SmitAl03,fumbles,0,,,,,
player,201709170kan,kan,SmitAl03,fumbles_lost,0,,,,,
player,201709170kan,kan,HuntKa00,pass_cmp,0,,,,,
player,201709170kan,kan,HuntKa00,pass_att,0,,,,,
player,201709170kan,kan,HuntKa00,pass_yds,0,,,,,
player,201709170kan,kan,HuntKa00,pass_td,0,,,,,
player,201709170kan,kan,HuntKa00,pass_int,0,,,,,
player,201709170kan,kan,HuntKa00,pass_sacked,0,,,,,
player,201709170kan,kan,HuntKa00,pass_sacked_yds,0,,,,,
player,201709170kan,kan,HuntKa00,pass_long,0,,,,,
player,201709170kan,kan,HuntKa00,pass_rating,,,,,,
player,201709170kan,kan,HuntKa00,rush_att,13,,,,,
player,201709170kan,kan,HuntKa00,rush_yds,81,,,,,
player,201709170kan,kan,HuntKa00,rush_td,2,,,,,
player,201709170kan,kan,HuntKa00,rush_long,53,,,,,
player,201709170kan,kan,HuntKa00,targets,3,,,,,
player,201709170kan,kan,HuntKa00,rec,3,,,,,
player,201709170kan,kan,HuntKa00,rec_yds,28,,,,,
player,201709170kan,kan,HuntKa00,rec_td,0,,,,,
player,201709170kan,kan,HuntKa00,rec_long,16,,,,,
player,201709170kan,kan,HuntKa00,fumbles,0,,,,,
player,201709170kan,kan,HuntKa00,fumbles_lost,0,,,,,
player,201709170kan,kan,HillTy00,pass_cmp,0,,,,,
player,201709170kan,kan,HillTy00,pass_att,0,,,,,
player,201709170kan,kan,HillTy00,pass_yds,0,,,,,
player,201709170kan,kan,HillTy00,pass_td,0,,,,,
player,201709170kan,kan,HillTy00,pass_int,0,,,,,
player,201709170kan,kan,HillTy00,pass_sacked,0,,,,,
player,201709170kan,kan,HillTy00,pass_sacked_yds,0,,,,,
player,201709170kan,kan,HillTy00,pass_long,0,,,,,
player,201709170kan,kan,HillTy00,pass_rating,,,,,,
player,201709170kan,kan,HillTy00,rush_att,1,,,,,
player,201709170kan,kan,HillTy00,rush_yds,6,,,,,
player,201709170kan,kan,HillTy00,rush_td,0,,,,,
player,201709170kan,kan,HillTy00,rush_long,6,,,,,
player,201709170kan,kan,HillTy00,targets,6,,,,,
player,201709170kan,kan,HillTy00,rec,4,,,,,
player,201709170kan,kan,HillTy00,rec_yds,43,,,,,
player,201709170kan,kan,HillTy00,rec_td,0,,,,,
player,201709170kan,kan,HillTy00,rec_long,18,,,,,
player,201709170kan,kan,HillTy00,fumbles,0,,,,,
player,201709170kan,kan,HillTy00,fumbles_lost,0,,,,,
player,201709170kan,kan,WilsAl02,pass_cmp,0,,,,,
player,201709170kan,kan,WilsAl02,pass_att,0,,,,,
player,201709170kan,kan,WilsAl02,pass_yds,0,,,,,
player,201709170kan,kan,WilsAl02,pass_td,0,,,,,
player,201709170kan,kan,WilsAl02,pass_int,0,,,,,
player,201709170kan,kan,WilsAl02,pass_sacked,0,,,,,
player,201709170kan,kan,WilsAl02,pass_sacked_yds,0,,,,,
player,201709170kan,kan,WilsAl02,pass_long,0,,,,,
player,201709170kan,kan,WilsAl02,pass_rating,,,,,,
player,201709170kan,kan,WilsAl02,rush_att,1,,,,,
player,201709170kan,kan,WilsAl02,rush_yds,4,,,,,
player,201709170kan,kan,WilsAl02,rush_td,0,,,,,
player,201709170kan,kan,WilsAl02,rush_long,4,,,,,
player,201709170kan,kan,WilsAl02,targets,3,,,,,
player,201709170kan,kan,WilsAl02,rec,2,,,,,
player,201709170kan,kan,WilsAl02,rec_yds,22,,,,,
player,201709170kan,kan,WilsAl02,rec_td,0,,,,,
player,201709170kan,kan,WilsAl02,rec_long,12,,,,,
player,201709170kan,kan,WilsAl02,fumbles,0,,,,,
player,201709170kan,kan,WilsAl02,fumbles_lost,0,,,,,
player,201709170kan,kan,KelcTr00,pass_cmp,0,,,,,
player,201709170kan,kan,KelcTr00,pass_att,0,,,,,
player,201709170kan,kan,KelcTr00,pass_yds,0,,,,,
player,201709170kan,kan,KelcTr00,pass_td,0,,,,,
player,201709170kan,kan,KelcTr00,pass_int,0,,,,,
player,201709170kan,kan,KelcTr00,pass_sacked,0,,,,,
player,201709170kan,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201709170kan,kan,KelcTr00,pass_long,0,,,,,
player,201709170kan,kan,KelcTr00,pass_rating,,,,,,
player,201709170kan,kan,KelcTr00,rush_att,0,,,,,
player,201709170kan,kan,KelcTr00,rush_yds,0,,,,,
player,201709170kan,kan,KelcTr00,rush_td,0,,,,,
player,201709170kan,kan,KelcTr00,rush_long,0,,,,,
player,201709170kan,kan,KelcTr00,targets,10,,,,,
player,201709170kan,kan,KelcTr00,rec,8,,,,,
player,201709170kan,kan,KelcTr00,rec_yds,103,,,,,
player,201709170kan,kan,KelcTr00,rec_td,1,,,,,
player,201709170kan,kan,KelcTr00,rec_long,44,,,,,
player,201709170kan,kan,KelcTr00,fumbles,0,,,,,
player,201709170kan,kan,KelcTr00,fumbles_lost,0,,,,,
player,201709170kan,kan,ConlCh00,pass_cmp,0,,,,,
player,201709170kan,kan,ConlCh00,pass_att,0,,,,,
player,201709170kan,kan,ConlCh00,pass_yds,0,,,,,
player,201709170kan,kan,ConlCh00,pass_td,0,,,,,
player,201709170kan,kan,ConlCh00,pass_int,0,,,,,
player,201709170kan,kan,ConlCh00,pass_sacked,0,,,,,
player,201709170kan,kan,ConlCh00,pass_sacked_yds,0,,,,,
player,201709170kan,kan,ConlCh00,pass_long,0,,,,,
player,201709170kan,kan,ConlCh00,pass_rating,,,,,,
player,201709170kan,kan,ConlCh00,rush_att,0,,,,,
player,201709170kan,kan,ConlCh00,rush_yds,0,,,,,
player,201709170kan,kan,ConlCh00,rush_td,0,,,,,
player,201709170kan,kan,ConlCh00,rush_long,0,,,,,
player,201709170kan,kan,ConlCh00,targets,4,,,,,
player,201709170kan,kan,ConlCh00,rec,4,,,,,
player,201709170kan,kan,ConlCh00,rec_yds,55,,,,,
player,201709170kan,kan,ConlCh00,rec_td,0,,,,,
player,201709170kan,kan,ConlCh00,rec_long,35,,,,,
player,201709170kan,kan,ConlCh00,fumbles,0,,,,,
player,201709170kan,kan,ConlCh00,fumbles_lost,0,,,,,
player,201709170kan,kan,TravRo00,pass_cmp,0,,,,,
player,201709170kan,kan,TravRo00,pass_att,0,,,,,
player,201709170kan,kan,TravRo00,pass_yds,0,,,,,
player,201709170kan,kan,TravRo00,pass_td,0,,,,,
player,201709170kan,kan,TravRo00,pass_int,0,,,,,
player,201709170kan,kan,TravRo00,pass_sacked,0,,,,,
player,201709170kan,kan,TravRo00,pass_sacked_yds,0,,,,,
player,201709170kan,kan,TravRo00,pass_long,0,,,,,
player,201709170kan,kan,TravRo00,pass_rating,,,,,,
player,201709170kan,kan,TravRo00,rush_att,0,,,,,
player,201709170kan,kan,TravRo00,rush_yds,0,,,,,
player,201709170kan,kan,TravRo00,rush_td,0,,,,,
player,201709170kan,kan,TravRo00,rush_long,0,,,,,
player,201709170kan,kan,TravRo00,targets,1,,,,,
player,201709170kan,kan,TravRo00,rec,0,,,,,
player,201709170kan,kan,TravRo00,rec_yds,0,,,,,
player,201709170kan,kan,TravRo00,rec_td,0,,,,,
player,201709170kan,kan,TravRo00,rec_long,0,,,,,
player,201709170kan,kan,TravRo00,fumbles,0,,,,,
player,201709170kan,kan,TravRo00,fumbles_lost,0,,,,,
player,201709170kan,phi,KendMy00,def_int,0,,,,,
player,201709170kan,phi,KendMy00,def_int_yds,0,,,,,
player,201709170kan,phi,KendMy00,def_int_td,0,,,,,
player,201709170kan,phi,KendMy00,def_int_long,0,,,,,
player,201709170kan,phi,KendMy00,pass_defended,1,,,,,
player,201709170kan,phi,KendMy00,sacks,1.0,,,,,
player,201709170kan,phi,KendMy00,tackles_combined,4,,,,,
player,201709170kan,phi,KendMy00,tackles_solo,4,,,,,
player,201709170kan,phi,KendMy00,tackles_assists,0,,,,,
player,201709170kan,phi,KendMy00,tackles_loss,2,,,,,
player,201709170kan,phi,KendMy00,qb_hits,1,,,,,
player,201709170kan,phi,KendMy00,fumbles_rec,0,,,,,
player,201709170kan,phi,KendMy00,fumbles_rec_yds,0,,,,,
player,201709170kan,phi,KendMy00,fumbles_rec_td,0,,,,,
player,201709170kan,phi,KendMy00,fumbles_forced,0,,,,,
player,201709170kan,phi,CoxxFl00,def_int,0,,,,,
player,201709170kan,phi,CoxxFl00,def_int_yds,0,,,,,
player,201709170kan,phi,CoxxFl00,def_int_td,0,,,,,
player,201709170kan,phi,CoxxFl00,def_int_long,0,,,,,
player,201709170kan,phi,CoxxFl00,pass_defended,0,,,,,
player,201709170kan,phi,CoxxFl00,sacks,1.0,,,,,
player,201709170kan,phi,CoxxFl00,tackles_combined,2,,,,,
player,201709170kan,phi,CoxxFl00,tackles_solo,2,,,,,
player,201709170kan,phi,CoxxFl00,tackles_assists,0,,,,,
player,201709170kan,phi,CoxxFl00,tackles_loss,1,,,,,
player,201709170kan,phi,CoxxFl00,qb_hits,1,,,,,
player,201709170kan,phi,CoxxFl00,fumbles_rec,0,,,,,
player,201709170kan,phi,CoxxFl00,fumbles_rec_yds,0,,,,,
player,201709170kan,phi,CoxxFl00,fumbles_rec_td,0,,,,,
player,201709170kan,phi,CoxxFl00,fumbles_forced,0,,,,,
player,201709170kan,phi,LongCh99,def_int,0,,,,,
player,201709170kan,phi,LongCh99,def_int_yds,0,,,,,
player,201709170kan,phi,LongCh99,def_int_td,0,,,,,
player,201709170kan,phi,LongCh99,def_int_long,0,,,,,
player,201709170kan,phi,LongCh99,pass_defended,0,,,,,
player,201709170kan,phi,LongCh99,sacks,1.0,,,,,
player,201709170kan,phi,LongCh99,tackles_combined,1,,,,,
player,201709170kan,phi,LongCh99,tackles_solo,1,,,,,
player,201709170kan,phi,LongCh99,tackles_assists,0,,,,,
player,201709170kan,phi,LongCh99,tackles_loss,1,,,,,
player,201709170kan,phi,LongCh99,qb_hits,1,,,,,
player,201709170kan,phi,LongCh99,fumbles_rec,0,,,,,
player,201709170kan,phi,LongCh99,fumbles_rec_yds,0,,,,,
player,201709170kan,phi,LongCh99,fumbles_rec_td,0,,,,,
player,201709170kan,phi,LongCh99,fumbles_forced,0,,,,,
player,201709170kan,phi,GrahBr99,def_int,0,,,,,
player,201709170kan,phi,GrahBr99,def_int_yds,0,,,,,
player,201709170kan,phi,GrahBr99,def_int_td,0,,,,,
player,201709170kan,phi,GrahBr99,def_int_long,0,,,,,
player,201709170kan,phi,GrahBr99,pass_defended,0,,,,,
player,201709170kan,phi,GrahBr99,sacks,0.5,,,,,
player,201709170kan,phi,GrahBr99,tackles_combined,4,,,,,
player,201709170kan,phi,GrahBr99,tackles_solo,2,,,,,
player,201709170kan,phi,GrahBr99,tackles_assists,2,,,,,
player,201709170kan,phi,GrahBr99,tackles_loss,0,,,,,
player,201709170kan,phi,GrahBr99,qb_hits,1,,,,,
player,201709170kan,phi,GrahBr99,fumbles_rec,0,,,,,
player,201709170kan,phi,GrahBr99,fumbles_rec_yds,0,,,,,
player,201709170kan,phi,GrahBr99,fumbles_rec_td,0,,,,,
player,201709170kan,phi,GrahBr99,fumbles_forced,0,,,,,
player,201709170kan,phi,JernTi00,def_int,0,,,,,
player,201709170kan,phi,JernTi00,def_int_yds,0,,,,,
player,201709170kan,phi,JernTi00,def_int_td,0,,,,,
player,201709170kan,phi,JernTi00,def_int_long,0,,,,,
player,201709170kan,phi,JernTi00,pass_defended,0,,,,,
player,201709170kan,phi,JernTi00,sacks,0.5,,,,,
player,201709170kan,phi,JernTi00,tackles_combined,4,,,,,
player,201709170kan,phi,JernTi00,tackles_solo,2,,,,,
player,201709170kan,phi,JernTi00,tackles_assists,2,,,,,
player,201709170kan,phi,JernTi00,tackles_loss,1,,,,,
player,201709170kan,phi,JernTi00,qb_hits,1,,,,,
player,201709170kan,phi,JernTi00,fumbles_rec,0,,,,,
player,201709170kan,phi,JernTi00,fumbles_rec_yds,0,,,,,
player,201709170kan,phi,JernTi00,fumbles_rec_td,0,,,,,
player,201709170kan,phi,JernTi00,fumbles_forced,0,,,,,
player,201709170kan,phi,JenkMa99,def_int,0,,,,,
player,201709170kan,phi,JenkMa99,def_int_yds,0,,,,,
player,201709170kan,phi,JenkMa99,def_int_td,0,,,,,
player,201709170kan,phi,JenkMa99,def_int_long,0,,,,,
player,201709170kan,phi,JenkMa99,pass_defended,0,,,,,
player,201709170kan,phi,JenkMa99,sacks,0.0,,,,,
player,201709170kan,phi,JenkMa99,tackles_combined,5,,,,,
player,201709170kan,phi,JenkMa99,tackles_solo,5,,,,,
player,201709170kan,phi,JenkMa99,tackles_assists,0,,,,,
player,201709170kan,phi,JenkMa99,tackles_loss,0,,,,,
player,201709170kan,phi,JenkMa99,qb_hits,0,,,,,
