game,2017,5,20171009,201710090chi,min,"Minnesota Vikings",20,chi,"Chicago Bears",17
player,201710090chi,chi,TrubMi00,pass_sacked_yds,7,,,,,
player,201710090chi,chi,TrubMi00,pass_long,20,,,,,
player,201710090chi,chi,TrubMi00,pass_rating,60.1,,,,,
player,201710090chi,chi,TrubMi00,rush_att,3,,,,,
player,201710090chi,chi,TrubMi00,rush_yds,22,,,,,
player,201710090chi,chi,TrubMi00,rush_td,0,,,,,
player,201710090chi,chi,TrubMi00,rush_long,13,,,,,
player,201710090chi,chi,TrubMi00,targets,0,,,,,
player,201710090chi,chi,TrubMi00,rec,0,,,,,
player,201710090chi,chi,TrubMi00,rec_yds,0,,,,,
player,201710090chi,chi,TrubMi00,rec_td,0,,,,,
player,201710090chi,chi,TrubMi00,rec_long,0,,,,,
player,201710090chi,chi,TrubMi00,fumbles,1,,,,,
player,201710090chi,chi,TrubMi00,fumbles_lost,1,,,,,
player,201710090chi,chi,ODonPa00,pass_cmp,1,,,,,
player,201710090chi,chi,ODonPa00,pass_att,1,,,,,
player,201710090chi,chi,ODonPa00,pass_yds,38,,,,,
player,201710090chi,chi,ODonPa00,pass_td,1,,,,,
player,201710090chi,chi,ODonPa00,pass_int,0,,,,,
player,201710090chi,chi,ODonPa00,pass_sacked,0,,,,,
player,201710090chi,chi,ODonPa00,pass_sacked_yds,0,,,,,
player,201710090chi,chi,ODonPa00,pass_long,38,,,,,
player,201710090chi,chi,ODonPa00,pass_rating,158.3,,,,,
player,201710090chi,chi,ODonPa00,rush_att,0,,,,,
player,201710090chi,chi,ODonPa00,rush_yds,0,,,,,
player,201710090chi,chi,ODonPa00,rush_td,0,,,,,
player,201710090chi,chi,ODonPa00,rush_long,0,,,,,
player,201710090chi,chi,ODonPa00,targets,0,,,,,
player,201710090chi,chi,ODonPa00,rec,0,,,,,
player,201710090chi,chi,ODonPa00,rec_yds,0,,,,,
player,201710090chi,chi,ODonPa00,rec_td,0,,,,,
player,201710090chi,chi,ODonPa00,rec_long,0,,,,,
player,201710090chi,chi,ODonPa00,fumbles,0,,,,,
player,201710090chi,chi,ODonPa00,fumbles_lost,0,,,,,
player,201710090chi,chi,HowaJo00,pass_cmp,0,,,,,
player,201710090chi,chi,HowaJo00,pass_att,0,,,,,
player,201710090chi,chi,HowaJo00,pass_yds,0,,,,,
player,201710090chi,chi,HowaJo00,pass_td,0,,,,,
player,201710090chi,chi,HowaJo00,pass_int,0,,,,,
player,201710090chi,chi,HowaJo00,pass_sacked,0,,,,,
player,201710090chi,chi,HowaJo00,pass_sacked_yds,0,,,,,
player,201710090chi,chi,HowaJo00,pass_long,0,,,,,
player,201710090chi,chi,HowaJo00,pass_rating,,,,,,
player,201710090chi,chi,HowaJo00,rush_att,19,,,,,
player,201710090chi,chi,HowaJo00,rush_yds,76,,,,,
player,201710090chi,chi,HowaJo00,rush_td,0,,,,,
player,201710090chi,chi,HowaJo00,rush_long,13,,,,,
player,201710090chi,chi,HowaJo00,targets,0,,,,,
player,201710090chi,chi,HowaJo00,rec,0,,,,,
player,201710090chi,chi,HowaJo00,rec_yds,0,,,,,
player,201710090chi,chi,HowaJo00,rec_td,0,,,,,
player,201710090chi,chi,HowaJo00,rec_long,0,,,,,
player,201710090chi,chi,HowaJo00,fumbles,0,,,,,
player,201710090chi,chi,HowaJo00,fumbles_lost,0,,,,,
player,201710090chi,chi,CoheTa00,pass_cmp,0,,,,,
player,201710090chi,chi,CoheTa00,pass_att,0,,,,,
player,201710090chi,chi,CoheTa00,pass_yds,0,,,,,
player,201710090chi,chi,CoheTa00,pass_td,0,,,,,
player,201710090chi,chi,CoheTa00,pass_int,0,,,,,
player,201710090chi,chi,CoheTa00,pass_sacked,0,,,,,
player,201710090chi,chi,CoheTa00,pass_sacked_yds,0,,,,,
player,201710090chi,chi,CoheTa00,pass_long,0,,,,,
player,201710090chi,chi,CoheTa00,pass_rating,,,,,,
player,201710090chi,chi,CoheTa00,rush_att,6,,,,,
player,201710090chi,chi,CoheTa00,rush_yds,13,,,,,
player,201710090chi,chi,CoheTa00,rush_td,0,,,,,
player,201710090chi,chi,CoheTa00,rush_long,7,,,,,
player,201710090chi,chi,CoheTa00,targets,1,,,,,
player,201710090chi,chi,CoheTa00,rec,1,,,,,
player,201710090chi,chi,CoheTa00,rec_yds,-6,,,,,
player,201710090chi,chi,CoheTa00,rec_td,0,,,,,
player,201710090chi,chi,CoheTa00,rec_long,-3,,,,,
player,201710090chi,chi,CoheTa00,fumbles,0,,,,,
player,201710090chi,chi,CoheTa00,fumbles_lost,0,,,,,
player,201710090chi,chi,CunnBe01,pass_cmp,0,,,,,
player,201710090chi,chi,CunnBe01,pass_att,0,,,,,
player,201710090chi,chi,CunnBe01,pass_yds,0,,,,,
player,201710090chi,chi,CunnBe01,pass_td,0,,,,,
player,201710090chi,chi,CunnBe01,pass_int,0,,,,,
player,201710090chi,chi,CunnBe01,pass_sacked,0,,,,,
player,201710090chi,chi,CunnBe01,pass_sacked_yds,0,,,,,
player,201710090chi,chi,CunnBe01,pass_long,0,,,,,
player,201710090chi,chi,CunnBe01,pass_rating,,,,,,
player,201710090chi,chi,CunnBe01,rush_att,1,,,,,
player,201710090chi,chi,CunnBe01,rush_yds,4,,,,,
player,201710090chi,chi,CunnBe01,rush_td,0,,,,,
player,201710090chi,chi,CunnBe01,rush_long,4,,,,,
player,201710090chi,chi,CunnBe01,targets,4,,,,,
player,201710090chi,chi,CunnBe01,rec,2,,,,,
player,201710090chi,chi,CunnBe01,rec_yds,43,,,,,
player,201710090chi,chi,CunnBe01,rec_td,1,,,,,
player,201710090chi,chi,CunnBe01,rec_long,38,,,,,
player,201710090chi,chi,CunnBe01,fumbles,0,,,,,
player,201710090chi,chi,CunnBe01,fumbles_lost,0,,,,,
player,201710090chi,chi,WrigKe01,pass_cmp,0,,,,,
player,201710090chi,chi,WrigKe01,pass_att,0,,,,,
