game,2017,13,20171203,201712030rav,det,"Detroit Lions",20,rav,"Baltimore Ravens",44
player,201712030rav,det,TateGo00,fumbles,0,,,,,
player,201712030rav,det,TateGo00,fumbles_lost,0,,,,,
player,201712030rav,det,GollKe00,pass_cmp,0,,,,,
player,201712030rav,det,GollKe00,pass_att,0,,,,,
player,201712030rav,det,GollKe00,pass_yds,0,,,,,
player,201712030rav,det,GollKe00,pass_td,0,,,,,
player,201712030rav,det,GollKe00,pass_int,0,,,,,
player,201712030rav,det,GollKe00,pass_sacked,0,,,,,
player,201712030rav,det,GollKe00,pass_sacked_yds,0,,,,,
player,201712030rav,det,GollKe00,pass_long,0,,,,,
player,201712030rav,det,GollKe00,pass_rating,,,,,,
player,201712030rav,det,GollKe00,rush_att,0,,,,,
player,201712030rav,det,GollKe00,rush_yds,0,,,,,
player,201712030rav,det,GollKe00,rush_td,0,,,,,
player,201712030rav,det,GollKe00,rush_long,0,,,,,
player,201712030rav,det,GollKe00,targets,3,,,,,
player,201712030rav,det,GollKe00,rec,2,,,,,
player,201712030rav,det,GollKe00,rec_yds,44,,,,,
player,201712030rav,det,GollKe00,rec_td,0,,,,,
player,201712030rav,det,GollKe00,rec_long,31,,,,,
player,201712030rav,det,GollKe00,fumbles,0,,,,,
player,201712030rav,det,GollKe00,fumbles_lost,0,,,,,
player,201712030rav,det,EbroEr00,pass_cmp,0,,,,,
player,201712030rav,det,EbroEr00,pass_att,0,,,,,
player,201712030rav,det,EbroEr00,pass_yds,0,,,,,
player,201712030rav,det,EbroEr00,pass_td,0,,,,,
player,201712030rav,det,EbroEr00,pass_int,0,,,,,
player,201712030rav,det,EbroEr00,pass_sacked,0,,,,,
player,201712030rav,det,EbroEr00,pass_sacked_yds,0,,,,,
player,201712030rav,det,EbroEr00,pass_long,0,,,,,
player,201712030rav,det,EbroEr00,pass_rating,,,,,,
player,201712030rav,det,EbroEr00,rush_att,0,,,,,
player,201712030rav,det,EbroEr00,rush_yds,0,,,,,
player,201712030rav,det,EbroEr00,rush_td,0,,,,,
player,201712030rav,det,EbroEr00,rush_long,0,,,,,
player,201712030rav,det,EbroEr00,targets,4,,,,,
player,201712030rav,det,EbroEr00,rec,4,,,,,
player,201712030rav,det,EbroEr00,rec_yds,38,,,,,
player,201712030rav,det,EbroEr00,rec_td,0,,,,,
player,201712030rav,det,EbroEr00,rec_long,13,,,,,
player,201712030rav,det,EbroEr00,fumbles,0,,,,,
player,201712030rav,det,EbroEr00,fumbles_lost,0,,,,,
player,201712030rav,det,RobeMi01,pass_cmp,0,,,,,
player,201712030rav,det,RobeMi01,pass_att,0,,,,,
player,201712030rav,det,RobeMi01,pass_yds,0,,,,,
player,201712030rav,det,RobeMi01,pass_td,0,,,,,
player,201712030rav,det,RobeMi01,pass_int,0,,,,,
player,201712030rav,det,RobeMi01,pass_sacked,0,,,,,
player,201712030rav,det,RobeMi01,pass_sacked_yds,0,,,,,
player,201712030rav,det,RobeMi01,pass_long,0,,,,,
player,201712030rav,det,RobeMi01,pass_rating,,,,,,
player,201712030rav,det,RobeMi01,rush_att,0,,,,,
player,201712030rav,det,RobeMi01,rush_yds,0,,,,,
player,201712030rav,det,RobeMi01,rush_td,0,,,,,
player,201712030rav,det,RobeMi01,rush_long,0,,,,,
player,201712030rav,det,RobeMi01,targets,1,,,,,
player,201712030rav,det,RobeMi01,rec,1,,,,,
player,201712030rav,det,RobeMi01,rec_yds,23,,,,,
player,201712030rav,det,RobeMi01,rec_td,0,,,,,
player,201712030rav,det,RobeMi01,rec_long,23,,,,,
player,201712030rav,det,RobeMi01,fumbles,0,,,,,
player,201712030rav,det,RobeMi01,fumbles_lost,0,,,,,
player,201712030rav,det,FellDa01,pass_cmp,0,,,,,
player,201712030rav,det,FellDa01,pass_att,0,,,,,
player,201712030rav,det,FellDa01,pass_yds,0,,,,,
player,201712030rav,det,FellDa01,pass_td,0,,,,,
player,201712030rav,det,FellDa01,pass_int,0,,,,,
player,201712030rav,det,FellDa01,pass_sacked,0,,,,,
player,201712030rav,det,FellDa01,pass_sacked_yds,0,,,,,
player,201712030rav,det,FellDa01,pass_long,0,,,,,
player,201712030rav,det,FellDa01,pass_rating,,,,,,
player,201712030rav,det,FellDa01,rush_att,0,,,,,
player,201712030rav,det,FellDa01,rush_yds,0,,,,,
player,201712030rav,det,FellDa01,rush_td,0,,,,,
player,201712030rav,det,FellDa01,rush_long,0,,,,,
player,201712030rav,det,FellDa01,targets,2,,,,,
player,201712030rav,det,FellDa01,rec,2,,,,,
player,201712030rav,det,FellDa01,rec_yds,10,,,,,
player,201712030rav,det,FellDa01,rec_td,0,,,,,
player,201712030rav,det,FellDa01,rec_long,8,,,,,
player,201712030rav,det,FellDa01,fumbles,0,,,,,
player,201712030rav,det,FellDa01,fumbles_lost,0,,,,,
player,201712030rav,det,BellNi01,pass_cmp,0,,,,,
player,201712030rav,det,BellNi01,pass_att,0,,,,,
player,201712030rav,det,BellNi01,pass_yds,0,,,,,
player,201712030rav,det,BellNi01,pass_td,0,,,,,
player,201712030rav,det,BellNi01,pass_int,0,,,,,
player,201712030rav,det,BellNi01,pass_sacked,0,,,,,
player,201712030rav,det,BellNi01,pass_sacked_yds,0,,,,,
player,201712030rav,det,BellNi01,pass_long,0,,,,,
player,201712030rav,det,BellNi01,pass_rating,,,,,,
player,201712030rav,det,BellNi01,rush_att,0,,,,,
player,201712030rav,det,BellNi01,rush_yds,0,,,,,
player,201712030rav,det,BellNi01,rush_td,0,,,,,
player,201712030rav,det,BellNi01,rush_long,0,,,,,
player,201712030rav,det,BellNi01,targets,1,,,,,
player,201712030rav,det,BellNi01,rec,1,,,,,
player,201712030rav,det,BellNi01,rec_yds,1,,,,,
player,201712030rav,det,BellNi01,rec_td,1,,,,,
player,201712030rav,det,BellNi01,rec_long,1,,,,,
player,201712030rav,det,BellNi01,fumbles,0,,,,,
player,201712030rav,det,BellNi01,fumbles_lost,0,,,,,
player,201712030rav,rav,FlacJo00,pass_cmp,23,,,,,
player,201712030rav,rav,FlacJo00,pass_att,36,,,,,
player,201712030rav,rav,FlacJo00,pass_yds,269,,,,,
player,201712030rav,rav,FlacJo00,pass_td,2,,,,,
player,201712030rav,rav,FlacJo00,pass_int,0,,,,,
player,201712030rav,rav,FlacJo00,pass_sacked,0,,,,,
player,201712030rav,rav,FlacJo00,pass_sacked_yds,0,,,,,
player,201712030rav,rav,FlacJo00,pass_long,66,,,,,
player,201712030rav,rav,FlacJo00,pass_rating,105.0,,,,,
player,201712030rav,rav,FlacJo00,rush_att,1,,,,,
player,201712030rav,rav,FlacJo00,rush_yds,-1,,,,,
player,201712030rav,rav,FlacJo00,rush_td,0,,,,,
player,201712030rav,rav,FlacJo00,rush_long,-1,,,,,
player,201712030rav,rav,FlacJo00,targets,0,,,,,
player,201712030rav,rav,FlacJo00,rec,0,,,,,
player,201712030rav,rav,FlacJo00,rec_yds,0,,,,,
player,201712030rav,rav,FlacJo00,rec_td,0,,,,,
player,201712030rav,rav,FlacJo00,rec_long,0,,,,,
player,201712030rav,rav,FlacJo00,fumbles,0,,,,,
player,201712030rav,rav,FlacJo00,fumbles_lost,0,,,,,
player,201712030rav,rav,CollAl00,pass_cmp,0,,,,,
player,201712030rav,rav,CollAl00,pass_att,0,,,,,
player,201712030rav,rav,CollAl00,pass_yds,0,,,,,
player,201712030rav,rav,CollAl00,pass_td,0,,,,,
player,201712030rav,rav,CollAl00,pass_int,0,,,,,
player,201712030rav,rav,CollAl00,pass_sacked,0,,,,,
player,201712030rav,rav,CollAl00,pass_sacked_yds,0,,,,,
player,201712030rav,rav,CollAl00,pass_long,0,,,,,
player,201712030rav,rav,CollAl00,pass_rating,,,,,,
player,201712030rav,rav,CollAl00,rush_att,15,,,,,
player,201712030rav,rav,CollAl00,rush_yds,75,,,,,
player,201712030rav,rav,CollAl00,rush_td,2,,,,,
player,201712030rav,rav,CollAl00,rush_long,11,,,,,
player,201712030rav,rav,CollAl00,targets,2,,,,,
player,201712030rav,rav,CollAl00,rec,2,,,,,
player,201712030rav,rav,CollAl00,rec_yds,23,,,,,
player,201712030rav,rav,CollAl00,rec_td,0,,,,,
player,201712030rav,rav,CollAl00,rec_long,14,,,,,
player,201712030rav,rav,CollAl00,fumbles,0,,,,,
player,201712030rav,rav,CollAl00,fumbles_lost,0,,,,,
player,201712030rav,rav,AlleJa01,pass_cmp,0,,,,,
player,201712030rav,rav,AlleJa01,pass_att,0,,,,,
player,201712030rav,rav,AlleJa01,pass_yds,0,,,,,
player,201712030rav,rav,AlleJa01,pass_td,0,,,,,
player,201712030rav,rav,AlleJa01,pass_int,0,,,,,
player,201712030rav,rav,AlleJa01,pass_sacked,0,,,,,
player,201712030rav,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201712030rav,rav,AlleJa01,pass_long,0,,,,,
player,201712030rav,rav,AlleJa01,pass_rating,,,,,,
player,201712030rav,rav,AlleJa01,rush_att,7,,,,,
player,201712030rav,rav,AlleJa01,rush_yds,22,,,,,
player,201712030rav,rav,AlleJa01,rush_td,0,,,,,
player,201712030rav,rav,AlleJa01,rush_long,10,,,,,
player,201712030rav,rav,AlleJa01,targets,1,,,,,
player,201712030rav,rav,AlleJa01,rec,1,,,,,
player,201712030rav,rav,AlleJa01,rec_yds,4,,,,,
player,201712030rav,rav,AlleJa01,rec_td,0,,,,,
player,201712030rav,rav,AlleJa01,rec_long,4,,,,,
player,201712030rav,rav,AlleJa01,fumbles,0,,,,,
player,201712030rav,rav,AlleJa01,fumbles_lost,0,,,,,
player,201712030rav,rav,WoodDa02,pass_cmp,0,,,,,
player,201712030rav,rav,WoodDa02,pass_att,0,,,,,
player,201712030rav,rav,WoodDa02,pass_yds,0,,,,,
player,201712030rav,rav,WoodDa02,pass_td,0,,,,,
player,201712030rav,rav,WoodDa02,pass_int,0,,,,,
player,201712030rav,rav,WoodDa02,pass_sacked,0,,,,,
player,201712030rav,rav,WoodDa02,pass_sacked_yds,0,,,,,
player,201712030rav,rav,WoodDa02,pass_long,0,,,,,
player,201712030rav,rav,WoodDa02,pass_rating,,,,,,
player,201712030rav,rav,WoodDa02,rush_att,3,,,,,
player,201712030rav,rav,WoodDa02,rush_yds,9,,,,,
player,201712030rav,rav,WoodDa02,rush_td,0,,,,,
player,201712030rav,rav,WoodDa02,rush_long,5,,,,,
player,201712030rav,rav,WoodDa02,targets,2,,,,,
