game,2017,16,20171223,201712230gnb,min,"Minnesota Vikings",16,gnb,"Green Bay Packers",0
player,201712230gnb,min,ThieAd00,pass_cmp,0,,,,,
player,201712230gnb,min,ThieAd00,pass_att,0,,,,,
player,201712230gnb,min,ThieAd00,pass_yds,0,,,,,
player,201712230gnb,min,ThieAd00,pass_td,0,,,,,
player,201712230gnb,min,ThieAd00,pass_int,0,,,,,
player,201712230gnb,min,ThieAd00,pass_sacked,0,,,,,
player,201712230gnb,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201712230gnb,min,ThieAd00,pass_long,0,,,,,
player,201712230gnb,min,ThieAd00,pass_rating,,,,,,
player,201712230gnb,min,ThieAd00,rush_att,0,,,,,
player,201712230gnb,min,ThieAd00,rush_yds,0,,,,,
player,201712230gnb,min,ThieAd00,rush_td,0,,,,,
player,201712230gnb,min,ThieAd00,rush_long,0,,,,,
player,201712230gnb,min,ThieAd00,targets,6,,,,,
player,201712230gnb,min,ThieAd00,rec,2,,,,,
player,201712230gnb,min,ThieAd00,rec_yds,24,,,,,
player,201712230gnb,min,ThieAd00,rec_td,0,,,,,
player,201712230gnb,min,ThieAd00,rec_long,21,,,,,
player,201712230gnb,min,ThieAd00,fumbles,0,,,,,
player,201712230gnb,min,ThieAd00,fumbles_lost,0,,,,,
player,201712230gnb,min,WrigJa02,pass_cmp,0,,,,,
player,201712230gnb,min,WrigJa02,pass_att,0,,,,,
player,201712230gnb,min,WrigJa02,pass_yds,0,,,,,
player,201712230gnb,min,WrigJa02,pass_td,0,,,,,
player,201712230gnb,min,WrigJa02,pass_int,0,,,,,
player,201712230gnb,min,WrigJa02,pass_sacked,0,,,,,
player,201712230gnb,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201712230gnb,min,WrigJa02,pass_long,0,,,,,
player,201712230gnb,min,WrigJa02,pass_rating,,,,,,
player,201712230gnb,min,WrigJa02,rush_att,0,,,,,
player,201712230gnb,min,WrigJa02,rush_yds,0,,,,,
player,201712230gnb,min,WrigJa02,rush_td,0,,,,,
player,201712230gnb,min,WrigJa02,rush_long,0,,,,,
player,201712230gnb,min,WrigJa02,targets,2,,,,,
player,201712230gnb,min,WrigJa02,rec,1,,,,,
player,201712230gnb,min,WrigJa02,rec_yds,8,,,,,
player,201712230gnb,min,WrigJa02,rec_td,0,,,,,
player,201712230gnb,min,WrigJa02,rec_long,8,,,,,
player,201712230gnb,min,WrigJa02,fumbles,0,,,,,
player,201712230gnb,min,WrigJa02,fumbles_lost,0,,,,,
player,201712230gnb,min,RudoKy00,pass_cmp,0,,,,,
player,201712230gnb,min,RudoKy00,pass_att,0,,,,,
player,201712230gnb,min,RudoKy00,pass_yds,0,,,,,
player,201712230gnb,min,RudoKy00,pass_td,0,,,,,
player,201712230gnb,min,RudoKy00,pass_int,0,,,,,
player,201712230gnb,min,RudoKy00,pass_sacked,0,,,,,
player,201712230gnb,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201712230gnb,min,RudoKy00,pass_long,0,,,,,
player,201712230gnb,min,RudoKy00,pass_rating,,,,,,
player,201712230gnb,min,RudoKy00,rush_att,0,,,,,
player,201712230gnb,min,RudoKy00,rush_yds,0,,,,,
player,201712230gnb,min,RudoKy00,rush_td,0,,,,,
player,201712230gnb,min,RudoKy00,rush_long,0,,,,,
player,201712230gnb,min,RudoKy00,targets,1,,,,,
player,201712230gnb,min,RudoKy00,rec,1,,,,,
player,201712230gnb,min,RudoKy00,rec_yds,6,,,,,
player,201712230gnb,min,RudoKy00,rec_td,0,,,,,
player,201712230gnb,min,RudoKy00,rec_long,6,,,,,
player,201712230gnb,min,RudoKy00,fumbles,0,,,,,
player,201712230gnb,min,RudoKy00,fumbles_lost,0,,,,,
player,201712230gnb,min,FloyMi00,pass_cmp,0,,,,,
