game,2017,1,20170910,201709100ram,clt,"Indianapolis Colts",9,ram,"Los Angeles Rams",46
player,201709100ram,clt,TurbRo00,pass_att,0,,,,,
player,201709100ram,clt,TurbRo00,pass_yds,0,,,,,
player,201709100ram,clt,TurbRo00,pass_td,0,,,,,
player,201709100ram,clt,TurbRo00,pass_int,0,,,,,
player,201709100ram,clt,TurbRo00,pass_sacked,0,,,,,
player,201709100ram,clt,TurbRo00,pass_sacked_yds,0,,,,,
player,201709100ram,clt,TurbRo00,pass_long,0,,,,,
player,201709100ram,clt,TurbRo00,pass_rating,,,,,,
player,201709100ram,clt,TurbRo00,rush_att,2,,,,,
player,201709100ram,clt,TurbRo00,rush_yds,7,,,,,
player,201709100ram,clt,TurbRo00,rush_td,0,,,,,
player,201709100ram,clt,TurbRo00,rush_long,5,,,,,
player,201709100ram,clt,TurbRo00,targets,1,,,,,
player,201709100ram,clt,TurbRo00,rec,1,,,,,
player,201709100ram,clt,TurbRo00,rec_yds,-4,,,,,
player,201709100ram,clt,TurbRo00,rec_td,0,,,,,
player,201709100ram,clt,TurbRo00,rec_long,-4,,,,,
player,201709100ram,clt,TurbRo00,fumbles,0,,,,,
player,201709100ram,clt,TurbRo00,fumbles_lost,0,,,,,
player,201709100ram,clt,HiltT.00,pass_cmp,0,,,,,
player,201709100ram,clt,HiltT.00,pass_att,0,,,,,
player,201709100ram,clt,HiltT.00,pass_yds,0,,,,,
player,201709100ram,clt,HiltT.00,pass_td,0,,,,,
player,201709100ram,clt,HiltT.00,pass_int,0,,,,,
player,201709100ram,clt,HiltT.00,pass_sacked,0,,,,,
player,201709100ram,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201709100ram,clt,HiltT.00,pass_long,0,,,,,
player,201709100ram,clt,HiltT.00,pass_rating,,,,,,
player,201709100ram,clt,HiltT.00,rush_att,0,,,,,
player,201709100ram,clt,HiltT.00,rush_yds,0,,,,,
player,201709100ram,clt,HiltT.00,rush_td,0,,,,,
player,201709100ram,clt,HiltT.00,rush_long,0,,,,,
player,201709100ram,clt,HiltT.00,targets,7,,,,,
player,201709100ram,clt,HiltT.00,rec,3,,,,,
player,201709100ram,clt,HiltT.00,rec_yds,57,,,,,
player,201709100ram,clt,HiltT.00,rec_td,0,,,,,
player,201709100ram,clt,HiltT.00,rec_long,32,,,,,
player,201709100ram,clt,HiltT.00,fumbles,1,,,,,
player,201709100ram,clt,HiltT.00,fumbles_lost,1,,,,,
player,201709100ram,clt,MoncDo00,pass_cmp,0,,,,,
player,201709100ram,clt,MoncDo00,pass_att,0,,,,,
player,201709100ram,clt,MoncDo00,pass_yds,0,,,,,
player,201709100ram,clt,MoncDo00,pass_td,0,,,,,
player,201709100ram,clt,MoncDo00,pass_int,0,,,,,
player,201709100ram,clt,MoncDo00,pass_sacked,0,,,,,
player,201709100ram,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201709100ram,clt,MoncDo00,pass_long,0,,,,,
player,201709100ram,clt,MoncDo00,pass_rating,,,,,,
player,201709100ram,clt,MoncDo00,rush_att,0,,,,,
player,201709100ram,clt,MoncDo00,rush_yds,0,,,,,
player,201709100ram,clt,MoncDo00,rush_td,0,,,,,
player,201709100ram,clt,MoncDo00,rush_long,0,,,,,
player,201709100ram,clt,MoncDo00,targets,4,,,,,
player,201709100ram,clt,MoncDo00,rec,1,,,,,
player,201709100ram,clt,MoncDo00,rec_yds,50,,,,,
player,201709100ram,clt,MoncDo00,rec_td,0,,,,,
player,201709100ram,clt,MoncDo00,rec_long,50,,,,,
player,201709100ram,clt,MoncDo00,fumbles,0,,,,,
player,201709100ram,clt,MoncDo00,fumbles_lost,0,,,,,
player,201709100ram,clt,DoylJa00,pass_cmp,0,,,,,
player,201709100ram,clt,DoylJa00,pass_att,0,,,,,
player,201709100ram,clt,DoylJa00,pass_yds,0,,,,,
player,201709100ram,clt,DoylJa00,pass_td,0,,,,,
player,201709100ram,clt,DoylJa00,pass_int,0,,,,,
player,201709100ram,clt,DoylJa00,pass_sacked,0,,,,,
player,201709100ram,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201709100ram,clt,DoylJa00,pass_long,0,,,,,
player,201709100ram,clt,DoylJa00,pass_rating,,,,,,
player,201709100ram,clt,DoylJa00,rush_att,0,,,,,
player,201709100ram,clt,DoylJa00,rush_yds,0,,,,,
player,201709100ram,clt,DoylJa00,rush_td,0,,,,,
player,201709100ram,clt,DoylJa00,rush_long,0,,,,,
player,201709100ram,clt,DoylJa00,targets,3,,,,,
player,201709100ram,clt,DoylJa00,rec,2,,,,,
player,201709100ram,clt,DoylJa00,rec_yds,41,,,,,
player,201709100ram,clt,DoylJa00,rec_td,0,,,,,
player,201709100ram,clt,DoylJa00,rec_long,21,,,,,
player,201709100ram,clt,DoylJa00,fumbles,0,,,,,
player,201709100ram,clt,DoylJa00,fumbles_lost,0,,,,,
player,201709100ram,clt,AikeKa00,pass_cmp,0,,,,,
player,201709100ram,clt,AikeKa00,pass_att,0,,,,,
player,201709100ram,clt,AikeKa00,pass_yds,0,,,,,
player,201709100ram,clt,AikeKa00,pass_td,0,,,,,
player,201709100ram,clt,AikeKa00,pass_int,0,,,,,
player,201709100ram,clt,AikeKa00,pass_sacked,0,,,,,
player,201709100ram,clt,AikeKa00,pass_sacked_yds,0,,,,,
player,201709100ram,clt,AikeKa00,pass_long,0,,,,,
player,201709100ram,clt,AikeKa00,pass_rating,,,,,,
player,201709100ram,clt,AikeKa00,rush_att,0,,,,,
player,201709100ram,clt,AikeKa00,rush_yds,0,,,,,
player,201709100ram,clt,AikeKa00,rush_td,0,,,,,
player,201709100ram,clt,AikeKa00,rush_long,0,,,,,
player,201709100ram,clt,AikeKa00,targets,2,,,,,
player,201709100ram,clt,AikeKa00,rec,1,,,,,
player,201709100ram,clt,AikeKa00,rec_yds,3,,,,,
player,201709100ram,clt,AikeKa00,rec_td,0,,,,,
player,201709100ram,clt,AikeKa00,rec_long,3,,,,,
player,201709100ram,clt,AikeKa00,fumbles,0,,,,,
player,201709100ram,clt,AikeKa00,fumbles_lost,0,,,,,
player,201709100ram,clt,HazeMa01,pass_cmp,0,,,,,
player,201709100ram,clt,HazeMa01,pass_att,0,,,,,
player,201709100ram,clt,HazeMa01,pass_yds,0,,,,,
player,201709100ram,clt,HazeMa01,pass_td,0,,,,,
player,201709100ram,clt,HazeMa01,pass_int,0,,,,,
player,201709100ram,clt,HazeMa01,pass_sacked,0,,,,,
player,201709100ram,clt,HazeMa01,pass_sacked_yds,0,,,,,
player,201709100ram,clt,HazeMa01,pass_long,0,,,,,
player,201709100ram,clt,HazeMa01,pass_rating,,,,,,
player,201709100ram,clt,HazeMa01,rush_att,0,,,,,
player,201709100ram,clt,HazeMa01,rush_yds,0,,,,,
player,201709100ram,clt,HazeMa01,rush_td,0,,,,,
player,201709100ram,clt,HazeMa01,rush_long,0,,,,,
player,201709100ram,clt,HazeMa01,targets,1,,,,,
player,201709100ram,clt,HazeMa01,rec,1,,,,,
player,201709100ram,clt,HazeMa01,rec_yds,1,,,,,
player,201709100ram,clt,HazeMa01,rec_td,0,,,,,
player,201709100ram,clt,HazeMa01,rec_long,1,,,,,
player,201709100ram,clt,HazeMa01,fumbles,0,,,,,
player,201709100ram,clt,HazeMa01,fumbles_lost,0,,,,,
player,201709100ram,clt,BrayQu00,pass_cmp,0,,,,,
player,201709100ram,clt,BrayQu00,pass_att,0,,,,,
player,201709100ram,clt,BrayQu00,pass_yds,0,,,,,
player,201709100ram,clt,BrayQu00,pass_td,0,,,,,
player,201709100ram,clt,BrayQu00,pass_int,0,,,,,
player,201709100ram,clt,BrayQu00,pass_sacked,0,,,,,
player,201709100ram,clt,BrayQu00,pass_sacked_yds,0,,,,,
player,201709100ram,clt,BrayQu00,pass_long,0,,,,,
player,201709100ram,clt,BrayQu00,pass_rating,,,,,,
player,201709100ram,clt,BrayQu00,rush_att,0,,,,,
player,201709100ram,clt,BrayQu00,rush_yds,0,,,,,
player,201709100ram,clt,BrayQu00,rush_td,0,,,,,
player,201709100ram,clt,BrayQu00,rush_long,0,,,,,
player,201709100ram,clt,BrayQu00,targets,1,,,,,
player,201709100ram,clt,BrayQu00,rec,0,,,,,
player,201709100ram,clt,BrayQu00,rec_yds,0,,,,,
player,201709100ram,clt,BrayQu00,rec_td,0,,,,,
player,201709100ram,clt,BrayQu00,rec_long,0,,,,,
player,201709100ram,clt,BrayQu00,fumbles,0,,,,,
player,201709100ram,clt,BrayQu00,fumbles_lost,0,,,,,
player,201709100ram,ram,GoffJa00,pass_cmp,21,,,,,
player,201709100ram,ram,GoffJa00,pass_att,29,,,,,
player,201709100ram,ram,GoffJa00,pass_yds,306,,,,,
player,201709100ram,ram,GoffJa00,pass_td,1,,,,,
player,201709100ram,ram,GoffJa00,pass_int,0,,,,,
player,201709100ram,ram,GoffJa00,pass_sacked,1,,,,,
player,201709100ram,ram,GoffJa00,pass_sacked_yds,8,,,,,
player,201709100ram,ram,GoffJa00,pass_long,39,,,,,
player,201709100ram,ram,GoffJa00,pass_rating,117.9,,,,,
player,201709100ram,ram,GoffJa00,rush_att,1,,,,,
player,201709100ram,ram,GoffJa00,rush_yds,2,,,,,
player,201709100ram,ram,GoffJa00,rush_td,0,,,,,
player,201709100ram,ram,GoffJa00,rush_long,2,,,,,
player,201709100ram,ram,GoffJa00,targets,0,,,,,
player,201709100ram,ram,GoffJa00,rec,0,,,,,
player,201709100ram,ram,GoffJa00,rec_yds,0,,,,,
player,201709100ram,ram,GoffJa00,rec_td,0,,,,,
player,201709100ram,ram,GoffJa00,rec_long,0,,,,,
player,201709100ram,ram,GoffJa00,fumbles,0,,,,,
player,201709100ram,ram,GoffJa00,fumbles_lost,0,,,,,
player,201709100ram,ram,MannSe00,pass_cmp,1,,,,,
player,201709100ram,ram,MannSe00,pass_att,1,,,,,
player,201709100ram,ram,MannSe00,pass_yds,12,,,,,
player,201709100ram,ram,MannSe00,pass_td,0,,,,,
player,201709100ram,ram,MannSe00,pass_int,0,,,,,
player,201709100ram,ram,MannSe00,pass_sacked,0,,,,,
player,201709100ram,ram,MannSe00,pass_sacked_yds,0,,,,,
player,201709100ram,ram,MannSe00,pass_long,12,,,,,
player,201709100ram,ram,MannSe00,pass_rating,116.7,,,,,
player,201709100ram,ram,MannSe00,rush_att,3,,,,,
player,201709100ram,ram,MannSe00,rush_yds,-7,,,,,
player,201709100ram,ram,MannSe00,rush_td,0,,,,,
player,201709100ram,ram,MannSe00,rush_long,-2,,,,,
player,201709100ram,ram,MannSe00,targets,0,,,,,
player,201709100ram,ram,MannSe00,rec,0,,,,,
player,201709100ram,ram,MannSe00,rec_yds,0,,,,,
player,201709100ram,ram,MannSe00,rec_td,0,,,,,
player,201709100ram,ram,MannSe00,rec_long,0,,,,,
player,201709100ram,ram,MannSe00,fumbles,0,,,,,
player,201709100ram,ram,MannSe00,fumbles_lost,0,,,,,
player,201709100ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201709100ram,ram,GurlTo01,pass_att,0,,,,,
player,201709100ram,ram,GurlTo01,pass_yds,0,,,,,
player,201709100ram,ram,GurlTo01,pass_td,0,,,,,
player,201709100ram,ram,GurlTo01,pass_int,0,,,,,
player,201709100ram,ram,GurlTo01,pass_sacked,0,,,,,
player,201709100ram,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201709100ram,ram,GurlTo01,pass_long,0,,,,,
player,201709100ram,ram,GurlTo01,pass_rating,,,,,,
player,201709100ram,ram,GurlTo01,rush_att,19,,,,,
player,201709100ram,ram,GurlTo01,rush_yds,40,,,,,
player,201709100ram,ram,GurlTo01,rush_td,1,,,,,
player,201709100ram,ram,GurlTo01,rush_long,12,,,,,
player,201709100ram,ram,GurlTo01,targets,6,,,,,
player,201709100ram,ram,GurlTo01,rec,5,,,,,
player,201709100ram,ram,GurlTo01,rec_yds,56,,,,,
player,201709100ram,ram,GurlTo01,rec_td,0,,,,,
player,201709100ram,ram,GurlTo01,rec_long,23,,,,,
player,201709100ram,ram,GurlTo01,fumbles,1,,,,,
player,201709100ram,ram,GurlTo01,fumbles_lost,0,,,,,
player,201709100ram,ram,BrowMa03,pass_cmp,0,,,,,
player,201709100ram,ram,BrowMa03,pass_att,0,,,,,
player,201709100ram,ram,BrowMa03,pass_yds,0,,,,,
player,201709100ram,ram,BrowMa03,pass_td,0,,,,,
player,201709100ram,ram,BrowMa03,pass_int,0,,,,,
player,201709100ram,ram,BrowMa03,pass_sacked,0,,,,,
player,201709100ram,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201709100ram,ram,BrowMa03,pass_long,0,,,,,
player,201709100ram,ram,BrowMa03,pass_rating,,,,,,
player,201709100ram,ram,BrowMa03,rush_att,7,,,,,
player,201709100ram,ram,BrowMa03,rush_yds,16,,,,,
player,201709100ram,ram,BrowMa03,rush_td,1,,,,,
player,201709100ram,ram,BrowMa03,rush_long,5,,,,,
player,201709100ram,ram,BrowMa03,targets,0,,,,,
player,201709100ram,ram,BrowMa03,rec,0,,,,,
player,201709100ram,ram,BrowMa03,rec_yds,0,,,,,
player,201709100ram,ram,BrowMa03,rec_td,0,,,,,
player,201709100ram,ram,BrowMa03,rec_long,0,,,,,
player,201709100ram,ram,BrowMa03,fumbles,0,,,,,
player,201709100ram,ram,BrowMa03,fumbles_lost,0,,,,,
player,201709100ram,ram,AustTa00,pass_cmp,0,,,,,
player,201709100ram,ram,AustTa00,pass_att,0,,,,,
player,201709100ram,ram,AustTa00,pass_yds,0,,,,,
player,201709100ram,ram,AustTa00,pass_td,0,,,,,
player,201709100ram,ram,AustTa00,pass_int,0,,,,,
player,201709100ram,ram,AustTa00,pass_sacked,0,,,,,
player,201709100ram,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201709100ram,ram,AustTa00,pass_long,0,,,,,
player,201709100ram,ram,AustTa00,pass_rating,,,,,,
player,201709100ram,ram,AustTa00,rush_att,2,,,,,
player,201709100ram,ram,AustTa00,rush_yds,11,,,,,
player,201709100ram,ram,AustTa00,rush_td,0,,,,,
player,201709100ram,ram,AustTa00,rush_long,9,,,,,
player,201709100ram,ram,AustTa00,targets,1,,,,,
player,201709100ram,ram,AustTa00,rec,1,,,,,
player,201709100ram,ram,AustTa00,rec_yds,7,,,,,
player,201709100ram,ram,AustTa00,rec_td,0,,,,,
player,201709100ram,ram,AustTa00,rec_long,7,,,,,
player,201709100ram,ram,AustTa00,fumbles,1,,,,,
player,201709100ram,ram,AustTa00,fumbles_lost,1,,,,,
player,201709100ram,ram,DaviJu00,pass_cmp,0,,,,,
player,201709100ram,ram,DaviJu00,pass_att,0,,,,,
player,201709100ram,ram,DaviJu00,pass_yds,0,,,,,
player,201709100ram,ram,DaviJu00,pass_td,0,,,,,
player,201709100ram,ram,DaviJu00,pass_int,0,,,,,
player,201709100ram,ram,DaviJu00,pass_sacked,0,,,,,
player,201709100ram,ram,DaviJu00,pass_sacked_yds,0,,,,,
player,201709100ram,ram,DaviJu00,pass_long,0,,,,,
player,201709100ram,ram,DaviJu00,pass_rating,,,,,,
player,201709100ram,ram,DaviJu00,rush_att,1,,,,,
player,201709100ram,ram,DaviJu00,rush_yds,1,,,,,
player,201709100ram,ram,DaviJu00,rush_td,0,,,,,
player,201709100ram,ram,DaviJu00,rush_long,1,,,,,
player,201709100ram,ram,DaviJu00,targets,0,,,,,
player,201709100ram,ram,DaviJu00,rec,0,,,,,
player,201709100ram,ram,DaviJu00,rec_yds,0,,,,,
player,201709100ram,ram,DaviJu00,rec_td,0,,,,,
player,201709100ram,ram,DaviJu00,rec_long,0,,,,,
player,201709100ram,ram,DaviJu00,fumbles,0,,,,,
player,201709100ram,ram,DaviJu00,fumbles_lost,0,,,,,
player,201709100ram,ram,KuppCo00,pass_cmp,0,,,,,
player,201709100ram,ram,KuppCo00,pass_att,0,,,,,
player,201709100ram,ram,KuppCo00,pass_yds,0,,,,,
player,201709100ram,ram,KuppCo00,pass_td,0,,,,,
player,201709100ram,ram,KuppCo00,pass_int,0,,,,,
player,201709100ram,ram,KuppCo00,pass_sacked,0,,,,,
player,201709100ram,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201709100ram,ram,KuppCo00,pass_long,0,,,,,
player,201709100ram,ram,KuppCo00,pass_rating,,,,,,
player,201709100ram,ram,KuppCo00,rush_att,0,,,,,
player,201709100ram,ram,KuppCo00,rush_yds,0,,,,,
player,201709100ram,ram,KuppCo00,rush_td,0,,,,,
player,201709100ram,ram,KuppCo00,rush_long,0,,,,,
player,201709100ram,ram,KuppCo00,targets,6,,,,,
player,201709100ram,ram,KuppCo00,rec,4,,,,,
player,201709100ram,ram,KuppCo00,rec_yds,76,,,,,
player,201709100ram,ram,KuppCo00,rec_td,1,,,,,
player,201709100ram,ram,KuppCo00,rec_long,28,,,,,
player,201709100ram,ram,KuppCo00,fumbles,0,,,,,
player,201709100ram,ram,KuppCo00,fumbles_lost,0,,,,,
player,201709100ram,ram,WatkSa00,pass_cmp,0,,,,,
player,201709100ram,ram,WatkSa00,pass_att,0,,,,,
player,201709100ram,ram,WatkSa00,pass_yds,0,,,,,
player,201709100ram,ram,WatkSa00,pass_td,0,,,,,
player,201709100ram,ram,WatkSa00,pass_int,0,,,,,
player,201709100ram,ram,WatkSa00,pass_sacked,0,,,,,
player,201709100ram,ram,WatkSa00,pass_sacked_yds,0,,,,,
player,201709100ram,ram,WatkSa00,pass_long,0,,,,,
player,201709100ram,ram,WatkSa00,pass_rating,,,,,,
player,201709100ram,ram,WatkSa00,rush_att,0,,,,,
player,201709100ram,ram,WatkSa00,rush_yds,0,,,,,
player,201709100ram,ram,WatkSa00,rush_td,0,,,,,
player,201709100ram,ram,WatkSa00,rush_long,0,,,,,
player,201709100ram,ram,WatkSa00,targets,5,,,,,
player,201709100ram,ram,WatkSa00,rec,5,,,,,
player,201709100ram,ram,WatkSa00,rec_yds,58,,,,,
player,201709100ram,ram,WatkSa00,rec_td,0,,,,,
player,201709100ram,ram,WatkSa00,rec_long,24,,,,,
player,201709100ram,ram,WatkSa00,fumbles,0,,,,,
player,201709100ram,ram,WatkSa00,fumbles_lost,0,,,,,
player,201709100ram,ram,WoodRo02,pass_cmp,0,,,,,
player,201709100ram,ram,WoodRo02,pass_att,0,,,,,
player,201709100ram,ram,WoodRo02,pass_yds,0,,,,,
player,201709100ram,ram,WoodRo02,pass_td,0,,,,,
player,201709100ram,ram,WoodRo02,pass_int,0,,,,,
player,201709100ram,ram,WoodRo02,pass_sacked,0,,,,,
player,201709100ram,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201709100ram,ram,WoodRo02,pass_long,0,,,,,
player,201709100ram,ram,WoodRo02,pass_rating,,,,,,
player,201709100ram,ram,WoodRo02,rush_att,0,,,,,
player,201709100ram,ram,WoodRo02,rush_yds,0,,,,,
player,201709100ram,ram,WoodRo02,rush_td,0,,,,,
player,201709100ram,ram,WoodRo02,rush_long,0,,,,,
player,201709100ram,ram,WoodRo02,targets,5,,,,,
player,201709100ram,ram,WoodRo02,rec,3,,,,,
player,201709100ram,ram,WoodRo02,rec_yds,53,,,,,
player,201709100ram,ram,WoodRo02,rec_td,0,,,,,
player,201709100ram,ram,WoodRo02,rec_long,27,,,,,
player,201709100ram,ram,WoodRo02,fumbles,0,,,,,
player,201709100ram,ram,WoodRo02,fumbles_lost,0,,,,,
player,201709100ram,ram,EverGe00,pass_cmp,0,,,,,
player,201709100ram,ram,EverGe00,pass_att,0,,,,,
player,201709100ram,ram,EverGe00,pass_yds,0,,,,,
player,201709100ram,ram,EverGe00,pass_td,0,,,,,
player,201709100ram,ram,EverGe00,pass_int,0,,,,,
player,201709100ram,ram,EverGe00,pass_sacked,0,,,,,
player,201709100ram,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201709100ram,ram,EverGe00,pass_long,0,,,,,
player,201709100ram,ram,EverGe00,pass_rating,,,,,,
player,201709100ram,ram,EverGe00,rush_att,0,,,,,
player,201709100ram,ram,EverGe00,rush_yds,0,,,,,
player,201709100ram,ram,EverGe00,rush_td,0,,,,,
player,201709100ram,ram,EverGe00,rush_long,0,,,,,
player,201709100ram,ram,EverGe00,targets,1,,,,,
player,201709100ram,ram,EverGe00,rec,1,,,,,
player,201709100ram,ram,EverGe00,rec_yds,39,,,,,
player,201709100ram,ram,EverGe00,rec_td,0,,,,,
player,201709100ram,ram,EverGe00,rec_long,39,,,,,
player,201709100ram,ram,EverGe00,fumbles,0,,,,,
player,201709100ram,ram,EverGe00,fumbles_lost,0,,,,,
player,201709100ram,ram,HigbTy00,pass_cmp,0,,,,,
player,201709100ram,ram,HigbTy00,pass_att,0,,,,,
player,201709100ram,ram,HigbTy00,pass_yds,0,,,,,
player,201709100ram,ram,HigbTy00,pass_td,0,,,,,
player,201709100ram,ram,HigbTy00,pass_int,0,,,,,
player,201709100ram,ram,HigbTy00,pass_sacked,0,,,,,
player,201709100ram,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201709100ram,ram,HigbTy00,pass_long,0,,,,,
player,201709100ram,ram,HigbTy00,pass_rating,,,,,,
player,201709100ram,ram,HigbTy00,rush_att,0,,,,,
player,201709100ram,ram,HigbTy00,rush_yds,0,,,,,
player,201709100ram,ram,HigbTy00,rush_td,0,,,,,
player,201709100ram,ram,HigbTy00,rush_long,0,,,,,
