game,2017,3,20170924,201709240chi,pit,"Pittsburgh Steelers",17,chi,"Chicago Bears",23
player,201709240chi,pit,BrowAn04,rush_yds,0,,,,,
player,201709240chi,pit,BrowAn04,rush_td,0,,,,,
player,201709240chi,pit,BrowAn04,rush_long,0,,,,,
player,201709240chi,pit,BrowAn04,targets,14,,,,,
player,201709240chi,pit,BrowAn04,rec,10,,,,,
player,201709240chi,pit,BrowAn04,rec_yds,110,,,,,
player,201709240chi,pit,BrowAn04,rec_td,1,,,,,
player,201709240chi,pit,BrowAn04,rec_long,23,,,,,
player,201709240chi,pit,BrowAn04,fumbles,0,,,,,
player,201709240chi,pit,BrowAn04,fumbles_lost,0,,,,,
player,201709240chi,pit,SmitJu00,pass_cmp,0,,,,,
player,201709240chi,pit,SmitJu00,pass_att,0,,,,,
player,201709240chi,pit,SmitJu00,pass_yds,0,,,,,
player,201709240chi,pit,SmitJu00,pass_td,0,,,,,
player,201709240chi,pit,SmitJu00,pass_int,0,,,,,
player,201709240chi,pit,SmitJu00,pass_sacked,0,,,,,
player,201709240chi,pit,SmitJu00,pass_sacked_yds,0,,,,,
player,201709240chi,pit,SmitJu00,pass_long,0,,,,,
player,201709240chi,pit,SmitJu00,pass_rating,,,,,,
player,201709240chi,pit,SmitJu00,rush_att,0,,,,,
player,201709240chi,pit,SmitJu00,rush_yds,0,,,,,
player,201709240chi,pit,SmitJu00,rush_td,0,,,,,
player,201709240chi,pit,SmitJu00,rush_long,0,,,,,
player,201709240chi,pit,SmitJu00,targets,6,,,,,
player,201709240chi,pit,SmitJu00,rec,2,,,,,
player,201709240chi,pit,SmitJu00,rec_yds,39,,,,,
player,201709240chi,pit,SmitJu00,rec_td,0,,,,,
player,201709240chi,pit,SmitJu00,rec_long,25,,,,,
player,201709240chi,pit,SmitJu00,fumbles,0,,,,,
player,201709240chi,pit,SmitJu00,fumbles_lost,0,,,,,
player,201709240chi,pit,BryaMa00,pass_cmp,0,,,,,
player,201709240chi,pit,BryaMa00,pass_att,0,,,,,
player,201709240chi,pit,BryaMa00,pass_yds,0,,,,,
player,201709240chi,pit,BryaMa00,pass_td,0,,,,,
player,201709240chi,pit,BryaMa00,pass_int,0,,,,,
player,201709240chi,pit,BryaMa00,pass_sacked,0,,,,,
player,201709240chi,pit,BryaMa00,pass_sacked_yds,0,,,,,
player,201709240chi,pit,BryaMa00,pass_long,0,,,,,
player,201709240chi,pit,BryaMa00,pass_rating,,,,,,
player,201709240chi,pit,BryaMa00,rush_att,0,,,,,
player,201709240chi,pit,BryaMa00,rush_yds,0,,,,,
player,201709240chi,pit,BryaMa00,rush_td,0,,,,,
player,201709240chi,pit,BryaMa00,rush_long,0,,,,,
player,201709240chi,pit,BryaMa00,targets,8,,,,,
