game,2017,11,20171119,201711190nor,was,"Washington Redskins",31,nor,"New Orleans Saints",34
player,201711190nor,was,SweaDJ00,fumbles_forced,0,,,,,
player,201711190nor,was,KerrRy00,def_int,0,,,,,
player,201711190nor,was,KerrRy00,def_int_yds,0,,,,,
player,201711190nor,was,KerrRy00,def_int_td,0,,,,,
player,201711190nor,was,KerrRy00,def_int_long,0,,,,,
player,201711190nor,was,KerrRy00,pass_defended,0,,,,,
player,201711190nor,was,KerrRy00,sacks,1.0,,,,,
player,201711190nor,was,KerrRy00,tackles_combined,4,,,,,
player,201711190nor,was,KerrRy00,tackles_solo,4,,,,,
player,201711190nor,was,KerrRy00,tackles_assists,0,,,,,
player,201711190nor,was,KerrRy00,tackles_loss,1,,,,,
player,201711190nor,was,KerrRy00,qb_hits,1,,,,,
player,201711190nor,was,KerrRy00,fumbles_rec,0,,,,,
player,201711190nor,was,KerrRy00,fumbles_rec_yds,0,,,,,
player,201711190nor,was,KerrRy00,fumbles_rec_td,0,,,,,
player,201711190nor,was,KerrRy00,fumbles_forced,0,,,,,
player,201711190nor,was,LaniAn00,def_int,0,,,,,
player,201711190nor,was,LaniAn00,def_int_yds,0,,,,,
player,201711190nor,was,LaniAn00,def_int_td,0,,,,,
player,201711190nor,was,LaniAn00,def_int_long,0,,,,,
player,201711190nor,was,LaniAn00,pass_defended,0,,,,,
player,201711190nor,was,LaniAn00,sacks,1.0,,,,,
player,201711190nor,was,LaniAn00,tackles_combined,1,,,,,
player,201711190nor,was,LaniAn00,tackles_solo,1,,,,,
player,201711190nor,was,LaniAn00,tackles_assists,0,,,,,
player,201711190nor,was,LaniAn00,tackles_loss,1,,,,,
player,201711190nor,was,LaniAn00,qb_hits,2,,,,,
player,201711190nor,was,LaniAn00,fumbles_rec,0,,,,,
player,201711190nor,was,LaniAn00,fumbles_rec_yds,0,,,,,
player,201711190nor,was,LaniAn00,fumbles_rec_td,0,,,,,
player,201711190nor,was,LaniAn00,fumbles_forced,0,,,,,
player,201711190nor,was,FullKe00,def_int,0,,,,,
player,201711190nor,was,FullKe00,def_int_yds,0,,,,,
player,201711190nor,was,FullKe00,def_int_td,0,,,,,
player,201711190nor,was,FullKe00,def_int_long,0,,,,,
player,201711190nor,was,FullKe00,pass_defended,0,,,,,
player,201711190nor,was,FullKe00,sacks,0.0,,,,,
player,201711190nor,was,FullKe00,tackles_combined,7,,,,,
player,201711190nor,was,FullKe00,tackles_solo,5,,,,,
player,201711190nor,was,FullKe00,tackles_assists,2,,,,,
player,201711190nor,was,FullKe00,tackles_loss,0,,,,,
player,201711190nor,was,FullKe00,qb_hits,0,,,,,
player,201711190nor,was,FullKe00,fumbles_rec,0,,,,,
player,201711190nor,was,FullKe00,fumbles_rec_yds,0,,,,,
player,201711190nor,was,FullKe00,fumbles_rec_td,0,,,,,
player,201711190nor,was,FullKe00,fumbles_forced,0,,,,,
player,201711190nor,was,NormJo01,def_int,0,,,,,
player,201711190nor,was,NormJo01,def_int_yds,0,,,,,
player,201711190nor,was,NormJo01,def_int_td,0,,,,,
player,201711190nor,was,NormJo01,def_int_long,0,,,,,
player,201711190nor,was,NormJo01,pass_defended,0,,,,,
player,201711190nor,was,NormJo01,sacks,0.0,,,,,
player,201711190nor,was,NormJo01,tackles_combined,7,,,,,
player,201711190nor,was,NormJo01,tackles_solo,5,,,,,
player,201711190nor,was,NormJo01,tackles_assists,2,,,,,
player,201711190nor,was,NormJo01,tackles_loss,0,,,,,
player,201711190nor,was,NormJo01,qb_hits,0,,,,,
player,201711190nor,was,NormJo01,fumbles_rec,0,,,,,
player,201711190nor,was,NormJo01,fumbles_rec_yds,0,,,,,
player,201711190nor,was,NormJo01,fumbles_rec_td,0,,,,,
player,201711190nor,was,NormJo01,fumbles_forced,0,,,,,
player,201711190nor,was,SpaiMa00,def_int,0,,,,,
player,201711190nor,was,SpaiMa00,def_int_yds,0,,,,,
player,201711190nor,was,SpaiMa00,def_int_td,0,,,,,
player,201711190nor,was,SpaiMa00,def_int_long,0,,,,,
player,201711190nor,was,SpaiMa00,pass_defended,1,,,,,
player,201711190nor,was,SpaiMa00,sacks,0.0,,,,,
player,201711190nor,was,SpaiMa00,tackles_combined,7,,,,,
player,201711190nor,was,SpaiMa00,tackles_solo,3,,,,,
player,201711190nor,was,SpaiMa00,tackles_assists,4,,,,,
player,201711190nor,was,SpaiMa00,tackles_loss,1,,,,,
player,201711190nor,was,SpaiMa00,qb_hits,1,,,,,
player,201711190nor,was,SpaiMa00,fumbles_rec,0,,,,,
player,201711190nor,was,SpaiMa00,fumbles_rec_yds,0,,,,,
player,201711190nor,was,SpaiMa00,fumbles_rec_td,0,,,,,
player,201711190nor,was,SpaiMa00,fumbles_forced,0,,,,,
player,201711190nor,was,HallDe99,def_int,0,,,,,
player,201711190nor,was,HallDe99,def_int_yds,0,,,,,
player,201711190nor,was,HallDe99,def_int_td,0,,,,,
