game,2017,3,20170924,201709240clt,cle,"Cleveland Browns",28,clt,"Indianapolis Colts",31
player,201709240clt,clt,BrayQu00,pass_sacked,0,,,,,
player,201709240clt,clt,BrayQu00,pass_sacked_yds,0,,,,,
player,201709240clt,clt,BrayQu00,pass_long,0,,,,,
player,201709240clt,clt,BrayQu00,pass_rating,,,,,,
player,201709240clt,clt,BrayQu00,rush_att,0,,,,,
player,201709240clt,clt,BrayQu00,rush_yds,0,,,,,
player,201709240clt,clt,BrayQu00,rush_td,0,,,,,
player,201709240clt,clt,BrayQu00,rush_long,0,,,,,
player,201709240clt,clt,BrayQu00,targets,1,,,,,
player,201709240clt,clt,BrayQu00,rec,1,,,,,
player,201709240clt,clt,BrayQu00,rec_yds,22,,,,,
player,201709240clt,clt,BrayQu00,rec_td,0,,,,,
player,201709240clt,clt,BrayQu00,rec_long,22,,,,,
player,201709240clt,clt,BrayQu00,fumbles,0,,,,,
player,201709240clt,clt,BrayQu00,fumbles_lost,0,,,,,
player,201709240clt,clt,DoylJa00,pass_cmp,0,,,,,
player,201709240clt,clt,DoylJa00,pass_att,0,,,,,
player,201709240clt,clt,DoylJa00,pass_yds,0,,,,,
player,201709240clt,clt,DoylJa00,pass_td,0,,,,,
player,201709240clt,clt,DoylJa00,pass_int,0,,,,,
player,201709240clt,clt,DoylJa00,pass_sacked,0,,,,,
player,201709240clt,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201709240clt,clt,DoylJa00,pass_long,0,,,,,
player,201709240clt,clt,DoylJa00,pass_rating,,,,,,
player,201709240clt,clt,DoylJa00,rush_att,0,,,,,
player,201709240clt,clt,DoylJa00,rush_yds,0,,,,,
player,201709240clt,clt,DoylJa00,rush_td,0,,,,,
player,201709240clt,clt,DoylJa00,rush_long,0,,,,,
player,201709240clt,clt,DoylJa00,targets,5,,,,,
player,201709240clt,clt,DoylJa00,rec,2,,,,,
player,201709240clt,clt,DoylJa00,rec_yds,16,,,,,
player,201709240clt,clt,DoylJa00,rec_td,0,,,,,
player,201709240clt,clt,DoylJa00,rec_long,11,,,,,
player,201709240clt,clt,DoylJa00,fumbles,1,,,,,
player,201709240clt,clt,DoylJa00,fumbles_lost,1,,,,,
player,201709240clt,clt,AikeKa00,pass_cmp,0,,,,,
player,201709240clt,clt,AikeKa00,pass_att,0,,,,,
player,201709240clt,clt,AikeKa00,pass_yds,0,,,,,
player,201709240clt,clt,AikeKa00,pass_td,0,,,,,
player,201709240clt,clt,AikeKa00,pass_int,0,,,,,
player,201709240clt,clt,AikeKa00,pass_sacked,0,,,,,
player,201709240clt,clt,AikeKa00,pass_sacked_yds,0,,,,,
player,201709240clt,clt,AikeKa00,pass_long,0,,,,,
player,201709240clt,clt,AikeKa00,pass_rating,,,,,,
player,201709240clt,clt,AikeKa00,rush_att,0,,,,,
player,201709240clt,clt,AikeKa00,rush_yds,0,,,,,
player,201709240clt,clt,AikeKa00,rush_td,0,,,,,
player,201709240clt,clt,AikeKa00,rush_long,0,,,,,
player,201709240clt,clt,AikeKa00,targets,1,,,,,
player,201709240clt,clt,AikeKa00,rec,1,,,,,
player,201709240clt,clt,AikeKa00,rec_yds,9,,,,,
player,201709240clt,clt,AikeKa00,rec_td,0,,,,,
player,201709240clt,clt,AikeKa00,rec_long,9,,,,,
player,201709240clt,clt,AikeKa00,fumbles,0,,,,,
player,201709240clt,clt,AikeKa00,fumbles_lost,0,,,,,
player,201709240clt,clt,WillBr04,pass_cmp,0,,,,,
player,201709240clt,clt,WillBr04,pass_att,0,,,,,
player,201709240clt,clt,WillBr04,pass_yds,0,,,,,
player,201709240clt,clt,WillBr04,pass_td,0,,,,,
player,201709240clt,clt,WillBr04,pass_int,0,,,,,
player,201709240clt,clt,WillBr04,pass_sacked,0,,,,,
player,201709240clt,clt,WillBr04,pass_sacked_yds,0,,,,,
player,201709240clt,clt,WillBr04,pass_long,0,,,,,
player,201709240clt,clt,WillBr04,pass_rating,,,,,,
player,201709240clt,clt,WillBr04,rush_att,0,,,,,
