game,2017,11,20171119,201711190gnb,rav,"Baltimore Ravens",23,gnb,"Green Bay Packers",0
player,201711190gnb,rav,WatsBe00,pass_int,0,,,,,
player,201711190gnb,rav,WatsBe00,pass_sacked,0,,,,,
player,201711190gnb,rav,WatsBe00,pass_sacked_yds,0,,,,,
player,201711190gnb,rav,WatsBe00,pass_long,0,,,,,
player,201711190gnb,rav,WatsBe00,pass_rating,,,,,,
player,201711190gnb,rav,WatsBe00,rush_att,0,,,,,
player,201711190gnb,rav,WatsBe00,rush_yds,0,,,,,
player,201711190gnb,rav,WatsBe00,rush_td,0,,,,,
player,201711190gnb,rav,WatsBe00,rush_long,0,,,,,
player,201711190gnb,rav,WatsBe00,targets,1,,,,,
player,201711190gnb,rav,WatsBe00,rec,1,,,,,
player,201711190gnb,rav,WatsBe00,rec_yds,33,,,,,
player,201711190gnb,rav,WatsBe00,rec_td,0,,,,,
player,201711190gnb,rav,WatsBe00,rec_long,33,,,,,
player,201711190gnb,rav,WatsBe00,fumbles,0,,,,,
player,201711190gnb,rav,WatsBe00,fumbles_lost,0,,,,,
player,201711190gnb,rav,WillMa04,pass_cmp,0,,,,,
player,201711190gnb,rav,WillMa04,pass_att,0,,,,,
player,201711190gnb,rav,WillMa04,pass_yds,0,,,,,
player,201711190gnb,rav,WillMa04,pass_td,0,,,,,
player,201711190gnb,rav,WillMa04,pass_int,0,,,,,
player,201711190gnb,rav,WillMa04,pass_sacked,0,,,,,
player,201711190gnb,rav,WillMa04,pass_sacked_yds,0,,,,,
player,201711190gnb,rav,WillMa04,pass_long,0,,,,,
player,201711190gnb,rav,WillMa04,pass_rating,,,,,,
player,201711190gnb,rav,WillMa04,rush_att,0,,,,,
player,201711190gnb,rav,WillMa04,rush_yds,0,,,,,
player,201711190gnb,rav,WillMa04,rush_td,0,,,,,
player,201711190gnb,rav,WillMa04,rush_long,0,,,,,
player,201711190gnb,rav,WillMa04,targets,2,,,,,
player,201711190gnb,rav,WillMa04,rec,2,,,,,
player,201711190gnb,rav,WillMa04,rec_yds,6,,,,,
player,201711190gnb,rav,WillMa04,rec_td,0,,,,,
player,201711190gnb,rav,WillMa04,rec_long,4,,,,,
player,201711190gnb,rav,WillMa04,fumbles,0,,,,,
player,201711190gnb,rav,WillMa04,fumbles_lost,0,,,,,
player,201711190gnb,rav,BoylNi00,pass_cmp,0,,,,,
player,201711190gnb,rav,BoylNi00,pass_att,0,,,,,
player,201711190gnb,rav,BoylNi00,pass_yds,0,,,,,
player,201711190gnb,rav,BoylNi00,pass_td,0,,,,,
player,201711190gnb,rav,BoylNi00,pass_int,0,,,,,
player,201711190gnb,rav,BoylNi00,pass_sacked,0,,,,,
player,201711190gnb,rav,BoylNi00,pass_sacked_yds,0,,,,,
player,201711190gnb,rav,BoylNi00,pass_long,0,,,,,
player,201711190gnb,rav,BoylNi00,pass_rating,,,,,,
player,201711190gnb,rav,BoylNi00,rush_att,0,,,,,
player,201711190gnb,rav,BoylNi00,rush_yds,0,,,,,
player,201711190gnb,rav,BoylNi00,rush_td,0,,,,,
player,201711190gnb,rav,BoylNi00,rush_long,0,,,,,
player,201711190gnb,rav,BoylNi00,targets,2,,,,,
player,201711190gnb,rav,BoylNi00,rec,1,,,,,
player,201711190gnb,rav,BoylNi00,rec_yds,2,,,,,
player,201711190gnb,rav,BoylNi00,rec_td,0,,,,,
player,201711190gnb,rav,BoylNi00,rec_long,2,,,,,
player,201711190gnb,rav,BoylNi00,fumbles,0,,,,,
player,201711190gnb,rav,BoylNi00,fumbles_lost,0,,,,,
player,201711190gnb,gnb,HundBr00,pass_cmp,21,,,,,
player,201711190gnb,gnb,HundBr00,pass_att,36,,,,,
player,201711190gnb,gnb,HundBr00,pass_yds,239,,,,,
player,201711190gnb,gnb,HundBr00,pass_td,0,,,,,
player,201711190gnb,gnb,HundBr00,pass_int,3,,,,,
player,201711190gnb,gnb,HundBr00,pass_sacked,6,,,,,
player,201711190gnb,gnb,HundBr00,pass_sacked_yds,49,,,,,
player,201711190gnb,gnb,HundBr00,pass_long,33,,,,,
player,201711190gnb,gnb,HundBr00,pass_rating,43.6,,,,,
player,201711190gnb,gnb,HundBr00,rush_att,3,,,,,
player,201711190gnb,gnb,HundBr00,rush_yds,19,,,,,
player,201711190gnb,gnb,HundBr00,rush_td,0,,,,,
player,201711190gnb,gnb,HundBr00,rush_long,12,,,,,
player,201711190gnb,gnb,HundBr00,targets,0,,,,,
player,201711190gnb,gnb,HundBr00,rec,0,,,,,
player,201711190gnb,gnb,HundBr00,rec_yds,0,,,,,
player,201711190gnb,gnb,HundBr00,rec_td,0,,,,,
player,201711190gnb,gnb,HundBr00,rec_long,0,,,,,
player,201711190gnb,gnb,HundBr00,fumbles,1,,,,,
player,201711190gnb,gnb,HundBr00,fumbles_lost,1,,,,,
player,201711190gnb,gnb,WillJa06,pass_cmp,0,,,,,
player,201711190gnb,gnb,WillJa06,pass_att,0,,,,,
player,201711190gnb,gnb,WillJa06,pass_yds,0,,,,,
player,201711190gnb,gnb,WillJa06,pass_td,0,,,,,
player,201711190gnb,gnb,WillJa06,pass_int,0,,,,,
player,201711190gnb,gnb,WillJa06,pass_sacked,0,,,,,
player,201711190gnb,gnb,WillJa06,pass_sacked_yds,0,,,,,
player,201711190gnb,gnb,WillJa06,pass_long,0,,,,,
player,201711190gnb,gnb,WillJa06,pass_rating,,,,,,
player,201711190gnb,gnb,WillJa06,rush_att,18,,,,,
player,201711190gnb,gnb,WillJa06,rush_yds,57,,,,,
player,201711190gnb,gnb,WillJa06,rush_td,0,,,,,
player,201711190gnb,gnb,WillJa06,rush_long,8,,,,,
player,201711190gnb,gnb,WillJa06,targets,6,,,,,
player,201711190gnb,gnb,WillJa06,rec,4,,,,,
player,201711190gnb,gnb,WillJa06,rec_yds,38,,,,,
player,201711190gnb,gnb,WillJa06,rec_td,0,,,,,
player,201711190gnb,gnb,WillJa06,rec_long,16,,,,,
player,201711190gnb,gnb,WillJa06,fumbles,0,,,,,
player,201711190gnb,gnb,WillJa06,fumbles_lost,0,,,,,
player,201711190gnb,gnb,AdamDa01,pass_cmp,0,,,,,
player,201711190gnb,gnb,AdamDa01,pass_att,0,,,,,
