game,2017,4,20171001,201710010nwe,car,"Carolina Panthers",33,nwe,"New England Patriots",30
player,201710010nwe,car,NewtCa00,fumbles,0,,,,,
player,201710010nwe,car,NewtCa00,fumbles_lost,0,,,,,
player,201710010nwe,car,StewJo00,pass_cmp,0,,,,,
player,201710010nwe,car,StewJo00,pass_att,0,,,,,
player,201710010nwe,car,StewJo00,pass_yds,0,,,,,
player,201710010nwe,car,StewJo00,pass_td,0,,,,,
player,201710010nwe,car,StewJo00,pass_int,0,,,,,
player,201710010nwe,car,StewJo00,pass_sacked,0,,,,,
player,201710010nwe,car,StewJo00,pass_sacked_yds,0,,,,,
player,201710010nwe,car,StewJo00,pass_long,0,,,,,
player,201710010nwe,car,StewJo00,pass_rating,,,,,,
player,201710010nwe,car,StewJo00,rush_att,14,,,,,
player,201710010nwe,car,StewJo00,rush_yds,68,,,,,
player,201710010nwe,car,StewJo00,rush_td,0,,,,,
player,201710010nwe,car,StewJo00,rush_long,15,,,,,
player,201710010nwe,car,StewJo00,targets,1,,,,,
player,201710010nwe,car,StewJo00,rec,0,,,,,
player,201710010nwe,car,StewJo00,rec_yds,0,,,,,
player,201710010nwe,car,StewJo00,rec_td,0,,,,,
player,201710010nwe,car,StewJo00,rec_long,0,,,,,
player,201710010nwe,car,StewJo00,fumbles,1,,,,,
player,201710010nwe,car,StewJo00,fumbles_lost,1,,,,,
player,201710010nwe,car,McCaCh01,pass_cmp,0,,,,,
player,201710010nwe,car,McCaCh01,pass_att,0,,,,,
player,201710010nwe,car,McCaCh01,pass_yds,0,,,,,
player,201710010nwe,car,McCaCh01,pass_td,0,,,,,
player,201710010nwe,car,McCaCh01,pass_int,0,,,,,
player,201710010nwe,car,McCaCh01,pass_sacked,0,,,,,
player,201710010nwe,car,McCaCh01,pass_sacked_yds,0,,,,,
player,201710010nwe,car,McCaCh01,pass_long,0,,,,,
player,201710010nwe,car,McCaCh01,pass_rating,,,,,,
player,201710010nwe,car,McCaCh01,rush_att,6,,,,,
player,201710010nwe,car,McCaCh01,rush_yds,16,,,,,
player,201710010nwe,car,McCaCh01,rush_td,0,,,,,
player,201710010nwe,car,McCaCh01,rush_long,5,,,,,
player,201710010nwe,car,McCaCh01,targets,6,,,,,
player,201710010nwe,car,McCaCh01,rec,4,,,,,
player,201710010nwe,car,McCaCh01,rec_yds,33,,,,,
player,201710010nwe,car,McCaCh01,rec_td,0,,,,,
player,201710010nwe,car,McCaCh01,rec_long,12,,,,,
player,201710010nwe,car,McCaCh01,fumbles,0,,,,,
player,201710010nwe,car,McCaCh01,fumbles_lost,0,,,,,
player,201710010nwe,car,ByrdDa00,pass_cmp,0,,,,,
player,201710010nwe,car,ByrdDa00,pass_att,0,,,,,
player,201710010nwe,car,ByrdDa00,pass_yds,0,,,,,
player,201710010nwe,car,ByrdDa00,pass_td,0,,,,,
player,201710010nwe,car,ByrdDa00,pass_int,0,,,,,
player,201710010nwe,car,ByrdDa00,pass_sacked,0,,,,,
player,201710010nwe,car,ByrdDa00,pass_sacked_yds,0,,,,,
player,201710010nwe,car,ByrdDa00,pass_long,0,,,,,
player,201710010nwe,car,ByrdDa00,pass_rating,,,,,,
player,201710010nwe,car,ByrdDa00,rush_att,1,,,,,
player,201710010nwe,car,ByrdDa00,rush_yds,12,,,,,
player,201710010nwe,car,ByrdDa00,rush_td,0,,,,,
player,201710010nwe,car,ByrdDa00,rush_long,12,,,,,
player,201710010nwe,car,ByrdDa00,targets,1,,,,,
player,201710010nwe,car,ByrdDa00,rec,0,,,,,
player,201710010nwe,car,ByrdDa00,rec_yds,0,,,,,
player,201710010nwe,car,ByrdDa00,rec_td,0,,,,,
player,201710010nwe,car,ByrdDa00,rec_long,0,,,,,
player,201710010nwe,car,ByrdDa00,fumbles,0,,,,,
player,201710010nwe,car,ByrdDa00,fumbles_lost,0,,,,,
player,201710010nwe,car,BenjKe00,pass_cmp,0,,,,,
player,201710010nwe,car,BenjKe00,pass_att,0,,,,,
player,201710010nwe,car,BenjKe00,pass_yds,0,,,,,
player,201710010nwe,car,BenjKe00,pass_td,0,,,,,
player,201710010nwe,car,BenjKe00,pass_int,0,,,,,
player,201710010nwe,car,BenjKe00,pass_sacked,0,,,,,
player,201710010nwe,car,BenjKe00,pass_sacked_yds,0,,,,,
player,201710010nwe,car,BenjKe00,pass_long,0,,,,,
player,201710010nwe,car,BenjKe00,pass_rating,,,,,,
player,201710010nwe,car,BenjKe00,rush_att,0,,,,,
player,201710010nwe,car,BenjKe00,rush_yds,0,,,,,
player,201710010nwe,car,BenjKe00,rush_td,0,,,,,
player,201710010nwe,car,BenjKe00,rush_long,0,,,,,
player,201710010nwe,car,BenjKe00,targets,4,,,,,
player,201710010nwe,car,BenjKe00,rec,4,,,,,
player,201710010nwe,car,BenjKe00,rec_yds,104,,,,,
player,201710010nwe,car,BenjKe00,rec_td,0,,,,,
player,201710010nwe,car,BenjKe00,rec_long,43,,,,,
player,201710010nwe,car,BenjKe00,fumbles,0,,,,,
player,201710010nwe,car,BenjKe00,fumbles_lost,0,,,,,
player,201710010nwe,car,FuncDe00,pass_cmp,0,,,,,
player,201710010nwe,car,FuncDe00,pass_att,0,,,,,
player,201710010nwe,car,FuncDe00,pass_yds,0,,,,,
player,201710010nwe,car,FuncDe00,pass_td,0,,,,,
player,201710010nwe,car,FuncDe00,pass_int,0,,,,,
player,201710010nwe,car,FuncDe00,pass_sacked,0,,,,,
player,201710010nwe,car,FuncDe00,pass_sacked_yds,0,,,,,
player,201710010nwe,car,FuncDe00,pass_long,0,,,,,
player,201710010nwe,car,FuncDe00,pass_rating,,,,,,
player,201710010nwe,car,FuncDe00,rush_att,0,,,,,
player,201710010nwe,car,FuncDe00,rush_yds,0,,,,,
player,201710010nwe,car,FuncDe00,rush_td,0,,,,,
player,201710010nwe,car,FuncDe00,rush_long,0,,,,,
player,201710010nwe,car,FuncDe00,targets,9,,,,,
player,201710010nwe,car,FuncDe00,rec,7,,,,,
player,201710010nwe,car,FuncDe00,rec_yds,70,,,,,
player,201710010nwe,car,FuncDe00,rec_td,2,,,,,
player,201710010nwe,car,FuncDe00,rec_long,16,,,,,
player,201710010nwe,car,FuncDe00,fumbles,0,,,,,
player,201710010nwe,car,FuncDe00,fumbles_lost,0,,,,,
player,201710010nwe,car,DickEd00,pass_cmp,0,,,,,
player,201710010nwe,car,DickEd00,pass_att,0,,,,,
player,201710010nwe,car,DickEd00,pass_yds,0,,,,,
player,201710010nwe,car,DickEd00,pass_td,0,,,,,
player,201710010nwe,car,DickEd00,pass_int,0,,,,,
player,201710010nwe,car,DickEd00,pass_sacked,0,,,,,
player,201710010nwe,car,DickEd00,pass_sacked_yds,0,,,,,
player,201710010nwe,car,DickEd00,pass_long,0,,,,,
player,201710010nwe,car,DickEd00,pass_rating,,,,,,
player,201710010nwe,car,DickEd00,rush_att,0,,,,,
player,201710010nwe,car,DickEd00,rush_yds,0,,,,,
player,201710010nwe,car,DickEd00,rush_td,0,,,,,
player,201710010nwe,car,DickEd00,rush_long,0,,,,,
player,201710010nwe,car,DickEd00,targets,4,,,,,
player,201710010nwe,car,DickEd00,rec,3,,,,,
player,201710010nwe,car,DickEd00,rec_yds,62,,,,,
player,201710010nwe,car,DickEd00,rec_td,0,,,,,
player,201710010nwe,car,DickEd00,rec_long,25,,,,,
player,201710010nwe,car,DickEd00,fumbles,0,,,,,
player,201710010nwe,car,DickEd00,fumbles_lost,0,,,,,
player,201710010nwe,car,WhitFo00,pass_cmp,0,,,,,
player,201710010nwe,car,WhitFo00,pass_att,0,,,,,
player,201710010nwe,car,WhitFo00,pass_yds,0,,,,,
player,201710010nwe,car,WhitFo00,pass_td,0,,,,,
player,201710010nwe,car,WhitFo00,pass_int,0,,,,,
player,201710010nwe,car,WhitFo00,pass_sacked,0,,,,,
player,201710010nwe,car,WhitFo00,pass_sacked_yds,0,,,,,
player,201710010nwe,car,WhitFo00,pass_long,0,,,,,
player,201710010nwe,car,WhitFo00,pass_rating,,,,,,
player,201710010nwe,car,WhitFo00,rush_att,0,,,,,
player,201710010nwe,car,WhitFo00,rush_yds,0,,,,,
player,201710010nwe,car,WhitFo00,rush_td,0,,,,,
player,201710010nwe,car,WhitFo00,rush_long,0,,,,,
player,201710010nwe,car,WhitFo00,targets,3,,,,,
player,201710010nwe,car,WhitFo00,rec,3,,,,,
player,201710010nwe,car,WhitFo00,rec_yds,34,,,,,
player,201710010nwe,car,WhitFo00,rec_td,1,,,,,
player,201710010nwe,car,WhitFo00,rec_long,28,,,,,
player,201710010nwe,car,WhitFo00,fumbles,0,,,,,
player,201710010nwe,car,WhitFo00,fumbles_lost,0,,,,,
player,201710010nwe,car,ShepRu00,pass_cmp,0,,,,,
player,201710010nwe,car,ShepRu00,pass_att,0,,,,,
player,201710010nwe,car,ShepRu00,pass_yds,0,,,,,
player,201710010nwe,car,ShepRu00,pass_td,0,,,,,
player,201710010nwe,car,ShepRu00,pass_int,0,,,,,
player,201710010nwe,car,ShepRu00,pass_sacked,0,,,,,
player,201710010nwe,car,ShepRu00,pass_sacked_yds,0,,,,,
player,201710010nwe,car,ShepRu00,pass_long,0,,,,,
player,201710010nwe,car,ShepRu00,pass_rating,,,,,,
player,201710010nwe,car,ShepRu00,rush_att,0,,,,,
player,201710010nwe,car,ShepRu00,rush_yds,0,,,,,
player,201710010nwe,car,ShepRu00,rush_td,0,,,,,
player,201710010nwe,car,ShepRu00,rush_long,0,,,,,
player,201710010nwe,car,ShepRu00,targets,1,,,,,
player,201710010nwe,car,ShepRu00,rec,1,,,,,
player,201710010nwe,car,ShepRu00,rec_yds,13,,,,,
player,201710010nwe,car,ShepRu00,rec_td,0,,,,,
player,201710010nwe,car,ShepRu00,rec_long,13,,,,,
player,201710010nwe,car,ShepRu00,fumbles,0,,,,,
player,201710010nwe,car,ShepRu00,fumbles_lost,0,,,,,
player,201710010nwe,nwe,BradTo00,pass_cmp,32,,,,,
player,201710010nwe,nwe,BradTo00,pass_att,45,,,,,
player,201710010nwe,nwe,BradTo00,pass_yds,307,,,,,
player,201710010nwe,nwe,BradTo00,pass_td,2,,,,,
player,201710010nwe,nwe,BradTo00,pass_int,0,,,,,
player,201710010nwe,nwe,BradTo00,pass_sacked,3,,,,,
player,201710010nwe,nwe,BradTo00,pass_sacked_yds,14,,,,,
player,201710010nwe,nwe,BradTo00,pass_long,43,,,,,
player,201710010nwe,nwe,BradTo00,pass_rating,104.6,,,,,
player,201710010nwe,nwe,BradTo00,rush_att,1,,,,,
player,201710010nwe,nwe,BradTo00,rush_yds,2,,,,,
player,201710010nwe,nwe,BradTo00,rush_td,0,,,,,
player,201710010nwe,nwe,BradTo00,rush_long,2,,,,,
player,201710010nwe,nwe,BradTo00,targets,0,,,,,
player,201710010nwe,nwe,BradTo00,rec,0,,,,,
player,201710010nwe,nwe,BradTo00,rec_yds,0,,,,,
player,201710010nwe,nwe,BradTo00,rec_td,0,,,,,
player,201710010nwe,nwe,BradTo00,rec_long,0,,,,,
player,201710010nwe,nwe,BradTo00,fumbles,0,,,,,
player,201710010nwe,nwe,BradTo00,fumbles_lost,0,,,,,
player,201710010nwe,nwe,GillMi00,pass_cmp,0,,,,,
player,201710010nwe,nwe,GillMi00,pass_att,0,,,,,
player,201710010nwe,nwe,GillMi00,pass_yds,0,,,,,
player,201710010nwe,nwe,GillMi00,pass_td,0,,,,,
player,201710010nwe,nwe,GillMi00,pass_int,0,,,,,
player,201710010nwe,nwe,GillMi00,pass_sacked,0,,,,,
player,201710010nwe,nwe,GillMi00,pass_sacked_yds,0,,,,,
player,201710010nwe,nwe,GillMi00,pass_long,0,,,,,
player,201710010nwe,nwe,GillMi00,pass_rating,,,,,,
player,201710010nwe,nwe,GillMi00,rush_att,12,,,,,
player,201710010nwe,nwe,GillMi00,rush_yds,49,,,,,
player,201710010nwe,nwe,GillMi00,rush_td,0,,,,,
player,201710010nwe,nwe,GillMi00,rush_long,13,,,,,
player,201710010nwe,nwe,GillMi00,targets,0,,,,,
player,201710010nwe,nwe,GillMi00,rec,0,,,,,
player,201710010nwe,nwe,GillMi00,rec_yds,0,,,,,
player,201710010nwe,nwe,GillMi00,rec_td,0,,,,,
player,201710010nwe,nwe,GillMi00,rec_long,0,,,,,
player,201710010nwe,nwe,GillMi00,fumbles,0,,,,,
player,201710010nwe,nwe,GillMi00,fumbles_lost,0,,,,,
player,201710010nwe,nwe,LewiDi00,pass_cmp,0,,,,,
player,201710010nwe,nwe,LewiDi00,pass_att,0,,,,,
player,201710010nwe,nwe,LewiDi00,pass_yds,0,,,,,
player,201710010nwe,nwe,LewiDi00,pass_td,0,,,,,
player,201710010nwe,nwe,LewiDi00,pass_int,0,,,,,
player,201710010nwe,nwe,LewiDi00,pass_sacked,0,,,,,
player,201710010nwe,nwe,LewiDi00,pass_sacked_yds,0,,,,,
player,201710010nwe,nwe,LewiDi00,pass_long,0,,,,,
player,201710010nwe,nwe,LewiDi00,pass_rating,,,,,,
player,201710010nwe,nwe,LewiDi00,rush_att,4,,,,,
player,201710010nwe,nwe,LewiDi00,rush_yds,18,,,,,
player,201710010nwe,nwe,LewiDi00,rush_td,1,,,,,
player,201710010nwe,nwe,LewiDi00,rush_long,8,,,,,
player,201710010nwe,nwe,LewiDi00,targets,1,,,,,
player,201710010nwe,nwe,LewiDi00,rec,1,,,,,
player,201710010nwe,nwe,LewiDi00,rec_yds,9,,,,,
player,201710010nwe,nwe,LewiDi00,rec_td,0,,,,,
player,201710010nwe,nwe,LewiDi00,rec_long,9,,,,,
player,201710010nwe,nwe,LewiDi00,fumbles,0,,,,,
player,201710010nwe,nwe,LewiDi00,fumbles_lost,0,,,,,
player,201710010nwe,nwe,WhitJa02,pass_cmp,0,,,,,
player,201710010nwe,nwe,WhitJa02,pass_att,0,,,,,
player,201710010nwe,nwe,WhitJa02,pass_yds,0,,,,,
player,201710010nwe,nwe,WhitJa02,pass_td,0,,,,,
player,201710010nwe,nwe,WhitJa02,pass_int,0,,,,,
player,201710010nwe,nwe,WhitJa02,pass_sacked,0,,,,,
player,201710010nwe,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201710010nwe,nwe,WhitJa02,pass_long,0,,,,,
player,201710010nwe,nwe,WhitJa02,pass_rating,,,,,,
player,201710010nwe,nwe,WhitJa02,rush_att,1,,,,,
player,201710010nwe,nwe,WhitJa02,rush_yds,7,,,,,
player,201710010nwe,nwe,WhitJa02,rush_td,0,,,,,
player,201710010nwe,nwe,WhitJa02,rush_long,7,,,,,
player,201710010nwe,nwe,WhitJa02,targets,12,,,,,
player,201710010nwe,nwe,WhitJa02,rec,10,,,,,
player,201710010nwe,nwe,WhitJa02,rec_yds,47,,,,,
player,201710010nwe,nwe,WhitJa02,rec_td,0,,,,,
player,201710010nwe,nwe,WhitJa02,rec_long,9,,,,,
player,201710010nwe,nwe,WhitJa02,fumbles,0,,,,,
player,201710010nwe,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201710010nwe,nwe,CookBr00,pass_cmp,0,,,,,
player,201710010nwe,nwe,CookBr00,pass_att,0,,,,,
player,201710010nwe,nwe,CookBr00,pass_yds,0,,,,,
player,201710010nwe,nwe,CookBr00,pass_td,0,,,,,
player,201710010nwe,nwe,CookBr00,pass_int,0,,,,,
player,201710010nwe,nwe,CookBr00,pass_sacked,0,,,,,
player,201710010nwe,nwe,CookBr00,pass_sacked_yds,0,,,,,
player,201710010nwe,nwe,CookBr00,pass_long,0,,,,,
player,201710010nwe,nwe,CookBr00,pass_rating,,,,,,
player,201710010nwe,nwe,CookBr00,rush_att,1,,,,,
player,201710010nwe,nwe,CookBr00,rush_yds,4,,,,,
player,201710010nwe,nwe,CookBr00,rush_td,0,,,,,
player,201710010nwe,nwe,CookBr00,rush_long,4,,,,,
player,201710010nwe,nwe,CookBr00,targets,6,,,,,
player,201710010nwe,nwe,CookBr00,rec,3,,,,,
player,201710010nwe,nwe,CookBr00,rec_yds,38,,,,,
player,201710010nwe,nwe,CookBr00,rec_td,0,,,,,
player,201710010nwe,nwe,CookBr00,rec_long,17,,,,,
player,201710010nwe,nwe,CookBr00,fumbles,0,,,,,
player,201710010nwe,nwe,CookBr00,fumbles_lost,0,,,,,
player,201710010nwe,nwe,GronRo00,pass_cmp,0,,,,,
player,201710010nwe,nwe,GronRo00,pass_att,0,,,,,
player,201710010nwe,nwe,GronRo00,pass_yds,0,,,,,
player,201710010nwe,nwe,GronRo00,pass_td,0,,,,,
player,201710010nwe,nwe,GronRo00,pass_int,0,,,,,
player,201710010nwe,nwe,GronRo00,pass_sacked,0,,,,,
player,201710010nwe,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201710010nwe,nwe,GronRo00,pass_long,0,,,,,
player,201710010nwe,nwe,GronRo00,pass_rating,,,,,,
player,201710010nwe,nwe,GronRo00,rush_att,0,,,,,
player,201710010nwe,nwe,GronRo00,rush_yds,0,,,,,
player,201710010nwe,nwe,GronRo00,rush_td,0,,,,,
player,201710010nwe,nwe,GronRo00,rush_long,0,,,,,
player,201710010nwe,nwe,GronRo00,targets,5,,,,,
player,201710010nwe,nwe,GronRo00,rec,4,,,,,
player,201710010nwe,nwe,GronRo00,rec_yds,80,,,,,
player,201710010nwe,nwe,GronRo00,rec_td,0,,,,,
player,201710010nwe,nwe,GronRo00,rec_long,43,,,,,
player,201710010nwe,nwe,GronRo00,fumbles,0,,,,,
player,201710010nwe,nwe,GronRo00,fumbles_lost,0,,,,,
player,201710010nwe,nwe,HogaCh00,pass_cmp,0,,,,,
player,201710010nwe,nwe,HogaCh00,pass_att,0,,,,,
player,201710010nwe,nwe,HogaCh00,pass_yds,0,,,,,
player,201710010nwe,nwe,HogaCh00,pass_td,0,,,,,
player,201710010nwe,nwe,HogaCh00,pass_int,0,,,,,
player,201710010nwe,nwe,HogaCh00,pass_sacked,0,,,,,
player,201710010nwe,nwe,HogaCh00,pass_sacked_yds,0,,,,,
player,201710010nwe,nwe,HogaCh00,pass_long,0,,,,,
player,201710010nwe,nwe,HogaCh00,pass_rating,,,,,,
player,201710010nwe,nwe,HogaCh00,rush_att,0,,,,,
player,201710010nwe,nwe,HogaCh00,rush_yds,0,,,,,
player,201710010nwe,nwe,HogaCh00,rush_td,0,,,,,
player,201710010nwe,nwe,HogaCh00,rush_long,0,,,,,
player,201710010nwe,nwe,HogaCh00,targets,9,,,,,
player,201710010nwe,nwe,HogaCh00,rec,5,,,,,
player,201710010nwe,nwe,HogaCh00,rec_yds,60,,,,,
player,201710010nwe,nwe,HogaCh00,rec_td,1,,,,,
player,201710010nwe,nwe,HogaCh00,rec_long,26,,,,,
player,201710010nwe,nwe,HogaCh00,fumbles,0,,,,,
player,201710010nwe,nwe,HogaCh00,fumbles_lost,0,,,,,
player,201710010nwe,nwe,AmenDa00,pass_cmp,0,,,,,
player,201710010nwe,nwe,AmenDa00,pass_att,0,,,,,
player,201710010nwe,nwe,AmenDa00,pass_yds,0,,,,,
player,201710010nwe,nwe,AmenDa00,pass_td,0,,,,,
player,201710010nwe,nwe,AmenDa00,pass_int,0,,,,,
player,201710010nwe,nwe,AmenDa00,pass_sacked,0,,,,,
player,201710010nwe,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201710010nwe,nwe,AmenDa00,pass_long,0,,,,,
player,201710010nwe,nwe,AmenDa00,pass_rating,,,,,,
player,201710010nwe,nwe,AmenDa00,rush_att,0,,,,,
player,201710010nwe,nwe,AmenDa00,rush_yds,0,,,,,
player,201710010nwe,nwe,AmenDa00,rush_td,0,,,,,
player,201710010nwe,nwe,AmenDa00,rush_long,0,,,,,
player,201710010nwe,nwe,AmenDa00,targets,7,,,,,
player,201710010nwe,nwe,AmenDa00,rec,6,,,,,
player,201710010nwe,nwe,AmenDa00,rec_yds,42,,,,,
player,201710010nwe,nwe,AmenDa00,rec_td,1,,,,,
player,201710010nwe,nwe,AmenDa00,rec_long,16,,,,,
player,201710010nwe,nwe,AmenDa00,fumbles,0,,,,,
player,201710010nwe,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201710010nwe,nwe,DorsPh00,pass_cmp,0,,,,,
player,201710010nwe,nwe,DorsPh00,pass_att,0,,,,,
player,201710010nwe,nwe,DorsPh00,pass_yds,0,,,,,
player,201710010nwe,nwe,DorsPh00,pass_td,0,,,,,
player,201710010nwe,nwe,DorsPh00,pass_int,0,,,,,
player,201710010nwe,nwe,DorsPh00,pass_sacked,0,,,,,
player,201710010nwe,nwe,DorsPh00,pass_sacked_yds,0,,,,,
player,201710010nwe,nwe,DorsPh00,pass_long,0,,,,,
player,201710010nwe,nwe,DorsPh00,pass_rating,,,,,,
player,201710010nwe,nwe,DorsPh00,rush_att,0,,,,,
player,201710010nwe,nwe,DorsPh00,rush_yds,0,,,,,
player,201710010nwe,nwe,DorsPh00,rush_td,0,,,,,
player,201710010nwe,nwe,DorsPh00,rush_long,0,,,,,
player,201710010nwe,nwe,DorsPh00,targets,1,,,,,
player,201710010nwe,nwe,DorsPh00,rec,1,,,,,
player,201710010nwe,nwe,DorsPh00,rec_yds,17,,,,,
player,201710010nwe,nwe,DorsPh00,rec_td,0,,,,,
player,201710010nwe,nwe,DorsPh00,rec_long,17,,,,,
player,201710010nwe,nwe,DorsPh00,fumbles,0,,,,,
player,201710010nwe,nwe,DorsPh00,fumbles_lost,0,,,,,
player,201710010nwe,nwe,DeveJa00,pass_cmp,0,,,,,
player,201710010nwe,nwe,DeveJa00,pass_att,0,,,,,
player,201710010nwe,nwe,DeveJa00,pass_yds,0,,,,,
player,201710010nwe,nwe,DeveJa00,pass_td,0,,,,,
player,201710010nwe,nwe,DeveJa00,pass_int,0,,,,,
player,201710010nwe,nwe,DeveJa00,pass_sacked,0,,,,,
player,201710010nwe,nwe,DeveJa00,pass_sacked_yds,0,,,,,
player,201710010nwe,nwe,DeveJa00,pass_long,0,,,,,
player,201710010nwe,nwe,DeveJa00,pass_rating,,,,,,
player,201710010nwe,nwe,DeveJa00,rush_att,0,,,,,
player,201710010nwe,nwe,DeveJa00,rush_yds,0,,,,,
player,201710010nwe,nwe,DeveJa00,rush_td,0,,,,,
player,201710010nwe,nwe,DeveJa00,rush_long,0,,,,,
player,201710010nwe,nwe,DeveJa00,targets,2,,,,,
player,201710010nwe,nwe,DeveJa00,rec,2,,,,,
player,201710010nwe,nwe,DeveJa00,rec_yds,14,,,,,
player,201710010nwe,nwe,DeveJa00,rec_td,0,,,,,
player,201710010nwe,nwe,DeveJa00,rec_long,8,,,,,
player,201710010nwe,nwe,DeveJa00,fumbles,0,,,,,
player,201710010nwe,nwe,DeveJa00,fumbles_lost,0,,,,,
player,201710010nwe,nwe,HollJa03,pass_cmp,0,,,,,
player,201710010nwe,nwe,HollJa03,pass_att,0,,,,,
player,201710010nwe,nwe,HollJa03,pass_yds,0,,,,,
player,201710010nwe,nwe,HollJa03,pass_td,0,,,,,
player,201710010nwe,nwe,HollJa03,pass_int,0,,,,,
player,201710010nwe,nwe,HollJa03,pass_sacked,0,,,,,
player,201710010nwe,nwe,HollJa03,pass_sacked_yds,0,,,,,
player,201710010nwe,nwe,HollJa03,pass_long,0,,,,,
player,201710010nwe,nwe,HollJa03,pass_rating,,,,,,
player,201710010nwe,nwe,HollJa03,rush_att,0,,,,,
player,201710010nwe,nwe,HollJa03,rush_yds,0,,,,,
player,201710010nwe,nwe,HollJa03,rush_td,0,,,,,
player,201710010nwe,nwe,HollJa03,rush_long,0,,,,,
player,201710010nwe,nwe,HollJa03,targets,1,,,,,
player,201710010nwe,nwe,HollJa03,rec,0,,,,,
player,201710010nwe,nwe,HollJa03,rec_yds,0,,,,,
player,201710010nwe,nwe,HollJa03,rec_td,0,,,,,
player,201710010nwe,nwe,HollJa03,rec_long,0,,,,,
player,201710010nwe,nwe,HollJa03,fumbles,0,,,,,
player,201710010nwe,nwe,HollJa03,fumbles_lost,0,,,,,
player,201710010nwe,nwe,AlleDw00,pass_cmp,0,,,,,
player,201710010nwe,nwe,AlleDw00,pass_att,0,,,,,
player,201710010nwe,nwe,AlleDw00,pass_yds,0,,,,,
player,201710010nwe,nwe,AlleDw00,pass_td,0,,,,,
player,201710010nwe,nwe,AlleDw00,pass_int,0,,,,,
player,201710010nwe,nwe,AlleDw00,pass_sacked,0,,,,,
player,201710010nwe,nwe,AlleDw00,pass_sacked_yds,0,,,,,
player,201710010nwe,nwe,AlleDw00,pass_long,0,,,,,
player,201710010nwe,nwe,AlleDw00,pass_rating,,,,,,
player,201710010nwe,nwe,AlleDw00,rush_att,0,,,,,
player,201710010nwe,nwe,AlleDw00,rush_yds,0,,,,,
player,201710010nwe,nwe,AlleDw00,rush_td,0,,,,,
player,201710010nwe,nwe,AlleDw00,rush_long,0,,,,,
player,201710010nwe,nwe,AlleDw00,targets,1,,,,,
player,201710010nwe,nwe,AlleDw00,rec,0,,,,,
player,201710010nwe,nwe,AlleDw00,rec_yds,0,,,,,
player,201710010nwe,nwe,AlleDw00,rec_td,0,,,,,
player,201710010nwe,nwe,AlleDw00,rec_long,0,,,,,
