game,2017,2,20170917,201709170clt,crd,"Arizona Cardinals",16,clt,"Indianapolis Colts",13
player,201709170clt,crd,WillKe05,rec_long,0,,,,,
player,201709170clt,crd,WillKe05,fumbles,0,,,,,
player,201709170clt,crd,WillKe05,fumbles_lost,0,,,,,
player,201709170clt,crd,ElliAn00,pass_cmp,0,,,,,
player,201709170clt,crd,ElliAn00,pass_att,0,,,,,
player,201709170clt,crd,ElliAn00,pass_yds,0,,,,,
player,201709170clt,crd,ElliAn00,pass_td,0,,,,,
player,201709170clt,crd,ElliAn00,pass_int,0,,,,,
player,201709170clt,crd,ElliAn00,pass_sacked,0,,,,,
player,201709170clt,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201709170clt,crd,ElliAn00,pass_long,0,,,,,
player,201709170clt,crd,ElliAn00,pass_rating,,,,,,
player,201709170clt,crd,ElliAn00,rush_att,2,,,,,
player,201709170clt,crd,ElliAn00,rush_yds,11,,,,,
player,201709170clt,crd,ElliAn00,rush_td,0,,,,,
player,201709170clt,crd,ElliAn00,rush_long,6,,,,,
player,201709170clt,crd,ElliAn00,targets,5,,,,,
player,201709170clt,crd,ElliAn00,rec,3,,,,,
player,201709170clt,crd,ElliAn00,rec_yds,12,,,,,
player,201709170clt,crd,ElliAn00,rec_td,0,,,,,
player,201709170clt,crd,ElliAn00,rec_long,22,,,,,
player,201709170clt,crd,ElliAn00,fumbles,0,,,,,
player,201709170clt,crd,ElliAn00,fumbles_lost,0,,,,,
player,201709170clt,crd,NelsJJ00,pass_cmp,0,,,,,
player,201709170clt,crd,NelsJJ00,pass_att,0,,,,,
player,201709170clt,crd,NelsJJ00,pass_yds,0,,,,,
player,201709170clt,crd,NelsJJ00,pass_td,0,,,,,
player,201709170clt,crd,NelsJJ00,pass_int,0,,,,,
player,201709170clt,crd,NelsJJ00,pass_sacked,0,,,,,
player,201709170clt,crd,NelsJJ00,pass_sacked_yds,0,,,,,
player,201709170clt,crd,NelsJJ00,pass_long,0,,,,,
player,201709170clt,crd,NelsJJ00,pass_rating,,,,,,
player,201709170clt,crd,NelsJJ00,rush_att,0,,,,,
player,201709170clt,crd,NelsJJ00,rush_yds,0,,,,,
player,201709170clt,crd,NelsJJ00,rush_td,0,,,,,
player,201709170clt,crd,NelsJJ00,rush_long,0,,,,,
player,201709170clt,crd,NelsJJ00,targets,7,,,,,
player,201709170clt,crd,NelsJJ00,rec,5,,,,,
player,201709170clt,crd,NelsJJ00,rec_yds,120,,,,,
player,201709170clt,crd,NelsJJ00,rec_td,1,,,,,
player,201709170clt,crd,NelsJJ00,rec_long,45,,,,,
player,201709170clt,crd,NelsJJ00,fumbles,0,,,,,
player,201709170clt,crd,NelsJJ00,fumbles_lost,0,,,,,
player,201709170clt,crd,BrowJa03,pass_cmp,0,,,,,
player,201709170clt,crd,BrowJa03,pass_att,0,,,,,
player,201709170clt,crd,BrowJa03,pass_yds,0,,,,,
player,201709170clt,crd,BrowJa03,pass_td,0,,,,,
player,201709170clt,crd,BrowJa03,pass_int,0,,,,,
player,201709170clt,crd,BrowJa03,pass_sacked,0,,,,,
player,201709170clt,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201709170clt,crd,BrowJa03,pass_long,0,,,,,
player,201709170clt,crd,BrowJa03,pass_rating,,,,,,
player,201709170clt,crd,BrowJa03,rush_att,0,,,,,
player,201709170clt,crd,BrowJa03,rush_yds,0,,,,,
player,201709170clt,crd,BrowJa03,rush_td,0,,,,,
player,201709170clt,crd,BrowJa03,rush_long,0,,,,,
player,201709170clt,crd,BrowJa03,targets,11,,,,,
player,201709170clt,crd,BrowJa03,rec,4,,,,,
player,201709170clt,crd,BrowJa03,rec_yds,73,,,,,
player,201709170clt,crd,BrowJa03,rec_td,0,,,,,
player,201709170clt,crd,BrowJa03,rec_long,22,,,,,
player,201709170clt,crd,BrowJa03,fumbles,0,,,,,
player,201709170clt,crd,BrowJa03,fumbles_lost,0,,,,,
player,201709170clt,crd,MomaIf00,pass_cmp,0,,,,,
player,201709170clt,crd,MomaIf00,pass_att,0,,,,,
player,201709170clt,crd,MomaIf00,pass_yds,0,,,,,
player,201709170clt,crd,MomaIf00,pass_td,0,,,,,
player,201709170clt,crd,MomaIf00,pass_int,0,,,,,
player,201709170clt,crd,MomaIf00,pass_sacked,0,,,,,
player,201709170clt,crd,MomaIf00,pass_sacked_yds,0,,,,,
player,201709170clt,crd,MomaIf00,pass_long,0,,,,,
player,201709170clt,crd,MomaIf00,pass_rating,,,,,,
player,201709170clt,crd,MomaIf00,rush_att,0,,,,,
player,201709170clt,crd,MomaIf00,rush_yds,0,,,,,
player,201709170clt,crd,MomaIf00,rush_td,0,,,,,
player,201709170clt,crd,MomaIf00,rush_long,0,,,,,
player,201709170clt,crd,MomaIf00,targets,2,,,,,
player,201709170clt,crd,MomaIf00,rec,1,,,,,
player,201709170clt,crd,MomaIf00,rec_yds,46,,,,,
player,201709170clt,crd,MomaIf00,rec_td,0,,,,,
player,201709170clt,crd,MomaIf00,rec_long,46,,,,,
player,201709170clt,crd,MomaIf00,fumbles,0,,,,,
player,201709170clt,crd,MomaIf00,fumbles_lost,0,,,,,
player,201709170clt,crd,GoldBr00,pass_cmp,0,,,,,
player,201709170clt,crd,GoldBr00,pass_att,0,,,,,
player,201709170clt,crd,GoldBr00,pass_yds,0,,,,,
player,201709170clt,crd,GoldBr00,pass_td,0,,,,,
player,201709170clt,crd,GoldBr00,pass_int,0,,,,,
player,201709170clt,crd,GoldBr00,pass_sacked,0,,,,,
player,201709170clt,crd,GoldBr00,pass_sacked_yds,0,,,,,
player,201709170clt,crd,GoldBr00,pass_long,0,,,,,
player,201709170clt,crd,GoldBr00,pass_rating,,,,,,
player,201709170clt,crd,GoldBr00,rush_att,0,,,,,
player,201709170clt,crd,GoldBr00,rush_yds,0,,,,,
player,201709170clt,crd,GoldBr00,rush_td,0,,,,,
player,201709170clt,crd,GoldBr00,rush_long,0,,,,,
player,201709170clt,crd,GoldBr00,targets,2,,,,,
player,201709170clt,crd,GoldBr00,rec,1,,,,,
player,201709170clt,crd,GoldBr00,rec_yds,29,,,,,
player,201709170clt,crd,GoldBr00,rec_td,0,,,,,
player,201709170clt,crd,GoldBr00,rec_long,29,,,,,
player,201709170clt,crd,GoldBr00,fumbles,0,,,,,
player,201709170clt,crd,GoldBr00,fumbles_lost,0,,,,,
player,201709170clt,crd,FitzLa00,pass_cmp,0,,,,,
player,201709170clt,crd,FitzLa00,pass_att,0,,,,,
player,201709170clt,crd,FitzLa00,pass_yds,0,,,,,
player,201709170clt,crd,FitzLa00,pass_td,0,,,,,
player,201709170clt,crd,FitzLa00,pass_int,0,,,,,
player,201709170clt,crd,FitzLa00,pass_sacked,0,,,,,
player,201709170clt,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201709170clt,crd,FitzLa00,pass_long,0,,,,,
player,201709170clt,crd,FitzLa00,pass_rating,,,,,,
player,201709170clt,crd,FitzLa00,rush_att,0,,,,,
player,201709170clt,crd,FitzLa00,rush_yds,0,,,,,
player,201709170clt,crd,FitzLa00,rush_td,0,,,,,
player,201709170clt,crd,FitzLa00,rush_long,0,,,,,
player,201709170clt,crd,FitzLa00,targets,6,,,,,
player,201709170clt,crd,FitzLa00,rec,3,,,,,
player,201709170clt,crd,FitzLa00,rec_yds,21,,,,,
player,201709170clt,crd,FitzLa00,rec_td,0,,,,,
player,201709170clt,crd,FitzLa00,rec_long,10,,,,,
player,201709170clt,crd,FitzLa00,fumbles,0,,,,,
player,201709170clt,crd,FitzLa00,fumbles_lost,0,,,,,
player,201709170clt,crd,NiklTr00,pass_cmp,0,,,,,
player,201709170clt,crd,NiklTr00,pass_att,0,,,,,
player,201709170clt,crd,NiklTr00,pass_yds,0,,,,,
player,201709170clt,crd,NiklTr00,pass_td,0,,,,,
player,201709170clt,crd,NiklTr00,pass_int,0,,,,,
player,201709170clt,crd,NiklTr00,pass_sacked,0,,,,,
player,201709170clt,crd,NiklTr00,pass_sacked_yds,0,,,,,
player,201709170clt,crd,NiklTr00,pass_long,0,,,,,
player,201709170clt,crd,NiklTr00,pass_rating,,,,,,
player,201709170clt,crd,NiklTr00,rush_att,0,,,,,
player,201709170clt,crd,NiklTr00,rush_yds,0,,,,,
player,201709170clt,crd,NiklTr00,rush_td,0,,,,,
player,201709170clt,crd,NiklTr00,rush_long,0,,,,,
player,201709170clt,crd,NiklTr00,targets,1,,,,,
player,201709170clt,crd,NiklTr00,rec,1,,,,,
player,201709170clt,crd,NiklTr00,rec_yds,16,,,,,
player,201709170clt,crd,NiklTr00,rec_td,0,,,,,
player,201709170clt,crd,NiklTr00,rec_long,16,,,,,
player,201709170clt,crd,NiklTr00,fumbles,0,,,,,
player,201709170clt,crd,NiklTr00,fumbles_lost,0,,,,,
player,201709170clt,crd,WillCh05,pass_cmp,0,,,,,
player,201709170clt,crd,WillCh05,pass_att,0,,,,,
player,201709170clt,crd,WillCh05,pass_yds,0,,,,,
player,201709170clt,crd,WillCh05,pass_td,0,,,,,
player,201709170clt,crd,WillCh05,pass_int,0,,,,,
player,201709170clt,crd,WillCh05,pass_sacked,0,,,,,
player,201709170clt,crd,WillCh05,pass_sacked_yds,0,,,,,
player,201709170clt,crd,WillCh05,pass_long,0,,,,,
player,201709170clt,crd,WillCh05,pass_rating,,,,,,
player,201709170clt,crd,WillCh05,rush_att,0,,,,,
player,201709170clt,crd,WillCh05,rush_yds,0,,,,,
player,201709170clt,crd,WillCh05,rush_td,0,,,,,
player,201709170clt,crd,WillCh05,rush_long,0,,,,,
player,201709170clt,crd,WillCh05,targets,2,,,,,
player,201709170clt,crd,WillCh05,rec,1,,,,,
player,201709170clt,crd,WillCh05,rec_yds,15,,,,,
player,201709170clt,crd,WillCh05,rec_td,0,,,,,
player,201709170clt,crd,WillCh05,rec_long,15,,,,,
player,201709170clt,crd,WillCh05,fumbles,0,,,,,
player,201709170clt,crd,WillCh05,fumbles_lost,0,,,,,
player,201709170clt,clt,BrisJa00,pass_cmp,20,,,,,
player,201709170clt,clt,BrisJa00,pass_att,37,,,,,
player,201709170clt,clt,BrisJa00,pass_yds,216,,,,,
player,201709170clt,clt,BrisJa00,pass_td,0,,,,,
player,201709170clt,clt,BrisJa00,pass_int,1,,,,,
player,201709170clt,clt,BrisJa00,pass_sacked,4,,,,,
player,201709170clt,clt,BrisJa00,pass_sacked_yds,26,,,,,
player,201709170clt,clt,BrisJa00,pass_long,20,,,,,
player,201709170clt,clt,BrisJa00,pass_rating,60.2,,,,,
player,201709170clt,clt,BrisJa00,rush_att,6,,,,,
player,201709170clt,clt,BrisJa00,rush_yds,22,,,,,
player,201709170clt,clt,BrisJa00,rush_td,0,,,,,
player,201709170clt,clt,BrisJa00,rush_long,11,,,,,
player,201709170clt,clt,BrisJa00,targets,0,,,,,
player,201709170clt,clt,BrisJa00,rec,0,,,,,
player,201709170clt,clt,BrisJa00,rec_yds,0,,,,,
player,201709170clt,clt,BrisJa00,rec_td,0,,,,,
player,201709170clt,clt,BrisJa00,rec_long,0,,,,,
player,201709170clt,clt,BrisJa00,fumbles,1,,,,,
player,201709170clt,clt,BrisJa00,fumbles_lost,0,,,,,
player,201709170clt,clt,GoreFr00,pass_cmp,0,,,,,
player,201709170clt,clt,GoreFr00,pass_att,0,,,,,
player,201709170clt,clt,GoreFr00,pass_yds,0,,,,,
player,201709170clt,clt,GoreFr00,pass_td,0,,,,,
player,201709170clt,clt,GoreFr00,pass_int,0,,,,,
player,201709170clt,clt,GoreFr00,pass_sacked,0,,,,,
player,201709170clt,clt,GoreFr00,pass_sacked_yds,0,,,,,
player,201709170clt,clt,GoreFr00,pass_long,0,,,,,
player,201709170clt,clt,GoreFr00,pass_rating,,,,,,
player,201709170clt,clt,GoreFr00,rush_att,14,,,,,
player,201709170clt,clt,GoreFr00,rush_yds,46,,,,,
player,201709170clt,clt,GoreFr00,rush_td,1,,,,,
player,201709170clt,clt,GoreFr00,rush_long,13,,,,,
player,201709170clt,clt,GoreFr00,targets,2,,,,,
player,201709170clt,clt,GoreFr00,rec,0,,,,,
player,201709170clt,clt,GoreFr00,rec_yds,0,,,,,
player,201709170clt,clt,GoreFr00,rec_td,0,,,,,
player,201709170clt,clt,GoreFr00,rec_long,0,,,,,
player,201709170clt,clt,GoreFr00,fumbles,0,,,,,
player,201709170clt,clt,GoreFr00,fumbles_lost,0,,,,,
player,201709170clt,clt,TurbRo00,pass_cmp,0,,,,,
player,201709170clt,clt,TurbRo00,pass_att,0,,,,,
player,201709170clt,clt,TurbRo00,pass_yds,0,,,,,
player,201709170clt,clt,TurbRo00,pass_td,0,,,,,
player,201709170clt,clt,TurbRo00,pass_int,0,,,,,
player,201709170clt,clt,TurbRo00,pass_sacked,0,,,,,
player,201709170clt,clt,TurbRo00,pass_sacked_yds,0,,,,,
player,201709170clt,clt,TurbRo00,pass_long,0,,,,,
player,201709170clt,clt,TurbRo00,pass_rating,,,,,,
player,201709170clt,clt,TurbRo00,rush_att,3,,,,,
player,201709170clt,clt,TurbRo00,rush_yds,11,,,,,
player,201709170clt,clt,TurbRo00,rush_td,0,,,,,
player,201709170clt,clt,TurbRo00,rush_long,5,,,,,
player,201709170clt,clt,TurbRo00,targets,1,,,,,
player,201709170clt,clt,TurbRo00,rec,1,,,,,
player,201709170clt,clt,TurbRo00,rec_yds,8,,,,,
player,201709170clt,clt,TurbRo00,rec_td,0,,,,,
player,201709170clt,clt,TurbRo00,rec_long,8,,,,,
player,201709170clt,clt,TurbRo00,fumbles,0,,,,,
player,201709170clt,clt,TurbRo00,fumbles_lost,0,,,,,
player,201709170clt,clt,DoylJa00,pass_cmp,0,,,,,
player,201709170clt,clt,DoylJa00,pass_att,0,,,,,
player,201709170clt,clt,DoylJa00,pass_yds,0,,,,,
player,201709170clt,clt,DoylJa00,pass_td,0,,,,,
player,201709170clt,clt,DoylJa00,pass_int,0,,,,,
player,201709170clt,clt,DoylJa00,pass_sacked,0,,,,,
player,201709170clt,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201709170clt,clt,DoylJa00,pass_long,0,,,,,
player,201709170clt,clt,DoylJa00,pass_rating,,,,,,
player,201709170clt,clt,DoylJa00,rush_att,0,,,,,
player,201709170clt,clt,DoylJa00,rush_yds,0,,,,,
player,201709170clt,clt,DoylJa00,rush_td,0,,,,,
player,201709170clt,clt,DoylJa00,rush_long,0,,,,,
player,201709170clt,clt,DoylJa00,targets,8,,,,,
player,201709170clt,clt,DoylJa00,rec,8,,,,,
player,201709170clt,clt,DoylJa00,rec_yds,79,,,,,
player,201709170clt,clt,DoylJa00,rec_td,0,,,,,
player,201709170clt,clt,DoylJa00,rec_long,15,,,,,
player,201709170clt,clt,DoylJa00,fumbles,0,,,,,
player,201709170clt,clt,DoylJa00,fumbles_lost,0,,,,,
player,201709170clt,clt,HiltT.00,pass_cmp,0,,,,,
player,201709170clt,clt,HiltT.00,pass_att,0,,,,,
player,201709170clt,clt,HiltT.00,pass_yds,0,,,,,
player,201709170clt,clt,HiltT.00,pass_td,0,,,,,
player,201709170clt,clt,HiltT.00,pass_int,0,,,,,
player,201709170clt,clt,HiltT.00,pass_sacked,0,,,,,
player,201709170clt,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201709170clt,clt,HiltT.00,pass_long,0,,,,,
player,201709170clt,clt,HiltT.00,pass_rating,,,,,,
player,201709170clt,clt,HiltT.00,rush_att,0,,,,,
player,201709170clt,clt,HiltT.00,rush_yds,0,,,,,
player,201709170clt,clt,HiltT.00,rush_td,0,,,,,
player,201709170clt,clt,HiltT.00,rush_long,0,,,,,
player,201709170clt,clt,HiltT.00,targets,6,,,,,
player,201709170clt,clt,HiltT.00,rec,4,,,,,
player,201709170clt,clt,HiltT.00,rec_yds,49,,,,,
player,201709170clt,clt,HiltT.00,rec_td,0,,,,,
player,201709170clt,clt,HiltT.00,rec_long,16,,,,,
player,201709170clt,clt,HiltT.00,fumbles,0,,,,,
player,201709170clt,clt,HiltT.00,fumbles_lost,0,,,,,
player,201709170clt,clt,AikeKa00,pass_cmp,0,,,,,
player,201709170clt,clt,AikeKa00,pass_att,0,,,,,
player,201709170clt,clt,AikeKa00,pass_yds,0,,,,,
player,201709170clt,clt,AikeKa00,pass_td,0,,,,,
player,201709170clt,clt,AikeKa00,pass_int,0,,,,,
player,201709170clt,clt,AikeKa00,pass_sacked,0,,,,,
player,201709170clt,clt,AikeKa00,pass_sacked_yds,0,,,,,
player,201709170clt,clt,AikeKa00,pass_long,0,,,,,
player,201709170clt,clt,AikeKa00,pass_rating,,,,,,
player,201709170clt,clt,AikeKa00,rush_att,0,,,,,
player,201709170clt,clt,AikeKa00,rush_yds,0,,,,,
player,201709170clt,clt,AikeKa00,rush_td,0,,,,,
player,201709170clt,clt,AikeKa00,rush_long,0,,,,,
player,201709170clt,clt,AikeKa00,targets,9,,,,,
player,201709170clt,clt,AikeKa00,rec,3,,,,,
player,201709170clt,clt,AikeKa00,rec_yds,31,,,,,
player,201709170clt,clt,AikeKa00,rec_td,0,,,,,
player,201709170clt,clt,AikeKa00,rec_long,14,,,,,
player,201709170clt,clt,AikeKa00,fumbles,0,,,,,
player,201709170clt,clt,AikeKa00,fumbles_lost,0,,,,,
player,201709170clt,clt,WillBr04,pass_cmp,0,,,,,
player,201709170clt,clt,WillBr04,pass_att,0,,,,,
player,201709170clt,clt,WillBr04,pass_yds,0,,,,,
player,201709170clt,clt,WillBr04,pass_td,0,,,,,
player,201709170clt,clt,WillBr04,pass_int,0,,,,,
player,201709170clt,clt,WillBr04,pass_sacked,0,,,,,
player,201709170clt,clt,WillBr04,pass_sacked_yds,0,,,,,
player,201709170clt,clt,WillBr04,pass_long,0,,,,,
player,201709170clt,clt,WillBr04,pass_rating,,,,,,
player,201709170clt,clt,WillBr04,rush_att,0,,,,,
player,201709170clt,clt,WillBr04,rush_yds,0,,,,,
player,201709170clt,clt,WillBr04,rush_td,0,,,,,
player,201709170clt,clt,WillBr04,rush_long,0,,,,,
player,201709170clt,clt,WillBr04,targets,1,,,,,
player,201709170clt,clt,WillBr04,rec,1,,,,,
player,201709170clt,clt,WillBr04,rec_yds,20,,,,,
player,201709170clt,clt,WillBr04,rec_td,0,,,,,
player,201709170clt,clt,WillBr04,rec_long,20,,,,,
player,201709170clt,clt,WillBr04,fumbles,0,,,,,
player,201709170clt,clt,WillBr04,fumbles_lost,0,,,,,
player,201709170clt,clt,MoncDo00,pass_cmp,0,,,,,
player,201709170clt,clt,MoncDo00,pass_att,0,,,,,
player,201709170clt,clt,MoncDo00,pass_yds,0,,,,,
player,201709170clt,clt,MoncDo00,pass_td,0,,,,,
player,201709170clt,clt,MoncDo00,pass_int,0,,,,,
player,201709170clt,clt,MoncDo00,pass_sacked,0,,,,,
player,201709170clt,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201709170clt,clt,MoncDo00,pass_long,0,,,,,
player,201709170clt,clt,MoncDo00,pass_rating,,,,,,
player,201709170clt,clt,MoncDo00,rush_att,0,,,,,
player,201709170clt,clt,MoncDo00,rush_yds,0,,,,,
player,201709170clt,clt,MoncDo00,rush_td,0,,,,,
player,201709170clt,clt,MoncDo00,rush_long,0,,,,,
player,201709170clt,clt,MoncDo00,targets,8,,,,,
player,201709170clt,clt,MoncDo00,rec,2,,,,,
player,201709170clt,clt,MoncDo00,rec_yds,18,,,,,
player,201709170clt,clt,MoncDo00,rec_td,0,,,,,
player,201709170clt,clt,MoncDo00,rec_long,15,,,,,
player,201709170clt,clt,MoncDo00,fumbles,0,,,,,
player,201709170clt,clt,MoncDo00,fumbles_lost,0,,,,,
player,201709170clt,clt,MackMa00,pass_cmp,0,,,,,
player,201709170clt,clt,MackMa00,pass_att,0,,,,,
player,201709170clt,clt,MackMa00,pass_yds,0,,,,,
player,201709170clt,clt,MackMa00,pass_td,0,,,,,
player,201709170clt,clt,MackMa00,pass_int,0,,,,,
player,201709170clt,clt,MackMa00,pass_sacked,0,,,,,
player,201709170clt,clt,MackMa00,pass_sacked_yds,0,,,,,
player,201709170clt,clt,MackMa00,pass_long,0,,,,,
player,201709170clt,clt,MackMa00,pass_rating,,,,,,
player,201709170clt,clt,MackMa00,rush_att,6,,,,,
player,201709170clt,clt,MackMa00,rush_yds,-3,,,,,
player,201709170clt,clt,MackMa00,rush_td,0,,,,,
player,201709170clt,clt,MackMa00,rush_long,3,,,,,
player,201709170clt,clt,MackMa00,targets,1,,,,,
player,201709170clt,clt,MackMa00,rec,1,,,,,
player,201709170clt,clt,MackMa00,rec_yds,11,,,,,
player,201709170clt,clt,MackMa00,rec_td,0,,,,,
player,201709170clt,clt,MackMa00,rec_long,11,,,,,
player,201709170clt,clt,MackMa00,fumbles,0,,,,,
player,201709170clt,clt,MackMa00,fumbles_lost,0,,,,,
player,201709170clt,crd,MathTy00,def_int,1,,,,,
player,201709170clt,crd,MathTy00,def_int_yds,15,,,,,
player,201709170clt,crd,MathTy00,def_int_td,0,,,,,
player,201709170clt,crd,MathTy00,def_int_long,15,,,,,
player,201709170clt,crd,MathTy00,pass_defended,2,,,,,
player,201709170clt,crd,MathTy00,sacks,0.0,,,,,
player,201709170clt,crd,MathTy00,tackles_combined,3,,,,,
player,201709170clt,crd,MathTy00,tackles_solo,3,,,,,
player,201709170clt,crd,MathTy00,tackles_assists,0,,,,,
player,201709170clt,crd,MathTy00,tackles_loss,1,,,,,
player,201709170clt,crd,MathTy00,qb_hits,0,,,,,
player,201709170clt,crd,MathTy00,fumbles_rec,0,,,,,
player,201709170clt,crd,MathTy00,fumbles_rec_yds,0,,,,,
player,201709170clt,crd,MathTy00,fumbles_rec_td,0,,,,,
player,201709170clt,crd,MathTy00,fumbles_forced,0,,,,,
player,201709170clt,crd,JoneCh03,def_int,0,,,,,
player,201709170clt,crd,JoneCh03,def_int_yds,0,,,,,
player,201709170clt,crd,JoneCh03,def_int_td,0,,,,,
player,201709170clt,crd,JoneCh03,def_int_long,0,,,,,
player,201709170clt,crd,JoneCh03,pass_defended,0,,,,,
player,201709170clt,crd,JoneCh03,sacks,2.0,,,,,
player,201709170clt,crd,JoneCh03,tackles_combined,7,,,,,
player,201709170clt,crd,JoneCh03,tackles_solo,5,,,,,
player,201709170clt,crd,JoneCh03,tackles_assists,2,,,,,
player,201709170clt,crd,JoneCh03,tackles_loss,2,,,,,
player,201709170clt,crd,JoneCh03,qb_hits,2,,,,,
player,201709170clt,crd,JoneCh03,fumbles_rec,0,,,,,
player,201709170clt,crd,JoneCh03,fumbles_rec_yds,0,,,,,
player,201709170clt,crd,JoneCh03,fumbles_rec_td,0,,,,,
player,201709170clt,crd,JoneCh03,fumbles_forced,1,,,,,
player,201709170clt,crd,ByneJo00,def_int,0,,,,,
player,201709170clt,crd,ByneJo00,def_int_yds,0,,,,,
