game,2017,12,20171127,201711270rav,htx,"Houston Texans",16,rav,"Baltimore Ravens",23
player,201711270rav,htx,ElliBr00,rec_yds,29,,,,,
player,201711270rav,htx,ElliBr00,rec_td,0,,,,,
player,201711270rav,htx,ElliBr00,rec_long,29,,,,,
player,201711270rav,htx,ElliBr00,fumbles,0,,,,,
player,201711270rav,htx,ElliBr00,fumbles_lost,0,,,,,
player,201711270rav,rav,FlacJo00,pass_cmp,20,,,,,
player,201711270rav,rav,FlacJo00,pass_att,32,,,,,
player,201711270rav,rav,FlacJo00,pass_yds,141,,,,,
player,201711270rav,rav,FlacJo00,pass_td,0,,,,,
player,201711270rav,rav,FlacJo00,pass_int,0,,,,,
player,201711270rav,rav,FlacJo00,pass_sacked,1,,,,,
player,201711270rav,rav,FlacJo00,pass_sacked_yds,8,,,,,
player,201711270rav,rav,FlacJo00,pass_long,24,,,,,
player,201711270rav,rav,FlacJo00,pass_rating,72.5,,,,,
player,201711270rav,rav,FlacJo00,rush_att,6,,,,,
player,201711270rav,rav,FlacJo00,rush_yds,42,,,,,
player,201711270rav,rav,FlacJo00,rush_td,0,,,,,
player,201711270rav,rav,FlacJo00,rush_long,25,,,,,
player,201711270rav,rav,FlacJo00,targets,0,,,,,
player,201711270rav,rav,FlacJo00,rec,0,,,,,
player,201711270rav,rav,FlacJo00,rec_yds,0,,,,,
player,201711270rav,rav,FlacJo00,rec_td,0,,,,,
player,201711270rav,rav,FlacJo00,rec_long,0,,,,,
player,201711270rav,rav,FlacJo00,fumbles,0,,,,,
player,201711270rav,rav,FlacJo00,fumbles_lost,0,,,,,
player,201711270rav,rav,KochSa20,pass_cmp,1,,,,,
player,201711270rav,rav,KochSa20,pass_att,1,,,,,
player,201711270rav,rav,KochSa20,pass_yds,22,,,,,
player,201711270rav,rav,KochSa20,pass_td,0,,,,,
player,201711270rav,rav,KochSa20,pass_int,0,,,,,
player,201711270rav,rav,KochSa20,pass_sacked,0,,,,,
player,201711270rav,rav,KochSa20,pass_sacked_yds,0,,,,,
player,201711270rav,rav,KochSa20,pass_long,22,,,,,
player,201711270rav,rav,KochSa20,pass_rating,118.7,,,,,
player,201711270rav,rav,KochSa20,rush_att,0,,,,,
player,201711270rav,rav,KochSa20,rush_yds,0,,,,,
player,201711270rav,rav,KochSa20,rush_td,0,,,,,
player,201711270rav,rav,KochSa20,rush_long,0,,,,,
player,201711270rav,rav,KochSa20,targets,0,,,,,
player,201711270rav,rav,KochSa20,rec,0,,,,,
player,201711270rav,rav,KochSa20,rec_yds,0,,,,,
player,201711270rav,rav,KochSa20,rec_td,0,,,,,
player,201711270rav,rav,KochSa20,rec_long,0,,,,,
player,201711270rav,rav,KochSa20,fumbles,0,,,,,
player,201711270rav,rav,KochSa20,fumbles_lost,0,,,,,
player,201711270rav,rav,CollAl00,pass_cmp,0,,,,,
player,201711270rav,rav,CollAl00,pass_att,0,,,,,
player,201711270rav,rav,CollAl00,pass_yds,0,,,,,
player,201711270rav,rav,CollAl00,pass_td,0,,,,,
player,201711270rav,rav,CollAl00,pass_int,0,,,,,
player,201711270rav,rav,CollAl00,pass_sacked,0,,,,,
player,201711270rav,rav,CollAl00,pass_sacked_yds,0,,,,,
player,201711270rav,rav,CollAl00,pass_long,0,,,,,
player,201711270rav,rav,CollAl00,pass_rating,,,,,,
player,201711270rav,rav,CollAl00,rush_att,16,,,,,
player,201711270rav,rav,CollAl00,rush_yds,60,,,,,
player,201711270rav,rav,CollAl00,rush_td,1,,,,,
player,201711270rav,rav,CollAl00,rush_long,29,,,,,
player,201711270rav,rav,CollAl00,targets,2,,,,,
player,201711270rav,rav,CollAl00,rec,2,,,,,
player,201711270rav,rav,CollAl00,rec_yds,-3,,,,,
player,201711270rav,rav,CollAl00,rec_td,0,,,,,
player,201711270rav,rav,CollAl00,rec_long,0,,,,,
player,201711270rav,rav,CollAl00,fumbles,0,,,,,
player,201711270rav,rav,CollAl00,fumbles_lost,0,,,,,
player,201711270rav,rav,WoodDa02,pass_cmp,0,,,,,
player,201711270rav,rav,WoodDa02,pass_att,0,,,,,
player,201711270rav,rav,WoodDa02,pass_yds,0,,,,,
player,201711270rav,rav,WoodDa02,pass_td,0,,,,,
player,201711270rav,rav,WoodDa02,pass_int,0,,,,,
player,201711270rav,rav,WoodDa02,pass_sacked,0,,,,,
player,201711270rav,rav,WoodDa02,pass_sacked_yds,0,,,,,
player,201711270rav,rav,WoodDa02,pass_long,0,,,,,
player,201711270rav,rav,WoodDa02,pass_rating,,,,,,
player,201711270rav,rav,WoodDa02,rush_att,4,,,,,
player,201711270rav,rav,WoodDa02,rush_yds,22,,,,,
player,201711270rav,rav,WoodDa02,rush_td,0,,,,,
player,201711270rav,rav,WoodDa02,rush_long,10,,,,,
player,201711270rav,rav,WoodDa02,targets,4,,,,,
player,201711270rav,rav,WoodDa02,rec,4,,,,,
player,201711270rav,rav,WoodDa02,rec_yds,23,,,,,
player,201711270rav,rav,WoodDa02,rec_td,0,,,,,
player,201711270rav,rav,WoodDa02,rec_long,11,,,,,
player,201711270rav,rav,WoodDa02,fumbles,0,,,,,
player,201711270rav,rav,WoodDa02,fumbles_lost,0,,,,,
player,201711270rav,rav,AlleJa01,pass_cmp,0,,,,,
player,201711270rav,rav,AlleJa01,pass_att,0,,,,,
player,201711270rav,rav,AlleJa01,pass_yds,0,,,,,
player,201711270rav,rav,AlleJa01,pass_td,0,,,,,
player,201711270rav,rav,AlleJa01,pass_int,0,,,,,
player,201711270rav,rav,AlleJa01,pass_sacked,0,,,,,
player,201711270rav,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201711270rav,rav,AlleJa01,pass_long,0,,,,,
player,201711270rav,rav,AlleJa01,pass_rating,,,,,,
player,201711270rav,rav,AlleJa01,rush_att,5,,,,,
player,201711270rav,rav,AlleJa01,rush_yds,15,,,,,
player,201711270rav,rav,AlleJa01,rush_td,1,,,,,
player,201711270rav,rav,AlleJa01,rush_long,10,,,,,
player,201711270rav,rav,AlleJa01,targets,1,,,,,
player,201711270rav,rav,AlleJa01,rec,1,,,,,
player,201711270rav,rav,AlleJa01,rec_yds,2,,,,,
player,201711270rav,rav,AlleJa01,rec_td,0,,,,,
player,201711270rav,rav,AlleJa01,rec_long,2,,,,,
player,201711270rav,rav,AlleJa01,fumbles,0,,,,,
player,201711270rav,rav,AlleJa01,fumbles_lost,0,,,,,
player,201711270rav,rav,WallMi00,pass_cmp,0,,,,,
player,201711270rav,rav,WallMi00,pass_att,0,,,,,
player,201711270rav,rav,WallMi00,pass_yds,0,,,,,
player,201711270rav,rav,WallMi00,pass_td,0,,,,,
player,201711270rav,rav,WallMi00,pass_int,0,,,,,
player,201711270rav,rav,WallMi00,pass_sacked,0,,,,,
player,201711270rav,rav,WallMi00,pass_sacked_yds,0,,,,,
player,201711270rav,rav,WallMi00,pass_long,0,,,,,
player,201711270rav,rav,WallMi00,pass_rating,,,,,,
player,201711270rav,rav,WallMi00,rush_att,0,,,,,
player,201711270rav,rav,WallMi00,rush_yds,0,,,,,
player,201711270rav,rav,WallMi00,rush_td,0,,,,,
player,201711270rav,rav,WallMi00,rush_long,0,,,,,
player,201711270rav,rav,WallMi00,targets,11,,,,,
player,201711270rav,rav,WallMi00,rec,5,,,,,
player,201711270rav,rav,WallMi00,rec_yds,48,,,,,
player,201711270rav,rav,WallMi00,rec_td,0,,,,,
player,201711270rav,rav,WallMi00,rec_long,24,,,,,
player,201711270rav,rav,WallMi00,fumbles,0,,,,,
player,201711270rav,rav,WallMi00,fumbles_lost,0,,,,,
player,201711270rav,rav,MoorCh00,pass_cmp,0,,,,,
player,201711270rav,rav,MoorCh00,pass_att,0,,,,,
player,201711270rav,rav,MoorCh00,pass_yds,0,,,,,
player,201711270rav,rav,MoorCh00,pass_td,0,,,,,
player,201711270rav,rav,MoorCh00,pass_int,0,,,,,
player,201711270rav,rav,MoorCh00,pass_sacked,0,,,,,
player,201711270rav,rav,MoorCh00,pass_sacked_yds,0,,,,,
player,201711270rav,rav,MoorCh00,pass_long,0,,,,,
player,201711270rav,rav,MoorCh00,pass_rating,,,,,,
player,201711270rav,rav,MoorCh00,rush_att,0,,,,,
player,201711270rav,rav,MoorCh00,rush_yds,0,,,,,
