game,2011,14,20111211,201112110det,min,"Minnesota Vikings",28,det,"Detroit Lions",34
player,201112110det,min,WillKe98,tackles_solo,4,,,,,
player,201112110det,min,WillKe98,tackles_assists,2,,,,,
player,201112110det,min,WillKe98,tackles_loss,2,,,,,
player,201112110det,min,WillKe98,qb_hits,1,,,,,
player,201112110det,min,WillKe98,fumbles_rec,0,,,,,
player,201112110det,min,WillKe98,fumbles_rec_yds,0,,,,,
player,201112110det,min,WillKe98,fumbles_rec_td,0,,,,,
player,201112110det,min,WillKe98,fumbles_forced,0,,,,,
player,201112110det,min,RobiBr98,def_int,0,,,,,
player,201112110det,min,RobiBr98,def_int_yds,0,,,,,
player,201112110det,min,RobiBr98,def_int_td,0,,,,,
player,201112110det,min,RobiBr98,def_int_long,0,,,,,
player,201112110det,min,RobiBr98,pass_defended,0,,,,,
player,201112110det,min,RobiBr98,sacks,0.5,,,,,
player,201112110det,min,RobiBr98,tackles_combined,4,,,,,
player,201112110det,min,RobiBr98,tackles_solo,3,,,,,
player,201112110det,min,RobiBr98,tackles_assists,1,,,,,
player,201112110det,min,RobiBr98,tackles_loss,0,,,,,
player,201112110det,min,RobiBr98,qb_hits,2,,,,,
player,201112110det,min,RobiBr98,fumbles_rec,0,,,,,
player,201112110det,min,RobiBr98,fumbles_rec_yds,0,,,,,
player,201112110det,min,RobiBr98,fumbles_rec_td,0,,,,,
player,201112110det,min,RobiBr98,fumbles_forced,0,,,,,
player,201112110det,min,AyodRe99,def_int,0,,,,,
player,201112110det,min,AyodRe99,def_int_yds,0,,,,,
player,201112110det,min,AyodRe99,def_int_td,0,,,,,
player,201112110det,min,AyodRe99,def_int_long,0,,,,,
player,201112110det,min,AyodRe99,pass_defended,0,,,,,
player,201112110det,min,AyodRe99,sacks,0.5,,,,,
player,201112110det,min,AyodRe99,tackles_combined,1,,,,,
player,201112110det,min,AyodRe99,tackles_solo,0,,,,,
player,201112110det,min,AyodRe99,tackles_assists,1,,,,,
player,201112110det,min,AyodRe99,tackles_loss,0,,,,,
player,201112110det,min,AyodRe99,qb_hits,1,,,,,
player,201112110det,min,AyodRe99,fumbles_rec,0,,,,,
player,201112110det,min,AyodRe99,fumbles_rec_yds,0,,,,,
player,201112110det,min,AyodRe99,fumbles_rec_td,0,,,,,
player,201112110det,min,AyodRe99,fumbles_forced,0,,,,,
player,201112110det,min,GreeCh99,def_int,0,,,,,
player,201112110det,min,GreeCh99,def_int_yds,0,,,,,
player,201112110det,min,GreeCh99,def_int_td,0,,,,,
player,201112110det,min,GreeCh99,def_int_long,0,,,,,
player,201112110det,min,GreeCh99,pass_defended,0,,,,,
player,201112110det,min,GreeCh99,sacks,0.0,,,,,
player,201112110det,min,GreeCh99,tackles_combined,8,,,,,
player,201112110det,min,GreeCh99,tackles_solo,5,,,,,
player,201112110det,min,GreeCh99,tackles_assists,3,,,,,
player,201112110det,min,GreeCh99,tackles_loss,0,,,,,
player,201112110det,min,GreeCh99,qb_hits,0,,,,,
player,201112110det,min,GreeCh99,fumbles_rec,0,,,,,
player,201112110det,min,GreeCh99,fumbles_rec_yds,0,,,,,
player,201112110det,min,GreeCh99,fumbles_rec_td,0,,,,,
player,201112110det,min,GreeCh99,fumbles_forced,0,,,,,
player,201112110det,min,SanfJa99,def_int,0,,,,,
player,201112110det,min,SanfJa99,def_int_yds,0,,,,,
player,201112110det,min,SanfJa99,def_int_td,0,,,,,
player,201112110det,min,SanfJa99,def_int_long,0,,,,,
player,201112110det,min,SanfJa99,pass_defended,0,,,,,
player,201112110det,min,SanfJa99,sacks,0.0,,,,,
player,201112110det,min,SanfJa99,tackles_combined,8,,,,,
player,201112110det,min,SanfJa99,tackles_solo,2,,,,,
player,201112110det,min,SanfJa99,tackles_assists,6,,,,,
player,201112110det,min,SanfJa99,tackles_loss,0,,,,,
player,201112110det,min,SanfJa99,qb_hits,0,,,,,
player,201112110det,min,SanfJa99,fumbles_rec,0,,,,,
player,201112110det,min,SanfJa99,fumbles_rec_yds,0,,,,,
player,201112110det,min,SanfJa99,fumbles_rec_td,0,,,,,
player,201112110det,min,SanfJa99,fumbles_forced,0,,,,,
player,201112110det,min,AlleAs99,def_int,0,,,,,
player,201112110det,min,AlleAs99,def_int_yds,0,,,,,
player,201112110det,min,AlleAs99,def_int_td,0,,,,,
player,201112110det,min,AlleAs99,def_int_long,0,,,,,
player,201112110det,min,AlleAs99,pass_defended,1,,,,,
player,201112110det,min,AlleAs99,sacks,0.0,,,,,
player,201112110det,min,AlleAs99,tackles_combined,4,,,,,
player,201112110det,min,AlleAs99,tackles_solo,3,,,,,
player,201112110det,min,AlleAs99,tackles_assists,1,,,,,
player,201112110det,min,AlleAs99,tackles_loss,0,,,,,
player,201112110det,min,AlleAs99,qb_hits,0,,,,,
player,201112110det,min,AlleAs99,fumbles_rec,0,,,,,
player,201112110det,min,AlleAs99,fumbles_rec_yds,0,,,,,
player,201112110det,min,AlleAs99,fumbles_rec_td,0,,,,,
player,201112110det,min,AlleAs99,fumbles_forced,0,,,,,
player,201112110det,min,HendE.20,def_int,0,,,,,
player,201112110det,min,HendE.20,def_int_yds,0,,,,,
player,201112110det,min,HendE.20,def_int_td,0,,,,,
player,201112110det,min,HendE.20,def_int_long,0,,,,,
player,201112110det,min,HendE.20,pass_defended,0,,,,,
player,201112110det,min,HendE.20,sacks,0.0,,,,,
player,201112110det,min,HendE.20,tackles_combined,4,,,,,
player,201112110det,min,HendE.20,tackles_solo,1,,,,,
player,201112110det,min,HendE.20,tackles_assists,3,,,,,
player,201112110det,min,HendE.20,tackles_loss,0,,,,,
player,201112110det,min,HendE.20,qb_hits,0,,,,,
player,201112110det,min,HendE.20,fumbles_rec,0,,,,,
player,201112110det,min,HendE.20,fumbles_rec_yds,0,,,,,
player,201112110det,min,HendE.20,fumbles_rec_td,0,,,,,
player,201112110det,min,HendE.20,fumbles_forced,0,,,,,
player,201112110det,min,SherMa20,def_int,0,,,,,
player,201112110det,min,SherMa20,def_int_yds,0,,,,,
player,201112110det,min,SherMa20,def_int_td,0,,,,,
player,201112110det,min,SherMa20,def_int_long,0,,,,,
player,201112110det,min,SherMa20,pass_defended,2,,,,,
player,201112110det,min,SherMa20,sacks,0.0,,,,,
player,201112110det,min,SherMa20,tackles_combined,4,,,,,
player,201112110det,min,SherMa20,tackles_solo,2,,,,,
player,201112110det,min,SherMa20,tackles_assists,2,,,,,
player,201112110det,min,SherMa20,tackles_loss,0,,,,,
player,201112110det,min,SherMa20,qb_hits,0,,,,,
player,201112110det,min,SherMa20,fumbles_rec,0,,,,,
player,201112110det,min,SherMa20,fumbles_rec_yds,0,,,,,
player,201112110det,min,SherMa20,fumbles_rec_td,0,,,,,
player,201112110det,min,SherMa20,fumbles_forced,0,,,,,
player,201112110det,min,GuioLe99,def_int,0,,,,,
player,201112110det,min,GuioLe99,def_int_yds,0,,,,,
player,201112110det,min,GuioLe99,def_int_td,0,,,,,
player,201112110det,min,GuioLe99,def_int_long,0,,,,,
player,201112110det,min,GuioLe99,pass_defended,0,,,,,
player,201112110det,min,GuioLe99,sacks,0.0,,,,,
player,201112110det,min,GuioLe99,tackles_combined,3,,,,,
player,201112110det,min,GuioLe99,tackles_solo,3,,,,,
player,201112110det,min,GuioLe99,tackles_assists,0,,,,,
player,201112110det,min,GuioLe99,tackles_loss,0,,,,,
player,201112110det,min,GuioLe99,qb_hits,0,,,,,
player,201112110det,min,GuioLe99,fumbles_rec,0,,,,,
player,201112110det,min,GuioLe99,fumbles_rec_yds,0,,,,,
player,201112110det,min,GuioLe99,fumbles_rec_td,0,,,,,
player,201112110det,min,GuioLe99,fumbles_forced,0,,,,,
player,201112110det,min,EvanFr21,def_int,0,,,,,
player,201112110det,min,EvanFr21,def_int_yds,0,,,,,
player,201112110det,min,EvanFr21,def_int_td,0,,,,,
player,201112110det,min,EvanFr21,def_int_long,0,,,,,
player,201112110det,min,EvanFr21,pass_defended,0,,,,,
player,201112110det,min,EvanFr21,sacks,0.0,,,,,
player,201112110det,min,EvanFr21,tackles_combined,2,,,,,
player,201112110det,min,EvanFr21,tackles_solo,1,,,,,
player,201112110det,min,EvanFr21,tackles_assists,1,,,,,
player,201112110det,min,EvanFr21,tackles_loss,0,,,,,
player,201112110det,min,EvanFr21,qb_hits,1,,,,,
player,201112110det,min,EvanFr21,fumbles_rec,0,,,,,
player,201112110det,min,EvanFr21,fumbles_rec_yds,0,,,,,
player,201112110det,min,EvanFr21,fumbles_rec_td,0,,,,,
player,201112110det,min,EvanFr21,fumbles_forced,0,,,,,
player,201112110det,min,GrifEv99,def_int,0,,,,,
player,201112110det,min,GrifEv99,def_int_yds,0,,,,,
player,201112110det,min,GrifEv99,def_int_td,0,,,,,
player,201112110det,min,GrifEv99,def_int_long,0,,,,,
player,201112110det,min,GrifEv99,pass_defended,0,,,,,
player,201112110det,min,GrifEv99,sacks,0.0,,,,,
player,201112110det,min,GrifEv99,tackles_combined,2,,,,,
player,201112110det,min,GrifEv99,tackles_solo,1,,,,,
player,201112110det,min,GrifEv99,tackles_assists,1,,,,,
player,201112110det,min,GrifEv99,tackles_loss,0,,,,,
player,201112110det,min,GrifEv99,qb_hits,0,,,,,
