game,2011,12,20111127,201111270oti,tam,"Tampa Bay Buccaneers",17,oti,"Tennessee Titans",23
player,201111270oti,tam,BlouLe00,rush_long,16,,,,,
player,201111270oti,tam,BlouLe00,targets,3,,,,,
player,201111270oti,tam,BlouLe00,rec,3,,,,,
player,201111270oti,tam,BlouLe00,rec_yds,56,,,,,
player,201111270oti,tam,BlouLe00,rec_td,0,,,,,
player,201111270oti,tam,BlouLe00,rec_long,35,,,,,
player,201111270oti,tam,BlouLe00,fumbles,2,,,,,
player,201111270oti,tam,BlouLe00,fumbles_lost,2,,,,,
player,201111270oti,tam,JohnJo05,pass_cmp,0,,,,,
player,201111270oti,tam,JohnJo05,pass_att,0,,,,,
player,201111270oti,tam,JohnJo05,pass_yds,0,,,,,
player,201111270oti,tam,JohnJo05,pass_td,0,,,,,
player,201111270oti,tam,JohnJo05,pass_int,0,,,,,
player,201111270oti,tam,JohnJo05,pass_sacked,0,,,,,
player,201111270oti,tam,JohnJo05,pass_sacked_yds,0,,,,,
player,201111270oti,tam,JohnJo05,pass_long,0,,,,,
player,201111270oti,tam,JohnJo05,pass_rating,,,,,,
player,201111270oti,tam,JohnJo05,rush_att,1,,,,,
player,201111270oti,tam,JohnJo05,rush_yds,6,,,,,
player,201111270oti,tam,JohnJo05,rush_td,0,,,,,
player,201111270oti,tam,JohnJo05,rush_long,6,,,,,
player,201111270oti,tam,JohnJo05,targets,0,,,,,
player,201111270oti,tam,JohnJo05,rec,0,,,,,
player,201111270oti,tam,JohnJo05,rec_yds,0,,,,,
player,201111270oti,tam,JohnJo05,rec_td,0,,,,,
player,201111270oti,tam,JohnJo05,rec_long,0,,,,,
player,201111270oti,tam,JohnJo05,fumbles,0,,,,,
player,201111270oti,tam,JohnJo05,fumbles_lost,,,,,,
player,201111270oti,tam,LumpKr00,pass_cmp,0,,,,,
player,201111270oti,tam,LumpKr00,pass_att,0,,,,,
player,201111270oti,tam,LumpKr00,pass_yds,0,,,,,
player,201111270oti,tam,LumpKr00,pass_td,0,,,,,
player,201111270oti,tam,LumpKr00,pass_int,0,,,,,
player,201111270oti,tam,LumpKr00,pass_sacked,0,,,,,
player,201111270oti,tam,LumpKr00,pass_sacked_yds,0,,,,,
player,201111270oti,tam,LumpKr00,pass_long,0,,,,,
player,201111270oti,tam,LumpKr00,pass_rating,,,,,,
player,201111270oti,tam,LumpKr00,rush_att,1,,,,,
player,201111270oti,tam,LumpKr00,rush_yds,3,,,,,
player,201111270oti,tam,LumpKr00,rush_td,0,,,,,
player,201111270oti,tam,LumpKr00,rush_long,3,,,,,
player,201111270oti,tam,LumpKr00,targets,3,,,,,
player,201111270oti,tam,LumpKr00,rec,3,,,,,
player,201111270oti,tam,LumpKr00,rec_yds,10,,,,,
player,201111270oti,tam,LumpKr00,rec_td,0,,,,,
player,201111270oti,tam,LumpKr00,rec_long,9,,,,,
player,201111270oti,tam,LumpKr00,fumbles,0,,,,,
player,201111270oti,tam,LumpKr00,fumbles_lost,,,,,,
player,201111270oti,tam,WillMi04,pass_cmp,0,,,,,
player,201111270oti,tam,WillMi04,pass_att,0,,,,,
player,201111270oti,tam,WillMi04,pass_yds,0,,,,,
player,201111270oti,tam,WillMi04,pass_td,0,,,,,
player,201111270oti,tam,WillMi04,pass_int,0,,,,,
player,201111270oti,tam,WillMi04,pass_sacked,0,,,,,
player,201111270oti,tam,WillMi04,pass_sacked_yds,0,,,,,
player,201111270oti,tam,WillMi04,pass_long,0,,,,,
player,201111270oti,tam,WillMi04,pass_rating,,,,,,
player,201111270oti,tam,WillMi04,rush_att,0,,,,,
player,201111270oti,tam,WillMi04,rush_yds,0,,,,,
player,201111270oti,tam,WillMi04,rush_td,0,,,,,
player,201111270oti,tam,WillMi04,rush_long,0,,,,,
player,201111270oti,tam,WillMi04,targets,11,,,,,
player,201111270oti,tam,WillMi04,rec,6,,,,,
player,201111270oti,tam,WillMi04,rec_yds,84,,,,,
player,201111270oti,tam,WillMi04,rec_td,1,,,,,
player,201111270oti,tam,WillMi04,rec_long,23,,,,,
player,201111270oti,tam,WillMi04,fumbles,1,,,,,
player,201111270oti,tam,WillMi04,fumbles_lost,1,,,,,
player,201111270oti,tam,WinsKe01,pass_cmp,0,,,,,
player,201111270oti,tam,WinsKe01,pass_att,0,,,,,
player,201111270oti,tam,WinsKe01,pass_yds,0,,,,,
player,201111270oti,tam,WinsKe01,pass_td,0,,,,,
player,201111270oti,tam,WinsKe01,pass_int,0,,,,,
player,201111270oti,tam,WinsKe01,pass_sacked,0,,,,,
player,201111270oti,tam,WinsKe01,pass_sacked_yds,0,,,,,
player,201111270oti,tam,WinsKe01,pass_long,0,,,,,
player,201111270oti,tam,WinsKe01,pass_rating,,,,,,
player,201111270oti,tam,WinsKe01,rush_att,0,,,,,
player,201111270oti,tam,WinsKe01,rush_yds,0,,,,,
player,201111270oti,tam,WinsKe01,rush_td,0,,,,,
player,201111270oti,tam,WinsKe01,rush_long,0,,,,,
player,201111270oti,tam,WinsKe01,targets,7,,,,,
player,201111270oti,tam,WinsKe01,rec,5,,,,,
player,201111270oti,tam,WinsKe01,rec_yds,52,,,,,
player,201111270oti,tam,WinsKe01,rec_td,0,,,,,
player,201111270oti,tam,WinsKe01,rec_long,16,,,,,
player,201111270oti,tam,WinsKe01,fumbles,0,,,,,
player,201111270oti,tam,WinsKe01,fumbles_lost,,,,,,
player,201111270oti,tam,ParkPr00,pass_cmp,0,,,,,
player,201111270oti,tam,ParkPr00,pass_att,0,,,,,
player,201111270oti,tam,ParkPr00,pass_yds,0,,,,,
player,201111270oti,tam,ParkPr00,pass_td,0,,,,,
player,201111270oti,tam,ParkPr00,pass_int,0,,,,,
player,201111270oti,tam,ParkPr00,pass_sacked,0,,,,,
player,201111270oti,tam,ParkPr00,pass_sacked_yds,0,,,,,
player,201111270oti,tam,ParkPr00,pass_long,0,,,,,
player,201111270oti,tam,ParkPr00,pass_rating,,,,,,
player,201111270oti,tam,ParkPr00,rush_att,0,,,,,
player,201111270oti,tam,ParkPr00,rush_yds,0,,,,,
player,201111270oti,tam,ParkPr00,rush_td,0,,,,,
player,201111270oti,tam,ParkPr00,rush_long,0,,,,,
player,201111270oti,tam,ParkPr00,targets,3,,,,,
player,201111270oti,tam,ParkPr00,rec,0,,,,,
player,201111270oti,tam,ParkPr00,rec_yds,0,,,,,
player,201111270oti,tam,ParkPr00,rec_td,0,,,,,
player,201111270oti,tam,ParkPr00,rec_long,0,,,,,
player,201111270oti,tam,ParkPr00,fumbles,0,,,,,
player,201111270oti,tam,ParkPr00,fumbles_lost,,,,,,
player,201111270oti,tam,BennAr00,pass_cmp,0,,,,,
player,201111270oti,tam,BennAr00,pass_att,0,,,,,
player,201111270oti,tam,BennAr00,pass_yds,0,,,,,
player,201111270oti,tam,BennAr00,pass_td,0,,,,,
player,201111270oti,tam,BennAr00,pass_int,0,,,,,
player,201111270oti,tam,BennAr00,pass_sacked,0,,,,,
player,201111270oti,tam,BennAr00,pass_sacked_yds,0,,,,,
player,201111270oti,tam,BennAr00,pass_long,0,,,,,
player,201111270oti,tam,BennAr00,pass_rating,,,,,,
player,201111270oti,tam,BennAr00,rush_att,0,,,,,
player,201111270oti,tam,BennAr00,rush_yds,0,,,,,
player,201111270oti,tam,BennAr00,rush_td,0,,,,,
player,201111270oti,tam,BennAr00,rush_long,0,,,,,
player,201111270oti,tam,BennAr00,targets,5,,,,,
player,201111270oti,tam,BennAr00,rec,1,,,,,
player,201111270oti,tam,BennAr00,rec_yds,-3,,,,,
player,201111270oti,tam,BennAr00,rec_td,0,,,,,
player,201111270oti,tam,BennAr00,rec_long,-3,,,,,
player,201111270oti,tam,BennAr00,fumbles,0,,,,,
player,201111270oti,tam,BennAr00,fumbles_lost,,,,,,
player,201111270oti,oti,HassMa00,pass_cmp,19,,,,,
player,201111270oti,oti,HassMa00,pass_att,34,,,,,
player,201111270oti,oti,HassMa00,pass_yds,160,,,,,
player,201111270oti,oti,HassMa00,pass_td,1,,,,,
player,201111270oti,oti,HassMa00,pass_int,2,,,,,
player,201111270oti,oti,HassMa00,pass_sacked,2,,,,,
player,201111270oti,oti,HassMa00,pass_sacked_yds,10,,,,,
player,201111270oti,oti,HassMa00,pass_long,20,,,,,
player,201111270oti,oti,HassMa00,pass_rating,53.6,,,,,
player,201111270oti,oti,HassMa00,rush_att,2,,,,,
player,201111270oti,oti,HassMa00,rush_yds,-2,,,,,
player,201111270oti,oti,HassMa00,rush_td,0,,,,,
player,201111270oti,oti,HassMa00,rush_long,-1,,,,,
player,201111270oti,oti,HassMa00,targets,0,,,,,
player,201111270oti,oti,HassMa00,rec,0,,,,,
player,201111270oti,oti,HassMa00,rec_yds,0,,,,,
player,201111270oti,oti,HassMa00,rec_td,0,,,,,
player,201111270oti,oti,HassMa00,rec_long,0,,,,,
player,201111270oti,oti,HassMa00,fumbles,1,,,,,
player,201111270oti,oti,HassMa00,fumbles_lost,0,,,,,
player,201111270oti,oti,JohnCh04,pass_cmp,0,,,,,
player,201111270oti,oti,JohnCh04,pass_att,0,,,,,
player,201111270oti,oti,JohnCh04,pass_yds,0,,,,,
player,201111270oti,oti,JohnCh04,pass_td,0,,,,,
player,201111270oti,oti,JohnCh04,pass_int,0,,,,,
player,201111270oti,oti,JohnCh04,pass_sacked,0,,,,,
player,201111270oti,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201111270oti,oti,JohnCh04,pass_long,0,,,,,
player,201111270oti,oti,JohnCh04,pass_rating,,,,,,
player,201111270oti,oti,JohnCh04,rush_att,23,,,,,
player,201111270oti,oti,JohnCh04,rush_yds,190,,,,,
player,201111270oti,oti,JohnCh04,rush_td,0,,,,,
player,201111270oti,oti,JohnCh04,rush_long,34,,,,,
player,201111270oti,oti,JohnCh04,targets,2,,,,,
player,201111270oti,oti,JohnCh04,rec,1,,,,,
player,201111270oti,oti,JohnCh04,rec_yds,3,,,,,
player,201111270oti,oti,JohnCh04,rec_td,0,,,,,
player,201111270oti,oti,JohnCh04,rec_long,3,,,,,
player,201111270oti,oti,JohnCh04,fumbles,1,,,,,
player,201111270oti,oti,JohnCh04,fumbles_lost,1,,,,,
player,201111270oti,oti,RingJa00,pass_cmp,0,,,,,
player,201111270oti,oti,RingJa00,pass_att,0,,,,,
player,201111270oti,oti,RingJa00,pass_yds,0,,,,,
player,201111270oti,oti,RingJa00,pass_td,0,,,,,
player,201111270oti,oti,RingJa00,pass_int,0,,,,,
player,201111270oti,oti,RingJa00,pass_sacked,0,,,,,
player,201111270oti,oti,RingJa00,pass_sacked_yds,0,,,,,
player,201111270oti,oti,RingJa00,pass_long,0,,,,,
player,201111270oti,oti,RingJa00,pass_rating,,,,,,
player,201111270oti,oti,RingJa00,rush_att,9,,,,,
player,201111270oti,oti,RingJa00,rush_yds,12,,,,,
player,201111270oti,oti,RingJa00,rush_td,0,,,,,
player,201111270oti,oti,RingJa00,rush_long,7,,,,,
player,201111270oti,oti,RingJa00,targets,5,,,,,
player,201111270oti,oti,RingJa00,rec,4,,,,,
player,201111270oti,oti,RingJa00,rec_yds,6,,,,,
player,201111270oti,oti,RingJa00,rec_td,0,,,,,
player,201111270oti,oti,RingJa00,rec_long,5,,,,,
player,201111270oti,oti,RingJa00,fumbles,1,,,,,
player,201111270oti,oti,RingJa00,fumbles_lost,1,,,,,
player,201111270oti,oti,HallAh00,pass_cmp,0,,,,,
player,201111270oti,oti,HallAh00,pass_att,0,,,,,
player,201111270oti,oti,HallAh00,pass_yds,0,,,,,
player,201111270oti,oti,HallAh00,pass_td,0,,,,,
player,201111270oti,oti,HallAh00,pass_int,0,,,,,
player,201111270oti,oti,HallAh00,pass_sacked,0,,,,,
player,201111270oti,oti,HallAh00,pass_sacked_yds,0,,,,,
player,201111270oti,oti,HallAh00,pass_long,0,,,,,
player,201111270oti,oti,HallAh00,pass_rating,,,,,,
player,201111270oti,oti,HallAh00,rush_att,1,,,,,
player,201111270oti,oti,HallAh00,rush_yds,2,,,,,
player,201111270oti,oti,HallAh00,rush_td,0,,,,,
player,201111270oti,oti,HallAh00,rush_long,2,,,,,
player,201111270oti,oti,HallAh00,targets,2,,,,,
player,201111270oti,oti,HallAh00,rec,1,,,,,
player,201111270oti,oti,HallAh00,rec_yds,10,,,,,
player,201111270oti,oti,HallAh00,rec_td,0,,,,,
player,201111270oti,oti,HallAh00,rec_long,10,,,,,
player,201111270oti,oti,HallAh00,fumbles,0,,,,,
player,201111270oti,oti,HallAh00,fumbles_lost,,,,,,
player,201111270oti,oti,HawkLa00,pass_cmp,0,,,,,
player,201111270oti,oti,HawkLa00,pass_att,0,,,,,
player,201111270oti,oti,HawkLa00,pass_yds,0,,,,,
player,201111270oti,oti,HawkLa00,pass_td,0,,,,,
player,201111270oti,oti,HawkLa00,pass_int,0,,,,,
player,201111270oti,oti,HawkLa00,pass_sacked,0,,,,,
player,201111270oti,oti,HawkLa00,pass_sacked_yds,0,,,,,
player,201111270oti,oti,HawkLa00,pass_long,0,,,,,
player,201111270oti,oti,HawkLa00,pass_rating,,,,,,
player,201111270oti,oti,HawkLa00,rush_att,0,,,,,
player,201111270oti,oti,HawkLa00,rush_yds,0,,,,,
player,201111270oti,oti,HawkLa00,rush_td,0,,,,,
player,201111270oti,oti,HawkLa00,rush_long,0,,,,,
player,201111270oti,oti,HawkLa00,targets,7,,,,,
player,201111270oti,oti,HawkLa00,rec,5,,,,,
player,201111270oti,oti,HawkLa00,rec_yds,51,,,,,
player,201111270oti,oti,HawkLa00,rec_td,0,,,,,
player,201111270oti,oti,HawkLa00,rec_long,17,,,,,
player,201111270oti,oti,HawkLa00,fumbles,0,,,,,
player,201111270oti,oti,HawkLa00,fumbles_lost,,,,,,
player,201111270oti,oti,CookJa02,pass_cmp,0,,,,,
player,201111270oti,oti,CookJa02,pass_att,0,,,,,
player,201111270oti,oti,CookJa02,pass_yds,0,,,,,
player,201111270oti,oti,CookJa02,pass_td,0,,,,,
player,201111270oti,oti,CookJa02,pass_int,0,,,,,
player,201111270oti,oti,CookJa02,pass_sacked,0,,,,,
player,201111270oti,oti,CookJa02,pass_sacked_yds,0,,,,,
player,201111270oti,oti,CookJa02,pass_long,0,,,,,
player,201111270oti,oti,CookJa02,pass_rating,,,,,,
player,201111270oti,oti,CookJa02,rush_att,0,,,,,
player,201111270oti,oti,CookJa02,rush_yds,0,,,,,
player,201111270oti,oti,CookJa02,rush_td,0,,,,,
player,201111270oti,oti,CookJa02,rush_long,0,,,,,
player,201111270oti,oti,CookJa02,targets,7,,,,,
player,201111270oti,oti,CookJa02,rec,3,,,,,
player,201111270oti,oti,CookJa02,rec_yds,38,,,,,
player,201111270oti,oti,CookJa02,rec_td,0,,,,,
player,201111270oti,oti,CookJa02,rec_long,20,,,,,
player,201111270oti,oti,CookJa02,fumbles,0,,,,,
player,201111270oti,oti,CookJa02,fumbles_lost,,,,,,
player,201111270oti,oti,WillDa04,pass_cmp,0,,,,,
player,201111270oti,oti,WillDa04,pass_att,0,,,,,
player,201111270oti,oti,WillDa04,pass_yds,0,,,,,
player,201111270oti,oti,WillDa04,pass_td,0,,,,,
player,201111270oti,oti,WillDa04,pass_int,0,,,,,
player,201111270oti,oti,WillDa04,pass_sacked,0,,,,,
player,201111270oti,oti,WillDa04,pass_sacked_yds,0,,,,,
player,201111270oti,oti,WillDa04,pass_long,0,,,,,
player,201111270oti,oti,WillDa04,pass_rating,,,,,,
player,201111270oti,oti,WillDa04,rush_att,0,,,,,
player,201111270oti,oti,WillDa04,rush_yds,0,,,,,
player,201111270oti,oti,WillDa04,rush_td,0,,,,,
player,201111270oti,oti,WillDa04,rush_long,0,,,,,
player,201111270oti,oti,WillDa04,targets,4,,,,,
player,201111270oti,oti,WillDa04,rec,3,,,,,
player,201111270oti,oti,WillDa04,rec_yds,33,,,,,
player,201111270oti,oti,WillDa04,rec_td,1,,,,,
player,201111270oti,oti,WillDa04,rec_long,20,,,,,
player,201111270oti,oti,WillDa04,fumbles,0,,,,,
player,201111270oti,oti,WillDa04,fumbles_lost,,,,,,
player,201111270oti,oti,WashNa00,pass_cmp,0,,,,,
player,201111270oti,oti,WashNa00,pass_att,0,,,,,
player,201111270oti,oti,WashNa00,pass_yds,0,,,,,
player,201111270oti,oti,WashNa00,pass_td,0,,,,,
player,201111270oti,oti,WashNa00,pass_int,0,,,,,
player,201111270oti,oti,WashNa00,pass_sacked,0,,,,,
player,201111270oti,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201111270oti,oti,WashNa00,pass_long,0,,,,,
player,201111270oti,oti,WashNa00,pass_rating,,,,,,
player,201111270oti,oti,WashNa00,rush_att,0,,,,,
player,201111270oti,oti,WashNa00,rush_yds,0,,,,,
player,201111270oti,oti,WashNa00,rush_td,0,,,,,
player,201111270oti,oti,WashNa00,rush_long,0,,,,,
player,201111270oti,oti,WashNa00,targets,6,,,,,
player,201111270oti,oti,WashNa00,rec,1,,,,,
player,201111270oti,oti,WashNa00,rec_yds,12,,,,,
player,201111270oti,oti,WashNa00,rec_td,0,,,,,
player,201111270oti,oti,WashNa00,rec_long,12,,,,,
player,201111270oti,oti,WashNa00,fumbles,0,,,,,
player,201111270oti,oti,WashNa00,fumbles_lost,,,,,,
player,201111270oti,oti,AmanEu20,pass_cmp,0,,,,,
player,201111270oti,oti,AmanEu20,pass_att,0,,,,,
player,201111270oti,oti,AmanEu20,pass_yds,0,,,,,
player,201111270oti,oti,AmanEu20,pass_td,0,,,,,
player,201111270oti,oti,AmanEu20,pass_int,0,,,,,
player,201111270oti,oti,AmanEu20,pass_sacked,0,,,,,
player,201111270oti,oti,AmanEu20,pass_sacked_yds,0,,,,,
player,201111270oti,oti,AmanEu20,pass_long,0,,,,,
player,201111270oti,oti,AmanEu20,pass_rating,,,,,,
player,201111270oti,oti,AmanEu20,rush_att,0,,,,,
player,201111270oti,oti,AmanEu20,rush_yds,0,,,,,
player,201111270oti,oti,AmanEu20,rush_td,0,,,,,
player,201111270oti,oti,AmanEu20,rush_long,0,,,,,
player,201111270oti,oti,AmanEu20,targets,1,,,,,
player,201111270oti,oti,AmanEu20,rec,1,,,,,
player,201111270oti,oti,AmanEu20,rec_yds,7,,,,,
player,201111270oti,oti,AmanEu20,rec_td,0,,,,,
player,201111270oti,oti,AmanEu20,rec_long,7,,,,,
player,201111270oti,oti,AmanEu20,fumbles,0,,,,,
player,201111270oti,oti,AmanEu20,fumbles_lost,,,,,,
player,201111270oti,tam,TaliAq99,def_int,1,,,,,
player,201111270oti,tam,TaliAq99,def_int_yds,27,,,,,
player,201111270oti,tam,TaliAq99,def_int_td,1,,,,,
player,201111270oti,tam,TaliAq99,def_int_long,27,,,,,
player,201111270oti,tam,TaliAq99,pass_defended,1,,,,,
player,201111270oti,tam,TaliAq99,sacks,0.0,,,,,
player,201111270oti,tam,TaliAq99,tackles_combined,3,,,,,
player,201111270oti,tam,TaliAq99,tackles_solo,1,,,,,
player,201111270oti,tam,TaliAq99,tackles_assists,2,,,,,
player,201111270oti,tam,TaliAq99,tackles_loss,0,,,,,
player,201111270oti,tam,TaliAq99,qb_hits,0,,,,,
player,201111270oti,tam,TaliAq99,fumbles_rec,0,,,,,
player,201111270oti,tam,TaliAq99,fumbles_rec_yds,0,,,,,
player,201111270oti,tam,TaliAq99,fumbles_rec_td,0,,,,,
player,201111270oti,tam,TaliAq99,fumbles_forced,1,,,,,
player,201111270oti,tam,HayeGe98,def_int,1,,,,,
player,201111270oti,tam,HayeGe98,def_int_yds,8,,,,,
player,201111270oti,tam,HayeGe98,def_int_td,0,,,,,
player,201111270oti,tam,HayeGe98,def_int_long,8,,,,,
player,201111270oti,tam,HayeGe98,pass_defended,1,,,,,
player,201111270oti,tam,HayeGe98,sacks,0.0,,,,,
player,201111270oti,tam,HayeGe98,tackles_combined,2,,,,,
player,201111270oti,tam,HayeGe98,tackles_solo,1,,,,,
player,201111270oti,tam,HayeGe98,tackles_assists,1,,,,,
player,201111270oti,tam,HayeGe98,tackles_loss,0,,,,,
player,201111270oti,tam,HayeGe98,qb_hits,0,,,,,
player,201111270oti,tam,HayeGe98,fumbles_rec,0,,,,,
player,201111270oti,tam,HayeGe98,fumbles_rec_yds,0,,,,,
player,201111270oti,tam,HayeGe98,fumbles_rec_td,0,,,,,
player,201111270oti,tam,HayeGe98,fumbles_forced,0,,,,,
player,201111270oti,tam,ClayAd00,def_int,0,,,,,
player,201111270oti,tam,ClayAd00,def_int_yds,0,,,,,
player,201111270oti,tam,ClayAd00,def_int_td,0,,,,,
player,201111270oti,tam,ClayAd00,def_int_long,0,,,,,
player,201111270oti,tam,ClayAd00,pass_defended,0,,,,,
player,201111270oti,tam,ClayAd00,sacks,1.0,,,,,
player,201111270oti,tam,ClayAd00,tackles_combined,3,,,,,
player,201111270oti,tam,ClayAd00,tackles_solo,3,,,,,
player,201111270oti,tam,ClayAd00,tackles_assists,0,,,,,
player,201111270oti,tam,ClayAd00,tackles_loss,1,,,,,
player,201111270oti,tam,ClayAd00,qb_hits,3,,,,,
player,201111270oti,tam,ClayAd00,fumbles_rec,0,,,,,
player,201111270oti,tam,ClayAd00,fumbles_rec_yds,0,,,,,
player,201111270oti,tam,ClayAd00,fumbles_rec_td,0,,,,,
player,201111270oti,tam,ClayAd00,fumbles_forced,0,,,,,
player,201111270oti,tam,BarbRo00,def_int,0,,,,,
player,201111270oti,tam,BarbRo00,def_int_yds,0,,,,,
player,201111270oti,tam,BarbRo00,def_int_td,0,,,,,
player,201111270oti,tam,BarbRo00,def_int_long,0,,,,,
player,201111270oti,tam,BarbRo00,pass_defended,0,,,,,
player,201111270oti,tam,BarbRo00,sacks,0.0,,,,,
player,201111270oti,tam,BarbRo00,tackles_combined,7,,,,,
player,201111270oti,tam,BarbRo00,tackles_solo,6,,,,,
player,201111270oti,tam,BarbRo00,tackles_assists,1,,,,,
player,201111270oti,tam,BarbRo00,tackles_loss,0,,,,,
player,201111270oti,tam,BarbRo00,qb_hits,0,,,,,
player,201111270oti,tam,BarbRo00,fumbles_rec,0,,,,,
player,201111270oti,tam,BarbRo00,fumbles_rec_yds,0,,,,,
player,201111270oti,tam,BarbRo00,fumbles_rec_td,0,,,,,
player,201111270oti,tam,BarbRo00,fumbles_forced,1,,,,,
player,201111270oti,tam,BiggE.99,def_int,0,,,,,
player,201111270oti,tam,BiggE.99,def_int_yds,0,,,,,
player,201111270oti,tam,BiggE.99,def_int_td,0,,,,,
player,201111270oti,tam,BiggE.99,def_int_long,0,,,,,
player,201111270oti,tam,BiggE.99,pass_defended,2,,,,,
player,201111270oti,tam,BiggE.99,sacks,0.0,,,,,
player,201111270oti,tam,BiggE.99,tackles_combined,6,,,,,
player,201111270oti,tam,BiggE.99,tackles_solo,4,,,,,
player,201111270oti,tam,BiggE.99,tackles_assists,2,,,,,
player,201111270oti,tam,BiggE.99,tackles_loss,0,,,,,
player,201111270oti,tam,BiggE.99,qb_hits,0,,,,,
player,201111270oti,tam,BiggE.99,fumbles_rec,0,,,,,
player,201111270oti,tam,BiggE.99,fumbles_rec_yds,0,,,,,
player,201111270oti,tam,BiggE.99,fumbles_rec_td,0,,,,,
player,201111270oti,tam,BiggE.99,fumbles_forced,0,,,,,
player,201111270oti,tam,FostMa00,def_int,0,,,,,
player,201111270oti,tam,FostMa00,def_int_yds,0,,,,,
player,201111270oti,tam,FostMa00,def_int_td,0,,,,,
player,201111270oti,tam,FostMa00,def_int_long,0,,,,,
player,201111270oti,tam,FostMa00,pass_defended,1,,,,,
player,201111270oti,tam,FostMa00,sacks,0.0,,,,,
player,201111270oti,tam,FostMa00,tackles_combined,5,,,,,
player,201111270oti,tam,FostMa00,tackles_solo,4,,,,,
player,201111270oti,tam,FostMa00,tackles_assists,1,,,,,
player,201111270oti,tam,FostMa00,tackles_loss,1,,,,,
player,201111270oti,tam,FostMa00,qb_hits,0,,,,,
player,201111270oti,tam,FostMa00,fumbles_rec,0,,,,,
player,201111270oti,tam,FostMa00,fumbles_rec_yds,0,,,,,
player,201111270oti,tam,FostMa00,fumbles_rec_td,0,,,,,
player,201111270oti,tam,FostMa00,fumbles_forced,0,,,,,
player,201111270oti,tam,JackTa99,def_int,0,,,,,
player,201111270oti,tam,JackTa99,def_int_yds,0,,,,,
