game,2011,6,20111016,201110160nwe,dal,"Dallas Cowboys",16,nwe,"New England Patriots",20
player,201110160nwe,dal,WittJa00,pass_int,0,,,,,
player,201110160nwe,dal,WittJa00,pass_sacked,0,,,,,
player,201110160nwe,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201110160nwe,dal,WittJa00,pass_long,0,,,,,
player,201110160nwe,dal,WittJa00,pass_rating,,,,,,
player,201110160nwe,dal,WittJa00,rush_att,0,,,,,
player,201110160nwe,dal,WittJa00,rush_yds,0,,,,,
player,201110160nwe,dal,WittJa00,rush_td,0,,,,,
player,201110160nwe,dal,WittJa00,rush_long,0,,,,,
player,201110160nwe,dal,WittJa00,targets,4,,,,,
player,201110160nwe,dal,WittJa00,rec,4,,,,,
player,201110160nwe,dal,WittJa00,rec_yds,48,,,,,
player,201110160nwe,dal,WittJa00,rec_td,1,,,,,
player,201110160nwe,dal,WittJa00,rec_long,20,,,,,
player,201110160nwe,dal,WittJa00,fumbles,0,,,,,
player,201110160nwe,dal,WittJa00,fumbles_lost,,,,,,
player,201110160nwe,dal,RobiLa01,pass_cmp,0,,,,,
player,201110160nwe,dal,RobiLa01,pass_att,0,,,,,
player,201110160nwe,dal,RobiLa01,pass_yds,0,,,,,
player,201110160nwe,dal,RobiLa01,pass_td,0,,,,,
player,201110160nwe,dal,RobiLa01,pass_int,0,,,,,
player,201110160nwe,dal,RobiLa01,pass_sacked,0,,,,,
player,201110160nwe,dal,RobiLa01,pass_sacked_yds,0,,,,,
player,201110160nwe,dal,RobiLa01,pass_long,0,,,,,
player,201110160nwe,dal,RobiLa01,pass_rating,,,,,,
player,201110160nwe,dal,RobiLa01,rush_att,0,,,,,
player,201110160nwe,dal,RobiLa01,rush_yds,0,,,,,
player,201110160nwe,dal,RobiLa01,rush_td,0,,,,,
player,201110160nwe,dal,RobiLa01,rush_long,0,,,,,
player,201110160nwe,dal,RobiLa01,targets,2,,,,,
player,201110160nwe,dal,RobiLa01,rec,2,,,,,
player,201110160nwe,dal,RobiLa01,rec_yds,43,,,,,
player,201110160nwe,dal,RobiLa01,rec_td,0,,,,,
player,201110160nwe,dal,RobiLa01,rec_long,32,,,,,
player,201110160nwe,dal,RobiLa01,fumbles,0,,,,,
player,201110160nwe,dal,RobiLa01,fumbles_lost,,,,,,
player,201110160nwe,dal,BennMa00,pass_cmp,0,,,,,
player,201110160nwe,dal,BennMa00,pass_att,0,,,,,
player,201110160nwe,dal,BennMa00,pass_yds,0,,,,,
player,201110160nwe,dal,BennMa00,pass_td,0,,,,,
player,201110160nwe,dal,BennMa00,pass_int,0,,,,,
player,201110160nwe,dal,BennMa00,pass_sacked,0,,,,,
player,201110160nwe,dal,BennMa00,pass_sacked_yds,0,,,,,
player,201110160nwe,dal,BennMa00,pass_long,0,,,,,
