game,2011,15,20111219,201112190sfo,pit,"Pittsburgh Steelers",3,sfo,"San Francisco 49ers",20
player,201112190sfo,pit,BrowAn04,rush_att,0,,,,,
player,201112190sfo,pit,BrowAn04,rush_yds,0,,,,,
player,201112190sfo,pit,BrowAn04,rush_td,0,,,,,
player,201112190sfo,pit,BrowAn04,rush_long,0,,,,,
player,201112190sfo,pit,BrowAn04,targets,10,,,,,
player,201112190sfo,pit,BrowAn04,rec,5,,,,,
player,201112190sfo,pit,BrowAn04,rec_yds,59,,,,,
player,201112190sfo,pit,BrowAn04,rec_td,0,,,,,
player,201112190sfo,pit,BrowAn04,rec_long,24,,,,,
player,201112190sfo,pit,BrowAn04,fumbles,0,,,,,
player,201112190sfo,pit,BrowAn04,fumbles_lost,,,,,,
player,201112190sfo,pit,RedmIs20,pass_cmp,0,,,,,
player,201112190sfo,pit,RedmIs20,pass_att,0,,,,,
player,201112190sfo,pit,RedmIs20,pass_yds,0,,,,,
player,201112190sfo,pit,RedmIs20,pass_td,0,,,,,
player,201112190sfo,pit,RedmIs20,pass_int,0,,,,,
player,201112190sfo,pit,RedmIs20,pass_sacked,0,,,,,
player,201112190sfo,pit,RedmIs20,pass_sacked_yds,0,,,,,
player,201112190sfo,pit,RedmIs20,pass_long,0,,,,,
player,201112190sfo,pit,RedmIs20,pass_rating,,,,,,
player,201112190sfo,pit,RedmIs20,rush_att,2,,,,,
player,201112190sfo,pit,RedmIs20,rush_yds,-1,,,,,
player,201112190sfo,pit,RedmIs20,rush_td,0,,,,,
player,201112190sfo,pit,RedmIs20,rush_long,0,,,,,
player,201112190sfo,pit,RedmIs20,targets,1,,,,,
player,201112190sfo,pit,RedmIs20,rec,0,,,,,
player,201112190sfo,pit,RedmIs20,rec_yds,0,,,,,
player,201112190sfo,pit,RedmIs20,rec_td,0,,,,,
player,201112190sfo,pit,RedmIs20,rec_long,0,,,,,
player,201112190sfo,pit,RedmIs20,fumbles,0,,,,,
player,201112190sfo,pit,RedmIs20,fumbles_lost,,,,,,
player,201112190sfo,sfo,SmitAl03,pass_cmp,18,,,,,
player,201112190sfo,sfo,SmitAl03,pass_att,31,,,,,
player,201112190sfo,sfo,SmitAl03,pass_yds,187,,,,,
player,201112190sfo,sfo,SmitAl03,pass_td,1,,,,,
player,201112190sfo,sfo,SmitAl03,pass_int,0,,,,,
player,201112190sfo,sfo,SmitAl03,pass_sacked,0,,,,,
player,201112190sfo,sfo,SmitAl03,pass_sacked_yds,0,,,,,
player,201112190sfo,sfo,SmitAl03,pass_long,31,,,,,
player,201112190sfo,sfo,SmitAl03,pass_rating,86.4,,,,,
