game,2011,8,20111030,201110300den,det,"Detroit Lions",45,den,"Denver Broncos",10
player,201110300den,den,DeckEr00,rush_long,0,,,,,
player,201110300den,den,DeckEr00,targets,12,,,,,
player,201110300den,den,DeckEr00,rec,6,,,,,
player,201110300den,den,DeckEr00,rec_yds,72,,,,,
player,201110300den,den,DeckEr00,rec_td,1,,,,,
player,201110300den,den,DeckEr00,rec_long,16,,,,,
player,201110300den,den,DeckEr00,fumbles,0,,,,,
player,201110300den,den,DeckEr00,fumbles_lost,,,,,,
player,201110300den,den,RoyaEd00,pass_cmp,0,,,,,
player,201110300den,den,RoyaEd00,pass_att,0,,,,,
player,201110300den,den,RoyaEd00,pass_yds,0,,,,,
player,201110300den,den,RoyaEd00,pass_td,0,,,,,
player,201110300den,den,RoyaEd00,pass_int,0,,,,,
player,201110300den,den,RoyaEd00,pass_sacked,0,,,,,
player,201110300den,den,RoyaEd00,pass_sacked_yds,0,,,,,
player,201110300den,den,RoyaEd00,pass_long,0,,,,,
player,201110300den,den,RoyaEd00,pass_rating,,,,,,
player,201110300den,den,RoyaEd00,rush_att,0,,,,,
player,201110300den,den,RoyaEd00,rush_yds,0,,,,,
player,201110300den,den,RoyaEd00,rush_td,0,,,,,
player,201110300den,den,RoyaEd00,rush_long,0,,,,,
player,201110300den,den,RoyaEd00,targets,13,,,,,
player,201110300den,den,RoyaEd00,rec,6,,,,,
player,201110300den,den,RoyaEd00,rec_yds,41,,,,,
player,201110300den,den,RoyaEd00,rec_td,0,,,,,
player,201110300den,den,RoyaEd00,rec_long,11,,,,,
player,201110300den,den,RoyaEd00,fumbles,0,,,,,
player,201110300den,den,RoyaEd00,fumbles_lost,,,,,,
player,201110300den,den,WillMa00,pass_cmp,0,,,,,
player,201110300den,den,WillMa00,pass_att,0,,,,,
player,201110300den,den,WillMa00,pass_yds,0,,,,,
player,201110300den,den,WillMa00,pass_td,0,,,,,
player,201110300den,den,WillMa00,pass_int,0,,,,,
player,201110300den,den,WillMa00,pass_sacked,0,,,,,
player,201110300den,den,WillMa00,pass_sacked_yds,0,,,,,
player,201110300den,den,WillMa00,pass_long,0,,,,,
player,201110300den,den,WillMa00,pass_rating,,,,,,
player,201110300den,den,WillMa00,rush_att,0,,,,,
player,201110300den,den,WillMa00,rush_yds,0,,,,,
player,201110300den,den,WillMa00,rush_td,0,,,,,
player,201110300den,den,WillMa00,rush_long,0,,,,,
player,201110300den,den,WillMa00,targets,3,,,,,
player,201110300den,den,WillMa00,rec,1,,,,,
player,201110300den,den,WillMa00,rec_yds,28,,,,,
player,201110300den,den,WillMa00,rec_td,0,,,,,
player,201110300den,den,WillMa00,rec_long,28,,,,,
player,201110300den,den,WillMa00,fumbles,0,,,,,
player,201110300den,den,WillMa00,fumbles_lost,,,,,,
player,201110300den,den,ThomDe03,pass_cmp,0,,,,,
player,201110300den,den,ThomDe03,pass_att,0,,,,,
player,201110300den,den,ThomDe03,pass_yds,0,,,,,
player,201110300den,den,ThomDe03,pass_td,0,,,,,
player,201110300den,den,ThomDe03,pass_int,0,,,,,
player,201110300den,den,ThomDe03,pass_sacked,0,,,,,
player,201110300den,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201110300den,den,ThomDe03,pass_long,0,,,,,
player,201110300den,den,ThomDe03,pass_rating,,,,,,
player,201110300den,den,ThomDe03,rush_att,0,,,,,
player,201110300den,den,ThomDe03,rush_yds,0,,,,,
player,201110300den,den,ThomDe03,rush_td,0,,,,,
player,201110300den,den,ThomDe03,rush_long,0,,,,,
player,201110300den,den,ThomDe03,targets,3,,,,,
player,201110300den,den,ThomDe03,rec,1,,,,,
player,201110300den,den,ThomDe03,rec_yds,10,,,,,
player,201110300den,den,ThomDe03,rec_td,0,,,,,
player,201110300den,den,ThomDe03,rec_long,10,,,,,
player,201110300den,den,ThomDe03,fumbles,0,,,,,
player,201110300den,den,ThomDe03,fumbles_lost,,,,,,
player,201110300den,den,RosaDa00,pass_cmp,0,,,,,
player,201110300den,den,RosaDa00,pass_att,0,,,,,
player,201110300den,den,RosaDa00,pass_yds,0,,,,,
player,201110300den,den,RosaDa00,pass_td,0,,,,,
player,201110300den,den,RosaDa00,pass_int,0,,,,,
