game,2011,2,20110918,201109180buf,rai,"Oakland Raiders",35,buf,"Buffalo Bills",38
player,201109180buf,buf,JackFr02,fumbles,0,,,,,
player,201109180buf,buf,JackFr02,fumbles_lost,,,,,,
player,201109180buf,buf,SpilC.00,pass_cmp,0,,,,,
player,201109180buf,buf,SpilC.00,pass_att,0,,,,,
player,201109180buf,buf,SpilC.00,pass_yds,0,,,,,
player,201109180buf,buf,SpilC.00,pass_td,0,,,,,
player,201109180buf,buf,SpilC.00,pass_int,0,,,,,
player,201109180buf,buf,SpilC.00,pass_sacked,0,,,,,
player,201109180buf,buf,SpilC.00,pass_sacked_yds,0,,,,,
player,201109180buf,buf,SpilC.00,pass_long,0,,,,,
player,201109180buf,buf,SpilC.00,pass_rating,,,,,,
player,201109180buf,buf,SpilC.00,rush_att,4,,,,,
player,201109180buf,buf,SpilC.00,rush_yds,63,,,,,
player,201109180buf,buf,SpilC.00,rush_td,0,,,,,
player,201109180buf,buf,SpilC.00,rush_long,26,,,,,
player,201109180buf,buf,SpilC.00,targets,1,,,,,
player,201109180buf,buf,SpilC.00,rec,1,,,,,
player,201109180buf,buf,SpilC.00,rec_yds,6,,,,,
player,201109180buf,buf,SpilC.00,rec_td,0,,,,,
player,201109180buf,buf,SpilC.00,rec_long,6,,,,,
player,201109180buf,buf,SpilC.00,fumbles,0,,,,,
player,201109180buf,buf,SpilC.00,fumbles_lost,,,,,,
player,201109180buf,buf,SmitBr01,pass_cmp,0,,,,,
player,201109180buf,buf,SmitBr01,pass_att,0,,,,,
player,201109180buf,buf,SmitBr01,pass_yds,0,,,,,
player,201109180buf,buf,SmitBr01,pass_td,0,,,,,
player,201109180buf,buf,SmitBr01,pass_int,0,,,,,
player,201109180buf,buf,SmitBr01,pass_sacked,1,,,,,
player,201109180buf,buf,SmitBr01,pass_sacked_yds,6,,,,,
player,201109180buf,buf,SmitBr01,pass_long,0,,,,,
player,201109180buf,buf,SmitBr01,pass_rating,,,,,,
player,201109180buf,buf,SmitBr01,rush_att,2,,,,,
player,201109180buf,buf,SmitBr01,rush_yds,20,,,,,
player,201109180buf,buf,SmitBr01,rush_td,0,,,,,
player,201109180buf,buf,SmitBr01,rush_long,11,,,,,
player,201109180buf,buf,SmitBr01,targets,0,,,,,
player,201109180buf,buf,SmitBr01,rec,0,,,,,
player,201109180buf,buf,SmitBr01,rec_yds,0,,,,,
player,201109180buf,buf,SmitBr01,rec_td,0,,,,,
player,201109180buf,buf,SmitBr01,rec_long,0,,,,,
player,201109180buf,buf,SmitBr01,fumbles,0,,,,,
player,201109180buf,buf,SmitBr01,fumbles_lost,,,,,,
player,201109180buf,buf,JohnSt00,pass_cmp,0,,,,,
player,201109180buf,buf,JohnSt00,pass_att,0,,,,,
player,201109180buf,buf,JohnSt00,pass_yds,0,,,,,
player,201109180buf,buf,JohnSt00,pass_td,0,,,,,
player,201109180buf,buf,JohnSt00,pass_int,0,,,,,
player,201109180buf,buf,JohnSt00,pass_sacked,0,,,,,
player,201109180buf,buf,JohnSt00,pass_sacked_yds,0,,,,,
player,201109180buf,buf,JohnSt00,pass_long,0,,,,,
player,201109180buf,buf,JohnSt00,pass_rating,,,,,,
player,201109180buf,buf,JohnSt00,rush_att,0,,,,,
player,201109180buf,buf,JohnSt00,rush_yds,0,,,,,
player,201109180buf,buf,JohnSt00,rush_td,0,,,,,
player,201109180buf,buf,JohnSt00,rush_long,0,,,,,
player,201109180buf,buf,JohnSt00,targets,14,,,,,
player,201109180buf,buf,JohnSt00,rec,8,,,,,
player,201109180buf,buf,JohnSt00,rec_yds,96,,,,,
player,201109180buf,buf,JohnSt00,rec_td,1,,,,,
player,201109180buf,buf,JohnSt00,rec_long,19,,,,,
player,201109180buf,buf,JohnSt00,fumbles,0,,,,,
player,201109180buf,buf,JohnSt00,fumbles_lost,,,,,,
player,201109180buf,buf,NelsDa01,pass_cmp,0,,,,,
player,201109180buf,buf,NelsDa01,pass_att,0,,,,,
player,201109180buf,buf,NelsDa01,pass_yds,0,,,,,
player,201109180buf,buf,NelsDa01,pass_td,0,,,,,
player,201109180buf,buf,NelsDa01,pass_int,0,,,,,
player,201109180buf,buf,NelsDa01,pass_sacked,0,,,,,
player,201109180buf,buf,NelsDa01,pass_sacked_yds,0,,,,,
player,201109180buf,buf,NelsDa01,pass_long,0,,,,,
player,201109180buf,buf,NelsDa01,pass_rating,,,,,,
player,201109180buf,buf,NelsDa01,rush_att,0,,,,,
player,201109180buf,buf,NelsDa01,rush_yds,0,,,,,
player,201109180buf,buf,NelsDa01,rush_td,0,,,,,
player,201109180buf,buf,NelsDa01,rush_long,0,,,,,
player,201109180buf,buf,NelsDa01,targets,13,,,,,
player,201109180buf,buf,NelsDa01,rec,10,,,,,
player,201109180buf,buf,NelsDa01,rec_yds,83,,,,,
player,201109180buf,buf,NelsDa01,rec_td,1,,,,,
player,201109180buf,buf,NelsDa01,rec_long,15,,,,,
player,201109180buf,buf,NelsDa01,fumbles,0,,,,,
player,201109180buf,buf,NelsDa01,fumbles_lost,,,,,,
player,201109180buf,buf,JoneDo00,pass_cmp,0,,,,,
player,201109180buf,buf,JoneDo00,pass_att,0,,,,,
player,201109180buf,buf,JoneDo00,pass_yds,0,,,,,
player,201109180buf,buf,JoneDo00,pass_td,0,,,,,
player,201109180buf,buf,JoneDo00,pass_int,0,,,,,
player,201109180buf,buf,JoneDo00,pass_sacked,0,,,,,
player,201109180buf,buf,JoneDo00,pass_sacked_yds,0,,,,,
player,201109180buf,buf,JoneDo00,pass_long,0,,,,,
player,201109180buf,buf,JoneDo00,pass_rating,,,,,,
player,201109180buf,buf,JoneDo00,rush_att,0,,,,,
player,201109180buf,buf,JoneDo00,rush_yds,0,,,,,
player,201109180buf,buf,JoneDo00,rush_td,0,,,,,
player,201109180buf,buf,JoneDo00,rush_long,0,,,,,
player,201109180buf,buf,JoneDo00,targets,6,,,,,
player,201109180buf,buf,JoneDo00,rec,4,,,,,
player,201109180buf,buf,JoneDo00,rec_yds,24,,,,,
player,201109180buf,buf,JoneDo00,rec_td,0,,,,,
player,201109180buf,buf,JoneDo00,rec_long,9,,,,,
player,201109180buf,buf,JoneDo00,fumbles,0,,,,,
player,201109180buf,buf,JoneDo00,fumbles_lost,,,,,,
player,201109180buf,buf,ParrRo00,pass_cmp,0,,,,,
player,201109180buf,buf,ParrRo00,pass_att,0,,,,,
player,201109180buf,buf,ParrRo00,pass_yds,0,,,,,
player,201109180buf,buf,ParrRo00,pass_td,0,,,,,
player,201109180buf,buf,ParrRo00,pass_int,0,,,,,
player,201109180buf,buf,ParrRo00,pass_sacked,0,,,,,
player,201109180buf,buf,ParrRo00,pass_sacked_yds,0,,,,,
player,201109180buf,buf,ParrRo00,pass_long,0,,,,,
player,201109180buf,buf,ParrRo00,pass_rating,,,,,,
player,201109180buf,buf,ParrRo00,rush_att,0,,,,,
player,201109180buf,buf,ParrRo00,rush_yds,0,,,,,
player,201109180buf,buf,ParrRo00,rush_td,0,,,,,
player,201109180buf,buf,ParrRo00,rush_long,0,,,,,
player,201109180buf,buf,ParrRo00,targets,2,,,,,
player,201109180buf,buf,ParrRo00,rec,1,,,,,
player,201109180buf,buf,ParrRo00,rec_yds,16,,,,,
player,201109180buf,buf,ParrRo00,rec_td,0,,,,,
player,201109180buf,buf,ParrRo00,rec_long,16,,,,,
player,201109180buf,buf,ParrRo00,fumbles,0,,,,,
player,201109180buf,buf,ParrRo00,fumbles_lost,,,,,,
player,201109180buf,buf,ChanSc00,pass_cmp,0,,,,,
player,201109180buf,buf,ChanSc00,pass_att,0,,,,,
player,201109180buf,buf,ChanSc00,pass_yds,0,,,,,
player,201109180buf,buf,ChanSc00,pass_td,0,,,,,
player,201109180buf,buf,ChanSc00,pass_int,0,,,,,
player,201109180buf,buf,ChanSc00,pass_sacked,0,,,,,
player,201109180buf,buf,ChanSc00,pass_sacked_yds,0,,,,,
player,201109180buf,buf,ChanSc00,pass_long,0,,,,,
player,201109180buf,buf,ChanSc00,pass_rating,,,,,,
player,201109180buf,buf,ChanSc00,rush_att,0,,,,,
player,201109180buf,buf,ChanSc00,rush_yds,0,,,,,
player,201109180buf,buf,ChanSc00,rush_td,0,,,,,
player,201109180buf,buf,ChanSc00,rush_long,0,,,,,
player,201109180buf,buf,ChanSc00,targets,4,,,,,
player,201109180buf,buf,ChanSc00,rec,2,,,,,
player,201109180buf,buf,ChanSc00,rec_yds,16,,,,,
player,201109180buf,buf,ChanSc00,rec_td,1,,,,,
player,201109180buf,buf,ChanSc00,rec_long,10,,,,,
player,201109180buf,buf,ChanSc00,fumbles,0,,,,,
player,201109180buf,buf,ChanSc00,fumbles_lost,,,,,,
player,201109180buf,buf,MartRu00,pass_cmp,0,,,,,
player,201109180buf,buf,MartRu00,pass_att,0,,,,,
player,201109180buf,buf,MartRu00,pass_yds,0,,,,,
player,201109180buf,buf,MartRu00,pass_td,0,,,,,
player,201109180buf,buf,MartRu00,pass_int,0,,,,,
player,201109180buf,buf,MartRu00,pass_sacked,0,,,,,
player,201109180buf,buf,MartRu00,pass_sacked_yds,0,,,,,
player,201109180buf,buf,MartRu00,pass_long,0,,,,,
player,201109180buf,buf,MartRu00,pass_rating,,,,,,
player,201109180buf,buf,MartRu00,rush_att,0,,,,,
player,201109180buf,buf,MartRu00,rush_yds,0,,,,,
player,201109180buf,buf,MartRu00,rush_td,0,,,,,
player,201109180buf,buf,MartRu00,rush_long,0,,,,,
player,201109180buf,buf,MartRu00,targets,3,,,,,
player,201109180buf,buf,MartRu00,rec,0,,,,,
player,201109180buf,buf,MartRu00,rec_yds,0,,,,,
player,201109180buf,buf,MartRu00,rec_td,0,,,,,
player,201109180buf,buf,MartRu00,rec_long,0,,,,,
player,201109180buf,buf,MartRu00,fumbles,0,,,,,
player,201109180buf,buf,MartRu00,fumbles_lost,,,,,,
player,201109180buf,rai,RoutSt20,def_int,1,,,,,
player,201109180buf,rai,RoutSt20,def_int_yds,2,,,,,
player,201109180buf,rai,RoutSt20,def_int_td,0,,,,,
player,201109180buf,rai,RoutSt20,def_int_long,2,,,,,
player,201109180buf,rai,RoutSt20,pass_defended,2,,,,,
player,201109180buf,rai,RoutSt20,sacks,0.0,,,,,
player,201109180buf,rai,RoutSt20,tackles_combined,3,,,,,
player,201109180buf,rai,RoutSt20,tackles_solo,3,,,,,
player,201109180buf,rai,RoutSt20,tackles_assists,0,,,,,
player,201109180buf,rai,RoutSt20,tackles_loss,0,,,,,
player,201109180buf,rai,RoutSt20,qb_hits,0,,,,,
player,201109180buf,rai,RoutSt20,fumbles_rec,0,,,,,
player,201109180buf,rai,RoutSt20,fumbles_rec_yds,0,,,,,
player,201109180buf,rai,RoutSt20,fumbles_rec_td,0,,,,,
player,201109180buf,rai,RoutSt20,fumbles_forced,0,,,,,
player,201109180buf,rai,McClRo00,def_int,0,,,,,
player,201109180buf,rai,McClRo00,def_int_yds,0,,,,,
player,201109180buf,rai,McClRo00,def_int_td,0,,,,,
player,201109180buf,rai,McClRo00,def_int_long,0,,,,,
player,201109180buf,rai,McClRo00,pass_defended,3,,,,,
player,201109180buf,rai,McClRo00,sacks,1.0,,,,,
player,201109180buf,rai,McClRo00,tackles_combined,10,,,,,
player,201109180buf,rai,McClRo00,tackles_solo,7,,,,,
player,201109180buf,rai,McClRo00,tackles_assists,3,,,,,
player,201109180buf,rai,McClRo00,tackles_loss,1,,,,,
player,201109180buf,rai,McClRo00,qb_hits,1,,,,,
player,201109180buf,rai,McClRo00,fumbles_rec,0,,,,,
player,201109180buf,rai,McClRo00,fumbles_rec_yds,0,,,,,
player,201109180buf,rai,McClRo00,fumbles_rec_td,0,,,,,
player,201109180buf,rai,McClRo00,fumbles_forced,0,,,,,
player,201109180buf,rai,BranTy99,def_int,0,,,,,
player,201109180buf,rai,BranTy99,def_int_yds,0,,,,,
player,201109180buf,rai,BranTy99,def_int_td,0,,,,,
player,201109180buf,rai,BranTy99,def_int_long,0,,,,,
player,201109180buf,rai,BranTy99,pass_defended,0,,,,,
player,201109180buf,rai,BranTy99,sacks,0.0,,,,,
player,201109180buf,rai,BranTy99,tackles_combined,8,,,,,
player,201109180buf,rai,BranTy99,tackles_solo,6,,,,,
player,201109180buf,rai,BranTy99,tackles_assists,2,,,,,
player,201109180buf,rai,BranTy99,tackles_loss,0,,,,,
player,201109180buf,rai,BranTy99,qb_hits,0,,,,,
player,201109180buf,rai,BranTy99,fumbles_rec,0,,,,,
player,201109180buf,rai,BranTy99,fumbles_rec_yds,0,,,,,
player,201109180buf,rai,BranTy99,fumbles_rec_td,0,,,,,
player,201109180buf,rai,BranTy99,fumbles_forced,0,,,,,
player,201109180buf,rai,GiorMa20,def_int,0,,,,,
player,201109180buf,rai,GiorMa20,def_int_yds,0,,,,,
player,201109180buf,rai,GiorMa20,def_int_td,0,,,,,
player,201109180buf,rai,GiorMa20,def_int_long,0,,,,,
player,201109180buf,rai,GiorMa20,pass_defended,0,,,,,
player,201109180buf,rai,GiorMa20,sacks,0.0,,,,,
player,201109180buf,rai,GiorMa20,tackles_combined,7,,,,,
player,201109180buf,rai,GiorMa20,tackles_solo,4,,,,,
