game,2011,14,20111211,201112110was,nwe,"New England Patriots",34,was,"Washington Redskins",27
player,201112110was,nwe,BradTo00,rush_td,0,,,,,
player,201112110was,nwe,BradTo00,rush_long,5,,,,,
player,201112110was,nwe,BradTo00,targets,0,,,,,
player,201112110was,nwe,BradTo00,rec,0,,,,,
player,201112110was,nwe,BradTo00,rec_yds,0,,,,,
player,201112110was,nwe,BradTo00,rec_td,0,,,,,
player,201112110was,nwe,BradTo00,rec_long,0,,,,,
player,201112110was,nwe,BradTo00,fumbles,0,,,,,
player,201112110was,nwe,BradTo00,fumbles_lost,,,,,,
player,201112110was,nwe,WoodDa02,pass_cmp,0,,,,,
player,201112110was,nwe,WoodDa02,pass_att,0,,,,,
player,201112110was,nwe,WoodDa02,pass_yds,0,,,,,
player,201112110was,nwe,WoodDa02,pass_td,0,,,,,
player,201112110was,nwe,WoodDa02,pass_int,0,,,,,
player,201112110was,nwe,WoodDa02,pass_sacked,0,,,,,
player,201112110was,nwe,WoodDa02,pass_sacked_yds,0,,,,,
player,201112110was,nwe,WoodDa02,pass_long,0,,,,,
player,201112110was,nwe,WoodDa02,pass_rating,,,,,,
player,201112110was,nwe,WoodDa02,rush_att,8,,,,,
player,201112110was,nwe,WoodDa02,rush_yds,41,,,,,
player,201112110was,nwe,WoodDa02,rush_td,0,,,,,
player,201112110was,nwe,WoodDa02,rush_long,12,,,,,
player,201112110was,nwe,WoodDa02,targets,3,,,,,
player,201112110was,nwe,WoodDa02,rec,1,,,,,
player,201112110was,nwe,WoodDa02,rec_yds,4,,,,,
player,201112110was,nwe,WoodDa02,rec_td,0,,,,,
player,201112110was,nwe,WoodDa02,rec_long,4,,,,,
player,201112110was,nwe,WoodDa02,fumbles,0,,,,,
player,201112110was,nwe,WoodDa02,fumbles_lost,,,,,,
player,201112110was,nwe,GreeBe00,pass_cmp,0,,,,,
player,201112110was,nwe,GreeBe00,pass_att,0,,,,,
player,201112110was,nwe,GreeBe00,pass_yds,0,,,,,
player,201112110was,nwe,GreeBe00,pass_td,0,,,,,
player,201112110was,nwe,GreeBe00,pass_int,0,,,,,
player,201112110was,nwe,GreeBe00,pass_sacked,0,,,,,
player,201112110was,nwe,GreeBe00,pass_sacked_yds,0,,,,,
player,201112110was,nwe,GreeBe00,pass_long,0,,,,,
player,201112110was,nwe,GreeBe00,pass_rating,,,,,,
player,201112110was,nwe,GreeBe00,rush_att,5,,,,,
player,201112110was,nwe,GreeBe00,rush_yds,19,,,,,
player,201112110was,nwe,GreeBe00,rush_td,0,,,,,
player,201112110was,nwe,GreeBe00,rush_long,13,,,,,
player,201112110was,nwe,GreeBe00,targets,1,,,,,
player,201112110was,nwe,GreeBe00,rec,0,,,,,
player,201112110was,nwe,GreeBe00,rec_yds,0,,,,,
player,201112110was,nwe,GreeBe00,rec_td,0,,,,,
player,201112110was,nwe,GreeBe00,rec_long,0,,,,,
player,201112110was,nwe,GreeBe00,fumbles,0,,,,,
player,201112110was,nwe,GreeBe00,fumbles_lost,,,,,,
player,201112110was,nwe,FaulKe00,pass_cmp,0,,,,,
player,201112110was,nwe,FaulKe00,pass_att,0,,,,,
player,201112110was,nwe,FaulKe00,pass_yds,0,,,,,
player,201112110was,nwe,FaulKe00,pass_td,0,,,,,
player,201112110was,nwe,FaulKe00,pass_int,0,,,,,
player,201112110was,nwe,FaulKe00,pass_sacked,0,,,,,
player,201112110was,nwe,FaulKe00,pass_sacked_yds,0,,,,,
player,201112110was,nwe,FaulKe00,pass_long,0,,,,,
player,201112110was,nwe,FaulKe00,pass_rating,,,,,,
player,201112110was,nwe,FaulKe00,rush_att,3,,,,,
player,201112110was,nwe,FaulKe00,rush_yds,11,,,,,
player,201112110was,nwe,FaulKe00,rush_td,0,,,,,
player,201112110was,nwe,FaulKe00,rush_long,6,,,,,
player,201112110was,nwe,FaulKe00,targets,1,,,,,
player,201112110was,nwe,FaulKe00,rec,1,,,,,
player,201112110was,nwe,FaulKe00,rec_yds,1,,,,,
player,201112110was,nwe,FaulKe00,rec_td,0,,,,,
player,201112110was,nwe,FaulKe00,rec_long,1,,,,,
player,201112110was,nwe,FaulKe00,fumbles,0,,,,,
player,201112110was,nwe,FaulKe00,fumbles_lost,,,,,,
player,201112110was,nwe,GronRo00,pass_cmp,0,,,,,
player,201112110was,nwe,GronRo00,pass_att,0,,,,,
player,201112110was,nwe,GronRo00,pass_yds,0,,,,,
player,201112110was,nwe,GronRo00,pass_td,0,,,,,
player,201112110was,nwe,GronRo00,pass_int,0,,,,,
player,201112110was,nwe,GronRo00,pass_sacked,0,,,,,
player,201112110was,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201112110was,nwe,GronRo00,pass_long,0,,,,,
player,201112110was,nwe,GronRo00,pass_rating,,,,,,
player,201112110was,nwe,GronRo00,rush_att,0,,,,,
player,201112110was,nwe,GronRo00,rush_yds,0,,,,,
player,201112110was,nwe,GronRo00,rush_td,0,,,,,
player,201112110was,nwe,GronRo00,rush_long,0,,,,,
player,201112110was,nwe,GronRo00,targets,10,,,,,
player,201112110was,nwe,GronRo00,rec,6,,,,,
player,201112110was,nwe,GronRo00,rec_yds,160,,,,,
player,201112110was,nwe,GronRo00,rec_td,2,,,,,
player,201112110was,nwe,GronRo00,rec_long,50,,,,,
player,201112110was,nwe,GronRo00,fumbles,0,,,,,
player,201112110was,nwe,GronRo00,fumbles_lost,,,,,,
player,201112110was,nwe,WelkWe00,pass_cmp,0,,,,,
player,201112110was,nwe,WelkWe00,pass_att,0,,,,,
player,201112110was,nwe,WelkWe00,pass_yds,0,,,,,
player,201112110was,nwe,WelkWe00,pass_td,0,,,,,
player,201112110was,nwe,WelkWe00,pass_int,0,,,,,
player,201112110was,nwe,WelkWe00,pass_sacked,0,,,,,
player,201112110was,nwe,WelkWe00,pass_sacked_yds,0,,,,,
player,201112110was,nwe,WelkWe00,pass_long,0,,,,,
player,201112110was,nwe,WelkWe00,pass_rating,,,,,,
player,201112110was,nwe,WelkWe00,rush_att,0,,,,,
player,201112110was,nwe,WelkWe00,rush_yds,0,,,,,
player,201112110was,nwe,WelkWe00,rush_td,0,,,,,
player,201112110was,nwe,WelkWe00,rush_long,0,,,,,
player,201112110was,nwe,WelkWe00,targets,10,,,,,
player,201112110was,nwe,WelkWe00,rec,7,,,,,
player,201112110was,nwe,WelkWe00,rec_yds,86,,,,,
player,201112110was,nwe,WelkWe00,rec_td,1,,,,,
player,201112110was,nwe,WelkWe00,rec_long,24,,,,,
player,201112110was,nwe,WelkWe00,fumbles,0,,,,,
player,201112110was,nwe,WelkWe00,fumbles_lost,,,,,,
player,201112110was,nwe,HernAa00,pass_cmp,0,,,,,
player,201112110was,nwe,HernAa00,pass_att,0,,,,,
player,201112110was,nwe,HernAa00,pass_yds,0,,,,,
player,201112110was,nwe,HernAa00,pass_td,0,,,,,
player,201112110was,nwe,HernAa00,pass_int,0,,,,,
player,201112110was,nwe,HernAa00,pass_sacked,0,,,,,
player,201112110was,nwe,HernAa00,pass_sacked_yds,0,,,,,
player,201112110was,nwe,HernAa00,pass_long,0,,,,,
player,201112110was,nwe,HernAa00,pass_rating,,,,,,
player,201112110was,nwe,HernAa00,rush_att,0,,,,,
player,201112110was,nwe,HernAa00,rush_yds,0,,,,,
player,201112110was,nwe,HernAa00,rush_td,0,,,,,
player,201112110was,nwe,HernAa00,rush_long,0,,,,,
player,201112110was,nwe,HernAa00,targets,7,,,,,
player,201112110was,nwe,HernAa00,rec,5,,,,,
player,201112110was,nwe,HernAa00,rec_yds,84,,,,,
player,201112110was,nwe,HernAa00,rec_td,0,,,,,
player,201112110was,nwe,HernAa00,rec_long,29,,,,,
player,201112110was,nwe,HernAa00,fumbles,0,,,,,
player,201112110was,nwe,HernAa00,fumbles_lost,,,,,,
player,201112110was,nwe,JohnCh01,pass_cmp,0,,,,,
player,201112110was,nwe,JohnCh01,pass_att,0,,,,,
player,201112110was,nwe,JohnCh01,pass_yds,0,,,,,
player,201112110was,nwe,JohnCh01,pass_td,0,,,,,
player,201112110was,nwe,JohnCh01,pass_int,0,,,,,
player,201112110was,nwe,JohnCh01,pass_sacked,0,,,,,
player,201112110was,nwe,JohnCh01,pass_sacked_yds,0,,,,,
player,201112110was,nwe,JohnCh01,pass_long,0,,,,,
player,201112110was,nwe,JohnCh01,pass_rating,,,,,,
player,201112110was,nwe,JohnCh01,rush_att,0,,,,,
player,201112110was,nwe,JohnCh01,rush_yds,0,,,,,
player,201112110was,nwe,JohnCh01,rush_td,0,,,,,
player,201112110was,nwe,JohnCh01,rush_long,0,,,,,
player,201112110was,nwe,JohnCh01,targets,1,,,,,
player,201112110was,nwe,JohnCh01,rec,1,,,,,
player,201112110was,nwe,JohnCh01,rec_yds,15,,,,,
player,201112110was,nwe,JohnCh01,rec_td,0,,,,,
player,201112110was,nwe,JohnCh01,rec_long,15,,,,,
player,201112110was,nwe,JohnCh01,fumbles,0,,,,,
player,201112110was,nwe,JohnCh01,fumbles_lost,,,,,,
player,201112110was,nwe,UndeTi00,pass_cmp,0,,,,,
player,201112110was,nwe,UndeTi00,pass_att,0,,,,,
player,201112110was,nwe,UndeTi00,pass_yds,0,,,,,
player,201112110was,nwe,UndeTi00,pass_td,0,,,,,
player,201112110was,nwe,UndeTi00,pass_int,0,,,,,
player,201112110was,nwe,UndeTi00,pass_sacked,0,,,,,
player,201112110was,nwe,UndeTi00,pass_sacked_yds,0,,,,,
player,201112110was,nwe,UndeTi00,pass_long,0,,,,,
player,201112110was,nwe,UndeTi00,pass_rating,,,,,,
player,201112110was,nwe,UndeTi00,rush_att,0,,,,,
player,201112110was,nwe,UndeTi00,rush_yds,0,,,,,
player,201112110was,nwe,UndeTi00,rush_td,0,,,,,
player,201112110was,nwe,UndeTi00,rush_long,0,,,,,
player,201112110was,nwe,UndeTi00,targets,2,,,,,
player,201112110was,nwe,UndeTi00,rec,1,,,,,
player,201112110was,nwe,UndeTi00,rec_yds,7,,,,,
player,201112110was,nwe,UndeTi00,rec_td,0,,,,,
player,201112110was,nwe,UndeTi00,rec_long,7,,,,,
player,201112110was,nwe,UndeTi00,fumbles,0,,,,,
player,201112110was,nwe,UndeTi00,fumbles_lost,,,,,,
player,201112110was,nwe,BranDe00,pass_cmp,0,,,,,
player,201112110was,nwe,BranDe00,pass_att,0,,,,,
player,201112110was,nwe,BranDe00,pass_yds,0,,,,,
player,201112110was,nwe,BranDe00,pass_td,0,,,,,
player,201112110was,nwe,BranDe00,pass_int,0,,,,,
player,201112110was,nwe,BranDe00,pass_sacked,0,,,,,
player,201112110was,nwe,BranDe00,pass_sacked_yds,0,,,,,
player,201112110was,nwe,BranDe00,pass_long,0,,,,,
player,201112110was,nwe,BranDe00,pass_rating,,,,,,
player,201112110was,nwe,BranDe00,rush_att,0,,,,,
player,201112110was,nwe,BranDe00,rush_yds,0,,,,,
player,201112110was,nwe,BranDe00,rush_td,0,,,,,
player,201112110was,nwe,BranDe00,rush_long,0,,,,,
player,201112110was,nwe,BranDe00,targets,2,,,,,
player,201112110was,nwe,BranDe00,rec,0,,,,,
player,201112110was,nwe,BranDe00,rec_yds,0,,,,,
player,201112110was,nwe,BranDe00,rec_td,0,,,,,
player,201112110was,nwe,BranDe00,rec_long,0,,,,,
player,201112110was,nwe,BranDe00,fumbles,0,,,,,
player,201112110was,nwe,BranDe00,fumbles_lost,,,,,,
player,201112110was,was,GrosRe00,pass_cmp,19,,,,,
player,201112110was,was,GrosRe00,pass_att,32,,,,,
player,201112110was,was,GrosRe00,pass_yds,252,,,,,
player,201112110was,was,GrosRe00,pass_td,2,,,,,
player,201112110was,was,GrosRe00,pass_int,1,,,,,
player,201112110was,was,GrosRe00,pass_sacked,2,,,,,
player,201112110was,was,GrosRe00,pass_sacked_yds,8,,,,,
player,201112110was,was,GrosRe00,pass_long,51,,,,,
player,201112110was,was,GrosRe00,pass_rating,92.2,,,,,
player,201112110was,was,GrosRe00,rush_att,1,,,,,
player,201112110was,was,GrosRe00,rush_yds,0,,,,,
player,201112110was,was,GrosRe00,rush_td,0,,,,,
player,201112110was,was,GrosRe00,rush_long,0,,,,,
player,201112110was,was,GrosRe00,targets,0,,,,,
player,201112110was,was,GrosRe00,rec,0,,,,,
player,201112110was,was,GrosRe00,rec_yds,0,,,,,
player,201112110was,was,GrosRe00,rec_td,0,,,,,
player,201112110was,was,GrosRe00,rec_long,0,,,,,
player,201112110was,was,GrosRe00,fumbles,2,,,,,
player,201112110was,was,GrosRe00,fumbles_lost,0,,,,,
player,201112110was,was,BankBr00,pass_cmp,1,,,,,
player,201112110was,was,BankBr00,pass_att,1,,,,,
player,201112110was,was,BankBr00,pass_yds,49,,,,,
player,201112110was,was,BankBr00,pass_td,1,,,,,
player,201112110was,was,BankBr00,pass_int,0,,,,,
player,201112110was,was,BankBr00,pass_sacked,0,,,,,
player,201112110was,was,BankBr00,pass_sacked_yds,0,,,,,
player,201112110was,was,BankBr00,pass_long,49,,,,,
player,201112110was,was,BankBr00,pass_rating,158.3,,,,,
player,201112110was,was,BankBr00,rush_att,0,,,,,
player,201112110was,was,BankBr00,rush_yds,0,,,,,
player,201112110was,was,BankBr00,rush_td,0,,,,,
player,201112110was,was,BankBr00,rush_long,0,,,,,
player,201112110was,was,BankBr00,targets,0,,,,,
player,201112110was,was,BankBr00,rec,0,,,,,
player,201112110was,was,BankBr00,rec_yds,0,,,,,
player,201112110was,was,BankBr00,rec_td,0,,,,,
player,201112110was,was,BankBr00,rec_long,0,,,,,
player,201112110was,was,BankBr00,fumbles,0,,,,,
player,201112110was,was,BankBr00,fumbles_lost,,,,,,
player,201112110was,was,HeluRo00,pass_cmp,0,,,,,
player,201112110was,was,HeluRo00,pass_att,0,,,,,
player,201112110was,was,HeluRo00,pass_yds,0,,,,,
player,201112110was,was,HeluRo00,pass_td,0,,,,,
player,201112110was,was,HeluRo00,pass_int,0,,,,,
player,201112110was,was,HeluRo00,pass_sacked,0,,,,,
player,201112110was,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201112110was,was,HeluRo00,pass_long,0,,,,,
player,201112110was,was,HeluRo00,pass_rating,,,,,,
player,201112110was,was,HeluRo00,rush_att,27,,,,,
player,201112110was,was,HeluRo00,rush_yds,126,,,,,
player,201112110was,was,HeluRo00,rush_td,0,,,,,
player,201112110was,was,HeluRo00,rush_long,26,,,,,
player,201112110was,was,HeluRo00,targets,3,,,,,
player,201112110was,was,HeluRo00,rec,2,,,,,
player,201112110was,was,HeluRo00,rec_yds,6,,,,,
player,201112110was,was,HeluRo00,rec_td,0,,,,,
player,201112110was,was,HeluRo00,rec_long,8,,,,,
player,201112110was,was,HeluRo00,fumbles,0,,,,,
player,201112110was,was,HeluRo00,fumbles_lost,,,,,,
player,201112110was,was,RoysEv00,pass_cmp,0,,,,,
player,201112110was,was,RoysEv00,pass_att,0,,,,,
player,201112110was,was,RoysEv00,pass_yds,0,,,,,
player,201112110was,was,RoysEv00,pass_td,0,,,,,
player,201112110was,was,RoysEv00,pass_int,0,,,,,
player,201112110was,was,RoysEv00,pass_sacked,0,,,,,
player,201112110was,was,RoysEv00,pass_sacked_yds,0,,,,,
player,201112110was,was,RoysEv00,pass_long,0,,,,,
player,201112110was,was,RoysEv00,pass_rating,,,,,,
player,201112110was,was,RoysEv00,rush_att,6,,,,,
player,201112110was,was,RoysEv00,rush_yds,44,,,,,
player,201112110was,was,RoysEv00,rush_td,0,,,,,
player,201112110was,was,RoysEv00,rush_long,15,,,,,
player,201112110was,was,RoysEv00,targets,2,,,,,
player,201112110was,was,RoysEv00,rec,2,,,,,
player,201112110was,was,RoysEv00,rec_yds,6,,,,,
player,201112110was,was,RoysEv00,rec_td,0,,,,,
player,201112110was,was,RoysEv00,rec_long,10,,,,,
player,201112110was,was,RoysEv00,fumbles,0,,,,,
player,201112110was,was,RoysEv00,fumbles_lost,,,,,,
player,201112110was,was,StalDo00,pass_cmp,0,,,,,
player,201112110was,was,StalDo00,pass_att,0,,,,,
player,201112110was,was,StalDo00,pass_yds,0,,,,,
player,201112110was,was,StalDo00,pass_td,0,,,,,
player,201112110was,was,StalDo00,pass_int,0,,,,,
player,201112110was,was,StalDo00,pass_sacked,0,,,,,
player,201112110was,was,StalDo00,pass_sacked_yds,0,,,,,
player,201112110was,was,StalDo00,pass_long,0,,,,,
player,201112110was,was,StalDo00,pass_rating,,,,,,
player,201112110was,was,StalDo00,rush_att,0,,,,,
player,201112110was,was,StalDo00,rush_yds,0,,,,,
player,201112110was,was,StalDo00,rush_td,0,,,,,
player,201112110was,was,StalDo00,rush_long,0,,,,,
player,201112110was,was,StalDo00,targets,6,,,,,
player,201112110was,was,StalDo00,rec,4,,,,,
player,201112110was,was,StalDo00,rec_yds,96,,,,,
player,201112110was,was,StalDo00,rec_td,0,,,,,
player,201112110was,was,StalDo00,rec_long,51,,,,,
player,201112110was,was,StalDo00,fumbles,0,,,,,
player,201112110was,was,StalDo00,fumbles_lost,,,,,,
player,201112110was,was,GaffJa00,pass_cmp,0,,,,,
player,201112110was,was,GaffJa00,pass_att,0,,,,,
player,201112110was,was,GaffJa00,pass_yds,0,,,,,
player,201112110was,was,GaffJa00,pass_td,0,,,,,
player,201112110was,was,GaffJa00,pass_int,0,,,,,
player,201112110was,was,GaffJa00,pass_sacked,0,,,,,
player,201112110was,was,GaffJa00,pass_sacked_yds,0,,,,,
player,201112110was,was,GaffJa00,pass_long,0,,,,,
player,201112110was,was,GaffJa00,pass_rating,,,,,,
player,201112110was,was,GaffJa00,rush_att,0,,,,,
player,201112110was,was,GaffJa00,rush_yds,0,,,,,
player,201112110was,was,GaffJa00,rush_td,0,,,,,
player,201112110was,was,GaffJa00,rush_long,0,,,,,
player,201112110was,was,GaffJa00,targets,8,,,,,
player,201112110was,was,GaffJa00,rec,6,,,,,
player,201112110was,was,GaffJa00,rec_yds,92,,,,,
player,201112110was,was,GaffJa00,rec_td,1,,,,,
player,201112110was,was,GaffJa00,rec_long,24,,,,,
player,201112110was,was,GaffJa00,fumbles,0,,,,,
player,201112110was,was,GaffJa00,fumbles_lost,,,,,,
player,201112110was,was,MossSa00,pass_cmp,0,,,,,
player,201112110was,was,MossSa00,pass_att,0,,,,,
player,201112110was,was,MossSa00,pass_yds,0,,,,,
player,201112110was,was,MossSa00,pass_td,0,,,,,
player,201112110was,was,MossSa00,pass_int,0,,,,,
player,201112110was,was,MossSa00,pass_sacked,0,,,,,
player,201112110was,was,MossSa00,pass_sacked_yds,0,,,,,
player,201112110was,was,MossSa00,pass_long,0,,,,,
player,201112110was,was,MossSa00,pass_rating,,,,,,
player,201112110was,was,MossSa00,rush_att,0,,,,,
player,201112110was,was,MossSa00,rush_yds,0,,,,,
player,201112110was,was,MossSa00,rush_td,0,,,,,
player,201112110was,was,MossSa00,rush_long,0,,,,,
player,201112110was,was,MossSa00,targets,9,,,,,
player,201112110was,was,MossSa00,rec,3,,,,,
player,201112110was,was,MossSa00,rec_yds,81,,,,,
player,201112110was,was,MossSa00,rec_td,1,,,,,
player,201112110was,was,MossSa00,rec_long,49,,,,,
player,201112110was,was,MossSa00,fumbles,0,,,,,
player,201112110was,was,MossSa00,fumbles_lost,,,,,,
player,201112110was,was,AndeDa01,pass_cmp,0,,,,,
player,201112110was,was,AndeDa01,pass_att,0,,,,,
player,201112110was,was,AndeDa01,pass_yds,0,,,,,
player,201112110was,was,AndeDa01,pass_td,0,,,,,
player,201112110was,was,AndeDa01,pass_int,0,,,,,
player,201112110was,was,AndeDa01,pass_sacked,0,,,,,
player,201112110was,was,AndeDa01,pass_sacked_yds,0,,,,,
player,201112110was,was,AndeDa01,pass_long,0,,,,,
player,201112110was,was,AndeDa01,pass_rating,,,,,,
player,201112110was,was,AndeDa01,rush_att,0,,,,,
player,201112110was,was,AndeDa01,rush_yds,0,,,,,
player,201112110was,was,AndeDa01,rush_td,0,,,,,
player,201112110was,was,AndeDa01,rush_long,0,,,,,
player,201112110was,was,AndeDa01,targets,3,,,,,
player,201112110was,was,AndeDa01,rec,2,,,,,
player,201112110was,was,AndeDa01,rec_yds,12,,,,,
player,201112110was,was,AndeDa01,rec_td,1,,,,,
player,201112110was,was,AndeDa01,rec_long,6,,,,,
player,201112110was,was,AndeDa01,fumbles,0,,,,,
player,201112110was,was,AndeDa01,fumbles_lost,,,,,,
player,201112110was,was,YounDa01,pass_cmp,0,,,,,
player,201112110was,was,YounDa01,pass_att,0,,,,,
player,201112110was,was,YounDa01,pass_yds,0,,,,,
player,201112110was,was,YounDa01,pass_td,0,,,,,
player,201112110was,was,YounDa01,pass_int,0,,,,,
player,201112110was,was,YounDa01,pass_sacked,0,,,,,
player,201112110was,was,YounDa01,pass_sacked_yds,0,,,,,
player,201112110was,was,YounDa01,pass_long,0,,,,,
player,201112110was,was,YounDa01,pass_rating,,,,,,
player,201112110was,was,YounDa01,rush_att,0,,,,,
player,201112110was,was,YounDa01,rush_yds,0,,,,,
player,201112110was,was,YounDa01,rush_td,0,,,,,
player,201112110was,was,YounDa01,rush_long,0,,,,,
player,201112110was,was,YounDa01,targets,2,,,,,
player,201112110was,was,YounDa01,rec,1,,,,,
player,201112110was,was,YounDa01,rec_yds,8,,,,,
player,201112110was,was,YounDa01,rec_td,0,,,,,
player,201112110was,was,YounDa01,rec_long,8,,,,,
player,201112110was,was,YounDa01,fumbles,0,,,,,
player,201112110was,was,YounDa01,fumbles_lost,,,,,,
player,201112110was,nwe,MayoJe99,def_int,1,,,,,
player,201112110was,nwe,MayoJe99,def_int_yds,2,,,,,
player,201112110was,nwe,MayoJe99,def_int_td,0,,,,,
player,201112110was,nwe,MayoJe99,def_int_long,2,,,,,
player,201112110was,nwe,MayoJe99,pass_defended,1,,,,,
player,201112110was,nwe,MayoJe99,sacks,0.0,,,,,
player,201112110was,nwe,MayoJe99,tackles_combined,9,,,,,
player,201112110was,nwe,MayoJe99,tackles_solo,6,,,,,
player,201112110was,nwe,MayoJe99,tackles_assists,3,,,,,
player,201112110was,nwe,MayoJe99,tackles_loss,0,,,,,
player,201112110was,nwe,MayoJe99,qb_hits,1,,,,,
player,201112110was,nwe,MayoJe99,fumbles_rec,0,,,,,
player,201112110was,nwe,MayoJe99,fumbles_rec_yds,0,,,,,
player,201112110was,nwe,MayoJe99,fumbles_rec_td,0,,,,,
player,201112110was,nwe,MayoJe99,fumbles_forced,0,,,,,
player,201112110was,nwe,CartAn20,def_int,0,,,,,
player,201112110was,nwe,CartAn20,def_int_yds,0,,,,,
player,201112110was,nwe,CartAn20,def_int_td,0,,,,,
player,201112110was,nwe,CartAn20,def_int_long,0,,,,,
player,201112110was,nwe,CartAn20,pass_defended,0,,,,,
player,201112110was,nwe,CartAn20,sacks,1.0,,,,,
player,201112110was,nwe,CartAn20,tackles_combined,5,,,,,
player,201112110was,nwe,CartAn20,tackles_solo,2,,,,,
player,201112110was,nwe,CartAn20,tackles_assists,3,,,,,
player,201112110was,nwe,CartAn20,tackles_loss,0,,,,,
player,201112110was,nwe,CartAn20,qb_hits,4,,,,,
player,201112110was,nwe,CartAn20,fumbles_rec,0,,,,,
player,201112110was,nwe,CartAn20,fumbles_rec_yds,0,,,,,
player,201112110was,nwe,CartAn20,fumbles_rec_td,0,,,,,
player,201112110was,nwe,CartAn20,fumbles_forced,1,,,,,
player,201112110was,nwe,DeadBr99,def_int,0,,,,,
player,201112110was,nwe,DeadBr99,def_int_yds,0,,,,,
player,201112110was,nwe,DeadBr99,def_int_td,0,,,,,
player,201112110was,nwe,DeadBr99,def_int_long,0,,,,,
player,201112110was,nwe,DeadBr99,pass_defended,0,,,,,
player,201112110was,nwe,DeadBr99,sacks,1.0,,,,,
player,201112110was,nwe,DeadBr99,tackles_combined,5,,,,,
player,201112110was,nwe,DeadBr99,tackles_solo,4,,,,,
player,201112110was,nwe,DeadBr99,tackles_assists,1,,,,,
player,201112110was,nwe,DeadBr99,tackles_loss,1,,,,,
player,201112110was,nwe,DeadBr99,qb_hits,1,,,,,
player,201112110was,nwe,DeadBr99,fumbles_rec,0,,,,,
player,201112110was,nwe,DeadBr99,fumbles_rec_yds,0,,,,,
player,201112110was,nwe,DeadBr99,fumbles_rec_td,0,,,,,
player,201112110was,nwe,DeadBr99,fumbles_forced,0,,,,,
player,201112110was,nwe,FletDa00,def_int,0,,,,,
player,201112110was,nwe,FletDa00,def_int_yds,0,,,,,
player,201112110was,nwe,FletDa00,def_int_td,0,,,,,
player,201112110was,nwe,FletDa00,def_int_long,0,,,,,
player,201112110was,nwe,FletDa00,pass_defended,0,,,,,
player,201112110was,nwe,FletDa00,sacks,0.0,,,,,
player,201112110was,nwe,FletDa00,tackles_combined,8,,,,,
player,201112110was,nwe,FletDa00,tackles_solo,6,,,,,
player,201112110was,nwe,FletDa00,tackles_assists,2,,,,,
player,201112110was,nwe,FletDa00,tackles_loss,0,,,,,
player,201112110was,nwe,FletDa00,qb_hits,1,,,,,
player,201112110was,nwe,FletDa00,fumbles_rec,0,,,,,
player,201112110was,nwe,FletDa00,fumbles_rec_yds,0,,,,,
player,201112110was,nwe,FletDa00,fumbles_rec_td,0,,,,,
player,201112110was,nwe,FletDa00,fumbles_forced,0,,,,,
player,201112110was,nwe,McCoDe99,def_int,0,,,,,
player,201112110was,nwe,McCoDe99,def_int_yds,0,,,,,
player,201112110was,nwe,McCoDe99,def_int_td,0,,,,,
player,201112110was,nwe,McCoDe99,def_int_long,0,,,,,
player,201112110was,nwe,McCoDe99,pass_defended,3,,,,,
player,201112110was,nwe,McCoDe99,sacks,0.0,,,,,
player,201112110was,nwe,McCoDe99,tackles_combined,8,,,,,
