game,2011,14,20111211,201112110crd,sfo,"San Francisco 49ers",19,crd,"Arizona Cardinals",21
player,201112110crd,sfo,SmitAl03,rec_td,0,,,,,
player,201112110crd,sfo,SmitAl03,rec_long,0,,,,,
player,201112110crd,sfo,SmitAl03,fumbles,0,,,,,
player,201112110crd,sfo,SmitAl03,fumbles_lost,,,,,,
player,201112110crd,sfo,GoreFr00,pass_cmp,0,,,,,
player,201112110crd,sfo,GoreFr00,pass_att,0,,,,,
player,201112110crd,sfo,GoreFr00,pass_yds,0,,,,,
player,201112110crd,sfo,GoreFr00,pass_td,0,,,,,
player,201112110crd,sfo,GoreFr00,pass_int,0,,,,,
player,201112110crd,sfo,GoreFr00,pass_sacked,0,,,,,
player,201112110crd,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201112110crd,sfo,GoreFr00,pass_long,0,,,,,
player,201112110crd,sfo,GoreFr00,pass_rating,,,,,,
player,201112110crd,sfo,GoreFr00,rush_att,10,,,,,
player,201112110crd,sfo,GoreFr00,rush_yds,72,,,,,
player,201112110crd,sfo,GoreFr00,rush_td,1,,,,,
player,201112110crd,sfo,GoreFr00,rush_long,37,,,,,
player,201112110crd,sfo,GoreFr00,targets,1,,,,,
player,201112110crd,sfo,GoreFr00,rec,0,,,,,
player,201112110crd,sfo,GoreFr00,rec_yds,0,,,,,
player,201112110crd,sfo,GoreFr00,rec_td,0,,,,,
player,201112110crd,sfo,GoreFr00,rec_long,0,,,,,
player,201112110crd,sfo,GoreFr00,fumbles,0,,,,,
player,201112110crd,sfo,GoreFr00,fumbles_lost,,,,,,
player,201112110crd,sfo,HuntKe00,pass_cmp,0,,,,,
player,201112110crd,sfo,HuntKe00,pass_att,0,,,,,
player,201112110crd,sfo,HuntKe00,pass_yds,0,,,,,
player,201112110crd,sfo,HuntKe00,pass_td,0,,,,,
player,201112110crd,sfo,HuntKe00,pass_int,0,,,,,
player,201112110crd,sfo,HuntKe00,pass_sacked,0,,,,,
player,201112110crd,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201112110crd,sfo,HuntKe00,pass_long,0,,,,,
player,201112110crd,sfo,HuntKe00,pass_rating,,,,,,
player,201112110crd,sfo,HuntKe00,rush_att,8,,,,,
player,201112110crd,sfo,HuntKe00,rush_yds,20,,,,,
player,201112110crd,sfo,HuntKe00,rush_td,0,,,,,
player,201112110crd,sfo,HuntKe00,rush_long,6,,,,,
player,201112110crd,sfo,HuntKe00,targets,3,,,,,
player,201112110crd,sfo,HuntKe00,rec,2,,,,,
player,201112110crd,sfo,HuntKe00,rec_yds,19,,,,,
player,201112110crd,sfo,HuntKe00,rec_td,0,,,,,
player,201112110crd,sfo,HuntKe00,rec_long,10,,,,,
player,201112110crd,sfo,HuntKe00,fumbles,0,,,,,
player,201112110crd,sfo,HuntKe00,fumbles_lost,,,,,,
player,201112110crd,sfo,WillKy01,pass_cmp,0,,,,,
player,201112110crd,sfo,WillKy01,pass_att,0,,,,,
player,201112110crd,sfo,WillKy01,pass_yds,0,,,,,
player,201112110crd,sfo,WillKy01,pass_td,0,,,,,
player,201112110crd,sfo,WillKy01,pass_int,0,,,,,
player,201112110crd,sfo,WillKy01,pass_sacked,0,,,,,
player,201112110crd,sfo,WillKy01,pass_sacked_yds,0,,,,,
player,201112110crd,sfo,WillKy01,pass_long,0,,,,,
player,201112110crd,sfo,WillKy01,pass_rating,,,,,,
player,201112110crd,sfo,WillKy01,rush_att,1,,,,,
player,201112110crd,sfo,WillKy01,rush_yds,7,,,,,
player,201112110crd,sfo,WillKy01,rush_td,0,,,,,
player,201112110crd,sfo,WillKy01,rush_long,7,,,,,
player,201112110crd,sfo,WillKy01,targets,6,,,,,
player,201112110crd,sfo,WillKy01,rec,4,,,,,
player,201112110crd,sfo,WillKy01,rec_yds,42,,,,,
player,201112110crd,sfo,WillKy01,rec_td,0,,,,,
player,201112110crd,sfo,WillKy01,rec_long,15,,,,,
player,201112110crd,sfo,WillKy01,fumbles,0,,,,,
player,201112110crd,sfo,WillKy01,fumbles_lost,,,,,,
player,201112110crd,sfo,CrabMi00,pass_cmp,0,,,,,
player,201112110crd,sfo,CrabMi00,pass_att,0,,,,,
player,201112110crd,sfo,CrabMi00,pass_yds,0,,,,,
player,201112110crd,sfo,CrabMi00,pass_td,0,,,,,
player,201112110crd,sfo,CrabMi00,pass_int,0,,,,,
player,201112110crd,sfo,CrabMi00,pass_sacked,0,,,,,
player,201112110crd,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201112110crd,sfo,CrabMi00,pass_long,0,,,,,
player,201112110crd,sfo,CrabMi00,pass_rating,,,,,,
player,201112110crd,sfo,CrabMi00,rush_att,0,,,,,
player,201112110crd,sfo,CrabMi00,rush_yds,0,,,,,
