game,2011,10,20111113,201111130tam,htx,"Houston Texans",37,tam,"Tampa Bay Buccaneers",9
player,201111130tam,htx,JoneJa03,pass_long,0,,,,,
player,201111130tam,htx,JoneJa03,pass_rating,,,,,,
player,201111130tam,htx,JoneJa03,rush_att,1,,,,,
player,201111130tam,htx,JoneJa03,rush_yds,2,,,,,
player,201111130tam,htx,JoneJa03,rush_td,0,,,,,
player,201111130tam,htx,JoneJa03,rush_long,2,,,,,
player,201111130tam,htx,JoneJa03,targets,3,,,,,
player,201111130tam,htx,JoneJa03,rec,2,,,,,
player,201111130tam,htx,JoneJa03,rec_yds,87,,,,,
player,201111130tam,htx,JoneJa03,rec_td,1,,,,,
player,201111130tam,htx,JoneJa03,rec_long,80,,,,,
player,201111130tam,htx,JoneJa03,fumbles,0,,,,,
player,201111130tam,htx,JoneJa03,fumbles_lost,,,,,,
player,201111130tam,htx,DaniOw00,pass_cmp,0,,,,,
player,201111130tam,htx,DaniOw00,pass_att,0,,,,,
player,201111130tam,htx,DaniOw00,pass_yds,0,,,,,
player,201111130tam,htx,DaniOw00,pass_td,0,,,,,
player,201111130tam,htx,DaniOw00,pass_int,0,,,,,
player,201111130tam,htx,DaniOw00,pass_sacked,0,,,,,
player,201111130tam,htx,DaniOw00,pass_sacked_yds,0,,,,,
player,201111130tam,htx,DaniOw00,pass_long,0,,,,,
player,201111130tam,htx,DaniOw00,pass_rating,,,,,,
player,201111130tam,htx,DaniOw00,rush_att,0,,,,,
player,201111130tam,htx,DaniOw00,rush_yds,0,,,,,
player,201111130tam,htx,DaniOw00,rush_td,0,,,,,
player,201111130tam,htx,DaniOw00,rush_long,0,,,,,
player,201111130tam,htx,DaniOw00,targets,3,,,,,
player,201111130tam,htx,DaniOw00,rec,3,,,,,
player,201111130tam,htx,DaniOw00,rec_yds,31,,,,,
player,201111130tam,htx,DaniOw00,rec_td,0,,,,,
player,201111130tam,htx,DaniOw00,rec_long,13,,,,,
player,201111130tam,htx,DaniOw00,fumbles,0,,,,,
player,201111130tam,htx,DaniOw00,fumbles_lost,,,,,,
player,201111130tam,htx,MasoDe00,pass_cmp,0,,,,,
player,201111130tam,htx,MasoDe00,pass_att,0,,,,,
player,201111130tam,htx,MasoDe00,pass_yds,0,,,,,
player,201111130tam,htx,MasoDe00,pass_td,0,,,,,
player,201111130tam,htx,MasoDe00,pass_int,0,,,,,
player,201111130tam,htx,MasoDe00,pass_sacked,0,,,,,
player,201111130tam,htx,MasoDe00,pass_sacked_yds,0,,,,,
player,201111130tam,htx,MasoDe00,pass_long,0,,,,,
player,201111130tam,htx,MasoDe00,pass_rating,,,,,,
player,201111130tam,htx,MasoDe00,rush_att,0,,,,,
player,201111130tam,htx,MasoDe00,rush_yds,0,,,,,
player,201111130tam,htx,MasoDe00,rush_td,0,,,,,
player,201111130tam,htx,MasoDe00,rush_long,0,,,,,
player,201111130tam,htx,MasoDe00,targets,2,,,,,
player,201111130tam,htx,MasoDe00,rec,1,,,,,
player,201111130tam,htx,MasoDe00,rec_yds,16,,,,,
player,201111130tam,htx,MasoDe00,rec_td,0,,,,,
player,201111130tam,htx,MasoDe00,rec_long,16,,,,,
player,201111130tam,htx,MasoDe00,fumbles,0,,,,,
player,201111130tam,htx,MasoDe00,fumbles_lost,,,,,,
player,201111130tam,htx,WaltKe00,pass_cmp,0,,,,,
player,201111130tam,htx,WaltKe00,pass_att,0,,,,,
player,201111130tam,htx,WaltKe00,pass_yds,0,,,,,
player,201111130tam,htx,WaltKe00,pass_td,0,,,,,
player,201111130tam,htx,WaltKe00,pass_int,0,,,,,
player,201111130tam,htx,WaltKe00,pass_sacked,0,,,,,
player,201111130tam,htx,WaltKe00,pass_sacked_yds,0,,,,,
player,201111130tam,htx,WaltKe00,pass_long,0,,,,,
player,201111130tam,htx,WaltKe00,pass_rating,,,,,,
player,201111130tam,htx,WaltKe00,rush_att,0,,,,,
player,201111130tam,htx,WaltKe00,rush_yds,0,,,,,
player,201111130tam,htx,WaltKe00,rush_td,0,,,,,
player,201111130tam,htx,WaltKe00,rush_long,0,,,,,
player,201111130tam,htx,WaltKe00,targets,1,,,,,
player,201111130tam,htx,WaltKe00,rec,1,,,,,
player,201111130tam,htx,WaltKe00,rec_yds,6,,,,,
player,201111130tam,htx,WaltKe00,rec_td,0,,,,,
player,201111130tam,htx,WaltKe00,rec_long,6,,,,,
player,201111130tam,htx,WaltKe00,fumbles,0,,,,,
player,201111130tam,htx,WaltKe00,fumbles_lost,,,,,,
player,201111130tam,htx,JohnBr02,pass_cmp,0,,,,,
player,201111130tam,htx,JohnBr02,pass_att,0,,,,,
player,201111130tam,htx,JohnBr02,pass_yds,0,,,,,
player,201111130tam,htx,JohnBr02,pass_td,0,,,,,
player,201111130tam,htx,JohnBr02,pass_int,0,,,,,
player,201111130tam,htx,JohnBr02,pass_sacked,0,,,,,
player,201111130tam,htx,JohnBr02,pass_sacked_yds,0,,,,,
player,201111130tam,htx,JohnBr02,pass_long,0,,,,,
player,201111130tam,htx,JohnBr02,pass_rating,,,,,,
player,201111130tam,htx,JohnBr02,rush_att,0,,,,,
player,201111130tam,htx,JohnBr02,rush_yds,0,,,,,
player,201111130tam,htx,JohnBr02,rush_td,0,,,,,
player,201111130tam,htx,JohnBr02,rush_long,0,,,,,
player,201111130tam,htx,JohnBr02,targets,1,,,,,
player,201111130tam,htx,JohnBr02,rec,0,,,,,
player,201111130tam,htx,JohnBr02,rec_yds,0,,,,,
player,201111130tam,htx,JohnBr02,rec_td,0,,,,,
player,201111130tam,htx,JohnBr02,rec_long,0,,,,,
player,201111130tam,htx,JohnBr02,fumbles,0,,,,,
player,201111130tam,htx,JohnBr02,fumbles_lost,,,,,,
player,201111130tam,htx,DreeJo00,pass_cmp,0,,,,,
player,201111130tam,htx,DreeJo00,pass_att,0,,,,,
player,201111130tam,htx,DreeJo00,pass_yds,0,,,,,
player,201111130tam,htx,DreeJo00,pass_td,0,,,,,
player,201111130tam,htx,DreeJo00,pass_int,0,,,,,
player,201111130tam,htx,DreeJo00,pass_sacked,0,,,,,
player,201111130tam,htx,DreeJo00,pass_sacked_yds,0,,,,,
player,201111130tam,htx,DreeJo00,pass_long,0,,,,,
player,201111130tam,htx,DreeJo00,pass_rating,,,,,,
player,201111130tam,htx,DreeJo00,rush_att,0,,,,,
