game,2011,15,20111218,201112180crd,cle,"Cleveland Browns",17,crd,"Arizona Cardinals",20
player,201112180crd,cle,HillPe00,rec,1,,,,,
player,201112180crd,cle,HillPe00,rec_yds,9,,,,,
player,201112180crd,cle,HillPe00,rec_td,0,,,,,
player,201112180crd,cle,HillPe00,rec_long,9,,,,,
player,201112180crd,cle,HillPe00,fumbles,0,,,,,
player,201112180crd,cle,HillPe00,fumbles_lost,,,,,,
player,201112180crd,cle,LittGr00,pass_cmp,0,,,,,
player,201112180crd,cle,LittGr00,pass_att,0,,,,,
player,201112180crd,cle,LittGr00,pass_yds,0,,,,,
player,201112180crd,cle,LittGr00,pass_td,0,,,,,
player,201112180crd,cle,LittGr00,pass_int,0,,,,,
player,201112180crd,cle,LittGr00,pass_sacked,0,,,,,
player,201112180crd,cle,LittGr00,pass_sacked_yds,0,,,,,
player,201112180crd,cle,LittGr00,pass_long,0,,,,,
player,201112180crd,cle,LittGr00,pass_rating,,,,,,
player,201112180crd,cle,LittGr00,rush_att,0,,,,,
player,201112180crd,cle,LittGr00,rush_yds,0,,,,,
player,201112180crd,cle,LittGr00,rush_td,0,,,,,
player,201112180crd,cle,LittGr00,rush_long,0,,,,,
player,201112180crd,cle,LittGr00,targets,9,,,,,
player,201112180crd,cle,LittGr00,rec,5,,,,,
player,201112180crd,cle,LittGr00,rec_yds,131,,,,,
player,201112180crd,cle,LittGr00,rec_td,1,,,,,
player,201112180crd,cle,LittGr00,rec_long,76,,,,,
player,201112180crd,cle,LittGr00,fumbles,0,,,,,
player,201112180crd,cle,LittGr00,fumbles_lost,,,,,,
player,201112180crd,cle,MassMo00,pass_cmp,0,,,,,
player,201112180crd,cle,MassMo00,pass_att,0,,,,,
player,201112180crd,cle,MassMo00,pass_yds,0,,,,,
player,201112180crd,cle,MassMo00,pass_td,0,,,,,
player,201112180crd,cle,MassMo00,pass_int,0,,,,,
player,201112180crd,cle,MassMo00,pass_sacked,0,,,,,
player,201112180crd,cle,MassMo00,pass_sacked_yds,0,,,,,
player,201112180crd,cle,MassMo00,pass_long,0,,,,,
player,201112180crd,cle,MassMo00,pass_rating,,,,,,
player,201112180crd,cle,MassMo00,rush_att,0,,,,,
player,201112180crd,cle,MassMo00,rush_yds,0,,,,,
player,201112180crd,cle,MassMo00,rush_td,0,,,,,
player,201112180crd,cle,MassMo00,rush_long,0,,,,,
player,201112180crd,cle,MassMo00,targets,5,,,,,
player,201112180crd,cle,MassMo00,rec,3,,,,,
player,201112180crd,cle,MassMo00,rec_yds,42,,,,,
player,201112180crd,cle,MassMo00,rec_td,0,,,,,
player,201112180crd,cle,MassMo00,rec_long,29,,,,,
player,201112180crd,cle,MassMo00,fumbles,0,,,,,
player,201112180crd,cle,MassMo00,fumbles_lost,,,,,,
player,201112180crd,cle,NorwJo00,pass_cmp,0,,,,,
player,201112180crd,cle,NorwJo00,pass_att,0,,,,,
player,201112180crd,cle,NorwJo00,pass_yds,0,,,,,
player,201112180crd,cle,NorwJo00,pass_td,0,,,,,
player,201112180crd,cle,NorwJo00,pass_int,0,,,,,
player,201112180crd,cle,NorwJo00,pass_sacked,0,,,,,
player,201112180crd,cle,NorwJo00,pass_sacked_yds,0,,,,,
player,201112180crd,cle,NorwJo00,pass_long,0,,,,,
player,201112180crd,cle,NorwJo00,pass_rating,,,,,,
player,201112180crd,cle,NorwJo00,rush_att,0,,,,,
player,201112180crd,cle,NorwJo00,rush_yds,0,,,,,
player,201112180crd,cle,NorwJo00,rush_td,0,,,,,
player,201112180crd,cle,NorwJo00,rush_long,0,,,,,
player,201112180crd,cle,NorwJo00,targets,6,,,,,
player,201112180crd,cle,NorwJo00,rec,3,,,,,
player,201112180crd,cle,NorwJo00,rec_yds,21,,,,,
player,201112180crd,cle,NorwJo00,rec_td,0,,,,,
player,201112180crd,cle,NorwJo00,rec_long,8,,,,,
player,201112180crd,cle,NorwJo00,fumbles,0,,,,,
player,201112180crd,cle,NorwJo00,fumbles_lost,,,,,,
player,201112180crd,cle,SmitAl02,pass_cmp,0,,,,,
player,201112180crd,cle,SmitAl02,pass_att,0,,,,,
player,201112180crd,cle,SmitAl02,pass_yds,0,,,,,
player,201112180crd,cle,SmitAl02,pass_td,0,,,,,
player,201112180crd,cle,SmitAl02,pass_int,0,,,,,
player,201112180crd,cle,SmitAl02,pass_sacked,0,,,,,
player,201112180crd,cle,SmitAl02,pass_sacked_yds,0,,,,,
player,201112180crd,cle,SmitAl02,pass_long,0,,,,,
player,201112180crd,cle,SmitAl02,pass_rating,,,,,,
player,201112180crd,cle,SmitAl02,rush_att,0,,,,,
player,201112180crd,cle,SmitAl02,rush_yds,0,,,,,
player,201112180crd,cle,SmitAl02,rush_td,0,,,,,
player,201112180crd,cle,SmitAl02,rush_long,0,,,,,
player,201112180crd,cle,SmitAl02,targets,3,,,,,
player,201112180crd,cle,SmitAl02,rec,1,,,,,
player,201112180crd,cle,SmitAl02,rec_yds,9,,,,,
player,201112180crd,cle,SmitAl02,rec_td,0,,,,,
player,201112180crd,cle,SmitAl02,rec_long,9,,,,,
player,201112180crd,cle,SmitAl02,fumbles,0,,,,,
player,201112180crd,cle,SmitAl02,fumbles_lost,,,,,,
player,201112180crd,cle,CameJo00,pass_cmp,0,,,,,
player,201112180crd,cle,CameJo00,pass_att,0,,,,,
player,201112180crd,cle,CameJo00,pass_yds,0,,,,,
player,201112180crd,cle,CameJo00,pass_td,0,,,,,
player,201112180crd,cle,CameJo00,pass_int,0,,,,,
player,201112180crd,cle,CameJo00,pass_sacked,0,,,,,
player,201112180crd,cle,CameJo00,pass_sacked_yds,0,,,,,
player,201112180crd,cle,CameJo00,pass_long,0,,,,,
player,201112180crd,cle,CameJo00,pass_rating,,,,,,
player,201112180crd,cle,CameJo00,rush_att,0,,,,,
player,201112180crd,cle,CameJo00,rush_yds,0,,,,,
player,201112180crd,cle,CameJo00,rush_td,0,,,,,
player,201112180crd,cle,CameJo00,rush_long,0,,,,,
player,201112180crd,cle,CameJo00,targets,3,,,,,
player,201112180crd,cle,CameJo00,rec,3,,,,,
player,201112180crd,cle,CameJo00,rec_yds,8,,,,,
player,201112180crd,cle,CameJo00,rec_td,0,,,,,
player,201112180crd,cle,CameJo00,rec_long,8,,,,,
player,201112180crd,cle,CameJo00,fumbles,0,,,,,
player,201112180crd,cle,CameJo00,fumbles_lost,,,,,,
player,201112180crd,cle,OgboCh00,pass_cmp,0,,,,,
player,201112180crd,cle,OgboCh00,pass_att,0,,,,,
player,201112180crd,cle,OgboCh00,pass_yds,0,,,,,
player,201112180crd,cle,OgboCh00,pass_td,0,,,,,
player,201112180crd,cle,OgboCh00,pass_int,0,,,,,
player,201112180crd,cle,OgboCh00,pass_sacked,0,,,,,
player,201112180crd,cle,OgboCh00,pass_sacked_yds,0,,,,,
player,201112180crd,cle,OgboCh00,pass_long,0,,,,,
player,201112180crd,cle,OgboCh00,pass_rating,,,,,,
player,201112180crd,cle,OgboCh00,rush_att,0,,,,,
player,201112180crd,cle,OgboCh00,rush_yds,0,,,,,
player,201112180crd,cle,OgboCh00,rush_td,0,,,,,
player,201112180crd,cle,OgboCh00,rush_long,0,,,,,
player,201112180crd,cle,OgboCh00,targets,1,,,,,
player,201112180crd,cle,OgboCh00,rec,1,,,,,
player,201112180crd,cle,OgboCh00,rec_yds,3,,,,,
player,201112180crd,cle,OgboCh00,rec_td,0,,,,,
player,201112180crd,cle,OgboCh00,rec_long,3,,,,,
player,201112180crd,cle,OgboCh00,fumbles,0,,,,,
player,201112180crd,cle,OgboCh00,fumbles_lost,,,,,,
player,201112180crd,cle,CribJo01,pass_cmp,0,,,,,
player,201112180crd,cle,CribJo01,pass_att,0,,,,,
player,201112180crd,cle,CribJo01,pass_yds,0,,,,,
player,201112180crd,cle,CribJo01,pass_td,0,,,,,
player,201112180crd,cle,CribJo01,pass_int,0,,,,,
player,201112180crd,cle,CribJo01,pass_sacked,0,,,,,
player,201112180crd,cle,CribJo01,pass_sacked_yds,0,,,,,
player,201112180crd,cle,CribJo01,pass_long,0,,,,,
player,201112180crd,cle,CribJo01,pass_rating,,,,,,
player,201112180crd,cle,CribJo01,rush_att,0,,,,,
player,201112180crd,cle,CribJo01,rush_yds,0,,,,,
player,201112180crd,cle,CribJo01,rush_td,0,,,,,
player,201112180crd,cle,CribJo01,rush_long,0,,,,,
player,201112180crd,cle,CribJo01,targets,1,,,,,
player,201112180crd,cle,CribJo01,rec,1,,,,,
player,201112180crd,cle,CribJo01,rec_yds,3,,,,,
player,201112180crd,cle,CribJo01,rec_td,0,,,,,
player,201112180crd,cle,CribJo01,rec_long,3,,,,,
player,201112180crd,cle,CribJo01,fumbles,0,,,,,
player,201112180crd,cle,CribJo01,fumbles_lost,,,,,,
player,201112180crd,crd,SkelJo00,pass_cmp,28,,,,,
player,201112180crd,crd,SkelJo00,pass_att,46,,,,,
player,201112180crd,crd,SkelJo00,pass_yds,313,,,,,
player,201112180crd,crd,SkelJo00,pass_td,1,,,,,
player,201112180crd,crd,SkelJo00,pass_int,1,,,,,
player,201112180crd,crd,SkelJo00,pass_sacked,4,,,,,
player,201112180crd,crd,SkelJo00,pass_sacked_yds,24,,,,,
player,201112180crd,crd,SkelJo00,pass_long,32,,,,,
player,201112180crd,crd,SkelJo00,pass_rating,79.3,,,,,
player,201112180crd,crd,SkelJo00,rush_att,2,,,,,
player,201112180crd,crd,SkelJo00,rush_yds,7,,,,,
player,201112180crd,crd,SkelJo00,rush_td,0,,,,,
player,201112180crd,crd,SkelJo00,rush_long,4,,,,,
player,201112180crd,crd,SkelJo00,targets,0,,,,,
player,201112180crd,crd,SkelJo00,rec,0,,,,,
player,201112180crd,crd,SkelJo00,rec_yds,0,,,,,
player,201112180crd,crd,SkelJo00,rec_td,0,,,,,
player,201112180crd,crd,SkelJo00,rec_long,0,,,,,
player,201112180crd,crd,SkelJo00,fumbles,0,,,,,
player,201112180crd,crd,SkelJo00,fumbles_lost,,,,,,
player,201112180crd,crd,WellCh00,pass_cmp,0,,,,,
player,201112180crd,crd,WellCh00,pass_att,0,,,,,
player,201112180crd,crd,WellCh00,pass_yds,0,,,,,
player,201112180crd,crd,WellCh00,pass_td,0,,,,,
player,201112180crd,crd,WellCh00,pass_int,0,,,,,
player,201112180crd,crd,WellCh00,pass_sacked,0,,,,,
player,201112180crd,crd,WellCh00,pass_sacked_yds,0,,,,,
player,201112180crd,crd,WellCh00,pass_long,0,,,,,
player,201112180crd,crd,WellCh00,pass_rating,,,,,,
player,201112180crd,crd,WellCh00,rush_att,15,,,,,
player,201112180crd,crd,WellCh00,rush_yds,51,,,,,
player,201112180crd,crd,WellCh00,rush_td,1,,,,,
player,201112180crd,crd,WellCh00,rush_long,8,,,,,
player,201112180crd,crd,WellCh00,targets,1,,,,,
player,201112180crd,crd,WellCh00,rec,1,,,,,
player,201112180crd,crd,WellCh00,rec_yds,10,,,,,
player,201112180crd,crd,WellCh00,rec_td,0,,,,,
player,201112180crd,crd,WellCh00,rec_long,10,,,,,
player,201112180crd,crd,WellCh00,fumbles,0,,,,,
player,201112180crd,crd,WellCh00,fumbles_lost,,,,,,
player,201112180crd,crd,RobeAn00,pass_cmp,0,,,,,
player,201112180crd,crd,RobeAn00,pass_att,0,,,,,
player,201112180crd,crd,RobeAn00,pass_yds,0,,,,,
player,201112180crd,crd,RobeAn00,pass_td,0,,,,,
player,201112180crd,crd,RobeAn00,pass_int,0,,,,,
player,201112180crd,crd,RobeAn00,pass_sacked,0,,,,,
player,201112180crd,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201112180crd,crd,RobeAn00,pass_long,0,,,,,
player,201112180crd,crd,RobeAn00,pass_rating,,,,,,
player,201112180crd,crd,RobeAn00,rush_att,1,,,,,
player,201112180crd,crd,RobeAn00,rush_yds,7,,,,,
player,201112180crd,crd,RobeAn00,rush_td,0,,,,,
player,201112180crd,crd,RobeAn00,rush_long,7,,,,,
player,201112180crd,crd,RobeAn00,targets,10,,,,,
player,201112180crd,crd,RobeAn00,rec,6,,,,,
player,201112180crd,crd,RobeAn00,rec_yds,60,,,,,
player,201112180crd,crd,RobeAn00,rec_td,1,,,,,
player,201112180crd,crd,RobeAn00,rec_long,21,,,,,
player,201112180crd,crd,RobeAn00,fumbles,0,,,,,
player,201112180crd,crd,RobeAn00,fumbles_lost,,,,,,
player,201112180crd,crd,StepLa00,pass_cmp,0,,,,,
player,201112180crd,crd,StepLa00,pass_att,0,,,,,
player,201112180crd,crd,StepLa00,pass_yds,0,,,,,
player,201112180crd,crd,StepLa00,pass_td,0,,,,,
player,201112180crd,crd,StepLa00,pass_int,0,,,,,
player,201112180crd,crd,StepLa00,pass_sacked,0,,,,,
player,201112180crd,crd,StepLa00,pass_sacked_yds,0,,,,,
player,201112180crd,crd,StepLa00,pass_long,0,,,,,
player,201112180crd,crd,StepLa00,pass_rating,,,,,,
player,201112180crd,crd,StepLa00,rush_att,3,,,,,
player,201112180crd,crd,StepLa00,rush_yds,6,,,,,
player,201112180crd,crd,StepLa00,rush_td,0,,,,,
player,201112180crd,crd,StepLa00,rush_long,5,,,,,
player,201112180crd,crd,StepLa00,targets,2,,,,,
player,201112180crd,crd,StepLa00,rec,2,,,,,
player,201112180crd,crd,StepLa00,rec_yds,18,,,,,
player,201112180crd,crd,StepLa00,rec_td,0,,,,,
player,201112180crd,crd,StepLa00,rec_long,11,,,,,
player,201112180crd,crd,StepLa00,fumbles,0,,,,,
player,201112180crd,crd,StepLa00,fumbles_lost,,,,,,
player,201112180crd,crd,TaylCh01,pass_cmp,0,,,,,
player,201112180crd,crd,TaylCh01,pass_att,0,,,,,
player,201112180crd,crd,TaylCh01,pass_yds,0,,,,,
player,201112180crd,crd,TaylCh01,pass_td,0,,,,,
player,201112180crd,crd,TaylCh01,pass_int,0,,,,,
player,201112180crd,crd,TaylCh01,pass_sacked,0,,,,,
player,201112180crd,crd,TaylCh01,pass_sacked_yds,0,,,,,
player,201112180crd,crd,TaylCh01,pass_long,0,,,,,
player,201112180crd,crd,TaylCh01,pass_rating,,,,,,
player,201112180crd,crd,TaylCh01,rush_att,2,,,,,
player,201112180crd,crd,TaylCh01,rush_yds,3,,,,,
player,201112180crd,crd,TaylCh01,rush_td,0,,,,,
player,201112180crd,crd,TaylCh01,rush_long,3,,,,,
player,201112180crd,crd,TaylCh01,targets,4,,,,,
player,201112180crd,crd,TaylCh01,rec,3,,,,,
player,201112180crd,crd,TaylCh01,rec_yds,17,,,,,
player,201112180crd,crd,TaylCh01,rec_td,0,,,,,
player,201112180crd,crd,TaylCh01,rec_long,11,,,,,
player,201112180crd,crd,TaylCh01,fumbles,0,,,,,
player,201112180crd,crd,TaylCh01,fumbles_lost,,,,,,
player,201112180crd,crd,HeapTo00,pass_cmp,0,,,,,
player,201112180crd,crd,HeapTo00,pass_att,0,,,,,
player,201112180crd,crd,HeapTo00,pass_yds,0,,,,,
player,201112180crd,crd,HeapTo00,pass_td,0,,,,,
player,201112180crd,crd,HeapTo00,pass_int,0,,,,,
player,201112180crd,crd,HeapTo00,pass_sacked,0,,,,,
player,201112180crd,crd,HeapTo00,pass_sacked_yds,0,,,,,
player,201112180crd,crd,HeapTo00,pass_long,0,,,,,
player,201112180crd,crd,HeapTo00,pass_rating,,,,,,
player,201112180crd,crd,HeapTo00,rush_att,0,,,,,
player,201112180crd,crd,HeapTo00,rush_yds,0,,,,,
player,201112180crd,crd,HeapTo00,rush_td,0,,,,,
player,201112180crd,crd,HeapTo00,rush_long,0,,,,,
player,201112180crd,crd,HeapTo00,targets,9,,,,,
player,201112180crd,crd,HeapTo00,rec,7,,,,,
player,201112180crd,crd,HeapTo00,rec_yds,69,,,,,
player,201112180crd,crd,HeapTo00,rec_td,0,,,,,
player,201112180crd,crd,HeapTo00,rec_long,18,,,,,
player,201112180crd,crd,HeapTo00,fumbles,0,,,,,
player,201112180crd,crd,HeapTo00,fumbles_lost,,,,,,
player,201112180crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201112180crd,crd,FitzLa00,pass_att,0,,,,,
player,201112180crd,crd,FitzLa00,pass_yds,0,,,,,
player,201112180crd,crd,FitzLa00,pass_td,0,,,,,
player,201112180crd,crd,FitzLa00,pass_int,0,,,,,
player,201112180crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201112180crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201112180crd,crd,FitzLa00,pass_long,0,,,,,
player,201112180crd,crd,FitzLa00,pass_rating,,,,,,
player,201112180crd,crd,FitzLa00,rush_att,0,,,,,
player,201112180crd,crd,FitzLa00,rush_yds,0,,,,,
player,201112180crd,crd,FitzLa00,rush_td,0,,,,,
player,201112180crd,crd,FitzLa00,rush_long,0,,,,,
player,201112180crd,crd,FitzLa00,targets,8,,,,,
player,201112180crd,crd,FitzLa00,rec,3,,,,,
player,201112180crd,crd,FitzLa00,rec_yds,65,,,,,
player,201112180crd,crd,FitzLa00,rec_td,0,,,,,
player,201112180crd,crd,FitzLa00,rec_long,32,,,,,
player,201112180crd,crd,FitzLa00,fumbles,0,,,,,
player,201112180crd,crd,FitzLa00,fumbles_lost,,,,,,
player,201112180crd,crd,DoucEa00,pass_cmp,0,,,,,
player,201112180crd,crd,DoucEa00,pass_att,0,,,,,
player,201112180crd,crd,DoucEa00,pass_yds,0,,,,,
player,201112180crd,crd,DoucEa00,pass_td,0,,,,,
player,201112180crd,crd,DoucEa00,pass_int,0,,,,,
player,201112180crd,crd,DoucEa00,pass_sacked,0,,,,,
player,201112180crd,crd,DoucEa00,pass_sacked_yds,0,,,,,
player,201112180crd,crd,DoucEa00,pass_long,0,,,,,
player,201112180crd,crd,DoucEa00,pass_rating,,,,,,
player,201112180crd,crd,DoucEa00,rush_att,0,,,,,
player,201112180crd,crd,DoucEa00,rush_yds,0,,,,,
player,201112180crd,crd,DoucEa00,rush_td,0,,,,,
player,201112180crd,crd,DoucEa00,rush_long,0,,,,,
player,201112180crd,crd,DoucEa00,targets,9,,,,,
player,201112180crd,crd,DoucEa00,rec,3,,,,,
player,201112180crd,crd,DoucEa00,rec_yds,37,,,,,
player,201112180crd,crd,DoucEa00,rec_td,0,,,,,
player,201112180crd,crd,DoucEa00,rec_long,20,,,,,
player,201112180crd,crd,DoucEa00,fumbles,0,,,,,
player,201112180crd,crd,DoucEa00,fumbles_lost,,,,,,
player,201112180crd,crd,KingJe00,pass_cmp,0,,,,,
player,201112180crd,crd,KingJe00,pass_att,0,,,,,
player,201112180crd,crd,KingJe00,pass_yds,0,,,,,
player,201112180crd,crd,KingJe00,pass_td,0,,,,,
player,201112180crd,crd,KingJe00,pass_int,0,,,,,
player,201112180crd,crd,KingJe00,pass_sacked,0,,,,,
player,201112180crd,crd,KingJe00,pass_sacked_yds,0,,,,,
player,201112180crd,crd,KingJe00,pass_long,0,,,,,
player,201112180crd,crd,KingJe00,pass_rating,,,,,,
player,201112180crd,crd,KingJe00,rush_att,0,,,,,
player,201112180crd,crd,KingJe00,rush_yds,0,,,,,
player,201112180crd,crd,KingJe00,rush_td,0,,,,,
player,201112180crd,crd,KingJe00,rush_long,0,,,,,
player,201112180crd,crd,KingJe00,targets,1,,,,,
player,201112180crd,crd,KingJe00,rec,1,,,,,
player,201112180crd,crd,KingJe00,rec_yds,24,,,,,
player,201112180crd,crd,KingJe00,rec_td,0,,,,,
player,201112180crd,crd,KingJe00,rec_long,24,,,,,
player,201112180crd,crd,KingJe00,fumbles,0,,,,,
player,201112180crd,crd,KingJe00,fumbles_lost,,,,,,
player,201112180crd,crd,StucCh20,pass_cmp,0,,,,,
player,201112180crd,crd,StucCh20,pass_att,0,,,,,
player,201112180crd,crd,StucCh20,pass_yds,0,,,,,
player,201112180crd,crd,StucCh20,pass_td,0,,,,,
player,201112180crd,crd,StucCh20,pass_int,0,,,,,
player,201112180crd,crd,StucCh20,pass_sacked,0,,,,,
player,201112180crd,crd,StucCh20,pass_sacked_yds,0,,,,,
player,201112180crd,crd,StucCh20,pass_long,0,,,,,
player,201112180crd,crd,StucCh20,pass_rating,,,,,,
player,201112180crd,crd,StucCh20,rush_att,0,,,,,
player,201112180crd,crd,StucCh20,rush_yds,0,,,,,
player,201112180crd,crd,StucCh20,rush_td,0,,,,,
player,201112180crd,crd,StucCh20,rush_long,0,,,,,
player,201112180crd,crd,StucCh20,targets,1,,,,,
player,201112180crd,crd,StucCh20,rec,1,,,,,
player,201112180crd,crd,StucCh20,rec_yds,7,,,,,
player,201112180crd,crd,StucCh20,rec_td,0,,,,,
player,201112180crd,crd,StucCh20,rec_long,7,,,,,
player,201112180crd,crd,StucCh20,fumbles,0,,,,,
player,201112180crd,crd,StucCh20,fumbles_lost,,,,,,
player,201112180crd,crd,SherAn00,pass_cmp,0,,,,,
player,201112180crd,crd,SherAn00,pass_att,0,,,,,
player,201112180crd,crd,SherAn00,pass_yds,0,,,,,
player,201112180crd,crd,SherAn00,pass_td,0,,,,,
player,201112180crd,crd,SherAn00,pass_int,0,,,,,
player,201112180crd,crd,SherAn00,pass_sacked,0,,,,,
player,201112180crd,crd,SherAn00,pass_sacked_yds,0,,,,,
player,201112180crd,crd,SherAn00,pass_long,0,,,,,
player,201112180crd,crd,SherAn00,pass_rating,,,,,,
player,201112180crd,crd,SherAn00,rush_att,0,,,,,
player,201112180crd,crd,SherAn00,rush_yds,0,,,,,
player,201112180crd,crd,SherAn00,rush_td,0,,,,,
player,201112180crd,crd,SherAn00,rush_long,0,,,,,
player,201112180crd,crd,SherAn00,targets,1,,,,,
player,201112180crd,crd,SherAn00,rec,1,,,,,
player,201112180crd,crd,SherAn00,rec_yds,6,,,,,
player,201112180crd,crd,SherAn00,rec_td,0,,,,,
player,201112180crd,crd,SherAn00,rec_long,6,,,,,
player,201112180crd,crd,SherAn00,fumbles,0,,,,,
player,201112180crd,crd,SherAn00,fumbles_lost,,,,,,
player,201112180crd,crd,SmitAl22,pass_cmp,0,,,,,
player,201112180crd,crd,SmitAl22,pass_att,0,,,,,
player,201112180crd,crd,SmitAl22,pass_yds,0,,,,,
player,201112180crd,crd,SmitAl22,pass_td,0,,,,,
player,201112180crd,crd,SmitAl22,pass_int,0,,,,,
player,201112180crd,crd,SmitAl22,pass_sacked,0,,,,,
player,201112180crd,crd,SmitAl22,pass_sacked_yds,0,,,,,
player,201112180crd,crd,SmitAl22,pass_long,0,,,,,
player,201112180crd,crd,SmitAl22,pass_rating,,,,,,
player,201112180crd,crd,SmitAl22,rush_att,1,,,,,
player,201112180crd,crd,SmitAl22,rush_yds,0,,,,,
player,201112180crd,crd,SmitAl22,rush_td,0,,,,,
player,201112180crd,crd,SmitAl22,rush_long,0,,,,,
player,201112180crd,crd,SmitAl22,targets,0,,,,,
player,201112180crd,crd,SmitAl22,rec,0,,,,,
player,201112180crd,crd,SmitAl22,rec_yds,0,,,,,
player,201112180crd,crd,SmitAl22,rec_td,0,,,,,
player,201112180crd,crd,SmitAl22,rec_long,0,,,,,
player,201112180crd,crd,SmitAl22,fumbles,0,,,,,
player,201112180crd,crd,SmitAl22,fumbles_lost,,,,,,
player,201112180crd,cle,SkriBu00,def_int,1,,,,,
player,201112180crd,cle,SkriBu00,def_int_yds,5,,,,,
player,201112180crd,cle,SkriBu00,def_int_td,0,,,,,
player,201112180crd,cle,SkriBu00,def_int_long,5,,,,,
player,201112180crd,cle,SkriBu00,pass_defended,1,,,,,
player,201112180crd,cle,SkriBu00,sacks,0.0,,,,,
player,201112180crd,cle,SkriBu00,tackles_combined,2,,,,,
player,201112180crd,cle,SkriBu00,tackles_solo,2,,,,,
player,201112180crd,cle,SkriBu00,tackles_assists,0,,,,,
player,201112180crd,cle,SkriBu00,tackles_loss,0,,,,,
player,201112180crd,cle,SkriBu00,qb_hits,0,,,,,
player,201112180crd,cle,SkriBu00,fumbles_rec,0,,,,,
player,201112180crd,cle,SkriBu00,fumbles_rec_yds,0,,,,,
player,201112180crd,cle,SkriBu00,fumbles_rec_td,0,,,,,
player,201112180crd,cle,SkriBu00,fumbles_forced,0,,,,,
player,201112180crd,cle,GocoCh99,def_int,0,,,,,
player,201112180crd,cle,GocoCh99,def_int_yds,0,,,,,
player,201112180crd,cle,GocoCh99,def_int_td,0,,,,,
