game,2011,10,20111113,201111130sea,rav,"Baltimore Ravens",17,sea,"Seattle Seahawks",22
player,201111130sea,rav,RiceRa00,rush_yds,27,,,,,
player,201111130sea,rav,RiceRa00,rush_td,0,,,,,
player,201111130sea,rav,RiceRa00,rush_long,11,,,,,
player,201111130sea,rav,RiceRa00,targets,10,,,,,
player,201111130sea,rav,RiceRa00,rec,8,,,,,
player,201111130sea,rav,RiceRa00,rec_yds,54,,,,,
player,201111130sea,rav,RiceRa00,rec_td,0,,,,,
player,201111130sea,rav,RiceRa00,rec_long,13,,,,,
player,201111130sea,rav,RiceRa00,fumbles,0,,,,,
player,201111130sea,rav,RiceRa00,fumbles_lost,,,,,,
player,201111130sea,rav,SmitTo02,pass_cmp,0,,,,,
player,201111130sea,rav,SmitTo02,pass_att,0,,,,,
player,201111130sea,rav,SmitTo02,pass_yds,0,,,,,
player,201111130sea,rav,SmitTo02,pass_td,0,,,,,
player,201111130sea,rav,SmitTo02,pass_int,0,,,,,
player,201111130sea,rav,SmitTo02,pass_sacked,0,,,,,
player,201111130sea,rav,SmitTo02,pass_sacked_yds,0,,,,,
player,201111130sea,rav,SmitTo02,pass_long,0,,,,,
player,201111130sea,rav,SmitTo02,pass_rating,,,,,,
player,201111130sea,rav,SmitTo02,rush_att,1,,,,,
player,201111130sea,rav,SmitTo02,rush_yds,16,,,,,
player,201111130sea,rav,SmitTo02,rush_td,0,,,,,
player,201111130sea,rav,SmitTo02,rush_long,16,,,,,
player,201111130sea,rav,SmitTo02,targets,8,,,,,
player,201111130sea,rav,SmitTo02,rec,3,,,,,
player,201111130sea,rav,SmitTo02,rec_yds,28,,,,,
player,201111130sea,rav,SmitTo02,rec_td,0,,,,,
player,201111130sea,rav,SmitTo02,rec_long,14,,,,,
player,201111130sea,rav,SmitTo02,fumbles,0,,,,,
player,201111130sea,rav,SmitTo02,fumbles_lost,,,,,,
player,201111130sea,rav,ReedDa00,pass_cmp,0,,,,,
player,201111130sea,rav,ReedDa00,pass_att,0,,,,,
player,201111130sea,rav,ReedDa00,pass_yds,0,,,,,
player,201111130sea,rav,ReedDa00,pass_td,0,,,,,
player,201111130sea,rav,ReedDa00,pass_int,0,,,,,
player,201111130sea,rav,ReedDa00,pass_sacked,0,,,,,
player,201111130sea,rav,ReedDa00,pass_sacked_yds,0,,,,,
player,201111130sea,rav,ReedDa00,pass_long,0,,,,,
player,201111130sea,rav,ReedDa00,pass_rating,,,,,,
player,201111130sea,rav,ReedDa00,rush_att,1,,,,,
player,201111130sea,rav,ReedDa00,rush_yds,16,,,,,
player,201111130sea,rav,ReedDa00,rush_td,0,,,,,
player,201111130sea,rav,ReedDa00,rush_long,16,,,,,
player,201111130sea,rav,ReedDa00,targets,0,,,,,
player,201111130sea,rav,ReedDa00,rec,0,,,,,
player,201111130sea,rav,ReedDa00,rec_yds,0,,,,,
player,201111130sea,rav,ReedDa00,rec_td,0,,,,,
player,201111130sea,rav,ReedDa00,rec_long,0,,,,,
player,201111130sea,rav,ReedDa00,fumbles,2,,,,,
player,201111130sea,rav,ReedDa00,fumbles_lost,2,,,,,
player,201111130sea,rav,WillRi00,pass_cmp,0,,,,,
player,201111130sea,rav,WillRi00,pass_att,0,,,,,
player,201111130sea,rav,WillRi00,pass_yds,0,,,,,
player,201111130sea,rav,WillRi00,pass_td,0,,,,,
player,201111130sea,rav,WillRi00,pass_int,0,,,,,
player,201111130sea,rav,WillRi00,pass_sacked,0,,,,,
player,201111130sea,rav,WillRi00,pass_sacked_yds,0,,,,,
player,201111130sea,rav,WillRi00,pass_long,0,,,,,
player,201111130sea,rav,WillRi00,pass_rating,,,,,,
player,201111130sea,rav,WillRi00,rush_att,3,,,,,
player,201111130sea,rav,WillRi00,rush_yds,8,,,,,
player,201111130sea,rav,WillRi00,rush_td,0,,,,,
player,201111130sea,rav,WillRi00,rush_long,7,,,,,
player,201111130sea,rav,WillRi00,targets,3,,,,,
player,201111130sea,rav,WillRi00,rec,3,,,,,
player,201111130sea,rav,WillRi00,rec_yds,24,,,,,
player,201111130sea,rav,WillRi00,rec_td,0,,,,,
player,201111130sea,rav,WillRi00,rec_long,12,,,,,
player,201111130sea,rav,WillRi00,fumbles,0,,,,,
player,201111130sea,rav,WillRi00,fumbles_lost,,,,,,
player,201111130sea,rav,DickEd00,pass_cmp,0,,,,,
player,201111130sea,rav,DickEd00,pass_att,0,,,,,
player,201111130sea,rav,DickEd00,pass_yds,0,,,,,
player,201111130sea,rav,DickEd00,pass_td,0,,,,,
player,201111130sea,rav,DickEd00,pass_int,0,,,,,
player,201111130sea,rav,DickEd00,pass_sacked,0,,,,,
player,201111130sea,rav,DickEd00,pass_sacked_yds,0,,,,,
player,201111130sea,rav,DickEd00,pass_long,0,,,,,
player,201111130sea,rav,DickEd00,pass_rating,,,,,,
player,201111130sea,rav,DickEd00,rush_att,0,,,,,
player,201111130sea,rav,DickEd00,rush_yds,0,,,,,
player,201111130sea,rav,DickEd00,rush_td,0,,,,,
player,201111130sea,rav,DickEd00,rush_long,0,,,,,
player,201111130sea,rav,DickEd00,targets,14,,,,,
player,201111130sea,rav,DickEd00,rec,10,,,,,
player,201111130sea,rav,DickEd00,rec_yds,79,,,,,
player,201111130sea,rav,DickEd00,rec_td,2,,,,,
player,201111130sea,rav,DickEd00,rec_long,19,,,,,
player,201111130sea,rav,DickEd00,fumbles,0,,,,,
player,201111130sea,rav,DickEd00,fumbles_lost,,,,,,
player,201111130sea,rav,PittDe00,pass_cmp,0,,,,,
player,201111130sea,rav,PittDe00,pass_att,0,,,,,
player,201111130sea,rav,PittDe00,pass_yds,0,,,,,
player,201111130sea,rav,PittDe00,pass_td,0,,,,,
player,201111130sea,rav,PittDe00,pass_int,0,,,,,
player,201111130sea,rav,PittDe00,pass_sacked,0,,,,,
player,201111130sea,rav,PittDe00,pass_sacked_yds,0,,,,,
player,201111130sea,rav,PittDe00,pass_long,0,,,,,
player,201111130sea,rav,PittDe00,pass_rating,,,,,,
player,201111130sea,rav,PittDe00,rush_att,0,,,,,
player,201111130sea,rav,PittDe00,rush_yds,0,,,,,
player,201111130sea,rav,PittDe00,rush_td,0,,,,,
player,201111130sea,rav,PittDe00,rush_long,0,,,,,
player,201111130sea,rav,PittDe00,targets,7,,,,,
player,201111130sea,rav,PittDe00,rec,4,,,,,
player,201111130sea,rav,PittDe00,rec_yds,49,,,,,
player,201111130sea,rav,PittDe00,rec_td,0,,,,,
player,201111130sea,rav,PittDe00,rec_long,17,,,,,
player,201111130sea,rav,PittDe00,fumbles,0,,,,,
player,201111130sea,rav,PittDe00,fumbles_lost,,,,,,
player,201111130sea,rav,BoldAn00,pass_cmp,0,,,,,
player,201111130sea,rav,BoldAn00,pass_att,0,,,,,
player,201111130sea,rav,BoldAn00,pass_yds,0,,,,,
player,201111130sea,rav,BoldAn00,pass_td,0,,,,,
player,201111130sea,rav,BoldAn00,pass_int,0,,,,,
player,201111130sea,rav,BoldAn00,pass_sacked,0,,,,,
player,201111130sea,rav,BoldAn00,pass_sacked_yds,0,,,,,
player,201111130sea,rav,BoldAn00,pass_long,0,,,,,
player,201111130sea,rav,BoldAn00,pass_rating,,,,,,
player,201111130sea,rav,BoldAn00,rush_att,0,,,,,
player,201111130sea,rav,BoldAn00,rush_yds,0,,,,,
player,201111130sea,rav,BoldAn00,rush_td,0,,,,,
player,201111130sea,rav,BoldAn00,rush_long,0,,,,,
player,201111130sea,rav,BoldAn00,targets,9,,,,,
player,201111130sea,rav,BoldAn00,rec,2,,,,,
player,201111130sea,rav,BoldAn00,rec_yds,22,,,,,
player,201111130sea,rav,BoldAn00,rec_td,0,,,,,
player,201111130sea,rav,BoldAn00,rec_long,17,,,,,
player,201111130sea,rav,BoldAn00,fumbles,0,,,,,
player,201111130sea,rav,BoldAn00,fumbles_lost,,,,,,
player,201111130sea,rav,LeacVo00,pass_cmp,0,,,,,
player,201111130sea,rav,LeacVo00,pass_att,0,,,,,
player,201111130sea,rav,LeacVo00,pass_yds,0,,,,,
player,201111130sea,rav,LeacVo00,pass_td,0,,,,,
player,201111130sea,rav,LeacVo00,pass_int,0,,,,,
player,201111130sea,rav,LeacVo00,pass_sacked,0,,,,,
player,201111130sea,rav,LeacVo00,pass_sacked_yds,0,,,,,
player,201111130sea,rav,LeacVo00,pass_long,0,,,,,
player,201111130sea,rav,LeacVo00,pass_rating,,,,,,
player,201111130sea,rav,LeacVo00,rush_att,0,,,,,
player,201111130sea,rav,LeacVo00,rush_yds,0,,,,,
player,201111130sea,rav,LeacVo00,rush_td,0,,,,,
player,201111130sea,rav,LeacVo00,rush_long,0,,,,,
player,201111130sea,rav,LeacVo00,targets,1,,,,,
player,201111130sea,rav,LeacVo00,rec,0,,,,,
player,201111130sea,rav,LeacVo00,rec_yds,0,,,,,
player,201111130sea,rav,LeacVo00,rec_td,0,,,,,
player,201111130sea,rav,LeacVo00,rec_long,0,,,,,
player,201111130sea,rav,LeacVo00,fumbles,0,,,,,
player,201111130sea,rav,LeacVo00,fumbles_lost,,,,,,
player,201111130sea,rav,WillLa01,pass_cmp,0,,,,,
player,201111130sea,rav,WillLa01,pass_att,0,,,,,
player,201111130sea,rav,WillLa01,pass_yds,0,,,,,
player,201111130sea,rav,WillLa01,pass_td,0,,,,,
player,201111130sea,rav,WillLa01,pass_int,0,,,,,
player,201111130sea,rav,WillLa01,pass_sacked,0,,,,,
player,201111130sea,rav,WillLa01,pass_sacked_yds,0,,,,,
player,201111130sea,rav,WillLa01,pass_long,0,,,,,
player,201111130sea,rav,WillLa01,pass_rating,,,,,,
player,201111130sea,rav,WillLa01,rush_att,0,,,,,
player,201111130sea,rav,WillLa01,rush_yds,0,,,,,
player,201111130sea,rav,WillLa01,rush_td,0,,,,,
player,201111130sea,rav,WillLa01,rush_long,0,,,,,
player,201111130sea,rav,WillLa01,targets,1,,,,,
player,201111130sea,rav,WillLa01,rec,0,,,,,
player,201111130sea,rav,WillLa01,rec_yds,0,,,,,
player,201111130sea,rav,WillLa01,rec_td,0,,,,,
player,201111130sea,rav,WillLa01,rec_long,0,,,,,
player,201111130sea,rav,WillLa01,fumbles,0,,,,,
player,201111130sea,rav,WillLa01,fumbles_lost,,,,,,
player,201111130sea,sea,JackTa00,pass_cmp,17,,,,,
player,201111130sea,sea,JackTa00,pass_att,27,,,,,
player,201111130sea,sea,JackTa00,pass_yds,217,,,,,
player,201111130sea,sea,JackTa00,pass_td,0,,,,,
player,201111130sea,sea,JackTa00,pass_int,0,,,,,
player,201111130sea,sea,JackTa00,pass_sacked,1,,,,,
player,201111130sea,sea,JackTa00,pass_sacked_yds,9,,,,,
player,201111130sea,sea,JackTa00,pass_long,50,,,,,
player,201111130sea,sea,JackTa00,pass_rating,88.0,,,,,
player,201111130sea,sea,JackTa00,rush_att,5,,,,,
player,201111130sea,sea,JackTa00,rush_yds,3,,,,,
player,201111130sea,sea,JackTa00,rush_td,0,,,,,
player,201111130sea,sea,JackTa00,rush_long,4,,,,,
player,201111130sea,sea,JackTa00,targets,0,,,,,
player,201111130sea,sea,JackTa00,rec,0,,,,,
player,201111130sea,sea,JackTa00,rec_yds,0,,,,,
player,201111130sea,sea,JackTa00,rec_td,0,,,,,
player,201111130sea,sea,JackTa00,rec_long,0,,,,,
player,201111130sea,sea,JackTa00,fumbles,0,,,,,
player,201111130sea,sea,JackTa00,fumbles_lost,,,,,,
player,201111130sea,sea,LyncMa00,pass_cmp,0,,,,,
player,201111130sea,sea,LyncMa00,pass_att,0,,,,,
player,201111130sea,sea,LyncMa00,pass_yds,0,,,,,
player,201111130sea,sea,LyncMa00,pass_td,0,,,,,
player,201111130sea,sea,LyncMa00,pass_int,0,,,,,
player,201111130sea,sea,LyncMa00,pass_sacked,0,,,,,
player,201111130sea,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201111130sea,sea,LyncMa00,pass_long,0,,,,,
player,201111130sea,sea,LyncMa00,pass_rating,,,,,,
player,201111130sea,sea,LyncMa00,rush_att,32,,,,,
player,201111130sea,sea,LyncMa00,rush_yds,109,,,,,
player,201111130sea,sea,LyncMa00,rush_td,1,,,,,
player,201111130sea,sea,LyncMa00,rush_long,8,,,,,
player,201111130sea,sea,LyncMa00,targets,7,,,,,
player,201111130sea,sea,LyncMa00,rec,5,,,,,
player,201111130sea,sea,LyncMa00,rec_yds,58,,,,,
player,201111130sea,sea,LyncMa00,rec_td,0,,,,,
player,201111130sea,sea,LyncMa00,rec_long,23,,,,,
player,201111130sea,sea,LyncMa00,fumbles,0,,,,,
player,201111130sea,sea,LyncMa00,fumbles_lost,,,,,,
player,201111130sea,sea,WashLe00,pass_cmp,0,,,,,
player,201111130sea,sea,WashLe00,pass_att,0,,,,,
player,201111130sea,sea,WashLe00,pass_yds,0,,,,,
player,201111130sea,sea,WashLe00,pass_td,0,,,,,
player,201111130sea,sea,WashLe00,pass_int,0,,,,,
player,201111130sea,sea,WashLe00,pass_sacked,0,,,,,
player,201111130sea,sea,WashLe00,pass_sacked_yds,0,,,,,
player,201111130sea,sea,WashLe00,pass_long,0,,,,,
player,201111130sea,sea,WashLe00,pass_rating,,,,,,
player,201111130sea,sea,WashLe00,rush_att,3,,,,,
player,201111130sea,sea,WashLe00,rush_yds,9,,,,,
player,201111130sea,sea,WashLe00,rush_td,0,,,,,
player,201111130sea,sea,WashLe00,rush_long,4,,,,,
player,201111130sea,sea,WashLe00,targets,0,,,,,
player,201111130sea,sea,WashLe00,rec,0,,,,,
player,201111130sea,sea,WashLe00,rec_yds,0,,,,,
player,201111130sea,sea,WashLe00,rec_td,0,,,,,
player,201111130sea,sea,WashLe00,rec_long,0,,,,,
player,201111130sea,sea,WashLe00,fumbles,0,,,,,
player,201111130sea,sea,WashLe00,fumbles_lost,,,,,,
player,201111130sea,sea,ForsJu00,pass_cmp,0,,,,,
player,201111130sea,sea,ForsJu00,pass_att,0,,,,,
player,201111130sea,sea,ForsJu00,pass_yds,0,,,,,
player,201111130sea,sea,ForsJu00,pass_td,0,,,,,
player,201111130sea,sea,ForsJu00,pass_int,0,,,,,
player,201111130sea,sea,ForsJu00,pass_sacked,0,,,,,
player,201111130sea,sea,ForsJu00,pass_sacked_yds,0,,,,,
player,201111130sea,sea,ForsJu00,pass_long,0,,,,,
player,201111130sea,sea,ForsJu00,pass_rating,,,,,,
player,201111130sea,sea,ForsJu00,rush_att,1,,,,,
player,201111130sea,sea,ForsJu00,rush_yds,3,,,,,
player,201111130sea,sea,ForsJu00,rush_td,0,,,,,
player,201111130sea,sea,ForsJu00,rush_long,3,,,,,
player,201111130sea,sea,ForsJu00,targets,0,,,,,
player,201111130sea,sea,ForsJu00,rec,0,,,,,
player,201111130sea,sea,ForsJu00,rec_yds,0,,,,,
player,201111130sea,sea,ForsJu00,rec_td,0,,,,,
player,201111130sea,sea,ForsJu00,rec_long,0,,,,,
player,201111130sea,sea,ForsJu00,fumbles,0,,,,,
player,201111130sea,sea,ForsJu00,fumbles_lost,,,,,,
player,201111130sea,sea,BaldDo00,pass_cmp,0,,,,,
player,201111130sea,sea,BaldDo00,pass_att,0,,,,,
player,201111130sea,sea,BaldDo00,pass_yds,0,,,,,
player,201111130sea,sea,BaldDo00,pass_td,0,,,,,
player,201111130sea,sea,BaldDo00,pass_int,0,,,,,
player,201111130sea,sea,BaldDo00,pass_sacked,0,,,,,
player,201111130sea,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201111130sea,sea,BaldDo00,pass_long,0,,,,,
player,201111130sea,sea,BaldDo00,pass_rating,,,,,,
player,201111130sea,sea,BaldDo00,rush_att,0,,,,,
player,201111130sea,sea,BaldDo00,rush_yds,0,,,,,
player,201111130sea,sea,BaldDo00,rush_td,0,,,,,
player,201111130sea,sea,BaldDo00,rush_long,0,,,,,
player,201111130sea,sea,BaldDo00,targets,3,,,,,
player,201111130sea,sea,BaldDo00,rec,1,,,,,
player,201111130sea,sea,BaldDo00,rec_yds,50,,,,,
player,201111130sea,sea,BaldDo00,rec_td,0,,,,,
player,201111130sea,sea,BaldDo00,rec_long,50,,,,,
player,201111130sea,sea,BaldDo00,fumbles,0,,,,,
player,201111130sea,sea,BaldDo00,fumbles_lost,,,,,,
player,201111130sea,sea,MillZa01,pass_cmp,0,,,,,
player,201111130sea,sea,MillZa01,pass_att,0,,,,,
player,201111130sea,sea,MillZa01,pass_yds,0,,,,,
player,201111130sea,sea,MillZa01,pass_td,0,,,,,
player,201111130sea,sea,MillZa01,pass_int,0,,,,,
player,201111130sea,sea,MillZa01,pass_sacked,0,,,,,
player,201111130sea,sea,MillZa01,pass_sacked_yds,0,,,,,
player,201111130sea,sea,MillZa01,pass_long,0,,,,,
player,201111130sea,sea,MillZa01,pass_rating,,,,,,
player,201111130sea,sea,MillZa01,rush_att,0,,,,,
player,201111130sea,sea,MillZa01,rush_yds,0,,,,,
player,201111130sea,sea,MillZa01,rush_td,0,,,,,
player,201111130sea,sea,MillZa01,rush_long,0,,,,,
player,201111130sea,sea,MillZa01,targets,4,,,,,
player,201111130sea,sea,MillZa01,rec,3,,,,,
player,201111130sea,sea,MillZa01,rec_yds,24,,,,,
player,201111130sea,sea,MillZa01,rec_td,0,,,,,
player,201111130sea,sea,MillZa01,rec_long,11,,,,,
player,201111130sea,sea,MillZa01,fumbles,0,,,,,
player,201111130sea,sea,MillZa01,fumbles_lost,,,,,,
player,201111130sea,sea,McCoAn00,pass_cmp,0,,,,,
player,201111130sea,sea,McCoAn00,pass_att,0,,,,,
player,201111130sea,sea,McCoAn00,pass_yds,0,,,,,
player,201111130sea,sea,McCoAn00,pass_td,0,,,,,
player,201111130sea,sea,McCoAn00,pass_int,0,,,,,
player,201111130sea,sea,McCoAn00,pass_sacked,0,,,,,
player,201111130sea,sea,McCoAn00,pass_sacked_yds,0,,,,,
player,201111130sea,sea,McCoAn00,pass_long,0,,,,,
player,201111130sea,sea,McCoAn00,pass_rating,,,,,,
player,201111130sea,sea,McCoAn00,rush_att,0,,,,,
player,201111130sea,sea,McCoAn00,rush_yds,0,,,,,
player,201111130sea,sea,McCoAn00,rush_td,0,,,,,
player,201111130sea,sea,McCoAn00,rush_long,0,,,,,
player,201111130sea,sea,McCoAn00,targets,2,,,,,
player,201111130sea,sea,McCoAn00,rec,2,,,,,
player,201111130sea,sea,McCoAn00,rec_yds,15,,,,,
player,201111130sea,sea,McCoAn00,rec_td,0,,,,,
player,201111130sea,sea,McCoAn00,rec_long,14,,,,,
player,201111130sea,sea,McCoAn00,fumbles,0,,,,,
player,201111130sea,sea,McCoAn00,fumbles_lost,,,,,,
player,201111130sea,sea,RiceSi01,pass_cmp,0,,,,,
player,201111130sea,sea,RiceSi01,pass_att,0,,,,,
player,201111130sea,sea,RiceSi01,pass_yds,0,,,,,
player,201111130sea,sea,RiceSi01,pass_td,0,,,,,
player,201111130sea,sea,RiceSi01,pass_int,0,,,,,
player,201111130sea,sea,RiceSi01,pass_sacked,0,,,,,
player,201111130sea,sea,RiceSi01,pass_sacked_yds,0,,,,,
player,201111130sea,sea,RiceSi01,pass_long,0,,,,,
player,201111130sea,sea,RiceSi01,pass_rating,,,,,,
player,201111130sea,sea,RiceSi01,rush_att,0,,,,,
player,201111130sea,sea,RiceSi01,rush_yds,0,,,,,
player,201111130sea,sea,RiceSi01,rush_td,0,,,,,
player,201111130sea,sea,RiceSi01,rush_long,0,,,,,
player,201111130sea,sea,RiceSi01,targets,4,,,,,
player,201111130sea,sea,RiceSi01,rec,2,,,,,
player,201111130sea,sea,RiceSi01,rec_yds,14,,,,,
player,201111130sea,sea,RiceSi01,rec_td,0,,,,,
player,201111130sea,sea,RiceSi01,rec_long,9,,,,,
player,201111130sea,sea,RiceSi01,fumbles,0,,,,,
player,201111130sea,sea,RiceSi01,fumbles_lost,,,,,,
player,201111130sea,sea,ObomBe00,pass_cmp,0,,,,,
player,201111130sea,sea,ObomBe00,pass_att,0,,,,,
player,201111130sea,sea,ObomBe00,pass_yds,0,,,,,
player,201111130sea,sea,ObomBe00,pass_td,0,,,,,
player,201111130sea,sea,ObomBe00,pass_int,0,,,,,
player,201111130sea,sea,ObomBe00,pass_sacked,0,,,,,
player,201111130sea,sea,ObomBe00,pass_sacked_yds,0,,,,,
player,201111130sea,sea,ObomBe00,pass_long,0,,,,,
player,201111130sea,sea,ObomBe00,pass_rating,,,,,,
player,201111130sea,sea,ObomBe00,rush_att,0,,,,,
player,201111130sea,sea,ObomBe00,rush_yds,0,,,,,
player,201111130sea,sea,ObomBe00,rush_td,0,,,,,
player,201111130sea,sea,ObomBe00,rush_long,0,,,,,
player,201111130sea,sea,ObomBe00,targets,2,,,,,
player,201111130sea,sea,ObomBe00,rec,1,,,,,
player,201111130sea,sea,ObomBe00,rec_yds,10,,,,,
player,201111130sea,sea,ObomBe00,rec_td,0,,,,,
player,201111130sea,sea,ObomBe00,rec_long,10,,,,,
player,201111130sea,sea,ObomBe00,fumbles,0,,,,,
player,201111130sea,sea,ObomBe00,fumbles_lost,,,,,,
player,201111130sea,sea,WillMi03,pass_cmp,0,,,,,
player,201111130sea,sea,WillMi03,pass_att,0,,,,,
player,201111130sea,sea,WillMi03,pass_yds,0,,,,,
player,201111130sea,sea,WillMi03,pass_td,0,,,,,
player,201111130sea,sea,WillMi03,pass_int,0,,,,,
player,201111130sea,sea,WillMi03,pass_sacked,0,,,,,
player,201111130sea,sea,WillMi03,pass_sacked_yds,0,,,,,
player,201111130sea,sea,WillMi03,pass_long,0,,,,,
player,201111130sea,sea,WillMi03,pass_rating,,,,,,
player,201111130sea,sea,WillMi03,rush_att,0,,,,,
player,201111130sea,sea,WillMi03,rush_yds,0,,,,,
player,201111130sea,sea,WillMi03,rush_td,0,,,,,
player,201111130sea,sea,WillMi03,rush_long,0,,,,,
player,201111130sea,sea,WillMi03,targets,1,,,,,
player,201111130sea,sea,WillMi03,rec,0,,,,,
player,201111130sea,sea,WillMi03,rec_yds,0,,,,,
player,201111130sea,sea,WillMi03,rec_td,0,,,,,
player,201111130sea,sea,WillMi03,rec_long,0,,,,,
player,201111130sea,sea,WillMi03,fumbles,0,,,,,
player,201111130sea,sea,WillMi03,fumbles_lost,,,,,,
player,201111130sea,sea,TateGo00,pass_cmp,0,,,,,
player,201111130sea,sea,TateGo00,pass_att,0,,,,,
player,201111130sea,sea,TateGo00,pass_yds,0,,,,,
player,201111130sea,sea,TateGo00,pass_td,0,,,,,
player,201111130sea,sea,TateGo00,pass_int,0,,,,,
player,201111130sea,sea,TateGo00,pass_sacked,0,,,,,
player,201111130sea,sea,TateGo00,pass_sacked_yds,0,,,,,
player,201111130sea,sea,TateGo00,pass_long,0,,,,,
player,201111130sea,sea,TateGo00,pass_rating,,,,,,
player,201111130sea,sea,TateGo00,rush_att,1,,,,,
player,201111130sea,sea,TateGo00,rush_yds,-5,,,,,
player,201111130sea,sea,TateGo00,rush_td,0,,,,,
player,201111130sea,sea,TateGo00,rush_long,-5,,,,,
player,201111130sea,sea,TateGo00,targets,3,,,,,
player,201111130sea,sea,TateGo00,rec,3,,,,,
player,201111130sea,sea,TateGo00,rec_yds,46,,,,,
player,201111130sea,sea,TateGo00,rec_td,0,,,,,
player,201111130sea,sea,TateGo00,rec_long,24,,,,,
player,201111130sea,sea,TateGo00,fumbles,1,,,,,
player,201111130sea,sea,TateGo00,fumbles_lost,0,,,,,
player,201111130sea,rav,KrugPa99,def_int,0,,,,,
player,201111130sea,rav,KrugPa99,def_int_yds,0,,,,,
player,201111130sea,rav,KrugPa99,def_int_td,0,,,,,
player,201111130sea,rav,KrugPa99,def_int_long,0,,,,,
player,201111130sea,rav,KrugPa99,pass_defended,0,,,,,
player,201111130sea,rav,KrugPa99,sacks,1.0,,,,,
player,201111130sea,rav,KrugPa99,tackles_combined,1,,,,,
player,201111130sea,rav,KrugPa99,tackles_solo,1,,,,,
player,201111130sea,rav,KrugPa99,tackles_assists,0,,,,,
player,201111130sea,rav,KrugPa99,tackles_loss,1,,,,,
player,201111130sea,rav,KrugPa99,qb_hits,1,,,,,
player,201111130sea,rav,KrugPa99,fumbles_rec,0,,,,,
player,201111130sea,rav,KrugPa99,fumbles_rec_yds,0,,,,,
player,201111130sea,rav,KrugPa99,fumbles_rec_td,0,,,,,
player,201111130sea,rav,KrugPa99,fumbles_forced,0,,,,,
player,201111130sea,rav,NgatHa20,def_int,0,,,,,
