game,2011,13,20111204,201112040min,den,"Denver Broncos",35,min,"Minnesota Vikings",32
player,201112040min,den,RoyaEd00,rush_td,0,,,,,
player,201112040min,den,RoyaEd00,rush_long,0,,,,,
player,201112040min,den,RoyaEd00,targets,1,,,,,
player,201112040min,den,RoyaEd00,rec,1,,,,,
player,201112040min,den,RoyaEd00,rec_yds,7,,,,,
player,201112040min,den,RoyaEd00,rec_td,0,,,,,
player,201112040min,den,RoyaEd00,rec_long,7,,,,,
player,201112040min,den,RoyaEd00,fumbles,0,,,,,
player,201112040min,den,RoyaEd00,fumbles_lost,,,,,,
player,201112040min,min,PondCh00,pass_cmp,29,,,,,
player,201112040min,min,PondCh00,pass_att,47,,,,,
player,201112040min,min,PondCh00,pass_yds,381,,,,,
player,201112040min,min,PondCh00,pass_td,3,,,,,
player,201112040min,min,PondCh00,pass_int,2,,,,,
player,201112040min,min,PondCh00,pass_sacked,3,,,,,
player,201112040min,min,PondCh00,pass_sacked_yds,29,,,,,
player,201112040min,min,PondCh00,pass_long,52,,,,,
player,201112040min,min,PondCh00,pass_rating,90.8,,,,,
player,201112040min,min,PondCh00,rush_att,1,,,,,
player,201112040min,min,PondCh00,rush_yds,12,,,,,
player,201112040min,min,PondCh00,rush_td,0,,,,,
player,201112040min,min,PondCh00,rush_long,12,,,,,
player,201112040min,min,PondCh00,targets,0,,,,,
player,201112040min,min,PondCh00,rec,0,,,,,
player,201112040min,min,PondCh00,rec_yds,0,,,,,
player,201112040min,min,PondCh00,rec_td,0,,,,,
player,201112040min,min,PondCh00,rec_long,0,,,,,
player,201112040min,min,PondCh00,fumbles,1,,,,,
player,201112040min,min,PondCh00,fumbles_lost,1,,,,,
player,201112040min,min,WebbJo00,pass_cmp,1,,,,,
player,201112040min,min,WebbJo00,pass_att,1,,,,,
player,201112040min,min,WebbJo00,pass_yds,8,,,,,
player,201112040min,min,WebbJo00,pass_td,0,,,,,
player,201112040min,min,WebbJo00,pass_int,0,,,,,
player,201112040min,min,WebbJo00,pass_sacked,0,,,,,
player,201112040min,min,WebbJo00,pass_sacked_yds,0,,,,,
player,201112040min,min,WebbJo00,pass_long,8,,,,,
player,201112040min,min,WebbJo00,pass_rating,100.0,,,,,
player,201112040min,min,WebbJo00,rush_att,1,,,,,
player,201112040min,min,WebbJo00,rush_yds,4,,,,,
player,201112040min,min,WebbJo00,rush_td,0,,,,,
player,201112040min,min,WebbJo00,rush_long,4,,,,,
player,201112040min,min,WebbJo00,targets,1,,,,,
player,201112040min,min,WebbJo00,rec,0,,,,,
player,201112040min,min,WebbJo00,rec_yds,0,,,,,
player,201112040min,min,WebbJo00,rec_td,0,,,,,
player,201112040min,min,WebbJo00,rec_long,0,,,,,
player,201112040min,min,WebbJo00,fumbles,0,,,,,
player,201112040min,min,WebbJo00,fumbles_lost,,,,,,
player,201112040min,min,GerhTo00,pass_cmp,0,,,,,
player,201112040min,min,GerhTo00,pass_att,0,,,,,
player,201112040min,min,GerhTo00,pass_yds,0,,,,,
player,201112040min,min,GerhTo00,pass_td,0,,,,,
player,201112040min,min,GerhTo00,pass_int,0,,,,,
player,201112040min,min,GerhTo00,pass_sacked,0,,,,,
player,201112040min,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201112040min,min,GerhTo00,pass_long,0,,,,,
player,201112040min,min,GerhTo00,pass_rating,,,,,,
player,201112040min,min,GerhTo00,rush_att,21,,,,,
player,201112040min,min,GerhTo00,rush_yds,91,,,,,
player,201112040min,min,GerhTo00,rush_td,0,,,,,
player,201112040min,min,GerhTo00,rush_long,16,,,,,
player,201112040min,min,GerhTo00,targets,8,,,,,
player,201112040min,min,GerhTo00,rec,8,,,,,
player,201112040min,min,GerhTo00,rec_yds,42,,,,,
player,201112040min,min,GerhTo00,rec_td,0,,,,,
player,201112040min,min,GerhTo00,rec_long,14,,,,,
player,201112040min,min,GerhTo00,fumbles,0,,,,,
player,201112040min,min,GerhTo00,fumbles_lost,,,,,,
player,201112040min,min,HarvPe00,pass_cmp,0,,,,,
player,201112040min,min,HarvPe00,pass_att,0,,,,,
player,201112040min,min,HarvPe00,pass_yds,0,,,,,
player,201112040min,min,HarvPe00,pass_td,0,,,,,
player,201112040min,min,HarvPe00,pass_int,0,,,,,
player,201112040min,min,HarvPe00,pass_sacked,0,,,,,
player,201112040min,min,HarvPe00,pass_sacked_yds,0,,,,,
player,201112040min,min,HarvPe00,pass_long,0,,,,,
player,201112040min,min,HarvPe00,pass_rating,,,,,,
player,201112040min,min,HarvPe00,rush_att,5,,,,,
player,201112040min,min,HarvPe00,rush_yds,19,,,,,
player,201112040min,min,HarvPe00,rush_td,0,,,,,
player,201112040min,min,HarvPe00,rush_long,13,,,,,
player,201112040min,min,HarvPe00,targets,9,,,,,
player,201112040min,min,HarvPe00,rec,8,,,,,
player,201112040min,min,HarvPe00,rec_yds,156,,,,,
player,201112040min,min,HarvPe00,rec_td,2,,,,,
player,201112040min,min,HarvPe00,rec_long,52,,,,,
player,201112040min,min,HarvPe00,fumbles,0,,,,,
player,201112040min,min,HarvPe00,fumbles_lost,,,,,,
player,201112040min,min,BookLo00,pass_cmp,0,,,,,
player,201112040min,min,BookLo00,pass_att,0,,,,,
player,201112040min,min,BookLo00,pass_yds,0,,,,,
player,201112040min,min,BookLo00,pass_td,0,,,,,
player,201112040min,min,BookLo00,pass_int,0,,,,,
player,201112040min,min,BookLo00,pass_sacked,0,,,,,
player,201112040min,min,BookLo00,pass_sacked_yds,0,,,,,
player,201112040min,min,BookLo00,pass_long,0,,,,,
player,201112040min,min,BookLo00,pass_rating,,,,,,
player,201112040min,min,BookLo00,rush_att,2,,,,,
player,201112040min,min,BookLo00,rush_yds,3,,,,,
player,201112040min,min,BookLo00,rush_td,0,,,,,
player,201112040min,min,BookLo00,rush_long,6,,,,,
player,201112040min,min,BookLo00,targets,1,,,,,
player,201112040min,min,BookLo00,rec,1,,,,,
player,201112040min,min,BookLo00,rec_yds,8,,,,,
player,201112040min,min,BookLo00,rec_td,0,,,,,
player,201112040min,min,BookLo00,rec_long,8,,,,,
player,201112040min,min,BookLo00,fumbles,0,,,,,
player,201112040min,min,BookLo00,fumbles_lost,,,,,,
player,201112040min,min,AromDe00,pass_cmp,0,,,,,
player,201112040min,min,AromDe00,pass_att,0,,,,,
player,201112040min,min,AromDe00,pass_yds,0,,,,,
player,201112040min,min,AromDe00,pass_td,0,,,,,
player,201112040min,min,AromDe00,pass_int,0,,,,,
