game,2011,7,20111023,201110230crd,pit,"Pittsburgh Steelers",32,crd,"Arizona Cardinals",20
player,201110230crd,pit,MillHe00,rush_long,6,,,,,
player,201110230crd,pit,MillHe00,targets,4,,,,,
player,201110230crd,pit,MillHe00,rec,4,,,,,
player,201110230crd,pit,MillHe00,rec_yds,59,,,,,
player,201110230crd,pit,MillHe00,rec_td,1,,,,,
player,201110230crd,pit,MillHe00,rec_long,21,,,,,
player,201110230crd,pit,MillHe00,fumbles,0,,,,,
player,201110230crd,pit,MillHe00,fumbles_lost,,,,,,
player,201110230crd,pit,WallMi00,pass_cmp,0,,,,,
player,201110230crd,pit,WallMi00,pass_att,0,,,,,
player,201110230crd,pit,WallMi00,pass_yds,0,,,,,
player,201110230crd,pit,WallMi00,pass_td,0,,,,,
player,201110230crd,pit,WallMi00,pass_int,0,,,,,
player,201110230crd,pit,WallMi00,pass_sacked,0,,,,,
player,201110230crd,pit,WallMi00,pass_sacked_yds,0,,,,,
player,201110230crd,pit,WallMi00,pass_long,0,,,,,
player,201110230crd,pit,WallMi00,pass_rating,,,,,,
player,201110230crd,pit,WallMi00,rush_att,0,,,,,
player,201110230crd,pit,WallMi00,rush_yds,0,,,,,
player,201110230crd,pit,WallMi00,rush_td,0,,,,,
player,201110230crd,pit,WallMi00,rush_long,0,,,,,
player,201110230crd,pit,WallMi00,targets,7,,,,,
player,201110230crd,pit,WallMi00,rec,3,,,,,
player,201110230crd,pit,WallMi00,rec_yds,118,,,,,
player,201110230crd,pit,WallMi00,rec_td,1,,,,,
player,201110230crd,pit,WallMi00,rec_long,95,,,,,
player,201110230crd,pit,WallMi00,fumbles,0,,,,,
player,201110230crd,pit,WallMi00,fumbles_lost,,,,,,
player,201110230crd,pit,BrowAn04,pass_cmp,0,,,,,
player,201110230crd,pit,BrowAn04,pass_att,0,,,,,
player,201110230crd,pit,BrowAn04,pass_yds,0,,,,,
player,201110230crd,pit,BrowAn04,pass_td,0,,,,,
player,201110230crd,pit,BrowAn04,pass_int,0,,,,,
player,201110230crd,pit,BrowAn04,pass_sacked,0,,,,,
player,201110230crd,pit,BrowAn04,pass_sacked_yds,0,,,,,
player,201110230crd,pit,BrowAn04,pass_long,0,,,,,
player,201110230crd,pit,BrowAn04,pass_rating,,,,,,
player,201110230crd,pit,BrowAn04,rush_att,0,,,,,
player,201110230crd,pit,BrowAn04,rush_yds,0,,,,,
player,201110230crd,pit,BrowAn04,rush_td,0,,,,,
player,201110230crd,pit,BrowAn04,rush_long,0,,,,,
player,201110230crd,pit,BrowAn04,targets,9,,,,,
player,201110230crd,pit,BrowAn04,rec,7,,,,,
player,201110230crd,pit,BrowAn04,rec_yds,102,,,,,
player,201110230crd,pit,BrowAn04,rec_td,0,,,,,
player,201110230crd,pit,BrowAn04,rec_long,20,,,,,
player,201110230crd,pit,BrowAn04,fumbles,0,,,,,
player,201110230crd,pit,BrowAn04,fumbles_lost,,,,,,
player,201110230crd,pit,SandEm00,pass_cmp,0,,,,,
player,201110230crd,pit,SandEm00,pass_att,0,,,,,
player,201110230crd,pit,SandEm00,pass_yds,0,,,,,
player,201110230crd,pit,SandEm00,pass_td,0,,,,,
player,201110230crd,pit,SandEm00,pass_int,0,,,,,
player,201110230crd,pit,SandEm00,pass_sacked,0,,,,,
player,201110230crd,pit,SandEm00,pass_sacked_yds,0,,,,,
player,201110230crd,pit,SandEm00,pass_long,0,,,,,
player,201110230crd,pit,SandEm00,pass_rating,,,,,,
player,201110230crd,pit,SandEm00,rush_att,0,,,,,
player,201110230crd,pit,SandEm00,rush_yds,0,,,,,
player,201110230crd,pit,SandEm00,rush_td,0,,,,,
player,201110230crd,pit,SandEm00,rush_long,0,,,,,
player,201110230crd,pit,SandEm00,targets,7,,,,,
player,201110230crd,pit,SandEm00,rec,5,,,,,
player,201110230crd,pit,SandEm00,rec_yds,46,,,,,
player,201110230crd,pit,SandEm00,rec_td,1,,,,,
player,201110230crd,pit,SandEm00,rec_long,20,,,,,
player,201110230crd,pit,SandEm00,fumbles,0,,,,,
player,201110230crd,pit,SandEm00,fumbles_lost,,,,,,
player,201110230crd,pit,WardHi00,pass_cmp,0,,,,,
player,201110230crd,pit,WardHi00,pass_att,0,,,,,
player,201110230crd,pit,WardHi00,pass_yds,0,,,,,
player,201110230crd,pit,WardHi00,pass_td,0,,,,,
player,201110230crd,pit,WardHi00,pass_int,0,,,,,
player,201110230crd,pit,WardHi00,pass_sacked,0,,,,,
player,201110230crd,pit,WardHi00,pass_sacked_yds,0,,,,,
player,201110230crd,pit,WardHi00,pass_long,0,,,,,
player,201110230crd,pit,WardHi00,pass_rating,,,,,,
player,201110230crd,pit,WardHi00,rush_att,0,,,,,
player,201110230crd,pit,WardHi00,rush_yds,0,,,,,
player,201110230crd,pit,WardHi00,rush_td,0,,,,,
player,201110230crd,pit,WardHi00,rush_long,0,,,,,
player,201110230crd,pit,WardHi00,targets,4,,,,,
player,201110230crd,pit,WardHi00,rec,3,,,,,
player,201110230crd,pit,WardHi00,rec_yds,21,,,,,
player,201110230crd,pit,WardHi00,rec_td,0,,,,,
player,201110230crd,pit,WardHi00,rec_long,9,,,,,
player,201110230crd,pit,WardHi00,fumbles,0,,,,,
player,201110230crd,pit,WardHi00,fumbles_lost,,,,,,
player,201110230crd,pit,SaunWe00,pass_cmp,0,,,,,
player,201110230crd,pit,SaunWe00,pass_att,0,,,,,
player,201110230crd,pit,SaunWe00,pass_yds,0,,,,,
player,201110230crd,pit,SaunWe00,pass_td,0,,,,,
player,201110230crd,pit,SaunWe00,pass_int,0,,,,,
player,201110230crd,pit,SaunWe00,pass_sacked,0,,,,,
player,201110230crd,pit,SaunWe00,pass_sacked_yds,0,,,,,
player,201110230crd,pit,SaunWe00,pass_long,0,,,,,
player,201110230crd,pit,SaunWe00,pass_rating,,,,,,
player,201110230crd,pit,SaunWe00,rush_att,0,,,,,
player,201110230crd,pit,SaunWe00,rush_yds,0,,,,,
player,201110230crd,pit,SaunWe00,rush_td,0,,,,,
player,201110230crd,pit,SaunWe00,rush_long,0,,,,,
player,201110230crd,pit,SaunWe00,targets,1,,,,,
player,201110230crd,pit,SaunWe00,rec,0,,,,,
player,201110230crd,pit,SaunWe00,rec_yds,0,,,,,
player,201110230crd,pit,SaunWe00,rec_td,0,,,,,
player,201110230crd,pit,SaunWe00,rec_long,0,,,,,
player,201110230crd,pit,SaunWe00,fumbles,0,,,,,
player,201110230crd,pit,SaunWe00,fumbles_lost,,,,,,
player,201110230crd,pit,CotcJe00,pass_cmp,0,,,,,
player,201110230crd,pit,CotcJe00,pass_att,0,,,,,
player,201110230crd,pit,CotcJe00,pass_yds,0,,,,,
player,201110230crd,pit,CotcJe00,pass_td,0,,,,,
player,201110230crd,pit,CotcJe00,pass_int,0,,,,,
player,201110230crd,pit,CotcJe00,pass_sacked,0,,,,,
player,201110230crd,pit,CotcJe00,pass_sacked_yds,0,,,,,
player,201110230crd,pit,CotcJe00,pass_long,0,,,,,
player,201110230crd,pit,CotcJe00,pass_rating,,,,,,
player,201110230crd,pit,CotcJe00,rush_att,0,,,,,
player,201110230crd,pit,CotcJe00,rush_yds,0,,,,,
player,201110230crd,pit,CotcJe00,rush_td,0,,,,,
player,201110230crd,pit,CotcJe00,rush_long,0,,,,,
player,201110230crd,pit,CotcJe00,targets,1,,,,,
player,201110230crd,pit,CotcJe00,rec,0,,,,,
player,201110230crd,pit,CotcJe00,rec_yds,0,,,,,
player,201110230crd,pit,CotcJe00,rec_td,0,,,,,
player,201110230crd,pit,CotcJe00,rec_long,0,,,,,
player,201110230crd,pit,CotcJe00,fumbles,0,,,,,
player,201110230crd,pit,CotcJe00,fumbles_lost,,,,,,
player,201110230crd,crd,KolbKe00,pass_cmp,18,,,,,
player,201110230crd,crd,KolbKe00,pass_att,34,,,,,
player,201110230crd,crd,KolbKe00,pass_yds,272,,,,,
player,201110230crd,crd,KolbKe00,pass_td,2,,,,,
player,201110230crd,crd,KolbKe00,pass_int,1,,,,,
player,201110230crd,crd,KolbKe00,pass_sacked,2,,,,,
player,201110230crd,crd,KolbKe00,pass_sacked_yds,15,,,,,
player,201110230crd,crd,KolbKe00,pass_long,73,,,,,
player,201110230crd,crd,KolbKe00,pass_rating,86.9,,,,,
player,201110230crd,crd,KolbKe00,rush_att,2,,,,,
player,201110230crd,crd,KolbKe00,rush_yds,14,,,,,
player,201110230crd,crd,KolbKe00,rush_td,0,,,,,
player,201110230crd,crd,KolbKe00,rush_long,11,,,,,
player,201110230crd,crd,KolbKe00,targets,0,,,,,
player,201110230crd,crd,KolbKe00,rec,0,,,,,
player,201110230crd,crd,KolbKe00,rec_yds,0,,,,,
player,201110230crd,crd,KolbKe00,rec_td,0,,,,,
player,201110230crd,crd,KolbKe00,rec_long,0,,,,,
player,201110230crd,crd,KolbKe00,fumbles,0,,,,,
player,201110230crd,crd,KolbKe00,fumbles_lost,,,,,,
player,201110230crd,crd,WellCh00,pass_cmp,0,,,,,
player,201110230crd,crd,WellCh00,pass_att,0,,,,,
player,201110230crd,crd,WellCh00,pass_yds,0,,,,,
player,201110230crd,crd,WellCh00,pass_td,0,,,,,
player,201110230crd,crd,WellCh00,pass_int,0,,,,,
player,201110230crd,crd,WellCh00,pass_sacked,0,,,,,
player,201110230crd,crd,WellCh00,pass_sacked_yds,0,,,,,
player,201110230crd,crd,WellCh00,pass_long,0,,,,,
player,201110230crd,crd,WellCh00,pass_rating,,,,,,
player,201110230crd,crd,WellCh00,rush_att,12,,,,,
player,201110230crd,crd,WellCh00,rush_yds,42,,,,,
player,201110230crd,crd,WellCh00,rush_td,0,,,,,
player,201110230crd,crd,WellCh00,rush_long,15,,,,,
player,201110230crd,crd,WellCh00,targets,0,,,,,
player,201110230crd,crd,WellCh00,rec,0,,,,,
player,201110230crd,crd,WellCh00,rec_yds,0,,,,,
player,201110230crd,crd,WellCh00,rec_td,0,,,,,
player,201110230crd,crd,WellCh00,rec_long,0,,,,,
player,201110230crd,crd,WellCh00,fumbles,0,,,,,
player,201110230crd,crd,WellCh00,fumbles_lost,,,,,,
player,201110230crd,crd,SmitAl22,pass_cmp,0,,,,,
player,201110230crd,crd,SmitAl22,pass_att,0,,,,,
player,201110230crd,crd,SmitAl22,pass_yds,0,,,,,
player,201110230crd,crd,SmitAl22,pass_td,0,,,,,
player,201110230crd,crd,SmitAl22,pass_int,0,,,,,
player,201110230crd,crd,SmitAl22,pass_sacked,0,,,,,
player,201110230crd,crd,SmitAl22,pass_sacked_yds,0,,,,,
player,201110230crd,crd,SmitAl22,pass_long,0,,,,,
player,201110230crd,crd,SmitAl22,pass_rating,,,,,,
player,201110230crd,crd,SmitAl22,rush_att,5,,,,,
player,201110230crd,crd,SmitAl22,rush_yds,17,,,,,
player,201110230crd,crd,SmitAl22,rush_td,1,,,,,
player,201110230crd,crd,SmitAl22,rush_long,11,,,,,
player,201110230crd,crd,SmitAl22,targets,0,,,,,
player,201110230crd,crd,SmitAl22,rec,0,,,,,
player,201110230crd,crd,SmitAl22,rec_yds,0,,,,,
player,201110230crd,crd,SmitAl22,rec_td,0,,,,,
player,201110230crd,crd,SmitAl22,rec_long,0,,,,,
player,201110230crd,crd,SmitAl22,fumbles,0,,,,,
player,201110230crd,crd,SmitAl22,fumbles_lost,,,,,,
player,201110230crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201110230crd,crd,FitzLa00,pass_att,0,,,,,
player,201110230crd,crd,FitzLa00,pass_yds,0,,,,,
player,201110230crd,crd,FitzLa00,pass_td,0,,,,,
player,201110230crd,crd,FitzLa00,pass_int,0,,,,,
player,201110230crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201110230crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201110230crd,crd,FitzLa00,pass_long,0,,,,,
player,201110230crd,crd,FitzLa00,pass_rating,,,,,,
player,201110230crd,crd,FitzLa00,rush_att,0,,,,,
player,201110230crd,crd,FitzLa00,rush_yds,0,,,,,
player,201110230crd,crd,FitzLa00,rush_td,0,,,,,
player,201110230crd,crd,FitzLa00,rush_long,0,,,,,
player,201110230crd,crd,FitzLa00,targets,10,,,,,
player,201110230crd,crd,FitzLa00,rec,4,,,,,
player,201110230crd,crd,FitzLa00,rec_yds,78,,,,,
player,201110230crd,crd,FitzLa00,rec_td,0,,,,,
player,201110230crd,crd,FitzLa00,rec_long,31,,,,,
player,201110230crd,crd,FitzLa00,fumbles,0,,,,,
player,201110230crd,crd,FitzLa00,fumbles_lost,,,,,,
player,201110230crd,crd,StepLa00,pass_cmp,0,,,,,
player,201110230crd,crd,StepLa00,pass_att,0,,,,,
player,201110230crd,crd,StepLa00,pass_yds,0,,,,,
player,201110230crd,crd,StepLa00,pass_td,0,,,,,
player,201110230crd,crd,StepLa00,pass_int,0,,,,,
player,201110230crd,crd,StepLa00,pass_sacked,0,,,,,
player,201110230crd,crd,StepLa00,pass_sacked_yds,0,,,,,
player,201110230crd,crd,StepLa00,pass_long,0,,,,,
player,201110230crd,crd,StepLa00,pass_rating,,,,,,
player,201110230crd,crd,StepLa00,rush_att,0,,,,,
player,201110230crd,crd,StepLa00,rush_yds,0,,,,,
player,201110230crd,crd,StepLa00,rush_td,0,,,,,
player,201110230crd,crd,StepLa00,rush_long,0,,,,,
player,201110230crd,crd,StepLa00,targets,3,,,,,
player,201110230crd,crd,StepLa00,rec,2,,,,,
player,201110230crd,crd,StepLa00,rec_yds,76,,,,,
player,201110230crd,crd,StepLa00,rec_td,1,,,,,
player,201110230crd,crd,StepLa00,rec_long,73,,,,,
player,201110230crd,crd,StepLa00,fumbles,0,,,,,
player,201110230crd,crd,StepLa00,fumbles_lost,,,,,,
player,201110230crd,crd,DoucEa00,pass_cmp,0,,,,,
player,201110230crd,crd,DoucEa00,pass_att,0,,,,,
player,201110230crd,crd,DoucEa00,pass_yds,0,,,,,
player,201110230crd,crd,DoucEa00,pass_td,0,,,,,
player,201110230crd,crd,DoucEa00,pass_int,0,,,,,
player,201110230crd,crd,DoucEa00,pass_sacked,0,,,,,
player,201110230crd,crd,DoucEa00,pass_sacked_yds,0,,,,,
player,201110230crd,crd,DoucEa00,pass_long,0,,,,,
player,201110230crd,crd,DoucEa00,pass_rating,,,,,,
player,201110230crd,crd,DoucEa00,rush_att,0,,,,,
player,201110230crd,crd,DoucEa00,rush_yds,0,,,,,
player,201110230crd,crd,DoucEa00,rush_td,0,,,,,
player,201110230crd,crd,DoucEa00,rush_long,0,,,,,
player,201110230crd,crd,DoucEa00,targets,5,,,,,
player,201110230crd,crd,DoucEa00,rec,5,,,,,
player,201110230crd,crd,DoucEa00,rec_yds,30,,,,,
player,201110230crd,crd,DoucEa00,rec_td,1,,,,,
player,201110230crd,crd,DoucEa00,rec_long,9,,,,,
player,201110230crd,crd,DoucEa00,fumbles,0,,,,,
player,201110230crd,crd,DoucEa00,fumbles_lost,,,,,,
player,201110230crd,crd,HousRo01,pass_cmp,0,,,,,
player,201110230crd,crd,HousRo01,pass_att,0,,,,,
player,201110230crd,crd,HousRo01,pass_yds,0,,,,,
player,201110230crd,crd,HousRo01,pass_td,0,,,,,
player,201110230crd,crd,HousRo01,pass_int,0,,,,,
player,201110230crd,crd,HousRo01,pass_sacked,0,,,,,
player,201110230crd,crd,HousRo01,pass_sacked_yds,0,,,,,
player,201110230crd,crd,HousRo01,pass_long,0,,,,,
player,201110230crd,crd,HousRo01,pass_rating,,,,,,
player,201110230crd,crd,HousRo01,rush_att,0,,,,,
player,201110230crd,crd,HousRo01,rush_yds,0,,,,,
player,201110230crd,crd,HousRo01,rush_td,0,,,,,
player,201110230crd,crd,HousRo01,rush_long,0,,,,,
player,201110230crd,crd,HousRo01,targets,6,,,,,
player,201110230crd,crd,HousRo01,rec,2,,,,,
player,201110230crd,crd,HousRo01,rec_yds,28,,,,,
player,201110230crd,crd,HousRo01,rec_td,0,,,,,
player,201110230crd,crd,HousRo01,rec_long,20,,,,,
player,201110230crd,crd,HousRo01,fumbles,0,,,,,
player,201110230crd,crd,HousRo01,fumbles_lost,,,,,,
player,201110230crd,crd,SampDe00,pass_cmp,0,,,,,
player,201110230crd,crd,SampDe00,pass_att,0,,,,,
player,201110230crd,crd,SampDe00,pass_yds,0,,,,,
player,201110230crd,crd,SampDe00,pass_td,0,,,,,
player,201110230crd,crd,SampDe00,pass_int,0,,,,,
player,201110230crd,crd,SampDe00,pass_sacked,0,,,,,
player,201110230crd,crd,SampDe00,pass_sacked_yds,0,,,,,
player,201110230crd,crd,SampDe00,pass_long,0,,,,,
player,201110230crd,crd,SampDe00,pass_rating,,,,,,
player,201110230crd,crd,SampDe00,rush_att,0,,,,,
player,201110230crd,crd,SampDe00,rush_yds,0,,,,,
player,201110230crd,crd,SampDe00,rush_td,0,,,,,
player,201110230crd,crd,SampDe00,rush_long,0,,,,,
player,201110230crd,crd,SampDe00,targets,2,,,,,
player,201110230crd,crd,SampDe00,rec,2,,,,,
player,201110230crd,crd,SampDe00,rec_yds,27,,,,,
player,201110230crd,crd,SampDe00,rec_td,0,,,,,
player,201110230crd,crd,SampDe00,rec_long,15,,,,,
player,201110230crd,crd,SampDe00,fumbles,0,,,,,
player,201110230crd,crd,SampDe00,fumbles_lost,,,,,,
player,201110230crd,crd,SherAn00,pass_cmp,0,,,,,
player,201110230crd,crd,SherAn00,pass_att,0,,,,,
player,201110230crd,crd,SherAn00,pass_yds,0,,,,,
player,201110230crd,crd,SherAn00,pass_td,0,,,,,
player,201110230crd,crd,SherAn00,pass_int,0,,,,,
player,201110230crd,crd,SherAn00,pass_sacked,0,,,,,
player,201110230crd,crd,SherAn00,pass_sacked_yds,0,,,,,
player,201110230crd,crd,SherAn00,pass_long,0,,,,,
player,201110230crd,crd,SherAn00,pass_rating,,,,,,
player,201110230crd,crd,SherAn00,rush_att,0,,,,,
player,201110230crd,crd,SherAn00,rush_yds,0,,,,,
player,201110230crd,crd,SherAn00,rush_td,0,,,,,
player,201110230crd,crd,SherAn00,rush_long,0,,,,,
player,201110230crd,crd,SherAn00,targets,1,,,,,
player,201110230crd,crd,SherAn00,rec,1,,,,,
player,201110230crd,crd,SherAn00,rec_yds,15,,,,,
player,201110230crd,crd,SherAn00,rec_td,0,,,,,
player,201110230crd,crd,SherAn00,rec_long,15,,,,,
player,201110230crd,crd,SherAn00,fumbles,0,,,,,
player,201110230crd,crd,SherAn00,fumbles_lost,,,,,,
player,201110230crd,crd,KingJe00,pass_cmp,0,,,,,
player,201110230crd,crd,KingJe00,pass_att,0,,,,,
player,201110230crd,crd,KingJe00,pass_yds,0,,,,,
player,201110230crd,crd,KingJe00,pass_td,0,,,,,
player,201110230crd,crd,KingJe00,pass_int,0,,,,,
player,201110230crd,crd,KingJe00,pass_sacked,0,,,,,
player,201110230crd,crd,KingJe00,pass_sacked_yds,0,,,,,
player,201110230crd,crd,KingJe00,pass_long,0,,,,,
player,201110230crd,crd,KingJe00,pass_rating,,,,,,
player,201110230crd,crd,KingJe00,rush_att,0,,,,,
player,201110230crd,crd,KingJe00,rush_yds,0,,,,,
player,201110230crd,crd,KingJe00,rush_td,0,,,,,
player,201110230crd,crd,KingJe00,rush_long,0,,,,,
player,201110230crd,crd,KingJe00,targets,1,,,,,
player,201110230crd,crd,KingJe00,rec,1,,,,,
player,201110230crd,crd,KingJe00,rec_yds,10,,,,,
player,201110230crd,crd,KingJe00,rec_td,0,,,,,
player,201110230crd,crd,KingJe00,rec_long,10,,,,,
player,201110230crd,crd,KingJe00,fumbles,0,,,,,
player,201110230crd,crd,KingJe00,fumbles_lost,,,,,,
player,201110230crd,crd,RobeAn00,pass_cmp,0,,,,,
player,201110230crd,crd,RobeAn00,pass_att,0,,,,,
player,201110230crd,crd,RobeAn00,pass_yds,0,,,,,
player,201110230crd,crd,RobeAn00,pass_td,0,,,,,
player,201110230crd,crd,RobeAn00,pass_int,0,,,,,
player,201110230crd,crd,RobeAn00,pass_sacked,0,,,,,
player,201110230crd,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201110230crd,crd,RobeAn00,pass_long,0,,,,,
player,201110230crd,crd,RobeAn00,pass_rating,,,,,,
player,201110230crd,crd,RobeAn00,rush_att,0,,,,,
player,201110230crd,crd,RobeAn00,rush_yds,0,,,,,
player,201110230crd,crd,RobeAn00,rush_td,0,,,,,
player,201110230crd,crd,RobeAn00,rush_long,0,,,,,
player,201110230crd,crd,RobeAn00,targets,5,,,,,
player,201110230crd,crd,RobeAn00,rec,1,,,,,
player,201110230crd,crd,RobeAn00,rec_yds,8,,,,,
player,201110230crd,crd,RobeAn00,rec_td,0,,,,,
player,201110230crd,crd,RobeAn00,rec_long,8,,,,,
