game,2011,8,20111030,201110300rav,crd,"Arizona Cardinals",27,rav,"Baltimore Ravens",30
player,201110300rav,crd,StepLa00,rush_yds,17,,,,,
player,201110300rav,crd,StepLa00,rush_td,0,,,,,
player,201110300rav,crd,StepLa00,rush_long,9,,,,,
player,201110300rav,crd,StepLa00,targets,1,,,,,
player,201110300rav,crd,StepLa00,rec,0,,,,,
player,201110300rav,crd,StepLa00,rec_yds,0,,,,,
player,201110300rav,crd,StepLa00,rec_td,0,,,,,
player,201110300rav,crd,StepLa00,rec_long,0,,,,,
player,201110300rav,crd,StepLa00,fumbles,0,,,,,
player,201110300rav,crd,StepLa00,fumbles_lost,,,,,,
player,201110300rav,crd,TaylCh01,pass_cmp,0,,,,,
player,201110300rav,crd,TaylCh01,pass_att,0,,,,,
player,201110300rav,crd,TaylCh01,pass_yds,0,,,,,
player,201110300rav,crd,TaylCh01,pass_td,0,,,,,
player,201110300rav,crd,TaylCh01,pass_int,0,,,,,
player,201110300rav,crd,TaylCh01,pass_sacked,0,,,,,
player,201110300rav,crd,TaylCh01,pass_sacked_yds,0,,,,,
player,201110300rav,crd,TaylCh01,pass_long,0,,,,,
player,201110300rav,crd,TaylCh01,pass_rating,,,,,,
player,201110300rav,crd,TaylCh01,rush_att,1,,,,,
player,201110300rav,crd,TaylCh01,rush_yds,3,,,,,
player,201110300rav,crd,TaylCh01,rush_td,0,,,,,
player,201110300rav,crd,TaylCh01,rush_long,3,,,,,
player,201110300rav,crd,TaylCh01,targets,1,,,,,
player,201110300rav,crd,TaylCh01,rec,1,,,,,
player,201110300rav,crd,TaylCh01,rec_yds,3,,,,,
player,201110300rav,crd,TaylCh01,rec_td,0,,,,,
player,201110300rav,crd,TaylCh01,rec_long,3,,,,,
player,201110300rav,crd,TaylCh01,fumbles,0,,,,,
player,201110300rav,crd,TaylCh01,fumbles_lost,,,,,,
player,201110300rav,crd,SmitAl22,pass_cmp,0,,,,,
player,201110300rav,crd,SmitAl22,pass_att,0,,,,,
player,201110300rav,crd,SmitAl22,pass_yds,0,,,,,
player,201110300rav,crd,SmitAl22,pass_td,0,,,,,
player,201110300rav,crd,SmitAl22,pass_int,0,,,,,
player,201110300rav,crd,SmitAl22,pass_sacked,0,,,,,
player,201110300rav,crd,SmitAl22,pass_sacked_yds,0,,,,,
player,201110300rav,crd,SmitAl22,pass_long,0,,,,,
player,201110300rav,crd,SmitAl22,pass_rating,,,,,,
player,201110300rav,crd,SmitAl22,rush_att,1,,,,,
player,201110300rav,crd,SmitAl22,rush_yds,1,,,,,
player,201110300rav,crd,SmitAl22,rush_td,0,,,,,
player,201110300rav,crd,SmitAl22,rush_long,1,,,,,
player,201110300rav,crd,SmitAl22,targets,0,,,,,
player,201110300rav,crd,SmitAl22,rec,0,,,,,
player,201110300rav,crd,SmitAl22,rec_yds,0,,,,,
player,201110300rav,crd,SmitAl22,rec_td,0,,,,,
player,201110300rav,crd,SmitAl22,rec_long,0,,,,,
player,201110300rav,crd,SmitAl22,fumbles,0,,,,,
player,201110300rav,crd,SmitAl22,fumbles_lost,,,,,,
player,201110300rav,crd,FitzLa00,pass_cmp,0,,,,,
player,201110300rav,crd,FitzLa00,pass_att,0,,,,,
player,201110300rav,crd,FitzLa00,pass_yds,0,,,,,
player,201110300rav,crd,FitzLa00,pass_td,0,,,,,
player,201110300rav,crd,FitzLa00,pass_int,0,,,,,
player,201110300rav,crd,FitzLa00,pass_sacked,0,,,,,
player,201110300rav,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201110300rav,crd,FitzLa00,pass_long,0,,,,,
player,201110300rav,crd,FitzLa00,pass_rating,,,,,,
player,201110300rav,crd,FitzLa00,rush_att,0,,,,,
player,201110300rav,crd,FitzLa00,rush_yds,0,,,,,
player,201110300rav,crd,FitzLa00,rush_td,0,,,,,
player,201110300rav,crd,FitzLa00,rush_long,0,,,,,
player,201110300rav,crd,FitzLa00,targets,5,,,,,
player,201110300rav,crd,FitzLa00,rec,3,,,,,
player,201110300rav,crd,FitzLa00,rec_yds,98,,,,,
player,201110300rav,crd,FitzLa00,rec_td,0,,,,,
player,201110300rav,crd,FitzLa00,rec_long,66,,,,,
player,201110300rav,crd,FitzLa00,fumbles,0,,,,,
player,201110300rav,crd,FitzLa00,fumbles_lost,,,,,,
player,201110300rav,crd,KingJe00,pass_cmp,0,,,,,
player,201110300rav,crd,KingJe00,pass_att,0,,,,,
player,201110300rav,crd,KingJe00,pass_yds,0,,,,,
player,201110300rav,crd,KingJe00,pass_td,0,,,,,
player,201110300rav,crd,KingJe00,pass_int,0,,,,,
player,201110300rav,crd,KingJe00,pass_sacked,0,,,,,
player,201110300rav,crd,KingJe00,pass_sacked_yds,0,,,,,
player,201110300rav,crd,KingJe00,pass_long,0,,,,,
player,201110300rav,crd,KingJe00,pass_rating,,,,,,
player,201110300rav,crd,KingJe00,rush_att,0,,,,,
player,201110300rav,crd,KingJe00,rush_yds,0,,,,,
player,201110300rav,crd,KingJe00,rush_td,0,,,,,
player,201110300rav,crd,KingJe00,rush_long,0,,,,,
player,201110300rav,crd,KingJe00,targets,3,,,,,
player,201110300rav,crd,KingJe00,rec,3,,,,,
player,201110300rav,crd,KingJe00,rec_yds,29,,,,,
player,201110300rav,crd,KingJe00,rec_td,0,,,,,
player,201110300rav,crd,KingJe00,rec_long,18,,,,,
player,201110300rav,crd,KingJe00,fumbles,0,,,,,
player,201110300rav,crd,KingJe00,fumbles_lost,,,,,,
player,201110300rav,crd,DoucEa00,pass_cmp,0,,,,,
player,201110300rav,crd,DoucEa00,pass_att,0,,,,,
player,201110300rav,crd,DoucEa00,pass_yds,0,,,,,
player,201110300rav,crd,DoucEa00,pass_td,0,,,,,
player,201110300rav,crd,DoucEa00,pass_int,0,,,,,
player,201110300rav,crd,DoucEa00,pass_sacked,0,,,,,
player,201110300rav,crd,DoucEa00,pass_sacked_yds,0,,,,,
player,201110300rav,crd,DoucEa00,pass_long,0,,,,,
player,201110300rav,crd,DoucEa00,pass_rating,,,,,,
player,201110300rav,crd,DoucEa00,rush_att,0,,,,,
player,201110300rav,crd,DoucEa00,rush_yds,0,,,,,
player,201110300rav,crd,DoucEa00,rush_td,0,,,,,
player,201110300rav,crd,DoucEa00,rush_long,0,,,,,
player,201110300rav,crd,DoucEa00,targets,6,,,,,
player,201110300rav,crd,DoucEa00,rec,2,,,,,
player,201110300rav,crd,DoucEa00,rec_yds,20,,,,,
player,201110300rav,crd,DoucEa00,rec_td,1,,,,,
player,201110300rav,crd,DoucEa00,rec_long,10,,,,,
player,201110300rav,crd,DoucEa00,fumbles,0,,,,,
player,201110300rav,crd,DoucEa00,fumbles_lost,,,,,,
player,201110300rav,crd,HousRo01,pass_cmp,0,,,,,
player,201110300rav,crd,HousRo01,pass_att,0,,,,,
player,201110300rav,crd,HousRo01,pass_yds,0,,,,,
player,201110300rav,crd,HousRo01,pass_td,0,,,,,
player,201110300rav,crd,HousRo01,pass_int,0,,,,,
player,201110300rav,crd,HousRo01,pass_sacked,0,,,,,
player,201110300rav,crd,HousRo01,pass_sacked_yds,0,,,,,
player,201110300rav,crd,HousRo01,pass_long,0,,,,,
player,201110300rav,crd,HousRo01,pass_rating,,,,,,
player,201110300rav,crd,HousRo01,rush_att,0,,,,,
player,201110300rav,crd,HousRo01,rush_yds,0,,,,,
player,201110300rav,crd,HousRo01,rush_td,0,,,,,
player,201110300rav,crd,HousRo01,rush_long,0,,,,,
player,201110300rav,crd,HousRo01,targets,2,,,,,
player,201110300rav,crd,HousRo01,rec,1,,,,,
player,201110300rav,crd,HousRo01,rec_yds,3,,,,,
player,201110300rav,crd,HousRo01,rec_td,0,,,,,
player,201110300rav,crd,HousRo01,rec_long,3,,,,,
player,201110300rav,crd,HousRo01,fumbles,0,,,,,
player,201110300rav,crd,HousRo01,fumbles_lost,,,,,,
player,201110300rav,crd,RobeAn00,pass_cmp,0,,,,,
player,201110300rav,crd,RobeAn00,pass_att,0,,,,,
player,201110300rav,crd,RobeAn00,pass_yds,0,,,,,
player,201110300rav,crd,RobeAn00,pass_td,0,,,,,
player,201110300rav,crd,RobeAn00,pass_int,0,,,,,
player,201110300rav,crd,RobeAn00,pass_sacked,0,,,,,
player,201110300rav,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201110300rav,crd,RobeAn00,pass_long,0,,,,,
player,201110300rav,crd,RobeAn00,pass_rating,,,,,,
player,201110300rav,crd,RobeAn00,rush_att,0,,,,,
player,201110300rav,crd,RobeAn00,rush_yds,0,,,,,
player,201110300rav,crd,RobeAn00,rush_td,0,,,,,
player,201110300rav,crd,RobeAn00,rush_long,0,,,,,
player,201110300rav,crd,RobeAn00,targets,3,,,,,
player,201110300rav,crd,RobeAn00,rec,0,,,,,
player,201110300rav,crd,RobeAn00,rec_yds,0,,,,,
player,201110300rav,crd,RobeAn00,rec_td,0,,,,,
player,201110300rav,crd,RobeAn00,rec_long,0,,,,,
player,201110300rav,crd,RobeAn00,fumbles,0,,,,,
player,201110300rav,crd,RobeAn00,fumbles_lost,,,,,,
player,201110300rav,rav,FlacJo00,pass_cmp,31,,,,,
player,201110300rav,rav,FlacJo00,pass_att,51,,,,,
player,201110300rav,rav,FlacJo00,pass_yds,336,,,,,
player,201110300rav,rav,FlacJo00,pass_td,0,,,,,
player,201110300rav,rav,FlacJo00,pass_int,1,,,,,
player,201110300rav,rav,FlacJo00,pass_sacked,3,,,,,
player,201110300rav,rav,FlacJo00,pass_sacked_yds,38,,,,,
player,201110300rav,rav,FlacJo00,pass_long,37,,,,,
player,201110300rav,rav,FlacJo00,pass_rating,72.0,,,,,
player,201110300rav,rav,FlacJo00,rush_att,4,,,,,
player,201110300rav,rav,FlacJo00,rush_yds,15,,,,,
player,201110300rav,rav,FlacJo00,rush_td,0,,,,,
player,201110300rav,rav,FlacJo00,rush_long,10,,,,,
player,201110300rav,rav,FlacJo00,targets,0,,,,,
player,201110300rav,rav,FlacJo00,rec,0,,,,,
player,201110300rav,rav,FlacJo00,rec_yds,0,,,,,
player,201110300rav,rav,FlacJo00,rec_td,0,,,,,
player,201110300rav,rav,FlacJo00,rec_long,0,,,,,
player,201110300rav,rav,FlacJo00,fumbles,2,,,,,
player,201110300rav,rav,FlacJo00,fumbles_lost,1,,,,,
player,201110300rav,rav,RiceRa00,pass_cmp,0,,,,,
player,201110300rav,rav,RiceRa00,pass_att,0,,,,,
player,201110300rav,rav,RiceRa00,pass_yds,0,,,,,
player,201110300rav,rav,RiceRa00,pass_td,0,,,,,
player,201110300rav,rav,RiceRa00,pass_int,0,,,,,
player,201110300rav,rav,RiceRa00,pass_sacked,0,,,,,
player,201110300rav,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201110300rav,rav,RiceRa00,pass_long,0,,,,,
player,201110300rav,rav,RiceRa00,pass_rating,,,,,,
player,201110300rav,rav,RiceRa00,rush_att,18,,,,,
player,201110300rav,rav,RiceRa00,rush_yds,63,,,,,
player,201110300rav,rav,RiceRa00,rush_td,3,,,,,
player,201110300rav,rav,RiceRa00,rush_long,12,,,,,
player,201110300rav,rav,RiceRa00,targets,9,,,,,
player,201110300rav,rav,RiceRa00,rec,7,,,,,
player,201110300rav,rav,RiceRa00,rec_yds,36,,,,,
player,201110300rav,rav,RiceRa00,rec_td,0,,,,,
player,201110300rav,rav,RiceRa00,rec_long,9,,,,,
player,201110300rav,rav,RiceRa00,fumbles,0,,,,,
player,201110300rav,rav,RiceRa00,fumbles_lost,,,,,,
player,201110300rav,rav,WillRi00,pass_cmp,0,,,,,
player,201110300rav,rav,WillRi00,pass_att,0,,,,,
player,201110300rav,rav,WillRi00,pass_yds,0,,,,,
player,201110300rav,rav,WillRi00,pass_td,0,,,,,
player,201110300rav,rav,WillRi00,pass_int,0,,,,,
player,201110300rav,rav,WillRi00,pass_sacked,0,,,,,
player,201110300rav,rav,WillRi00,pass_sacked_yds,0,,,,,
player,201110300rav,rav,WillRi00,pass_long,0,,,,,
player,201110300rav,rav,WillRi00,pass_rating,,,,,,
player,201110300rav,rav,WillRi00,rush_att,4,,,,,
player,201110300rav,rav,WillRi00,rush_yds,29,,,,,
player,201110300rav,rav,WillRi00,rush_td,0,,,,,
player,201110300rav,rav,WillRi00,rush_long,24,,,,,
player,201110300rav,rav,WillRi00,targets,2,,,,,
player,201110300rav,rav,WillRi00,rec,2,,,,,
player,201110300rav,rav,WillRi00,rec_yds,8,,,,,
player,201110300rav,rav,WillRi00,rec_td,0,,,,,
player,201110300rav,rav,WillRi00,rec_long,4,,,,,
player,201110300rav,rav,WillRi00,fumbles,0,,,,,
player,201110300rav,rav,WillRi00,fumbles_lost,,,,,,
player,201110300rav,rav,BoldAn00,pass_cmp,0,,,,,
player,201110300rav,rav,BoldAn00,pass_att,0,,,,,
player,201110300rav,rav,BoldAn00,pass_yds,0,,,,,
player,201110300rav,rav,BoldAn00,pass_td,0,,,,,
player,201110300rav,rav,BoldAn00,pass_int,0,,,,,
player,201110300rav,rav,BoldAn00,pass_sacked,0,,,,,
player,201110300rav,rav,BoldAn00,pass_sacked_yds,0,,,,,
player,201110300rav,rav,BoldAn00,pass_long,0,,,,,
player,201110300rav,rav,BoldAn00,pass_rating,,,,,,
player,201110300rav,rav,BoldAn00,rush_att,0,,,,,
player,201110300rav,rav,BoldAn00,rush_yds,0,,,,,
player,201110300rav,rav,BoldAn00,rush_td,0,,,,,
player,201110300rav,rav,BoldAn00,rush_long,0,,,,,
player,201110300rav,rav,BoldAn00,targets,12,,,,,
player,201110300rav,rav,BoldAn00,rec,7,,,,,
player,201110300rav,rav,BoldAn00,rec_yds,145,,,,,
player,201110300rav,rav,BoldAn00,rec_td,0,,,,,
player,201110300rav,rav,BoldAn00,rec_long,37,,,,,
player,201110300rav,rav,BoldAn00,fumbles,0,,,,,
player,201110300rav,rav,BoldAn00,fumbles_lost,,,,,,
player,201110300rav,rav,SmitTo02,pass_cmp,0,,,,,
player,201110300rav,rav,SmitTo02,pass_att,0,,,,,
player,201110300rav,rav,SmitTo02,pass_yds,0,,,,,
player,201110300rav,rav,SmitTo02,pass_td,0,,,,,
player,201110300rav,rav,SmitTo02,pass_int,0,,,,,
player,201110300rav,rav,SmitTo02,pass_sacked,0,,,,,
player,201110300rav,rav,SmitTo02,pass_sacked_yds,0,,,,,
player,201110300rav,rav,SmitTo02,pass_long,0,,,,,
player,201110300rav,rav,SmitTo02,pass_rating,,,,,,
player,201110300rav,rav,SmitTo02,rush_att,0,,,,,
player,201110300rav,rav,SmitTo02,rush_yds,0,,,,,
player,201110300rav,rav,SmitTo02,rush_td,0,,,,,
player,201110300rav,rav,SmitTo02,rush_long,0,,,,,
player,201110300rav,rav,SmitTo02,targets,9,,,,,
player,201110300rav,rav,SmitTo02,rec,3,,,,,
player,201110300rav,rav,SmitTo02,rec_yds,57,,,,,
player,201110300rav,rav,SmitTo02,rec_td,0,,,,,
player,201110300rav,rav,SmitTo02,rec_long,36,,,,,
player,201110300rav,rav,SmitTo02,fumbles,0,,,,,
player,201110300rav,rav,SmitTo02,fumbles_lost,,,,,,
player,201110300rav,rav,DickEd00,pass_cmp,0,,,,,
player,201110300rav,rav,DickEd00,pass_att,0,,,,,
player,201110300rav,rav,DickEd00,pass_yds,0,,,,,
player,201110300rav,rav,DickEd00,pass_td,0,,,,,
player,201110300rav,rav,DickEd00,pass_int,0,,,,,
player,201110300rav,rav,DickEd00,pass_sacked,0,,,,,
player,201110300rav,rav,DickEd00,pass_sacked_yds,0,,,,,
player,201110300rav,rav,DickEd00,pass_long,0,,,,,
player,201110300rav,rav,DickEd00,pass_rating,,,,,,
player,201110300rav,rav,DickEd00,rush_att,0,,,,,
player,201110300rav,rav,DickEd00,rush_yds,0,,,,,
player,201110300rav,rav,DickEd00,rush_td,0,,,,,
player,201110300rav,rav,DickEd00,rush_long,0,,,,,
player,201110300rav,rav,DickEd00,targets,9,,,,,
player,201110300rav,rav,DickEd00,rec,6,,,,,
player,201110300rav,rav,DickEd00,rec_yds,46,,,,,
player,201110300rav,rav,DickEd00,rec_td,0,,,,,
player,201110300rav,rav,DickEd00,rec_long,14,,,,,
player,201110300rav,rav,DickEd00,fumbles,0,,,,,
player,201110300rav,rav,DickEd00,fumbles_lost,,,,,,
player,201110300rav,rav,PittDe00,pass_cmp,0,,,,,
player,201110300rav,rav,PittDe00,pass_att,0,,,,,
player,201110300rav,rav,PittDe00,pass_yds,0,,,,,
player,201110300rav,rav,PittDe00,pass_td,0,,,,,
player,201110300rav,rav,PittDe00,pass_int,0,,,,,
player,201110300rav,rav,PittDe00,pass_sacked,0,,,,,
player,201110300rav,rav,PittDe00,pass_sacked_yds,0,,,,,
player,201110300rav,rav,PittDe00,pass_long,0,,,,,
player,201110300rav,rav,PittDe00,pass_rating,,,,,,
player,201110300rav,rav,PittDe00,rush_att,0,,,,,
player,201110300rav,rav,PittDe00,rush_yds,0,,,,,
player,201110300rav,rav,PittDe00,rush_td,0,,,,,
player,201110300rav,rav,PittDe00,rush_long,0,,,,,
player,201110300rav,rav,PittDe00,targets,8,,,,,
player,201110300rav,rav,PittDe00,rec,6,,,,,
player,201110300rav,rav,PittDe00,rec_yds,44,,,,,
player,201110300rav,rav,PittDe00,rec_td,0,,,,,
player,201110300rav,rav,PittDe00,rec_long,12,,,,,
player,201110300rav,rav,PittDe00,fumbles,0,,,,,
player,201110300rav,rav,PittDe00,fumbles_lost,,,,,,
player,201110300rav,rav,LeacVo00,pass_cmp,0,,,,,
player,201110300rav,rav,LeacVo00,pass_att,0,,,,,
player,201110300rav,rav,LeacVo00,pass_yds,0,,,,,
player,201110300rav,rav,LeacVo00,pass_td,0,,,,,
player,201110300rav,rav,LeacVo00,pass_int,0,,,,,
player,201110300rav,rav,LeacVo00,pass_sacked,0,,,,,
player,201110300rav,rav,LeacVo00,pass_sacked_yds,0,,,,,
player,201110300rav,rav,LeacVo00,pass_long,0,,,,,
player,201110300rav,rav,LeacVo00,pass_rating,,,,,,
player,201110300rav,rav,LeacVo00,rush_att,0,,,,,
player,201110300rav,rav,LeacVo00,rush_yds,0,,,,,
player,201110300rav,rav,LeacVo00,rush_td,0,,,,,
player,201110300rav,rav,LeacVo00,rush_long,0,,,,,
player,201110300rav,rav,LeacVo00,targets,1,,,,,
player,201110300rav,rav,LeacVo00,rec,0,,,,,
player,201110300rav,rav,LeacVo00,rec_yds,0,,,,,
player,201110300rav,rav,LeacVo00,rec_td,0,,,,,
player,201110300rav,rav,LeacVo00,rec_long,0,,,,,
player,201110300rav,rav,LeacVo00,fumbles,0,,,,,
player,201110300rav,rav,LeacVo00,fumbles_lost,,,,,,
player,201110300rav,rav,WillLa01,pass_cmp,0,,,,,
player,201110300rav,rav,WillLa01,pass_att,0,,,,,
player,201110300rav,rav,WillLa01,pass_yds,0,,,,,
player,201110300rav,rav,WillLa01,pass_td,0,,,,,
player,201110300rav,rav,WillLa01,pass_int,0,,,,,
player,201110300rav,rav,WillLa01,pass_sacked,0,,,,,
player,201110300rav,rav,WillLa01,pass_sacked_yds,0,,,,,
player,201110300rav,rav,WillLa01,pass_long,0,,,,,
player,201110300rav,rav,WillLa01,pass_rating,,,,,,
player,201110300rav,rav,WillLa01,rush_att,0,,,,,
player,201110300rav,rav,WillLa01,rush_yds,0,,,,,
player,201110300rav,rav,WillLa01,rush_td,0,,,,,
player,201110300rav,rav,WillLa01,rush_long,0,,,,,
player,201110300rav,rav,WillLa01,targets,1,,,,,
player,201110300rav,rav,WillLa01,rec,0,,,,,
player,201110300rav,rav,WillLa01,rec_yds,0,,,,,
player,201110300rav,rav,WillLa01,rec_td,0,,,,,
player,201110300rav,rav,WillLa01,rec_long,0,,,,,
player,201110300rav,rav,WillLa01,fumbles,0,,,,,
player,201110300rav,rav,WillLa01,fumbles_lost,,,,,,
player,201110300rav,crd,MarsRi20,def_int,1,,,,,
player,201110300rav,crd,MarsRi20,def_int_yds,1,,,,,
player,201110300rav,crd,MarsRi20,def_int_td,0,,,,,
player,201110300rav,crd,MarsRi20,def_int_long,1,,,,,
player,201110300rav,crd,MarsRi20,pass_defended,3,,,,,
player,201110300rav,crd,MarsRi20,sacks,0.0,,,,,
player,201110300rav,crd,MarsRi20,tackles_combined,6,,,,,
player,201110300rav,crd,MarsRi20,tackles_solo,6,,,,,
player,201110300rav,crd,MarsRi20,tackles_assists,0,,,,,
player,201110300rav,crd,MarsRi20,tackles_loss,0,,,,,
player,201110300rav,crd,MarsRi20,qb_hits,0,,,,,
player,201110300rav,crd,MarsRi20,fumbles_rec,0,,,,,
player,201110300rav,crd,MarsRi20,fumbles_rec_yds,0,,,,,
player,201110300rav,crd,MarsRi20,fumbles_rec_td,0,,,,,
player,201110300rav,crd,MarsRi20,fumbles_forced,0,,,,,
player,201110300rav,crd,AchoSa00,def_int,0,,,,,
player,201110300rav,crd,AchoSa00,def_int_yds,0,,,,,
player,201110300rav,crd,AchoSa00,def_int_td,0,,,,,
player,201110300rav,crd,AchoSa00,def_int_long,0,,,,,
player,201110300rav,crd,AchoSa00,pass_defended,0,,,,,
player,201110300rav,crd,AchoSa00,sacks,1.0,,,,,
player,201110300rav,crd,AchoSa00,tackles_combined,5,,,,,
player,201110300rav,crd,AchoSa00,tackles_solo,4,,,,,
player,201110300rav,crd,AchoSa00,tackles_assists,1,,,,,
player,201110300rav,crd,AchoSa00,tackles_loss,0,,,,,
player,201110300rav,crd,AchoSa00,qb_hits,0,,,,,
player,201110300rav,crd,AchoSa00,fumbles_rec,0,,,,,
player,201110300rav,crd,AchoSa00,fumbles_rec_yds,0,,,,,
player,201110300rav,crd,AchoSa00,fumbles_rec_td,0,,,,,
player,201110300rav,crd,AchoSa00,fumbles_forced,1,,,,,
player,201110300rav,crd,SchoOB99,def_int,0,,,,,
player,201110300rav,crd,SchoOB99,def_int_yds,0,,,,,
player,201110300rav,crd,SchoOB99,def_int_td,0,,,,,
player,201110300rav,crd,SchoOB99,def_int_long,0,,,,,
player,201110300rav,crd,SchoOB99,pass_defended,0,,,,,
player,201110300rav,crd,SchoOB99,sacks,1.0,,,,,
player,201110300rav,crd,SchoOB99,tackles_combined,2,,,,,
player,201110300rav,crd,SchoOB99,tackles_solo,2,,,,,
player,201110300rav,crd,SchoOB99,tackles_assists,0,,,,,
player,201110300rav,crd,SchoOB99,tackles_loss,0,,,,,
player,201110300rav,crd,SchoOB99,qb_hits,0,,,,,
player,201110300rav,crd,SchoOB99,fumbles_rec,0,,,,,
player,201110300rav,crd,SchoOB99,fumbles_rec_yds,0,,,,,
player,201110300rav,crd,SchoOB99,fumbles_rec_td,0,,,,,
player,201110300rav,crd,SchoOB99,fumbles_forced,1,,,,,
player,201110300rav,crd,CampCa99,def_int,0,,,,,
player,201110300rav,crd,CampCa99,def_int_yds,0,,,,,
player,201110300rav,crd,CampCa99,def_int_td,0,,,,,
player,201110300rav,crd,CampCa99,def_int_long,0,,,,,
player,201110300rav,crd,CampCa99,pass_defended,0,,,,,
player,201110300rav,crd,CampCa99,sacks,0.5,,,,,
player,201110300rav,crd,CampCa99,tackles_combined,7,,,,,
player,201110300rav,crd,CampCa99,tackles_solo,5,,,,,
player,201110300rav,crd,CampCa99,tackles_assists,2,,,,,
