game,2011,15,20111217,201112170tam,dal,"Dallas Cowboys",31,tam,"Tampa Bay Buccaneers",15
player,201112170tam,dal,WittJa00,rec_td,0,,,,,
player,201112170tam,dal,WittJa00,rec_long,28,,,,,
player,201112170tam,dal,WittJa00,fumbles,0,,,,,
player,201112170tam,dal,WittJa00,fumbles_lost,,,,,,
player,201112170tam,dal,AustMi00,pass_cmp,0,,,,,
player,201112170tam,dal,AustMi00,pass_att,0,,,,,
player,201112170tam,dal,AustMi00,pass_yds,0,,,,,
player,201112170tam,dal,AustMi00,pass_td,0,,,,,
player,201112170tam,dal,AustMi00,pass_int,0,,,,,
player,201112170tam,dal,AustMi00,pass_sacked,0,,,,,
player,201112170tam,dal,AustMi00,pass_sacked_yds,0,,,,,
player,201112170tam,dal,AustMi00,pass_long,0,,,,,
player,201112170tam,dal,AustMi00,pass_rating,,,,,,
player,201112170tam,dal,AustMi00,rush_att,0,,,,,
player,201112170tam,dal,AustMi00,rush_yds,0,,,,,
player,201112170tam,dal,AustMi00,rush_td,0,,,,,
player,201112170tam,dal,AustMi00,rush_long,0,,,,,
player,201112170tam,dal,AustMi00,targets,8,,,,,
player,201112170tam,dal,AustMi00,rec,5,,,,,
player,201112170tam,dal,AustMi00,rec_yds,53,,,,,
player,201112170tam,dal,AustMi00,rec_td,1,,,,,
player,201112170tam,dal,AustMi00,rec_long,19,,,,,
player,201112170tam,dal,AustMi00,fumbles,0,,,,,
player,201112170tam,dal,AustMi00,fumbles_lost,,,,,,
player,201112170tam,dal,BryaDe01,pass_cmp,0,,,,,
player,201112170tam,dal,BryaDe01,pass_att,0,,,,,
player,201112170tam,dal,BryaDe01,pass_yds,0,,,,,
player,201112170tam,dal,BryaDe01,pass_td,0,,,,,
player,201112170tam,dal,BryaDe01,pass_int,0,,,,,
player,201112170tam,dal,BryaDe01,pass_sacked,0,,,,,
player,201112170tam,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201112170tam,dal,BryaDe01,pass_long,0,,,,,
player,201112170tam,dal,BryaDe01,pass_rating,,,,,,
player,201112170tam,dal,BryaDe01,rush_att,0,,,,,
player,201112170tam,dal,BryaDe01,rush_yds,0,,,,,
player,201112170tam,dal,BryaDe01,rush_td,0,,,,,
player,201112170tam,dal,BryaDe01,rush_long,0,,,,,
player,201112170tam,dal,BryaDe01,targets,4,,,,,
player,201112170tam,dal,BryaDe01,rec,4,,,,,
player,201112170tam,dal,BryaDe01,rec_yds,40,,,,,
player,201112170tam,dal,BryaDe01,rec_td,1,,,,,
player,201112170tam,dal,BryaDe01,rec_long,16,,,,,
player,201112170tam,dal,BryaDe01,fumbles,0,,,,,
player,201112170tam,dal,BryaDe01,fumbles_lost,,,,,,
player,201112170tam,dal,RobiLa01,pass_cmp,0,,,,,
player,201112170tam,dal,RobiLa01,pass_att,0,,,,,
player,201112170tam,dal,RobiLa01,pass_yds,0,,,,,
player,201112170tam,dal,RobiLa01,pass_td,0,,,,,
player,201112170tam,dal,RobiLa01,pass_int,0,,,,,
player,201112170tam,dal,RobiLa01,pass_sacked,0,,,,,
player,201112170tam,dal,RobiLa01,pass_sacked_yds,0,,,,,
player,201112170tam,dal,RobiLa01,pass_long,0,,,,,
player,201112170tam,dal,RobiLa01,pass_rating,,,,,,
player,201112170tam,dal,RobiLa01,rush_att,0,,,,,
player,201112170tam,dal,RobiLa01,rush_yds,0,,,,,
player,201112170tam,dal,RobiLa01,rush_td,0,,,,,
player,201112170tam,dal,RobiLa01,rush_long,0,,,,,
player,201112170tam,dal,RobiLa01,targets,3,,,,,
player,201112170tam,dal,RobiLa01,rec,3,,,,,
player,201112170tam,dal,RobiLa01,rec_yds,29,,,,,
player,201112170tam,dal,RobiLa01,rec_td,1,,,,,
player,201112170tam,dal,RobiLa01,rec_long,11,,,,,
player,201112170tam,dal,RobiLa01,fumbles,0,,,,,
player,201112170tam,dal,RobiLa01,fumbles_lost,,,,,,
player,201112170tam,dal,BennMa00,pass_cmp,0,,,,,
player,201112170tam,dal,BennMa00,pass_att,0,,,,,
player,201112170tam,dal,BennMa00,pass_yds,0,,,,,
player,201112170tam,dal,BennMa00,pass_td,0,,,,,
player,201112170tam,dal,BennMa00,pass_int,0,,,,,
player,201112170tam,dal,BennMa00,pass_sacked,0,,,,,
player,201112170tam,dal,BennMa00,pass_sacked_yds,0,,,,,
player,201112170tam,dal,BennMa00,pass_long,0,,,,,
player,201112170tam,dal,BennMa00,pass_rating,,,,,,
player,201112170tam,dal,BennMa00,rush_att,0,,,,,
player,201112170tam,dal,BennMa00,rush_yds,0,,,,,
player,201112170tam,dal,BennMa00,rush_td,0,,,,,
player,201112170tam,dal,BennMa00,rush_long,0,,,,,
player,201112170tam,dal,BennMa00,targets,3,,,,,
player,201112170tam,dal,BennMa00,rec,3,,,,,
player,201112170tam,dal,BennMa00,rec_yds,23,,,,,
player,201112170tam,dal,BennMa00,rec_td,0,,,,,
player,201112170tam,dal,BennMa00,rec_long,11,,,,,
player,201112170tam,dal,BennMa00,fumbles,0,,,,,
player,201112170tam,dal,BennMa00,fumbles_lost,,,,,,
player,201112170tam,dal,OgleKe00,pass_cmp,0,,,,,
player,201112170tam,dal,OgleKe00,pass_att,0,,,,,
player,201112170tam,dal,OgleKe00,pass_yds,0,,,,,
player,201112170tam,dal,OgleKe00,pass_td,0,,,,,
player,201112170tam,dal,OgleKe00,pass_int,0,,,,,
player,201112170tam,dal,OgleKe00,pass_sacked,0,,,,,
player,201112170tam,dal,OgleKe00,pass_sacked_yds,0,,,,,
player,201112170tam,dal,OgleKe00,pass_long,0,,,,,
player,201112170tam,dal,OgleKe00,pass_rating,,,,,,
player,201112170tam,dal,OgleKe00,rush_att,0,,,,,
player,201112170tam,dal,OgleKe00,rush_yds,0,,,,,
player,201112170tam,dal,OgleKe00,rush_td,0,,,,,
player,201112170tam,dal,OgleKe00,rush_long,0,,,,,
player,201112170tam,dal,OgleKe00,targets,1,,,,,
player,201112170tam,dal,OgleKe00,rec,1,,,,,
player,201112170tam,dal,OgleKe00,rec_yds,4,,,,,
player,201112170tam,dal,OgleKe00,rec_td,0,,,,,
player,201112170tam,dal,OgleKe00,rec_long,4,,,,,
player,201112170tam,dal,OgleKe00,fumbles,0,,,,,
player,201112170tam,dal,OgleKe00,fumbles_lost,,,,,,
player,201112170tam,tam,FreeJo00,pass_cmp,17,,,,,
player,201112170tam,tam,FreeJo00,pass_att,27,,,,,
player,201112170tam,tam,FreeJo00,pass_yds,148,,,,,
player,201112170tam,tam,FreeJo00,pass_td,1,,,,,
player,201112170tam,tam,FreeJo00,pass_int,0,,,,,
player,201112170tam,tam,FreeJo00,pass_sacked,3,,,,,
player,201112170tam,tam,FreeJo00,pass_sacked_yds,16,,,,,
player,201112170tam,tam,FreeJo00,pass_long,17,,,,,
player,201112170tam,tam,FreeJo00,pass_rating,89.7,,,,,
player,201112170tam,tam,FreeJo00,rush_att,4,,,,,
player,201112170tam,tam,FreeJo00,rush_yds,37,,,,,
player,201112170tam,tam,FreeJo00,rush_td,0,,,,,
player,201112170tam,tam,FreeJo00,rush_long,25,,,,,
player,201112170tam,tam,FreeJo00,targets,0,,,,,
player,201112170tam,tam,FreeJo00,rec,0,,,,,
player,201112170tam,tam,FreeJo00,rec_yds,0,,,,,
player,201112170tam,tam,FreeJo00,rec_td,0,,,,,
player,201112170tam,tam,FreeJo00,rec_long,0,,,,,
player,201112170tam,tam,FreeJo00,fumbles,1,,,,,
player,201112170tam,tam,FreeJo00,fumbles_lost,1,,,,,
player,201112170tam,tam,BlouLe00,pass_cmp,0,,,,,
player,201112170tam,tam,BlouLe00,pass_att,0,,,,,
player,201112170tam,tam,BlouLe00,pass_yds,0,,,,,
player,201112170tam,tam,BlouLe00,pass_td,0,,,,,
player,201112170tam,tam,BlouLe00,pass_int,0,,,,,
player,201112170tam,tam,BlouLe00,pass_sacked,0,,,,,
player,201112170tam,tam,BlouLe00,pass_sacked_yds,0,,,,,
player,201112170tam,tam,BlouLe00,pass_long,0,,,,,
player,201112170tam,tam,BlouLe00,pass_rating,,,,,,
player,201112170tam,tam,BlouLe00,rush_att,9,,,,,
player,201112170tam,tam,BlouLe00,rush_yds,21,,,,,
player,201112170tam,tam,BlouLe00,rush_td,0,,,,,
player,201112170tam,tam,BlouLe00,rush_long,7,,,,,
player,201112170tam,tam,BlouLe00,targets,0,,,,,
player,201112170tam,tam,BlouLe00,rec,0,,,,,
player,201112170tam,tam,BlouLe00,rec_yds,0,,,,,
player,201112170tam,tam,BlouLe00,rec_td,0,,,,,
player,201112170tam,tam,BlouLe00,rec_long,0,,,,,
player,201112170tam,tam,BlouLe00,fumbles,0,,,,,
player,201112170tam,tam,BlouLe00,fumbles_lost,,,,,,
player,201112170tam,tam,LumpKr00,pass_cmp,0,,,,,
player,201112170tam,tam,LumpKr00,pass_att,0,,,,,
player,201112170tam,tam,LumpKr00,pass_yds,0,,,,,
player,201112170tam,tam,LumpKr00,pass_td,0,,,,,
player,201112170tam,tam,LumpKr00,pass_int,0,,,,,
player,201112170tam,tam,LumpKr00,pass_sacked,0,,,,,
player,201112170tam,tam,LumpKr00,pass_sacked_yds,0,,,,,
player,201112170tam,tam,LumpKr00,pass_long,0,,,,,
player,201112170tam,tam,LumpKr00,pass_rating,,,,,,
player,201112170tam,tam,LumpKr00,rush_att,0,,,,,
player,201112170tam,tam,LumpKr00,rush_yds,0,,,,,
player,201112170tam,tam,LumpKr00,rush_td,0,,,,,
player,201112170tam,tam,LumpKr00,rush_long,0,,,,,
player,201112170tam,tam,LumpKr00,targets,8,,,,,
player,201112170tam,tam,LumpKr00,rec,5,,,,,
player,201112170tam,tam,LumpKr00,rec_yds,50,,,,,
player,201112170tam,tam,LumpKr00,rec_td,0,,,,,
player,201112170tam,tam,LumpKr00,rec_long,14,,,,,
player,201112170tam,tam,LumpKr00,fumbles,0,,,,,
player,201112170tam,tam,LumpKr00,fumbles_lost,,,,,,
player,201112170tam,tam,WinsKe01,pass_cmp,0,,,,,
player,201112170tam,tam,WinsKe01,pass_att,0,,,,,
player,201112170tam,tam,WinsKe01,pass_yds,0,,,,,
player,201112170tam,tam,WinsKe01,pass_td,0,,,,,
player,201112170tam,tam,WinsKe01,pass_int,0,,,,,
player,201112170tam,tam,WinsKe01,pass_sacked,0,,,,,
player,201112170tam,tam,WinsKe01,pass_sacked_yds,0,,,,,
player,201112170tam,tam,WinsKe01,pass_long,0,,,,,
player,201112170tam,tam,WinsKe01,pass_rating,,,,,,
player,201112170tam,tam,WinsKe01,rush_att,0,,,,,
player,201112170tam,tam,WinsKe01,rush_yds,0,,,,,
player,201112170tam,tam,WinsKe01,rush_td,0,,,,,
player,201112170tam,tam,WinsKe01,rush_long,0,,,,,
player,201112170tam,tam,WinsKe01,targets,7,,,,,
player,201112170tam,tam,WinsKe01,rec,4,,,,,
player,201112170tam,tam,WinsKe01,rec_yds,37,,,,,
player,201112170tam,tam,WinsKe01,rec_td,0,,,,,
player,201112170tam,tam,WinsKe01,rec_long,17,,,,,
player,201112170tam,tam,WinsKe01,fumbles,0,,,,,
player,201112170tam,tam,WinsKe01,fumbles_lost,,,,,,
player,201112170tam,tam,BrisDe00,pass_cmp,0,,,,,
player,201112170tam,tam,BrisDe00,pass_att,0,,,,,
player,201112170tam,tam,BrisDe00,pass_yds,0,,,,,
player,201112170tam,tam,BrisDe00,pass_td,0,,,,,
player,201112170tam,tam,BrisDe00,pass_int,0,,,,,
player,201112170tam,tam,BrisDe00,pass_sacked,0,,,,,
player,201112170tam,tam,BrisDe00,pass_sacked_yds,0,,,,,
player,201112170tam,tam,BrisDe00,pass_long,0,,,,,
player,201112170tam,tam,BrisDe00,pass_rating,,,,,,
player,201112170tam,tam,BrisDe00,rush_att,0,,,,,
player,201112170tam,tam,BrisDe00,rush_yds,0,,,,,
player,201112170tam,tam,BrisDe00,rush_td,0,,,,,
player,201112170tam,tam,BrisDe00,rush_long,0,,,,,
player,201112170tam,tam,BrisDe00,targets,3,,,,,
player,201112170tam,tam,BrisDe00,rec,3,,,,,
player,201112170tam,tam,BrisDe00,rec_yds,36,,,,,
player,201112170tam,tam,BrisDe00,rec_td,1,,,,,
player,201112170tam,tam,BrisDe00,rec_long,17,,,,,
player,201112170tam,tam,BrisDe00,fumbles,0,,,,,
player,201112170tam,tam,BrisDe00,fumbles_lost,,,,,,
player,201112170tam,tam,MaduMo00,pass_cmp,0,,,,,
player,201112170tam,tam,MaduMo00,pass_att,0,,,,,
player,201112170tam,tam,MaduMo00,pass_yds,0,,,,,
player,201112170tam,tam,MaduMo00,pass_td,0,,,,,
player,201112170tam,tam,MaduMo00,pass_int,0,,,,,
player,201112170tam,tam,MaduMo00,pass_sacked,0,,,,,
player,201112170tam,tam,MaduMo00,pass_sacked_yds,0,,,,,
player,201112170tam,tam,MaduMo00,pass_long,0,,,,,
player,201112170tam,tam,MaduMo00,pass_rating,,,,,,
player,201112170tam,tam,MaduMo00,rush_att,0,,,,,
player,201112170tam,tam,MaduMo00,rush_yds,0,,,,,
player,201112170tam,tam,MaduMo00,rush_td,0,,,,,
player,201112170tam,tam,MaduMo00,rush_long,0,,,,,
player,201112170tam,tam,MaduMo00,targets,2,,,,,
player,201112170tam,tam,MaduMo00,rec,2,,,,,
player,201112170tam,tam,MaduMo00,rec_yds,8,,,,,
player,201112170tam,tam,MaduMo00,rec_td,0,,,,,
player,201112170tam,tam,MaduMo00,rec_long,9,,,,,
player,201112170tam,tam,MaduMo00,fumbles,0,,,,,
player,201112170tam,tam,MaduMo00,fumbles_lost,,,,,,
player,201112170tam,tam,PianZa00,pass_cmp,0,,,,,
player,201112170tam,tam,PianZa00,pass_att,0,,,,,
player,201112170tam,tam,PianZa00,pass_yds,0,,,,,
player,201112170tam,tam,PianZa00,pass_td,0,,,,,
player,201112170tam,tam,PianZa00,pass_int,0,,,,,
player,201112170tam,tam,PianZa00,pass_sacked,0,,,,,
player,201112170tam,tam,PianZa00,pass_sacked_yds,0,,,,,
player,201112170tam,tam,PianZa00,pass_long,0,,,,,
player,201112170tam,tam,PianZa00,pass_rating,,,,,,
player,201112170tam,tam,PianZa00,rush_att,0,,,,,
player,201112170tam,tam,PianZa00,rush_yds,0,,,,,
player,201112170tam,tam,PianZa00,rush_td,0,,,,,
player,201112170tam,tam,PianZa00,rush_long,0,,,,,
player,201112170tam,tam,PianZa00,targets,1,,,,,
player,201112170tam,tam,PianZa00,rec,1,,,,,
player,201112170tam,tam,PianZa00,rec_yds,7,,,,,
player,201112170tam,tam,PianZa00,rec_td,0,,,,,
player,201112170tam,tam,PianZa00,rec_long,7,,,,,
player,201112170tam,tam,PianZa00,fumbles,0,,,,,
player,201112170tam,tam,PianZa00,fumbles_lost,,,,,,
player,201112170tam,tam,SpurMi00,pass_cmp,0,,,,,
player,201112170tam,tam,SpurMi00,pass_att,0,,,,,
player,201112170tam,tam,SpurMi00,pass_yds,0,,,,,
player,201112170tam,tam,SpurMi00,pass_td,0,,,,,
player,201112170tam,tam,SpurMi00,pass_int,0,,,,,
player,201112170tam,tam,SpurMi00,pass_sacked,0,,,,,
player,201112170tam,tam,SpurMi00,pass_sacked_yds,0,,,,,
player,201112170tam,tam,SpurMi00,pass_long,0,,,,,
player,201112170tam,tam,SpurMi00,pass_rating,,,,,,
player,201112170tam,tam,SpurMi00,rush_att,0,,,,,
player,201112170tam,tam,SpurMi00,rush_yds,0,,,,,
player,201112170tam,tam,SpurMi00,rush_td,0,,,,,
player,201112170tam,tam,SpurMi00,rush_long,0,,,,,
player,201112170tam,tam,SpurMi00,targets,2,,,,,
player,201112170tam,tam,SpurMi00,rec,1,,,,,
player,201112170tam,tam,SpurMi00,rec_yds,6,,,,,
player,201112170tam,tam,SpurMi00,rec_td,0,,,,,
player,201112170tam,tam,SpurMi00,rec_long,6,,,,,
player,201112170tam,tam,SpurMi00,fumbles,0,,,,,
player,201112170tam,tam,SpurMi00,fumbles_lost,,,,,,
player,201112170tam,tam,StocLu00,pass_cmp,0,,,,,
player,201112170tam,tam,StocLu00,pass_att,0,,,,,
player,201112170tam,tam,StocLu00,pass_yds,0,,,,,
player,201112170tam,tam,StocLu00,pass_td,0,,,,,
player,201112170tam,tam,StocLu00,pass_int,0,,,,,
player,201112170tam,tam,StocLu00,pass_sacked,0,,,,,
player,201112170tam,tam,StocLu00,pass_sacked_yds,0,,,,,
player,201112170tam,tam,StocLu00,pass_long,0,,,,,
player,201112170tam,tam,StocLu00,pass_rating,,,,,,
player,201112170tam,tam,StocLu00,rush_att,0,,,,,
player,201112170tam,tam,StocLu00,rush_yds,0,,,,,
player,201112170tam,tam,StocLu00,rush_td,0,,,,,
player,201112170tam,tam,StocLu00,rush_long,0,,,,,
player,201112170tam,tam,StocLu00,targets,1,,,,,
player,201112170tam,tam,StocLu00,rec,1,,,,,
player,201112170tam,tam,StocLu00,rec_yds,4,,,,,
player,201112170tam,tam,StocLu00,rec_td,0,,,,,
player,201112170tam,tam,StocLu00,rec_long,4,,,,,
player,201112170tam,tam,StocLu00,fumbles,0,,,,,
player,201112170tam,tam,StocLu00,fumbles_lost,,,,,,
player,201112170tam,tam,ParkPr00,pass_cmp,0,,,,,
player,201112170tam,tam,ParkPr00,pass_att,0,,,,,
player,201112170tam,tam,ParkPr00,pass_yds,0,,,,,
player,201112170tam,tam,ParkPr00,pass_td,0,,,,,
player,201112170tam,tam,ParkPr00,pass_int,0,,,,,
player,201112170tam,tam,ParkPr00,pass_sacked,0,,,,,
player,201112170tam,tam,ParkPr00,pass_sacked_yds,0,,,,,
player,201112170tam,tam,ParkPr00,pass_long,0,,,,,
player,201112170tam,tam,ParkPr00,pass_rating,,,,,,
player,201112170tam,tam,ParkPr00,rush_att,0,,,,,
player,201112170tam,tam,ParkPr00,rush_yds,0,,,,,
player,201112170tam,tam,ParkPr00,rush_td,0,,,,,
player,201112170tam,tam,ParkPr00,rush_long,0,,,,,
player,201112170tam,tam,ParkPr00,targets,3,,,,,
player,201112170tam,tam,ParkPr00,rec,0,,,,,
player,201112170tam,tam,ParkPr00,rec_yds,0,,,,,
player,201112170tam,tam,ParkPr00,rec_td,0,,,,,
player,201112170tam,tam,ParkPr00,rec_long,0,,,,,
player,201112170tam,tam,ParkPr00,fumbles,0,,,,,
player,201112170tam,tam,ParkPr00,fumbles_lost,,,,,,
player,201112170tam,dal,ScanOr99,def_int,0,,,,,
player,201112170tam,dal,ScanOr99,def_int_yds,0,,,,,
player,201112170tam,dal,ScanOr99,def_int_td,0,,,,,
player,201112170tam,dal,ScanOr99,def_int_long,0,,,,,
player,201112170tam,dal,ScanOr99,pass_defended,0,,,,,
player,201112170tam,dal,ScanOr99,sacks,1.0,,,,,
player,201112170tam,dal,ScanOr99,tackles_combined,6,,,,,
player,201112170tam,dal,ScanOr99,tackles_solo,5,,,,,
player,201112170tam,dal,ScanOr99,tackles_assists,1,,,,,
player,201112170tam,dal,ScanOr99,tackles_loss,1,,,,,
player,201112170tam,dal,ScanOr99,qb_hits,1,,,,,
player,201112170tam,dal,ScanOr99,fumbles_rec,0,,,,,
player,201112170tam,dal,ScanOr99,fumbles_rec_yds,0,,,,,
player,201112170tam,dal,ScanOr99,fumbles_rec_td,0,,,,,
player,201112170tam,dal,ScanOr99,fumbles_forced,0,,,,,
player,201112170tam,dal,WareDe99,def_int,0,,,,,
player,201112170tam,dal,WareDe99,def_int_yds,0,,,,,
player,201112170tam,dal,WareDe99,def_int_td,0,,,,,
player,201112170tam,dal,WareDe99,def_int_long,0,,,,,
player,201112170tam,dal,WareDe99,pass_defended,0,,,,,
player,201112170tam,dal,WareDe99,sacks,1.0,,,,,
player,201112170tam,dal,WareDe99,tackles_combined,3,,,,,
player,201112170tam,dal,WareDe99,tackles_solo,3,,,,,
player,201112170tam,dal,WareDe99,tackles_assists,0,,,,,
player,201112170tam,dal,WareDe99,tackles_loss,1,,,,,
player,201112170tam,dal,WareDe99,qb_hits,1,,,,,
player,201112170tam,dal,WareDe99,fumbles_rec,0,,,,,
player,201112170tam,dal,WareDe99,fumbles_rec_yds,0,,,,,
player,201112170tam,dal,WareDe99,fumbles_rec_td,0,,,,,
player,201112170tam,dal,WareDe99,fumbles_forced,0,,,,,
player,201112170tam,dal,LissSe99,def_int,0,,,,,
player,201112170tam,dal,LissSe99,def_int_yds,0,,,,,
player,201112170tam,dal,LissSe99,def_int_td,0,,,,,
player,201112170tam,dal,LissSe99,def_int_long,0,,,,,
player,201112170tam,dal,LissSe99,pass_defended,0,,,,,
player,201112170tam,dal,LissSe99,sacks,1.0,,,,,
player,201112170tam,dal,LissSe99,tackles_combined,1,,,,,
player,201112170tam,dal,LissSe99,tackles_solo,1,,,,,
player,201112170tam,dal,LissSe99,tackles_assists,0,,,,,
player,201112170tam,dal,LissSe99,tackles_loss,1,,,,,
player,201112170tam,dal,LissSe99,qb_hits,1,,,,,
player,201112170tam,dal,LissSe99,fumbles_rec,0,,,,,
player,201112170tam,dal,LissSe99,fumbles_rec_yds,0,,,,,
player,201112170tam,dal,LissSe99,fumbles_rec_td,0,,,,,
player,201112170tam,dal,LissSe99,fumbles_forced,0,,,,,
player,201112170tam,dal,SpenAn99,def_int,0,,,,,
player,201112170tam,dal,SpenAn99,def_int_yds,0,,,,,
player,201112170tam,dal,SpenAn99,def_int_td,0,,,,,
player,201112170tam,dal,SpenAn99,def_int_long,0,,,,,
player,201112170tam,dal,SpenAn99,pass_defended,0,,,,,
player,201112170tam,dal,SpenAn99,sacks,0.0,,,,,
player,201112170tam,dal,SpenAn99,tackles_combined,5,,,,,
player,201112170tam,dal,SpenAn99,tackles_solo,5,,,,,
