game,2011,4,20111002,201110020ram,was,"Washington Redskins",17,ram,"St. Louis Rams",10
player,201110020ram,was,GrosRe00,rec,0,,,,,
player,201110020ram,was,GrosRe00,rec_yds,0,,,,,
player,201110020ram,was,GrosRe00,rec_td,0,,,,,
player,201110020ram,was,GrosRe00,rec_long,0,,,,,
player,201110020ram,was,GrosRe00,fumbles,0,,,,,
player,201110020ram,was,GrosRe00,fumbles_lost,0,,,,,
player,201110020ram,was,ToraRy00,pass_cmp,0,,,,,
player,201110020ram,was,ToraRy00,pass_att,0,,,,,
player,201110020ram,was,ToraRy00,pass_yds,0,,,,,
player,201110020ram,was,ToraRy00,pass_td,0,,,,,
player,201110020ram,was,ToraRy00,pass_int,0,,,,,
player,201110020ram,was,ToraRy00,pass_sacked,0,,,,,
player,201110020ram,was,ToraRy00,pass_sacked_yds,0,,,,,
player,201110020ram,was,ToraRy00,pass_long,0,,,,,
player,201110020ram,was,ToraRy00,pass_rating,,,,,,
player,201110020ram,was,ToraRy00,rush_att,19,,,,,
player,201110020ram,was,ToraRy00,rush_yds,135,,,,,
player,201110020ram,was,ToraRy00,rush_td,1,,,,,
player,201110020ram,was,ToraRy00,rush_long,39,,,,,
player,201110020ram,was,ToraRy00,targets,0,,,,,
player,201110020ram,was,ToraRy00,rec,0,,,,,
player,201110020ram,was,ToraRy00,rec_yds,0,,,,,
player,201110020ram,was,ToraRy00,rec_td,0,,,,,
player,201110020ram,was,ToraRy00,rec_long,0,,,,,
player,201110020ram,was,ToraRy00,fumbles,1,,,,,
player,201110020ram,was,ToraRy00,fumbles_lost,0,,,,,
player,201110020ram,was,HeluRo00,pass_cmp,0,,,,,
player,201110020ram,was,HeluRo00,pass_att,0,,,,,
player,201110020ram,was,HeluRo00,pass_yds,0,,,,,
player,201110020ram,was,HeluRo00,pass_td,0,,,,,
player,201110020ram,was,HeluRo00,pass_int,0,,,,,
player,201110020ram,was,HeluRo00,pass_sacked,0,,,,,
player,201110020ram,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201110020ram,was,HeluRo00,pass_long,0,,,,,
player,201110020ram,was,HeluRo00,pass_rating,,,,,,
player,201110020ram,was,HeluRo00,rush_att,8,,,,,
player,201110020ram,was,HeluRo00,rush_yds,35,,,,,
player,201110020ram,was,HeluRo00,rush_td,0,,,,,
player,201110020ram,was,HeluRo00,rush_long,9,,,,,
player,201110020ram,was,HeluRo00,targets,0,,,,,
player,201110020ram,was,HeluRo00,rec,0,,,,,
player,201110020ram,was,HeluRo00,rec_yds,0,,,,,
player,201110020ram,was,HeluRo00,rec_td,0,,,,,
player,201110020ram,was,HeluRo00,rec_long,0,,,,,
player,201110020ram,was,HeluRo00,fumbles,0,,,,,
player,201110020ram,was,HeluRo00,fumbles_lost,,,,,,
player,201110020ram,was,HighTi00,pass_cmp,0,,,,,
player,201110020ram,was,HighTi00,pass_att,0,,,,,
player,201110020ram,was,HighTi00,pass_yds,0,,,,,
player,201110020ram,was,HighTi00,pass_td,0,,,,,
player,201110020ram,was,HighTi00,pass_int,0,,,,,
player,201110020ram,was,HighTi00,pass_sacked,0,,,,,
player,201110020ram,was,HighTi00,pass_sacked_yds,0,,,,,
player,201110020ram,was,HighTi00,pass_long,0,,,,,
player,201110020ram,was,HighTi00,pass_rating,,,,,,
player,201110020ram,was,HighTi00,rush_att,8,,,,,
player,201110020ram,was,HighTi00,rush_yds,24,,,,,
player,201110020ram,was,HighTi00,rush_td,0,,,,,
player,201110020ram,was,HighTi00,rush_long,9,,,,,
player,201110020ram,was,HighTi00,targets,3,,,,,
player,201110020ram,was,HighTi00,rec,1,,,,,
player,201110020ram,was,HighTi00,rec_yds,4,,,,,
player,201110020ram,was,HighTi00,rec_td,0,,,,,
player,201110020ram,was,HighTi00,rec_long,4,,,,,
player,201110020ram,was,HighTi00,fumbles,0,,,,,
player,201110020ram,was,HighTi00,fumbles_lost,,,,,,
player,201110020ram,was,GaffJa00,pass_cmp,0,,,,,
player,201110020ram,was,GaffJa00,pass_att,0,,,,,
player,201110020ram,was,GaffJa00,pass_yds,0,,,,,
player,201110020ram,was,GaffJa00,pass_td,0,,,,,
player,201110020ram,was,GaffJa00,pass_int,0,,,,,
player,201110020ram,was,GaffJa00,pass_sacked,0,,,,,
player,201110020ram,was,GaffJa00,pass_sacked_yds,0,,,,,
player,201110020ram,was,GaffJa00,pass_long,0,,,,,
player,201110020ram,was,GaffJa00,pass_rating,,,,,,
player,201110020ram,was,GaffJa00,rush_att,0,,,,,
player,201110020ram,was,GaffJa00,rush_yds,0,,,,,
player,201110020ram,was,GaffJa00,rush_td,0,,,,,
player,201110020ram,was,GaffJa00,rush_long,0,,,,,
player,201110020ram,was,GaffJa00,targets,4,,,,,
player,201110020ram,was,GaffJa00,rec,4,,,,,
player,201110020ram,was,GaffJa00,rec_yds,62,,,,,
player,201110020ram,was,GaffJa00,rec_td,0,,,,,
player,201110020ram,was,GaffJa00,rec_long,20,,,,,
player,201110020ram,was,GaffJa00,fumbles,0,,,,,
player,201110020ram,was,GaffJa00,fumbles_lost,,,,,,
player,201110020ram,was,MossSa00,pass_cmp,0,,,,,
player,201110020ram,was,MossSa00,pass_att,0,,,,,
player,201110020ram,was,MossSa00,pass_yds,0,,,,,
player,201110020ram,was,MossSa00,pass_td,0,,,,,
player,201110020ram,was,MossSa00,pass_int,0,,,,,
player,201110020ram,was,MossSa00,pass_sacked,0,,,,,
player,201110020ram,was,MossSa00,pass_sacked_yds,0,,,,,
player,201110020ram,was,MossSa00,pass_long,0,,,,,
player,201110020ram,was,MossSa00,pass_rating,,,,,,
player,201110020ram,was,MossSa00,rush_att,0,,,,,
player,201110020ram,was,MossSa00,rush_yds,0,,,,,
player,201110020ram,was,MossSa00,rush_td,0,,,,,
player,201110020ram,was,MossSa00,rush_long,0,,,,,
player,201110020ram,was,MossSa00,targets,10,,,,,
player,201110020ram,was,MossSa00,rec,5,,,,,
player,201110020ram,was,MossSa00,rec_yds,39,,,,,
player,201110020ram,was,MossSa00,rec_td,1,,,,,
player,201110020ram,was,MossSa00,rec_long,13,,,,,
player,201110020ram,was,MossSa00,fumbles,0,,,,,
player,201110020ram,was,MossSa00,fumbles_lost,,,,,,
player,201110020ram,was,DaviFr01,pass_cmp,0,,,,,
player,201110020ram,was,DaviFr01,pass_att,0,,,,,
player,201110020ram,was,DaviFr01,pass_yds,0,,,,,
player,201110020ram,was,DaviFr01,pass_td,0,,,,,
player,201110020ram,was,DaviFr01,pass_int,0,,,,,
player,201110020ram,was,DaviFr01,pass_sacked,0,,,,,
player,201110020ram,was,DaviFr01,pass_sacked_yds,0,,,,,
player,201110020ram,was,DaviFr01,pass_long,0,,,,,
player,201110020ram,was,DaviFr01,pass_rating,,,,,,
player,201110020ram,was,DaviFr01,rush_att,0,,,,,
player,201110020ram,was,DaviFr01,rush_yds,0,,,,,
player,201110020ram,was,DaviFr01,rush_td,0,,,,,
player,201110020ram,was,DaviFr01,rush_long,0,,,,,
player,201110020ram,was,DaviFr01,targets,6,,,,,
player,201110020ram,was,DaviFr01,rec,4,,,,,
player,201110020ram,was,DaviFr01,rec_yds,34,,,,,
player,201110020ram,was,DaviFr01,rec_td,0,,,,,
player,201110020ram,was,DaviFr01,rec_long,13,,,,,
player,201110020ram,was,DaviFr01,fumbles,0,,,,,
player,201110020ram,was,DaviFr01,fumbles_lost,,,,,,
