game,2011,4,20111003,201110030tam,clt,"Indianapolis Colts",17,tam,"Tampa Bay Buccaneers",24
player,201110030tam,clt,ClarDa00,rec_td,0,,,,,
player,201110030tam,clt,ClarDa00,rec_long,21,,,,,
player,201110030tam,clt,ClarDa00,fumbles,0,,,,,
player,201110030tam,clt,ClarDa00,fumbles_lost,,,,,,
player,201110030tam,clt,CollAu00,pass_cmp,0,,,,,
player,201110030tam,clt,CollAu00,pass_att,0,,,,,
player,201110030tam,clt,CollAu00,pass_yds,0,,,,,
player,201110030tam,clt,CollAu00,pass_td,0,,,,,
player,201110030tam,clt,CollAu00,pass_int,0,,,,,
player,201110030tam,clt,CollAu00,pass_sacked,0,,,,,
player,201110030tam,clt,CollAu00,pass_sacked_yds,0,,,,,
player,201110030tam,clt,CollAu00,pass_long,0,,,,,
player,201110030tam,clt,CollAu00,pass_rating,,,,,,
player,201110030tam,clt,CollAu00,rush_att,0,,,,,
player,201110030tam,clt,CollAu00,rush_yds,0,,,,,
player,201110030tam,clt,CollAu00,rush_td,0,,,,,
player,201110030tam,clt,CollAu00,rush_long,0,,,,,
player,201110030tam,clt,CollAu00,targets,7,,,,,
player,201110030tam,clt,CollAu00,rec,2,,,,,
player,201110030tam,clt,CollAu00,rec_yds,16,,,,,
player,201110030tam,clt,CollAu00,rec_td,0,,,,,
player,201110030tam,clt,CollAu00,rec_long,11,,,,,
player,201110030tam,clt,CollAu00,fumbles,0,,,,,
player,201110030tam,clt,CollAu00,fumbles_lost,,,,,,
player,201110030tam,clt,EldrBr00,pass_cmp,0,,,,,
player,201110030tam,clt,EldrBr00,pass_att,0,,,,,
player,201110030tam,clt,EldrBr00,pass_yds,0,,,,,
player,201110030tam,clt,EldrBr00,pass_td,0,,,,,
player,201110030tam,clt,EldrBr00,pass_int,0,,,,,
player,201110030tam,clt,EldrBr00,pass_sacked,0,,,,,
player,201110030tam,clt,EldrBr00,pass_sacked_yds,0,,,,,
player,201110030tam,clt,EldrBr00,pass_long,0,,,,,
player,201110030tam,clt,EldrBr00,pass_rating,,,,,,
player,201110030tam,clt,EldrBr00,rush_att,0,,,,,
player,201110030tam,clt,EldrBr00,rush_yds,0,,,,,
player,201110030tam,clt,EldrBr00,rush_td,0,,,,,
player,201110030tam,clt,EldrBr00,rush_long,0,,,,,
player,201110030tam,clt,EldrBr00,targets,1,,,,,
player,201110030tam,clt,EldrBr00,rec,1,,,,,
player,201110030tam,clt,EldrBr00,rec_yds,7,,,,,
player,201110030tam,clt,EldrBr00,rec_td,0,,,,,
player,201110030tam,clt,EldrBr00,rec_long,7,,,,,
player,201110030tam,clt,EldrBr00,fumbles,0,,,,,
player,201110030tam,clt,EldrBr00,fumbles_lost,1,,,,,
player,201110030tam,tam,FreeJo00,pass_cmp,25,,,,,
player,201110030tam,tam,FreeJo00,pass_att,39,,,,,
player,201110030tam,tam,FreeJo00,pass_yds,287,,,,,
player,201110030tam,tam,FreeJo00,pass_td,1,,,,,
player,201110030tam,tam,FreeJo00,pass_int,0,,,,,
player,201110030tam,tam,FreeJo00,pass_sacked,2,,,,,
player,201110030tam,tam,FreeJo00,pass_sacked_yds,13,,,,,
player,201110030tam,tam,FreeJo00,pass_long,43,,,,,
player,201110030tam,tam,FreeJo00,pass_rating,94.7,,,,,
player,201110030tam,tam,FreeJo00,rush_att,6,,,,,
player,201110030tam,tam,FreeJo00,rush_yds,27,,,,,
