game,2011,2,20110918,201109180nyj,jax,"Jacksonville Jaguars",3,nyj,"New York Jets",32
player,201109180nyj,jax,KariDe00,targets,1,,,,,
player,201109180nyj,jax,KariDe00,rec,1,,,,,
player,201109180nyj,jax,KariDe00,rec_yds,10,,,,,
player,201109180nyj,jax,KariDe00,rec_td,0,,,,,
player,201109180nyj,jax,KariDe00,rec_long,10,,,,,
player,201109180nyj,jax,KariDe00,fumbles,0,,,,,
player,201109180nyj,jax,KariDe00,fumbles_lost,,,,,,
player,201109180nyj,jax,BoleBr00,pass_cmp,0,,,,,
player,201109180nyj,jax,BoleBr00,pass_att,0,,,,,
player,201109180nyj,jax,BoleBr00,pass_yds,0,,,,,
player,201109180nyj,jax,BoleBr00,pass_td,0,,,,,
player,201109180nyj,jax,BoleBr00,pass_int,0,,,,,
player,201109180nyj,jax,BoleBr00,pass_sacked,0,,,,,
player,201109180nyj,jax,BoleBr00,pass_sacked_yds,0,,,,,
player,201109180nyj,jax,BoleBr00,pass_long,0,,,,,
player,201109180nyj,jax,BoleBr00,pass_rating,,,,,,
player,201109180nyj,jax,BoleBr00,rush_att,1,,,,,
player,201109180nyj,jax,BoleBr00,rush_yds,4,,,,,
player,201109180nyj,jax,BoleBr00,rush_td,0,,,,,
player,201109180nyj,jax,BoleBr00,rush_long,4,,,,,
player,201109180nyj,jax,BoleBr00,targets,0,,,,,
player,201109180nyj,jax,BoleBr00,rec,0,,,,,
player,201109180nyj,jax,BoleBr00,rec_yds,0,,,,,
player,201109180nyj,jax,BoleBr00,rec_td,0,,,,,
player,201109180nyj,jax,BoleBr00,rec_long,0,,,,,
player,201109180nyj,jax,BoleBr00,fumbles,0,,,,,
player,201109180nyj,jax,BoleBr00,fumbles_lost,,,,,,
player,201109180nyj,jax,ThomMi01,pass_cmp,0,,,,,
player,201109180nyj,jax,ThomMi01,pass_att,0,,,,,
player,201109180nyj,jax,ThomMi01,pass_yds,0,,,,,
player,201109180nyj,jax,ThomMi01,pass_td,0,,,,,
player,201109180nyj,jax,ThomMi01,pass_int,0,,,,,
player,201109180nyj,jax,ThomMi01,pass_sacked,0,,,,,
player,201109180nyj,jax,ThomMi01,pass_sacked_yds,0,,,,,
player,201109180nyj,jax,ThomMi01,pass_long,0,,,,,
player,201109180nyj,jax,ThomMi01,pass_rating,,,,,,
player,201109180nyj,jax,ThomMi01,rush_att,0,,,,,
player,201109180nyj,jax,ThomMi01,rush_yds,0,,,,,
player,201109180nyj,jax,ThomMi01,rush_td,0,,,,,
player,201109180nyj,jax,ThomMi01,rush_long,0,,,,,
player,201109180nyj,jax,ThomMi01,targets,10,,,,,
player,201109180nyj,jax,ThomMi01,rec,3,,,,,
player,201109180nyj,jax,ThomMi01,rec_yds,29,,,,,
player,201109180nyj,jax,ThomMi01,rec_td,0,,,,,
player,201109180nyj,jax,ThomMi01,rec_long,19,,,,,
player,201109180nyj,jax,ThomMi01,fumbles,0,,,,,
player,201109180nyj,jax,ThomMi01,fumbles_lost,,,,,,
player,201109180nyj,jax,MillZa02,pass_cmp,0,,,,,
player,201109180nyj,jax,MillZa02,pass_att,0,,,,,
player,201109180nyj,jax,MillZa02,pass_yds,0,,,,,
player,201109180nyj,jax,MillZa02,pass_td,0,,,,,
player,201109180nyj,jax,MillZa02,pass_int,0,,,,,
player,201109180nyj,jax,MillZa02,pass_sacked,0,,,,,
player,201109180nyj,jax,MillZa02,pass_sacked_yds,0,,,,,
player,201109180nyj,jax,MillZa02,pass_long,0,,,,,
player,201109180nyj,jax,MillZa02,pass_rating,,,,,,
player,201109180nyj,jax,MillZa02,rush_att,0,,,,,
player,201109180nyj,jax,MillZa02,rush_yds,0,,,,,
player,201109180nyj,jax,MillZa02,rush_td,0,,,,,
player,201109180nyj,jax,MillZa02,rush_long,0,,,,,
player,201109180nyj,jax,MillZa02,targets,4,,,,,
player,201109180nyj,jax,MillZa02,rec,3,,,,,
player,201109180nyj,jax,MillZa02,rec_yds,28,,,,,
player,201109180nyj,jax,MillZa02,rec_td,0,,,,,
player,201109180nyj,jax,MillZa02,rec_long,14,,,,,
player,201109180nyj,jax,MillZa02,fumbles,0,,,,,
player,201109180nyj,jax,MillZa02,fumbles_lost,,,,,,
player,201109180nyj,jax,DillJa00,pass_cmp,0,,,,,
player,201109180nyj,jax,DillJa00,pass_att,0,,,,,
player,201109180nyj,jax,DillJa00,pass_yds,0,,,,,
player,201109180nyj,jax,DillJa00,pass_td,0,,,,,
player,201109180nyj,jax,DillJa00,pass_int,0,,,,,
player,201109180nyj,jax,DillJa00,pass_sacked,0,,,,,
player,201109180nyj,jax,DillJa00,pass_sacked_yds,0,,,,,
player,201109180nyj,jax,DillJa00,pass_long,0,,,,,
player,201109180nyj,jax,DillJa00,pass_rating,,,,,,
player,201109180nyj,jax,DillJa00,rush_att,0,,,,,
player,201109180nyj,jax,DillJa00,rush_yds,0,,,,,
player,201109180nyj,jax,DillJa00,rush_td,0,,,,,
player,201109180nyj,jax,DillJa00,rush_long,0,,,,,
player,201109180nyj,jax,DillJa00,targets,2,,,,,
player,201109180nyj,jax,DillJa00,rec,1,,,,,
player,201109180nyj,jax,DillJa00,rec_yds,25,,,,,
player,201109180nyj,jax,DillJa00,rec_td,0,,,,,
player,201109180nyj,jax,DillJa00,rec_long,25,,,,,
player,201109180nyj,jax,DillJa00,fumbles,0,,,,,
player,201109180nyj,jax,DillJa00,fumbles_lost,,,,,,
player,201109180nyj,jax,JoneGr01,pass_cmp,0,,,,,
player,201109180nyj,jax,JoneGr01,pass_att,0,,,,,
player,201109180nyj,jax,JoneGr01,pass_yds,0,,,,,
player,201109180nyj,jax,JoneGr01,pass_td,0,,,,,
player,201109180nyj,jax,JoneGr01,pass_int,0,,,,,
player,201109180nyj,jax,JoneGr01,pass_sacked,0,,,,,
player,201109180nyj,jax,JoneGr01,pass_sacked_yds,0,,,,,
player,201109180nyj,jax,JoneGr01,pass_long,0,,,,,
player,201109180nyj,jax,JoneGr01,pass_rating,,,,,,
player,201109180nyj,jax,JoneGr01,rush_att,0,,,,,
player,201109180nyj,jax,JoneGr01,rush_yds,0,,,,,
player,201109180nyj,jax,JoneGr01,rush_td,0,,,,,
player,201109180nyj,jax,JoneGr01,rush_long,0,,,,,
player,201109180nyj,jax,JoneGr01,targets,1,,,,,
player,201109180nyj,jax,JoneGr01,rec,0,,,,,
player,201109180nyj,jax,JoneGr01,rec_yds,0,,,,,
player,201109180nyj,jax,JoneGr01,rec_td,0,,,,,
player,201109180nyj,jax,JoneGr01,rec_long,0,,,,,
player,201109180nyj,jax,JoneGr01,fumbles,0,,,,,
player,201109180nyj,jax,JoneGr01,fumbles_lost,,,,,,
player,201109180nyj,jax,NewsJa00,pass_cmp,0,,,,,
player,201109180nyj,jax,NewsJa00,pass_att,0,,,,,
player,201109180nyj,jax,NewsJa00,pass_yds,0,,,,,
player,201109180nyj,jax,NewsJa00,pass_td,0,,,,,
player,201109180nyj,jax,NewsJa00,pass_int,0,,,,,
player,201109180nyj,jax,NewsJa00,pass_sacked,0,,,,,
player,201109180nyj,jax,NewsJa00,pass_sacked_yds,0,,,,,
player,201109180nyj,jax,NewsJa00,pass_long,0,,,,,
player,201109180nyj,jax,NewsJa00,pass_rating,,,,,,
player,201109180nyj,jax,NewsJa00,rush_att,0,,,,,
player,201109180nyj,jax,NewsJa00,rush_yds,0,,,,,
player,201109180nyj,jax,NewsJa00,rush_td,0,,,,,
player,201109180nyj,jax,NewsJa00,rush_long,0,,,,,
player,201109180nyj,jax,NewsJa00,targets,1,,,,,
player,201109180nyj,jax,NewsJa00,rec,0,,,,,
player,201109180nyj,jax,NewsJa00,rec_yds,0,,,,,
player,201109180nyj,jax,NewsJa00,rec_td,0,,,,,
player,201109180nyj,jax,NewsJa00,rec_long,0,,,,,
player,201109180nyj,jax,NewsJa00,fumbles,0,,,,,
player,201109180nyj,jax,NewsJa00,fumbles_lost,,,,,,
player,201109180nyj,jax,ShorCe00,pass_cmp,0,,,,,
player,201109180nyj,jax,ShorCe00,pass_att,0,,,,,
player,201109180nyj,jax,ShorCe00,pass_yds,0,,,,,
player,201109180nyj,jax,ShorCe00,pass_td,0,,,,,
player,201109180nyj,jax,ShorCe00,pass_int,0,,,,,
player,201109180nyj,jax,ShorCe00,pass_sacked,0,,,,,
player,201109180nyj,jax,ShorCe00,pass_sacked_yds,0,,,,,
player,201109180nyj,jax,ShorCe00,pass_long,0,,,,,
player,201109180nyj,jax,ShorCe00,pass_rating,,,,,,
player,201109180nyj,jax,ShorCe00,rush_att,0,,,,,
player,201109180nyj,jax,ShorCe00,rush_yds,0,,,,,
player,201109180nyj,jax,ShorCe00,rush_td,0,,,,,
player,201109180nyj,jax,ShorCe00,rush_long,0,,,,,
player,201109180nyj,jax,ShorCe00,targets,1,,,,,
player,201109180nyj,jax,ShorCe00,rec,0,,,,,
player,201109180nyj,jax,ShorCe00,rec_yds,0,,,,,
player,201109180nyj,jax,ShorCe00,rec_td,0,,,,,
player,201109180nyj,jax,ShorCe00,rec_long,0,,,,,
player,201109180nyj,jax,ShorCe00,fumbles,0,,,,,
player,201109180nyj,jax,ShorCe00,fumbles_lost,,,,,,
player,201109180nyj,jax,OsgoKa00,pass_cmp,0,,,,,
player,201109180nyj,jax,OsgoKa00,pass_att,0,,,,,
player,201109180nyj,jax,OsgoKa00,pass_yds,0,,,,,
player,201109180nyj,jax,OsgoKa00,pass_td,0,,,,,
player,201109180nyj,jax,OsgoKa00,pass_int,0,,,,,
player,201109180nyj,jax,OsgoKa00,pass_sacked,0,,,,,
player,201109180nyj,jax,OsgoKa00,pass_sacked_yds,0,,,,,
player,201109180nyj,jax,OsgoKa00,pass_long,0,,,,,
player,201109180nyj,jax,OsgoKa00,pass_rating,,,,,,
player,201109180nyj,jax,OsgoKa00,rush_att,0,,,,,
player,201109180nyj,jax,OsgoKa00,rush_yds,0,,,,,
player,201109180nyj,jax,OsgoKa00,rush_td,0,,,,,
player,201109180nyj,jax,OsgoKa00,rush_long,0,,,,,
player,201109180nyj,jax,OsgoKa00,targets,1,,,,,
player,201109180nyj,jax,OsgoKa00,rec,0,,,,,
player,201109180nyj,jax,OsgoKa00,rec_yds,0,,,,,
player,201109180nyj,jax,OsgoKa00,rec_td,0,,,,,
player,201109180nyj,jax,OsgoKa00,rec_long,0,,,,,
player,201109180nyj,jax,OsgoKa00,fumbles,0,,,,,
player,201109180nyj,jax,OsgoKa00,fumbles_lost,,,,,,
player,201109180nyj,nyj,SancMa00,pass_cmp,17,,,,,
player,201109180nyj,nyj,SancMa00,pass_att,24,,,,,
player,201109180nyj,nyj,SancMa00,pass_yds,182,,,,,
player,201109180nyj,nyj,SancMa00,pass_td,2,,,,,
player,201109180nyj,nyj,SancMa00,pass_int,2,,,,,
player,201109180nyj,nyj,SancMa00,pass_sacked,1,,,,,
player,201109180nyj,nyj,SancMa00,pass_sacked_yds,0,,,,,
player,201109180nyj,nyj,SancMa00,pass_long,37,,,,,
player,201109180nyj,nyj,SancMa00,pass_rating,85.8,,,,,
player,201109180nyj,nyj,SancMa00,rush_att,3,,,,,
player,201109180nyj,nyj,SancMa00,rush_yds,29,,,,,
player,201109180nyj,nyj,SancMa00,rush_td,0,,,,,
player,201109180nyj,nyj,SancMa00,rush_long,17,,,,,
player,201109180nyj,nyj,SancMa00,targets,0,,,,,
player,201109180nyj,nyj,SancMa00,rec,0,,,,,
player,201109180nyj,nyj,SancMa00,rec_yds,0,,,,,
player,201109180nyj,nyj,SancMa00,rec_td,0,,,,,
player,201109180nyj,nyj,SancMa00,rec_long,0,,,,,
player,201109180nyj,nyj,SancMa00,fumbles,0,,,,,
player,201109180nyj,nyj,SancMa00,fumbles_lost,,,,,,
player,201109180nyj,nyj,GreeSh00,pass_cmp,0,,,,,
player,201109180nyj,nyj,GreeSh00,pass_att,0,,,,,
player,201109180nyj,nyj,GreeSh00,pass_yds,0,,,,,
player,201109180nyj,nyj,GreeSh00,pass_td,0,,,,,
player,201109180nyj,nyj,GreeSh00,pass_int,0,,,,,
player,201109180nyj,nyj,GreeSh00,pass_sacked,0,,,,,
player,201109180nyj,nyj,GreeSh00,pass_sacked_yds,0,,,,,
player,201109180nyj,nyj,GreeSh00,pass_long,0,,,,,
player,201109180nyj,nyj,GreeSh00,pass_rating,,,,,,
player,201109180nyj,nyj,GreeSh00,rush_att,16,,,,,
player,201109180nyj,nyj,GreeSh00,rush_yds,49,,,,,
player,201109180nyj,nyj,GreeSh00,rush_td,1,,,,,
player,201109180nyj,nyj,GreeSh00,rush_long,12,,,,,
player,201109180nyj,nyj,GreeSh00,targets,2,,,,,
player,201109180nyj,nyj,GreeSh00,rec,2,,,,,
player,201109180nyj,nyj,GreeSh00,rec_yds,6,,,,,
player,201109180nyj,nyj,GreeSh00,rec_td,0,,,,,
player,201109180nyj,nyj,GreeSh00,rec_long,5,,,,,
player,201109180nyj,nyj,GreeSh00,fumbles,0,,,,,
player,201109180nyj,nyj,GreeSh00,fumbles_lost,,,,,,
player,201109180nyj,nyj,McKnJo00,pass_cmp,0,,,,,
player,201109180nyj,nyj,McKnJo00,pass_att,0,,,,,
player,201109180nyj,nyj,McKnJo00,pass_yds,0,,,,,
player,201109180nyj,nyj,McKnJo00,pass_td,0,,,,,
player,201109180nyj,nyj,McKnJo00,pass_int,0,,,,,
player,201109180nyj,nyj,McKnJo00,pass_sacked,0,,,,,
player,201109180nyj,nyj,McKnJo00,pass_sacked_yds,0,,,,,
player,201109180nyj,nyj,McKnJo00,pass_long,0,,,,,
player,201109180nyj,nyj,McKnJo00,pass_rating,,,,,,
player,201109180nyj,nyj,McKnJo00,rush_att,6,,,,,
player,201109180nyj,nyj,McKnJo00,rush_yds,14,,,,,
player,201109180nyj,nyj,McKnJo00,rush_td,0,,,,,
player,201109180nyj,nyj,McKnJo00,rush_long,5,,,,,
player,201109180nyj,nyj,McKnJo00,targets,0,,,,,
player,201109180nyj,nyj,McKnJo00,rec,0,,,,,
player,201109180nyj,nyj,McKnJo00,rec_yds,0,,,,,
player,201109180nyj,nyj,McKnJo00,rec_td,0,,,,,
player,201109180nyj,nyj,McKnJo00,rec_long,0,,,,,
player,201109180nyj,nyj,McKnJo00,fumbles,0,,,,,
player,201109180nyj,nyj,McKnJo00,fumbles_lost,,,,,,
player,201109180nyj,nyj,TomlLa00,pass_cmp,0,,,,,
player,201109180nyj,nyj,TomlLa00,pass_att,0,,,,,
player,201109180nyj,nyj,TomlLa00,pass_yds,0,,,,,
player,201109180nyj,nyj,TomlLa00,pass_td,0,,,,,
player,201109180nyj,nyj,TomlLa00,pass_int,0,,,,,
player,201109180nyj,nyj,TomlLa00,pass_sacked,0,,,,,
player,201109180nyj,nyj,TomlLa00,pass_sacked_yds,0,,,,,
player,201109180nyj,nyj,TomlLa00,pass_long,0,,,,,
player,201109180nyj,nyj,TomlLa00,pass_rating,,,,,,
player,201109180nyj,nyj,TomlLa00,rush_att,6,,,,,
player,201109180nyj,nyj,TomlLa00,rush_yds,8,,,,,
player,201109180nyj,nyj,TomlLa00,rush_td,0,,,,,
player,201109180nyj,nyj,TomlLa00,rush_long,4,,,,,
player,201109180nyj,nyj,TomlLa00,targets,2,,,,,
player,201109180nyj,nyj,TomlLa00,rec,1,,,,,
player,201109180nyj,nyj,TomlLa00,rec_yds,7,,,,,
player,201109180nyj,nyj,TomlLa00,rec_td,0,,,,,
player,201109180nyj,nyj,TomlLa00,rec_long,7,,,,,
player,201109180nyj,nyj,TomlLa00,fumbles,0,,,,,
player,201109180nyj,nyj,TomlLa00,fumbles_lost,,,,,,
player,201109180nyj,nyj,CromAn20,pass_cmp,0,,,,,
player,201109180nyj,nyj,CromAn20,pass_att,0,,,,,
player,201109180nyj,nyj,CromAn20,pass_yds,0,,,,,
player,201109180nyj,nyj,CromAn20,pass_td,0,,,,,
player,201109180nyj,nyj,CromAn20,pass_int,0,,,,,
player,201109180nyj,nyj,CromAn20,pass_sacked,0,,,,,
player,201109180nyj,nyj,CromAn20,pass_sacked_yds,0,,,,,
player,201109180nyj,nyj,CromAn20,pass_long,0,,,,,
player,201109180nyj,nyj,CromAn20,pass_rating,,,,,,
player,201109180nyj,nyj,CromAn20,rush_att,1,,,,,
player,201109180nyj,nyj,CromAn20,rush_yds,1,,,,,
player,201109180nyj,nyj,CromAn20,rush_td,0,,,,,
player,201109180nyj,nyj,CromAn20,rush_long,1,,,,,
player,201109180nyj,nyj,CromAn20,targets,0,,,,,
player,201109180nyj,nyj,CromAn20,rec,0,,,,,
player,201109180nyj,nyj,CromAn20,rec_yds,0,,,,,
player,201109180nyj,nyj,CromAn20,rec_td,0,,,,,
player,201109180nyj,nyj,CromAn20,rec_long,0,,,,,
player,201109180nyj,nyj,CromAn20,fumbles,0,,,,,
player,201109180nyj,nyj,CromAn20,fumbles_lost,,,,,,
player,201109180nyj,nyj,KellDu00,pass_cmp,0,,,,,
player,201109180nyj,nyj,KellDu00,pass_att,0,,,,,
player,201109180nyj,nyj,KellDu00,pass_yds,0,,,,,
player,201109180nyj,nyj,KellDu00,pass_td,0,,,,,
player,201109180nyj,nyj,KellDu00,pass_int,0,,,,,
player,201109180nyj,nyj,KellDu00,pass_sacked,0,,,,,
player,201109180nyj,nyj,KellDu00,pass_sacked_yds,0,,,,,
player,201109180nyj,nyj,KellDu00,pass_long,0,,,,,
player,201109180nyj,nyj,KellDu00,pass_rating,,,,,,
player,201109180nyj,nyj,KellDu00,rush_att,0,,,,,
player,201109180nyj,nyj,KellDu00,rush_yds,0,,,,,
player,201109180nyj,nyj,KellDu00,rush_td,0,,,,,
player,201109180nyj,nyj,KellDu00,rush_long,0,,,,,
player,201109180nyj,nyj,KellDu00,targets,6,,,,,
player,201109180nyj,nyj,KellDu00,rec,6,,,,,
player,201109180nyj,nyj,KellDu00,rec_yds,101,,,,,
player,201109180nyj,nyj,KellDu00,rec_td,1,,,,,
player,201109180nyj,nyj,KellDu00,rec_long,37,,,,,
player,201109180nyj,nyj,KellDu00,fumbles,0,,,,,
player,201109180nyj,nyj,KellDu00,fumbles_lost,,,,,,
player,201109180nyj,nyj,HolmSa00,pass_cmp,0,,,,,
player,201109180nyj,nyj,HolmSa00,pass_att,0,,,,,
player,201109180nyj,nyj,HolmSa00,pass_yds,0,,,,,
player,201109180nyj,nyj,HolmSa00,pass_td,0,,,,,
player,201109180nyj,nyj,HolmSa00,pass_int,0,,,,,
player,201109180nyj,nyj,HolmSa00,pass_sacked,0,,,,,
player,201109180nyj,nyj,HolmSa00,pass_sacked_yds,0,,,,,
player,201109180nyj,nyj,HolmSa00,pass_long,0,,,,,
player,201109180nyj,nyj,HolmSa00,pass_rating,,,,,,
player,201109180nyj,nyj,HolmSa00,rush_att,0,,,,,
player,201109180nyj,nyj,HolmSa00,rush_yds,0,,,,,
player,201109180nyj,nyj,HolmSa00,rush_td,0,,,,,
player,201109180nyj,nyj,HolmSa00,rush_long,0,,,,,
player,201109180nyj,nyj,HolmSa00,targets,4,,,,,
player,201109180nyj,nyj,HolmSa00,rec,3,,,,,
player,201109180nyj,nyj,HolmSa00,rec_yds,42,,,,,
player,201109180nyj,nyj,HolmSa00,rec_td,1,,,,,
player,201109180nyj,nyj,HolmSa00,rec_long,18,,,,,
player,201109180nyj,nyj,HolmSa00,fumbles,0,,,,,
player,201109180nyj,nyj,HolmSa00,fumbles_lost,,,,,,
player,201109180nyj,nyj,ConnJo00,pass_cmp,0,,,,,
player,201109180nyj,nyj,ConnJo00,pass_att,0,,,,,
player,201109180nyj,nyj,ConnJo00,pass_yds,0,,,,,
player,201109180nyj,nyj,ConnJo00,pass_td,0,,,,,
player,201109180nyj,nyj,ConnJo00,pass_int,0,,,,,
player,201109180nyj,nyj,ConnJo00,pass_sacked,0,,,,,
player,201109180nyj,nyj,ConnJo00,pass_sacked_yds,0,,,,,
player,201109180nyj,nyj,ConnJo00,pass_long,0,,,,,
player,201109180nyj,nyj,ConnJo00,pass_rating,,,,,,
player,201109180nyj,nyj,ConnJo00,rush_att,0,,,,,
player,201109180nyj,nyj,ConnJo00,rush_yds,0,,,,,
player,201109180nyj,nyj,ConnJo00,rush_td,0,,,,,
player,201109180nyj,nyj,ConnJo00,rush_long,0,,,,,
player,201109180nyj,nyj,ConnJo00,targets,1,,,,,
player,201109180nyj,nyj,ConnJo00,rec,1,,,,,
player,201109180nyj,nyj,ConnJo00,rec_yds,9,,,,,
player,201109180nyj,nyj,ConnJo00,rec_td,0,,,,,
player,201109180nyj,nyj,ConnJo00,rec_long,9,,,,,
player,201109180nyj,nyj,ConnJo00,fumbles,0,,,,,
player,201109180nyj,nyj,ConnJo00,fumbles_lost,,,,,,
player,201109180nyj,nyj,MullMa00,pass_cmp,0,,,,,
player,201109180nyj,nyj,MullMa00,pass_att,0,,,,,
player,201109180nyj,nyj,MullMa00,pass_yds,0,,,,,
player,201109180nyj,nyj,MullMa00,pass_td,0,,,,,
player,201109180nyj,nyj,MullMa00,pass_int,0,,,,,
player,201109180nyj,nyj,MullMa00,pass_sacked,0,,,,,
player,201109180nyj,nyj,MullMa00,pass_sacked_yds,0,,,,,
player,201109180nyj,nyj,MullMa00,pass_long,0,,,,,
player,201109180nyj,nyj,MullMa00,pass_rating,,,,,,
player,201109180nyj,nyj,MullMa00,rush_att,0,,,,,
player,201109180nyj,nyj,MullMa00,rush_yds,0,,,,,
player,201109180nyj,nyj,MullMa00,rush_td,0,,,,,
player,201109180nyj,nyj,MullMa00,rush_long,0,,,,,
player,201109180nyj,nyj,MullMa00,targets,3,,,,,
