game,2011,17,20120101,201201010jax,clt,"Indianapolis Colts",13,jax,"Jacksonville Jaguars",19
player,201201010jax,clt,BrowDo00,pass_att,0,,,,,
player,201201010jax,clt,BrowDo00,pass_yds,0,,,,,
player,201201010jax,clt,BrowDo00,pass_td,0,,,,,
player,201201010jax,clt,BrowDo00,pass_int,0,,,,,
player,201201010jax,clt,BrowDo00,pass_sacked,0,,,,,
player,201201010jax,clt,BrowDo00,pass_sacked_yds,0,,,,,
player,201201010jax,clt,BrowDo00,pass_long,0,,,,,
player,201201010jax,clt,BrowDo00,pass_rating,,,,,,
player,201201010jax,clt,BrowDo00,rush_att,8,,,,,
player,201201010jax,clt,BrowDo00,rush_yds,24,,,,,
player,201201010jax,clt,BrowDo00,rush_td,0,,,,,
player,201201010jax,clt,BrowDo00,rush_long,8,,,,,
player,201201010jax,clt,BrowDo00,targets,2,,,,,
player,201201010jax,clt,BrowDo00,rec,2,,,,,
player,201201010jax,clt,BrowDo00,rec_yds,15,,,,,
player,201201010jax,clt,BrowDo00,rec_td,0,,,,,
player,201201010jax,clt,BrowDo00,rec_long,8,,,,,
player,201201010jax,clt,BrowDo00,fumbles,0,,,,,
player,201201010jax,clt,BrowDo00,fumbles_lost,,,,,,
player,201201010jax,clt,AddaJo00,pass_cmp,0,,,,,
player,201201010jax,clt,AddaJo00,pass_att,0,,,,,
player,201201010jax,clt,AddaJo00,pass_yds,0,,,,,
player,201201010jax,clt,AddaJo00,pass_td,0,,,,,
player,201201010jax,clt,AddaJo00,pass_int,0,,,,,
player,201201010jax,clt,AddaJo00,pass_sacked,0,,,,,
player,201201010jax,clt,AddaJo00,pass_sacked_yds,0,,,,,
player,201201010jax,clt,AddaJo00,pass_long,0,,,,,
player,201201010jax,clt,AddaJo00,pass_rating,,,,,,
player,201201010jax,clt,AddaJo00,rush_att,8,,,,,
player,201201010jax,clt,AddaJo00,rush_yds,19,,,,,
player,201201010jax,clt,AddaJo00,rush_td,0,,,,,
player,201201010jax,clt,AddaJo00,rush_long,5,,,,,
player,201201010jax,clt,AddaJo00,targets,1,,,,,
player,201201010jax,clt,AddaJo00,rec,0,,,,,
player,201201010jax,clt,AddaJo00,rec_yds,0,,,,,
player,201201010jax,clt,AddaJo00,rec_td,0,,,,,
player,201201010jax,clt,AddaJo00,rec_long,0,,,,,
player,201201010jax,clt,AddaJo00,fumbles,0,,,,,
player,201201010jax,clt,AddaJo00,fumbles_lost,,,,,,
player,201201010jax,clt,CartDe01,pass_cmp,0,,,,,
player,201201010jax,clt,CartDe01,pass_att,0,,,,,
player,201201010jax,clt,CartDe01,pass_yds,0,,,,,
player,201201010jax,clt,CartDe01,pass_td,0,,,,,
player,201201010jax,clt,CartDe01,pass_int,0,,,,,
player,201201010jax,clt,CartDe01,pass_sacked,0,,,,,
player,201201010jax,clt,CartDe01,pass_sacked_yds,0,,,,,
player,201201010jax,clt,CartDe01,pass_long,0,,,,,
player,201201010jax,clt,CartDe01,pass_rating,,,,,,
player,201201010jax,clt,CartDe01,rush_att,5,,,,,
player,201201010jax,clt,CartDe01,rush_yds,6,,,,,
player,201201010jax,clt,CartDe01,rush_td,0,,,,,
player,201201010jax,clt,CartDe01,rush_long,4,,,,,
player,201201010jax,clt,CartDe01,targets,1,,,,,
player,201201010jax,clt,CartDe01,rec,1,,,,,
player,201201010jax,clt,CartDe01,rec_yds,5,,,,,
player,201201010jax,clt,CartDe01,rec_td,0,,,,,
player,201201010jax,clt,CartDe01,rec_long,5,,,,,
player,201201010jax,clt,CartDe01,fumbles,0,,,,,
player,201201010jax,clt,CartDe01,fumbles_lost,,,,,,
player,201201010jax,clt,CollAu00,pass_cmp,0,,,,,
player,201201010jax,clt,CollAu00,pass_att,0,,,,,
player,201201010jax,clt,CollAu00,pass_yds,0,,,,,
player,201201010jax,clt,CollAu00,pass_td,0,,,,,
player,201201010jax,clt,CollAu00,pass_int,0,,,,,
player,201201010jax,clt,CollAu00,pass_sacked,0,,,,,
player,201201010jax,clt,CollAu00,pass_sacked_yds,0,,,,,
player,201201010jax,clt,CollAu00,pass_long,0,,,,,
player,201201010jax,clt,CollAu00,pass_rating,,,,,,
player,201201010jax,clt,CollAu00,rush_att,0,,,,,
player,201201010jax,clt,CollAu00,rush_yds,0,,,,,
player,201201010jax,clt,CollAu00,rush_td,0,,,,,
player,201201010jax,clt,CollAu00,rush_long,0,,,,,
player,201201010jax,clt,CollAu00,targets,11,,,,,
player,201201010jax,clt,CollAu00,rec,9,,,,,
player,201201010jax,clt,CollAu00,rec_yds,96,,,,,
player,201201010jax,clt,CollAu00,rec_td,1,,,,,
player,201201010jax,clt,CollAu00,rec_long,21,,,,,
player,201201010jax,clt,CollAu00,fumbles,0,,,,,
player,201201010jax,clt,CollAu00,fumbles_lost,,,,,,
player,201201010jax,clt,WaynRe00,pass_cmp,0,,,,,
player,201201010jax,clt,WaynRe00,pass_att,0,,,,,
player,201201010jax,clt,WaynRe00,pass_yds,0,,,,,
player,201201010jax,clt,WaynRe00,pass_td,0,,,,,
player,201201010jax,clt,WaynRe00,pass_int,0,,,,,
player,201201010jax,clt,WaynRe00,pass_sacked,0,,,,,
player,201201010jax,clt,WaynRe00,pass_sacked_yds,0,,,,,
player,201201010jax,clt,WaynRe00,pass_long,0,,,,,
player,201201010jax,clt,WaynRe00,pass_rating,,,,,,
player,201201010jax,clt,WaynRe00,rush_att,0,,,,,
player,201201010jax,clt,WaynRe00,rush_yds,0,,,,,
player,201201010jax,clt,WaynRe00,rush_td,0,,,,,
player,201201010jax,clt,WaynRe00,rush_long,0,,,,,
player,201201010jax,clt,WaynRe00,targets,11,,,,,
player,201201010jax,clt,WaynRe00,rec,8,,,,,
player,201201010jax,clt,WaynRe00,rec_yds,73,,,,,
player,201201010jax,clt,WaynRe00,rec_td,0,,,,,
player,201201010jax,clt,WaynRe00,rec_long,14,,,,,
player,201201010jax,clt,WaynRe00,fumbles,0,,,,,
player,201201010jax,clt,WaynRe00,fumbles_lost,,,,,,
player,201201010jax,clt,ClarDa00,pass_cmp,0,,,,,
player,201201010jax,clt,ClarDa00,pass_att,0,,,,,
player,201201010jax,clt,ClarDa00,pass_yds,0,,,,,
player,201201010jax,clt,ClarDa00,pass_td,0,,,,,
player,201201010jax,clt,ClarDa00,pass_int,0,,,,,
player,201201010jax,clt,ClarDa00,pass_sacked,0,,,,,
player,201201010jax,clt,ClarDa00,pass_sacked_yds,0,,,,,
player,201201010jax,clt,ClarDa00,pass_long,0,,,,,
player,201201010jax,clt,ClarDa00,pass_rating,,,,,,
player,201201010jax,clt,ClarDa00,rush_att,0,,,,,
player,201201010jax,clt,ClarDa00,rush_yds,0,,,,,
player,201201010jax,clt,ClarDa00,rush_td,0,,,,,
player,201201010jax,clt,ClarDa00,rush_long,0,,,,,
player,201201010jax,clt,ClarDa00,targets,9,,,,,
player,201201010jax,clt,ClarDa00,rec,5,,,,,
player,201201010jax,clt,ClarDa00,rec_yds,53,,,,,
player,201201010jax,clt,ClarDa00,rec_td,0,,,,,
player,201201010jax,clt,ClarDa00,rec_long,20,,,,,
player,201201010jax,clt,ClarDa00,fumbles,0,,,,,
player,201201010jax,clt,ClarDa00,fumbles_lost,,,,,,
player,201201010jax,clt,GarcPi00,pass_cmp,0,,,,,
player,201201010jax,clt,GarcPi00,pass_att,0,,,,,
player,201201010jax,clt,GarcPi00,pass_yds,0,,,,,
player,201201010jax,clt,GarcPi00,pass_td,0,,,,,
player,201201010jax,clt,GarcPi00,pass_int,0,,,,,
player,201201010jax,clt,GarcPi00,pass_sacked,0,,,,,
player,201201010jax,clt,GarcPi00,pass_sacked_yds,0,,,,,
player,201201010jax,clt,GarcPi00,pass_long,0,,,,,
player,201201010jax,clt,GarcPi00,pass_rating,,,,,,
player,201201010jax,clt,GarcPi00,rush_att,0,,,,,
player,201201010jax,clt,GarcPi00,rush_yds,0,,,,,
player,201201010jax,clt,GarcPi00,rush_td,0,,,,,
player,201201010jax,clt,GarcPi00,rush_long,0,,,,,
player,201201010jax,clt,GarcPi00,targets,5,,,,,
player,201201010jax,clt,GarcPi00,rec,2,,,,,
player,201201010jax,clt,GarcPi00,rec_yds,22,,,,,
player,201201010jax,clt,GarcPi00,rec_td,0,,,,,
player,201201010jax,clt,GarcPi00,rec_long,19,,,,,
player,201201010jax,clt,GarcPi00,fumbles,0,,,,,
player,201201010jax,clt,GarcPi00,fumbles_lost,,,,,,
player,201201010jax,jax,GabbBl00,pass_cmp,11,,,,,
player,201201010jax,jax,GabbBl00,pass_att,19,,,,,
player,201201010jax,jax,GabbBl00,pass_yds,92,,,,,
player,201201010jax,jax,GabbBl00,pass_td,1,,,,,
player,201201010jax,jax,GabbBl00,pass_int,0,,,,,
player,201201010jax,jax,GabbBl00,pass_sacked,3,,,,,
player,201201010jax,jax,GabbBl00,pass_sacked_yds,21,,,,,
player,201201010jax,jax,GabbBl00,pass_long,23,,,,,
player,201201010jax,jax,GabbBl00,pass_rating,88.0,,,,,
player,201201010jax,jax,GabbBl00,rush_att,3,,,,,
player,201201010jax,jax,GabbBl00,rush_yds,-3,,,,,
player,201201010jax,jax,GabbBl00,rush_td,0,,,,,
player,201201010jax,jax,GabbBl00,rush_long,-1,,,,,
player,201201010jax,jax,GabbBl00,targets,0,,,,,
player,201201010jax,jax,GabbBl00,rec,0,,,,,
player,201201010jax,jax,GabbBl00,rec_yds,0,,,,,
player,201201010jax,jax,GabbBl00,rec_td,0,,,,,
player,201201010jax,jax,GabbBl00,rec_long,0,,,,,
player,201201010jax,jax,GabbBl00,fumbles,1,,,,,
player,201201010jax,jax,GabbBl00,fumbles_lost,1,,,,,
player,201201010jax,jax,DrewMa00,pass_cmp,0,,,,,
player,201201010jax,jax,DrewMa00,pass_att,0,,,,,
player,201201010jax,jax,DrewMa00,pass_yds,0,,,,,
player,201201010jax,jax,DrewMa00,pass_td,0,,,,,
player,201201010jax,jax,DrewMa00,pass_int,0,,,,,
player,201201010jax,jax,DrewMa00,pass_sacked,0,,,,,
player,201201010jax,jax,DrewMa00,pass_sacked_yds,0,,,,,
player,201201010jax,jax,DrewMa00,pass_long,0,,,,,
player,201201010jax,jax,DrewMa00,pass_rating,,,,,,
player,201201010jax,jax,DrewMa00,rush_att,25,,,,,
player,201201010jax,jax,DrewMa00,rush_yds,169,,,,,
player,201201010jax,jax,DrewMa00,rush_td,0,,,,,
player,201201010jax,jax,DrewMa00,rush_long,56,,,,,
player,201201010jax,jax,DrewMa00,targets,3,,,,,
player,201201010jax,jax,DrewMa00,rec,1,,,,,
player,201201010jax,jax,DrewMa00,rec_yds,4,,,,,
player,201201010jax,jax,DrewMa00,rec_td,0,,,,,
player,201201010jax,jax,DrewMa00,rec_long,4,,,,,
player,201201010jax,jax,DrewMa00,fumbles,0,,,,,
player,201201010jax,jax,DrewMa00,fumbles_lost,,,,,,
player,201201010jax,jax,HarrDu01,pass_cmp,0,,,,,
player,201201010jax,jax,HarrDu01,pass_att,0,,,,,
player,201201010jax,jax,HarrDu01,pass_yds,0,,,,,
player,201201010jax,jax,HarrDu01,pass_td,0,,,,,
player,201201010jax,jax,HarrDu01,pass_int,0,,,,,
player,201201010jax,jax,HarrDu01,pass_sacked,0,,,,,
player,201201010jax,jax,HarrDu01,pass_sacked_yds,0,,,,,
player,201201010jax,jax,HarrDu01,pass_long,0,,,,,
player,201201010jax,jax,HarrDu01,pass_rating,,,,,,
player,201201010jax,jax,HarrDu01,rush_att,3,,,,,
player,201201010jax,jax,HarrDu01,rush_yds,12,,,,,
player,201201010jax,jax,HarrDu01,rush_td,0,,,,,
player,201201010jax,jax,HarrDu01,rush_long,7,,,,,
player,201201010jax,jax,HarrDu01,targets,1,,,,,
player,201201010jax,jax,HarrDu01,rec,1,,,,,
player,201201010jax,jax,HarrDu01,rec_yds,4,,,,,
player,201201010jax,jax,HarrDu01,rec_td,0,,,,,
player,201201010jax,jax,HarrDu01,rec_long,4,,,,,
player,201201010jax,jax,HarrDu01,fumbles,0,,,,,
player,201201010jax,jax,HarrDu01,fumbles_lost,,,,,,
player,201201010jax,jax,KariDe00,pass_cmp,0,,,,,
player,201201010jax,jax,KariDe00,pass_att,0,,,,,
player,201201010jax,jax,KariDe00,pass_yds,0,,,,,
player,201201010jax,jax,KariDe00,pass_td,0,,,,,
player,201201010jax,jax,KariDe00,pass_int,0,,,,,
player,201201010jax,jax,KariDe00,pass_sacked,0,,,,,
player,201201010jax,jax,KariDe00,pass_sacked_yds,0,,,,,
player,201201010jax,jax,KariDe00,pass_long,0,,,,,
player,201201010jax,jax,KariDe00,pass_rating,,,,,,
player,201201010jax,jax,KariDe00,rush_att,2,,,,,
player,201201010jax,jax,KariDe00,rush_yds,6,,,,,
player,201201010jax,jax,KariDe00,rush_td,0,,,,,
player,201201010jax,jax,KariDe00,rush_long,3,,,,,
player,201201010jax,jax,KariDe00,targets,0,,,,,
player,201201010jax,jax,KariDe00,rec,0,,,,,
player,201201010jax,jax,KariDe00,rec_yds,0,,,,,
player,201201010jax,jax,KariDe00,rec_td,0,,,,,
player,201201010jax,jax,KariDe00,rec_long,0,,,,,
player,201201010jax,jax,KariDe00,fumbles,0,,,,,
player,201201010jax,jax,KariDe00,fumbles_lost,,,,,,
player,201201010jax,jax,OwenMo01,pass_cmp,0,,,,,
player,201201010jax,jax,OwenMo01,pass_att,0,,,,,
player,201201010jax,jax,OwenMo01,pass_yds,0,,,,,
player,201201010jax,jax,OwenMo01,pass_td,0,,,,,
player,201201010jax,jax,OwenMo01,pass_int,0,,,,,
player,201201010jax,jax,OwenMo01,pass_sacked,0,,,,,
player,201201010jax,jax,OwenMo01,pass_sacked_yds,0,,,,,
player,201201010jax,jax,OwenMo01,pass_long,0,,,,,
player,201201010jax,jax,OwenMo01,pass_rating,,,,,,
player,201201010jax,jax,OwenMo01,rush_att,1,,,,,
player,201201010jax,jax,OwenMo01,rush_yds,3,,,,,
player,201201010jax,jax,OwenMo01,rush_td,0,,,,,
player,201201010jax,jax,OwenMo01,rush_long,3,,,,,
player,201201010jax,jax,OwenMo01,targets,0,,,,,
player,201201010jax,jax,OwenMo01,rec,0,,,,,
player,201201010jax,jax,OwenMo01,rec_yds,0,,,,,
player,201201010jax,jax,OwenMo01,rec_td,0,,,,,
player,201201010jax,jax,OwenMo01,rec_long,0,,,,,
player,201201010jax,jax,OwenMo01,fumbles,0,,,,,
player,201201010jax,jax,OwenMo01,fumbles_lost,,,,,,
player,201201010jax,jax,ThomMi01,pass_cmp,0,,,,,
player,201201010jax,jax,ThomMi01,pass_att,0,,,,,
player,201201010jax,jax,ThomMi01,pass_yds,0,,,,,
player,201201010jax,jax,ThomMi01,pass_td,0,,,,,
player,201201010jax,jax,ThomMi01,pass_int,0,,,,,
player,201201010jax,jax,ThomMi01,pass_sacked,0,,,,,
player,201201010jax,jax,ThomMi01,pass_sacked_yds,0,,,,,
player,201201010jax,jax,ThomMi01,pass_long,0,,,,,
player,201201010jax,jax,ThomMi01,pass_rating,,,,,,
player,201201010jax,jax,ThomMi01,rush_att,1,,,,,
player,201201010jax,jax,ThomMi01,rush_yds,3,,,,,
player,201201010jax,jax,ThomMi01,rush_td,0,,,,,
player,201201010jax,jax,ThomMi01,rush_long,3,,,,,
player,201201010jax,jax,ThomMi01,targets,3,,,,,
player,201201010jax,jax,ThomMi01,rec,1,,,,,
player,201201010jax,jax,ThomMi01,rec_yds,-2,,,,,
player,201201010jax,jax,ThomMi01,rec_td,0,,,,,
player,201201010jax,jax,ThomMi01,rec_long,-2,,,,,
player,201201010jax,jax,ThomMi01,fumbles,0,,,,,
player,201201010jax,jax,ThomMi01,fumbles_lost,,,,,,
player,201201010jax,jax,LewiMa00,pass_cmp,0,,,,,
player,201201010jax,jax,LewiMa00,pass_att,0,,,,,
player,201201010jax,jax,LewiMa00,pass_yds,0,,,,,
player,201201010jax,jax,LewiMa00,pass_td,0,,,,,
player,201201010jax,jax,LewiMa00,pass_int,0,,,,,
player,201201010jax,jax,LewiMa00,pass_sacked,0,,,,,
player,201201010jax,jax,LewiMa00,pass_sacked_yds,0,,,,,
player,201201010jax,jax,LewiMa00,pass_long,0,,,,,
player,201201010jax,jax,LewiMa00,pass_rating,,,,,,
player,201201010jax,jax,LewiMa00,rush_att,0,,,,,
player,201201010jax,jax,LewiMa00,rush_yds,0,,,,,
player,201201010jax,jax,LewiMa00,rush_td,0,,,,,
player,201201010jax,jax,LewiMa00,rush_long,0,,,,,
player,201201010jax,jax,LewiMa00,targets,4,,,,,
player,201201010jax,jax,LewiMa00,rec,3,,,,,
player,201201010jax,jax,LewiMa00,rec_yds,33,,,,,
player,201201010jax,jax,LewiMa00,rec_td,0,,,,,
player,201201010jax,jax,LewiMa00,rec_long,16,,,,,
player,201201010jax,jax,LewiMa00,fumbles,0,,,,,
player,201201010jax,jax,LewiMa00,fumbles_lost,,,,,,
player,201201010jax,jax,WestCh00,pass_cmp,0,,,,,
player,201201010jax,jax,WestCh00,pass_att,0,,,,,
player,201201010jax,jax,WestCh00,pass_yds,0,,,,,
player,201201010jax,jax,WestCh00,pass_td,0,,,,,
player,201201010jax,jax,WestCh00,pass_int,0,,,,,
player,201201010jax,jax,WestCh00,pass_sacked,0,,,,,
player,201201010jax,jax,WestCh00,pass_sacked_yds,0,,,,,
player,201201010jax,jax,WestCh00,pass_long,0,,,,,
player,201201010jax,jax,WestCh00,pass_rating,,,,,,
player,201201010jax,jax,WestCh00,rush_att,0,,,,,
player,201201010jax,jax,WestCh00,rush_yds,0,,,,,
player,201201010jax,jax,WestCh00,rush_td,0,,,,,
player,201201010jax,jax,WestCh00,rush_long,0,,,,,
player,201201010jax,jax,WestCh00,targets,2,,,,,
player,201201010jax,jax,WestCh00,rec,1,,,,,
player,201201010jax,jax,WestCh00,rec_yds,23,,,,,
player,201201010jax,jax,WestCh00,rec_td,1,,,,,
player,201201010jax,jax,WestCh00,rec_long,23,,,,,
player,201201010jax,jax,WestCh00,fumbles,0,,,,,
player,201201010jax,jax,WestCh00,fumbles_lost,,,,,,
player,201201010jax,jax,OsgoKa00,pass_cmp,0,,,,,
player,201201010jax,jax,OsgoKa00,pass_att,0,,,,,
player,201201010jax,jax,OsgoKa00,pass_yds,0,,,,,
player,201201010jax,jax,OsgoKa00,pass_td,0,,,,,
player,201201010jax,jax,OsgoKa00,pass_int,0,,,,,
player,201201010jax,jax,OsgoKa00,pass_sacked,0,,,,,
player,201201010jax,jax,OsgoKa00,pass_sacked_yds,0,,,,,
player,201201010jax,jax,OsgoKa00,pass_long,0,,,,,
player,201201010jax,jax,OsgoKa00,pass_rating,,,,,,
player,201201010jax,jax,OsgoKa00,rush_att,0,,,,,
player,201201010jax,jax,OsgoKa00,rush_yds,0,,,,,
player,201201010jax,jax,OsgoKa00,rush_td,0,,,,,
player,201201010jax,jax,OsgoKa00,rush_long,0,,,,,
player,201201010jax,jax,OsgoKa00,targets,2,,,,,
player,201201010jax,jax,OsgoKa00,rec,2,,,,,
player,201201010jax,jax,OsgoKa00,rec_yds,19,,,,,
player,201201010jax,jax,OsgoKa00,rec_td,0,,,,,
player,201201010jax,jax,OsgoKa00,rec_long,19,,,,,
player,201201010jax,jax,OsgoKa00,fumbles,0,,,,,
player,201201010jax,jax,OsgoKa00,fumbles_lost,,,,,,
player,201201010jax,jax,DillJa00,pass_cmp,0,,,,,
player,201201010jax,jax,DillJa00,pass_att,0,,,,,
player,201201010jax,jax,DillJa00,pass_yds,0,,,,,
player,201201010jax,jax,DillJa00,pass_td,0,,,,,
player,201201010jax,jax,DillJa00,pass_int,0,,,,,
player,201201010jax,jax,DillJa00,pass_sacked,0,,,,,
player,201201010jax,jax,DillJa00,pass_sacked_yds,0,,,,,
player,201201010jax,jax,DillJa00,pass_long,0,,,,,
player,201201010jax,jax,DillJa00,pass_rating,,,,,,
player,201201010jax,jax,DillJa00,rush_att,0,,,,,
player,201201010jax,jax,DillJa00,rush_yds,0,,,,,
player,201201010jax,jax,DillJa00,rush_td,0,,,,,
player,201201010jax,jax,DillJa00,rush_long,0,,,,,
player,201201010jax,jax,DillJa00,targets,2,,,,,
player,201201010jax,jax,DillJa00,rec,1,,,,,
player,201201010jax,jax,DillJa00,rec_yds,8,,,,,
player,201201010jax,jax,DillJa00,rec_td,0,,,,,
player,201201010jax,jax,DillJa00,rec_long,8,,,,,
player,201201010jax,jax,DillJa00,fumbles,0,,,,,
player,201201010jax,jax,DillJa00,fumbles_lost,,,,,,
player,201201010jax,jax,ClohCo00,pass_cmp,0,,,,,
player,201201010jax,jax,ClohCo00,pass_att,0,,,,,
player,201201010jax,jax,ClohCo00,pass_yds,0,,,,,
player,201201010jax,jax,ClohCo00,pass_td,0,,,,,
player,201201010jax,jax,ClohCo00,pass_int,0,,,,,
player,201201010jax,jax,ClohCo00,pass_sacked,0,,,,,
player,201201010jax,jax,ClohCo00,pass_sacked_yds,0,,,,,
player,201201010jax,jax,ClohCo00,pass_long,0,,,,,
player,201201010jax,jax,ClohCo00,pass_rating,,,,,,
player,201201010jax,jax,ClohCo00,rush_att,0,,,,,
player,201201010jax,jax,ClohCo00,rush_yds,0,,,,,
player,201201010jax,jax,ClohCo00,rush_td,0,,,,,
player,201201010jax,jax,ClohCo00,rush_long,0,,,,,
player,201201010jax,jax,ClohCo00,targets,2,,,,,
player,201201010jax,jax,ClohCo00,rec,1,,,,,
player,201201010jax,jax,ClohCo00,rec_yds,3,,,,,
player,201201010jax,jax,ClohCo00,rec_td,0,,,,,
player,201201010jax,jax,ClohCo00,rec_long,3,,,,,
player,201201010jax,jax,ClohCo00,fumbles,0,,,,,
player,201201010jax,jax,ClohCo00,fumbles_lost,,,,,,
player,201201010jax,clt,AndeJa98,def_int,0,,,,,
player,201201010jax,clt,AndeJa98,def_int_yds,0,,,,,
player,201201010jax,clt,AndeJa98,def_int_td,0,,,,,
player,201201010jax,clt,AndeJa98,def_int_long,0,,,,,
player,201201010jax,clt,AndeJa98,pass_defended,0,,,,,
player,201201010jax,clt,AndeJa98,sacks,1.0,,,,,
player,201201010jax,clt,AndeJa98,tackles_combined,3,,,,,
player,201201010jax,clt,AndeJa98,tackles_solo,1,,,,,
player,201201010jax,clt,AndeJa98,tackles_assists,2,,,,,
player,201201010jax,clt,AndeJa98,tackles_loss,0,,,,,
player,201201010jax,clt,AndeJa98,qb_hits,1,,,,,
player,201201010jax,clt,AndeJa98,fumbles_rec,0,,,,,
player,201201010jax,clt,AndeJa98,fumbles_rec_yds,0,,,,,
player,201201010jax,clt,AndeJa98,fumbles_rec_td,0,,,,,
player,201201010jax,clt,AndeJa98,fumbles_forced,0,,,,,
player,201201010jax,clt,MathRo20,def_int,0,,,,,
player,201201010jax,clt,MathRo20,def_int_yds,0,,,,,
player,201201010jax,clt,MathRo20,def_int_td,0,,,,,
player,201201010jax,clt,MathRo20,def_int_long,0,,,,,
player,201201010jax,clt,MathRo20,pass_defended,0,,,,,
player,201201010jax,clt,MathRo20,sacks,1.0,,,,,
player,201201010jax,clt,MathRo20,tackles_combined,2,,,,,
player,201201010jax,clt,MathRo20,tackles_solo,2,,,,,
player,201201010jax,clt,MathRo20,tackles_assists,0,,,,,
player,201201010jax,clt,MathRo20,tackles_loss,0,,,,,
player,201201010jax,clt,MathRo20,qb_hits,1,,,,,
player,201201010jax,clt,MathRo20,fumbles_rec,1,,,,,
player,201201010jax,clt,MathRo20,fumbles_rec_yds,0,,,,,
player,201201010jax,clt,MathRo20,fumbles_rec_td,0,,,,,
player,201201010jax,clt,MathRo20,fumbles_forced,1,,,,,
player,201201010jax,clt,FreeDw00,def_int,0,,,,,
player,201201010jax,clt,FreeDw00,def_int_yds,0,,,,,
player,201201010jax,clt,FreeDw00,def_int_td,0,,,,,
player,201201010jax,clt,FreeDw00,def_int_long,0,,,,,
player,201201010jax,clt,FreeDw00,pass_defended,0,,,,,
player,201201010jax,clt,FreeDw00,sacks,1.0,,,,,
player,201201010jax,clt,FreeDw00,tackles_combined,1,,,,,
player,201201010jax,clt,FreeDw00,tackles_solo,1,,,,,
player,201201010jax,clt,FreeDw00,tackles_assists,0,,,,,
player,201201010jax,clt,FreeDw00,tackles_loss,1,,,,,
player,201201010jax,clt,FreeDw00,qb_hits,1,,,,,
player,201201010jax,clt,FreeDw00,fumbles_rec,0,,,,,
player,201201010jax,clt,FreeDw00,fumbles_rec_yds,0,,,,,
player,201201010jax,clt,FreeDw00,fumbles_rec_td,0,,,,,
player,201201010jax,clt,FreeDw00,fumbles_forced,0,,,,,
player,201201010jax,clt,AngePa99,def_int,0,,,,,
player,201201010jax,clt,AngePa99,def_int_yds,0,,,,,
player,201201010jax,clt,AngePa99,def_int_td,0,,,,,
player,201201010jax,clt,AngePa99,def_int_long,0,,,,,
player,201201010jax,clt,AngePa99,pass_defended,0,,,,,
player,201201010jax,clt,AngePa99,sacks,0.0,,,,,
player,201201010jax,clt,AngePa99,tackles_combined,11,,,,,
