game,2011,8,20111030,201110300buf,was,"Washington Redskins",0,buf,"Buffalo Bills",23
player,201110300buf,was,StalDo00,targets,2,,,,,
player,201110300buf,was,StalDo00,rec,0,,,,,
player,201110300buf,was,StalDo00,rec_yds,0,,,,,
player,201110300buf,was,StalDo00,rec_td,0,,,,,
player,201110300buf,was,StalDo00,rec_long,0,,,,,
player,201110300buf,was,StalDo00,fumbles,0,,,,,
player,201110300buf,was,StalDo00,fumbles_lost,,,,,,
player,201110300buf,was,DaviFr01,pass_cmp,0,,,,,
player,201110300buf,was,DaviFr01,pass_att,0,,,,,
player,201110300buf,was,DaviFr01,pass_yds,0,,,,,
player,201110300buf,was,DaviFr01,pass_td,0,,,,,
player,201110300buf,was,DaviFr01,pass_int,0,,,,,
player,201110300buf,was,DaviFr01,pass_sacked,0,,,,,
player,201110300buf,was,DaviFr01,pass_sacked_yds,0,,,,,
player,201110300buf,was,DaviFr01,pass_long,0,,,,,
player,201110300buf,was,DaviFr01,pass_rating,,,,,,
player,201110300buf,was,DaviFr01,rush_att,0,,,,,
player,201110300buf,was,DaviFr01,rush_yds,0,,,,,
player,201110300buf,was,DaviFr01,rush_td,0,,,,,
player,201110300buf,was,DaviFr01,rush_long,0,,,,,
player,201110300buf,was,DaviFr01,targets,9,,,,,
player,201110300buf,was,DaviFr01,rec,8,,,,,
player,201110300buf,was,DaviFr01,rec_yds,94,,,,,
player,201110300buf,was,DaviFr01,rec_td,0,,,,,
player,201110300buf,was,DaviFr01,rec_long,24,,,,,
player,201110300buf,was,DaviFr01,fumbles,0,,,,,
player,201110300buf,was,DaviFr01,fumbles_lost,,,,,,
player,201110300buf,was,GaffJa00,pass_cmp,0,,,,,
player,201110300buf,was,GaffJa00,pass_att,0,,,,,
player,201110300buf,was,GaffJa00,pass_yds,0,,,,,
player,201110300buf,was,GaffJa00,pass_td,0,,,,,
player,201110300buf,was,GaffJa00,pass_int,0,,,,,
player,201110300buf,was,GaffJa00,pass_sacked,0,,,,,
player,201110300buf,was,GaffJa00,pass_sacked_yds,0,,,,,
player,201110300buf,was,GaffJa00,pass_long,0,,,,,
player,201110300buf,was,GaffJa00,pass_rating,,,,,,
player,201110300buf,was,GaffJa00,rush_att,0,,,,,
player,201110300buf,was,GaffJa00,rush_yds,0,,,,,
player,201110300buf,was,GaffJa00,rush_td,0,,,,,
player,201110300buf,was,GaffJa00,rush_long,0,,,,,
player,201110300buf,was,GaffJa00,targets,5,,,,,
player,201110300buf,was,GaffJa00,rec,4,,,,,
player,201110300buf,was,GaffJa00,rec_yds,40,,,,,
player,201110300buf,was,GaffJa00,rec_td,0,,,,,
player,201110300buf,was,GaffJa00,rec_long,15,,,,,
player,201110300buf,was,GaffJa00,fumbles,0,,,,,
player,201110300buf,was,GaffJa00,fumbles_lost,,,,,,
player,201110300buf,was,HankLe00,pass_cmp,0,,,,,
player,201110300buf,was,HankLe00,pass_att,0,,,,,
player,201110300buf,was,HankLe00,pass_yds,0,,,,,
player,201110300buf,was,HankLe00,pass_td,0,,,,,
player,201110300buf,was,HankLe00,pass_int,0,,,,,
player,201110300buf,was,HankLe00,pass_sacked,0,,,,,
player,201110300buf,was,HankLe00,pass_sacked_yds,0,,,,,
player,201110300buf,was,HankLe00,pass_long,0,,,,,
player,201110300buf,was,HankLe00,pass_rating,,,,,,
player,201110300buf,was,HankLe00,rush_att,0,,,,,
player,201110300buf,was,HankLe00,rush_yds,0,,,,,
player,201110300buf,was,HankLe00,rush_td,0,,,,,
player,201110300buf,was,HankLe00,rush_long,0,,,,,
player,201110300buf,was,HankLe00,targets,4,,,,,
player,201110300buf,was,HankLe00,rec,1,,,,,
player,201110300buf,was,HankLe00,rec_yds,23,,,,,
player,201110300buf,was,HankLe00,rec_td,0,,,,,
player,201110300buf,was,HankLe00,rec_long,23,,,,,
player,201110300buf,was,HankLe00,fumbles,0,,,,,
player,201110300buf,was,HankLe00,fumbles_lost,,,,,,
player,201110300buf,was,AustTe00,pass_cmp,0,,,,,
player,201110300buf,was,AustTe00,pass_att,0,,,,,
player,201110300buf,was,AustTe00,pass_yds,0,,,,,
player,201110300buf,was,AustTe00,pass_td,0,,,,,
player,201110300buf,was,AustTe00,pass_int,0,,,,,
player,201110300buf,was,AustTe00,pass_sacked,0,,,,,
player,201110300buf,was,AustTe00,pass_sacked_yds,0,,,,,
player,201110300buf,was,AustTe00,pass_long,0,,,,,
player,201110300buf,was,AustTe00,pass_rating,,,,,,
player,201110300buf,was,AustTe00,rush_att,0,,,,,
player,201110300buf,was,AustTe00,rush_yds,0,,,,,
player,201110300buf,was,AustTe00,rush_td,0,,,,,
player,201110300buf,was,AustTe00,rush_long,0,,,,,
player,201110300buf,was,AustTe00,targets,3,,,,,
player,201110300buf,was,AustTe00,rec,2,,,,,
player,201110300buf,was,AustTe00,rec_yds,22,,,,,
player,201110300buf,was,AustTe00,rec_td,0,,,,,
player,201110300buf,was,AustTe00,rec_long,17,,,,,
player,201110300buf,was,AustTe00,fumbles,0,,,,,
player,201110300buf,was,AustTe00,fumbles_lost,,,,,,
player,201110300buf,was,HeluRo00,pass_cmp,0,,,,,
player,201110300buf,was,HeluRo00,pass_att,0,,,,,
player,201110300buf,was,HeluRo00,pass_yds,0,,,,,
player,201110300buf,was,HeluRo00,pass_td,0,,,,,
player,201110300buf,was,HeluRo00,pass_int,0,,,,,
player,201110300buf,was,HeluRo00,pass_sacked,0,,,,,
player,201110300buf,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201110300buf,was,HeluRo00,pass_long,0,,,,,
player,201110300buf,was,HeluRo00,pass_rating,,,,,,
player,201110300buf,was,HeluRo00,rush_att,0,,,,,
player,201110300buf,was,HeluRo00,rush_yds,0,,,,,
player,201110300buf,was,HeluRo00,rush_td,0,,,,,
player,201110300buf,was,HeluRo00,rush_long,0,,,,,
player,201110300buf,was,HeluRo00,targets,4,,,,,
player,201110300buf,was,HeluRo00,rec,3,,,,,
player,201110300buf,was,HeluRo00,rec_yds,20,,,,,
player,201110300buf,was,HeluRo00,rec_td,0,,,,,
player,201110300buf,was,HeluRo00,rec_long,8,,,,,
player,201110300buf,was,HeluRo00,fumbles,0,,,,,
player,201110300buf,was,HeluRo00,fumbles_lost,,,,,,
player,201110300buf,was,YounDa01,pass_cmp,0,,,,,
player,201110300buf,was,YounDa01,pass_att,0,,,,,
player,201110300buf,was,YounDa01,pass_yds,0,,,,,
player,201110300buf,was,YounDa01,pass_td,0,,,,,
player,201110300buf,was,YounDa01,pass_int,0,,,,,
player,201110300buf,was,YounDa01,pass_sacked,0,,,,,
player,201110300buf,was,YounDa01,pass_sacked_yds,0,,,,,
player,201110300buf,was,YounDa01,pass_long,0,,,,,
player,201110300buf,was,YounDa01,pass_rating,,,,,,
player,201110300buf,was,YounDa01,rush_att,0,,,,,
player,201110300buf,was,YounDa01,rush_yds,0,,,,,
player,201110300buf,was,YounDa01,rush_td,0,,,,,
player,201110300buf,was,YounDa01,rush_long,0,,,,,
player,201110300buf,was,YounDa01,targets,1,,,,,
player,201110300buf,was,YounDa01,rec,1,,,,,
player,201110300buf,was,YounDa01,rec_yds,3,,,,,
player,201110300buf,was,YounDa01,rec_td,0,,,,,
player,201110300buf,was,YounDa01,rec_long,3,,,,,
player,201110300buf,was,YounDa01,fumbles,0,,,,,
player,201110300buf,was,YounDa01,fumbles_lost,,,,,,
player,201110300buf,was,ArmsAn00,pass_cmp,0,,,,,
player,201110300buf,was,ArmsAn00,pass_att,0,,,,,
player,201110300buf,was,ArmsAn00,pass_yds,0,,,,,
player,201110300buf,was,ArmsAn00,pass_td,0,,,,,
player,201110300buf,was,ArmsAn00,pass_int,0,,,,,
player,201110300buf,was,ArmsAn00,pass_sacked,0,,,,,
player,201110300buf,was,ArmsAn00,pass_sacked_yds,0,,,,,
player,201110300buf,was,ArmsAn00,pass_long,0,,,,,
player,201110300buf,was,ArmsAn00,pass_rating,,,,,,
player,201110300buf,was,ArmsAn00,rush_att,0,,,,,
player,201110300buf,was,ArmsAn00,rush_yds,0,,,,,
player,201110300buf,was,ArmsAn00,rush_td,0,,,,,
player,201110300buf,was,ArmsAn00,rush_long,0,,,,,
player,201110300buf,was,ArmsAn00,targets,4,,,,,
player,201110300buf,was,ArmsAn00,rec,0,,,,,
player,201110300buf,was,ArmsAn00,rec_yds,0,,,,,
player,201110300buf,was,ArmsAn00,rec_td,0,,,,,
player,201110300buf,was,ArmsAn00,rec_long,0,,,,,
player,201110300buf,was,ArmsAn00,fumbles,0,,,,,
player,201110300buf,was,ArmsAn00,fumbles_lost,,,,,,
player,201110300buf,buf,FitzRy00,pass_cmp,21,,,,,
player,201110300buf,buf,FitzRy00,pass_att,27,,,,,
player,201110300buf,buf,FitzRy00,pass_yds,262,,,,,
player,201110300buf,buf,FitzRy00,pass_td,2,,,,,
player,201110300buf,buf,FitzRy00,pass_int,1,,,,,
player,201110300buf,buf,FitzRy00,pass_sacked,2,,,,,
player,201110300buf,buf,FitzRy00,pass_sacked_yds,10,,,,,
player,201110300buf,buf,FitzRy00,pass_long,46,,,,,
player,201110300buf,buf,FitzRy00,pass_rating,116.4,,,,,
player,201110300buf,buf,FitzRy00,rush_att,3,,,,,
player,201110300buf,buf,FitzRy00,rush_yds,4,,,,,
player,201110300buf,buf,FitzRy00,rush_td,0,,,,,
player,201110300buf,buf,FitzRy00,rush_long,5,,,,,
player,201110300buf,buf,FitzRy00,targets,0,,,,,
player,201110300buf,buf,FitzRy00,rec,0,,,,,
player,201110300buf,buf,FitzRy00,rec_yds,0,,,,,
player,201110300buf,buf,FitzRy00,rec_td,0,,,,,
player,201110300buf,buf,FitzRy00,rec_long,0,,,,,
player,201110300buf,buf,FitzRy00,fumbles,1,,,,,
player,201110300buf,buf,FitzRy00,fumbles_lost,1,,,,,
player,201110300buf,buf,JackFr02,pass_cmp,0,,,,,
player,201110300buf,buf,JackFr02,pass_att,0,,,,,
player,201110300buf,buf,JackFr02,pass_yds,0,,,,,
player,201110300buf,buf,JackFr02,pass_td,0,,,,,
player,201110300buf,buf,JackFr02,pass_int,0,,,,,
player,201110300buf,buf,JackFr02,pass_sacked,0,,,,,
player,201110300buf,buf,JackFr02,pass_sacked_yds,0,,,,,
player,201110300buf,buf,JackFr02,pass_long,0,,,,,
player,201110300buf,buf,JackFr02,pass_rating,,,,,,
player,201110300buf,buf,JackFr02,rush_att,26,,,,,
player,201110300buf,buf,JackFr02,rush_yds,120,,,,,
player,201110300buf,buf,JackFr02,rush_td,0,,,,,
player,201110300buf,buf,JackFr02,rush_long,43,,,,,
player,201110300buf,buf,JackFr02,targets,4,,,,,
player,201110300buf,buf,JackFr02,rec,3,,,,,
player,201110300buf,buf,JackFr02,rec_yds,74,,,,,
player,201110300buf,buf,JackFr02,rec_td,0,,,,,
player,201110300buf,buf,JackFr02,rec_long,46,,,,,
player,201110300buf,buf,JackFr02,fumbles,0,,,,,
player,201110300buf,buf,JackFr02,fumbles_lost,,,,,,
player,201110300buf,buf,SmitBr01,pass_cmp,0,,,,,
player,201110300buf,buf,SmitBr01,pass_att,0,,,,,
player,201110300buf,buf,SmitBr01,pass_yds,0,,,,,
player,201110300buf,buf,SmitBr01,pass_td,0,,,,,
player,201110300buf,buf,SmitBr01,pass_int,0,,,,,
player,201110300buf,buf,SmitBr01,pass_sacked,0,,,,,
player,201110300buf,buf,SmitBr01,pass_sacked_yds,0,,,,,
player,201110300buf,buf,SmitBr01,pass_long,0,,,,,
player,201110300buf,buf,SmitBr01,pass_rating,,,,,,
player,201110300buf,buf,SmitBr01,rush_att,4,,,,,
player,201110300buf,buf,SmitBr01,rush_yds,14,,,,,
player,201110300buf,buf,SmitBr01,rush_td,0,,,,,
player,201110300buf,buf,SmitBr01,rush_long,6,,,,,
player,201110300buf,buf,SmitBr01,targets,3,,,,,
player,201110300buf,buf,SmitBr01,rec,3,,,,,
player,201110300buf,buf,SmitBr01,rec_yds,18,,,,,
player,201110300buf,buf,SmitBr01,rec_td,0,,,,,
player,201110300buf,buf,SmitBr01,rec_long,9,,,,,
player,201110300buf,buf,SmitBr01,fumbles,0,,,,,
player,201110300buf,buf,SmitBr01,fumbles_lost,,,,,,
player,201110300buf,buf,JohnSt00,pass_cmp,0,,,,,
player,201110300buf,buf,JohnSt00,pass_att,0,,,,,
player,201110300buf,buf,JohnSt00,pass_yds,0,,,,,
player,201110300buf,buf,JohnSt00,pass_td,0,,,,,
player,201110300buf,buf,JohnSt00,pass_int,0,,,,,
player,201110300buf,buf,JohnSt00,pass_sacked,0,,,,,
player,201110300buf,buf,JohnSt00,pass_sacked_yds,0,,,,,
player,201110300buf,buf,JohnSt00,pass_long,0,,,,,
player,201110300buf,buf,JohnSt00,pass_rating,,,,,,
player,201110300buf,buf,JohnSt00,rush_att,0,,,,,
player,201110300buf,buf,JohnSt00,rush_yds,0,,,,,
player,201110300buf,buf,JohnSt00,rush_td,0,,,,,
player,201110300buf,buf,JohnSt00,rush_long,0,,,,,
player,201110300buf,buf,JohnSt00,targets,9,,,,,
player,201110300buf,buf,JohnSt00,rec,6,,,,,
player,201110300buf,buf,JohnSt00,rec_yds,57,,,,,
player,201110300buf,buf,JohnSt00,rec_td,0,,,,,
player,201110300buf,buf,JohnSt00,rec_long,17,,,,,
player,201110300buf,buf,JohnSt00,fumbles,0,,,,,
player,201110300buf,buf,JohnSt00,fumbles_lost,,,,,,
player,201110300buf,buf,NelsDa01,pass_cmp,0,,,,,
player,201110300buf,buf,NelsDa01,pass_att,0,,,,,
player,201110300buf,buf,NelsDa01,pass_yds,0,,,,,
player,201110300buf,buf,NelsDa01,pass_td,0,,,,,
player,201110300buf,buf,NelsDa01,pass_int,0,,,,,
player,201110300buf,buf,NelsDa01,pass_sacked,0,,,,,
player,201110300buf,buf,NelsDa01,pass_sacked_yds,0,,,,,
player,201110300buf,buf,NelsDa01,pass_long,0,,,,,
player,201110300buf,buf,NelsDa01,pass_rating,,,,,,
player,201110300buf,buf,NelsDa01,rush_att,0,,,,,
player,201110300buf,buf,NelsDa01,rush_yds,0,,,,,
player,201110300buf,buf,NelsDa01,rush_td,0,,,,,
player,201110300buf,buf,NelsDa01,rush_long,0,,,,,
player,201110300buf,buf,NelsDa01,targets,5,,,,,
player,201110300buf,buf,NelsDa01,rec,4,,,,,
player,201110300buf,buf,NelsDa01,rec_yds,47,,,,,
player,201110300buf,buf,NelsDa01,rec_td,0,,,,,
player,201110300buf,buf,NelsDa01,rec_long,26,,,,,
player,201110300buf,buf,NelsDa01,fumbles,0,,,,,
player,201110300buf,buf,NelsDa01,fumbles_lost,,,,,,
player,201110300buf,buf,ChanSc00,pass_cmp,0,,,,,
player,201110300buf,buf,ChanSc00,pass_att,0,,,,,
player,201110300buf,buf,ChanSc00,pass_yds,0,,,,,
player,201110300buf,buf,ChanSc00,pass_td,0,,,,,
player,201110300buf,buf,ChanSc00,pass_int,0,,,,,
player,201110300buf,buf,ChanSc00,pass_sacked,0,,,,,
player,201110300buf,buf,ChanSc00,pass_sacked_yds,0,,,,,
player,201110300buf,buf,ChanSc00,pass_long,0,,,,,
player,201110300buf,buf,ChanSc00,pass_rating,,,,,,
player,201110300buf,buf,ChanSc00,rush_att,0,,,,,
player,201110300buf,buf,ChanSc00,rush_yds,0,,,,,
player,201110300buf,buf,ChanSc00,rush_td,0,,,,,
player,201110300buf,buf,ChanSc00,rush_long,0,,,,,
player,201110300buf,buf,ChanSc00,targets,2,,,,,
player,201110300buf,buf,ChanSc00,rec,2,,,,,
player,201110300buf,buf,ChanSc00,rec_yds,35,,,,,
player,201110300buf,buf,ChanSc00,rec_td,2,,,,,
player,201110300buf,buf,ChanSc00,rec_long,20,,,,,
player,201110300buf,buf,ChanSc00,fumbles,0,,,,,
player,201110300buf,buf,ChanSc00,fumbles_lost,,,,,,
player,201110300buf,buf,RoosNa00,pass_cmp,0,,,,,
player,201110300buf,buf,RoosNa00,pass_att,0,,,,,
player,201110300buf,buf,RoosNa00,pass_yds,0,,,,,
player,201110300buf,buf,RoosNa00,pass_td,0,,,,,
player,201110300buf,buf,RoosNa00,pass_int,0,,,,,
player,201110300buf,buf,RoosNa00,pass_sacked,0,,,,,
player,201110300buf,buf,RoosNa00,pass_sacked_yds,0,,,,,
player,201110300buf,buf,RoosNa00,pass_long,0,,,,,
player,201110300buf,buf,RoosNa00,pass_rating,,,,,,
player,201110300buf,buf,RoosNa00,rush_att,0,,,,,
player,201110300buf,buf,RoosNa00,rush_yds,0,,,,,
player,201110300buf,buf,RoosNa00,rush_td,0,,,,,
player,201110300buf,buf,RoosNa00,rush_long,0,,,,,
player,201110300buf,buf,RoosNa00,targets,1,,,,,
player,201110300buf,buf,RoosNa00,rec,1,,,,,
player,201110300buf,buf,RoosNa00,rec_yds,22,,,,,
player,201110300buf,buf,RoosNa00,rec_td,0,,,,,
player,201110300buf,buf,RoosNa00,rec_long,22,,,,,
player,201110300buf,buf,RoosNa00,fumbles,0,,,,,
player,201110300buf,buf,RoosNa00,fumbles_lost,,,,,,
player,201110300buf,buf,SpilC.00,pass_cmp,0,,,,,
player,201110300buf,buf,SpilC.00,pass_att,0,,,,,
player,201110300buf,buf,SpilC.00,pass_yds,0,,,,,
player,201110300buf,buf,SpilC.00,pass_td,0,,,,,
player,201110300buf,buf,SpilC.00,pass_int,0,,,,,
player,201110300buf,buf,SpilC.00,pass_sacked,0,,,,,
player,201110300buf,buf,SpilC.00,pass_sacked_yds,0,,,,,
player,201110300buf,buf,SpilC.00,pass_long,0,,,,,
player,201110300buf,buf,SpilC.00,pass_rating,,,,,,
player,201110300buf,buf,SpilC.00,rush_att,0,,,,,
player,201110300buf,buf,SpilC.00,rush_yds,0,,,,,
player,201110300buf,buf,SpilC.00,rush_td,0,,,,,
player,201110300buf,buf,SpilC.00,rush_long,0,,,,,
player,201110300buf,buf,SpilC.00,targets,3,,,,,
player,201110300buf,buf,SpilC.00,rec,2,,,,,
player,201110300buf,buf,SpilC.00,rec_yds,9,,,,,
player,201110300buf,buf,SpilC.00,rec_td,0,,,,,
player,201110300buf,buf,SpilC.00,rec_long,11,,,,,
player,201110300buf,buf,SpilC.00,fumbles,0,,,,,
player,201110300buf,buf,SpilC.00,fumbles_lost,,,,,,
player,201110300buf,was,FletLo20,def_int,1,,,,,
player,201110300buf,was,FletLo20,def_int_yds,0,,,,,
player,201110300buf,was,FletLo20,def_int_td,0,,,,,
player,201110300buf,was,FletLo20,def_int_long,0,,,,,
player,201110300buf,was,FletLo20,pass_defended,1,,,,,
player,201110300buf,was,FletLo20,sacks,0.0,,,,,
player,201110300buf,was,FletLo20,tackles_combined,19,,,,,
player,201110300buf,was,FletLo20,tackles_solo,12,,,,,
player,201110300buf,was,FletLo20,tackles_assists,7,,,,,
player,201110300buf,was,FletLo20,tackles_loss,0,,,,,
player,201110300buf,was,FletLo20,qb_hits,1,,,,,
player,201110300buf,was,FletLo20,fumbles_rec,0,,,,,
player,201110300buf,was,FletLo20,fumbles_rec_yds,0,,,,,
player,201110300buf,was,FletLo20,fumbles_rec_td,0,,,,,
player,201110300buf,was,FletLo20,fumbles_forced,0,,,,,
player,201110300buf,was,BoweSt20,def_int,0,,,,,
player,201110300buf,was,BoweSt20,def_int_yds,0,,,,,
player,201110300buf,was,BoweSt20,def_int_td,0,,,,,
player,201110300buf,was,BoweSt20,def_int_long,0,,,,,
player,201110300buf,was,BoweSt20,pass_defended,0,,,,,
player,201110300buf,was,BoweSt20,sacks,1.0,,,,,
player,201110300buf,was,BoweSt20,tackles_combined,5,,,,,
player,201110300buf,was,BoweSt20,tackles_solo,1,,,,,
player,201110300buf,was,BoweSt20,tackles_assists,4,,,,,
player,201110300buf,was,BoweSt20,tackles_loss,1,,,,,
player,201110300buf,was,BoweSt20,qb_hits,1,,,,,
player,201110300buf,was,BoweSt20,fumbles_rec,0,,,,,
player,201110300buf,was,BoweSt20,fumbles_rec_yds,0,,,,,
player,201110300buf,was,BoweSt20,fumbles_rec_td,0,,,,,
player,201110300buf,was,BoweSt20,fumbles_forced,0,,,,,
player,201110300buf,was,GolsKe20,def_int,0,,,,,
player,201110300buf,was,GolsKe20,def_int_yds,0,,,,,
player,201110300buf,was,GolsKe20,def_int_td,0,,,,,
player,201110300buf,was,GolsKe20,def_int_long,0,,,,,
player,201110300buf,was,GolsKe20,pass_defended,0,,,,,
player,201110300buf,was,GolsKe20,sacks,1.0,,,,,
player,201110300buf,was,GolsKe20,tackles_combined,4,,,,,
player,201110300buf,was,GolsKe20,tackles_solo,2,,,,,
player,201110300buf,was,GolsKe20,tackles_assists,2,,,,,
player,201110300buf,was,GolsKe20,tackles_loss,1,,,,,
player,201110300buf,was,GolsKe20,qb_hits,1,,,,,
player,201110300buf,was,GolsKe20,fumbles_rec,0,,,,,
player,201110300buf,was,GolsKe20,fumbles_rec_yds,0,,,,,
player,201110300buf,was,GolsKe20,fumbles_rec_td,0,,,,,
player,201110300buf,was,GolsKe20,fumbles_forced,0,,,,,
player,201110300buf,was,LandLa99,def_int,0,,,,,
player,201110300buf,was,LandLa99,def_int_yds,0,,,,,
player,201110300buf,was,LandLa99,def_int_td,0,,,,,
player,201110300buf,was,LandLa99,def_int_long,0,,,,,
player,201110300buf,was,LandLa99,pass_defended,0,,,,,
player,201110300buf,was,LandLa99,sacks,0.0,,,,,
player,201110300buf,was,LandLa99,tackles_combined,7,,,,,
player,201110300buf,was,LandLa99,tackles_solo,2,,,,,
player,201110300buf,was,LandLa99,tackles_assists,5,,,,,
player,201110300buf,was,LandLa99,tackles_loss,0,,,,,
player,201110300buf,was,LandLa99,qb_hits,0,,,,,
player,201110300buf,was,LandLa99,fumbles_rec,0,,,,,
player,201110300buf,was,LandLa99,fumbles_rec_yds,0,,,,,
player,201110300buf,was,LandLa99,fumbles_rec_td,0,,,,,
player,201110300buf,was,LandLa99,fumbles_forced,0,,,,,
player,201110300buf,was,McInRo20,def_int,0,,,,,
player,201110300buf,was,McInRo20,def_int_yds,0,,,,,
player,201110300buf,was,McInRo20,def_int_td,0,,,,,
player,201110300buf,was,McInRo20,def_int_long,0,,,,,
player,201110300buf,was,McInRo20,pass_defended,0,,,,,
player,201110300buf,was,McInRo20,sacks,0.0,,,,,
player,201110300buf,was,McInRo20,tackles_combined,7,,,,,
player,201110300buf,was,McInRo20,tackles_solo,4,,,,,
player,201110300buf,was,McInRo20,tackles_assists,3,,,,,
player,201110300buf,was,McInRo20,tackles_loss,0,,,,,
player,201110300buf,was,McInRo20,qb_hits,0,,,,,
player,201110300buf,was,McInRo20,fumbles_rec,0,,,,,
player,201110300buf,was,McInRo20,fumbles_rec_yds,0,,,,,
player,201110300buf,was,McInRo20,fumbles_rec_td,0,,,,,
player,201110300buf,was,McInRo20,fumbles_forced,0,,,,,
player,201110300buf,was,HallDe99,def_int,0,,,,,
player,201110300buf,was,HallDe99,def_int_yds,0,,,,,
player,201110300buf,was,HallDe99,def_int_td,0,,,,,
player,201110300buf,was,HallDe99,def_int_long,0,,,,,
player,201110300buf,was,HallDe99,pass_defended,0,,,,,
player,201110300buf,was,HallDe99,sacks,0.0,,,,,
player,201110300buf,was,HallDe99,tackles_combined,6,,,,,
