game,2011,15,20111215,201112150atl,jax,"Jacksonville Jaguars",14,atl,"Atlanta Falcons",41
player,201112150atl,jax,HarrDu01,pass_rating,,,,,,
player,201112150atl,jax,HarrDu01,rush_att,1,,,,,
player,201112150atl,jax,HarrDu01,rush_yds,-1,,,,,
player,201112150atl,jax,HarrDu01,rush_td,0,,,,,
player,201112150atl,jax,HarrDu01,rush_long,-1,,,,,
player,201112150atl,jax,HarrDu01,targets,1,,,,,
player,201112150atl,jax,HarrDu01,rec,0,,,,,
player,201112150atl,jax,HarrDu01,rec_yds,0,,,,,
player,201112150atl,jax,HarrDu01,rec_td,0,,,,,
player,201112150atl,jax,HarrDu01,rec_long,0,,,,,
player,201112150atl,jax,HarrDu01,fumbles,0,,,,,
player,201112150atl,jax,HarrDu01,fumbles_lost,,,,,,
player,201112150atl,atl,RyanMa00,pass_cmp,19,,,,,
player,201112150atl,atl,RyanMa00,pass_att,26,,,,,
player,201112150atl,atl,RyanMa00,pass_yds,224,,,,,
player,201112150atl,atl,RyanMa00,pass_td,3,,,,,
player,201112150atl,atl,RyanMa00,pass_int,0,,,,,
player,201112150atl,atl,RyanMa00,pass_sacked,1,,,,,
player,201112150atl,atl,RyanMa00,pass_sacked_yds,4,,,,,
player,201112150atl,atl,RyanMa00,pass_long,29,,,,,
player,201112150atl,atl,RyanMa00,pass_rating,137.3,,,,,
player,201112150atl,atl,RyanMa00,rush_att,0,,,,,
player,201112150atl,atl,RyanMa00,rush_yds,0,,,,,
player,201112150atl,atl,RyanMa00,rush_td,0,,,,,
player,201112150atl,atl,RyanMa00,rush_long,0,,,,,
player,201112150atl,atl,RyanMa00,targets,0,,,,,
player,201112150atl,atl,RyanMa00,rec,0,,,,,
player,201112150atl,atl,RyanMa00,rec_yds,0,,,,,
player,201112150atl,atl,RyanMa00,rec_td,0,,,,,
player,201112150atl,atl,RyanMa00,rec_long,0,,,,,
player,201112150atl,atl,RyanMa00,fumbles,0,,,,,
player,201112150atl,atl,RyanMa00,fumbles_lost,,,,,,
player,201112150atl,atl,RedmCh00,pass_cmp,5,,,,,
player,201112150atl,atl,RedmCh00,pass_att,6,,,,,
player,201112150atl,atl,RedmCh00,pass_yds,56,,,,,
player,201112150atl,atl,RedmCh00,pass_td,0,,,,,
player,201112150atl,atl,RedmCh00,pass_int,0,,,,,
player,201112150atl,atl,RedmCh00,pass_sacked,0,,,,,
player,201112150atl,atl,RedmCh00,pass_sacked_yds,0,,,,,
player,201112150atl,atl,RedmCh00,pass_long,22,,,,,
player,201112150atl,atl,RedmCh00,pass_rating,105.6,,,,,
player,201112150atl,atl,RedmCh00,rush_att,2,,,,,
player,201112150atl,atl,RedmCh00,rush_yds,-2,,,,,
player,201112150atl,atl,RedmCh00,rush_td,0,,,,,
player,201112150atl,atl,RedmCh00,rush_long,-1,,,,,
player,201112150atl,atl,RedmCh00,targets,0,,,,,
player,201112150atl,atl,RedmCh00,rec,0,,,,,
player,201112150atl,atl,RedmCh00,rec_yds,0,,,,,
player,201112150atl,atl,RedmCh00,rec_td,0,,,,,
player,201112150atl,atl,RedmCh00,rec_long,0,,,,,
player,201112150atl,atl,RedmCh00,fumbles,0,,,,,
player,201112150atl,atl,RedmCh00,fumbles_lost,,,,,,
player,201112150atl,atl,TurnMi00,pass_cmp,0,,,,,
player,201112150atl,atl,TurnMi00,pass_att,0,,,,,
player,201112150atl,atl,TurnMi00,pass_yds,0,,,,,
player,201112150atl,atl,TurnMi00,pass_td,0,,,,,
player,201112150atl,atl,TurnMi00,pass_int,0,,,,,
player,201112150atl,atl,TurnMi00,pass_sacked,0,,,,,
player,201112150atl,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201112150atl,atl,TurnMi00,pass_long,0,,,,,
player,201112150atl,atl,TurnMi00,pass_rating,,,,,,
player,201112150atl,atl,TurnMi00,rush_att,19,,,,,
player,201112150atl,atl,TurnMi00,rush_yds,61,,,,,
player,201112150atl,atl,TurnMi00,rush_td,1,,,,,
player,201112150atl,atl,TurnMi00,rush_long,16,,,,,
player,201112150atl,atl,TurnMi00,targets,2,,,,,
player,201112150atl,atl,TurnMi00,rec,2,,,,,
player,201112150atl,atl,TurnMi00,rec_yds,4,,,,,
player,201112150atl,atl,TurnMi00,rec_td,0,,,,,
player,201112150atl,atl,TurnMi00,rec_long,3,,,,,
player,201112150atl,atl,TurnMi00,fumbles,0,,,,,
player,201112150atl,atl,TurnMi00,fumbles_lost,,,,,,
player,201112150atl,atl,SnelJa00,pass_cmp,0,,,,,
player,201112150atl,atl,SnelJa00,pass_att,0,,,,,
player,201112150atl,atl,SnelJa00,pass_yds,0,,,,,
player,201112150atl,atl,SnelJa00,pass_td,0,,,,,
player,201112150atl,atl,SnelJa00,pass_int,0,,,,,
player,201112150atl,atl,SnelJa00,pass_sacked,0,,,,,
player,201112150atl,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201112150atl,atl,SnelJa00,pass_long,0,,,,,
player,201112150atl,atl,SnelJa00,pass_rating,,,,,,
player,201112150atl,atl,SnelJa00,rush_att,5,,,,,
player,201112150atl,atl,SnelJa00,rush_yds,22,,,,,
player,201112150atl,atl,SnelJa00,rush_td,0,,,,,
player,201112150atl,atl,SnelJa00,rush_long,11,,,,,
player,201112150atl,atl,SnelJa00,targets,4,,,,,
player,201112150atl,atl,SnelJa00,rec,4,,,,,
player,201112150atl,atl,SnelJa00,rec_yds,26,,,,,
player,201112150atl,atl,SnelJa00,rec_td,0,,,,,
player,201112150atl,atl,SnelJa00,rec_long,7,,,,,
player,201112150atl,atl,SnelJa00,fumbles,0,,,,,
player,201112150atl,atl,SnelJa00,fumbles_lost,,,,,,
player,201112150atl,atl,RodgJa00,pass_cmp,0,,,,,
player,201112150atl,atl,RodgJa00,pass_att,0,,,,,
player,201112150atl,atl,RodgJa00,pass_yds,0,,,,,
player,201112150atl,atl,RodgJa00,pass_td,0,,,,,
player,201112150atl,atl,RodgJa00,pass_int,0,,,,,
player,201112150atl,atl,RodgJa00,pass_sacked,0,,,,,
player,201112150atl,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201112150atl,atl,RodgJa00,pass_long,0,,,,,
player,201112150atl,atl,RodgJa00,pass_rating,,,,,,
player,201112150atl,atl,RodgJa00,rush_att,8,,,,,
player,201112150atl,atl,RodgJa00,rush_yds,10,,,,,
player,201112150atl,atl,RodgJa00,rush_td,0,,,,,
player,201112150atl,atl,RodgJa00,rush_long,12,,,,,
player,201112150atl,atl,RodgJa00,targets,1,,,,,
player,201112150atl,atl,RodgJa00,rec,1,,,,,
player,201112150atl,atl,RodgJa00,rec_yds,4,,,,,
player,201112150atl,atl,RodgJa00,rec_td,0,,,,,
player,201112150atl,atl,RodgJa00,rec_long,4,,,,,
