game,2011,2,20110918,201109180nor,chi,"Chicago Bears",13,nor,"New Orleans Saints",30
player,201109180nor,chi,FortMa00,rush_td,0,,,,,
player,201109180nor,chi,FortMa00,rush_long,42,,,,,
player,201109180nor,chi,FortMa00,targets,14,,,,,
player,201109180nor,chi,FortMa00,rec,10,,,,,
player,201109180nor,chi,FortMa00,rec_yds,117,,,,,
player,201109180nor,chi,FortMa00,rec_td,0,,,,,
player,201109180nor,chi,FortMa00,rec_long,21,,,,,
player,201109180nor,chi,FortMa00,fumbles,0,,,,,
player,201109180nor,chi,FortMa00,fumbles_lost,,,,,,
player,201109180nor,chi,KnoxJo00,pass_cmp,0,,,,,
player,201109180nor,chi,KnoxJo00,pass_att,0,,,,,
player,201109180nor,chi,KnoxJo00,pass_yds,0,,,,,
player,201109180nor,chi,KnoxJo00,pass_td,0,,,,,
player,201109180nor,chi,KnoxJo00,pass_int,0,,,,,
player,201109180nor,chi,KnoxJo00,pass_sacked,0,,,,,
player,201109180nor,chi,KnoxJo00,pass_sacked_yds,0,,,,,
player,201109180nor,chi,KnoxJo00,pass_long,0,,,,,
player,201109180nor,chi,KnoxJo00,pass_rating,,,,,,
player,201109180nor,chi,KnoxJo00,rush_att,0,,,,,
player,201109180nor,chi,KnoxJo00,rush_yds,0,,,,,
player,201109180nor,chi,KnoxJo00,rush_td,0,,,,,
player,201109180nor,chi,KnoxJo00,rush_long,0,,,,,
player,201109180nor,chi,KnoxJo00,targets,6,,,,,
player,201109180nor,chi,KnoxJo00,rec,2,,,,,
player,201109180nor,chi,KnoxJo00,rec_yds,45,,,,,
player,201109180nor,chi,KnoxJo00,rec_td,0,,,,,
player,201109180nor,chi,KnoxJo00,rec_long,30,,,,,
player,201109180nor,chi,KnoxJo00,fumbles,0,,,,,
player,201109180nor,chi,KnoxJo00,fumbles_lost,,,,,,
player,201109180nor,chi,SanzDa00,pass_cmp,0,,,,,
player,201109180nor,chi,SanzDa00,pass_att,0,,,,,
player,201109180nor,chi,SanzDa00,pass_yds,0,,,,,
player,201109180nor,chi,SanzDa00,pass_td,0,,,,,
player,201109180nor,chi,SanzDa00,pass_int,0,,,,,
player,201109180nor,chi,SanzDa00,pass_sacked,0,,,,,
player,201109180nor,chi,SanzDa00,pass_sacked_yds,0,,,,,
player,201109180nor,chi,SanzDa00,pass_long,0,,,,,
player,201109180nor,chi,SanzDa00,pass_rating,,,,,,
player,201109180nor,chi,SanzDa00,rush_att,0,,,,,
player,201109180nor,chi,SanzDa00,rush_yds,0,,,,,
player,201109180nor,chi,SanzDa00,rush_td,0,,,,,
player,201109180nor,chi,SanzDa00,rush_long,0,,,,,
player,201109180nor,chi,SanzDa00,targets,7,,,,,
player,201109180nor,chi,SanzDa00,rec,3,,,,,
player,201109180nor,chi,SanzDa00,rec_yds,33,,,,,
player,201109180nor,chi,SanzDa00,rec_td,1,,,,,
player,201109180nor,chi,SanzDa00,rec_long,17,,,,,
player,201109180nor,chi,SanzDa00,fumbles,0,,,,,
player,201109180nor,chi,SanzDa00,fumbles_lost,,,,,,
player,201109180nor,chi,HestDe99,pass_cmp,0,,,,,
player,201109180nor,chi,HestDe99,pass_att,0,,,,,
player,201109180nor,chi,HestDe99,pass_yds,0,,,,,
player,201109180nor,chi,HestDe99,pass_td,0,,,,,
player,201109180nor,chi,HestDe99,pass_int,0,,,,,
player,201109180nor,chi,HestDe99,pass_sacked,0,,,,,
player,201109180nor,chi,HestDe99,pass_sacked_yds,0,,,,,
player,201109180nor,chi,HestDe99,pass_long,0,,,,,
player,201109180nor,chi,HestDe99,pass_rating,,,,,,
player,201109180nor,chi,HestDe99,rush_att,0,,,,,
player,201109180nor,chi,HestDe99,rush_yds,0,,,,,
player,201109180nor,chi,HestDe99,rush_td,0,,,,,
player,201109180nor,chi,HestDe99,rush_long,0,,,,,
player,201109180nor,chi,HestDe99,targets,9,,,,,
player,201109180nor,chi,HestDe99,rec,1,,,,,
player,201109180nor,chi,HestDe99,rec_yds,17,,,,,
player,201109180nor,chi,HestDe99,rec_td,0,,,,,
player,201109180nor,chi,HestDe99,rec_long,17,,,,,
player,201109180nor,chi,HestDe99,fumbles,1,,,,,
player,201109180nor,chi,HestDe99,fumbles_lost,0,,,,,
player,201109180nor,chi,HurdSa00,pass_cmp,0,,,,,
player,201109180nor,chi,HurdSa00,pass_att,0,,,,,
player,201109180nor,chi,HurdSa00,pass_yds,0,,,,,
player,201109180nor,chi,HurdSa00,pass_td,0,,,,,
player,201109180nor,chi,HurdSa00,pass_int,0,,,,,
player,201109180nor,chi,HurdSa00,pass_sacked,0,,,,,
player,201109180nor,chi,HurdSa00,pass_sacked_yds,0,,,,,
player,201109180nor,chi,HurdSa00,pass_long,0,,,,,
player,201109180nor,chi,HurdSa00,pass_rating,,,,,,
player,201109180nor,chi,HurdSa00,rush_att,0,,,,,
player,201109180nor,chi,HurdSa00,rush_yds,0,,,,,
player,201109180nor,chi,HurdSa00,rush_td,0,,,,,
player,201109180nor,chi,HurdSa00,rush_long,0,,,,,
player,201109180nor,chi,HurdSa00,targets,3,,,,,
player,201109180nor,chi,HurdSa00,rec,1,,,,,
player,201109180nor,chi,HurdSa00,rec_yds,13,,,,,
player,201109180nor,chi,HurdSa00,rec_td,0,,,,,
player,201109180nor,chi,HurdSa00,rec_long,13,,,,,
player,201109180nor,chi,HurdSa00,fumbles,1,,,,,
player,201109180nor,chi,HurdSa00,fumbles_lost,0,,,,,
player,201109180nor,chi,ClutTy00,pass_cmp,0,,,,,
player,201109180nor,chi,ClutTy00,pass_att,0,,,,,
player,201109180nor,chi,ClutTy00,pass_yds,0,,,,,
player,201109180nor,chi,ClutTy00,pass_td,0,,,,,
player,201109180nor,chi,ClutTy00,pass_int,0,,,,,
player,201109180nor,chi,ClutTy00,pass_sacked,0,,,,,
player,201109180nor,chi,ClutTy00,pass_sacked_yds,0,,,,,
player,201109180nor,chi,ClutTy00,pass_long,0,,,,,
player,201109180nor,chi,ClutTy00,pass_rating,,,,,,
player,201109180nor,chi,ClutTy00,rush_att,0,,,,,
player,201109180nor,chi,ClutTy00,rush_yds,0,,,,,
player,201109180nor,chi,ClutTy00,rush_td,0,,,,,
player,201109180nor,chi,ClutTy00,rush_long,0,,,,,
player,201109180nor,chi,ClutTy00,targets,1,,,,,
player,201109180nor,chi,ClutTy00,rec,1,,,,,
player,201109180nor,chi,ClutTy00,rec_yds,10,,,,,
player,201109180nor,chi,ClutTy00,rec_td,0,,,,,
player,201109180nor,chi,ClutTy00,rec_long,10,,,,,
player,201109180nor,chi,ClutTy00,fumbles,0,,,,,
player,201109180nor,chi,ClutTy00,fumbles_lost,,,,,,
player,201109180nor,chi,BennEa00,pass_cmp,0,,,,,
player,201109180nor,chi,BennEa00,pass_att,0,,,,,
player,201109180nor,chi,BennEa00,pass_yds,0,,,,,
player,201109180nor,chi,BennEa00,pass_td,0,,,,,
player,201109180nor,chi,BennEa00,pass_int,0,,,,,
player,201109180nor,chi,BennEa00,pass_sacked,0,,,,,
player,201109180nor,chi,BennEa00,pass_sacked_yds,0,,,,,
player,201109180nor,chi,BennEa00,pass_long,0,,,,,
player,201109180nor,chi,BennEa00,pass_rating,,,,,,
player,201109180nor,chi,BennEa00,rush_att,0,,,,,
player,201109180nor,chi,BennEa00,rush_yds,0,,,,,
player,201109180nor,chi,BennEa00,rush_td,0,,,,,
player,201109180nor,chi,BennEa00,rush_long,0,,,,,
player,201109180nor,chi,BennEa00,targets,1,,,,,
player,201109180nor,chi,BennEa00,rec,1,,,,,
player,201109180nor,chi,BennEa00,rec_yds,9,,,,,
player,201109180nor,chi,BennEa00,rec_td,0,,,,,
player,201109180nor,chi,BennEa00,rec_long,9,,,,,
player,201109180nor,chi,BennEa00,fumbles,0,,,,,
player,201109180nor,chi,BennEa00,fumbles_lost,,,,,,
player,201109180nor,chi,SpaeMa00,pass_cmp,0,,,,,
player,201109180nor,chi,SpaeMa00,pass_att,0,,,,,
player,201109180nor,chi,SpaeMa00,pass_yds,0,,,,,
player,201109180nor,chi,SpaeMa00,pass_td,0,,,,,
player,201109180nor,chi,SpaeMa00,pass_int,0,,,,,
player,201109180nor,chi,SpaeMa00,pass_sacked,0,,,,,
player,201109180nor,chi,SpaeMa00,pass_sacked_yds,0,,,,,
player,201109180nor,chi,SpaeMa00,pass_long,0,,,,,
player,201109180nor,chi,SpaeMa00,pass_rating,,,,,,
player,201109180nor,chi,SpaeMa00,rush_att,0,,,,,
player,201109180nor,chi,SpaeMa00,rush_yds,0,,,,,
player,201109180nor,chi,SpaeMa00,rush_td,0,,,,,
player,201109180nor,chi,SpaeMa00,rush_long,0,,,,,
player,201109180nor,chi,SpaeMa00,targets,1,,,,,
player,201109180nor,chi,SpaeMa00,rec,0,,,,,
player,201109180nor,chi,SpaeMa00,rec_yds,0,,,,,
player,201109180nor,chi,SpaeMa00,rec_td,0,,,,,
player,201109180nor,chi,SpaeMa00,rec_long,0,,,,,
player,201109180nor,chi,SpaeMa00,fumbles,0,,,,,
player,201109180nor,chi,SpaeMa00,fumbles_lost,,,,,,
player,201109180nor,chi,DaviKe01,pass_cmp,0,,,,,
player,201109180nor,chi,DaviKe01,pass_att,0,,,,,
player,201109180nor,chi,DaviKe01,pass_yds,0,,,,,
player,201109180nor,chi,DaviKe01,pass_td,0,,,,,
player,201109180nor,chi,DaviKe01,pass_int,0,,,,,
player,201109180nor,chi,DaviKe01,pass_sacked,0,,,,,
player,201109180nor,chi,DaviKe01,pass_sacked_yds,0,,,,,
player,201109180nor,chi,DaviKe01,pass_long,0,,,,,
player,201109180nor,chi,DaviKe01,pass_rating,,,,,,
player,201109180nor,chi,DaviKe01,rush_att,0,,,,,
player,201109180nor,chi,DaviKe01,rush_yds,0,,,,,
player,201109180nor,chi,DaviKe01,rush_td,0,,,,,
player,201109180nor,chi,DaviKe01,rush_long,0,,,,,
player,201109180nor,chi,DaviKe01,targets,1,,,,,
player,201109180nor,chi,DaviKe01,rec,0,,,,,
player,201109180nor,chi,DaviKe01,rec_yds,0,,,,,
player,201109180nor,chi,DaviKe01,rec_td,0,,,,,
player,201109180nor,chi,DaviKe01,rec_long,0,,,,,
player,201109180nor,chi,DaviKe01,fumbles,0,,,,,
player,201109180nor,chi,DaviKe01,fumbles_lost,,,,,,
player,201109180nor,chi,BellKa00,pass_cmp,0,,,,,
player,201109180nor,chi,BellKa00,pass_att,0,,,,,
player,201109180nor,chi,BellKa00,pass_yds,0,,,,,
player,201109180nor,chi,BellKa00,pass_td,0,,,,,
player,201109180nor,chi,BellKa00,pass_int,0,,,,,
player,201109180nor,chi,BellKa00,pass_sacked,0,,,,,
player,201109180nor,chi,BellKa00,pass_sacked_yds,0,,,,,
player,201109180nor,chi,BellKa00,pass_long,0,,,,,
player,201109180nor,chi,BellKa00,pass_rating,,,,,,
player,201109180nor,chi,BellKa00,rush_att,1,,,,,
player,201109180nor,chi,BellKa00,rush_yds,-1,,,,,
player,201109180nor,chi,BellKa00,rush_td,0,,,,,
player,201109180nor,chi,BellKa00,rush_long,-1,,,,,
player,201109180nor,chi,BellKa00,targets,1,,,,,
player,201109180nor,chi,BellKa00,rec,0,,,,,
player,201109180nor,chi,BellKa00,rec_yds,0,,,,,
player,201109180nor,chi,BellKa00,rec_td,0,,,,,
player,201109180nor,chi,BellKa00,rec_long,0,,,,,
player,201109180nor,chi,BellKa00,fumbles,0,,,,,
player,201109180nor,chi,BellKa00,fumbles_lost,,,,,,
player,201109180nor,nor,BreeDr00,pass_cmp,26,,,,,
player,201109180nor,nor,BreeDr00,pass_att,37,,,,,
player,201109180nor,nor,BreeDr00,pass_yds,270,,,,,
player,201109180nor,nor,BreeDr00,pass_td,3,,,,,
player,201109180nor,nor,BreeDr00,pass_int,0,,,,,
player,201109180nor,nor,BreeDr00,pass_sacked,1,,,,,
player,201109180nor,nor,BreeDr00,pass_sacked_yds,6,,,,,
player,201109180nor,nor,BreeDr00,pass_long,79,,,,,
player,201109180nor,nor,BreeDr00,pass_rating,118.1,,,,,
player,201109180nor,nor,BreeDr00,rush_att,1,,,,,
player,201109180nor,nor,BreeDr00,rush_yds,2,,,,,
player,201109180nor,nor,BreeDr00,rush_td,0,,,,,
player,201109180nor,nor,BreeDr00,rush_long,2,,,,,
player,201109180nor,nor,BreeDr00,targets,0,,,,,
player,201109180nor,nor,BreeDr00,rec,0,,,,,
player,201109180nor,nor,BreeDr00,rec_yds,0,,,,,
player,201109180nor,nor,BreeDr00,rec_td,0,,,,,
player,201109180nor,nor,BreeDr00,rec_long,0,,,,,
player,201109180nor,nor,BreeDr00,fumbles,0,,,,,
player,201109180nor,nor,BreeDr00,fumbles_lost,,,,,,
player,201109180nor,nor,IngrMa01,pass_cmp,0,,,,,
player,201109180nor,nor,IngrMa01,pass_att,0,,,,,
player,201109180nor,nor,IngrMa01,pass_yds,0,,,,,
player,201109180nor,nor,IngrMa01,pass_td,0,,,,,
player,201109180nor,nor,IngrMa01,pass_int,0,,,,,
player,201109180nor,nor,IngrMa01,pass_sacked,0,,,,,
player,201109180nor,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201109180nor,nor,IngrMa01,pass_long,0,,,,,
player,201109180nor,nor,IngrMa01,pass_rating,,,,,,
player,201109180nor,nor,IngrMa01,rush_att,14,,,,,
player,201109180nor,nor,IngrMa01,rush_yds,51,,,,,
player,201109180nor,nor,IngrMa01,rush_td,0,,,,,
player,201109180nor,nor,IngrMa01,rush_long,12,,,,,
player,201109180nor,nor,IngrMa01,targets,0,,,,,
player,201109180nor,nor,IngrMa01,rec,0,,,,,
player,201109180nor,nor,IngrMa01,rec_yds,0,,,,,
player,201109180nor,nor,IngrMa01,rec_td,0,,,,,
player,201109180nor,nor,IngrMa01,rec_long,0,,,,,
player,201109180nor,nor,IngrMa01,fumbles,1,,,,,
player,201109180nor,nor,IngrMa01,fumbles_lost,1,,,,,
player,201109180nor,nor,ThomPi00,pass_cmp,0,,,,,
player,201109180nor,nor,ThomPi00,pass_att,0,,,,,
player,201109180nor,nor,ThomPi00,pass_yds,0,,,,,
player,201109180nor,nor,ThomPi00,pass_td,0,,,,,
player,201109180nor,nor,ThomPi00,pass_int,0,,,,,
player,201109180nor,nor,ThomPi00,pass_sacked,0,,,,,
player,201109180nor,nor,ThomPi00,pass_sacked_yds,0,,,,,
player,201109180nor,nor,ThomPi00,pass_long,0,,,,,
player,201109180nor,nor,ThomPi00,pass_rating,,,,,,
player,201109180nor,nor,ThomPi00,rush_att,9,,,,,
player,201109180nor,nor,ThomPi00,rush_yds,41,,,,,
player,201109180nor,nor,ThomPi00,rush_td,0,,,,,
player,201109180nor,nor,ThomPi00,rush_long,9,,,,,
player,201109180nor,nor,ThomPi00,targets,4,,,,,
player,201109180nor,nor,ThomPi00,rec,2,,,,,
player,201109180nor,nor,ThomPi00,rec_yds,14,,,,,
player,201109180nor,nor,ThomPi00,rec_td,0,,,,,
player,201109180nor,nor,ThomPi00,rec_long,12,,,,,
player,201109180nor,nor,ThomPi00,fumbles,0,,,,,
player,201109180nor,nor,ThomPi00,fumbles_lost,,,,,,
player,201109180nor,nor,SproDa00,pass_cmp,0,,,,,
player,201109180nor,nor,SproDa00,pass_att,0,,,,,
player,201109180nor,nor,SproDa00,pass_yds,0,,,,,
player,201109180nor,nor,SproDa00,pass_td,0,,,,,
player,201109180nor,nor,SproDa00,pass_int,0,,,,,
player,201109180nor,nor,SproDa00,pass_sacked,0,,,,,
player,201109180nor,nor,SproDa00,pass_sacked_yds,0,,,,,
player,201109180nor,nor,SproDa00,pass_long,0,,,,,
player,201109180nor,nor,SproDa00,pass_rating,,,,,,
player,201109180nor,nor,SproDa00,rush_att,4,,,,,
player,201109180nor,nor,SproDa00,rush_yds,17,,,,,
player,201109180nor,nor,SproDa00,rush_td,0,,,,,
player,201109180nor,nor,SproDa00,rush_long,7,,,,,
player,201109180nor,nor,SproDa00,targets,10,,,,,
player,201109180nor,nor,SproDa00,rec,8,,,,,
player,201109180nor,nor,SproDa00,rec_yds,43,,,,,
player,201109180nor,nor,SproDa00,rec_td,1,,,,,
player,201109180nor,nor,SproDa00,rec_long,12,,,,,
player,201109180nor,nor,SproDa00,fumbles,0,,,,,
player,201109180nor,nor,SproDa00,fumbles_lost,,,,,,
player,201109180nor,nor,MeacRo00,pass_cmp,0,,,,,
player,201109180nor,nor,MeacRo00,pass_att,0,,,,,
player,201109180nor,nor,MeacRo00,pass_yds,0,,,,,
player,201109180nor,nor,MeacRo00,pass_td,0,,,,,
player,201109180nor,nor,MeacRo00,pass_int,0,,,,,
player,201109180nor,nor,MeacRo00,pass_sacked,0,,,,,
player,201109180nor,nor,MeacRo00,pass_sacked_yds,0,,,,,
player,201109180nor,nor,MeacRo00,pass_long,0,,,,,
player,201109180nor,nor,MeacRo00,pass_rating,,,,,,
player,201109180nor,nor,MeacRo00,rush_att,1,,,,,
player,201109180nor,nor,MeacRo00,rush_yds,7,,,,,
player,201109180nor,nor,MeacRo00,rush_td,0,,,,,
player,201109180nor,nor,MeacRo00,rush_long,7,,,,,
player,201109180nor,nor,MeacRo00,targets,4,,,,,
player,201109180nor,nor,MeacRo00,rec,4,,,,,
player,201109180nor,nor,MeacRo00,rec_yds,10,,,,,
player,201109180nor,nor,MeacRo00,rec_td,1,,,,,
player,201109180nor,nor,MeacRo00,rec_long,6,,,,,
player,201109180nor,nor,MeacRo00,fumbles,0,,,,,
player,201109180nor,nor,MeacRo00,fumbles_lost,,,,,,
player,201109180nor,nor,HendDe00,pass_cmp,0,,,,,
player,201109180nor,nor,HendDe00,pass_att,0,,,,,
player,201109180nor,nor,HendDe00,pass_yds,0,,,,,
player,201109180nor,nor,HendDe00,pass_td,0,,,,,
player,201109180nor,nor,HendDe00,pass_int,0,,,,,
player,201109180nor,nor,HendDe00,pass_sacked,0,,,,,
player,201109180nor,nor,HendDe00,pass_sacked_yds,0,,,,,
player,201109180nor,nor,HendDe00,pass_long,0,,,,,
player,201109180nor,nor,HendDe00,pass_rating,,,,,,
player,201109180nor,nor,HendDe00,rush_att,0,,,,,
player,201109180nor,nor,HendDe00,rush_yds,0,,,,,
player,201109180nor,nor,HendDe00,rush_td,0,,,,,
player,201109180nor,nor,HendDe00,rush_long,0,,,,,
player,201109180nor,nor,HendDe00,targets,3,,,,,
player,201109180nor,nor,HendDe00,rec,3,,,,,
player,201109180nor,nor,HendDe00,rec_yds,103,,,,,
player,201109180nor,nor,HendDe00,rec_td,1,,,,,
player,201109180nor,nor,HendDe00,rec_long,79,,,,,
player,201109180nor,nor,HendDe00,fumbles,0,,,,,
player,201109180nor,nor,HendDe00,fumbles_lost,,,,,,
player,201109180nor,nor,GrahJi00,pass_cmp,0,,,,,
player,201109180nor,nor,GrahJi00,pass_att,0,,,,,
player,201109180nor,nor,GrahJi00,pass_yds,0,,,,,
player,201109180nor,nor,GrahJi00,pass_td,0,,,,,
player,201109180nor,nor,GrahJi00,pass_int,0,,,,,
player,201109180nor,nor,GrahJi00,pass_sacked,0,,,,,
player,201109180nor,nor,GrahJi00,pass_sacked_yds,0,,,,,
player,201109180nor,nor,GrahJi00,pass_long,0,,,,,
player,201109180nor,nor,GrahJi00,pass_rating,,,,,,
player,201109180nor,nor,GrahJi00,rush_att,0,,,,,
player,201109180nor,nor,GrahJi00,rush_yds,0,,,,,
player,201109180nor,nor,GrahJi00,rush_td,0,,,,,
player,201109180nor,nor,GrahJi00,rush_long,0,,,,,
player,201109180nor,nor,GrahJi00,targets,7,,,,,
player,201109180nor,nor,GrahJi00,rec,6,,,,,
player,201109180nor,nor,GrahJi00,rec_yds,79,,,,,
player,201109180nor,nor,GrahJi00,rec_td,0,,,,,
player,201109180nor,nor,GrahJi00,rec_long,31,,,,,
player,201109180nor,nor,GrahJi00,fumbles,0,,,,,
player,201109180nor,nor,GrahJi00,fumbles_lost,,,,,,
player,201109180nor,nor,ArriAd00,pass_cmp,0,,,,,
player,201109180nor,nor,ArriAd00,pass_att,0,,,,,
player,201109180nor,nor,ArriAd00,pass_yds,0,,,,,
player,201109180nor,nor,ArriAd00,pass_td,0,,,,,
player,201109180nor,nor,ArriAd00,pass_int,0,,,,,
player,201109180nor,nor,ArriAd00,pass_sacked,0,,,,,
player,201109180nor,nor,ArriAd00,pass_sacked_yds,0,,,,,
player,201109180nor,nor,ArriAd00,pass_long,0,,,,,
player,201109180nor,nor,ArriAd00,pass_rating,,,,,,
player,201109180nor,nor,ArriAd00,rush_att,0,,,,,
player,201109180nor,nor,ArriAd00,rush_yds,0,,,,,
player,201109180nor,nor,ArriAd00,rush_td,0,,,,,
player,201109180nor,nor,ArriAd00,rush_long,0,,,,,
player,201109180nor,nor,ArriAd00,targets,2,,,,,
player,201109180nor,nor,ArriAd00,rec,1,,,,,
player,201109180nor,nor,ArriAd00,rec_yds,14,,,,,
player,201109180nor,nor,ArriAd00,rec_td,0,,,,,
player,201109180nor,nor,ArriAd00,rec_long,14,,,,,
player,201109180nor,nor,ArriAd00,fumbles,0,,,,,
player,201109180nor,nor,ArriAd00,fumbles_lost,,,,,,
player,201109180nor,nor,MoorLa00,pass_cmp,0,,,,,
player,201109180nor,nor,MoorLa00,pass_att,0,,,,,
player,201109180nor,nor,MoorLa00,pass_yds,0,,,,,
player,201109180nor,nor,MoorLa00,pass_td,0,,,,,
player,201109180nor,nor,MoorLa00,pass_int,0,,,,,
player,201109180nor,nor,MoorLa00,pass_sacked,0,,,,,
player,201109180nor,nor,MoorLa00,pass_sacked_yds,0,,,,,
player,201109180nor,nor,MoorLa00,pass_long,0,,,,,
player,201109180nor,nor,MoorLa00,pass_rating,,,,,,
player,201109180nor,nor,MoorLa00,rush_att,0,,,,,
player,201109180nor,nor,MoorLa00,rush_yds,0,,,,,
player,201109180nor,nor,MoorLa00,rush_td,0,,,,,
player,201109180nor,nor,MoorLa00,rush_long,0,,,,,
player,201109180nor,nor,MoorLa00,targets,4,,,,,
player,201109180nor,nor,MoorLa00,rec,1,,,,,
player,201109180nor,nor,MoorLa00,rec_yds,6,,,,,
player,201109180nor,nor,MoorLa00,rec_td,0,,,,,
player,201109180nor,nor,MoorLa00,rec_long,6,,,,,
player,201109180nor,nor,MoorLa00,fumbles,0,,,,,
player,201109180nor,nor,MoorLa00,fumbles_lost,,,,,,
player,201109180nor,nor,ThomDa02,pass_cmp,0,,,,,
player,201109180nor,nor,ThomDa02,pass_att,0,,,,,
player,201109180nor,nor,ThomDa02,pass_yds,0,,,,,
player,201109180nor,nor,ThomDa02,pass_td,0,,,,,
player,201109180nor,nor,ThomDa02,pass_int,0,,,,,
player,201109180nor,nor,ThomDa02,pass_sacked,0,,,,,
player,201109180nor,nor,ThomDa02,pass_sacked_yds,0,,,,,
player,201109180nor,nor,ThomDa02,pass_long,0,,,,,
player,201109180nor,nor,ThomDa02,pass_rating,,,,,,
player,201109180nor,nor,ThomDa02,rush_att,0,,,,,
player,201109180nor,nor,ThomDa02,rush_yds,0,,,,,
player,201109180nor,nor,ThomDa02,rush_td,0,,,,,
player,201109180nor,nor,ThomDa02,rush_long,0,,,,,
player,201109180nor,nor,ThomDa02,targets,3,,,,,
player,201109180nor,nor,ThomDa02,rec,1,,,,,
player,201109180nor,nor,ThomDa02,rec_yds,1,,,,,
player,201109180nor,nor,ThomDa02,rec_td,0,,,,,
player,201109180nor,nor,ThomDa02,rec_long,1,,,,,
player,201109180nor,nor,ThomDa02,fumbles,0,,,,,
player,201109180nor,nor,ThomDa02,fumbles_lost,,,,,,
player,201109180nor,chi,IdonIs20,def_int,0,,,,,
player,201109180nor,chi,IdonIs20,def_int_yds,0,,,,,
player,201109180nor,chi,IdonIs20,def_int_td,0,,,,,
player,201109180nor,chi,IdonIs20,def_int_long,0,,,,,
player,201109180nor,chi,IdonIs20,pass_defended,0,,,,,
player,201109180nor,chi,IdonIs20,sacks,1.0,,,,,
player,201109180nor,chi,IdonIs20,tackles_combined,6,,,,,
player,201109180nor,chi,IdonIs20,tackles_solo,3,,,,,
player,201109180nor,chi,IdonIs20,tackles_assists,3,,,,,
player,201109180nor,chi,IdonIs20,tackles_loss,1,,,,,
player,201109180nor,chi,IdonIs20,qb_hits,1,,,,,
player,201109180nor,chi,IdonIs20,fumbles_rec,0,,,,,
player,201109180nor,chi,IdonIs20,fumbles_rec_yds,0,,,,,
