game,2011,12,20111127,201111270phi,nwe,"New England Patriots",38,phi,"Philadelphia Eagles",20
player,201111270phi,nwe,VereSh00,pass_int,0,,,,,
player,201111270phi,nwe,VereSh00,pass_sacked,0,,,,,
player,201111270phi,nwe,VereSh00,pass_sacked_yds,0,,,,,
player,201111270phi,nwe,VereSh00,pass_long,0,,,,,
player,201111270phi,nwe,VereSh00,pass_rating,,,,,,
player,201111270phi,nwe,VereSh00,rush_att,7,,,,,
player,201111270phi,nwe,VereSh00,rush_yds,18,,,,,
player,201111270phi,nwe,VereSh00,rush_td,0,,,,,
player,201111270phi,nwe,VereSh00,rush_long,8,,,,,
player,201111270phi,nwe,VereSh00,targets,0,,,,,
player,201111270phi,nwe,VereSh00,rec,0,,,,,
player,201111270phi,nwe,VereSh00,rec_yds,0,,,,,
player,201111270phi,nwe,VereSh00,rec_td,0,,,,,
player,201111270phi,nwe,VereSh00,rec_long,0,,,,,
player,201111270phi,nwe,VereSh00,fumbles,0,,,,,
player,201111270phi,nwe,VereSh00,fumbles_lost,,,,,,
player,201111270phi,nwe,RidlSt00,pass_cmp,0,,,,,
player,201111270phi,nwe,RidlSt00,pass_att,0,,,,,
player,201111270phi,nwe,RidlSt00,pass_yds,0,,,,,
player,201111270phi,nwe,RidlSt00,pass_td,0,,,,,
player,201111270phi,nwe,RidlSt00,pass_int,0,,,,,
player,201111270phi,nwe,RidlSt00,pass_sacked,0,,,,,
player,201111270phi,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201111270phi,nwe,RidlSt00,pass_long,0,,,,,
player,201111270phi,nwe,RidlSt00,pass_rating,,,,,,
player,201111270phi,nwe,RidlSt00,rush_att,4,,,,,
player,201111270phi,nwe,RidlSt00,rush_yds,4,,,,,
player,201111270phi,nwe,RidlSt00,rush_td,0,,,,,
player,201111270phi,nwe,RidlSt00,rush_long,6,,,,,
player,201111270phi,nwe,RidlSt00,targets,0,,,,,
player,201111270phi,nwe,RidlSt00,rec,0,,,,,
player,201111270phi,nwe,RidlSt00,rec_yds,0,,,,,
player,201111270phi,nwe,RidlSt00,rec_td,0,,,,,
player,201111270phi,nwe,RidlSt00,rec_long,0,,,,,
player,201111270phi,nwe,RidlSt00,fumbles,0,,,,,
player,201111270phi,nwe,RidlSt00,fumbles_lost,,,,,,
player,201111270phi,nwe,BranDe00,pass_cmp,0,,,,,
player,201111270phi,nwe,BranDe00,pass_att,0,,,,,
player,201111270phi,nwe,BranDe00,pass_yds,0,,,,,
player,201111270phi,nwe,BranDe00,pass_td,0,,,,,
player,201111270phi,nwe,BranDe00,pass_int,0,,,,,
player,201111270phi,nwe,BranDe00,pass_sacked,0,,,,,
player,201111270phi,nwe,BranDe00,pass_sacked_yds,0,,,,,
player,201111270phi,nwe,BranDe00,pass_long,0,,,,,
player,201111270phi,nwe,BranDe00,pass_rating,,,,,,
player,201111270phi,nwe,BranDe00,rush_att,0,,,,,
player,201111270phi,nwe,BranDe00,rush_yds,0,,,,,
player,201111270phi,nwe,BranDe00,rush_td,0,,,,,
player,201111270phi,nwe,BranDe00,rush_long,0,,,,,
player,201111270phi,nwe,BranDe00,targets,10,,,,,
player,201111270phi,nwe,BranDe00,rec,6,,,,,
player,201111270phi,nwe,BranDe00,rec_yds,125,,,,,
player,201111270phi,nwe,BranDe00,rec_td,0,,,,,
player,201111270phi,nwe,BranDe00,rec_long,63,,,,,
player,201111270phi,nwe,BranDe00,fumbles,0,,,,,
player,201111270phi,nwe,BranDe00,fumbles_lost,,,,,,
player,201111270phi,nwe,HernAa00,pass_cmp,0,,,,,
player,201111270phi,nwe,HernAa00,pass_att,0,,,,,
player,201111270phi,nwe,HernAa00,pass_yds,0,,,,,
player,201111270phi,nwe,HernAa00,pass_td,0,,,,,
player,201111270phi,nwe,HernAa00,pass_int,0,,,,,
player,201111270phi,nwe,HernAa00,pass_sacked,0,,,,,
player,201111270phi,nwe,HernAa00,pass_sacked_yds,0,,,,,
player,201111270phi,nwe,HernAa00,pass_long,0,,,,,
player,201111270phi,nwe,HernAa00,pass_rating,,,,,,
player,201111270phi,nwe,HernAa00,rush_att,0,,,,,
player,201111270phi,nwe,HernAa00,rush_yds,0,,,,,
player,201111270phi,nwe,HernAa00,rush_td,0,,,,,
player,201111270phi,nwe,HernAa00,rush_long,0,,,,,
player,201111270phi,nwe,HernAa00,targets,7,,,,,
player,201111270phi,nwe,HernAa00,rec,6,,,,,
player,201111270phi,nwe,HernAa00,rec_yds,62,,,,,
player,201111270phi,nwe,HernAa00,rec_td,0,,,,,
player,201111270phi,nwe,HernAa00,rec_long,18,,,,,
player,201111270phi,nwe,HernAa00,fumbles,0,,,,,
player,201111270phi,nwe,HernAa00,fumbles_lost,,,,,,
player,201111270phi,nwe,GronRo00,pass_cmp,0,,,,,
player,201111270phi,nwe,GronRo00,pass_att,0,,,,,
player,201111270phi,nwe,GronRo00,pass_yds,0,,,,,
player,201111270phi,nwe,GronRo00,pass_td,0,,,,,
player,201111270phi,nwe,GronRo00,pass_int,0,,,,,
player,201111270phi,nwe,GronRo00,pass_sacked,0,,,,,
