game,2011,6,20111017,201110170nyj,mia,"Miami Dolphins",6,nyj,"New York Jets",24
player,201110170nyj,mia,ThomDa03,pass_cmp,0,,,,,
player,201110170nyj,mia,ThomDa03,pass_att,0,,,,,
player,201110170nyj,mia,ThomDa03,pass_yds,0,,,,,
player,201110170nyj,mia,ThomDa03,pass_td,0,,,,,
player,201110170nyj,mia,ThomDa03,pass_int,0,,,,,
player,201110170nyj,mia,ThomDa03,pass_sacked,0,,,,,
player,201110170nyj,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201110170nyj,mia,ThomDa03,pass_long,0,,,,,
player,201110170nyj,mia,ThomDa03,pass_rating,,,,,,
player,201110170nyj,mia,ThomDa03,rush_att,15,,,,,
player,201110170nyj,mia,ThomDa03,rush_yds,47,,,,,
player,201110170nyj,mia,ThomDa03,rush_td,0,,,,,
player,201110170nyj,mia,ThomDa03,rush_long,15,,,,,
player,201110170nyj,mia,ThomDa03,targets,1,,,,,
player,201110170nyj,mia,ThomDa03,rec,1,,,,,
player,201110170nyj,mia,ThomDa03,rec_yds,12,,,,,
player,201110170nyj,mia,ThomDa03,rec_td,0,,,,,
player,201110170nyj,mia,ThomDa03,rec_long,12,,,,,
player,201110170nyj,mia,ThomDa03,fumbles,1,,,,,
player,201110170nyj,mia,ThomDa03,fumbles_lost,0,,,,,
player,201110170nyj,mia,MarsBr00,pass_cmp,0,,,,,
player,201110170nyj,mia,MarsBr00,pass_att,0,,,,,
player,201110170nyj,mia,MarsBr00,pass_yds,0,,,,,
player,201110170nyj,mia,MarsBr00,pass_td,0,,,,,
player,201110170nyj,mia,MarsBr00,pass_int,0,,,,,
player,201110170nyj,mia,MarsBr00,pass_sacked,0,,,,,
player,201110170nyj,mia,MarsBr00,pass_sacked_yds,0,,,,,
player,201110170nyj,mia,MarsBr00,pass_long,0,,,,,
player,201110170nyj,mia,MarsBr00,pass_rating,,,,,,
player,201110170nyj,mia,MarsBr00,rush_att,0,,,,,
player,201110170nyj,mia,MarsBr00,rush_yds,0,,,,,
player,201110170nyj,mia,MarsBr00,rush_td,0,,,,,
player,201110170nyj,mia,MarsBr00,rush_long,0,,,,,
player,201110170nyj,mia,MarsBr00,targets,13,,,,,
player,201110170nyj,mia,MarsBr00,rec,6,,,,,
player,201110170nyj,mia,MarsBr00,rec_yds,109,,,,,
player,201110170nyj,mia,MarsBr00,rec_td,0,,,,,
player,201110170nyj,mia,MarsBr00,rec_long,46,,,,,
player,201110170nyj,mia,MarsBr00,fumbles,0,,,,,
player,201110170nyj,mia,MarsBr00,fumbles_lost,,,,,,
player,201110170nyj,mia,HartBr00,pass_cmp,0,,,,,
player,201110170nyj,mia,HartBr00,pass_att,0,,,,,
player,201110170nyj,mia,HartBr00,pass_yds,0,,,,,
player,201110170nyj,mia,HartBr00,pass_td,0,,,,,
player,201110170nyj,mia,HartBr00,pass_int,0,,,,,
player,201110170nyj,mia,HartBr00,pass_sacked,0,,,,,
player,201110170nyj,mia,HartBr00,pass_sacked_yds,0,,,,,
player,201110170nyj,mia,HartBr00,pass_long,0,,,,,
player,201110170nyj,mia,HartBr00,pass_rating,,,,,,
player,201110170nyj,mia,HartBr00,rush_att,0,,,,,
player,201110170nyj,mia,HartBr00,rush_yds,0,,,,,
player,201110170nyj,mia,HartBr00,rush_td,0,,,,,
player,201110170nyj,mia,HartBr00,rush_long,0,,,,,
player,201110170nyj,mia,HartBr00,targets,6,,,,,
player,201110170nyj,mia,HartBr00,rec,3,,,,,
player,201110170nyj,mia,HartBr00,rec_yds,27,,,,,
player,201110170nyj,mia,HartBr00,rec_td,0,,,,,
player,201110170nyj,mia,HartBr00,rec_long,11,,,,,
player,201110170nyj,mia,HartBr00,fumbles,0,,,,,
player,201110170nyj,mia,HartBr00,fumbles_lost,,,,,,
player,201110170nyj,mia,BessDa00,pass_cmp,0,,,,,
player,201110170nyj,mia,BessDa00,pass_att,0,,,,,
player,201110170nyj,mia,BessDa00,pass_yds,0,,,,,
player,201110170nyj,mia,BessDa00,pass_td,0,,,,,
player,201110170nyj,mia,BessDa00,pass_int,0,,,,,
player,201110170nyj,mia,BessDa00,pass_sacked,0,,,,,
player,201110170nyj,mia,BessDa00,pass_sacked_yds,0,,,,,
player,201110170nyj,mia,BessDa00,pass_long,0,,,,,
player,201110170nyj,mia,BessDa00,pass_rating,,,,,,
player,201110170nyj,mia,BessDa00,rush_att,0,,,,,
player,201110170nyj,mia,BessDa00,rush_yds,0,,,,,
player,201110170nyj,mia,BessDa00,rush_td,0,,,,,
player,201110170nyj,mia,BessDa00,rush_long,0,,,,,
player,201110170nyj,mia,BessDa00,targets,3,,,,,
player,201110170nyj,mia,BessDa00,rec,2,,,,,
player,201110170nyj,mia,BessDa00,rec_yds,21,,,,,
player,201110170nyj,mia,BessDa00,rec_td,0,,,,,
player,201110170nyj,mia,BessDa00,rec_long,11,,,,,
player,201110170nyj,mia,BessDa00,fumbles,1,,,,,
player,201110170nyj,mia,BessDa00,fumbles_lost,1,,,,,
player,201110170nyj,mia,HillLe00,pass_cmp,0,,,,,
player,201110170nyj,mia,HillLe00,pass_att,0,,,,,
player,201110170nyj,mia,HillLe00,pass_yds,0,,,,,
player,201110170nyj,mia,HillLe00,pass_td,0,,,,,
player,201110170nyj,mia,HillLe00,pass_int,0,,,,,
player,201110170nyj,mia,HillLe00,pass_sacked,0,,,,,
player,201110170nyj,mia,HillLe00,pass_sacked_yds,0,,,,,
player,201110170nyj,mia,HillLe00,pass_long,0,,,,,
player,201110170nyj,mia,HillLe00,pass_rating,,,,,,
player,201110170nyj,mia,HillLe00,rush_att,0,,,,,
player,201110170nyj,mia,HillLe00,rush_yds,0,,,,,
player,201110170nyj,mia,HillLe00,rush_td,0,,,,,
player,201110170nyj,mia,HillLe00,rush_long,0,,,,,
player,201110170nyj,mia,HillLe00,targets,1,,,,,
player,201110170nyj,mia,HillLe00,rec,1,,,,,
player,201110170nyj,mia,HillLe00,rec_yds,15,,,,,
player,201110170nyj,mia,HillLe00,rec_td,0,,,,,
player,201110170nyj,mia,HillLe00,rec_long,15,,,,,
player,201110170nyj,mia,HillLe00,fumbles,0,,,,,
player,201110170nyj,mia,HillLe00,fumbles_lost,,,,,,
player,201110170nyj,mia,FasaAn00,pass_cmp,0,,,,,
player,201110170nyj,mia,FasaAn00,pass_att,0,,,,,
player,201110170nyj,mia,FasaAn00,pass_yds,0,,,,,
player,201110170nyj,mia,FasaAn00,pass_td,0,,,,,
player,201110170nyj,mia,FasaAn00,pass_int,0,,,,,
player,201110170nyj,mia,FasaAn00,pass_sacked,0,,,,,
player,201110170nyj,mia,FasaAn00,pass_sacked_yds,0,,,,,
player,201110170nyj,mia,FasaAn00,pass_long,0,,,,,
player,201110170nyj,mia,FasaAn00,pass_rating,,,,,,
player,201110170nyj,mia,FasaAn00,rush_att,0,,,,,
player,201110170nyj,mia,FasaAn00,rush_yds,0,,,,,
player,201110170nyj,mia,FasaAn00,rush_td,0,,,,,
player,201110170nyj,mia,FasaAn00,rush_long,0,,,,,
player,201110170nyj,mia,FasaAn00,targets,2,,,,,
player,201110170nyj,mia,FasaAn00,rec,1,,,,,
player,201110170nyj,mia,FasaAn00,rec_yds,13,,,,,
player,201110170nyj,mia,FasaAn00,rec_td,0,,,,,
player,201110170nyj,mia,FasaAn00,rec_long,13,,,,,
player,201110170nyj,mia,FasaAn00,fumbles,0,,,,,
player,201110170nyj,mia,FasaAn00,fumbles_lost,,,,,,
player,201110170nyj,mia,ClayCh00,pass_cmp,0,,,,,
player,201110170nyj,mia,ClayCh00,pass_att,0,,,,,
player,201110170nyj,mia,ClayCh00,pass_yds,0,,,,,
player,201110170nyj,mia,ClayCh00,pass_td,0,,,,,
player,201110170nyj,mia,ClayCh00,pass_int,0,,,,,
player,201110170nyj,mia,ClayCh00,pass_sacked,0,,,,,
player,201110170nyj,mia,ClayCh00,pass_sacked_yds,0,,,,,
player,201110170nyj,mia,ClayCh00,pass_long,0,,,,,
player,201110170nyj,mia,ClayCh00,pass_rating,,,,,,
player,201110170nyj,mia,ClayCh00,rush_att,0,,,,,
player,201110170nyj,mia,ClayCh00,rush_yds,0,,,,,
player,201110170nyj,mia,ClayCh00,rush_td,0,,,,,
player,201110170nyj,mia,ClayCh00,rush_long,0,,,,,
player,201110170nyj,mia,ClayCh00,targets,2,,,,,
player,201110170nyj,mia,ClayCh00,rec,0,,,,,
player,201110170nyj,mia,ClayCh00,rec_yds,0,,,,,
player,201110170nyj,mia,ClayCh00,rec_td,0,,,,,
player,201110170nyj,mia,ClayCh00,rec_long,0,,,,,
player,201110170nyj,mia,ClayCh00,fumbles,0,,,,,
player,201110170nyj,mia,ClayCh00,fumbles_lost,,,,,,
player,201110170nyj,nyj,SancMa00,pass_cmp,14,,,,,
player,201110170nyj,nyj,SancMa00,pass_att,25,,,,,
player,201110170nyj,nyj,SancMa00,pass_yds,201,,,,,
player,201110170nyj,nyj,SancMa00,pass_td,1,,,,,
player,201110170nyj,nyj,SancMa00,pass_int,0,,,,,
player,201110170nyj,nyj,SancMa00,pass_sacked,1,,,,,
player,201110170nyj,nyj,SancMa00,pass_sacked_yds,7,,,,,
player,201110170nyj,nyj,SancMa00,pass_long,38,,,,,
player,201110170nyj,nyj,SancMa00,pass_rating,95.6,,,,,
player,201110170nyj,nyj,SancMa00,rush_att,1,,,,,
player,201110170nyj,nyj,SancMa00,rush_yds,5,,,,,
player,201110170nyj,nyj,SancMa00,rush_td,1,,,,,
player,201110170nyj,nyj,SancMa00,rush_long,5,,,,,
player,201110170nyj,nyj,SancMa00,targets,0,,,,,
player,201110170nyj,nyj,SancMa00,rec,0,,,,,
player,201110170nyj,nyj,SancMa00,rec_yds,0,,,,,
player,201110170nyj,nyj,SancMa00,rec_td,0,,,,,
player,201110170nyj,nyj,SancMa00,rec_long,0,,,,,
player,201110170nyj,nyj,SancMa00,fumbles,0,,,,,
player,201110170nyj,nyj,SancMa00,fumbles_lost,,,,,,
player,201110170nyj,nyj,GreeSh00,pass_cmp,0,,,,,
player,201110170nyj,nyj,GreeSh00,pass_att,0,,,,,
player,201110170nyj,nyj,GreeSh00,pass_yds,0,,,,,
player,201110170nyj,nyj,GreeSh00,pass_td,0,,,,,
player,201110170nyj,nyj,GreeSh00,pass_int,0,,,,,
player,201110170nyj,nyj,GreeSh00,pass_sacked,0,,,,,
player,201110170nyj,nyj,GreeSh00,pass_sacked_yds,0,,,,,
player,201110170nyj,nyj,GreeSh00,pass_long,0,,,,,
player,201110170nyj,nyj,GreeSh00,pass_rating,,,,,,
player,201110170nyj,nyj,GreeSh00,rush_att,21,,,,,
player,201110170nyj,nyj,GreeSh00,rush_yds,74,,,,,
player,201110170nyj,nyj,GreeSh00,rush_td,0,,,,,
player,201110170nyj,nyj,GreeSh00,rush_long,20,,,,,
player,201110170nyj,nyj,GreeSh00,targets,2,,,,,
player,201110170nyj,nyj,GreeSh00,rec,1,,,,,
player,201110170nyj,nyj,GreeSh00,rec_yds,3,,,,,
player,201110170nyj,nyj,GreeSh00,rec_td,0,,,,,
player,201110170nyj,nyj,GreeSh00,rec_long,3,,,,,
player,201110170nyj,nyj,GreeSh00,fumbles,0,,,,,
player,201110170nyj,nyj,GreeSh00,fumbles_lost,,,,,,
player,201110170nyj,nyj,TomlLa00,pass_cmp,0,,,,,
player,201110170nyj,nyj,TomlLa00,pass_att,0,,,,,
player,201110170nyj,nyj,TomlLa00,pass_yds,0,,,,,
player,201110170nyj,nyj,TomlLa00,pass_td,0,,,,,
player,201110170nyj,nyj,TomlLa00,pass_int,0,,,,,
player,201110170nyj,nyj,TomlLa00,pass_sacked,1,,,,,
player,201110170nyj,nyj,TomlLa00,pass_sacked_yds,2,,,,,
player,201110170nyj,nyj,TomlLa00,pass_long,0,,,,,
player,201110170nyj,nyj,TomlLa00,pass_rating,,,,,,
player,201110170nyj,nyj,TomlLa00,rush_att,7,,,,,
player,201110170nyj,nyj,TomlLa00,rush_yds,25,,,,,
player,201110170nyj,nyj,TomlLa00,rush_td,0,,,,,
player,201110170nyj,nyj,TomlLa00,rush_long,12,,,,,
player,201110170nyj,nyj,TomlLa00,targets,4,,,,,
player,201110170nyj,nyj,TomlLa00,rec,3,,,,,
player,201110170nyj,nyj,TomlLa00,rec_yds,21,,,,,
player,201110170nyj,nyj,TomlLa00,rec_td,0,,,,,
player,201110170nyj,nyj,TomlLa00,rec_long,9,,,,,
player,201110170nyj,nyj,TomlLa00,fumbles,0,,,,,
player,201110170nyj,nyj,TomlLa00,fumbles_lost,,,,,,
player,201110170nyj,nyj,HolmSa00,pass_cmp,0,,,,,
player,201110170nyj,nyj,HolmSa00,pass_att,0,,,,,
player,201110170nyj,nyj,HolmSa00,pass_yds,0,,,,,
player,201110170nyj,nyj,HolmSa00,pass_td,0,,,,,
player,201110170nyj,nyj,HolmSa00,pass_int,0,,,,,
player,201110170nyj,nyj,HolmSa00,pass_sacked,0,,,,,
player,201110170nyj,nyj,HolmSa00,pass_sacked_yds,0,,,,,
player,201110170nyj,nyj,HolmSa00,pass_long,0,,,,,
player,201110170nyj,nyj,HolmSa00,pass_rating,,,,,,
player,201110170nyj,nyj,HolmSa00,rush_att,0,,,,,
player,201110170nyj,nyj,HolmSa00,rush_yds,0,,,,,
player,201110170nyj,nyj,HolmSa00,rush_td,0,,,,,
player,201110170nyj,nyj,HolmSa00,rush_long,0,,,,,
player,201110170nyj,nyj,HolmSa00,targets,4,,,,,
player,201110170nyj,nyj,HolmSa00,rec,3,,,,,
player,201110170nyj,nyj,HolmSa00,rec_yds,63,,,,,
player,201110170nyj,nyj,HolmSa00,rec_td,1,,,,,
player,201110170nyj,nyj,HolmSa00,rec_long,38,,,,,
player,201110170nyj,nyj,HolmSa00,fumbles,0,,,,,
player,201110170nyj,nyj,HolmSa00,fumbles_lost,,,,,,
player,201110170nyj,nyj,KellDu00,pass_cmp,0,,,,,
player,201110170nyj,nyj,KellDu00,pass_att,0,,,,,
player,201110170nyj,nyj,KellDu00,pass_yds,0,,,,,
player,201110170nyj,nyj,KellDu00,pass_td,0,,,,,
player,201110170nyj,nyj,KellDu00,pass_int,0,,,,,
player,201110170nyj,nyj,KellDu00,pass_sacked,0,,,,,
player,201110170nyj,nyj,KellDu00,pass_sacked_yds,0,,,,,
player,201110170nyj,nyj,KellDu00,pass_long,0,,,,,
player,201110170nyj,nyj,KellDu00,pass_rating,,,,,,
player,201110170nyj,nyj,KellDu00,rush_att,0,,,,,
player,201110170nyj,nyj,KellDu00,rush_yds,0,,,,,
player,201110170nyj,nyj,KellDu00,rush_td,0,,,,,
player,201110170nyj,nyj,KellDu00,rush_long,0,,,,,
player,201110170nyj,nyj,KellDu00,targets,5,,,,,
player,201110170nyj,nyj,KellDu00,rec,2,,,,,
player,201110170nyj,nyj,KellDu00,rec_yds,51,,,,,
player,201110170nyj,nyj,KellDu00,rec_td,0,,,,,
player,201110170nyj,nyj,KellDu00,rec_long,27,,,,,
player,201110170nyj,nyj,KellDu00,fumbles,0,,,,,
player,201110170nyj,nyj,KellDu00,fumbles_lost,,,,,,
player,201110170nyj,nyj,McKnJo00,pass_cmp,0,,,,,
player,201110170nyj,nyj,McKnJo00,pass_att,0,,,,,
player,201110170nyj,nyj,McKnJo00,pass_yds,0,,,,,
player,201110170nyj,nyj,McKnJo00,pass_td,0,,,,,
player,201110170nyj,nyj,McKnJo00,pass_int,0,,,,,
player,201110170nyj,nyj,McKnJo00,pass_sacked,0,,,,,
player,201110170nyj,nyj,McKnJo00,pass_sacked_yds,0,,,,,
player,201110170nyj,nyj,McKnJo00,pass_long,0,,,,,
player,201110170nyj,nyj,McKnJo00,pass_rating,,,,,,
player,201110170nyj,nyj,McKnJo00,rush_att,0,,,,,
player,201110170nyj,nyj,McKnJo00,rush_yds,0,,,,,
player,201110170nyj,nyj,McKnJo00,rush_td,0,,,,,
player,201110170nyj,nyj,McKnJo00,rush_long,0,,,,,
player,201110170nyj,nyj,McKnJo00,targets,2,,,,,
player,201110170nyj,nyj,McKnJo00,rec,2,,,,,
player,201110170nyj,nyj,McKnJo00,rec_yds,29,,,,,
player,201110170nyj,nyj,McKnJo00,rec_td,0,,,,,
player,201110170nyj,nyj,McKnJo00,rec_long,24,,,,,
player,201110170nyj,nyj,McKnJo00,fumbles,1,,,,,
player,201110170nyj,nyj,McKnJo00,fumbles_lost,0,,,,,
player,201110170nyj,nyj,KerlJe00,pass_cmp,0,,,,,
player,201110170nyj,nyj,KerlJe00,pass_att,0,,,,,
player,201110170nyj,nyj,KerlJe00,pass_yds,0,,,,,
player,201110170nyj,nyj,KerlJe00,pass_td,0,,,,,
player,201110170nyj,nyj,KerlJe00,pass_int,0,,,,,
player,201110170nyj,nyj,KerlJe00,pass_sacked,0,,,,,
player,201110170nyj,nyj,KerlJe00,pass_sacked_yds,0,,,,,
player,201110170nyj,nyj,KerlJe00,pass_long,0,,,,,
player,201110170nyj,nyj,KerlJe00,pass_rating,,,,,,
player,201110170nyj,nyj,KerlJe00,rush_att,0,,,,,
player,201110170nyj,nyj,KerlJe00,rush_yds,0,,,,,
player,201110170nyj,nyj,KerlJe00,rush_td,0,,,,,
player,201110170nyj,nyj,KerlJe00,rush_long,0,,,,,
player,201110170nyj,nyj,KerlJe00,targets,4,,,,,
player,201110170nyj,nyj,KerlJe00,rec,2,,,,,
player,201110170nyj,nyj,KerlJe00,rec_yds,18,,,,,
player,201110170nyj,nyj,KerlJe00,rec_td,0,,,,,
player,201110170nyj,nyj,KerlJe00,rec_long,14,,,,,
player,201110170nyj,nyj,KerlJe00,fumbles,0,,,,,
player,201110170nyj,nyj,KerlJe00,fumbles_lost,,,,,,
player,201110170nyj,nyj,BurrPl00,pass_cmp,0,,,,,
player,201110170nyj,nyj,BurrPl00,pass_att,0,,,,,
player,201110170nyj,nyj,BurrPl00,pass_yds,0,,,,,
player,201110170nyj,nyj,BurrPl00,pass_td,0,,,,,
player,201110170nyj,nyj,BurrPl00,pass_int,0,,,,,
player,201110170nyj,nyj,BurrPl00,pass_sacked,0,,,,,
player,201110170nyj,nyj,BurrPl00,pass_sacked_yds,0,,,,,
player,201110170nyj,nyj,BurrPl00,pass_long,0,,,,,
player,201110170nyj,nyj,BurrPl00,pass_rating,,,,,,
player,201110170nyj,nyj,BurrPl00,rush_att,0,,,,,
player,201110170nyj,nyj,BurrPl00,rush_yds,0,,,,,
player,201110170nyj,nyj,BurrPl00,rush_td,0,,,,,
player,201110170nyj,nyj,BurrPl00,rush_long,0,,,,,
player,201110170nyj,nyj,BurrPl00,targets,4,,,,,
player,201110170nyj,nyj,BurrPl00,rec,1,,,,,
player,201110170nyj,nyj,BurrPl00,rec_yds,16,,,,,
player,201110170nyj,nyj,BurrPl00,rec_td,0,,,,,
player,201110170nyj,nyj,BurrPl00,rec_long,16,,,,,
player,201110170nyj,nyj,BurrPl00,fumbles,0,,,,,
player,201110170nyj,nyj,BurrPl00,fumbles_lost,,,,,,
player,201110170nyj,mia,DansKa20,def_int,0,,,,,
player,201110170nyj,mia,DansKa20,def_int_yds,0,,,,,
player,201110170nyj,mia,DansKa20,def_int_td,0,,,,,
player,201110170nyj,mia,DansKa20,def_int_long,0,,,,,
player,201110170nyj,mia,DansKa20,pass_defended,0,,,,,
player,201110170nyj,mia,DansKa20,sacks,1.0,,,,,
player,201110170nyj,mia,DansKa20,tackles_combined,6,,,,,
player,201110170nyj,mia,DansKa20,tackles_solo,6,,,,,
player,201110170nyj,mia,DansKa20,tackles_assists,0,,,,,
player,201110170nyj,mia,DansKa20,tackles_loss,1,,,,,
player,201110170nyj,mia,DansKa20,qb_hits,1,,,,,
player,201110170nyj,mia,DansKa20,fumbles_rec,0,,,,,
player,201110170nyj,mia,DansKa20,fumbles_rec_yds,0,,,,,
player,201110170nyj,mia,DansKa20,fumbles_rec_td,0,,,,,
player,201110170nyj,mia,DansKa20,fumbles_forced,0,,,,,
player,201110170nyj,mia,MisiKo99,def_int,0,,,,,
player,201110170nyj,mia,MisiKo99,def_int_yds,0,,,,,
player,201110170nyj,mia,MisiKo99,def_int_td,0,,,,,
player,201110170nyj,mia,MisiKo99,def_int_long,0,,,,,
player,201110170nyj,mia,MisiKo99,pass_defended,0,,,,,
player,201110170nyj,mia,MisiKo99,sacks,1.0,,,,,
player,201110170nyj,mia,MisiKo99,tackles_combined,3,,,,,
player,201110170nyj,mia,MisiKo99,tackles_solo,3,,,,,
player,201110170nyj,mia,MisiKo99,tackles_assists,0,,,,,
player,201110170nyj,mia,MisiKo99,tackles_loss,1,,,,,
player,201110170nyj,mia,MisiKo99,qb_hits,1,,,,,
player,201110170nyj,mia,MisiKo99,fumbles_rec,0,,,,,
player,201110170nyj,mia,MisiKo99,fumbles_rec_yds,0,,,,,
player,201110170nyj,mia,MisiKo99,fumbles_rec_td,0,,,,,
player,201110170nyj,mia,MisiKo99,fumbles_forced,0,,,,,
player,201110170nyj,mia,BellYe20,def_int,0,,,,,
player,201110170nyj,mia,BellYe20,def_int_yds,0,,,,,
player,201110170nyj,mia,BellYe20,def_int_td,0,,,,,
player,201110170nyj,mia,BellYe20,def_int_long,0,,,,,
player,201110170nyj,mia,BellYe20,pass_defended,0,,,,,
player,201110170nyj,mia,BellYe20,sacks,0.0,,,,,
player,201110170nyj,mia,BellYe20,tackles_combined,7,,,,,
player,201110170nyj,mia,BellYe20,tackles_solo,7,,,,,
player,201110170nyj,mia,BellYe20,tackles_assists,0,,,,,
player,201110170nyj,mia,BellYe20,tackles_loss,0,,,,,
player,201110170nyj,mia,BellYe20,qb_hits,0,,,,,
player,201110170nyj,mia,BellYe20,fumbles_rec,0,,,,,
player,201110170nyj,mia,BellYe20,fumbles_rec_yds,0,,,,,
player,201110170nyj,mia,BellYe20,fumbles_rec_td,0,,,,,
player,201110170nyj,mia,BellYe20,fumbles_forced,0,,,,,
player,201110170nyj,mia,DaviVo99,def_int,0,,,,,
player,201110170nyj,mia,DaviVo99,def_int_yds,0,,,,,
player,201110170nyj,mia,DaviVo99,def_int_td,0,,,,,
player,201110170nyj,mia,DaviVo99,def_int_long,0,,,,,
player,201110170nyj,mia,DaviVo99,pass_defended,0,,,,,
player,201110170nyj,mia,DaviVo99,sacks,0.0,,,,,
player,201110170nyj,mia,DaviVo99,tackles_combined,6,,,,,
player,201110170nyj,mia,DaviVo99,tackles_solo,6,,,,,
player,201110170nyj,mia,DaviVo99,tackles_assists,0,,,,,
player,201110170nyj,mia,DaviVo99,tackles_loss,0,,,,,
player,201110170nyj,mia,DaviVo99,qb_hits,0,,,,,
player,201110170nyj,mia,DaviVo99,fumbles_rec,0,,,,,
player,201110170nyj,mia,DaviVo99,fumbles_rec_yds,0,,,,,
player,201110170nyj,mia,DaviVo99,fumbles_rec_td,0,,,,,
player,201110170nyj,mia,DaviVo99,fumbles_forced,0,,,,,
player,201110170nyj,mia,JoneRe99,def_int,0,,,,,
player,201110170nyj,mia,JoneRe99,def_int_yds,0,,,,,
player,201110170nyj,mia,JoneRe99,def_int_td,0,,,,,
player,201110170nyj,mia,JoneRe99,def_int_long,0,,,,,
player,201110170nyj,mia,JoneRe99,pass_defended,0,,,,,
player,201110170nyj,mia,JoneRe99,sacks,0.0,,,,,
player,201110170nyj,mia,JoneRe99,tackles_combined,6,,,,,
player,201110170nyj,mia,JoneRe99,tackles_solo,6,,,,,
player,201110170nyj,mia,JoneRe99,tackles_assists,0,,,,,
player,201110170nyj,mia,JoneRe99,tackles_loss,0,,,,,
player,201110170nyj,mia,JoneRe99,qb_hits,0,,,,,
player,201110170nyj,mia,JoneRe99,fumbles_rec,0,,,,,
player,201110170nyj,mia,JoneRe99,fumbles_rec_yds,0,,,,,
