game,2011,4,20111002,201110020cle,oti,"Tennessee Titans",31,cle,"Cleveland Browns",13
player,201110020cle,oti,CookJa02,rec_td,1,,,,,
player,201110020cle,oti,CookJa02,rec_long,80,,,,,
player,201110020cle,oti,CookJa02,fumbles,0,,,,,
player,201110020cle,oti,CookJa02,fumbles_lost,,,,,,
player,201110020cle,oti,WashNa00,pass_cmp,0,,,,,
player,201110020cle,oti,WashNa00,pass_att,0,,,,,
player,201110020cle,oti,WashNa00,pass_yds,0,,,,,
player,201110020cle,oti,WashNa00,pass_td,0,,,,,
player,201110020cle,oti,WashNa00,pass_int,0,,,,,
player,201110020cle,oti,WashNa00,pass_sacked,0,,,,,
player,201110020cle,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201110020cle,oti,WashNa00,pass_long,0,,,,,
player,201110020cle,oti,WashNa00,pass_rating,,,,,,
player,201110020cle,oti,WashNa00,rush_att,0,,,,,
player,201110020cle,oti,WashNa00,rush_yds,0,,,,,
player,201110020cle,oti,WashNa00,rush_td,0,,,,,
player,201110020cle,oti,WashNa00,rush_long,0,,,,,
player,201110020cle,oti,WashNa00,targets,4,,,,,
player,201110020cle,oti,WashNa00,rec,2,,,,,
player,201110020cle,oti,WashNa00,rec_yds,62,,,,,
player,201110020cle,oti,WashNa00,rec_td,0,,,,,
player,201110020cle,oti,WashNa00,rec_long,57,,,,,
player,201110020cle,oti,WashNa00,fumbles,0,,,,,
player,201110020cle,oti,WashNa00,fumbles_lost,,,,,,
player,201110020cle,oti,HawkLa00,pass_cmp,0,,,,,
player,201110020cle,oti,HawkLa00,pass_att,0,,,,,
player,201110020cle,oti,HawkLa00,pass_yds,0,,,,,
player,201110020cle,oti,HawkLa00,pass_td,0,,,,,
player,201110020cle,oti,HawkLa00,pass_int,0,,,,,
player,201110020cle,oti,HawkLa00,pass_sacked,0,,,,,
player,201110020cle,oti,HawkLa00,pass_sacked_yds,0,,,,,
player,201110020cle,oti,HawkLa00,pass_long,0,,,,,
player,201110020cle,oti,HawkLa00,pass_rating,,,,,,
player,201110020cle,oti,HawkLa00,rush_att,0,,,,,
player,201110020cle,oti,HawkLa00,rush_yds,0,,,,,
player,201110020cle,oti,HawkLa00,rush_td,0,,,,,
player,201110020cle,oti,HawkLa00,rush_long,0,,,,,
player,201110020cle,oti,HawkLa00,targets,4,,,,,
player,201110020cle,oti,HawkLa00,rec,2,,,,,
player,201110020cle,oti,HawkLa00,rec_yds,38,,,,,
player,201110020cle,oti,HawkLa00,rec_td,0,,,,,
player,201110020cle,oti,HawkLa00,rec_long,20,,,,,
player,201110020cle,oti,HawkLa00,fumbles,0,,,,,
player,201110020cle,oti,HawkLa00,fumbles_lost,,,,,,
player,201110020cle,oti,StevCr00,pass_cmp,0,,,,,
player,201110020cle,oti,StevCr00,pass_att,0,,,,,
player,201110020cle,oti,StevCr00,pass_yds,0,,,,,
player,201110020cle,oti,StevCr00,pass_td,0,,,,,
player,201110020cle,oti,StevCr00,pass_int,0,,,,,
player,201110020cle,oti,StevCr00,pass_sacked,0,,,,,
player,201110020cle,oti,StevCr00,pass_sacked_yds,0,,,,,
player,201110020cle,oti,StevCr00,pass_long,0,,,,,
player,201110020cle,oti,StevCr00,pass_rating,,,,,,
player,201110020cle,oti,StevCr00,rush_att,0,,,,,
player,201110020cle,oti,StevCr00,rush_yds,0,,,,,
player,201110020cle,oti,StevCr00,rush_td,0,,,,,
player,201110020cle,oti,StevCr00,rush_long,0,,,,,
player,201110020cle,oti,StevCr00,targets,1,,,,,
player,201110020cle,oti,StevCr00,rec,1,,,,,
player,201110020cle,oti,StevCr00,rec_yds,12,,,,,
player,201110020cle,oti,StevCr00,rec_td,1,,,,,
player,201110020cle,oti,StevCr00,rec_long,12,,,,,
player,201110020cle,oti,StevCr00,fumbles,0,,,,,
player,201110020cle,oti,StevCr00,fumbles_lost,,,,,,
player,201110020cle,oti,WillDa04,pass_cmp,0,,,,,
player,201110020cle,oti,WillDa04,pass_att,0,,,,,
player,201110020cle,oti,WillDa04,pass_yds,0,,,,,
player,201110020cle,oti,WillDa04,pass_td,0,,,,,
player,201110020cle,oti,WillDa04,pass_int,0,,,,,
player,201110020cle,oti,WillDa04,pass_sacked,0,,,,,
player,201110020cle,oti,WillDa04,pass_sacked_yds,0,,,,,
player,201110020cle,oti,WillDa04,pass_long,0,,,,,
player,201110020cle,oti,WillDa04,pass_rating,,,,,,
player,201110020cle,oti,WillDa04,rush_att,0,,,,,
player,201110020cle,oti,WillDa04,rush_yds,0,,,,,
player,201110020cle,oti,WillDa04,rush_td,0,,,,,
player,201110020cle,oti,WillDa04,rush_long,0,,,,,
player,201110020cle,oti,WillDa04,targets,4,,,,,
player,201110020cle,oti,WillDa04,rec,1,,,,,
player,201110020cle,oti,WillDa04,rec_yds,4,,,,,
player,201110020cle,oti,WillDa04,rec_td,1,,,,,
player,201110020cle,oti,WillDa04,rec_long,4,,,,,
player,201110020cle,oti,WillDa04,fumbles,0,,,,,
player,201110020cle,oti,WillDa04,fumbles_lost,,,,,,
player,201110020cle,cle,McCoCo00,pass_cmp,40,,,,,
player,201110020cle,cle,McCoCo00,pass_att,61,,,,,
player,201110020cle,cle,McCoCo00,pass_yds,350,,,,,
player,201110020cle,cle,McCoCo00,pass_td,1,,,,,
player,201110020cle,cle,McCoCo00,pass_int,1,,,,,
player,201110020cle,cle,McCoCo00,pass_sacked,3,,,,,
player,201110020cle,cle,McCoCo00,pass_sacked_yds,11,,,,,
player,201110020cle,cle,McCoCo00,pass_long,27,,,,,
player,201110020cle,cle,McCoCo00,pass_rating,79.3,,,,,
player,201110020cle,cle,McCoCo00,rush_att,4,,,,,
player,201110020cle,cle,McCoCo00,rush_yds,16,,,,,
player,201110020cle,cle,McCoCo00,rush_td,0,,,,,
player,201110020cle,cle,McCoCo00,rush_long,9,,,,,
player,201110020cle,cle,McCoCo00,targets,0,,,,,
player,201110020cle,cle,McCoCo00,rec,0,,,,,
player,201110020cle,cle,McCoCo00,rec_yds,0,,,,,
player,201110020cle,cle,McCoCo00,rec_td,0,,,,,
player,201110020cle,cle,McCoCo00,rec_long,0,,,,,
player,201110020cle,cle,McCoCo00,fumbles,1,,,,,
player,201110020cle,cle,McCoCo00,fumbles_lost,0,,,,,
player,201110020cle,cle,HillPe00,pass_cmp,0,,,,,
player,201110020cle,cle,HillPe00,pass_att,0,,,,,
player,201110020cle,cle,HillPe00,pass_yds,0,,,,,
player,201110020cle,cle,HillPe00,pass_td,0,,,,,
player,201110020cle,cle,HillPe00,pass_int,0,,,,,
player,201110020cle,cle,HillPe00,pass_sacked,0,,,,,
player,201110020cle,cle,HillPe00,pass_sacked_yds,0,,,,,
player,201110020cle,cle,HillPe00,pass_long,0,,,,,
player,201110020cle,cle,HillPe00,pass_rating,,,,,,
player,201110020cle,cle,HillPe00,rush_att,10,,,,,
player,201110020cle,cle,HillPe00,rush_yds,46,,,,,
player,201110020cle,cle,HillPe00,rush_td,0,,,,,
player,201110020cle,cle,HillPe00,rush_long,10,,,,,
player,201110020cle,cle,HillPe00,targets,6,,,,,
player,201110020cle,cle,HillPe00,rec,5,,,,,
player,201110020cle,cle,HillPe00,rec_yds,23,,,,,
player,201110020cle,cle,HillPe00,rec_td,0,,,,,
player,201110020cle,cle,HillPe00,rec_long,7,,,,,
player,201110020cle,cle,HillPe00,fumbles,0,,,,,
player,201110020cle,cle,HillPe00,fumbles_lost,,,,,,
player,201110020cle,cle,HardMo00,pass_cmp,0,,,,,
player,201110020cle,cle,HardMo00,pass_att,0,,,,,
player,201110020cle,cle,HardMo00,pass_yds,0,,,,,
player,201110020cle,cle,HardMo00,pass_td,0,,,,,
player,201110020cle,cle,HardMo00,pass_int,0,,,,,
player,201110020cle,cle,HardMo00,pass_sacked,0,,,,,
player,201110020cle,cle,HardMo00,pass_sacked_yds,0,,,,,
player,201110020cle,cle,HardMo00,pass_long,0,,,,,
player,201110020cle,cle,HardMo00,pass_rating,,,,,,
player,201110020cle,cle,HardMo00,rush_att,7,,,,,
player,201110020cle,cle,HardMo00,rush_yds,22,,,,,
player,201110020cle,cle,HardMo00,rush_td,0,,,,,
player,201110020cle,cle,HardMo00,rush_long,5,,,,,
