game,2011,1,20110911,201109110nyj,dal,"Dallas Cowboys",24,nyj,"New York Jets",27
player,201109110nyj,dal,WittJa00,pass_yds,0,,,,,
player,201109110nyj,dal,WittJa00,pass_td,0,,,,,
player,201109110nyj,dal,WittJa00,pass_int,0,,,,,
player,201109110nyj,dal,WittJa00,pass_sacked,0,,,,,
player,201109110nyj,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201109110nyj,dal,WittJa00,pass_long,0,,,,,
player,201109110nyj,dal,WittJa00,pass_rating,,,,,,
player,201109110nyj,dal,WittJa00,rush_att,0,,,,,
player,201109110nyj,dal,WittJa00,rush_yds,0,,,,,
player,201109110nyj,dal,WittJa00,rush_td,0,,,,,
player,201109110nyj,dal,WittJa00,rush_long,0,,,,,
player,201109110nyj,dal,WittJa00,targets,9,,,,,
player,201109110nyj,dal,WittJa00,rec,6,,,,,
player,201109110nyj,dal,WittJa00,rec_yds,110,,,,,
player,201109110nyj,dal,WittJa00,rec_td,0,,,,,
player,201109110nyj,dal,WittJa00,rec_long,64,,,,,
player,201109110nyj,dal,WittJa00,fumbles,0,,,,,
player,201109110nyj,dal,WittJa00,fumbles_lost,,,,,,
player,201109110nyj,dal,AustMi00,pass_cmp,0,,,,,
player,201109110nyj,dal,AustMi00,pass_att,0,,,,,
player,201109110nyj,dal,AustMi00,pass_yds,0,,,,,
player,201109110nyj,dal,AustMi00,pass_td,0,,,,,
player,201109110nyj,dal,AustMi00,pass_int,0,,,,,
player,201109110nyj,dal,AustMi00,pass_sacked,0,,,,,
player,201109110nyj,dal,AustMi00,pass_sacked_yds,0,,,,,
player,201109110nyj,dal,AustMi00,pass_long,0,,,,,
player,201109110nyj,dal,AustMi00,pass_rating,,,,,,
player,201109110nyj,dal,AustMi00,rush_att,0,,,,,
player,201109110nyj,dal,AustMi00,rush_yds,0,,,,,
player,201109110nyj,dal,AustMi00,rush_td,0,,,,,
player,201109110nyj,dal,AustMi00,rush_long,0,,,,,
player,201109110nyj,dal,AustMi00,targets,9,,,,,
player,201109110nyj,dal,AustMi00,rec,5,,,,,
player,201109110nyj,dal,AustMi00,rec_yds,90,,,,,
player,201109110nyj,dal,AustMi00,rec_td,1,,,,,
player,201109110nyj,dal,AustMi00,rec_long,36,,,,,
player,201109110nyj,dal,AustMi00,fumbles,0,,,,,
player,201109110nyj,dal,AustMi00,fumbles_lost,,,,,,
player,201109110nyj,dal,BryaDe01,pass_cmp,0,,,,,
player,201109110nyj,dal,BryaDe01,pass_att,0,,,,,
player,201109110nyj,dal,BryaDe01,pass_yds,0,,,,,
player,201109110nyj,dal,BryaDe01,pass_td,0,,,,,
player,201109110nyj,dal,BryaDe01,pass_int,0,,,,,
player,201109110nyj,dal,BryaDe01,pass_sacked,0,,,,,
player,201109110nyj,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201109110nyj,dal,BryaDe01,pass_long,0,,,,,
player,201109110nyj,dal,BryaDe01,pass_rating,,,,,,
player,201109110nyj,dal,BryaDe01,rush_att,0,,,,,
player,201109110nyj,dal,BryaDe01,rush_yds,0,,,,,
player,201109110nyj,dal,BryaDe01,rush_td,0,,,,,
player,201109110nyj,dal,BryaDe01,rush_long,0,,,,,
player,201109110nyj,dal,BryaDe01,targets,8,,,,,
player,201109110nyj,dal,BryaDe01,rec,3,,,,,
player,201109110nyj,dal,BryaDe01,rec_yds,71,,,,,
player,201109110nyj,dal,BryaDe01,rec_td,1,,,,,
player,201109110nyj,dal,BryaDe01,rec_long,42,,,,,
player,201109110nyj,dal,BryaDe01,fumbles,0,,,,,
player,201109110nyj,dal,BryaDe01,fumbles_lost,,,,,,
player,201109110nyj,dal,PhilJo00,pass_cmp,0,,,,,
player,201109110nyj,dal,PhilJo00,pass_att,0,,,,,
player,201109110nyj,dal,PhilJo00,pass_yds,0,,,,,
player,201109110nyj,dal,PhilJo00,pass_td,0,,,,,
player,201109110nyj,dal,PhilJo00,pass_int,0,,,,,
player,201109110nyj,dal,PhilJo00,pass_sacked,0,,,,,
player,201109110nyj,dal,PhilJo00,pass_sacked_yds,0,,,,,
player,201109110nyj,dal,PhilJo00,pass_long,0,,,,,
player,201109110nyj,dal,PhilJo00,pass_rating,,,,,,
player,201109110nyj,dal,PhilJo00,rush_att,0,,,,,
player,201109110nyj,dal,PhilJo00,rush_yds,0,,,,,
player,201109110nyj,dal,PhilJo00,rush_td,0,,,,,
player,201109110nyj,dal,PhilJo00,rush_long,0,,,,,
player,201109110nyj,dal,PhilJo00,targets,2,,,,,
player,201109110nyj,dal,PhilJo00,rec,2,,,,,
player,201109110nyj,dal,PhilJo00,rec_yds,19,,,,,
player,201109110nyj,dal,PhilJo00,rec_td,0,,,,,
player,201109110nyj,dal,PhilJo00,rec_long,12,,,,,
player,201109110nyj,dal,PhilJo00,fumbles,0,,,,,
player,201109110nyj,dal,PhilJo00,fumbles_lost,,,,,,
player,201109110nyj,dal,MurrDe00,pass_cmp,0,,,,,
player,201109110nyj,dal,MurrDe00,pass_att,0,,,,,
player,201109110nyj,dal,MurrDe00,pass_yds,0,,,,,
player,201109110nyj,dal,MurrDe00,pass_td,0,,,,,
player,201109110nyj,dal,MurrDe00,pass_int,0,,,,,
player,201109110nyj,dal,MurrDe00,pass_sacked,0,,,,,
player,201109110nyj,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201109110nyj,dal,MurrDe00,pass_long,0,,,,,
player,201109110nyj,dal,MurrDe00,pass_rating,,,,,,
player,201109110nyj,dal,MurrDe00,rush_att,2,,,,,
player,201109110nyj,dal,MurrDe00,rush_yds,0,,,,,
player,201109110nyj,dal,MurrDe00,rush_td,0,,,,,
player,201109110nyj,dal,MurrDe00,rush_long,0,,,,,
player,201109110nyj,dal,MurrDe00,targets,1,,,,,
player,201109110nyj,dal,MurrDe00,rec,1,,,,,
player,201109110nyj,dal,MurrDe00,rec_yds,13,,,,,
player,201109110nyj,dal,MurrDe00,rec_td,0,,,,,
player,201109110nyj,dal,MurrDe00,rec_long,13,,,,,
player,201109110nyj,dal,MurrDe00,fumbles,0,,,,,
player,201109110nyj,dal,MurrDe00,fumbles_lost,,,,,,
player,201109110nyj,nyj,SancMa00,pass_cmp,26,,,,,
player,201109110nyj,nyj,SancMa00,pass_att,44,,,,,
player,201109110nyj,nyj,SancMa00,pass_yds,335,,,,,
player,201109110nyj,nyj,SancMa00,pass_td,2,,,,,
player,201109110nyj,nyj,SancMa00,pass_int,1,,,,,
player,201109110nyj,nyj,SancMa00,pass_sacked,4,,,,,
player,201109110nyj,nyj,SancMa00,pass_sacked_yds,20,,,,,
player,201109110nyj,nyj,SancMa00,pass_long,33,,,,,
player,201109110nyj,nyj,SancMa00,pass_rating,88.7,,,,,
player,201109110nyj,nyj,SancMa00,rush_att,1,,,,,
player,201109110nyj,nyj,SancMa00,rush_yds,3,,,,,
player,201109110nyj,nyj,SancMa00,rush_td,0,,,,,
player,201109110nyj,nyj,SancMa00,rush_long,3,,,,,
player,201109110nyj,nyj,SancMa00,targets,0,,,,,
player,201109110nyj,nyj,SancMa00,rec,0,,,,,
player,201109110nyj,nyj,SancMa00,rec_yds,0,,,,,
player,201109110nyj,nyj,SancMa00,rec_td,0,,,,,
player,201109110nyj,nyj,SancMa00,rec_long,0,,,,,
player,201109110nyj,nyj,SancMa00,fumbles,2,,,,,
player,201109110nyj,nyj,SancMa00,fumbles_lost,1,,,,,
player,201109110nyj,nyj,GreeSh00,pass_cmp,0,,,,,
player,201109110nyj,nyj,GreeSh00,pass_att,0,,,,,
player,201109110nyj,nyj,GreeSh00,pass_yds,0,,,,,
player,201109110nyj,nyj,GreeSh00,pass_td,0,,,,,
player,201109110nyj,nyj,GreeSh00,pass_int,0,,,,,
player,201109110nyj,nyj,GreeSh00,pass_sacked,0,,,,,
player,201109110nyj,nyj,GreeSh00,pass_sacked_yds,0,,,,,
player,201109110nyj,nyj,GreeSh00,pass_long,0,,,,,
player,201109110nyj,nyj,GreeSh00,pass_rating,,,,,,
player,201109110nyj,nyj,GreeSh00,rush_att,10,,,,,
player,201109110nyj,nyj,GreeSh00,rush_yds,26,,,,,
player,201109110nyj,nyj,GreeSh00,rush_td,0,,,,,
player,201109110nyj,nyj,GreeSh00,rush_long,6,,,,,
player,201109110nyj,nyj,GreeSh00,targets,1,,,,,
player,201109110nyj,nyj,GreeSh00,rec,1,,,,,
player,201109110nyj,nyj,GreeSh00,rec_yds,7,,,,,
player,201109110nyj,nyj,GreeSh00,rec_td,0,,,,,
player,201109110nyj,nyj,GreeSh00,rec_long,7,,,,,
player,201109110nyj,nyj,GreeSh00,fumbles,0,,,,,
player,201109110nyj,nyj,GreeSh00,fumbles_lost,,,,,,
player,201109110nyj,nyj,TomlLa00,pass_cmp,0,,,,,
player,201109110nyj,nyj,TomlLa00,pass_att,0,,,,,
player,201109110nyj,nyj,TomlLa00,pass_yds,0,,,,,
player,201109110nyj,nyj,TomlLa00,pass_td,0,,,,,
player,201109110nyj,nyj,TomlLa00,pass_int,0,,,,,
player,201109110nyj,nyj,TomlLa00,pass_sacked,0,,,,,
player,201109110nyj,nyj,TomlLa00,pass_sacked_yds,0,,,,,
player,201109110nyj,nyj,TomlLa00,pass_long,0,,,,,
player,201109110nyj,nyj,TomlLa00,pass_rating,,,,,,
player,201109110nyj,nyj,TomlLa00,rush_att,5,,,,,
player,201109110nyj,nyj,TomlLa00,rush_yds,16,,,,,
player,201109110nyj,nyj,TomlLa00,rush_td,0,,,,,
player,201109110nyj,nyj,TomlLa00,rush_long,7,,,,,
player,201109110nyj,nyj,TomlLa00,targets,7,,,,,
player,201109110nyj,nyj,TomlLa00,rec,6,,,,,
player,201109110nyj,nyj,TomlLa00,rec_yds,73,,,,,
player,201109110nyj,nyj,TomlLa00,rec_td,0,,,,,
player,201109110nyj,nyj,TomlLa00,rec_long,32,,,,,
player,201109110nyj,nyj,TomlLa00,fumbles,0,,,,,
player,201109110nyj,nyj,TomlLa00,fumbles_lost,,,,,,
player,201109110nyj,nyj,BurrPl00,pass_cmp,0,,,,,
player,201109110nyj,nyj,BurrPl00,pass_att,0,,,,,
player,201109110nyj,nyj,BurrPl00,pass_yds,0,,,,,
player,201109110nyj,nyj,BurrPl00,pass_td,0,,,,,
player,201109110nyj,nyj,BurrPl00,pass_int,0,,,,,
player,201109110nyj,nyj,BurrPl00,pass_sacked,0,,,,,
player,201109110nyj,nyj,BurrPl00,pass_sacked_yds,0,,,,,
player,201109110nyj,nyj,BurrPl00,pass_long,0,,,,,
player,201109110nyj,nyj,BurrPl00,pass_rating,,,,,,
player,201109110nyj,nyj,BurrPl00,rush_att,0,,,,,
player,201109110nyj,nyj,BurrPl00,rush_yds,0,,,,,
player,201109110nyj,nyj,BurrPl00,rush_td,0,,,,,
player,201109110nyj,nyj,BurrPl00,rush_long,0,,,,,
player,201109110nyj,nyj,BurrPl00,targets,9,,,,,
player,201109110nyj,nyj,BurrPl00,rec,4,,,,,
player,201109110nyj,nyj,BurrPl00,rec_yds,72,,,,,
player,201109110nyj,nyj,BurrPl00,rec_td,1,,,,,
player,201109110nyj,nyj,BurrPl00,rec_long,26,,,,,
player,201109110nyj,nyj,BurrPl00,fumbles,0,,,,,
player,201109110nyj,nyj,BurrPl00,fumbles_lost,,,,,,
player,201109110nyj,nyj,HolmSa00,pass_cmp,0,,,,,
player,201109110nyj,nyj,HolmSa00,pass_att,0,,,,,
player,201109110nyj,nyj,HolmSa00,pass_yds,0,,,,,
player,201109110nyj,nyj,HolmSa00,pass_td,0,,,,,
player,201109110nyj,nyj,HolmSa00,pass_int,0,,,,,
player,201109110nyj,nyj,HolmSa00,pass_sacked,0,,,,,
player,201109110nyj,nyj,HolmSa00,pass_sacked_yds,0,,,,,
player,201109110nyj,nyj,HolmSa00,pass_long,0,,,,,
player,201109110nyj,nyj,HolmSa00,pass_rating,,,,,,
player,201109110nyj,nyj,HolmSa00,rush_att,0,,,,,
player,201109110nyj,nyj,HolmSa00,rush_yds,0,,,,,
player,201109110nyj,nyj,HolmSa00,rush_td,0,,,,,
player,201109110nyj,nyj,HolmSa00,rush_long,0,,,,,
player,201109110nyj,nyj,HolmSa00,targets,10,,,,,
player,201109110nyj,nyj,HolmSa00,rec,6,,,,,
player,201109110nyj,nyj,HolmSa00,rec_yds,70,,,,,
player,201109110nyj,nyj,HolmSa00,rec_td,0,,,,,
player,201109110nyj,nyj,HolmSa00,rec_long,28,,,,,
player,201109110nyj,nyj,HolmSa00,fumbles,0,,,,,
player,201109110nyj,nyj,HolmSa00,fumbles_lost,,,,,,
player,201109110nyj,nyj,KellDu00,pass_cmp,0,,,,,
player,201109110nyj,nyj,KellDu00,pass_att,0,,,,,
player,201109110nyj,nyj,KellDu00,pass_yds,0,,,,,
player,201109110nyj,nyj,KellDu00,pass_td,0,,,,,
player,201109110nyj,nyj,KellDu00,pass_int,0,,,,,
player,201109110nyj,nyj,KellDu00,pass_sacked,0,,,,,
player,201109110nyj,nyj,KellDu00,pass_sacked_yds,0,,,,,
player,201109110nyj,nyj,KellDu00,pass_long,0,,,,,
player,201109110nyj,nyj,KellDu00,pass_rating,,,,,,
player,201109110nyj,nyj,KellDu00,rush_att,0,,,,,
player,201109110nyj,nyj,KellDu00,rush_yds,0,,,,,
player,201109110nyj,nyj,KellDu00,rush_td,0,,,,,
player,201109110nyj,nyj,KellDu00,rush_long,0,,,,,
player,201109110nyj,nyj,KellDu00,targets,8,,,,,
player,201109110nyj,nyj,KellDu00,rec,5,,,,,
player,201109110nyj,nyj,KellDu00,rec_yds,61,,,,,
player,201109110nyj,nyj,KellDu00,rec_td,1,,,,,
player,201109110nyj,nyj,KellDu00,rec_long,19,,,,,
player,201109110nyj,nyj,KellDu00,fumbles,0,,,,,
player,201109110nyj,nyj,KellDu00,fumbles_lost,,,,,,
player,201109110nyj,nyj,CumbJe00,pass_cmp,0,,,,,
player,201109110nyj,nyj,CumbJe00,pass_att,0,,,,,
player,201109110nyj,nyj,CumbJe00,pass_yds,0,,,,,
player,201109110nyj,nyj,CumbJe00,pass_td,0,,,,,
player,201109110nyj,nyj,CumbJe00,pass_int,0,,,,,
player,201109110nyj,nyj,CumbJe00,pass_sacked,0,,,,,
player,201109110nyj,nyj,CumbJe00,pass_sacked_yds,0,,,,,
player,201109110nyj,nyj,CumbJe00,pass_long,0,,,,,
player,201109110nyj,nyj,CumbJe00,pass_rating,,,,,,
player,201109110nyj,nyj,CumbJe00,rush_att,0,,,,,
player,201109110nyj,nyj,CumbJe00,rush_yds,0,,,,,
player,201109110nyj,nyj,CumbJe00,rush_td,0,,,,,
player,201109110nyj,nyj,CumbJe00,rush_long,0,,,,,
player,201109110nyj,nyj,CumbJe00,targets,2,,,,,
player,201109110nyj,nyj,CumbJe00,rec,1,,,,,
player,201109110nyj,nyj,CumbJe00,rec_yds,33,,,,,
player,201109110nyj,nyj,CumbJe00,rec_td,0,,,,,
player,201109110nyj,nyj,CumbJe00,rec_long,33,,,,,
player,201109110nyj,nyj,CumbJe00,fumbles,0,,,,,
player,201109110nyj,nyj,CumbJe00,fumbles_lost,,,,,,
player,201109110nyj,nyj,MasoDe00,pass_cmp,0,,,,,
player,201109110nyj,nyj,MasoDe00,pass_att,0,,,,,
player,201109110nyj,nyj,MasoDe00,pass_yds,0,,,,,
player,201109110nyj,nyj,MasoDe00,pass_td,0,,,,,
player,201109110nyj,nyj,MasoDe00,pass_int,0,,,,,
player,201109110nyj,nyj,MasoDe00,pass_sacked,0,,,,,
player,201109110nyj,nyj,MasoDe00,pass_sacked_yds,0,,,,,
player,201109110nyj,nyj,MasoDe00,pass_long,0,,,,,
player,201109110nyj,nyj,MasoDe00,pass_rating,,,,,,
player,201109110nyj,nyj,MasoDe00,rush_att,0,,,,,
player,201109110nyj,nyj,MasoDe00,rush_yds,0,,,,,
player,201109110nyj,nyj,MasoDe00,rush_td,0,,,,,
player,201109110nyj,nyj,MasoDe00,rush_long,0,,,,,
player,201109110nyj,nyj,MasoDe00,targets,6,,,,,
player,201109110nyj,nyj,MasoDe00,rec,3,,,,,
player,201109110nyj,nyj,MasoDe00,rec_yds,19,,,,,
player,201109110nyj,nyj,MasoDe00,rec_td,0,,,,,
player,201109110nyj,nyj,MasoDe00,rec_long,13,,,,,
player,201109110nyj,nyj,MasoDe00,fumbles,0,,,,,
player,201109110nyj,nyj,MasoDe00,fumbles_lost,,,,,,
player,201109110nyj,nyj,ConnJo00,pass_cmp,0,,,,,
player,201109110nyj,nyj,ConnJo00,pass_att,0,,,,,
player,201109110nyj,nyj,ConnJo00,pass_yds,0,,,,,
player,201109110nyj,nyj,ConnJo00,pass_td,0,,,,,
player,201109110nyj,nyj,ConnJo00,pass_int,0,,,,,
player,201109110nyj,nyj,ConnJo00,pass_sacked,0,,,,,
player,201109110nyj,nyj,ConnJo00,pass_sacked_yds,0,,,,,
player,201109110nyj,nyj,ConnJo00,pass_long,0,,,,,
player,201109110nyj,nyj,ConnJo00,pass_rating,,,,,,
player,201109110nyj,nyj,ConnJo00,rush_att,0,,,,,
player,201109110nyj,nyj,ConnJo00,rush_yds,0,,,,,
player,201109110nyj,nyj,ConnJo00,rush_td,0,,,,,
player,201109110nyj,nyj,ConnJo00,rush_long,0,,,,,
player,201109110nyj,nyj,ConnJo00,targets,1,,,,,
player,201109110nyj,nyj,ConnJo00,rec,0,,,,,
player,201109110nyj,nyj,ConnJo00,rec_yds,0,,,,,
player,201109110nyj,nyj,ConnJo00,rec_td,0,,,,,
player,201109110nyj,nyj,ConnJo00,rec_long,0,,,,,
player,201109110nyj,nyj,ConnJo00,fumbles,0,,,,,
player,201109110nyj,nyj,ConnJo00,fumbles_lost,,,,,,
player,201109110nyj,dal,LeexSe99,def_int,1,,,,,
player,201109110nyj,dal,LeexSe99,def_int_yds,37,,,,,
player,201109110nyj,dal,LeexSe99,def_int_td,0,,,,,
player,201109110nyj,dal,LeexSe99,def_int_long,37,,,,,
player,201109110nyj,dal,LeexSe99,pass_defended,1,,,,,
player,201109110nyj,dal,LeexSe99,sacks,0.0,,,,,
player,201109110nyj,dal,LeexSe99,tackles_combined,12,,,,,
player,201109110nyj,dal,LeexSe99,tackles_solo,10,,,,,
player,201109110nyj,dal,LeexSe99,tackles_assists,2,,,,,
player,201109110nyj,dal,LeexSe99,tackles_loss,0,,,,,
player,201109110nyj,dal,LeexSe99,qb_hits,0,,,,,
player,201109110nyj,dal,LeexSe99,fumbles_rec,1,,,,,
player,201109110nyj,dal,LeexSe99,fumbles_rec_yds,0,,,,,
player,201109110nyj,dal,LeexSe99,fumbles_rec_td,0,,,,,
player,201109110nyj,dal,LeexSe99,fumbles_forced,0,,,,,
player,201109110nyj,dal,WareDe99,def_int,0,,,,,
player,201109110nyj,dal,WareDe99,def_int_yds,0,,,,,
player,201109110nyj,dal,WareDe99,def_int_td,0,,,,,
player,201109110nyj,dal,WareDe99,def_int_long,0,,,,,
player,201109110nyj,dal,WareDe99,pass_defended,0,,,,,
player,201109110nyj,dal,WareDe99,sacks,2.0,,,,,
player,201109110nyj,dal,WareDe99,tackles_combined,4,,,,,
player,201109110nyj,dal,WareDe99,tackles_solo,3,,,,,
player,201109110nyj,dal,WareDe99,tackles_assists,1,,,,,
player,201109110nyj,dal,WareDe99,tackles_loss,2,,,,,
player,201109110nyj,dal,WareDe99,qb_hits,3,,,,,
player,201109110nyj,dal,WareDe99,fumbles_rec,0,,,,,
player,201109110nyj,dal,WareDe99,fumbles_rec_yds,0,,,,,
player,201109110nyj,dal,WareDe99,fumbles_rec_td,0,,,,,
player,201109110nyj,dal,WareDe99,fumbles_forced,0,,,,,
player,201109110nyj,dal,McCrDa00,def_int,0,,,,,
player,201109110nyj,dal,McCrDa00,def_int_yds,0,,,,,
player,201109110nyj,dal,McCrDa00,def_int_td,0,,,,,
player,201109110nyj,dal,McCrDa00,def_int_long,0,,,,,
player,201109110nyj,dal,McCrDa00,pass_defended,0,,,,,
player,201109110nyj,dal,McCrDa00,sacks,1.0,,,,,
player,201109110nyj,dal,McCrDa00,tackles_combined,3,,,,,
player,201109110nyj,dal,McCrDa00,tackles_solo,3,,,,,
player,201109110nyj,dal,McCrDa00,tackles_assists,0,,,,,
player,201109110nyj,dal,McCrDa00,tackles_loss,0,,,,,
player,201109110nyj,dal,McCrDa00,qb_hits,1,,,,,
player,201109110nyj,dal,McCrDa00,fumbles_rec,0,,,,,
player,201109110nyj,dal,McCrDa00,fumbles_rec_yds,0,,,,,
player,201109110nyj,dal,McCrDa00,fumbles_rec_td,0,,,,,
player,201109110nyj,dal,McCrDa00,fumbles_forced,1,,,,,
player,201109110nyj,dal,SpenAn99,def_int,0,,,,,
player,201109110nyj,dal,SpenAn99,def_int_yds,0,,,,,
player,201109110nyj,dal,SpenAn99,def_int_td,0,,,,,
player,201109110nyj,dal,SpenAn99,def_int_long,0,,,,,
player,201109110nyj,dal,SpenAn99,pass_defended,0,,,,,
player,201109110nyj,dal,SpenAn99,sacks,1.0,,,,,
