game,2011,10,20111113,201111130cle,ram,"St. Louis Rams",13,cle,"Cleveland Browns",12
player,201111130cle,ram,JackSt00,pass_yds,0,,,,,
player,201111130cle,ram,JackSt00,pass_td,0,,,,,
player,201111130cle,ram,JackSt00,pass_int,0,,,,,
player,201111130cle,ram,JackSt00,pass_sacked,0,,,,,
player,201111130cle,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201111130cle,ram,JackSt00,pass_long,0,,,,,
player,201111130cle,ram,JackSt00,pass_rating,,,,,,
player,201111130cle,ram,JackSt00,rush_att,27,,,,,
player,201111130cle,ram,JackSt00,rush_yds,128,,,,,
player,201111130cle,ram,JackSt00,rush_td,0,,,,,
player,201111130cle,ram,JackSt00,rush_long,22,,,,,
player,201111130cle,ram,JackSt00,targets,3,,,,,
player,201111130cle,ram,JackSt00,rec,3,,,,,
player,201111130cle,ram,JackSt00,rec_yds,23,,,,,
player,201111130cle,ram,JackSt00,rec_td,0,,,,,
player,201111130cle,ram,JackSt00,rec_long,11,,,,,
player,201111130cle,ram,JackSt00,fumbles,1,,,,,
player,201111130cle,ram,JackSt00,fumbles_lost,1,,,,,
player,201111130cle,ram,MillBr01,pass_cmp,0,,,,,
player,201111130cle,ram,MillBr01,pass_att,0,,,,,
player,201111130cle,ram,MillBr01,pass_yds,0,,,,,
player,201111130cle,ram,MillBr01,pass_td,0,,,,,
player,201111130cle,ram,MillBr01,pass_int,0,,,,,
player,201111130cle,ram,MillBr01,pass_sacked,0,,,,,
player,201111130cle,ram,MillBr01,pass_sacked_yds,0,,,,,
player,201111130cle,ram,MillBr01,pass_long,0,,,,,
player,201111130cle,ram,MillBr01,pass_rating,,,,,,
player,201111130cle,ram,MillBr01,rush_att,1,,,,,
player,201111130cle,ram,MillBr01,rush_yds,2,,,,,
player,201111130cle,ram,MillBr01,rush_td,0,,,,,
player,201111130cle,ram,MillBr01,rush_long,2,,,,,
player,201111130cle,ram,MillBr01,targets,1,,,,,
player,201111130cle,ram,MillBr01,rec,1,,,,,
player,201111130cle,ram,MillBr01,rec_yds,20,,,,,
player,201111130cle,ram,MillBr01,rec_td,0,,,,,
player,201111130cle,ram,MillBr01,rec_long,20,,,,,
player,201111130cle,ram,MillBr01,fumbles,0,,,,,
player,201111130cle,ram,MillBr01,fumbles_lost,,,,,,
player,201111130cle,ram,LloyBr00,pass_cmp,0,,,,,
player,201111130cle,ram,LloyBr00,pass_att,0,,,,,
player,201111130cle,ram,LloyBr00,pass_yds,0,,,,,
player,201111130cle,ram,LloyBr00,pass_td,0,,,,,
player,201111130cle,ram,LloyBr00,pass_int,0,,,,,
player,201111130cle,ram,LloyBr00,pass_sacked,0,,,,,
player,201111130cle,ram,LloyBr00,pass_sacked_yds,0,,,,,
player,201111130cle,ram,LloyBr00,pass_long,0,,,,,
player,201111130cle,ram,LloyBr00,pass_rating,,,,,,
player,201111130cle,ram,LloyBr00,rush_att,0,,,,,
player,201111130cle,ram,LloyBr00,rush_yds,0,,,,,
player,201111130cle,ram,LloyBr00,rush_td,0,,,,,
player,201111130cle,ram,LloyBr00,rush_long,0,,,,,
player,201111130cle,ram,LloyBr00,targets,9,,,,,
player,201111130cle,ram,LloyBr00,rec,4,,,,,
player,201111130cle,ram,LloyBr00,rec_yds,48,,,,,
player,201111130cle,ram,LloyBr00,rec_td,1,,,,,
player,201111130cle,ram,LloyBr00,rec_long,24,,,,,
player,201111130cle,ram,LloyBr00,fumbles,0,,,,,
player,201111130cle,ram,LloyBr00,fumbles_lost,,,,,,
player,201111130cle,ram,PettAu00,pass_cmp,0,,,,,
player,201111130cle,ram,PettAu00,pass_att,0,,,,,
player,201111130cle,ram,PettAu00,pass_yds,0,,,,,
player,201111130cle,ram,PettAu00,pass_td,0,,,,,
player,201111130cle,ram,PettAu00,pass_int,0,,,,,
player,201111130cle,ram,PettAu00,pass_sacked,0,,,,,
player,201111130cle,ram,PettAu00,pass_sacked_yds,0,,,,,
player,201111130cle,ram,PettAu00,pass_long,0,,,,,
player,201111130cle,ram,PettAu00,pass_rating,,,,,,
player,201111130cle,ram,PettAu00,rush_att,0,,,,,
player,201111130cle,ram,PettAu00,rush_yds,0,,,,,
player,201111130cle,ram,PettAu00,rush_td,0,,,,,
player,201111130cle,ram,PettAu00,rush_long,0,,,,,
player,201111130cle,ram,PettAu00,targets,4,,,,,
player,201111130cle,ram,PettAu00,rec,3,,,,,
player,201111130cle,ram,PettAu00,rec_yds,31,,,,,
player,201111130cle,ram,PettAu00,rec_td,0,,,,,
player,201111130cle,ram,PettAu00,rec_long,16,,,,,
player,201111130cle,ram,PettAu00,fumbles,0,,,,,
player,201111130cle,ram,PettAu00,fumbles_lost,,,,,,
player,201111130cle,ram,HoomMi00,pass_cmp,0,,,,,
player,201111130cle,ram,HoomMi00,pass_att,0,,,,,
player,201111130cle,ram,HoomMi00,pass_yds,0,,,,,
player,201111130cle,ram,HoomMi00,pass_td,0,,,,,
player,201111130cle,ram,HoomMi00,pass_int,0,,,,,
player,201111130cle,ram,HoomMi00,pass_sacked,0,,,,,
player,201111130cle,ram,HoomMi00,pass_sacked_yds,0,,,,,
player,201111130cle,ram,HoomMi00,pass_long,0,,,,,
player,201111130cle,ram,HoomMi00,pass_rating,,,,,,
player,201111130cle,ram,HoomMi00,rush_att,0,,,,,
player,201111130cle,ram,HoomMi00,rush_yds,0,,,,,
player,201111130cle,ram,HoomMi00,rush_td,0,,,,,
player,201111130cle,ram,HoomMi00,rush_long,0,,,,,
player,201111130cle,ram,HoomMi00,targets,3,,,,,
player,201111130cle,ram,HoomMi00,rec,2,,,,,
player,201111130cle,ram,HoomMi00,rec_yds,21,,,,,
player,201111130cle,ram,HoomMi00,rec_td,0,,,,,
player,201111130cle,ram,HoomMi00,rec_long,15,,,,,
player,201111130cle,ram,HoomMi00,fumbles,0,,,,,
player,201111130cle,ram,HoomMi00,fumbles_lost,,,,,,
player,201111130cle,ram,BajeBi00,pass_cmp,0,,,,,
player,201111130cle,ram,BajeBi00,pass_att,0,,,,,
player,201111130cle,ram,BajeBi00,pass_yds,0,,,,,
player,201111130cle,ram,BajeBi00,pass_td,0,,,,,
player,201111130cle,ram,BajeBi00,pass_int,0,,,,,
player,201111130cle,ram,BajeBi00,pass_sacked,0,,,,,
player,201111130cle,ram,BajeBi00,pass_sacked_yds,0,,,,,
player,201111130cle,ram,BajeBi00,pass_long,0,,,,,
player,201111130cle,ram,BajeBi00,pass_rating,,,,,,
player,201111130cle,ram,BajeBi00,rush_att,0,,,,,
player,201111130cle,ram,BajeBi00,rush_yds,0,,,,,
player,201111130cle,ram,BajeBi00,rush_td,0,,,,,
player,201111130cle,ram,BajeBi00,rush_long,0,,,,,
player,201111130cle,ram,BajeBi00,targets,2,,,,,
player,201111130cle,ram,BajeBi00,rec,2,,,,,
player,201111130cle,ram,BajeBi00,rec_yds,12,,,,,
player,201111130cle,ram,BajeBi00,rec_td,0,,,,,
player,201111130cle,ram,BajeBi00,rec_long,7,,,,,
player,201111130cle,ram,BajeBi00,fumbles,0,,,,,
player,201111130cle,ram,BajeBi00,fumbles_lost,,,,,,
player,201111130cle,ram,GibsBr00,pass_cmp,0,,,,,
player,201111130cle,ram,GibsBr00,pass_att,0,,,,,
player,201111130cle,ram,GibsBr00,pass_yds,0,,,,,
player,201111130cle,ram,GibsBr00,pass_td,0,,,,,
player,201111130cle,ram,GibsBr00,pass_int,0,,,,,
player,201111130cle,ram,GibsBr00,pass_sacked,0,,,,,
player,201111130cle,ram,GibsBr00,pass_sacked_yds,0,,,,,
player,201111130cle,ram,GibsBr00,pass_long,0,,,,,
player,201111130cle,ram,GibsBr00,pass_rating,,,,,,
player,201111130cle,ram,GibsBr00,rush_att,0,,,,,
player,201111130cle,ram,GibsBr00,rush_yds,0,,,,,
player,201111130cle,ram,GibsBr00,rush_td,0,,,,,
player,201111130cle,ram,GibsBr00,rush_long,0,,,,,
player,201111130cle,ram,GibsBr00,targets,3,,,,,
player,201111130cle,ram,GibsBr00,rec,0,,,,,
player,201111130cle,ram,GibsBr00,rec_yds,0,,,,,
player,201111130cle,ram,GibsBr00,rec_td,0,,,,,
player,201111130cle,ram,GibsBr00,rec_long,0,,,,,
player,201111130cle,ram,GibsBr00,fumbles,0,,,,,
player,201111130cle,ram,GibsBr00,fumbles_lost,,,,,,
player,201111130cle,cle,McCoCo00,pass_cmp,20,,,,,
player,201111130cle,cle,McCoCo00,pass_att,27,,,,,
player,201111130cle,cle,McCoCo00,pass_yds,218,,,,,
player,201111130cle,cle,McCoCo00,pass_td,0,,,,,
player,201111130cle,cle,McCoCo00,pass_int,0,,,,,
player,201111130cle,cle,McCoCo00,pass_sacked,2,,,,,
player,201111130cle,cle,McCoCo00,pass_sacked_yds,9,,,,,
player,201111130cle,cle,McCoCo00,pass_long,52,,,,,
player,201111130cle,cle,McCoCo00,pass_rating,97.5,,,,,
player,201111130cle,cle,McCoCo00,rush_att,4,,,,,
player,201111130cle,cle,McCoCo00,rush_yds,4,,,,,
player,201111130cle,cle,McCoCo00,rush_td,0,,,,,
player,201111130cle,cle,McCoCo00,rush_long,2,,,,,
player,201111130cle,cle,McCoCo00,targets,0,,,,,
player,201111130cle,cle,McCoCo00,rec,0,,,,,
player,201111130cle,cle,McCoCo00,rec_yds,0,,,,,
player,201111130cle,cle,McCoCo00,rec_td,0,,,,,
player,201111130cle,cle,McCoCo00,rec_long,0,,,,,
player,201111130cle,cle,McCoCo00,fumbles,1,,,,,
player,201111130cle,cle,McCoCo00,fumbles_lost,0,,,,,
player,201111130cle,cle,OgboCh00,pass_cmp,0,,,,,
player,201111130cle,cle,OgboCh00,pass_att,0,,,,,
player,201111130cle,cle,OgboCh00,pass_yds,0,,,,,
player,201111130cle,cle,OgboCh00,pass_td,0,,,,,
player,201111130cle,cle,OgboCh00,pass_int,0,,,,,
player,201111130cle,cle,OgboCh00,pass_sacked,0,,,,,
player,201111130cle,cle,OgboCh00,pass_sacked_yds,0,,,,,
player,201111130cle,cle,OgboCh00,pass_long,0,,,,,
player,201111130cle,cle,OgboCh00,pass_rating,,,,,,
player,201111130cle,cle,OgboCh00,rush_att,19,,,,,
player,201111130cle,cle,OgboCh00,rush_yds,90,,,,,
player,201111130cle,cle,OgboCh00,rush_td,0,,,,,
player,201111130cle,cle,OgboCh00,rush_long,32,,,,,
player,201111130cle,cle,OgboCh00,targets,2,,,,,
player,201111130cle,cle,OgboCh00,rec,2,,,,,
player,201111130cle,cle,OgboCh00,rec_yds,19,,,,,
player,201111130cle,cle,OgboCh00,rec_td,0,,,,,
player,201111130cle,cle,OgboCh00,rec_long,17,,,,,
player,201111130cle,cle,OgboCh00,fumbles,0,,,,,
player,201111130cle,cle,OgboCh00,fumbles_lost,,,,,,
player,201111130cle,cle,CribJo01,pass_cmp,0,,,,,
player,201111130cle,cle,CribJo01,pass_att,0,,,,,
player,201111130cle,cle,CribJo01,pass_yds,0,,,,,
player,201111130cle,cle,CribJo01,pass_td,0,,,,,
player,201111130cle,cle,CribJo01,pass_int,0,,,,,
player,201111130cle,cle,CribJo01,pass_sacked,0,,,,,
player,201111130cle,cle,CribJo01,pass_sacked_yds,0,,,,,
player,201111130cle,cle,CribJo01,pass_long,0,,,,,
player,201111130cle,cle,CribJo01,pass_rating,,,,,,
player,201111130cle,cle,CribJo01,rush_att,3,,,,,
player,201111130cle,cle,CribJo01,rush_yds,21,,,,,
player,201111130cle,cle,CribJo01,rush_td,0,,,,,
player,201111130cle,cle,CribJo01,rush_long,15,,,,,
player,201111130cle,cle,CribJo01,targets,5,,,,,
player,201111130cle,cle,CribJo01,rec,3,,,,,
player,201111130cle,cle,CribJo01,rec_yds,32,,,,,
player,201111130cle,cle,CribJo01,rec_td,0,,,,,
player,201111130cle,cle,CribJo01,rec_long,20,,,,,
player,201111130cle,cle,CribJo01,fumbles,1,,,,,
player,201111130cle,cle,CribJo01,fumbles_lost,0,,,,,
player,201111130cle,cle,LittGr00,pass_cmp,0,,,,,
player,201111130cle,cle,LittGr00,pass_att,0,,,,,
player,201111130cle,cle,LittGr00,pass_yds,0,,,,,
player,201111130cle,cle,LittGr00,pass_td,0,,,,,
player,201111130cle,cle,LittGr00,pass_int,0,,,,,
player,201111130cle,cle,LittGr00,pass_sacked,0,,,,,
player,201111130cle,cle,LittGr00,pass_sacked_yds,0,,,,,
player,201111130cle,cle,LittGr00,pass_long,0,,,,,
player,201111130cle,cle,LittGr00,pass_rating,,,,,,
player,201111130cle,cle,LittGr00,rush_att,1,,,,,
player,201111130cle,cle,LittGr00,rush_yds,10,,,,,
player,201111130cle,cle,LittGr00,rush_td,0,,,,,
player,201111130cle,cle,LittGr00,rush_long,10,,,,,
player,201111130cle,cle,LittGr00,targets,6,,,,,
player,201111130cle,cle,LittGr00,rec,6,,,,,
player,201111130cle,cle,LittGr00,rec_yds,84,,,,,
player,201111130cle,cle,LittGr00,rec_td,0,,,,,
player,201111130cle,cle,LittGr00,rec_long,52,,,,,
player,201111130cle,cle,LittGr00,fumbles,0,,,,,
player,201111130cle,cle,LittGr00,fumbles_lost,,,,,,
player,201111130cle,cle,MareOw00,pass_cmp,0,,,,,
player,201111130cle,cle,MareOw00,pass_att,0,,,,,
player,201111130cle,cle,MareOw00,pass_yds,0,,,,,
player,201111130cle,cle,MareOw00,pass_td,0,,,,,
player,201111130cle,cle,MareOw00,pass_int,0,,,,,
player,201111130cle,cle,MareOw00,pass_sacked,0,,,,,
player,201111130cle,cle,MareOw00,pass_sacked_yds,0,,,,,
player,201111130cle,cle,MareOw00,pass_long,0,,,,,
player,201111130cle,cle,MareOw00,pass_rating,,,,,,
player,201111130cle,cle,MareOw00,rush_att,1,,,,,
player,201111130cle,cle,MareOw00,rush_yds,3,,,,,
player,201111130cle,cle,MareOw00,rush_td,0,,,,,
player,201111130cle,cle,MareOw00,rush_long,3,,,,,
player,201111130cle,cle,MareOw00,targets,0,,,,,
player,201111130cle,cle,MareOw00,rec,0,,,,,
player,201111130cle,cle,MareOw00,rec_yds,0,,,,,
player,201111130cle,cle,MareOw00,rec_td,0,,,,,
player,201111130cle,cle,MareOw00,rec_long,0,,,,,
player,201111130cle,cle,MareOw00,fumbles,0,,,,,
player,201111130cle,cle,MareOw00,fumbles_lost,,,,,,
player,201111130cle,cle,WatsBe00,pass_cmp,0,,,,,
player,201111130cle,cle,WatsBe00,pass_att,0,,,,,
player,201111130cle,cle,WatsBe00,pass_yds,0,,,,,
player,201111130cle,cle,WatsBe00,pass_td,0,,,,,
player,201111130cle,cle,WatsBe00,pass_int,0,,,,,
player,201111130cle,cle,WatsBe00,pass_sacked,0,,,,,
player,201111130cle,cle,WatsBe00,pass_sacked_yds,0,,,,,
player,201111130cle,cle,WatsBe00,pass_long,0,,,,,
player,201111130cle,cle,WatsBe00,pass_rating,,,,,,
player,201111130cle,cle,WatsBe00,rush_att,0,,,,,
player,201111130cle,cle,WatsBe00,rush_yds,0,,,,,
player,201111130cle,cle,WatsBe00,rush_td,0,,,,,
player,201111130cle,cle,WatsBe00,rush_long,0,,,,,
player,201111130cle,cle,WatsBe00,targets,5,,,,,
player,201111130cle,cle,WatsBe00,rec,3,,,,,
player,201111130cle,cle,WatsBe00,rec_yds,30,,,,,
player,201111130cle,cle,WatsBe00,rec_td,0,,,,,
player,201111130cle,cle,WatsBe00,rec_long,22,,,,,
player,201111130cle,cle,WatsBe00,fumbles,0,,,,,
player,201111130cle,cle,WatsBe00,fumbles_lost,,,,,,
player,201111130cle,cle,WallSe00,pass_cmp,0,,,,,
player,201111130cle,cle,WallSe00,pass_att,0,,,,,
player,201111130cle,cle,WallSe00,pass_yds,0,,,,,
player,201111130cle,cle,WallSe00,pass_td,0,,,,,
player,201111130cle,cle,WallSe00,pass_int,0,,,,,
player,201111130cle,cle,WallSe00,pass_sacked,0,,,,,
player,201111130cle,cle,WallSe00,pass_sacked_yds,0,,,,,
player,201111130cle,cle,WallSe00,pass_long,0,,,,,
player,201111130cle,cle,WallSe00,pass_rating,,,,,,
player,201111130cle,cle,WallSe00,rush_att,0,,,,,
player,201111130cle,cle,WallSe00,rush_yds,0,,,,,
player,201111130cle,cle,WallSe00,rush_td,0,,,,,
player,201111130cle,cle,WallSe00,rush_long,0,,,,,
player,201111130cle,cle,WallSe00,targets,1,,,,,
player,201111130cle,cle,WallSe00,rec,1,,,,,
player,201111130cle,cle,WallSe00,rec_yds,21,,,,,
player,201111130cle,cle,WallSe00,rec_td,0,,,,,
player,201111130cle,cle,WallSe00,rec_long,21,,,,,
player,201111130cle,cle,WallSe00,fumbles,0,,,,,
player,201111130cle,cle,WallSe00,fumbles_lost,,,,,,
player,201111130cle,cle,SmitAl02,pass_cmp,0,,,,,
player,201111130cle,cle,SmitAl02,pass_att,0,,,,,
player,201111130cle,cle,SmitAl02,pass_yds,0,,,,,
player,201111130cle,cle,SmitAl02,pass_td,0,,,,,
player,201111130cle,cle,SmitAl02,pass_int,0,,,,,
player,201111130cle,cle,SmitAl02,pass_sacked,0,,,,,
player,201111130cle,cle,SmitAl02,pass_sacked_yds,0,,,,,
player,201111130cle,cle,SmitAl02,pass_long,0,,,,,
player,201111130cle,cle,SmitAl02,pass_rating,,,,,,
player,201111130cle,cle,SmitAl02,rush_att,0,,,,,
player,201111130cle,cle,SmitAl02,rush_yds,0,,,,,
player,201111130cle,cle,SmitAl02,rush_td,0,,,,,
player,201111130cle,cle,SmitAl02,rush_long,0,,,,,
player,201111130cle,cle,SmitAl02,targets,2,,,,,
player,201111130cle,cle,SmitAl02,rec,2,,,,,
player,201111130cle,cle,SmitAl02,rec_yds,15,,,,,
player,201111130cle,cle,SmitAl02,rec_td,0,,,,,
player,201111130cle,cle,SmitAl02,rec_long,10,,,,,
player,201111130cle,cle,SmitAl02,fumbles,0,,,,,
player,201111130cle,cle,SmitAl02,fumbles_lost,,,,,,
player,201111130cle,cle,NorwJo00,pass_cmp,0,,,,,
player,201111130cle,cle,NorwJo00,pass_att,0,,,,,
player,201111130cle,cle,NorwJo00,pass_yds,0,,,,,
player,201111130cle,cle,NorwJo00,pass_td,0,,,,,
player,201111130cle,cle,NorwJo00,pass_int,0,,,,,
player,201111130cle,cle,NorwJo00,pass_sacked,0,,,,,
player,201111130cle,cle,NorwJo00,pass_sacked_yds,0,,,,,
player,201111130cle,cle,NorwJo00,pass_long,0,,,,,
player,201111130cle,cle,NorwJo00,pass_rating,,,,,,
player,201111130cle,cle,NorwJo00,rush_att,0,,,,,
player,201111130cle,cle,NorwJo00,rush_yds,0,,,,,
player,201111130cle,cle,NorwJo00,rush_td,0,,,,,
player,201111130cle,cle,NorwJo00,rush_long,0,,,,,
player,201111130cle,cle,NorwJo00,targets,3,,,,,
player,201111130cle,cle,NorwJo00,rec,2,,,,,
player,201111130cle,cle,NorwJo00,rec_yds,14,,,,,
player,201111130cle,cle,NorwJo00,rec_td,0,,,,,
player,201111130cle,cle,NorwJo00,rec_long,8,,,,,
player,201111130cle,cle,NorwJo00,fumbles,0,,,,,
player,201111130cle,cle,NorwJo00,fumbles_lost,,,,,,
player,201111130cle,cle,CameJo00,pass_cmp,0,,,,,
player,201111130cle,cle,CameJo00,pass_att,0,,,,,
player,201111130cle,cle,CameJo00,pass_yds,0,,,,,
player,201111130cle,cle,CameJo00,pass_td,0,,,,,
player,201111130cle,cle,CameJo00,pass_int,0,,,,,
player,201111130cle,cle,CameJo00,pass_sacked,0,,,,,
player,201111130cle,cle,CameJo00,pass_sacked_yds,0,,,,,
player,201111130cle,cle,CameJo00,pass_long,0,,,,,
player,201111130cle,cle,CameJo00,pass_rating,,,,,,
player,201111130cle,cle,CameJo00,rush_att,0,,,,,
player,201111130cle,cle,CameJo00,rush_yds,0,,,,,
player,201111130cle,cle,CameJo00,rush_td,0,,,,,
player,201111130cle,cle,CameJo00,rush_long,0,,,,,
player,201111130cle,cle,CameJo00,targets,1,,,,,
player,201111130cle,cle,CameJo00,rec,0,,,,,
player,201111130cle,cle,CameJo00,rec_yds,0,,,,,
player,201111130cle,cle,CameJo00,rec_td,0,,,,,
player,201111130cle,cle,CameJo00,rec_long,0,,,,,
player,201111130cle,cle,CameJo00,fumbles,0,,,,,
player,201111130cle,cle,CameJo00,fumbles_lost,,,,,,
player,201111130cle,cle,ClayTh00,pass_cmp,0,,,,,
player,201111130cle,cle,ClayTh00,pass_att,0,,,,,
player,201111130cle,cle,ClayTh00,pass_yds,0,,,,,
player,201111130cle,cle,ClayTh00,pass_td,0,,,,,
player,201111130cle,cle,ClayTh00,pass_int,0,,,,,
player,201111130cle,cle,ClayTh00,pass_sacked,0,,,,,
player,201111130cle,cle,ClayTh00,pass_sacked_yds,0,,,,,
player,201111130cle,cle,ClayTh00,pass_long,0,,,,,
player,201111130cle,cle,ClayTh00,pass_rating,,,,,,
player,201111130cle,cle,ClayTh00,rush_att,2,,,,,
player,201111130cle,cle,ClayTh00,rush_yds,-2,,,,,
player,201111130cle,cle,ClayTh00,rush_td,0,,,,,
player,201111130cle,cle,ClayTh00,rush_long,1,,,,,
player,201111130cle,cle,ClayTh00,targets,1,,,,,
player,201111130cle,cle,ClayTh00,rec,1,,,,,
player,201111130cle,cle,ClayTh00,rec_yds,3,,,,,
player,201111130cle,cle,ClayTh00,rec_td,0,,,,,
player,201111130cle,cle,ClayTh00,rec_long,3,,,,,
player,201111130cle,cle,ClayTh00,fumbles,0,,,,,
player,201111130cle,cle,ClayTh00,fumbles_lost,,,,,,
player,201111130cle,ram,LaurJa99,def_int,0,,,,,
player,201111130cle,ram,LaurJa99,def_int_yds,0,,,,,
player,201111130cle,ram,LaurJa99,def_int_td,0,,,,,
player,201111130cle,ram,LaurJa99,def_int_long,0,,,,,
player,201111130cle,ram,LaurJa99,pass_defended,1,,,,,
player,201111130cle,ram,LaurJa99,sacks,1.0,,,,,
player,201111130cle,ram,LaurJa99,tackles_combined,10,,,,,
player,201111130cle,ram,LaurJa99,tackles_solo,6,,,,,
player,201111130cle,ram,LaurJa99,tackles_assists,4,,,,,
player,201111130cle,ram,LaurJa99,tackles_loss,1,,,,,
player,201111130cle,ram,LaurJa99,qb_hits,1,,,,,
player,201111130cle,ram,LaurJa99,fumbles_rec,0,,,,,
player,201111130cle,ram,LaurJa99,fumbles_rec_yds,0,,,,,
player,201111130cle,ram,LaurJa99,fumbles_rec_td,0,,,,,
player,201111130cle,ram,LaurJa99,fumbles_forced,0,,,,,
player,201111130cle,ram,LongCh99,def_int,0,,,,,
player,201111130cle,ram,LongCh99,def_int_yds,0,,,,,
player,201111130cle,ram,LongCh99,def_int_td,0,,,,,
player,201111130cle,ram,LongCh99,def_int_long,0,,,,,
player,201111130cle,ram,LongCh99,pass_defended,0,,,,,
player,201111130cle,ram,LongCh99,sacks,1.0,,,,,
player,201111130cle,ram,LongCh99,tackles_combined,2,,,,,
player,201111130cle,ram,LongCh99,tackles_solo,2,,,,,
player,201111130cle,ram,LongCh99,tackles_assists,0,,,,,
player,201111130cle,ram,LongCh99,tackles_loss,1,,,,,
player,201111130cle,ram,LongCh99,qb_hits,1,,,,,
player,201111130cle,ram,LongCh99,fumbles_rec,0,,,,,
player,201111130cle,ram,LongCh99,fumbles_rec_yds,0,,,,,
player,201111130cle,ram,LongCh99,fumbles_rec_td,0,,,,,
player,201111130cle,ram,LongCh99,fumbles_forced,0,,,,,
player,201111130cle,ram,KingJu99,def_int,0,,,,,
player,201111130cle,ram,KingJu99,def_int_yds,0,,,,,
player,201111130cle,ram,KingJu99,def_int_td,0,,,,,
player,201111130cle,ram,KingJu99,def_int_long,0,,,,,
player,201111130cle,ram,KingJu99,pass_defended,1,,,,,
player,201111130cle,ram,KingJu99,sacks,0.0,,,,,
player,201111130cle,ram,KingJu99,tackles_combined,9,,,,,
player,201111130cle,ram,KingJu99,tackles_solo,6,,,,,
player,201111130cle,ram,KingJu99,tackles_assists,3,,,,,
player,201111130cle,ram,KingJu99,tackles_loss,0,,,,,
player,201111130cle,ram,KingJu99,qb_hits,0,,,,,
player,201111130cle,ram,KingJu99,fumbles_rec,0,,,,,
player,201111130cle,ram,KingJu99,fumbles_rec_yds,0,,,,,
player,201111130cle,ram,KingJu99,fumbles_rec_td,0,,,,,
player,201111130cle,ram,KingJu99,fumbles_forced,0,,,,,
player,201111130cle,ram,ChamCh99,def_int,0,,,,,
player,201111130cle,ram,ChamCh99,def_int_yds,0,,,,,
player,201111130cle,ram,ChamCh99,def_int_td,0,,,,,
player,201111130cle,ram,ChamCh99,def_int_long,0,,,,,
player,201111130cle,ram,ChamCh99,pass_defended,0,,,,,
player,201111130cle,ram,ChamCh99,sacks,0.0,,,,,
player,201111130cle,ram,ChamCh99,tackles_combined,8,,,,,
player,201111130cle,ram,ChamCh99,tackles_solo,6,,,,,
player,201111130cle,ram,ChamCh99,tackles_assists,2,,,,,
player,201111130cle,ram,ChamCh99,tackles_loss,0,,,,,
player,201111130cle,ram,ChamCh99,qb_hits,1,,,,,
