game,2011,4,20111002,201110020cin,buf,"Buffalo Bills",20,cin,"Cincinnati Bengals",23
player,201110020cin,buf,JackFr02,pass_long,0,,,,,
player,201110020cin,buf,JackFr02,pass_rating,,,,,,
player,201110020cin,buf,JackFr02,rush_att,17,,,,,
player,201110020cin,buf,JackFr02,rush_yds,66,,,,,
player,201110020cin,buf,JackFr02,rush_td,1,,,,,
player,201110020cin,buf,JackFr02,rush_long,21,,,,,
player,201110020cin,buf,JackFr02,targets,8,,,,,
player,201110020cin,buf,JackFr02,rec,5,,,,,
player,201110020cin,buf,JackFr02,rec_yds,32,,,,,
player,201110020cin,buf,JackFr02,rec_td,0,,,,,
player,201110020cin,buf,JackFr02,rec_long,9,,,,,
player,201110020cin,buf,JackFr02,fumbles,0,,,,,
player,201110020cin,buf,JackFr02,fumbles_lost,,,,,,
player,201110020cin,buf,SpilC.00,pass_cmp,0,,,,,
player,201110020cin,buf,SpilC.00,pass_att,0,,,,,
player,201110020cin,buf,SpilC.00,pass_yds,0,,,,,
player,201110020cin,buf,SpilC.00,pass_td,0,,,,,
player,201110020cin,buf,SpilC.00,pass_int,0,,,,,
player,201110020cin,buf,SpilC.00,pass_sacked,0,,,,,
player,201110020cin,buf,SpilC.00,pass_sacked_yds,0,,,,,
player,201110020cin,buf,SpilC.00,pass_long,0,,,,,
player,201110020cin,buf,SpilC.00,pass_rating,,,,,,
player,201110020cin,buf,SpilC.00,rush_att,3,,,,,
player,201110020cin,buf,SpilC.00,rush_yds,12,,,,,
player,201110020cin,buf,SpilC.00,rush_td,0,,,,,
player,201110020cin,buf,SpilC.00,rush_long,9,,,,,
player,201110020cin,buf,SpilC.00,targets,1,,,,,
player,201110020cin,buf,SpilC.00,rec,1,,,,,
player,201110020cin,buf,SpilC.00,rec_yds,9,,,,,
player,201110020cin,buf,SpilC.00,rec_td,0,,,,,
player,201110020cin,buf,SpilC.00,rec_long,9,,,,,
player,201110020cin,buf,SpilC.00,fumbles,0,,,,,
player,201110020cin,buf,SpilC.00,fumbles_lost,,,,,,
player,201110020cin,buf,JohnSt00,pass_cmp,0,,,,,
player,201110020cin,buf,JohnSt00,pass_att,0,,,,,
player,201110020cin,buf,JohnSt00,pass_yds,0,,,,,
player,201110020cin,buf,JohnSt00,pass_td,0,,,,,
player,201110020cin,buf,JohnSt00,pass_int,0,,,,,
player,201110020cin,buf,JohnSt00,pass_sacked,0,,,,,
player,201110020cin,buf,JohnSt00,pass_sacked_yds,0,,,,,
player,201110020cin,buf,JohnSt00,pass_long,0,,,,,
player,201110020cin,buf,JohnSt00,pass_rating,,,,,,
player,201110020cin,buf,JohnSt00,rush_att,0,,,,,
player,201110020cin,buf,JohnSt00,rush_yds,0,,,,,
player,201110020cin,buf,JohnSt00,rush_td,0,,,,,
player,201110020cin,buf,JohnSt00,rush_long,0,,,,,
player,201110020cin,buf,JohnSt00,targets,6,,,,,
player,201110020cin,buf,JohnSt00,rec,4,,,,,
player,201110020cin,buf,JohnSt00,rec_yds,58,,,,,
player,201110020cin,buf,JohnSt00,rec_td,0,,,,,
player,201110020cin,buf,JohnSt00,rec_long,44,,,,,
player,201110020cin,buf,JohnSt00,fumbles,0,,,,,
player,201110020cin,buf,JohnSt00,fumbles_lost,,,,,,
player,201110020cin,buf,RoosNa00,pass_cmp,0,,,,,
player,201110020cin,buf,RoosNa00,pass_att,0,,,,,
player,201110020cin,buf,RoosNa00,pass_yds,0,,,,,
player,201110020cin,buf,RoosNa00,pass_td,0,,,,,
player,201110020cin,buf,RoosNa00,pass_int,0,,,,,
player,201110020cin,buf,RoosNa00,pass_sacked,0,,,,,
player,201110020cin,buf,RoosNa00,pass_sacked_yds,0,,,,,
player,201110020cin,buf,RoosNa00,pass_long,0,,,,,
player,201110020cin,buf,RoosNa00,pass_rating,,,,,,
player,201110020cin,buf,RoosNa00,rush_att,0,,,,,
player,201110020cin,buf,RoosNa00,rush_yds,0,,,,,
player,201110020cin,buf,RoosNa00,rush_td,0,,,,,
player,201110020cin,buf,RoosNa00,rush_long,0,,,,,
player,201110020cin,buf,RoosNa00,targets,1,,,,,
player,201110020cin,buf,RoosNa00,rec,1,,,,,
player,201110020cin,buf,RoosNa00,rec_yds,28,,,,,
player,201110020cin,buf,RoosNa00,rec_td,0,,,,,
player,201110020cin,buf,RoosNa00,rec_long,28,,,,,
player,201110020cin,buf,RoosNa00,fumbles,0,,,,,
player,201110020cin,buf,RoosNa00,fumbles_lost,,,,,,
player,201110020cin,buf,SmitBr01,pass_cmp,0,,,,,
player,201110020cin,buf,SmitBr01,pass_att,0,,,,,
player,201110020cin,buf,SmitBr01,pass_yds,0,,,,,
player,201110020cin,buf,SmitBr01,pass_td,0,,,,,
player,201110020cin,buf,SmitBr01,pass_int,0,,,,,
player,201110020cin,buf,SmitBr01,pass_sacked,0,,,,,
player,201110020cin,buf,SmitBr01,pass_sacked_yds,0,,,,,
player,201110020cin,buf,SmitBr01,pass_long,0,,,,,
player,201110020cin,buf,SmitBr01,pass_rating,,,,,,
player,201110020cin,buf,SmitBr01,rush_att,0,,,,,
player,201110020cin,buf,SmitBr01,rush_yds,0,,,,,
player,201110020cin,buf,SmitBr01,rush_td,0,,,,,
player,201110020cin,buf,SmitBr01,rush_long,0,,,,,
player,201110020cin,buf,SmitBr01,targets,4,,,,,
player,201110020cin,buf,SmitBr01,rec,2,,,,,
player,201110020cin,buf,SmitBr01,rec_yds,25,,,,,
player,201110020cin,buf,SmitBr01,rec_td,0,,,,,
player,201110020cin,buf,SmitBr01,rec_long,17,,,,,
player,201110020cin,buf,SmitBr01,fumbles,0,,,,,
player,201110020cin,buf,SmitBr01,fumbles_lost,,,,,,
player,201110020cin,buf,JoneDo00,pass_cmp,0,,,,,
player,201110020cin,buf,JoneDo00,pass_att,0,,,,,
player,201110020cin,buf,JoneDo00,pass_yds,0,,,,,
player,201110020cin,buf,JoneDo00,pass_td,0,,,,,
player,201110020cin,buf,JoneDo00,pass_int,0,,,,,
player,201110020cin,buf,JoneDo00,pass_sacked,0,,,,,
player,201110020cin,buf,JoneDo00,pass_sacked_yds,0,,,,,
player,201110020cin,buf,JoneDo00,pass_long,0,,,,,
player,201110020cin,buf,JoneDo00,pass_rating,,,,,,
player,201110020cin,buf,JoneDo00,rush_att,0,,,,,
player,201110020cin,buf,JoneDo00,rush_yds,0,,,,,
player,201110020cin,buf,JoneDo00,rush_td,0,,,,,
player,201110020cin,buf,JoneDo00,rush_long,0,,,,,
player,201110020cin,buf,JoneDo00,targets,8,,,,,
player,201110020cin,buf,JoneDo00,rec,3,,,,,
player,201110020cin,buf,JoneDo00,rec_yds,21,,,,,
player,201110020cin,buf,JoneDo00,rec_td,0,,,,,
player,201110020cin,buf,JoneDo00,rec_long,9,,,,,
player,201110020cin,buf,JoneDo00,fumbles,0,,,,,
player,201110020cin,buf,JoneDo00,fumbles_lost,,,,,,
player,201110020cin,buf,NelsDa01,pass_cmp,0,,,,,
player,201110020cin,buf,NelsDa01,pass_att,0,,,,,
player,201110020cin,buf,NelsDa01,pass_yds,0,,,,,
player,201110020cin,buf,NelsDa01,pass_td,0,,,,,
player,201110020cin,buf,NelsDa01,pass_int,0,,,,,
player,201110020cin,buf,NelsDa01,pass_sacked,0,,,,,
player,201110020cin,buf,NelsDa01,pass_sacked_yds,0,,,,,
player,201110020cin,buf,NelsDa01,pass_long,0,,,,,
player,201110020cin,buf,NelsDa01,pass_rating,,,,,,
player,201110020cin,buf,NelsDa01,rush_att,0,,,,,
player,201110020cin,buf,NelsDa01,rush_yds,0,,,,,
player,201110020cin,buf,NelsDa01,rush_td,0,,,,,
player,201110020cin,buf,NelsDa01,rush_long,0,,,,,
player,201110020cin,buf,NelsDa01,targets,3,,,,,
player,201110020cin,buf,NelsDa01,rec,2,,,,,
player,201110020cin,buf,NelsDa01,rec_yds,18,,,,,
player,201110020cin,buf,NelsDa01,rec_td,0,,,,,
player,201110020cin,buf,NelsDa01,rec_long,12,,,,,
player,201110020cin,buf,NelsDa01,fumbles,0,,,,,
player,201110020cin,buf,NelsDa01,fumbles_lost,,,,,,
player,201110020cin,buf,ChanSc00,pass_cmp,0,,,,,
player,201110020cin,buf,ChanSc00,pass_att,0,,,,,
player,201110020cin,buf,ChanSc00,pass_yds,0,,,,,
player,201110020cin,buf,ChanSc00,pass_td,0,,,,,
player,201110020cin,buf,ChanSc00,pass_int,0,,,,,
player,201110020cin,buf,ChanSc00,pass_sacked,0,,,,,
player,201110020cin,buf,ChanSc00,pass_sacked_yds,0,,,,,
player,201110020cin,buf,ChanSc00,pass_long,0,,,,,
player,201110020cin,buf,ChanSc00,pass_rating,,,,,,
player,201110020cin,buf,ChanSc00,rush_att,0,,,,,
player,201110020cin,buf,ChanSc00,rush_yds,0,,,,,
player,201110020cin,buf,ChanSc00,rush_td,0,,,,,
player,201110020cin,buf,ChanSc00,rush_long,0,,,,,
player,201110020cin,buf,ChanSc00,targets,2,,,,,
player,201110020cin,buf,ChanSc00,rec,2,,,,,
player,201110020cin,buf,ChanSc00,rec_yds,8,,,,,
player,201110020cin,buf,ChanSc00,rec_td,0,,,,,
player,201110020cin,buf,ChanSc00,rec_long,6,,,,,
player,201110020cin,buf,ChanSc00,fumbles,0,,,,,
player,201110020cin,buf,ChanSc00,fumbles_lost,,,,,,
player,201110020cin,cin,DaltAn00,pass_cmp,18,,,,,
player,201110020cin,cin,DaltAn00,pass_att,36,,,,,
player,201110020cin,cin,DaltAn00,pass_yds,298,,,,,
player,201110020cin,cin,DaltAn00,pass_td,1,,,,,
player,201110020cin,cin,DaltAn00,pass_int,2,,,,,
player,201110020cin,cin,DaltAn00,pass_sacked,2,,,,,
player,201110020cin,cin,DaltAn00,pass_sacked_yds,11,,,,,
player,201110020cin,cin,DaltAn00,pass_long,58,,,,,
player,201110020cin,cin,DaltAn00,pass_rating,64.4,,,,,
player,201110020cin,cin,DaltAn00,rush_att,3,,,,,
player,201110020cin,cin,DaltAn00,rush_yds,12,,,,,
player,201110020cin,cin,DaltAn00,rush_td,1,,,,,
player,201110020cin,cin,DaltAn00,rush_long,6,,,,,
player,201110020cin,cin,DaltAn00,targets,0,,,,,
player,201110020cin,cin,DaltAn00,rec,0,,,,,
player,201110020cin,cin,DaltAn00,rec_yds,0,,,,,
player,201110020cin,cin,DaltAn00,rec_td,0,,,,,
player,201110020cin,cin,DaltAn00,rec_long,0,,,,,
player,201110020cin,cin,DaltAn00,fumbles,0,,,,,
player,201110020cin,cin,DaltAn00,fumbles_lost,,,,,,
player,201110020cin,cin,BensCe00,pass_cmp,0,,,,,
player,201110020cin,cin,BensCe00,pass_att,0,,,,,
player,201110020cin,cin,BensCe00,pass_yds,0,,,,,
player,201110020cin,cin,BensCe00,pass_td,0,,,,,
player,201110020cin,cin,BensCe00,pass_int,0,,,,,
player,201110020cin,cin,BensCe00,pass_sacked,0,,,,,
player,201110020cin,cin,BensCe00,pass_sacked_yds,0,,,,,
player,201110020cin,cin,BensCe00,pass_long,0,,,,,
player,201110020cin,cin,BensCe00,pass_rating,,,,,,
player,201110020cin,cin,BensCe00,rush_att,19,,,,,
player,201110020cin,cin,BensCe00,rush_yds,104,,,,,
player,201110020cin,cin,BensCe00,rush_td,0,,,,,
player,201110020cin,cin,BensCe00,rush_long,28,,,,,
player,201110020cin,cin,BensCe00,targets,1,,,,,
player,201110020cin,cin,BensCe00,rec,0,,,,,
player,201110020cin,cin,BensCe00,rec_yds,0,,,,,
player,201110020cin,cin,BensCe00,rec_td,0,,,,,
player,201110020cin,cin,BensCe00,rec_long,0,,,,,
player,201110020cin,cin,BensCe00,fumbles,0,,,,,
player,201110020cin,cin,BensCe00,fumbles_lost,,,,,,
player,201110020cin,cin,LeonBr00,pass_cmp,0,,,,,
player,201110020cin,cin,LeonBr00,pass_att,0,,,,,
player,201110020cin,cin,LeonBr00,pass_yds,0,,,,,
player,201110020cin,cin,LeonBr00,pass_td,0,,,,,
player,201110020cin,cin,LeonBr00,pass_int,0,,,,,
player,201110020cin,cin,LeonBr00,pass_sacked,0,,,,,
player,201110020cin,cin,LeonBr00,pass_sacked_yds,0,,,,,
player,201110020cin,cin,LeonBr00,pass_long,0,,,,,
player,201110020cin,cin,LeonBr00,pass_rating,,,,,,
player,201110020cin,cin,LeonBr00,rush_att,4,,,,,
player,201110020cin,cin,LeonBr00,rush_yds,36,,,,,
player,201110020cin,cin,LeonBr00,rush_td,0,,,,,
player,201110020cin,cin,LeonBr00,rush_long,14,,,,,
player,201110020cin,cin,LeonBr00,targets,2,,,,,
player,201110020cin,cin,LeonBr00,rec,1,,,,,
player,201110020cin,cin,LeonBr00,rec_yds,15,,,,,
player,201110020cin,cin,LeonBr00,rec_td,0,,,,,
player,201110020cin,cin,LeonBr00,rec_long,15,,,,,
player,201110020cin,cin,LeonBr00,fumbles,0,,,,,
player,201110020cin,cin,LeonBr00,fumbles_lost,,,,,,
player,201110020cin,cin,ScotBe00,pass_cmp,0,,,,,
player,201110020cin,cin,ScotBe00,pass_att,0,,,,,
player,201110020cin,cin,ScotBe00,pass_yds,0,,,,,
player,201110020cin,cin,ScotBe00,pass_td,0,,,,,
player,201110020cin,cin,ScotBe00,pass_int,0,,,,,
player,201110020cin,cin,ScotBe00,pass_sacked,0,,,,,
player,201110020cin,cin,ScotBe00,pass_sacked_yds,0,,,,,
player,201110020cin,cin,ScotBe00,pass_long,0,,,,,
player,201110020cin,cin,ScotBe00,pass_rating,,,,,,
player,201110020cin,cin,ScotBe00,rush_att,5,,,,,
player,201110020cin,cin,ScotBe00,rush_yds,13,,,,,
player,201110020cin,cin,ScotBe00,rush_td,0,,,,,
player,201110020cin,cin,ScotBe00,rush_long,7,,,,,
player,201110020cin,cin,ScotBe00,targets,2,,,,,
player,201110020cin,cin,ScotBe00,rec,2,,,,,
player,201110020cin,cin,ScotBe00,rec_yds,9,,,,,
player,201110020cin,cin,ScotBe00,rec_td,0,,,,,
player,201110020cin,cin,ScotBe00,rec_long,5,,,,,
player,201110020cin,cin,ScotBe00,fumbles,0,,,,,
player,201110020cin,cin,ScotBe00,fumbles_lost,,,,,,
player,201110020cin,cin,GreeA.00,pass_cmp,0,,,,,
player,201110020cin,cin,GreeA.00,pass_att,0,,,,,
player,201110020cin,cin,GreeA.00,pass_yds,0,,,,,
player,201110020cin,cin,GreeA.00,pass_td,0,,,,,
player,201110020cin,cin,GreeA.00,pass_int,0,,,,,
player,201110020cin,cin,GreeA.00,pass_sacked,0,,,,,
player,201110020cin,cin,GreeA.00,pass_sacked_yds,0,,,,,
player,201110020cin,cin,GreeA.00,pass_long,0,,,,,
player,201110020cin,cin,GreeA.00,pass_rating,,,,,,
player,201110020cin,cin,GreeA.00,rush_att,1,,,,,
player,201110020cin,cin,GreeA.00,rush_yds,6,,,,,
player,201110020cin,cin,GreeA.00,rush_td,0,,,,,
player,201110020cin,cin,GreeA.00,rush_long,6,,,,,
player,201110020cin,cin,GreeA.00,targets,10,,,,,
player,201110020cin,cin,GreeA.00,rec,4,,,,,
player,201110020cin,cin,GreeA.00,rec_yds,118,,,,,
player,201110020cin,cin,GreeA.00,rec_td,0,,,,,
player,201110020cin,cin,GreeA.00,rec_long,58,,,,,
player,201110020cin,cin,GreeA.00,fumbles,1,,,,,
player,201110020cin,cin,GreeA.00,fumbles_lost,0,,,,,
player,201110020cin,cin,GresJe00,pass_cmp,0,,,,,
player,201110020cin,cin,GresJe00,pass_att,0,,,,,
player,201110020cin,cin,GresJe00,pass_yds,0,,,,,
player,201110020cin,cin,GresJe00,pass_td,0,,,,,
player,201110020cin,cin,GresJe00,pass_int,0,,,,,
player,201110020cin,cin,GresJe00,pass_sacked,0,,,,,
player,201110020cin,cin,GresJe00,pass_sacked_yds,0,,,,,
player,201110020cin,cin,GresJe00,pass_long,0,,,,,
player,201110020cin,cin,GresJe00,pass_rating,,,,,,
player,201110020cin,cin,GresJe00,rush_att,0,,,,,
player,201110020cin,cin,GresJe00,rush_yds,0,,,,,
player,201110020cin,cin,GresJe00,rush_td,0,,,,,
player,201110020cin,cin,GresJe00,rush_long,0,,,,,
player,201110020cin,cin,GresJe00,targets,7,,,,,
player,201110020cin,cin,GresJe00,rec,4,,,,,
player,201110020cin,cin,GresJe00,rec_yds,70,,,,,
player,201110020cin,cin,GresJe00,rec_td,1,,,,,
player,201110020cin,cin,GresJe00,rec_long,25,,,,,
player,201110020cin,cin,GresJe00,fumbles,0,,,,,
player,201110020cin,cin,GresJe00,fumbles_lost,,,,,,
player,201110020cin,cin,HawkAn00,pass_cmp,0,,,,,
player,201110020cin,cin,HawkAn00,pass_att,0,,,,,
player,201110020cin,cin,HawkAn00,pass_yds,0,,,,,
player,201110020cin,cin,HawkAn00,pass_td,0,,,,,
player,201110020cin,cin,HawkAn00,pass_int,0,,,,,
player,201110020cin,cin,HawkAn00,pass_sacked,0,,,,,
player,201110020cin,cin,HawkAn00,pass_sacked_yds,0,,,,,
player,201110020cin,cin,HawkAn00,pass_long,0,,,,,
player,201110020cin,cin,HawkAn00,pass_rating,,,,,,
player,201110020cin,cin,HawkAn00,rush_att,0,,,,,
player,201110020cin,cin,HawkAn00,rush_yds,0,,,,,
player,201110020cin,cin,HawkAn00,rush_td,0,,,,,
player,201110020cin,cin,HawkAn00,rush_long,0,,,,,
player,201110020cin,cin,HawkAn00,targets,3,,,,,
player,201110020cin,cin,HawkAn00,rec,2,,,,,
player,201110020cin,cin,HawkAn00,rec_yds,43,,,,,
player,201110020cin,cin,HawkAn00,rec_td,0,,,,,
player,201110020cin,cin,HawkAn00,rec_long,25,,,,,
player,201110020cin,cin,HawkAn00,fumbles,0,,,,,
player,201110020cin,cin,HawkAn00,fumbles_lost,,,,,,
player,201110020cin,cin,SimpJe00,pass_cmp,0,,,,,
player,201110020cin,cin,SimpJe00,pass_att,0,,,,,
player,201110020cin,cin,SimpJe00,pass_yds,0,,,,,
player,201110020cin,cin,SimpJe00,pass_td,0,,,,,
player,201110020cin,cin,SimpJe00,pass_int,0,,,,,
player,201110020cin,cin,SimpJe00,pass_sacked,0,,,,,
player,201110020cin,cin,SimpJe00,pass_sacked_yds,0,,,,,
player,201110020cin,cin,SimpJe00,pass_long,0,,,,,
player,201110020cin,cin,SimpJe00,pass_rating,,,,,,
player,201110020cin,cin,SimpJe00,rush_att,0,,,,,
player,201110020cin,cin,SimpJe00,rush_yds,0,,,,,
player,201110020cin,cin,SimpJe00,rush_td,0,,,,,
player,201110020cin,cin,SimpJe00,rush_long,0,,,,,
player,201110020cin,cin,SimpJe00,targets,3,,,,,
player,201110020cin,cin,SimpJe00,rec,3,,,,,
player,201110020cin,cin,SimpJe00,rec_yds,26,,,,,
player,201110020cin,cin,SimpJe00,rec_td,0,,,,,
player,201110020cin,cin,SimpJe00,rec_long,17,,,,,
player,201110020cin,cin,SimpJe00,fumbles,0,,,,,
player,201110020cin,cin,SimpJe00,fumbles_lost,,,,,,
player,201110020cin,cin,CaldAn00,pass_cmp,0,,,,,
player,201110020cin,cin,CaldAn00,pass_att,0,,,,,
player,201110020cin,cin,CaldAn00,pass_yds,0,,,,,
player,201110020cin,cin,CaldAn00,pass_td,0,,,,,
player,201110020cin,cin,CaldAn00,pass_int,0,,,,,
player,201110020cin,cin,CaldAn00,pass_sacked,0,,,,,
player,201110020cin,cin,CaldAn00,pass_sacked_yds,0,,,,,
player,201110020cin,cin,CaldAn00,pass_long,0,,,,,
player,201110020cin,cin,CaldAn00,pass_rating,,,,,,
player,201110020cin,cin,CaldAn00,rush_att,0,,,,,
player,201110020cin,cin,CaldAn00,rush_yds,0,,,,,
player,201110020cin,cin,CaldAn00,rush_td,0,,,,,
player,201110020cin,cin,CaldAn00,rush_long,0,,,,,
player,201110020cin,cin,CaldAn00,targets,5,,,,,
player,201110020cin,cin,CaldAn00,rec,2,,,,,
player,201110020cin,cin,CaldAn00,rec_yds,17,,,,,
player,201110020cin,cin,CaldAn00,rec_td,0,,,,,
player,201110020cin,cin,CaldAn00,rec_long,9,,,,,
player,201110020cin,cin,CaldAn00,fumbles,0,,,,,
player,201110020cin,cin,CaldAn00,fumbles_lost,,,,,,
player,201110020cin,buf,WilsGe01,def_int,1,,,,,
player,201110020cin,buf,WilsGe01,def_int_yds,5,,,,,
player,201110020cin,buf,WilsGe01,def_int_td,0,,,,,
player,201110020cin,buf,WilsGe01,def_int_long,5,,,,,
player,201110020cin,buf,WilsGe01,pass_defended,1,,,,,
player,201110020cin,buf,WilsGe01,sacks,0.0,,,,,
player,201110020cin,buf,WilsGe01,tackles_combined,12,,,,,
player,201110020cin,buf,WilsGe01,tackles_solo,8,,,,,
player,201110020cin,buf,WilsGe01,tackles_assists,4,,,,,
player,201110020cin,buf,WilsGe01,tackles_loss,0,,,,,
player,201110020cin,buf,WilsGe01,qb_hits,0,,,,,
player,201110020cin,buf,WilsGe01,fumbles_rec,0,,,,,
player,201110020cin,buf,WilsGe01,fumbles_rec_yds,0,,,,,
player,201110020cin,buf,WilsGe01,fumbles_rec_td,0,,,,,
player,201110020cin,buf,WilsGe01,fumbles_forced,0,,,,,
player,201110020cin,buf,ScotBr20,def_int,1,,,,,
player,201110020cin,buf,ScotBr20,def_int_yds,43,,,,,
player,201110020cin,buf,ScotBr20,def_int_td,1,,,,,
player,201110020cin,buf,ScotBr20,def_int_long,43,,,,,
player,201110020cin,buf,ScotBr20,pass_defended,1,,,,,
player,201110020cin,buf,ScotBr20,sacks,0.0,,,,,
player,201110020cin,buf,ScotBr20,tackles_combined,2,,,,,
player,201110020cin,buf,ScotBr20,tackles_solo,2,,,,,
player,201110020cin,buf,ScotBr20,tackles_assists,0,,,,,
player,201110020cin,buf,ScotBr20,tackles_loss,0,,,,,
player,201110020cin,buf,ScotBr20,qb_hits,0,,,,,
player,201110020cin,buf,ScotBr20,fumbles_rec,0,,,,,
player,201110020cin,buf,ScotBr20,fumbles_rec_yds,0,,,,,
player,201110020cin,buf,ScotBr20,fumbles_rec_td,0,,,,,
player,201110020cin,buf,ScotBr20,fumbles_forced,0,,,,,
player,201110020cin,buf,DareMa00,def_int,0,,,,,
player,201110020cin,buf,DareMa00,def_int_yds,0,,,,,
player,201110020cin,buf,DareMa00,def_int_td,0,,,,,
player,201110020cin,buf,DareMa00,def_int_long,0,,,,,
player,201110020cin,buf,DareMa00,pass_defended,0,,,,,
player,201110020cin,buf,DareMa00,sacks,1.0,,,,,
player,201110020cin,buf,DareMa00,tackles_combined,4,,,,,
player,201110020cin,buf,DareMa00,tackles_solo,2,,,,,
player,201110020cin,buf,DareMa00,tackles_assists,2,,,,,
player,201110020cin,buf,DareMa00,tackles_loss,1,,,,,
player,201110020cin,buf,DareMa00,qb_hits,1,,,,,
player,201110020cin,buf,DareMa00,fumbles_rec,0,,,,,
player,201110020cin,buf,DareMa00,fumbles_rec_yds,0,,,,,
player,201110020cin,buf,DareMa00,fumbles_rec_td,0,,,,,
player,201110020cin,buf,DareMa00,fumbles_forced,0,,,,,
player,201110020cin,buf,MerrSh99,def_int,0,,,,,
player,201110020cin,buf,MerrSh99,def_int_yds,0,,,,,
player,201110020cin,buf,MerrSh99,def_int_td,0,,,,,
player,201110020cin,buf,MerrSh99,def_int_long,0,,,,,
player,201110020cin,buf,MerrSh99,pass_defended,0,,,,,
player,201110020cin,buf,MerrSh99,sacks,1.0,,,,,
player,201110020cin,buf,MerrSh99,tackles_combined,3,,,,,
player,201110020cin,buf,MerrSh99,tackles_solo,2,,,,,
player,201110020cin,buf,MerrSh99,tackles_assists,1,,,,,
player,201110020cin,buf,MerrSh99,tackles_loss,1,,,,,
player,201110020cin,buf,MerrSh99,qb_hits,0,,,,,
player,201110020cin,buf,MerrSh99,fumbles_rec,0,,,,,
player,201110020cin,buf,MerrSh99,fumbles_rec_yds,0,,,,,
player,201110020cin,buf,MerrSh99,fumbles_rec_td,0,,,,,
player,201110020cin,buf,MerrSh99,fumbles_forced,0,,,,,
player,201110020cin,buf,BarnNi20,def_int,0,,,,,
player,201110020cin,buf,BarnNi20,def_int_yds,0,,,,,
player,201110020cin,buf,BarnNi20,def_int_td,0,,,,,
player,201110020cin,buf,BarnNi20,def_int_long,0,,,,,
player,201110020cin,buf,BarnNi20,pass_defended,0,,,,,
player,201110020cin,buf,BarnNi20,sacks,0.0,,,,,
player,201110020cin,buf,BarnNi20,tackles_combined,10,,,,,
player,201110020cin,buf,BarnNi20,tackles_solo,5,,,,,
player,201110020cin,buf,BarnNi20,tackles_assists,5,,,,,
player,201110020cin,buf,BarnNi20,tackles_loss,0,,,,,
