game,2011,11,20111120,201111200chi,sdg,"San Diego Chargers",20,chi,"Chicago Bears",31
player,201111200chi,chi,SpaeMa00,pass_sacked_yds,0,,,,,
player,201111200chi,chi,SpaeMa00,pass_long,0,,,,,
player,201111200chi,chi,SpaeMa00,pass_rating,,,,,,
player,201111200chi,chi,SpaeMa00,rush_att,0,,,,,
player,201111200chi,chi,SpaeMa00,rush_yds,0,,,,,
player,201111200chi,chi,SpaeMa00,rush_td,0,,,,,
player,201111200chi,chi,SpaeMa00,rush_long,0,,,,,
player,201111200chi,chi,SpaeMa00,targets,1,,,,,
player,201111200chi,chi,SpaeMa00,rec,1,,,,,
player,201111200chi,chi,SpaeMa00,rec_yds,13,,,,,
player,201111200chi,chi,SpaeMa00,rec_td,0,,,,,
player,201111200chi,chi,SpaeMa00,rec_long,13,,,,,
player,201111200chi,chi,SpaeMa00,fumbles,0,,,,,
player,201111200chi,chi,SpaeMa00,fumbles_lost,,,,,,
player,201111200chi,chi,ClutTy00,pass_cmp,0,,,,,
player,201111200chi,chi,ClutTy00,pass_att,0,,,,,
player,201111200chi,chi,ClutTy00,pass_yds,0,,,,,
player,201111200chi,chi,ClutTy00,pass_td,0,,,,,
player,201111200chi,chi,ClutTy00,pass_int,0,,,,,
player,201111200chi,chi,ClutTy00,pass_sacked,0,,,,,
player,201111200chi,chi,ClutTy00,pass_sacked_yds,0,,,,,
player,201111200chi,chi,ClutTy00,pass_long,0,,,,,
player,201111200chi,chi,ClutTy00,pass_rating,,,,,,
player,201111200chi,chi,ClutTy00,rush_att,0,,,,,
player,201111200chi,chi,ClutTy00,rush_yds,0,,,,,
player,201111200chi,chi,ClutTy00,rush_td,0,,,,,
player,201111200chi,chi,ClutTy00,rush_long,0,,,,,
player,201111200chi,chi,ClutTy00,targets,1,,,,,
player,201111200chi,chi,ClutTy00,rec,1,,,,,
player,201111200chi,chi,ClutTy00,rec_yds,9,,,,,
player,201111200chi,chi,ClutTy00,rec_td,0,,,,,
player,201111200chi,chi,ClutTy00,rec_long,9,,,,,
player,201111200chi,chi,ClutTy00,fumbles,0,,,,,
player,201111200chi,chi,ClutTy00,fumbles_lost,,,,,,
player,201111200chi,chi,DaviKe01,pass_cmp,0,,,,,
player,201111200chi,chi,DaviKe01,pass_att,0,,,,,
player,201111200chi,chi,DaviKe01,pass_yds,0,,,,,
player,201111200chi,chi,DaviKe01,pass_td,0,,,,,
player,201111200chi,chi,DaviKe01,pass_int,0,,,,,
player,201111200chi,chi,DaviKe01,pass_sacked,0,,,,,
