game,2011,8,20111030,201110300sea,cin,"Cincinnati Bengals",34,sea,"Seattle Seahawks",12
player,201110300sea,cin,DaltAn00,rush_yds,3,,,,,
player,201110300sea,cin,DaltAn00,rush_td,0,,,,,
player,201110300sea,cin,DaltAn00,rush_long,3,,,,,
player,201110300sea,cin,DaltAn00,targets,0,,,,,
player,201110300sea,cin,DaltAn00,rec,0,,,,,
player,201110300sea,cin,DaltAn00,rec_yds,0,,,,,
player,201110300sea,cin,DaltAn00,rec_td,0,,,,,
player,201110300sea,cin,DaltAn00,rec_long,0,,,,,
player,201110300sea,cin,DaltAn00,fumbles,0,,,,,
player,201110300sea,cin,DaltAn00,fumbles_lost,,,,,,
player,201110300sea,cin,ScotBe00,pass_cmp,0,,,,,
player,201110300sea,cin,ScotBe00,pass_att,0,,,,,
player,201110300sea,cin,ScotBe00,pass_yds,0,,,,,
player,201110300sea,cin,ScotBe00,pass_td,0,,,,,
player,201110300sea,cin,ScotBe00,pass_int,0,,,,,
player,201110300sea,cin,ScotBe00,pass_sacked,0,,,,,
player,201110300sea,cin,ScotBe00,pass_sacked_yds,0,,,,,
player,201110300sea,cin,ScotBe00,pass_long,0,,,,,
player,201110300sea,cin,ScotBe00,pass_rating,,,,,,
player,201110300sea,cin,ScotBe00,rush_att,22,,,,,
player,201110300sea,cin,ScotBe00,rush_yds,76,,,,,
player,201110300sea,cin,ScotBe00,rush_td,0,,,,,
player,201110300sea,cin,ScotBe00,rush_long,16,,,,,
player,201110300sea,cin,ScotBe00,targets,3,,,,,
player,201110300sea,cin,ScotBe00,rec,3,,,,,
player,201110300sea,cin,ScotBe00,rec_yds,0,,,,,
player,201110300sea,cin,ScotBe00,rec_td,0,,,,,
player,201110300sea,cin,ScotBe00,rec_long,1,,,,,
player,201110300sea,cin,ScotBe00,fumbles,0,,,,,
player,201110300sea,cin,ScotBe00,fumbles_lost,,,,,,
player,201110300sea,cin,LeonBr00,pass_cmp,0,,,,,
player,201110300sea,cin,LeonBr00,pass_att,0,,,,,
player,201110300sea,cin,LeonBr00,pass_yds,0,,,,,
player,201110300sea,cin,LeonBr00,pass_td,0,,,,,
player,201110300sea,cin,LeonBr00,pass_int,0,,,,,
player,201110300sea,cin,LeonBr00,pass_sacked,0,,,,,
player,201110300sea,cin,LeonBr00,pass_sacked_yds,0,,,,,
player,201110300sea,cin,LeonBr00,pass_long,0,,,,,
player,201110300sea,cin,LeonBr00,pass_rating,,,,,,
player,201110300sea,cin,LeonBr00,rush_att,2,,,,,
player,201110300sea,cin,LeonBr00,rush_yds,7,,,,,
player,201110300sea,cin,LeonBr00,rush_td,0,,,,,
player,201110300sea,cin,LeonBr00,rush_long,4,,,,,
player,201110300sea,cin,LeonBr00,targets,3,,,,,
player,201110300sea,cin,LeonBr00,rec,2,,,,,
player,201110300sea,cin,LeonBr00,rec_yds,10,,,,,
player,201110300sea,cin,LeonBr00,rec_td,0,,,,,
player,201110300sea,cin,LeonBr00,rec_long,6,,,,,
player,201110300sea,cin,LeonBr00,fumbles,0,,,,,
player,201110300sea,cin,LeonBr00,fumbles_lost,,,,,,
player,201110300sea,cin,HawkAn00,pass_cmp,0,,,,,
player,201110300sea,cin,HawkAn00,pass_att,0,,,,,
player,201110300sea,cin,HawkAn00,pass_yds,0,,,,,
player,201110300sea,cin,HawkAn00,pass_td,0,,,,,
player,201110300sea,cin,HawkAn00,pass_int,0,,,,,
player,201110300sea,cin,HawkAn00,pass_sacked,0,,,,,
player,201110300sea,cin,HawkAn00,pass_sacked_yds,0,,,,,
player,201110300sea,cin,HawkAn00,pass_long,0,,,,,
player,201110300sea,cin,HawkAn00,pass_rating,,,,,,
player,201110300sea,cin,HawkAn00,rush_att,1,,,,,
player,201110300sea,cin,HawkAn00,rush_yds,6,,,,,
player,201110300sea,cin,HawkAn00,rush_td,0,,,,,
player,201110300sea,cin,HawkAn00,rush_long,6,,,,,
player,201110300sea,cin,HawkAn00,targets,0,,,,,
player,201110300sea,cin,HawkAn00,rec,0,,,,,
player,201110300sea,cin,HawkAn00,rec_yds,0,,,,,
player,201110300sea,cin,HawkAn00,rec_td,0,,,,,
player,201110300sea,cin,HawkAn00,rec_long,0,,,,,
player,201110300sea,cin,HawkAn00,fumbles,0,,,,,
player,201110300sea,cin,HawkAn00,fumbles_lost,,,,,,
player,201110300sea,cin,GreeA.00,pass_cmp,0,,,,,
player,201110300sea,cin,GreeA.00,pass_att,0,,,,,
player,201110300sea,cin,GreeA.00,pass_yds,0,,,,,
player,201110300sea,cin,GreeA.00,pass_td,0,,,,,
player,201110300sea,cin,GreeA.00,pass_int,0,,,,,
player,201110300sea,cin,GreeA.00,pass_sacked,0,,,,,
player,201110300sea,cin,GreeA.00,pass_sacked_yds,0,,,,,
player,201110300sea,cin,GreeA.00,pass_long,0,,,,,
player,201110300sea,cin,GreeA.00,pass_rating,,,,,,
player,201110300sea,cin,GreeA.00,rush_att,0,,,,,
player,201110300sea,cin,GreeA.00,rush_yds,0,,,,,
player,201110300sea,cin,GreeA.00,rush_td,0,,,,,
player,201110300sea,cin,GreeA.00,rush_long,0,,,,,
player,201110300sea,cin,GreeA.00,targets,10,,,,,
player,201110300sea,cin,GreeA.00,rec,4,,,,,
player,201110300sea,cin,GreeA.00,rec_yds,63,,,,,
player,201110300sea,cin,GreeA.00,rec_td,1,,,,,
player,201110300sea,cin,GreeA.00,rec_long,43,,,,,
player,201110300sea,cin,GreeA.00,fumbles,0,,,,,
player,201110300sea,cin,GreeA.00,fumbles_lost,,,,,,
player,201110300sea,cin,LeexDo00,pass_cmp,0,,,,,
player,201110300sea,cin,LeexDo00,pass_att,0,,,,,
player,201110300sea,cin,LeexDo00,pass_yds,0,,,,,
player,201110300sea,cin,LeexDo00,pass_td,0,,,,,
player,201110300sea,cin,LeexDo00,pass_int,0,,,,,
player,201110300sea,cin,LeexDo00,pass_sacked,0,,,,,
player,201110300sea,cin,LeexDo00,pass_sacked_yds,0,,,,,
player,201110300sea,cin,LeexDo00,pass_long,0,,,,,
player,201110300sea,cin,LeexDo00,pass_rating,,,,,,
player,201110300sea,cin,LeexDo00,rush_att,0,,,,,
player,201110300sea,cin,LeexDo00,rush_yds,0,,,,,
player,201110300sea,cin,LeexDo00,rush_td,0,,,,,
player,201110300sea,cin,LeexDo00,rush_long,0,,,,,
player,201110300sea,cin,LeexDo00,targets,3,,,,,
player,201110300sea,cin,LeexDo00,rec,3,,,,,
player,201110300sea,cin,LeexDo00,rec_yds,44,,,,,
player,201110300sea,cin,LeexDo00,rec_td,0,,,,,
player,201110300sea,cin,LeexDo00,rec_long,26,,,,,
player,201110300sea,cin,LeexDo00,fumbles,0,,,,,
player,201110300sea,cin,LeexDo00,fumbles_lost,,,,,,
player,201110300sea,cin,CaldAn00,pass_cmp,0,,,,,
player,201110300sea,cin,CaldAn00,pass_att,0,,,,,
player,201110300sea,cin,CaldAn00,pass_yds,0,,,,,
player,201110300sea,cin,CaldAn00,pass_td,0,,,,,
player,201110300sea,cin,CaldAn00,pass_int,0,,,,,
player,201110300sea,cin,CaldAn00,pass_sacked,0,,,,,
player,201110300sea,cin,CaldAn00,pass_sacked_yds,0,,,,,
player,201110300sea,cin,CaldAn00,pass_long,0,,,,,
player,201110300sea,cin,CaldAn00,pass_rating,,,,,,
player,201110300sea,cin,CaldAn00,rush_att,0,,,,,
player,201110300sea,cin,CaldAn00,rush_yds,0,,,,,
player,201110300sea,cin,CaldAn00,rush_td,0,,,,,
player,201110300sea,cin,CaldAn00,rush_long,0,,,,,
player,201110300sea,cin,CaldAn00,targets,6,,,,,
player,201110300sea,cin,CaldAn00,rec,4,,,,,
player,201110300sea,cin,CaldAn00,rec_yds,31,,,,,
player,201110300sea,cin,CaldAn00,rec_td,0,,,,,
player,201110300sea,cin,CaldAn00,rec_long,10,,,,,
player,201110300sea,cin,CaldAn00,fumbles,0,,,,,
player,201110300sea,cin,CaldAn00,fumbles_lost,,,,,,
player,201110300sea,cin,SimpJe00,pass_cmp,0,,,,,
player,201110300sea,cin,SimpJe00,pass_att,0,,,,,
player,201110300sea,cin,SimpJe00,pass_yds,0,,,,,
player,201110300sea,cin,SimpJe00,pass_td,0,,,,,
player,201110300sea,cin,SimpJe00,pass_int,0,,,,,
player,201110300sea,cin,SimpJe00,pass_sacked,0,,,,,
player,201110300sea,cin,SimpJe00,pass_sacked_yds,0,,,,,
player,201110300sea,cin,SimpJe00,pass_long,0,,,,,
player,201110300sea,cin,SimpJe00,pass_rating,,,,,,
player,201110300sea,cin,SimpJe00,rush_att,0,,,,,
player,201110300sea,cin,SimpJe00,rush_yds,0,,,,,
player,201110300sea,cin,SimpJe00,rush_td,0,,,,,
player,201110300sea,cin,SimpJe00,rush_long,0,,,,,
player,201110300sea,cin,SimpJe00,targets,2,,,,,
player,201110300sea,cin,SimpJe00,rec,1,,,,,
player,201110300sea,cin,SimpJe00,rec_yds,14,,,,,
player,201110300sea,cin,SimpJe00,rec_td,1,,,,,
player,201110300sea,cin,SimpJe00,rec_long,14,,,,,
player,201110300sea,cin,SimpJe00,fumbles,0,,,,,
player,201110300sea,cin,SimpJe00,fumbles_lost,,,,,,
player,201110300sea,cin,PresCh00,pass_cmp,0,,,,,
player,201110300sea,cin,PresCh00,pass_att,0,,,,,
player,201110300sea,cin,PresCh00,pass_yds,0,,,,,
player,201110300sea,cin,PresCh00,pass_td,0,,,,,
player,201110300sea,cin,PresCh00,pass_int,0,,,,,
player,201110300sea,cin,PresCh00,pass_sacked,0,,,,,
player,201110300sea,cin,PresCh00,pass_sacked_yds,0,,,,,
player,201110300sea,cin,PresCh00,pass_long,0,,,,,
player,201110300sea,cin,PresCh00,pass_rating,,,,,,
player,201110300sea,cin,PresCh00,rush_att,0,,,,,
player,201110300sea,cin,PresCh00,rush_yds,0,,,,,
player,201110300sea,cin,PresCh00,rush_td,0,,,,,
player,201110300sea,cin,PresCh00,rush_long,0,,,,,
player,201110300sea,cin,PresCh00,targets,1,,,,,
player,201110300sea,cin,PresCh00,rec,1,,,,,
player,201110300sea,cin,PresCh00,rec_yds,6,,,,,
player,201110300sea,cin,PresCh00,rec_td,0,,,,,
player,201110300sea,cin,PresCh00,rec_long,6,,,,,
player,201110300sea,cin,PresCh00,fumbles,0,,,,,
player,201110300sea,cin,PresCh00,fumbles_lost,,,,,,
player,201110300sea,sea,JackTa00,pass_cmp,21,,,,,
player,201110300sea,sea,JackTa00,pass_att,40,,,,,
player,201110300sea,sea,JackTa00,pass_yds,323,,,,,
player,201110300sea,sea,JackTa00,pass_td,0,,,,,
player,201110300sea,sea,JackTa00,pass_int,1,,,,,
player,201110300sea,sea,JackTa00,pass_sacked,2,,,,,
player,201110300sea,sea,JackTa00,pass_sacked_yds,19,,,,,
player,201110300sea,sea,JackTa00,pass_long,55,,,,,
player,201110300sea,sea,JackTa00,pass_rating,69.1,,,,,
player,201110300sea,sea,JackTa00,rush_att,1,,,,,
player,201110300sea,sea,JackTa00,rush_yds,2,,,,,
player,201110300sea,sea,JackTa00,rush_td,0,,,,,
player,201110300sea,sea,JackTa00,rush_long,2,,,,,
player,201110300sea,sea,JackTa00,targets,0,,,,,
player,201110300sea,sea,JackTa00,rec,0,,,,,
player,201110300sea,sea,JackTa00,rec_yds,0,,,,,
player,201110300sea,sea,JackTa00,rec_td,0,,,,,
player,201110300sea,sea,JackTa00,rec_long,0,,,,,
player,201110300sea,sea,JackTa00,fumbles,0,,,,,
player,201110300sea,sea,JackTa00,fumbles_lost,,,,,,
player,201110300sea,sea,WhitCh02,pass_cmp,4,,,,,
player,201110300sea,sea,WhitCh02,pass_att,7,,,,,
player,201110300sea,sea,WhitCh02,pass_yds,52,,,,,
player,201110300sea,sea,WhitCh02,pass_td,0,,,,,
player,201110300sea,sea,WhitCh02,pass_int,0,,,,,
player,201110300sea,sea,WhitCh02,pass_sacked,2,,,,,
player,201110300sea,sea,WhitCh02,pass_sacked_yds,6,,,,,
player,201110300sea,sea,WhitCh02,pass_long,17,,,,,
player,201110300sea,sea,WhitCh02,pass_rating,80.7,,,,,
player,201110300sea,sea,WhitCh02,rush_att,1,,,,,
player,201110300sea,sea,WhitCh02,rush_yds,1,,,,,
player,201110300sea,sea,WhitCh02,rush_td,0,,,,,
player,201110300sea,sea,WhitCh02,rush_long,1,,,,,
player,201110300sea,sea,WhitCh02,targets,0,,,,,
player,201110300sea,sea,WhitCh02,rec,0,,,,,
player,201110300sea,sea,WhitCh02,rec_yds,0,,,,,
player,201110300sea,sea,WhitCh02,rec_td,0,,,,,
player,201110300sea,sea,WhitCh02,rec_long,0,,,,,
player,201110300sea,sea,WhitCh02,fumbles,0,,,,,
player,201110300sea,sea,WhitCh02,fumbles_lost,,,,,,
player,201110300sea,sea,WashLe00,pass_cmp,0,,,,,
player,201110300sea,sea,WashLe00,pass_att,0,,,,,
player,201110300sea,sea,WashLe00,pass_yds,0,,,,,
player,201110300sea,sea,WashLe00,pass_td,0,,,,,
player,201110300sea,sea,WashLe00,pass_int,0,,,,,
player,201110300sea,sea,WashLe00,pass_sacked,0,,,,,
player,201110300sea,sea,WashLe00,pass_sacked_yds,0,,,,,
player,201110300sea,sea,WashLe00,pass_long,0,,,,,
player,201110300sea,sea,WashLe00,pass_rating,,,,,,
player,201110300sea,sea,WashLe00,rush_att,2,,,,,
player,201110300sea,sea,WashLe00,rush_yds,34,,,,,
player,201110300sea,sea,WashLe00,rush_td,0,,,,,
player,201110300sea,sea,WashLe00,rush_long,28,,,,,
player,201110300sea,sea,WashLe00,targets,2,,,,,
player,201110300sea,sea,WashLe00,rec,0,,,,,
player,201110300sea,sea,WashLe00,rec_yds,0,,,,,
player,201110300sea,sea,WashLe00,rec_td,0,,,,,
player,201110300sea,sea,WashLe00,rec_long,0,,,,,
player,201110300sea,sea,WashLe00,fumbles,0,,,,,
player,201110300sea,sea,WashLe00,fumbles_lost,,,,,,
player,201110300sea,sea,LyncMa00,pass_cmp,0,,,,,
player,201110300sea,sea,LyncMa00,pass_att,0,,,,,
player,201110300sea,sea,LyncMa00,pass_yds,0,,,,,
player,201110300sea,sea,LyncMa00,pass_td,0,,,,,
player,201110300sea,sea,LyncMa00,pass_int,0,,,,,
player,201110300sea,sea,LyncMa00,pass_sacked,0,,,,,
player,201110300sea,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201110300sea,sea,LyncMa00,pass_long,0,,,,,
player,201110300sea,sea,LyncMa00,pass_rating,,,,,,
player,201110300sea,sea,LyncMa00,rush_att,16,,,,,
player,201110300sea,sea,LyncMa00,rush_yds,24,,,,,
player,201110300sea,sea,LyncMa00,rush_td,1,,,,,
player,201110300sea,sea,LyncMa00,rush_long,9,,,,,
player,201110300sea,sea,LyncMa00,targets,0,,,,,
player,201110300sea,sea,LyncMa00,rec,0,,,,,
player,201110300sea,sea,LyncMa00,rec_yds,0,,,,,
player,201110300sea,sea,LyncMa00,rec_td,0,,,,,
player,201110300sea,sea,LyncMa00,rec_long,0,,,,,
player,201110300sea,sea,LyncMa00,fumbles,1,,,,,
player,201110300sea,sea,LyncMa00,fumbles_lost,1,,,,,
player,201110300sea,sea,ObomBe00,pass_cmp,0,,,,,
player,201110300sea,sea,ObomBe00,pass_att,0,,,,,
player,201110300sea,sea,ObomBe00,pass_yds,0,,,,,
player,201110300sea,sea,ObomBe00,pass_td,0,,,,,
player,201110300sea,sea,ObomBe00,pass_int,0,,,,,
player,201110300sea,sea,ObomBe00,pass_sacked,0,,,,,
player,201110300sea,sea,ObomBe00,pass_sacked_yds,0,,,,,
player,201110300sea,sea,ObomBe00,pass_long,0,,,,,
player,201110300sea,sea,ObomBe00,pass_rating,,,,,,
player,201110300sea,sea,ObomBe00,rush_att,0,,,,,
player,201110300sea,sea,ObomBe00,rush_yds,0,,,,,
player,201110300sea,sea,ObomBe00,rush_td,0,,,,,
player,201110300sea,sea,ObomBe00,rush_long,0,,,,,
player,201110300sea,sea,ObomBe00,targets,4,,,,,
player,201110300sea,sea,ObomBe00,rec,4,,,,,
player,201110300sea,sea,ObomBe00,rec_yds,107,,,,,
player,201110300sea,sea,ObomBe00,rec_td,0,,,,,
player,201110300sea,sea,ObomBe00,rec_long,55,,,,,
player,201110300sea,sea,ObomBe00,fumbles,0,,,,,
player,201110300sea,sea,ObomBe00,fumbles_lost,,,,,,
player,201110300sea,sea,RiceSi01,pass_cmp,0,,,,,
player,201110300sea,sea,RiceSi01,pass_att,0,,,,,
player,201110300sea,sea,RiceSi01,pass_yds,0,,,,,
player,201110300sea,sea,RiceSi01,pass_td,0,,,,,
player,201110300sea,sea,RiceSi01,pass_int,0,,,,,
player,201110300sea,sea,RiceSi01,pass_sacked,0,,,,,
player,201110300sea,sea,RiceSi01,pass_sacked_yds,0,,,,,
player,201110300sea,sea,RiceSi01,pass_long,0,,,,,
player,201110300sea,sea,RiceSi01,pass_rating,,,,,,
player,201110300sea,sea,RiceSi01,rush_att,0,,,,,
player,201110300sea,sea,RiceSi01,rush_yds,0,,,,,
player,201110300sea,sea,RiceSi01,rush_td,0,,,,,
player,201110300sea,sea,RiceSi01,rush_long,0,,,,,
player,201110300sea,sea,RiceSi01,targets,14,,,,,
player,201110300sea,sea,RiceSi01,rec,7,,,,,
player,201110300sea,sea,RiceSi01,rec_yds,102,,,,,
player,201110300sea,sea,RiceSi01,rec_td,0,,,,,
player,201110300sea,sea,RiceSi01,rec_long,35,,,,,
player,201110300sea,sea,RiceSi01,fumbles,0,,,,,
player,201110300sea,sea,RiceSi01,fumbles_lost,,,,,,
player,201110300sea,sea,BaldDo00,pass_cmp,0,,,,,
player,201110300sea,sea,BaldDo00,pass_att,0,,,,,
player,201110300sea,sea,BaldDo00,pass_yds,0,,,,,
player,201110300sea,sea,BaldDo00,pass_td,0,,,,,
player,201110300sea,sea,BaldDo00,pass_int,0,,,,,
player,201110300sea,sea,BaldDo00,pass_sacked,0,,,,,
player,201110300sea,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201110300sea,sea,BaldDo00,pass_long,0,,,,,
player,201110300sea,sea,BaldDo00,pass_rating,,,,,,
player,201110300sea,sea,BaldDo00,rush_att,0,,,,,
player,201110300sea,sea,BaldDo00,rush_yds,0,,,,,
player,201110300sea,sea,BaldDo00,rush_td,0,,,,,
player,201110300sea,sea,BaldDo00,rush_long,0,,,,,
player,201110300sea,sea,BaldDo00,targets,8,,,,,
player,201110300sea,sea,BaldDo00,rec,5,,,,,
player,201110300sea,sea,BaldDo00,rec_yds,73,,,,,
player,201110300sea,sea,BaldDo00,rec_td,0,,,,,
player,201110300sea,sea,BaldDo00,rec_long,31,,,,,
player,201110300sea,sea,BaldDo00,fumbles,0,,,,,
player,201110300sea,sea,BaldDo00,fumbles_lost,,,,,,
player,201110300sea,sea,MillZa01,pass_cmp,0,,,,,
player,201110300sea,sea,MillZa01,pass_att,0,,,,,
player,201110300sea,sea,MillZa01,pass_yds,0,,,,,
player,201110300sea,sea,MillZa01,pass_td,0,,,,,
player,201110300sea,sea,MillZa01,pass_int,0,,,,,
player,201110300sea,sea,MillZa01,pass_sacked,0,,,,,
player,201110300sea,sea,MillZa01,pass_sacked_yds,0,,,,,
player,201110300sea,sea,MillZa01,pass_long,0,,,,,
player,201110300sea,sea,MillZa01,pass_rating,,,,,,
player,201110300sea,sea,MillZa01,rush_att,0,,,,,
player,201110300sea,sea,MillZa01,rush_yds,0,,,,,
player,201110300sea,sea,MillZa01,rush_td,0,,,,,
player,201110300sea,sea,MillZa01,rush_long,0,,,,,
player,201110300sea,sea,MillZa01,targets,5,,,,,
player,201110300sea,sea,MillZa01,rec,3,,,,,
player,201110300sea,sea,MillZa01,rec_yds,37,,,,,
player,201110300sea,sea,MillZa01,rec_td,0,,,,,
player,201110300sea,sea,MillZa01,rec_long,17,,,,,
player,201110300sea,sea,MillZa01,fumbles,0,,,,,
player,201110300sea,sea,MillZa01,fumbles_lost,,,,,,
player,201110300sea,sea,MorrCa00,pass_cmp,0,,,,,
player,201110300sea,sea,MorrCa00,pass_att,0,,,,,
player,201110300sea,sea,MorrCa00,pass_yds,0,,,,,
player,201110300sea,sea,MorrCa00,pass_td,0,,,,,
player,201110300sea,sea,MorrCa00,pass_int,0,,,,,
player,201110300sea,sea,MorrCa00,pass_sacked,0,,,,,
player,201110300sea,sea,MorrCa00,pass_sacked_yds,0,,,,,
player,201110300sea,sea,MorrCa00,pass_long,0,,,,,
player,201110300sea,sea,MorrCa00,pass_rating,,,,,,
player,201110300sea,sea,MorrCa00,rush_att,0,,,,,
player,201110300sea,sea,MorrCa00,rush_yds,0,,,,,
player,201110300sea,sea,MorrCa00,rush_td,0,,,,,
player,201110300sea,sea,MorrCa00,rush_long,0,,,,,
player,201110300sea,sea,MorrCa00,targets,5,,,,,
player,201110300sea,sea,MorrCa00,rec,2,,,,,
player,201110300sea,sea,MorrCa00,rec_yds,21,,,,,
player,201110300sea,sea,MorrCa00,rec_td,0,,,,,
player,201110300sea,sea,MorrCa00,rec_long,13,,,,,
player,201110300sea,sea,MorrCa00,fumbles,0,,,,,
player,201110300sea,sea,MorrCa00,fumbles_lost,,,,,,
player,201110300sea,sea,ForsJu00,pass_cmp,0,,,,,
player,201110300sea,sea,ForsJu00,pass_att,0,,,,,
player,201110300sea,sea,ForsJu00,pass_yds,0,,,,,
player,201110300sea,sea,ForsJu00,pass_td,0,,,,,
player,201110300sea,sea,ForsJu00,pass_int,0,,,,,
player,201110300sea,sea,ForsJu00,pass_sacked,0,,,,,
player,201110300sea,sea,ForsJu00,pass_sacked_yds,0,,,,,
player,201110300sea,sea,ForsJu00,pass_long,0,,,,,
player,201110300sea,sea,ForsJu00,pass_rating,,,,,,
player,201110300sea,sea,ForsJu00,rush_att,0,,,,,
player,201110300sea,sea,ForsJu00,rush_yds,0,,,,,
player,201110300sea,sea,ForsJu00,rush_td,0,,,,,
player,201110300sea,sea,ForsJu00,rush_long,0,,,,,
player,201110300sea,sea,ForsJu00,targets,1,,,,,
player,201110300sea,sea,ForsJu00,rec,1,,,,,
player,201110300sea,sea,ForsJu00,rec_yds,13,,,,,
player,201110300sea,sea,ForsJu00,rec_td,0,,,,,
player,201110300sea,sea,ForsJu00,rec_long,13,,,,,
player,201110300sea,sea,ForsJu00,fumbles,0,,,,,
player,201110300sea,sea,ForsJu00,fumbles_lost,,,,,,
player,201110300sea,sea,RobiMi00,pass_cmp,0,,,,,
player,201110300sea,sea,RobiMi00,pass_att,0,,,,,
player,201110300sea,sea,RobiMi00,pass_yds,0,,,,,
player,201110300sea,sea,RobiMi00,pass_td,0,,,,,
player,201110300sea,sea,RobiMi00,pass_int,0,,,,,
player,201110300sea,sea,RobiMi00,pass_sacked,0,,,,,
player,201110300sea,sea,RobiMi00,pass_sacked_yds,0,,,,,
player,201110300sea,sea,RobiMi00,pass_long,0,,,,,
player,201110300sea,sea,RobiMi00,pass_rating,,,,,,
player,201110300sea,sea,RobiMi00,rush_att,0,,,,,
player,201110300sea,sea,RobiMi00,rush_yds,0,,,,,
player,201110300sea,sea,RobiMi00,rush_td,0,,,,,
player,201110300sea,sea,RobiMi00,rush_long,0,,,,,
player,201110300sea,sea,RobiMi00,targets,1,,,,,
player,201110300sea,sea,RobiMi00,rec,1,,,,,
player,201110300sea,sea,RobiMi00,rec_yds,11,,,,,
player,201110300sea,sea,RobiMi00,rec_td,0,,,,,
player,201110300sea,sea,RobiMi00,rec_long,11,,,,,
player,201110300sea,sea,RobiMi00,fumbles,0,,,,,
player,201110300sea,sea,RobiMi00,fumbles_lost,,,,,,
player,201110300sea,sea,TateGo00,pass_cmp,0,,,,,
player,201110300sea,sea,TateGo00,pass_att,0,,,,,
player,201110300sea,sea,TateGo00,pass_yds,0,,,,,
player,201110300sea,sea,TateGo00,pass_td,0,,,,,
player,201110300sea,sea,TateGo00,pass_int,0,,,,,
player,201110300sea,sea,TateGo00,pass_sacked,0,,,,,
player,201110300sea,sea,TateGo00,pass_sacked_yds,0,,,,,
player,201110300sea,sea,TateGo00,pass_long,0,,,,,
player,201110300sea,sea,TateGo00,pass_rating,,,,,,
player,201110300sea,sea,TateGo00,rush_att,0,,,,,
player,201110300sea,sea,TateGo00,rush_yds,0,,,,,
player,201110300sea,sea,TateGo00,rush_td,0,,,,,
player,201110300sea,sea,TateGo00,rush_long,0,,,,,
player,201110300sea,sea,TateGo00,targets,4,,,,,
player,201110300sea,sea,TateGo00,rec,2,,,,,
player,201110300sea,sea,TateGo00,rec_yds,11,,,,,
player,201110300sea,sea,TateGo00,rec_td,0,,,,,
player,201110300sea,sea,TateGo00,rec_long,9,,,,,
player,201110300sea,sea,TateGo00,fumbles,0,,,,,
player,201110300sea,sea,TateGo00,fumbles_lost,,,,,,
player,201110300sea,sea,DurhKr00,pass_cmp,0,,,,,
player,201110300sea,sea,DurhKr00,pass_att,0,,,,,
player,201110300sea,sea,DurhKr00,pass_yds,0,,,,,
player,201110300sea,sea,DurhKr00,pass_td,0,,,,,
player,201110300sea,sea,DurhKr00,pass_int,0,,,,,
player,201110300sea,sea,DurhKr00,pass_sacked,0,,,,,
player,201110300sea,sea,DurhKr00,pass_sacked_yds,0,,,,,
player,201110300sea,sea,DurhKr00,pass_long,0,,,,,
player,201110300sea,sea,DurhKr00,pass_rating,,,,,,
player,201110300sea,sea,DurhKr00,rush_att,0,,,,,
player,201110300sea,sea,DurhKr00,rush_yds,0,,,,,
player,201110300sea,sea,DurhKr00,rush_td,0,,,,,
player,201110300sea,sea,DurhKr00,rush_long,0,,,,,
player,201110300sea,sea,DurhKr00,targets,1,,,,,
