game,2011,14,20111211,201112110sdg,buf,"Buffalo Bills",10,sdg,"San Diego Chargers",37
player,201112110sdg,buf,FitzRy00,fumbles_lost,,,,,,
player,201112110sdg,buf,ThigTy00,pass_cmp,2,,,,,
player,201112110sdg,buf,ThigTy00,pass_att,3,,,,,
player,201112110sdg,buf,ThigTy00,pass_yds,19,,,,,
player,201112110sdg,buf,ThigTy00,pass_td,0,,,,,
player,201112110sdg,buf,ThigTy00,pass_int,1,,,,,
player,201112110sdg,buf,ThigTy00,pass_sacked,0,,,,,
player,201112110sdg,buf,ThigTy00,pass_sacked_yds,0,,,,,
player,201112110sdg,buf,ThigTy00,pass_long,13,,,,,
player,201112110sdg,buf,ThigTy00,pass_rating,44.4,,,,,
player,201112110sdg,buf,ThigTy00,rush_att,1,,,,,
player,201112110sdg,buf,ThigTy00,rush_yds,8,,,,,
player,201112110sdg,buf,ThigTy00,rush_td,0,,,,,
player,201112110sdg,buf,ThigTy00,rush_long,8,,,,,
player,201112110sdg,buf,ThigTy00,targets,0,,,,,
player,201112110sdg,buf,ThigTy00,rec,0,,,,,
player,201112110sdg,buf,ThigTy00,rec_yds,0,,,,,
player,201112110sdg,buf,ThigTy00,rec_td,0,,,,,
player,201112110sdg,buf,ThigTy00,rec_long,0,,,,,
player,201112110sdg,buf,ThigTy00,fumbles,0,,,,,
player,201112110sdg,buf,ThigTy00,fumbles_lost,,,,,,
player,201112110sdg,buf,SpilC.00,pass_cmp,0,,,,,
player,201112110sdg,buf,SpilC.00,pass_att,0,,,,,
player,201112110sdg,buf,SpilC.00,pass_yds,0,,,,,
player,201112110sdg,buf,SpilC.00,pass_td,0,,,,,
player,201112110sdg,buf,SpilC.00,pass_int,0,,,,,
player,201112110sdg,buf,SpilC.00,pass_sacked,0,,,,,
player,201112110sdg,buf,SpilC.00,pass_sacked_yds,0,,,,,
player,201112110sdg,buf,SpilC.00,pass_long,0,,,,,
player,201112110sdg,buf,SpilC.00,pass_rating,,,,,,
player,201112110sdg,buf,SpilC.00,rush_att,12,,,,,
player,201112110sdg,buf,SpilC.00,rush_yds,46,,,,,
player,201112110sdg,buf,SpilC.00,rush_td,0,,,,,
player,201112110sdg,buf,SpilC.00,rush_long,16,,,,,
player,201112110sdg,buf,SpilC.00,targets,4,,,,,
player,201112110sdg,buf,SpilC.00,rec,3,,,,,
player,201112110sdg,buf,SpilC.00,rec_yds,10,,,,,
player,201112110sdg,buf,SpilC.00,rec_td,0,,,,,
player,201112110sdg,buf,SpilC.00,rec_long,6,,,,,
player,201112110sdg,buf,SpilC.00,fumbles,0,,,,,
player,201112110sdg,buf,SpilC.00,fumbles_lost,,,,,,
player,201112110sdg,buf,ChoiTa00,pass_cmp,0,,,,,
player,201112110sdg,buf,ChoiTa00,pass_att,0,,,,,
player,201112110sdg,buf,ChoiTa00,pass_yds,0,,,,,
player,201112110sdg,buf,ChoiTa00,pass_td,0,,,,,
player,201112110sdg,buf,ChoiTa00,pass_int,0,,,,,
player,201112110sdg,buf,ChoiTa00,pass_sacked,0,,,,,
player,201112110sdg,buf,ChoiTa00,pass_sacked_yds,0,,,,,
player,201112110sdg,buf,ChoiTa00,pass_long,0,,,,,
player,201112110sdg,buf,ChoiTa00,pass_rating,,,,,,
player,201112110sdg,buf,ChoiTa00,rush_att,1,,,,,
player,201112110sdg,buf,ChoiTa00,rush_yds,12,,,,,
player,201112110sdg,buf,ChoiTa00,rush_td,0,,,,,
player,201112110sdg,buf,ChoiTa00,rush_long,12,,,,,
player,201112110sdg,buf,ChoiTa00,targets,4,,,,,
player,201112110sdg,buf,ChoiTa00,rec,1,,,,,
player,201112110sdg,buf,ChoiTa00,rec_yds,2,,,,,
player,201112110sdg,buf,ChoiTa00,rec_td,0,,,,,
player,201112110sdg,buf,ChoiTa00,rec_long,2,,,,,
player,201112110sdg,buf,ChoiTa00,fumbles,0,,,,,
player,201112110sdg,buf,ChoiTa00,fumbles_lost,,,,,,
player,201112110sdg,buf,WhitJo01,pass_cmp,0,,,,,
player,201112110sdg,buf,WhitJo01,pass_att,0,,,,,
player,201112110sdg,buf,WhitJo01,pass_yds,0,,,,,
player,201112110sdg,buf,WhitJo01,pass_td,0,,,,,
player,201112110sdg,buf,WhitJo01,pass_int,0,,,,,
player,201112110sdg,buf,WhitJo01,pass_sacked,0,,,,,
player,201112110sdg,buf,WhitJo01,pass_sacked_yds,0,,,,,
player,201112110sdg,buf,WhitJo01,pass_long,0,,,,,
player,201112110sdg,buf,WhitJo01,pass_rating,,,,,,
player,201112110sdg,buf,WhitJo01,rush_att,1,,,,,
player,201112110sdg,buf,WhitJo01,rush_yds,4,,,,,
player,201112110sdg,buf,WhitJo01,rush_td,0,,,,,
player,201112110sdg,buf,WhitJo01,rush_long,4,,,,,
player,201112110sdg,buf,WhitJo01,targets,0,,,,,
player,201112110sdg,buf,WhitJo01,rec,0,,,,,
player,201112110sdg,buf,WhitJo01,rec_yds,0,,,,,
player,201112110sdg,buf,WhitJo01,rec_td,0,,,,,
player,201112110sdg,buf,WhitJo01,rec_long,0,,,,,
player,201112110sdg,buf,WhitJo01,fumbles,0,,,,,
player,201112110sdg,buf,WhitJo01,fumbles_lost,,,,,,
player,201112110sdg,buf,JohnSt00,pass_cmp,0,,,,,
player,201112110sdg,buf,JohnSt00,pass_att,0,,,,,
player,201112110sdg,buf,JohnSt00,pass_yds,0,,,,,
player,201112110sdg,buf,JohnSt00,pass_td,0,,,,,
player,201112110sdg,buf,JohnSt00,pass_int,0,,,,,
player,201112110sdg,buf,JohnSt00,pass_sacked,0,,,,,
player,201112110sdg,buf,JohnSt00,pass_sacked_yds,0,,,,,
player,201112110sdg,buf,JohnSt00,pass_long,0,,,,,
player,201112110sdg,buf,JohnSt00,pass_rating,,,,,,
player,201112110sdg,buf,JohnSt00,rush_att,0,,,,,
player,201112110sdg,buf,JohnSt00,rush_yds,0,,,,,
player,201112110sdg,buf,JohnSt00,rush_td,0,,,,,
player,201112110sdg,buf,JohnSt00,rush_long,0,,,,,
player,201112110sdg,buf,JohnSt00,targets,10,,,,,
player,201112110sdg,buf,JohnSt00,rec,4,,,,,
player,201112110sdg,buf,JohnSt00,rec_yds,116,,,,,
player,201112110sdg,buf,JohnSt00,rec_td,0,,,,,
player,201112110sdg,buf,JohnSt00,rec_long,53,,,,,
player,201112110sdg,buf,JohnSt00,fumbles,0,,,,,
player,201112110sdg,buf,JohnSt00,fumbles_lost,,,,,,
player,201112110sdg,buf,HagaDe00,pass_cmp,0,,,,,
player,201112110sdg,buf,HagaDe00,pass_att,0,,,,,
player,201112110sdg,buf,HagaDe00,pass_yds,0,,,,,
player,201112110sdg,buf,HagaDe00,pass_td,0,,,,,
player,201112110sdg,buf,HagaDe00,pass_int,0,,,,,
player,201112110sdg,buf,HagaDe00,pass_sacked,0,,,,,
player,201112110sdg,buf,HagaDe00,pass_sacked_yds,0,,,,,
player,201112110sdg,buf,HagaDe00,pass_long,0,,,,,
player,201112110sdg,buf,HagaDe00,pass_rating,,,,,,
player,201112110sdg,buf,HagaDe00,rush_att,0,,,,,
player,201112110sdg,buf,HagaDe00,rush_yds,0,,,,,
player,201112110sdg,buf,HagaDe00,rush_td,0,,,,,
player,201112110sdg,buf,HagaDe00,rush_long,0,,,,,
player,201112110sdg,buf,HagaDe00,targets,4,,,,,
player,201112110sdg,buf,HagaDe00,rec,2,,,,,
player,201112110sdg,buf,HagaDe00,rec_yds,28,,,,,
player,201112110sdg,buf,HagaDe00,rec_td,0,,,,,
player,201112110sdg,buf,HagaDe00,rec_long,17,,,,,
player,201112110sdg,buf,HagaDe00,fumbles,0,,,,,
player,201112110sdg,buf,HagaDe00,fumbles_lost,,,,,,
player,201112110sdg,buf,NelsDa01,pass_cmp,0,,,,,
player,201112110sdg,buf,NelsDa01,pass_att,0,,,,,
player,201112110sdg,buf,NelsDa01,pass_yds,0,,,,,
player,201112110sdg,buf,NelsDa01,pass_td,0,,,,,
player,201112110sdg,buf,NelsDa01,pass_int,0,,,,,
player,201112110sdg,buf,NelsDa01,pass_sacked,0,,,,,
player,201112110sdg,buf,NelsDa01,pass_sacked_yds,0,,,,,
player,201112110sdg,buf,NelsDa01,pass_long,0,,,,,
player,201112110sdg,buf,NelsDa01,pass_rating,,,,,,
player,201112110sdg,buf,NelsDa01,rush_att,0,,,,,
player,201112110sdg,buf,NelsDa01,rush_yds,0,,,,,
player,201112110sdg,buf,NelsDa01,rush_td,0,,,,,
player,201112110sdg,buf,NelsDa01,rush_long,0,,,,,
player,201112110sdg,buf,NelsDa01,targets,6,,,,,
player,201112110sdg,buf,NelsDa01,rec,2,,,,,
player,201112110sdg,buf,NelsDa01,rec_yds,20,,,,,
player,201112110sdg,buf,NelsDa01,rec_td,0,,,,,
player,201112110sdg,buf,NelsDa01,rec_long,10,,,,,
player,201112110sdg,buf,NelsDa01,fumbles,0,,,,,
player,201112110sdg,buf,NelsDa01,fumbles_lost,,,,,,
player,201112110sdg,buf,CausMi00,pass_cmp,0,,,,,
player,201112110sdg,buf,CausMi00,pass_att,0,,,,,
player,201112110sdg,buf,CausMi00,pass_yds,0,,,,,
player,201112110sdg,buf,CausMi00,pass_td,0,,,,,
player,201112110sdg,buf,CausMi00,pass_int,0,,,,,
player,201112110sdg,buf,CausMi00,pass_sacked,0,,,,,
player,201112110sdg,buf,CausMi00,pass_sacked_yds,0,,,,,
player,201112110sdg,buf,CausMi00,pass_long,0,,,,,
player,201112110sdg,buf,CausMi00,pass_rating,,,,,,
player,201112110sdg,buf,CausMi00,rush_att,0,,,,,
player,201112110sdg,buf,CausMi00,rush_yds,0,,,,,
player,201112110sdg,buf,CausMi00,rush_td,0,,,,,
player,201112110sdg,buf,CausMi00,rush_long,0,,,,,
player,201112110sdg,buf,CausMi00,targets,3,,,,,
player,201112110sdg,buf,CausMi00,rec,2,,,,,
player,201112110sdg,buf,CausMi00,rec_yds,19,,,,,
player,201112110sdg,buf,CausMi00,rec_td,0,,,,,
player,201112110sdg,buf,CausMi00,rec_long,13,,,,,
player,201112110sdg,buf,CausMi00,fumbles,0,,,,,
player,201112110sdg,buf,CausMi00,fumbles_lost,,,,,,
player,201112110sdg,buf,SmitBr01,pass_cmp,0,,,,,
player,201112110sdg,buf,SmitBr01,pass_att,0,,,,,
player,201112110sdg,buf,SmitBr01,pass_yds,0,,,,,
player,201112110sdg,buf,SmitBr01,pass_td,0,,,,,
player,201112110sdg,buf,SmitBr01,pass_int,0,,,,,
player,201112110sdg,buf,SmitBr01,pass_sacked,0,,,,,
player,201112110sdg,buf,SmitBr01,pass_sacked_yds,0,,,,,
player,201112110sdg,buf,SmitBr01,pass_long,0,,,,,
player,201112110sdg,buf,SmitBr01,pass_rating,,,,,,
player,201112110sdg,buf,SmitBr01,rush_att,0,,,,,
player,201112110sdg,buf,SmitBr01,rush_yds,0,,,,,
player,201112110sdg,buf,SmitBr01,rush_td,0,,,,,
player,201112110sdg,buf,SmitBr01,rush_long,0,,,,,
player,201112110sdg,buf,SmitBr01,targets,5,,,,,
player,201112110sdg,buf,SmitBr01,rec,0,,,,,
player,201112110sdg,buf,SmitBr01,rec_yds,0,,,,,
player,201112110sdg,buf,SmitBr01,rec_td,0,,,,,
player,201112110sdg,buf,SmitBr01,rec_long,0,,,,,
player,201112110sdg,buf,SmitBr01,fumbles,0,,,,,
player,201112110sdg,buf,SmitBr01,fumbles_lost,,,,,,
player,201112110sdg,buf,SmitLe00,pass_cmp,0,,,,,
player,201112110sdg,buf,SmitLe00,pass_att,0,,,,,
player,201112110sdg,buf,SmitLe00,pass_yds,0,,,,,
player,201112110sdg,buf,SmitLe00,pass_td,0,,,,,
player,201112110sdg,buf,SmitLe00,pass_int,0,,,,,
player,201112110sdg,buf,SmitLe00,pass_sacked,0,,,,,
player,201112110sdg,buf,SmitLe00,pass_sacked_yds,0,,,,,
player,201112110sdg,buf,SmitLe00,pass_long,0,,,,,
player,201112110sdg,buf,SmitLe00,pass_rating,,,,,,
player,201112110sdg,buf,SmitLe00,rush_att,0,,,,,
player,201112110sdg,buf,SmitLe00,rush_yds,0,,,,,
player,201112110sdg,buf,SmitLe00,rush_td,0,,,,,
player,201112110sdg,buf,SmitLe00,rush_long,0,,,,,
player,201112110sdg,buf,SmitLe00,targets,1,,,,,
player,201112110sdg,buf,SmitLe00,rec,1,,,,,
player,201112110sdg,buf,SmitLe00,rec_yds,0,,,,,
player,201112110sdg,buf,SmitLe00,rec_td,0,,,,,
player,201112110sdg,buf,SmitLe00,rec_long,0,,,,,
player,201112110sdg,buf,SmitLe00,fumbles,0,,,,,
player,201112110sdg,buf,SmitLe00,fumbles_lost,,,,,,
player,201112110sdg,sdg,RivePh00,pass_cmp,24,,,,,
player,201112110sdg,sdg,RivePh00,pass_att,33,,,,,
player,201112110sdg,sdg,RivePh00,pass_yds,240,,,,,
player,201112110sdg,sdg,RivePh00,pass_td,3,,,,,
player,201112110sdg,sdg,RivePh00,pass_int,0,,,,,
player,201112110sdg,sdg,RivePh00,pass_sacked,2,,,,,
player,201112110sdg,sdg,RivePh00,pass_sacked_yds,24,,,,,
player,201112110sdg,sdg,RivePh00,pass_long,26,,,,,
player,201112110sdg,sdg,RivePh00,pass_rating,123.3,,,,,
player,201112110sdg,sdg,RivePh00,rush_att,0,,,,,
player,201112110sdg,sdg,RivePh00,rush_yds,0,,,,,
player,201112110sdg,sdg,RivePh00,rush_td,0,,,,,
player,201112110sdg,sdg,RivePh00,rush_long,0,,,,,
player,201112110sdg,sdg,RivePh00,targets,0,,,,,
player,201112110sdg,sdg,RivePh00,rec,0,,,,,
player,201112110sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201112110sdg,sdg,RivePh00,rec_td,0,,,,,
player,201112110sdg,sdg,RivePh00,rec_long,0,,,,,
player,201112110sdg,sdg,RivePh00,fumbles,1,,,,,
player,201112110sdg,sdg,RivePh00,fumbles_lost,1,,,,,
player,201112110sdg,sdg,MathRy00,pass_cmp,0,,,,,
player,201112110sdg,sdg,MathRy00,pass_att,0,,,,,
player,201112110sdg,sdg,MathRy00,pass_yds,0,,,,,
player,201112110sdg,sdg,MathRy00,pass_td,0,,,,,
player,201112110sdg,sdg,MathRy00,pass_int,0,,,,,
player,201112110sdg,sdg,MathRy00,pass_sacked,0,,,,,
player,201112110sdg,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201112110sdg,sdg,MathRy00,pass_long,0,,,,,
player,201112110sdg,sdg,MathRy00,pass_rating,,,,,,
player,201112110sdg,sdg,MathRy00,rush_att,20,,,,,
player,201112110sdg,sdg,MathRy00,rush_yds,114,,,,,
player,201112110sdg,sdg,MathRy00,rush_td,0,,,,,
player,201112110sdg,sdg,MathRy00,rush_long,37,,,,,
player,201112110sdg,sdg,MathRy00,targets,6,,,,,
player,201112110sdg,sdg,MathRy00,rec,6,,,,,
player,201112110sdg,sdg,MathRy00,rec_yds,34,,,,,
player,201112110sdg,sdg,MathRy00,rec_td,0,,,,,
player,201112110sdg,sdg,MathRy00,rec_long,10,,,,,
player,201112110sdg,sdg,MathRy00,fumbles,0,,,,,
player,201112110sdg,sdg,MathRy00,fumbles_lost,,,,,,
player,201112110sdg,sdg,TolbMi00,pass_cmp,0,,,,,
player,201112110sdg,sdg,TolbMi00,pass_att,0,,,,,
player,201112110sdg,sdg,TolbMi00,pass_yds,0,,,,,
player,201112110sdg,sdg,TolbMi00,pass_td,0,,,,,
player,201112110sdg,sdg,TolbMi00,pass_int,0,,,,,
player,201112110sdg,sdg,TolbMi00,pass_sacked,0,,,,,
player,201112110sdg,sdg,TolbMi00,pass_sacked_yds,0,,,,,
player,201112110sdg,sdg,TolbMi00,pass_long,0,,,,,
player,201112110sdg,sdg,TolbMi00,pass_rating,,,,,,
player,201112110sdg,sdg,TolbMi00,rush_att,6,,,,,
player,201112110sdg,sdg,TolbMi00,rush_yds,21,,,,,
player,201112110sdg,sdg,TolbMi00,rush_td,1,,,,,
player,201112110sdg,sdg,TolbMi00,rush_long,13,,,,,
player,201112110sdg,sdg,TolbMi00,targets,1,,,,,
player,201112110sdg,sdg,TolbMi00,rec,0,,,,,
player,201112110sdg,sdg,TolbMi00,rec_yds,0,,,,,
player,201112110sdg,sdg,TolbMi00,rec_td,0,,,,,
player,201112110sdg,sdg,TolbMi00,rec_long,0,,,,,
player,201112110sdg,sdg,TolbMi00,fumbles,0,,,,,
player,201112110sdg,sdg,TolbMi00,fumbles_lost,,,,,,
player,201112110sdg,sdg,WeddEr99,pass_cmp,0,,,,,
player,201112110sdg,sdg,WeddEr99,pass_att,0,,,,,
player,201112110sdg,sdg,WeddEr99,pass_yds,0,,,,,
player,201112110sdg,sdg,WeddEr99,pass_td,0,,,,,
player,201112110sdg,sdg,WeddEr99,pass_int,0,,,,,
player,201112110sdg,sdg,WeddEr99,pass_sacked,0,,,,,
player,201112110sdg,sdg,WeddEr99,pass_sacked_yds,0,,,,,
player,201112110sdg,sdg,WeddEr99,pass_long,0,,,,,
player,201112110sdg,sdg,WeddEr99,pass_rating,,,,,,
player,201112110sdg,sdg,WeddEr99,rush_att,1,,,,,
player,201112110sdg,sdg,WeddEr99,rush_yds,10,,,,,
player,201112110sdg,sdg,WeddEr99,rush_td,0,,,,,
player,201112110sdg,sdg,WeddEr99,rush_long,10,,,,,
player,201112110sdg,sdg,WeddEr99,targets,0,,,,,
player,201112110sdg,sdg,WeddEr99,rec,0,,,,,
player,201112110sdg,sdg,WeddEr99,rec_yds,0,,,,,
player,201112110sdg,sdg,WeddEr99,rec_td,0,,,,,
player,201112110sdg,sdg,WeddEr99,rec_long,0,,,,,
player,201112110sdg,sdg,WeddEr99,fumbles,0,,,,,
player,201112110sdg,sdg,WeddEr99,fumbles_lost,,,,,,
player,201112110sdg,sdg,HestJa00,pass_cmp,0,,,,,
player,201112110sdg,sdg,HestJa00,pass_att,0,,,,,
player,201112110sdg,sdg,HestJa00,pass_yds,0,,,,,
player,201112110sdg,sdg,HestJa00,pass_td,0,,,,,
player,201112110sdg,sdg,HestJa00,pass_int,0,,,,,
player,201112110sdg,sdg,HestJa00,pass_sacked,0,,,,,
player,201112110sdg,sdg,HestJa00,pass_sacked_yds,0,,,,,
player,201112110sdg,sdg,HestJa00,pass_long,0,,,,,
player,201112110sdg,sdg,HestJa00,pass_rating,,,,,,
player,201112110sdg,sdg,HestJa00,rush_att,3,,,,,
player,201112110sdg,sdg,HestJa00,rush_yds,7,,,,,
player,201112110sdg,sdg,HestJa00,rush_td,0,,,,,
player,201112110sdg,sdg,HestJa00,rush_long,3,,,,,
player,201112110sdg,sdg,HestJa00,targets,0,,,,,
player,201112110sdg,sdg,HestJa00,rec,0,,,,,
player,201112110sdg,sdg,HestJa00,rec_yds,0,,,,,
player,201112110sdg,sdg,HestJa00,rec_td,0,,,,,
player,201112110sdg,sdg,HestJa00,rec_long,0,,,,,
player,201112110sdg,sdg,HestJa00,fumbles,0,,,,,
player,201112110sdg,sdg,HestJa00,fumbles_lost,,,,,,
player,201112110sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201112110sdg,sdg,GateAn00,pass_att,0,,,,,
player,201112110sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201112110sdg,sdg,GateAn00,pass_td,0,,,,,
player,201112110sdg,sdg,GateAn00,pass_int,0,,,,,
player,201112110sdg,sdg,GateAn00,pass_sacked,0,,,,,
player,201112110sdg,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201112110sdg,sdg,GateAn00,pass_long,0,,,,,
player,201112110sdg,sdg,GateAn00,pass_rating,,,,,,
player,201112110sdg,sdg,GateAn00,rush_att,0,,,,,
player,201112110sdg,sdg,GateAn00,rush_yds,0,,,,,
player,201112110sdg,sdg,GateAn00,rush_td,0,,,,,
player,201112110sdg,sdg,GateAn00,rush_long,0,,,,,
player,201112110sdg,sdg,GateAn00,targets,9,,,,,
player,201112110sdg,sdg,GateAn00,rec,7,,,,,
player,201112110sdg,sdg,GateAn00,rec_yds,68,,,,,
player,201112110sdg,sdg,GateAn00,rec_td,2,,,,,
player,201112110sdg,sdg,GateAn00,rec_long,17,,,,,
player,201112110sdg,sdg,GateAn00,fumbles,0,,,,,
player,201112110sdg,sdg,GateAn00,fumbles_lost,,,,,,
player,201112110sdg,sdg,JackVi00,pass_cmp,0,,,,,
player,201112110sdg,sdg,JackVi00,pass_att,0,,,,,
player,201112110sdg,sdg,JackVi00,pass_yds,0,,,,,
player,201112110sdg,sdg,JackVi00,pass_td,0,,,,,
player,201112110sdg,sdg,JackVi00,pass_int,0,,,,,
player,201112110sdg,sdg,JackVi00,pass_sacked,0,,,,,
player,201112110sdg,sdg,JackVi00,pass_sacked_yds,0,,,,,
player,201112110sdg,sdg,JackVi00,pass_long,0,,,,,
player,201112110sdg,sdg,JackVi00,pass_rating,,,,,,
player,201112110sdg,sdg,JackVi00,rush_att,0,,,,,
player,201112110sdg,sdg,JackVi00,rush_yds,0,,,,,
player,201112110sdg,sdg,JackVi00,rush_td,0,,,,,
player,201112110sdg,sdg,JackVi00,rush_long,0,,,,,
player,201112110sdg,sdg,JackVi00,targets,9,,,,,
player,201112110sdg,sdg,JackVi00,rec,5,,,,,
player,201112110sdg,sdg,JackVi00,rec_yds,55,,,,,
player,201112110sdg,sdg,JackVi00,rec_td,0,,,,,
player,201112110sdg,sdg,JackVi00,rec_long,17,,,,,
player,201112110sdg,sdg,JackVi00,fumbles,0,,,,,
player,201112110sdg,sdg,JackVi00,fumbles_lost,,,,,,
player,201112110sdg,sdg,CrayPa00,pass_cmp,0,,,,,
player,201112110sdg,sdg,CrayPa00,pass_att,0,,,,,
player,201112110sdg,sdg,CrayPa00,pass_yds,0,,,,,
player,201112110sdg,sdg,CrayPa00,pass_td,0,,,,,
player,201112110sdg,sdg,CrayPa00,pass_int,0,,,,,
player,201112110sdg,sdg,CrayPa00,pass_sacked,0,,,,,
player,201112110sdg,sdg,CrayPa00,pass_sacked_yds,0,,,,,
player,201112110sdg,sdg,CrayPa00,pass_long,0,,,,,
player,201112110sdg,sdg,CrayPa00,pass_rating,,,,,,
player,201112110sdg,sdg,CrayPa00,rush_att,0,,,,,
player,201112110sdg,sdg,CrayPa00,rush_yds,0,,,,,
player,201112110sdg,sdg,CrayPa00,rush_td,0,,,,,
player,201112110sdg,sdg,CrayPa00,rush_long,0,,,,,
player,201112110sdg,sdg,CrayPa00,targets,3,,,,,
player,201112110sdg,sdg,CrayPa00,rec,3,,,,,
player,201112110sdg,sdg,CrayPa00,rec_yds,37,,,,,
player,201112110sdg,sdg,CrayPa00,rec_td,1,,,,,
player,201112110sdg,sdg,CrayPa00,rec_long,26,,,,,
player,201112110sdg,sdg,CrayPa00,fumbles,0,,,,,
player,201112110sdg,sdg,CrayPa00,fumbles_lost,,,,,,
player,201112110sdg,sdg,FloyMa00,pass_cmp,0,,,,,
player,201112110sdg,sdg,FloyMa00,pass_att,0,,,,,
player,201112110sdg,sdg,FloyMa00,pass_yds,0,,,,,
player,201112110sdg,sdg,FloyMa00,pass_td,0,,,,,
player,201112110sdg,sdg,FloyMa00,pass_int,0,,,,,
player,201112110sdg,sdg,FloyMa00,pass_sacked,0,,,,,
player,201112110sdg,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201112110sdg,sdg,FloyMa00,pass_long,0,,,,,
player,201112110sdg,sdg,FloyMa00,pass_rating,,,,,,
player,201112110sdg,sdg,FloyMa00,rush_att,0,,,,,
player,201112110sdg,sdg,FloyMa00,rush_yds,0,,,,,
player,201112110sdg,sdg,FloyMa00,rush_td,0,,,,,
player,201112110sdg,sdg,FloyMa00,rush_long,0,,,,,
player,201112110sdg,sdg,FloyMa00,targets,2,,,,,
player,201112110sdg,sdg,FloyMa00,rec,2,,,,,
player,201112110sdg,sdg,FloyMa00,rec_yds,29,,,,,
player,201112110sdg,sdg,FloyMa00,rec_td,0,,,,,
player,201112110sdg,sdg,FloyMa00,rec_long,15,,,,,
player,201112110sdg,sdg,FloyMa00,fumbles,0,,,,,
player,201112110sdg,sdg,FloyMa00,fumbles_lost,,,,,,
player,201112110sdg,sdg,McMiRa01,pass_cmp,0,,,,,
player,201112110sdg,sdg,McMiRa01,pass_att,0,,,,,
player,201112110sdg,sdg,McMiRa01,pass_yds,0,,,,,
player,201112110sdg,sdg,McMiRa01,pass_td,0,,,,,
player,201112110sdg,sdg,McMiRa01,pass_int,0,,,,,
player,201112110sdg,sdg,McMiRa01,pass_sacked,0,,,,,
player,201112110sdg,sdg,McMiRa01,pass_sacked_yds,0,,,,,
player,201112110sdg,sdg,McMiRa01,pass_long,0,,,,,
player,201112110sdg,sdg,McMiRa01,pass_rating,,,,,,
player,201112110sdg,sdg,McMiRa01,rush_att,0,,,,,
player,201112110sdg,sdg,McMiRa01,rush_yds,0,,,,,
player,201112110sdg,sdg,McMiRa01,rush_td,0,,,,,
player,201112110sdg,sdg,McMiRa01,rush_long,0,,,,,
