game,2011,2,20110918,201109180den,cin,"Cincinnati Bengals",22,den,"Denver Broncos",24
player,201109180den,cin,BensCe00,fumbles,0,,,,,
player,201109180den,cin,BensCe00,fumbles_lost,,,,,,
player,201109180den,cin,ScotBe00,pass_cmp,0,,,,,
player,201109180den,cin,ScotBe00,pass_att,0,,,,,
player,201109180den,cin,ScotBe00,pass_yds,0,,,,,
player,201109180den,cin,ScotBe00,pass_td,0,,,,,
player,201109180den,cin,ScotBe00,pass_int,0,,,,,
player,201109180den,cin,ScotBe00,pass_sacked,0,,,,,
player,201109180den,cin,ScotBe00,pass_sacked_yds,0,,,,,
player,201109180den,cin,ScotBe00,pass_long,0,,,,,
player,201109180den,cin,ScotBe00,pass_rating,,,,,,
player,201109180den,cin,ScotBe00,rush_att,2,,,,,
player,201109180den,cin,ScotBe00,rush_yds,10,,,,,
player,201109180den,cin,ScotBe00,rush_td,0,,,,,
player,201109180den,cin,ScotBe00,rush_long,9,,,,,
player,201109180den,cin,ScotBe00,targets,0,,,,,
player,201109180den,cin,ScotBe00,rec,0,,,,,
player,201109180den,cin,ScotBe00,rec_yds,0,,,,,
player,201109180den,cin,ScotBe00,rec_td,0,,,,,
player,201109180den,cin,ScotBe00,rec_long,0,,,,,
player,201109180den,cin,ScotBe00,fumbles,0,,,,,
player,201109180den,cin,ScotBe00,fumbles_lost,,,,,,
player,201109180den,cin,SimpJe00,pass_cmp,0,,,,,
player,201109180den,cin,SimpJe00,pass_att,0,,,,,
player,201109180den,cin,SimpJe00,pass_yds,0,,,,,
player,201109180den,cin,SimpJe00,pass_td,0,,,,,
player,201109180den,cin,SimpJe00,pass_int,0,,,,,
player,201109180den,cin,SimpJe00,pass_sacked,0,,,,,
player,201109180den,cin,SimpJe00,pass_sacked_yds,0,,,,,
player,201109180den,cin,SimpJe00,pass_long,0,,,,,
player,201109180den,cin,SimpJe00,pass_rating,,,,,,
player,201109180den,cin,SimpJe00,rush_att,0,,,,,
player,201109180den,cin,SimpJe00,rush_yds,0,,,,,
player,201109180den,cin,SimpJe00,rush_td,0,,,,,
player,201109180den,cin,SimpJe00,rush_long,0,,,,,
player,201109180den,cin,SimpJe00,targets,9,,,,,
player,201109180den,cin,SimpJe00,rec,4,,,,,
player,201109180den,cin,SimpJe00,rec_yds,136,,,,,
player,201109180den,cin,SimpJe00,rec_td,0,,,,,
player,201109180den,cin,SimpJe00,rec_long,84,,,,,
player,201109180den,cin,SimpJe00,fumbles,0,,,,,
player,201109180den,cin,SimpJe00,fumbles_lost,,,,,,
player,201109180den,cin,GreeA.00,pass_cmp,0,,,,,
player,201109180den,cin,GreeA.00,pass_att,0,,,,,
player,201109180den,cin,GreeA.00,pass_yds,0,,,,,
player,201109180den,cin,GreeA.00,pass_td,0,,,,,
player,201109180den,cin,GreeA.00,pass_int,0,,,,,
player,201109180den,cin,GreeA.00,pass_sacked,0,,,,,
player,201109180den,cin,GreeA.00,pass_sacked_yds,0,,,,,
player,201109180den,cin,GreeA.00,pass_long,0,,,,,
player,201109180den,cin,GreeA.00,pass_rating,,,,,,
player,201109180den,cin,GreeA.00,rush_att,0,,,,,
player,201109180den,cin,GreeA.00,rush_yds,0,,,,,
player,201109180den,cin,GreeA.00,rush_td,0,,,,,
player,201109180den,cin,GreeA.00,rush_long,0,,,,,
player,201109180den,cin,GreeA.00,targets,14,,,,,
player,201109180den,cin,GreeA.00,rec,10,,,,,
player,201109180den,cin,GreeA.00,rec_yds,124,,,,,
player,201109180den,cin,GreeA.00,rec_td,1,,,,,
player,201109180den,cin,GreeA.00,rec_long,26,,,,,
player,201109180den,cin,GreeA.00,fumbles,0,,,,,
player,201109180den,cin,GreeA.00,fumbles_lost,,,,,,
player,201109180den,cin,CaldAn00,pass_cmp,0,,,,,
player,201109180den,cin,CaldAn00,pass_att,0,,,,,
player,201109180den,cin,CaldAn00,pass_yds,0,,,,,
player,201109180den,cin,CaldAn00,pass_td,0,,,,,
player,201109180den,cin,CaldAn00,pass_int,0,,,,,
player,201109180den,cin,CaldAn00,pass_sacked,0,,,,,
player,201109180den,cin,CaldAn00,pass_sacked_yds,0,,,,,
player,201109180den,cin,CaldAn00,pass_long,0,,,,,
player,201109180den,cin,CaldAn00,pass_rating,,,,,,
player,201109180den,cin,CaldAn00,rush_att,0,,,,,
player,201109180den,cin,CaldAn00,rush_yds,0,,,,,
player,201109180den,cin,CaldAn00,rush_td,0,,,,,
player,201109180den,cin,CaldAn00,rush_long,0,,,,,
player,201109180den,cin,CaldAn00,targets,4,,,,,
player,201109180den,cin,CaldAn00,rec,3,,,,,
player,201109180den,cin,CaldAn00,rec_yds,27,,,,,
player,201109180den,cin,CaldAn00,rec_td,1,,,,,
player,201109180den,cin,CaldAn00,rec_long,10,,,,,
player,201109180den,cin,CaldAn00,fumbles,0,,,,,
player,201109180den,cin,CaldAn00,fumbles_lost,,,,,,
player,201109180den,cin,ShipJo00,pass_cmp,0,,,,,
player,201109180den,cin,ShipJo00,pass_att,0,,,,,
player,201109180den,cin,ShipJo00,pass_yds,0,,,,,
player,201109180den,cin,ShipJo00,pass_td,0,,,,,
player,201109180den,cin,ShipJo00,pass_int,0,,,,,
player,201109180den,cin,ShipJo00,pass_sacked,0,,,,,
player,201109180den,cin,ShipJo00,pass_sacked_yds,0,,,,,
player,201109180den,cin,ShipJo00,pass_long,0,,,,,
player,201109180den,cin,ShipJo00,pass_rating,,,,,,
player,201109180den,cin,ShipJo00,rush_att,0,,,,,
player,201109180den,cin,ShipJo00,rush_yds,0,,,,,
player,201109180den,cin,ShipJo00,rush_td,0,,,,,
player,201109180den,cin,ShipJo00,rush_long,0,,,,,
player,201109180den,cin,ShipJo00,targets,3,,,,,
player,201109180den,cin,ShipJo00,rec,3,,,,,
player,201109180den,cin,ShipJo00,rec_yds,15,,,,,
player,201109180den,cin,ShipJo00,rec_td,0,,,,,
player,201109180den,cin,ShipJo00,rec_long,5,,,,,
player,201109180den,cin,ShipJo00,fumbles,0,,,,,
player,201109180den,cin,ShipJo00,fumbles_lost,,,,,,
player,201109180den,cin,GresJe00,pass_cmp,0,,,,,
player,201109180den,cin,GresJe00,pass_att,0,,,,,
player,201109180den,cin,GresJe00,pass_yds,0,,,,,
player,201109180den,cin,GresJe00,pass_td,0,,,,,
player,201109180den,cin,GresJe00,pass_int,0,,,,,
player,201109180den,cin,GresJe00,pass_sacked,0,,,,,
player,201109180den,cin,GresJe00,pass_sacked_yds,0,,,,,
player,201109180den,cin,GresJe00,pass_long,0,,,,,
player,201109180den,cin,GresJe00,pass_rating,,,,,,
player,201109180den,cin,GresJe00,rush_att,0,,,,,
player,201109180den,cin,GresJe00,rush_yds,0,,,,,
player,201109180den,cin,GresJe00,rush_td,0,,,,,
player,201109180den,cin,GresJe00,rush_long,0,,,,,
player,201109180den,cin,GresJe00,targets,5,,,,,
player,201109180den,cin,GresJe00,rec,2,,,,,
player,201109180den,cin,GresJe00,rec_yds,8,,,,,
player,201109180den,cin,GresJe00,rec_td,0,,,,,
player,201109180den,cin,GresJe00,rec_long,4,,,,,
player,201109180den,cin,GresJe00,fumbles,0,,,,,
player,201109180den,cin,GresJe00,fumbles_lost,,,,,,
player,201109180den,cin,LeonBr00,pass_cmp,0,,,,,
player,201109180den,cin,LeonBr00,pass_att,0,,,,,
player,201109180den,cin,LeonBr00,pass_yds,0,,,,,
player,201109180den,cin,LeonBr00,pass_td,0,,,,,
player,201109180den,cin,LeonBr00,pass_int,0,,,,,
player,201109180den,cin,LeonBr00,pass_sacked,0,,,,,
player,201109180den,cin,LeonBr00,pass_sacked_yds,0,,,,,
player,201109180den,cin,LeonBr00,pass_long,0,,,,,
player,201109180den,cin,LeonBr00,pass_rating,,,,,,
player,201109180den,cin,LeonBr00,rush_att,0,,,,,
player,201109180den,cin,LeonBr00,rush_yds,0,,,,,
player,201109180den,cin,LeonBr00,rush_td,0,,,,,
player,201109180den,cin,LeonBr00,rush_long,0,,,,,
player,201109180den,cin,LeonBr00,targets,2,,,,,
player,201109180den,cin,LeonBr00,rec,2,,,,,
player,201109180den,cin,LeonBr00,rec_yds,5,,,,,
player,201109180den,cin,LeonBr00,rec_td,0,,,,,
player,201109180den,cin,LeonBr00,rec_long,9,,,,,
player,201109180den,cin,LeonBr00,fumbles,0,,,,,
player,201109180den,cin,LeonBr00,fumbles_lost,,,,,,
player,201109180den,cin,CochCo00,pass_cmp,0,,,,,
player,201109180den,cin,CochCo00,pass_att,0,,,,,
player,201109180den,cin,CochCo00,pass_yds,0,,,,,
player,201109180den,cin,CochCo00,pass_td,0,,,,,
player,201109180den,cin,CochCo00,pass_int,0,,,,,
player,201109180den,cin,CochCo00,pass_sacked,0,,,,,
player,201109180den,cin,CochCo00,pass_sacked_yds,0,,,,,
player,201109180den,cin,CochCo00,pass_long,0,,,,,
player,201109180den,cin,CochCo00,pass_rating,,,,,,
player,201109180den,cin,CochCo00,rush_att,0,,,,,
player,201109180den,cin,CochCo00,rush_yds,0,,,,,
player,201109180den,cin,CochCo00,rush_td,0,,,,,
player,201109180den,cin,CochCo00,rush_long,0,,,,,
player,201109180den,cin,CochCo00,targets,1,,,,,
player,201109180den,cin,CochCo00,rec,0,,,,,
player,201109180den,cin,CochCo00,rec_yds,0,,,,,
player,201109180den,cin,CochCo00,rec_td,0,,,,,
player,201109180den,cin,CochCo00,rec_long,0,,,,,
player,201109180den,cin,CochCo00,fumbles,0,,,,,
player,201109180den,cin,CochCo00,fumbles_lost,,,,,,
player,201109180den,den,OrtoKy00,pass_cmp,15,,,,,
player,201109180den,den,OrtoKy00,pass_att,25,,,,,
player,201109180den,den,OrtoKy00,pass_yds,195,,,,,
player,201109180den,den,OrtoKy00,pass_td,2,,,,,
player,201109180den,den,OrtoKy00,pass_int,0,,,,,
player,201109180den,den,OrtoKy00,pass_sacked,2,,,,,
player,201109180den,den,OrtoKy00,pass_sacked_yds,8,,,,,
player,201109180den,den,OrtoKy00,pass_long,52,,,,,
player,201109180den,den,OrtoKy00,pass_rating,111.2,,,,,
player,201109180den,den,OrtoKy00,rush_att,1,,,,,
player,201109180den,den,OrtoKy00,rush_yds,-2,,,,,
player,201109180den,den,OrtoKy00,rush_td,0,,,,,
player,201109180den,den,OrtoKy00,rush_long,-2,,,,,
player,201109180den,den,OrtoKy00,targets,0,,,,,
player,201109180den,den,OrtoKy00,rec,0,,,,,
player,201109180den,den,OrtoKy00,rec_yds,0,,,,,
player,201109180den,den,OrtoKy00,rec_td,0,,,,,
player,201109180den,den,OrtoKy00,rec_long,0,,,,,
player,201109180den,den,OrtoKy00,fumbles,1,,,,,
player,201109180den,den,OrtoKy00,fumbles_lost,1,,,,,
player,201109180den,den,McGaWi00,pass_cmp,0,,,,,
player,201109180den,den,McGaWi00,pass_att,0,,,,,
player,201109180den,den,McGaWi00,pass_yds,0,,,,,
player,201109180den,den,McGaWi00,pass_td,0,,,,,
player,201109180den,den,McGaWi00,pass_int,0,,,,,
player,201109180den,den,McGaWi00,pass_sacked,0,,,,,
player,201109180den,den,McGaWi00,pass_sacked_yds,0,,,,,
player,201109180den,den,McGaWi00,pass_long,0,,,,,
player,201109180den,den,McGaWi00,pass_rating,,,,,,
player,201109180den,den,McGaWi00,rush_att,28,,,,,
player,201109180den,den,McGaWi00,rush_yds,101,,,,,
player,201109180den,den,McGaWi00,rush_td,1,,,,,
player,201109180den,den,McGaWi00,rush_long,12,,,,,
player,201109180den,den,McGaWi00,targets,2,,,,,
player,201109180den,den,McGaWi00,rec,1,,,,,
player,201109180den,den,McGaWi00,rec_yds,5,,,,,
player,201109180den,den,McGaWi00,rec_td,0,,,,,
player,201109180den,den,McGaWi00,rec_long,5,,,,,
player,201109180den,den,McGaWi00,fumbles,0,,,,,
player,201109180den,den,McGaWi00,fumbles_lost,,,,,,
player,201109180den,den,BallLa00,pass_cmp,0,,,,,
player,201109180den,den,BallLa00,pass_att,0,,,,,
player,201109180den,den,BallLa00,pass_yds,0,,,,,
player,201109180den,den,BallLa00,pass_td,0,,,,,
player,201109180den,den,BallLa00,pass_int,0,,,,,
player,201109180den,den,BallLa00,pass_sacked,0,,,,,
player,201109180den,den,BallLa00,pass_sacked_yds,0,,,,,
player,201109180den,den,BallLa00,pass_long,0,,,,,
player,201109180den,den,BallLa00,pass_rating,,,,,,
player,201109180den,den,BallLa00,rush_att,6,,,,,
player,201109180den,den,BallLa00,rush_yds,28,,,,,
player,201109180den,den,BallLa00,rush_td,0,,,,,
player,201109180den,den,BallLa00,rush_long,17,,,,,
player,201109180den,den,BallLa00,targets,1,,,,,
player,201109180den,den,BallLa00,rec,0,,,,,
player,201109180den,den,BallLa00,rec_yds,0,,,,,
player,201109180den,den,BallLa00,rec_td,0,,,,,
player,201109180den,den,BallLa00,rec_long,0,,,,,
player,201109180den,den,BallLa00,fumbles,0,,,,,
player,201109180den,den,BallLa00,fumbles_lost,,,,,,
player,201109180den,den,LarsSp99,pass_cmp,0,,,,,
player,201109180den,den,LarsSp99,pass_att,0,,,,,
player,201109180den,den,LarsSp99,pass_yds,0,,,,,
player,201109180den,den,LarsSp99,pass_td,0,,,,,
player,201109180den,den,LarsSp99,pass_int,0,,,,,
player,201109180den,den,LarsSp99,pass_sacked,0,,,,,
player,201109180den,den,LarsSp99,pass_sacked_yds,0,,,,,
player,201109180den,den,LarsSp99,pass_long,0,,,,,
player,201109180den,den,LarsSp99,pass_rating,,,,,,
player,201109180den,den,LarsSp99,rush_att,1,,,,,
player,201109180den,den,LarsSp99,rush_yds,4,,,,,
player,201109180den,den,LarsSp99,rush_td,0,,,,,
player,201109180den,den,LarsSp99,rush_long,4,,,,,
player,201109180den,den,LarsSp99,targets,3,,,,,
player,201109180den,den,LarsSp99,rec,3,,,,,
player,201109180den,den,LarsSp99,rec_yds,23,,,,,
player,201109180den,den,LarsSp99,rec_td,0,,,,,
player,201109180den,den,LarsSp99,rec_long,10,,,,,
player,201109180den,den,LarsSp99,fumbles,0,,,,,
player,201109180den,den,LarsSp99,fumbles_lost,,,,,,
player,201109180den,den,DeckEr00,pass_cmp,0,,,,,
player,201109180den,den,DeckEr00,pass_att,0,,,,,
player,201109180den,den,DeckEr00,pass_yds,0,,,,,
player,201109180den,den,DeckEr00,pass_td,0,,,,,
player,201109180den,den,DeckEr00,pass_int,0,,,,,
player,201109180den,den,DeckEr00,pass_sacked,0,,,,,
player,201109180den,den,DeckEr00,pass_sacked_yds,0,,,,,
player,201109180den,den,DeckEr00,pass_long,0,,,,,
player,201109180den,den,DeckEr00,pass_rating,,,,,,
player,201109180den,den,DeckEr00,rush_att,0,,,,,
player,201109180den,den,DeckEr00,rush_yds,0,,,,,
player,201109180den,den,DeckEr00,rush_td,0,,,,,
player,201109180den,den,DeckEr00,rush_long,0,,,,,
player,201109180den,den,DeckEr00,targets,9,,,,,
player,201109180den,den,DeckEr00,rec,5,,,,,
player,201109180den,den,DeckEr00,rec_yds,113,,,,,
player,201109180den,den,DeckEr00,rec_td,2,,,,,
player,201109180den,den,DeckEr00,rec_long,52,,,,,
player,201109180den,den,DeckEr00,fumbles,1,,,,,
player,201109180den,den,DeckEr00,fumbles_lost,1,,,,,
player,201109180den,den,WillMa00,pass_cmp,0,,,,,
player,201109180den,den,WillMa00,pass_att,0,,,,,
player,201109180den,den,WillMa00,pass_yds,0,,,,,
player,201109180den,den,WillMa00,pass_td,0,,,,,
player,201109180den,den,WillMa00,pass_int,0,,,,,
player,201109180den,den,WillMa00,pass_sacked,0,,,,,
player,201109180den,den,WillMa00,pass_sacked_yds,0,,,,,
player,201109180den,den,WillMa00,pass_long,0,,,,,
player,201109180den,den,WillMa00,pass_rating,,,,,,
player,201109180den,den,WillMa00,rush_att,0,,,,,
player,201109180den,den,WillMa00,rush_yds,0,,,,,
player,201109180den,den,WillMa00,rush_td,0,,,,,
player,201109180den,den,WillMa00,rush_long,0,,,,,
player,201109180den,den,WillMa00,targets,4,,,,,
player,201109180den,den,WillMa00,rec,2,,,,,
player,201109180den,den,WillMa00,rec_yds,22,,,,,
player,201109180den,den,WillMa00,rec_td,0,,,,,
player,201109180den,den,WillMa00,rec_long,15,,,,,
player,201109180den,den,WillMa00,fumbles,0,,,,,
player,201109180den,den,WillMa00,fumbles_lost,,,,,,
player,201109180den,den,RoyaEd00,pass_cmp,0,,,,,
player,201109180den,den,RoyaEd00,pass_att,0,,,,,
player,201109180den,den,RoyaEd00,pass_yds,0,,,,,
player,201109180den,den,RoyaEd00,pass_td,0,,,,,
player,201109180den,den,RoyaEd00,pass_int,0,,,,,
player,201109180den,den,RoyaEd00,pass_sacked,0,,,,,
player,201109180den,den,RoyaEd00,pass_sacked_yds,0,,,,,
player,201109180den,den,RoyaEd00,pass_long,0,,,,,
player,201109180den,den,RoyaEd00,pass_rating,,,,,,
player,201109180den,den,RoyaEd00,rush_att,0,,,,,
player,201109180den,den,RoyaEd00,rush_yds,0,,,,,
player,201109180den,den,RoyaEd00,rush_td,0,,,,,
player,201109180den,den,RoyaEd00,rush_long,0,,,,,
player,201109180den,den,RoyaEd00,targets,3,,,,,
player,201109180den,den,RoyaEd00,rec,2,,,,,
player,201109180den,den,RoyaEd00,rec_yds,18,,,,,
player,201109180den,den,RoyaEd00,rec_td,0,,,,,
player,201109180den,den,RoyaEd00,rec_long,14,,,,,
player,201109180den,den,RoyaEd00,fumbles,0,,,,,
player,201109180den,den,RoyaEd00,fumbles_lost,,,,,,
player,201109180den,den,FellDa00,pass_cmp,0,,,,,
player,201109180den,den,FellDa00,pass_att,0,,,,,
player,201109180den,den,FellDa00,pass_yds,0,,,,,
player,201109180den,den,FellDa00,pass_td,0,,,,,
player,201109180den,den,FellDa00,pass_int,0,,,,,
player,201109180den,den,FellDa00,pass_sacked,0,,,,,
player,201109180den,den,FellDa00,pass_sacked_yds,0,,,,,
player,201109180den,den,FellDa00,pass_long,0,,,,,
player,201109180den,den,FellDa00,pass_rating,,,,,,
player,201109180den,den,FellDa00,rush_att,0,,,,,
player,201109180den,den,FellDa00,rush_yds,0,,,,,
player,201109180den,den,FellDa00,rush_td,0,,,,,
player,201109180den,den,FellDa00,rush_long,0,,,,,
player,201109180den,den,FellDa00,targets,2,,,,,
player,201109180den,den,FellDa00,rec,1,,,,,
player,201109180den,den,FellDa00,rec_yds,9,,,,,
player,201109180den,den,FellDa00,rec_td,0,,,,,
player,201109180den,den,FellDa00,rec_long,9,,,,,
player,201109180den,den,FellDa00,fumbles,0,,,,,
player,201109180den,den,FellDa00,fumbles_lost,,,,,,
player,201109180den,den,ThomJu00,pass_cmp,0,,,,,
player,201109180den,den,ThomJu00,pass_att,0,,,,,
player,201109180den,den,ThomJu00,pass_yds,0,,,,,
player,201109180den,den,ThomJu00,pass_td,0,,,,,
player,201109180den,den,ThomJu00,pass_int,0,,,,,
player,201109180den,den,ThomJu00,pass_sacked,0,,,,,
player,201109180den,den,ThomJu00,pass_sacked_yds,0,,,,,
player,201109180den,den,ThomJu00,pass_long,0,,,,,
player,201109180den,den,ThomJu00,pass_rating,,,,,,
player,201109180den,den,ThomJu00,rush_att,0,,,,,
player,201109180den,den,ThomJu00,rush_yds,0,,,,,
player,201109180den,den,ThomJu00,rush_td,0,,,,,
player,201109180den,den,ThomJu00,rush_long,0,,,,,
player,201109180den,den,ThomJu00,targets,1,,,,,
player,201109180den,den,ThomJu00,rec,1,,,,,
player,201109180den,den,ThomJu00,rec_yds,5,,,,,
player,201109180den,den,ThomJu00,rec_td,0,,,,,
player,201109180den,den,ThomJu00,rec_long,5,,,,,
player,201109180den,den,ThomJu00,fumbles,0,,,,,
player,201109180den,den,ThomJu00,fumbles_lost,,,,,,
player,201109180den,cin,JohnMi98,def_int,0,,,,,
player,201109180den,cin,JohnMi98,def_int_yds,0,,,,,
player,201109180den,cin,JohnMi98,def_int_td,0,,,,,
player,201109180den,cin,JohnMi98,def_int_long,0,,,,,
player,201109180den,cin,JohnMi98,pass_defended,0,,,,,
player,201109180den,cin,JohnMi98,sacks,1.0,,,,,
player,201109180den,cin,JohnMi98,tackles_combined,7,,,,,
player,201109180den,cin,JohnMi98,tackles_solo,7,,,,,
player,201109180den,cin,JohnMi98,tackles_assists,0,,,,,
player,201109180den,cin,JohnMi98,tackles_loss,1,,,,,
player,201109180den,cin,JohnMi98,qb_hits,0,,,,,
player,201109180den,cin,JohnMi98,fumbles_rec,0,,,,,
player,201109180den,cin,JohnMi98,fumbles_rec_yds,0,,,,,
player,201109180den,cin,JohnMi98,fumbles_rec_td,0,,,,,
player,201109180den,cin,JohnMi98,fumbles_forced,1,,,,,
player,201109180den,cin,AtkiGe99,def_int,0,,,,,
player,201109180den,cin,AtkiGe99,def_int_yds,0,,,,,
player,201109180den,cin,AtkiGe99,def_int_td,0,,,,,
player,201109180den,cin,AtkiGe99,def_int_long,0,,,,,
player,201109180den,cin,AtkiGe99,pass_defended,0,,,,,
player,201109180den,cin,AtkiGe99,sacks,1.0,,,,,
player,201109180den,cin,AtkiGe99,tackles_combined,2,,,,,
player,201109180den,cin,AtkiGe99,tackles_solo,2,,,,,
player,201109180den,cin,AtkiGe99,tackles_assists,0,,,,,
player,201109180den,cin,AtkiGe99,tackles_loss,1,,,,,
player,201109180den,cin,AtkiGe99,qb_hits,1,,,,,
player,201109180den,cin,AtkiGe99,fumbles_rec,0,,,,,
player,201109180den,cin,AtkiGe99,fumbles_rec_yds,0,,,,,
player,201109180den,cin,AtkiGe99,fumbles_rec_td,0,,,,,
player,201109180den,cin,AtkiGe99,fumbles_forced,0,,,,,
player,201109180den,cin,HowaTh20,def_int,0,,,,,
player,201109180den,cin,HowaTh20,def_int_yds,0,,,,,
player,201109180den,cin,HowaTh20,def_int_td,0,,,,,
player,201109180den,cin,HowaTh20,def_int_long,0,,,,,
player,201109180den,cin,HowaTh20,pass_defended,0,,,,,
player,201109180den,cin,HowaTh20,sacks,0.0,,,,,
player,201109180den,cin,HowaTh20,tackles_combined,8,,,,,
player,201109180den,cin,HowaTh20,tackles_solo,7,,,,,
player,201109180den,cin,HowaTh20,tackles_assists,1,,,,,
player,201109180den,cin,HowaTh20,tackles_loss,0,,,,,
player,201109180den,cin,HowaTh20,qb_hits,0,,,,,
player,201109180den,cin,HowaTh20,fumbles_rec,0,,,,,
player,201109180den,cin,HowaTh20,fumbles_rec_yds,0,,,,,
player,201109180den,cin,HowaTh20,fumbles_rec_td,0,,,,,
player,201109180den,cin,HowaTh20,fumbles_forced,0,,,,,
player,201109180den,cin,MauaRe99,def_int,0,,,,,
player,201109180den,cin,MauaRe99,def_int_yds,0,,,,,
player,201109180den,cin,MauaRe99,def_int_td,0,,,,,
player,201109180den,cin,MauaRe99,def_int_long,0,,,,,
player,201109180den,cin,MauaRe99,pass_defended,0,,,,,
player,201109180den,cin,MauaRe99,sacks,0.0,,,,,
player,201109180den,cin,MauaRe99,tackles_combined,7,,,,,
player,201109180den,cin,MauaRe99,tackles_solo,6,,,,,
player,201109180den,cin,MauaRe99,tackles_assists,1,,,,,
player,201109180den,cin,MauaRe99,tackles_loss,0,,,,,
player,201109180den,cin,MauaRe99,qb_hits,0,,,,,
player,201109180den,cin,MauaRe99,fumbles_rec,0,,,,,
player,201109180den,cin,MauaRe99,fumbles_rec_yds,0,,,,,
player,201109180den,cin,MauaRe99,fumbles_rec_td,0,,,,,
player,201109180den,cin,MauaRe99,fumbles_forced,0,,,,,
player,201109180den,cin,ClemNa99,def_int,0,,,,,
player,201109180den,cin,ClemNa99,def_int_yds,0,,,,,
player,201109180den,cin,ClemNa99,def_int_td,0,,,,,
player,201109180den,cin,ClemNa99,def_int_long,0,,,,,
player,201109180den,cin,ClemNa99,pass_defended,0,,,,,
player,201109180den,cin,ClemNa99,sacks,0.0,,,,,
player,201109180den,cin,ClemNa99,tackles_combined,5,,,,,
player,201109180den,cin,ClemNa99,tackles_solo,4,,,,,
player,201109180den,cin,ClemNa99,tackles_assists,1,,,,,
player,201109180den,cin,ClemNa99,tackles_loss,0,,,,,
player,201109180den,cin,ClemNa99,qb_hits,0,,,,,
player,201109180den,cin,ClemNa99,fumbles_rec,0,,,,,
