game,2011,3,20110925,201109250cin,sfo,"San Francisco 49ers",13,cin,"Cincinnati Bengals",8
player,201109250cin,sfo,HuntKe00,rec_long,10,,,,,
player,201109250cin,sfo,HuntKe00,fumbles,0,,,,,
player,201109250cin,sfo,HuntKe00,fumbles_lost,,,,,,
player,201109250cin,sfo,MillBr02,pass_cmp,0,,,,,
player,201109250cin,sfo,MillBr02,pass_att,0,,,,,
player,201109250cin,sfo,MillBr02,pass_yds,0,,,,,
player,201109250cin,sfo,MillBr02,pass_td,0,,,,,
player,201109250cin,sfo,MillBr02,pass_int,0,,,,,
player,201109250cin,sfo,MillBr02,pass_sacked,0,,,,,
player,201109250cin,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201109250cin,sfo,MillBr02,pass_long,0,,,,,
player,201109250cin,sfo,MillBr02,pass_rating,,,,,,
player,201109250cin,sfo,MillBr02,rush_att,1,,,,,
player,201109250cin,sfo,MillBr02,rush_yds,2,,,,,
player,201109250cin,sfo,MillBr02,rush_td,0,,,,,
player,201109250cin,sfo,MillBr02,rush_long,2,,,,,
player,201109250cin,sfo,MillBr02,targets,5,,,,,
player,201109250cin,sfo,MillBr02,rec,4,,,,,
player,201109250cin,sfo,MillBr02,rec_yds,25,,,,,
player,201109250cin,sfo,MillBr02,rec_td,0,,,,,
player,201109250cin,sfo,MillBr02,rec_long,11,,,,,
player,201109250cin,sfo,MillBr02,fumbles,1,,,,,
player,201109250cin,sfo,MillBr02,fumbles_lost,0,,,,,
player,201109250cin,sfo,CrabMi00,pass_cmp,0,,,,,
player,201109250cin,sfo,CrabMi00,pass_att,0,,,,,
player,201109250cin,sfo,CrabMi00,pass_yds,0,,,,,
player,201109250cin,sfo,CrabMi00,pass_td,0,,,,,
player,201109250cin,sfo,CrabMi00,pass_int,0,,,,,
player,201109250cin,sfo,CrabMi00,pass_sacked,0,,,,,
player,201109250cin,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201109250cin,sfo,CrabMi00,pass_long,0,,,,,
player,201109250cin,sfo,CrabMi00,pass_rating,,,,,,
player,201109250cin,sfo,CrabMi00,rush_att,0,,,,,
player,201109250cin,sfo,CrabMi00,rush_yds,0,,,,,
player,201109250cin,sfo,CrabMi00,rush_td,0,,,,,
player,201109250cin,sfo,CrabMi00,rush_long,0,,,,,
player,201109250cin,sfo,CrabMi00,targets,6,,,,,
player,201109250cin,sfo,CrabMi00,rec,3,,,,,
player,201109250cin,sfo,CrabMi00,rec_yds,24,,,,,
player,201109250cin,sfo,CrabMi00,rec_td,0,,,,,
player,201109250cin,sfo,CrabMi00,rec_long,8,,,,,
player,201109250cin,sfo,CrabMi00,fumbles,0,,,,,
player,201109250cin,sfo,CrabMi00,fumbles_lost,,,,,,
player,201109250cin,sfo,MorgJo00,pass_cmp,0,,,,,
player,201109250cin,sfo,MorgJo00,pass_att,0,,,,,
player,201109250cin,sfo,MorgJo00,pass_yds,0,,,,,
player,201109250cin,sfo,MorgJo00,pass_td,0,,,,,
player,201109250cin,sfo,MorgJo00,pass_int,0,,,,,
player,201109250cin,sfo,MorgJo00,pass_sacked,0,,,,,
player,201109250cin,sfo,MorgJo00,pass_sacked_yds,0,,,,,
player,201109250cin,sfo,MorgJo00,pass_long,0,,,,,
player,201109250cin,sfo,MorgJo00,pass_rating,,,,,,
player,201109250cin,sfo,MorgJo00,rush_att,0,,,,,
player,201109250cin,sfo,MorgJo00,rush_yds,0,,,,,
player,201109250cin,sfo,MorgJo00,rush_td,0,,,,,
player,201109250cin,sfo,MorgJo00,rush_long,0,,,,,
player,201109250cin,sfo,MorgJo00,targets,4,,,,,
player,201109250cin,sfo,MorgJo00,rec,2,,,,,
player,201109250cin,sfo,MorgJo00,rec_yds,17,,,,,
player,201109250cin,sfo,MorgJo00,rec_td,0,,,,,
player,201109250cin,sfo,MorgJo00,rec_long,12,,,,,
player,201109250cin,sfo,MorgJo00,fumbles,0,,,,,
player,201109250cin,sfo,MorgJo00,fumbles_lost,,,,,,
player,201109250cin,sfo,WalkHu00,pass_cmp,0,,,,,
player,201109250cin,sfo,WalkHu00,pass_att,0,,,,,
player,201109250cin,sfo,WalkHu00,pass_yds,0,,,,,
player,201109250cin,sfo,WalkHu00,pass_td,0,,,,,
player,201109250cin,sfo,WalkHu00,pass_int,0,,,,,
player,201109250cin,sfo,WalkHu00,pass_sacked,0,,,,,
player,201109250cin,sfo,WalkHu00,pass_sacked_yds,0,,,,,
player,201109250cin,sfo,WalkHu00,pass_long,0,,,,,
player,201109250cin,sfo,WalkHu00,pass_rating,,,,,,
player,201109250cin,sfo,WalkHu00,rush_att,0,,,,,
player,201109250cin,sfo,WalkHu00,rush_yds,0,,,,,
player,201109250cin,sfo,WalkHu00,rush_td,0,,,,,
player,201109250cin,sfo,WalkHu00,rush_long,0,,,,,
player,201109250cin,sfo,WalkHu00,targets,2,,,,,
player,201109250cin,sfo,WalkHu00,rec,1,,,,,
player,201109250cin,sfo,WalkHu00,rec_yds,9,,,,,
player,201109250cin,sfo,WalkHu00,rec_td,0,,,,,
player,201109250cin,sfo,WalkHu00,rec_long,9,,,,,
player,201109250cin,sfo,WalkHu00,fumbles,0,,,,,
player,201109250cin,sfo,WalkHu00,fumbles_lost,,,,,,
player,201109250cin,sfo,DaviVe00,pass_cmp,0,,,,,
player,201109250cin,sfo,DaviVe00,pass_att,0,,,,,
player,201109250cin,sfo,DaviVe00,pass_yds,0,,,,,
player,201109250cin,sfo,DaviVe00,pass_td,0,,,,,
player,201109250cin,sfo,DaviVe00,pass_int,0,,,,,
player,201109250cin,sfo,DaviVe00,pass_sacked,0,,,,,
player,201109250cin,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201109250cin,sfo,DaviVe00,pass_long,0,,,,,
player,201109250cin,sfo,DaviVe00,pass_rating,,,,,,
player,201109250cin,sfo,DaviVe00,rush_att,1,,,,,
player,201109250cin,sfo,DaviVe00,rush_yds,-2,,,,,
player,201109250cin,sfo,DaviVe00,rush_td,0,,,,,
player,201109250cin,sfo,DaviVe00,rush_long,-2,,,,,
player,201109250cin,sfo,DaviVe00,targets,9,,,,,
player,201109250cin,sfo,DaviVe00,rec,8,,,,,
player,201109250cin,sfo,DaviVe00,rec_yds,114,,,,,
player,201109250cin,sfo,DaviVe00,rec_td,0,,,,,
player,201109250cin,sfo,DaviVe00,rec_long,39,,,,,
player,201109250cin,sfo,DaviVe00,fumbles,1,,,,,
player,201109250cin,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201109250cin,sfo,LeexAn20,pass_cmp,0,,,,,
player,201109250cin,sfo,LeexAn20,pass_att,0,,,,,
player,201109250cin,sfo,LeexAn20,pass_yds,0,,,,,
player,201109250cin,sfo,LeexAn20,pass_td,0,,,,,
player,201109250cin,sfo,LeexAn20,pass_int,0,,,,,
player,201109250cin,sfo,LeexAn20,pass_sacked,0,,,,,
player,201109250cin,sfo,LeexAn20,pass_sacked_yds,0,,,,,
player,201109250cin,sfo,LeexAn20,pass_long,0,,,,,
player,201109250cin,sfo,LeexAn20,pass_rating,,,,,,
player,201109250cin,sfo,LeexAn20,rush_att,1,,,,,
player,201109250cin,sfo,LeexAn20,rush_yds,-18,,,,,
player,201109250cin,sfo,LeexAn20,rush_td,0,,,,,
player,201109250cin,sfo,LeexAn20,rush_long,-18,,,,,
player,201109250cin,sfo,LeexAn20,targets,0,,,,,
player,201109250cin,sfo,LeexAn20,rec,0,,,,,
player,201109250cin,sfo,LeexAn20,rec_yds,0,,,,,
player,201109250cin,sfo,LeexAn20,rec_td,0,,,,,
player,201109250cin,sfo,LeexAn20,rec_long,0,,,,,
player,201109250cin,sfo,LeexAn20,fumbles,0,,,,,
player,201109250cin,sfo,LeexAn20,fumbles_lost,,,,,,
player,201109250cin,cin,DaltAn00,pass_cmp,17,,,,,
player,201109250cin,cin,DaltAn00,pass_att,32,,,,,
player,201109250cin,cin,DaltAn00,pass_yds,157,,,,,
player,201109250cin,cin,DaltAn00,pass_td,0,,,,,
player,201109250cin,cin,DaltAn00,pass_int,2,,,,,
player,201109250cin,cin,DaltAn00,pass_sacked,1,,,,,
player,201109250cin,cin,DaltAn00,pass_sacked_yds,8,,,,,
player,201109250cin,cin,DaltAn00,pass_long,22,,,,,
player,201109250cin,cin,DaltAn00,pass_rating,40.8,,,,,
player,201109250cin,cin,DaltAn00,rush_att,1,,,,,
player,201109250cin,cin,DaltAn00,rush_yds,5,,,,,
player,201109250cin,cin,DaltAn00,rush_td,0,,,,,
player,201109250cin,cin,DaltAn00,rush_long,5,,,,,
player,201109250cin,cin,DaltAn00,targets,0,,,,,
player,201109250cin,cin,DaltAn00,rec,0,,,,,
player,201109250cin,cin,DaltAn00,rec_yds,0,,,,,
player,201109250cin,cin,DaltAn00,rec_td,0,,,,,
player,201109250cin,cin,DaltAn00,rec_long,0,,,,,
player,201109250cin,cin,DaltAn00,fumbles,0,,,,,
player,201109250cin,cin,DaltAn00,fumbles_lost,,,,,,
player,201109250cin,cin,BensCe00,pass_cmp,0,,,,,
player,201109250cin,cin,BensCe00,pass_att,0,,,,,
player,201109250cin,cin,BensCe00,pass_yds,0,,,,,
player,201109250cin,cin,BensCe00,pass_td,0,,,,,
player,201109250cin,cin,BensCe00,pass_int,0,,,,,
player,201109250cin,cin,BensCe00,pass_sacked,0,,,,,
player,201109250cin,cin,BensCe00,pass_sacked_yds,0,,,,,
player,201109250cin,cin,BensCe00,pass_long,0,,,,,
player,201109250cin,cin,BensCe00,pass_rating,,,,,,
player,201109250cin,cin,BensCe00,rush_att,17,,,,,
player,201109250cin,cin,BensCe00,rush_yds,64,,,,,
player,201109250cin,cin,BensCe00,rush_td,0,,,,,
player,201109250cin,cin,BensCe00,rush_long,10,,,,,
player,201109250cin,cin,BensCe00,targets,1,,,,,
player,201109250cin,cin,BensCe00,rec,0,,,,,
player,201109250cin,cin,BensCe00,rec_yds,0,,,,,
player,201109250cin,cin,BensCe00,rec_td,0,,,,,
player,201109250cin,cin,BensCe00,rec_long,0,,,,,
player,201109250cin,cin,BensCe00,fumbles,0,,,,,
player,201109250cin,cin,BensCe00,fumbles_lost,,,,,,
player,201109250cin,cin,ScotBe00,pass_cmp,0,,,,,
player,201109250cin,cin,ScotBe00,pass_att,0,,,,,
player,201109250cin,cin,ScotBe00,pass_yds,0,,,,,
player,201109250cin,cin,ScotBe00,pass_td,0,,,,,
player,201109250cin,cin,ScotBe00,pass_int,0,,,,,
player,201109250cin,cin,ScotBe00,pass_sacked,0,,,,,
player,201109250cin,cin,ScotBe00,pass_sacked_yds,0,,,,,
player,201109250cin,cin,ScotBe00,pass_long,0,,,,,
player,201109250cin,cin,ScotBe00,pass_rating,,,,,,
player,201109250cin,cin,ScotBe00,rush_att,2,,,,,
player,201109250cin,cin,ScotBe00,rush_yds,10,,,,,
player,201109250cin,cin,ScotBe00,rush_td,0,,,,,
player,201109250cin,cin,ScotBe00,rush_long,8,,,,,
player,201109250cin,cin,ScotBe00,targets,0,,,,,
player,201109250cin,cin,ScotBe00,rec,0,,,,,
player,201109250cin,cin,ScotBe00,rec_yds,0,,,,,
player,201109250cin,cin,ScotBe00,rec_td,0,,,,,
player,201109250cin,cin,ScotBe00,rec_long,0,,,,,
player,201109250cin,cin,ScotBe00,fumbles,0,,,,,
player,201109250cin,cin,ScotBe00,fumbles_lost,,,,,,
player,201109250cin,cin,CaldAn00,pass_cmp,0,,,,,
player,201109250cin,cin,CaldAn00,pass_att,0,,,,,
player,201109250cin,cin,CaldAn00,pass_yds,0,,,,,
player,201109250cin,cin,CaldAn00,pass_td,0,,,,,
player,201109250cin,cin,CaldAn00,pass_int,0,,,,,
player,201109250cin,cin,CaldAn00,pass_sacked,0,,,,,
player,201109250cin,cin,CaldAn00,pass_sacked_yds,0,,,,,
player,201109250cin,cin,CaldAn00,pass_long,0,,,,,
player,201109250cin,cin,CaldAn00,pass_rating,,,,,,
player,201109250cin,cin,CaldAn00,rush_att,0,,,,,
player,201109250cin,cin,CaldAn00,rush_yds,0,,,,,
player,201109250cin,cin,CaldAn00,rush_td,0,,,,,
player,201109250cin,cin,CaldAn00,rush_long,0,,,,,
player,201109250cin,cin,CaldAn00,targets,12,,,,,
player,201109250cin,cin,CaldAn00,rec,6,,,,,
player,201109250cin,cin,CaldAn00,rec_yds,53,,,,,
player,201109250cin,cin,CaldAn00,rec_td,0,,,,,
player,201109250cin,cin,CaldAn00,rec_long,14,,,,,
player,201109250cin,cin,CaldAn00,fumbles,0,,,,,
player,201109250cin,cin,CaldAn00,fumbles_lost,,,,,,
player,201109250cin,cin,GresJe00,pass_cmp,0,,,,,
player,201109250cin,cin,GresJe00,pass_att,0,,,,,
player,201109250cin,cin,GresJe00,pass_yds,0,,,,,
player,201109250cin,cin,GresJe00,pass_td,0,,,,,
player,201109250cin,cin,GresJe00,pass_int,0,,,,,
player,201109250cin,cin,GresJe00,pass_sacked,0,,,,,
player,201109250cin,cin,GresJe00,pass_sacked_yds,0,,,,,
player,201109250cin,cin,GresJe00,pass_long,0,,,,,
player,201109250cin,cin,GresJe00,pass_rating,,,,,,
player,201109250cin,cin,GresJe00,rush_att,0,,,,,
player,201109250cin,cin,GresJe00,rush_yds,0,,,,,
player,201109250cin,cin,GresJe00,rush_td,0,,,,,
player,201109250cin,cin,GresJe00,rush_long,0,,,,,
player,201109250cin,cin,GresJe00,targets,8,,,,,
player,201109250cin,cin,GresJe00,rec,4,,,,,
player,201109250cin,cin,GresJe00,rec_yds,51,,,,,
player,201109250cin,cin,GresJe00,rec_td,0,,,,,
player,201109250cin,cin,GresJe00,rec_long,22,,,,,
player,201109250cin,cin,GresJe00,fumbles,0,,,,,
player,201109250cin,cin,GresJe00,fumbles_lost,,,,,,
player,201109250cin,cin,GreeA.00,pass_cmp,0,,,,,
player,201109250cin,cin,GreeA.00,pass_att,0,,,,,
player,201109250cin,cin,GreeA.00,pass_yds,0,,,,,
player,201109250cin,cin,GreeA.00,pass_td,0,,,,,
player,201109250cin,cin,GreeA.00,pass_int,0,,,,,
player,201109250cin,cin,GreeA.00,pass_sacked,0,,,,,
player,201109250cin,cin,GreeA.00,pass_sacked_yds,0,,,,,
player,201109250cin,cin,GreeA.00,pass_long,0,,,,,
player,201109250cin,cin,GreeA.00,pass_rating,,,,,,
player,201109250cin,cin,GreeA.00,rush_att,0,,,,,
player,201109250cin,cin,GreeA.00,rush_yds,0,,,,,
player,201109250cin,cin,GreeA.00,rush_td,0,,,,,
player,201109250cin,cin,GreeA.00,rush_long,0,,,,,
player,201109250cin,cin,GreeA.00,targets,5,,,,,
player,201109250cin,cin,GreeA.00,rec,4,,,,,
player,201109250cin,cin,GreeA.00,rec_yds,29,,,,,
player,201109250cin,cin,GreeA.00,rec_td,0,,,,,
player,201109250cin,cin,GreeA.00,rec_long,18,,,,,
player,201109250cin,cin,GreeA.00,fumbles,0,,,,,
player,201109250cin,cin,GreeA.00,fumbles_lost,,,,,,
player,201109250cin,cin,LeexDo00,pass_cmp,0,,,,,
player,201109250cin,cin,LeexDo00,pass_att,0,,,,,
player,201109250cin,cin,LeexDo00,pass_yds,0,,,,,
player,201109250cin,cin,LeexDo00,pass_td,0,,,,,
player,201109250cin,cin,LeexDo00,pass_int,0,,,,,
player,201109250cin,cin,LeexDo00,pass_sacked,0,,,,,
player,201109250cin,cin,LeexDo00,pass_sacked_yds,0,,,,,
player,201109250cin,cin,LeexDo00,pass_long,0,,,,,
player,201109250cin,cin,LeexDo00,pass_rating,,,,,,
player,201109250cin,cin,LeexDo00,rush_att,0,,,,,
player,201109250cin,cin,LeexDo00,rush_yds,0,,,,,
player,201109250cin,cin,LeexDo00,rush_td,0,,,,,
player,201109250cin,cin,LeexDo00,rush_long,0,,,,,
player,201109250cin,cin,LeexDo00,targets,1,,,,,
player,201109250cin,cin,LeexDo00,rec,1,,,,,
player,201109250cin,cin,LeexDo00,rec_yds,11,,,,,
player,201109250cin,cin,LeexDo00,rec_td,0,,,,,
player,201109250cin,cin,LeexDo00,rec_long,11,,,,,
player,201109250cin,cin,LeexDo00,fumbles,0,,,,,
player,201109250cin,cin,LeexDo00,fumbles_lost,,,,,,
player,201109250cin,cin,LeonBr00,pass_cmp,0,,,,,
player,201109250cin,cin,LeonBr00,pass_att,0,,,,,
player,201109250cin,cin,LeonBr00,pass_yds,0,,,,,
player,201109250cin,cin,LeonBr00,pass_td,0,,,,,
player,201109250cin,cin,LeonBr00,pass_int,0,,,,,
player,201109250cin,cin,LeonBr00,pass_sacked,0,,,,,
player,201109250cin,cin,LeonBr00,pass_sacked_yds,0,,,,,
player,201109250cin,cin,LeonBr00,pass_long,0,,,,,
player,201109250cin,cin,LeonBr00,pass_rating,,,,,,
player,201109250cin,cin,LeonBr00,rush_att,0,,,,,
player,201109250cin,cin,LeonBr00,rush_yds,0,,,,,
player,201109250cin,cin,LeonBr00,rush_td,0,,,,,
player,201109250cin,cin,LeonBr00,rush_long,0,,,,,
player,201109250cin,cin,LeonBr00,targets,1,,,,,
player,201109250cin,cin,LeonBr00,rec,1,,,,,
player,201109250cin,cin,LeonBr00,rec_yds,7,,,,,
player,201109250cin,cin,LeonBr00,rec_td,0,,,,,
player,201109250cin,cin,LeonBr00,rec_long,7,,,,,
player,201109250cin,cin,LeonBr00,fumbles,0,,,,,
player,201109250cin,cin,LeonBr00,fumbles_lost,,,,,,
player,201109250cin,cin,SimpJe00,pass_cmp,0,,,,,
player,201109250cin,cin,SimpJe00,pass_att,0,,,,,
player,201109250cin,cin,SimpJe00,pass_yds,0,,,,,
player,201109250cin,cin,SimpJe00,pass_td,0,,,,,
player,201109250cin,cin,SimpJe00,pass_int,0,,,,,
player,201109250cin,cin,SimpJe00,pass_sacked,0,,,,,
player,201109250cin,cin,SimpJe00,pass_sacked_yds,0,,,,,
player,201109250cin,cin,SimpJe00,pass_long,0,,,,,
player,201109250cin,cin,SimpJe00,pass_rating,,,,,,
player,201109250cin,cin,SimpJe00,rush_att,0,,,,,
player,201109250cin,cin,SimpJe00,rush_yds,0,,,,,
player,201109250cin,cin,SimpJe00,rush_td,0,,,,,
player,201109250cin,cin,SimpJe00,rush_long,0,,,,,
player,201109250cin,cin,SimpJe00,targets,4,,,,,
player,201109250cin,cin,SimpJe00,rec,1,,,,,
player,201109250cin,cin,SimpJe00,rec_yds,6,,,,,
player,201109250cin,cin,SimpJe00,rec_td,0,,,,,
player,201109250cin,cin,SimpJe00,rec_long,6,,,,,
player,201109250cin,cin,SimpJe00,fumbles,0,,,,,
player,201109250cin,cin,SimpJe00,fumbles_lost,,,,,,
player,201109250cin,sfo,RogeCa20,def_int,1,,,,,
player,201109250cin,sfo,RogeCa20,def_int_yds,0,,,,,
player,201109250cin,sfo,RogeCa20,def_int_td,0,,,,,
player,201109250cin,sfo,RogeCa20,def_int_long,0,,,,,
player,201109250cin,sfo,RogeCa20,pass_defended,2,,,,,
player,201109250cin,sfo,RogeCa20,sacks,0.0,,,,,
player,201109250cin,sfo,RogeCa20,tackles_combined,4,,,,,
player,201109250cin,sfo,RogeCa20,tackles_solo,3,,,,,
player,201109250cin,sfo,RogeCa20,tackles_assists,1,,,,,
player,201109250cin,sfo,RogeCa20,tackles_loss,0,,,,,
player,201109250cin,sfo,RogeCa20,qb_hits,0,,,,,
player,201109250cin,sfo,RogeCa20,fumbles_rec,0,,,,,
player,201109250cin,sfo,RogeCa20,fumbles_rec_yds,0,,,,,
player,201109250cin,sfo,RogeCa20,fumbles_rec_td,0,,,,,
player,201109250cin,sfo,RogeCa20,fumbles_forced,0,,,,,
player,201109250cin,sfo,SmitRe99,def_int,1,,,,,
player,201109250cin,sfo,SmitRe99,def_int_yds,11,,,,,
player,201109250cin,sfo,SmitRe99,def_int_td,0,,,,,
player,201109250cin,sfo,SmitRe99,def_int_long,11,,,,,
player,201109250cin,sfo,SmitRe99,pass_defended,1,,,,,
player,201109250cin,sfo,SmitRe99,sacks,0.0,,,,,
player,201109250cin,sfo,SmitRe99,tackles_combined,0,,,,,
player,201109250cin,sfo,SmitRe99,tackles_solo,0,,,,,
player,201109250cin,sfo,SmitRe99,tackles_assists,0,,,,,
player,201109250cin,sfo,SmitRe99,tackles_loss,0,,,,,
player,201109250cin,sfo,SmitRe99,qb_hits,0,,,,,
player,201109250cin,sfo,SmitRe99,fumbles_rec,0,,,,,
player,201109250cin,sfo,SmitRe99,fumbles_rec_yds,0,,,,,
player,201109250cin,sfo,SmitRe99,fumbles_rec_td,0,,,,,
player,201109250cin,sfo,SmitRe99,fumbles_forced,0,,,,,
player,201109250cin,sfo,BrooAh21,def_int,0,,,,,
player,201109250cin,sfo,BrooAh21,def_int_yds,0,,,,,
player,201109250cin,sfo,BrooAh21,def_int_td,0,,,,,
player,201109250cin,sfo,BrooAh21,def_int_long,0,,,,,
player,201109250cin,sfo,BrooAh21,pass_defended,0,,,,,
player,201109250cin,sfo,BrooAh21,sacks,1.0,,,,,
player,201109250cin,sfo,BrooAh21,tackles_combined,5,,,,,
player,201109250cin,sfo,BrooAh21,tackles_solo,1,,,,,
player,201109250cin,sfo,BrooAh21,tackles_assists,4,,,,,
player,201109250cin,sfo,BrooAh21,tackles_loss,1,,,,,
player,201109250cin,sfo,BrooAh21,qb_hits,1,,,,,
player,201109250cin,sfo,BrooAh21,fumbles_rec,0,,,,,
player,201109250cin,sfo,BrooAh21,fumbles_rec_yds,0,,,,,
player,201109250cin,sfo,BrooAh21,fumbles_rec_td,0,,,,,
player,201109250cin,sfo,BrooAh21,fumbles_forced,0,,,,,
player,201109250cin,sfo,BowmNa99,def_int,0,,,,,
player,201109250cin,sfo,BowmNa99,def_int_yds,0,,,,,
player,201109250cin,sfo,BowmNa99,def_int_td,0,,,,,
player,201109250cin,sfo,BowmNa99,def_int_long,0,,,,,
player,201109250cin,sfo,BowmNa99,pass_defended,0,,,,,
player,201109250cin,sfo,BowmNa99,sacks,0.0,,,,,
player,201109250cin,sfo,BowmNa99,tackles_combined,13,,,,,
player,201109250cin,sfo,BowmNa99,tackles_solo,8,,,,,
player,201109250cin,sfo,BowmNa99,tackles_assists,5,,,,,
player,201109250cin,sfo,BowmNa99,tackles_loss,0,,,,,
player,201109250cin,sfo,BowmNa99,qb_hits,1,,,,,
player,201109250cin,sfo,BowmNa99,fumbles_rec,0,,,,,
player,201109250cin,sfo,BowmNa99,fumbles_rec_yds,0,,,,,
player,201109250cin,sfo,BowmNa99,fumbles_rec_td,0,,,,,
player,201109250cin,sfo,BowmNa99,fumbles_forced,0,,,,,
player,201109250cin,sfo,GoldDa99,def_int,0,,,,,
player,201109250cin,sfo,GoldDa99,def_int_yds,0,,,,,
