game,2011,5,20111009,201110090pit,oti,"Tennessee Titans",17,pit,"Pittsburgh Steelers",38
player,201110090pit,pit,DwyeJo00,pass_int,0,,,,,
player,201110090pit,pit,DwyeJo00,pass_sacked,0,,,,,
player,201110090pit,pit,DwyeJo00,pass_sacked_yds,0,,,,,
player,201110090pit,pit,DwyeJo00,pass_long,0,,,,,
player,201110090pit,pit,DwyeJo00,pass_rating,,,,,,
player,201110090pit,pit,DwyeJo00,rush_att,11,,,,,
player,201110090pit,pit,DwyeJo00,rush_yds,107,,,,,
player,201110090pit,pit,DwyeJo00,rush_td,0,,,,,
player,201110090pit,pit,DwyeJo00,rush_long,76,,,,,
player,201110090pit,pit,DwyeJo00,targets,1,,,,,
player,201110090pit,pit,DwyeJo00,rec,1,,,,,
player,201110090pit,pit,DwyeJo00,rec_yds,6,,,,,
player,201110090pit,pit,DwyeJo00,rec_td,0,,,,,
player,201110090pit,pit,DwyeJo00,rec_long,6,,,,,
player,201110090pit,pit,DwyeJo00,fumbles,0,,,,,
player,201110090pit,pit,DwyeJo00,fumbles_lost,,,,,,
player,201110090pit,pit,RedmIs20,pass_cmp,0,,,,,
player,201110090pit,pit,RedmIs20,pass_att,0,,,,,
player,201110090pit,pit,RedmIs20,pass_yds,0,,,,,
player,201110090pit,pit,RedmIs20,pass_td,0,,,,,
player,201110090pit,pit,RedmIs20,pass_int,0,,,,,
player,201110090pit,pit,RedmIs20,pass_sacked,0,,,,,
player,201110090pit,pit,RedmIs20,pass_sacked_yds,0,,,,,
player,201110090pit,pit,RedmIs20,pass_long,0,,,,,
player,201110090pit,pit,RedmIs20,pass_rating,,,,,,
player,201110090pit,pit,RedmIs20,rush_att,15,,,,,
player,201110090pit,pit,RedmIs20,rush_yds,49,,,,,
player,201110090pit,pit,RedmIs20,rush_td,0,,,,,
player,201110090pit,pit,RedmIs20,rush_long,12,,,,,
player,201110090pit,pit,RedmIs20,targets,3,,,,,
player,201110090pit,pit,RedmIs20,rec,3,,,,,
player,201110090pit,pit,RedmIs20,rec_yds,12,,,,,
player,201110090pit,pit,RedmIs20,rec_td,0,,,,,
player,201110090pit,pit,RedmIs20,rec_long,8,,,,,
player,201110090pit,pit,RedmIs20,fumbles,0,,,,,
player,201110090pit,pit,RedmIs20,fumbles_lost,,,,,,
player,201110090pit,pit,BrowAn04,pass_cmp,0,,,,,
player,201110090pit,pit,BrowAn04,pass_att,0,,,,,
player,201110090pit,pit,BrowAn04,pass_yds,0,,,,,
player,201110090pit,pit,BrowAn04,pass_td,0,,,,,
player,201110090pit,pit,BrowAn04,pass_int,0,,,,,
player,201110090pit,pit,BrowAn04,pass_sacked,0,,,,,
player,201110090pit,pit,BrowAn04,pass_sacked_yds,0,,,,,
player,201110090pit,pit,BrowAn04,pass_long,0,,,,,
player,201110090pit,pit,BrowAn04,pass_rating,,,,,,
player,201110090pit,pit,BrowAn04,rush_att,1,,,,,
player,201110090pit,pit,BrowAn04,rush_yds,10,,,,,
player,201110090pit,pit,BrowAn04,rush_td,0,,,,,
player,201110090pit,pit,BrowAn04,rush_long,10,,,,,
player,201110090pit,pit,BrowAn04,targets,4,,,,,
player,201110090pit,pit,BrowAn04,rec,2,,,,,
player,201110090pit,pit,BrowAn04,rec_yds,23,,,,,
player,201110090pit,pit,BrowAn04,rec_td,0,,,,,
player,201110090pit,pit,BrowAn04,rec_long,17,,,,,
player,201110090pit,pit,BrowAn04,fumbles,0,,,,,
player,201110090pit,pit,BrowAn04,fumbles_lost,,,,,,
player,201110090pit,pit,WallMi00,pass_cmp,0,,,,,
player,201110090pit,pit,WallMi00,pass_att,0,,,,,
player,201110090pit,pit,WallMi00,pass_yds,0,,,,,
player,201110090pit,pit,WallMi00,pass_td,0,,,,,
player,201110090pit,pit,WallMi00,pass_int,0,,,,,
player,201110090pit,pit,WallMi00,pass_sacked,0,,,,,
player,201110090pit,pit,WallMi00,pass_sacked_yds,0,,,,,
player,201110090pit,pit,WallMi00,pass_long,0,,,,,
player,201110090pit,pit,WallMi00,pass_rating,,,,,,
player,201110090pit,pit,WallMi00,rush_att,1,,,,,
player,201110090pit,pit,WallMi00,rush_yds,8,,,,,
player,201110090pit,pit,WallMi00,rush_td,0,,,,,
player,201110090pit,pit,WallMi00,rush_long,8,,,,,
player,201110090pit,pit,WallMi00,targets,7,,,,,
player,201110090pit,pit,WallMi00,rec,6,,,,,
player,201110090pit,pit,WallMi00,rec_yds,82,,,,,
player,201110090pit,pit,WallMi00,rec_td,1,,,,,
player,201110090pit,pit,WallMi00,rec_long,40,,,,,
player,201110090pit,pit,WallMi00,fumbles,0,,,,,
player,201110090pit,pit,WallMi00,fumbles_lost,,,,,,
player,201110090pit,pit,WardHi00,pass_cmp,0,,,,,
player,201110090pit,pit,WardHi00,pass_att,0,,,,,
player,201110090pit,pit,WardHi00,pass_yds,0,,,,,
player,201110090pit,pit,WardHi00,pass_td,0,,,,,
player,201110090pit,pit,WardHi00,pass_int,0,,,,,
player,201110090pit,pit,WardHi00,pass_sacked,0,,,,,
player,201110090pit,pit,WardHi00,pass_sacked_yds,0,,,,,
player,201110090pit,pit,WardHi00,pass_long,0,,,,,
player,201110090pit,pit,WardHi00,pass_rating,,,,,,
player,201110090pit,pit,WardHi00,rush_att,0,,,,,
player,201110090pit,pit,WardHi00,rush_yds,0,,,,,
player,201110090pit,pit,WardHi00,rush_td,0,,,,,
player,201110090pit,pit,WardHi00,rush_long,0,,,,,
player,201110090pit,pit,WardHi00,targets,8,,,,,
player,201110090pit,pit,WardHi00,rec,7,,,,,
player,201110090pit,pit,WardHi00,rec_yds,54,,,,,
player,201110090pit,pit,WardHi00,rec_td,2,,,,,
player,201110090pit,pit,WardHi00,rec_long,16,,,,,
player,201110090pit,pit,WardHi00,fumbles,0,,,,,
player,201110090pit,pit,WardHi00,fumbles_lost,,,,,,
player,201110090pit,pit,MillHe00,pass_cmp,0,,,,,
player,201110090pit,pit,MillHe00,pass_att,0,,,,,
player,201110090pit,pit,MillHe00,pass_yds,0,,,,,
player,201110090pit,pit,MillHe00,pass_td,0,,,,,
player,201110090pit,pit,MillHe00,pass_int,0,,,,,
player,201110090pit,pit,MillHe00,pass_sacked,0,,,,,
player,201110090pit,pit,MillHe00,pass_sacked_yds,0,,,,,
player,201110090pit,pit,MillHe00,pass_long,0,,,,,
player,201110090pit,pit,MillHe00,pass_rating,,,,,,
player,201110090pit,pit,MillHe00,rush_att,0,,,,,
player,201110090pit,pit,MillHe00,rush_yds,0,,,,,
player,201110090pit,pit,MillHe00,rush_td,0,,,,,
player,201110090pit,pit,MillHe00,rush_long,0,,,,,
player,201110090pit,pit,MillHe00,targets,4,,,,,
player,201110090pit,pit,MillHe00,rec,3,,,,,
player,201110090pit,pit,MillHe00,rec_yds,46,,,,,
player,201110090pit,pit,MillHe00,rec_td,1,,,,,
player,201110090pit,pit,MillHe00,rec_long,20,,,,,
player,201110090pit,pit,MillHe00,fumbles,0,,,,,
player,201110090pit,pit,MillHe00,fumbles_lost,,,,,,
player,201110090pit,pit,MundRy00,pass_cmp,0,,,,,
player,201110090pit,pit,MundRy00,pass_att,0,,,,,
player,201110090pit,pit,MundRy00,pass_yds,0,,,,,
player,201110090pit,pit,MundRy00,pass_td,0,,,,,
player,201110090pit,pit,MundRy00,pass_int,0,,,,,
player,201110090pit,pit,MundRy00,pass_sacked,0,,,,,
player,201110090pit,pit,MundRy00,pass_sacked_yds,0,,,,,
player,201110090pit,pit,MundRy00,pass_long,0,,,,,
player,201110090pit,pit,MundRy00,pass_rating,,,,,,
player,201110090pit,pit,MundRy00,rush_att,0,,,,,
player,201110090pit,pit,MundRy00,rush_yds,0,,,,,
player,201110090pit,pit,MundRy00,rush_td,0,,,,,
player,201110090pit,pit,MundRy00,rush_long,0,,,,,
player,201110090pit,pit,MundRy00,targets,1,,,,,
player,201110090pit,pit,MundRy00,rec,1,,,,,
player,201110090pit,pit,MundRy00,rec_yds,33,,,,,
player,201110090pit,pit,MundRy00,rec_td,0,,,,,
player,201110090pit,pit,MundRy00,rec_long,33,,,,,
player,201110090pit,pit,MundRy00,fumbles,0,,,,,
player,201110090pit,pit,MundRy00,fumbles_lost,,,,,,
player,201110090pit,pit,JohnDa05,pass_cmp,0,,,,,
player,201110090pit,pit,JohnDa05,pass_att,0,,,,,
player,201110090pit,pit,JohnDa05,pass_yds,0,,,,,
player,201110090pit,pit,JohnDa05,pass_td,0,,,,,
player,201110090pit,pit,JohnDa05,pass_int,0,,,,,
player,201110090pit,pit,JohnDa05,pass_sacked,0,,,,,
player,201110090pit,pit,JohnDa05,pass_sacked_yds,0,,,,,
player,201110090pit,pit,JohnDa05,pass_long,0,,,,,
player,201110090pit,pit,JohnDa05,pass_rating,,,,,,
player,201110090pit,pit,JohnDa05,rush_att,0,,,,,
player,201110090pit,pit,JohnDa05,rush_yds,0,,,,,
player,201110090pit,pit,JohnDa05,rush_td,0,,,,,
player,201110090pit,pit,JohnDa05,rush_long,0,,,,,
player,201110090pit,pit,JohnDa05,targets,2,,,,,
player,201110090pit,pit,JohnDa05,rec,2,,,,,
player,201110090pit,pit,JohnDa05,rec_yds,5,,,,,
player,201110090pit,pit,JohnDa05,rec_td,1,,,,,
player,201110090pit,pit,JohnDa05,rec_long,4,,,,,
player,201110090pit,pit,JohnDa05,fumbles,0,,,,,
player,201110090pit,pit,JohnDa05,fumbles_lost,,,,,,
player,201110090pit,pit,SandEm00,pass_cmp,0,,,,,
player,201110090pit,pit,SandEm00,pass_att,0,,,,,
player,201110090pit,pit,SandEm00,pass_yds,0,,,,,
player,201110090pit,pit,SandEm00,pass_td,0,,,,,
player,201110090pit,pit,SandEm00,pass_int,0,,,,,
player,201110090pit,pit,SandEm00,pass_sacked,0,,,,,
player,201110090pit,pit,SandEm00,pass_sacked_yds,0,,,,,
player,201110090pit,pit,SandEm00,pass_long,0,,,,,
player,201110090pit,pit,SandEm00,pass_rating,,,,,,
player,201110090pit,pit,SandEm00,rush_att,0,,,,,
player,201110090pit,pit,SandEm00,rush_yds,0,,,,,
player,201110090pit,pit,SandEm00,rush_td,0,,,,,
player,201110090pit,pit,SandEm00,rush_long,0,,,,,
player,201110090pit,pit,SandEm00,targets,3,,,,,
player,201110090pit,pit,SandEm00,rec,0,,,,,
player,201110090pit,pit,SandEm00,rec_yds,0,,,,,
player,201110090pit,pit,SandEm00,rec_td,0,,,,,
player,201110090pit,pit,SandEm00,rec_long,0,,,,,
player,201110090pit,pit,SandEm00,fumbles,0,,,,,
player,201110090pit,pit,SandEm00,fumbles_lost,,,,,,
player,201110090pit,pit,SaunWe00,pass_cmp,0,,,,,
player,201110090pit,pit,SaunWe00,pass_att,0,,,,,
player,201110090pit,pit,SaunWe00,pass_yds,0,,,,,
player,201110090pit,pit,SaunWe00,pass_td,0,,,,,
player,201110090pit,pit,SaunWe00,pass_int,0,,,,,
player,201110090pit,pit,SaunWe00,pass_sacked,0,,,,,
player,201110090pit,pit,SaunWe00,pass_sacked_yds,0,,,,,
player,201110090pit,pit,SaunWe00,pass_long,0,,,,,
player,201110090pit,pit,SaunWe00,pass_rating,,,,,,
player,201110090pit,pit,SaunWe00,rush_att,0,,,,,
player,201110090pit,pit,SaunWe00,rush_yds,0,,,,,
player,201110090pit,pit,SaunWe00,rush_td,0,,,,,
player,201110090pit,pit,SaunWe00,rush_long,0,,,,,
player,201110090pit,pit,SaunWe00,targets,1,,,,,
player,201110090pit,pit,SaunWe00,rec,0,,,,,
