game,2011,11,20111120,201111200cle,jax,"Jacksonville Jaguars",10,cle,"Cleveland Browns",14
player,201111200cle,cle,OgboCh00,rec_long,14,,,,,
player,201111200cle,cle,OgboCh00,fumbles,0,,,,,
player,201111200cle,cle,OgboCh00,fumbles_lost,,,,,,
player,201111200cle,cle,ClayTh00,pass_cmp,0,,,,,
player,201111200cle,cle,ClayTh00,pass_att,0,,,,,
player,201111200cle,cle,ClayTh00,pass_yds,0,,,,,
player,201111200cle,cle,ClayTh00,pass_td,0,,,,,
player,201111200cle,cle,ClayTh00,pass_int,0,,,,,
player,201111200cle,cle,ClayTh00,pass_sacked,0,,,,,
player,201111200cle,cle,ClayTh00,pass_sacked_yds,0,,,,,
player,201111200cle,cle,ClayTh00,pass_long,0,,,,,
player,201111200cle,cle,ClayTh00,pass_rating,,,,,,
player,201111200cle,cle,ClayTh00,rush_att,1,,,,,
player,201111200cle,cle,ClayTh00,rush_yds,4,,,,,
player,201111200cle,cle,ClayTh00,rush_td,0,,,,,
player,201111200cle,cle,ClayTh00,rush_long,4,,,,,
player,201111200cle,cle,ClayTh00,targets,0,,,,,
player,201111200cle,cle,ClayTh00,rec,0,,,,,
player,201111200cle,cle,ClayTh00,rec_yds,0,,,,,
player,201111200cle,cle,ClayTh00,rec_td,0,,,,,
player,201111200cle,cle,ClayTh00,rec_long,0,,,,,
player,201111200cle,cle,ClayTh00,fumbles,0,,,,,
player,201111200cle,cle,ClayTh00,fumbles_lost,,,,,,
player,201111200cle,cle,CribJo01,pass_cmp,0,,,,,
player,201111200cle,cle,CribJo01,pass_att,0,,,,,
player,201111200cle,cle,CribJo01,pass_yds,0,,,,,
player,201111200cle,cle,CribJo01,pass_td,0,,,,,
player,201111200cle,cle,CribJo01,pass_int,0,,,,,
player,201111200cle,cle,CribJo01,pass_sacked,0,,,,,
player,201111200cle,cle,CribJo01,pass_sacked_yds,0,,,,,
player,201111200cle,cle,CribJo01,pass_long,0,,,,,
player,201111200cle,cle,CribJo01,pass_rating,,,,,,
player,201111200cle,cle,CribJo01,rush_att,1,,,,,
player,201111200cle,cle,CribJo01,rush_yds,2,,,,,
player,201111200cle,cle,CribJo01,rush_td,0,,,,,
player,201111200cle,cle,CribJo01,rush_long,2,,,,,
player,201111200cle,cle,CribJo01,targets,3,,,,,
player,201111200cle,cle,CribJo01,rec,3,,,,,
player,201111200cle,cle,CribJo01,rec_yds,20,,,,,
player,201111200cle,cle,CribJo01,rec_td,1,,,,,
player,201111200cle,cle,CribJo01,rec_long,13,,,,,
player,201111200cle,cle,CribJo01,fumbles,0,,,,,
player,201111200cle,cle,CribJo01,fumbles_lost,,,,,,
player,201111200cle,cle,LittGr00,pass_cmp,0,,,,,
player,201111200cle,cle,LittGr00,pass_att,0,,,,,
player,201111200cle,cle,LittGr00,pass_yds,0,,,,,
player,201111200cle,cle,LittGr00,pass_td,0,,,,,
player,201111200cle,cle,LittGr00,pass_int,0,,,,,
player,201111200cle,cle,LittGr00,pass_sacked,0,,,,,
player,201111200cle,cle,LittGr00,pass_sacked_yds,0,,,,,
player,201111200cle,cle,LittGr00,pass_long,0,,,,,
player,201111200cle,cle,LittGr00,pass_rating,,,,,,
player,201111200cle,cle,LittGr00,rush_att,0,,,,,
player,201111200cle,cle,LittGr00,rush_yds,0,,,,,
player,201111200cle,cle,LittGr00,rush_td,0,,,,,
player,201111200cle,cle,LittGr00,rush_long,0,,,,,
player,201111200cle,cle,LittGr00,targets,8,,,,,
player,201111200cle,cle,LittGr00,rec,5,,,,,
player,201111200cle,cle,LittGr00,rec_yds,59,,,,,
player,201111200cle,cle,LittGr00,rec_td,0,,,,,
player,201111200cle,cle,LittGr00,rec_long,22,,,,,
player,201111200cle,cle,LittGr00,fumbles,0,,,,,
player,201111200cle,cle,LittGr00,fumbles_lost,,,,,,
player,201111200cle,cle,NorwJo00,pass_cmp,0,,,,,
player,201111200cle,cle,NorwJo00,pass_att,0,,,,,
player,201111200cle,cle,NorwJo00,pass_yds,0,,,,,
player,201111200cle,cle,NorwJo00,pass_td,0,,,,,
player,201111200cle,cle,NorwJo00,pass_int,0,,,,,
player,201111200cle,cle,NorwJo00,pass_sacked,0,,,,,
player,201111200cle,cle,NorwJo00,pass_sacked_yds,0,,,,,
player,201111200cle,cle,NorwJo00,pass_long,0,,,,,
player,201111200cle,cle,NorwJo00,pass_rating,,,,,,
player,201111200cle,cle,NorwJo00,rush_att,0,,,,,
player,201111200cle,cle,NorwJo00,rush_yds,0,,,,,
player,201111200cle,cle,NorwJo00,rush_td,0,,,,,
player,201111200cle,cle,NorwJo00,rush_long,0,,,,,
player,201111200cle,cle,NorwJo00,targets,2,,,,,
player,201111200cle,cle,NorwJo00,rec,1,,,,,
player,201111200cle,cle,NorwJo00,rec_yds,51,,,,,
player,201111200cle,cle,NorwJo00,rec_td,0,,,,,
player,201111200cle,cle,NorwJo00,rec_long,51,,,,,
player,201111200cle,cle,NorwJo00,fumbles,0,,,,,
player,201111200cle,cle,NorwJo00,fumbles_lost,,,,,,
player,201111200cle,cle,MassMo00,pass_cmp,0,,,,,
player,201111200cle,cle,MassMo00,pass_att,0,,,,,
player,201111200cle,cle,MassMo00,pass_yds,0,,,,,
player,201111200cle,cle,MassMo00,pass_td,0,,,,,
player,201111200cle,cle,MassMo00,pass_int,0,,,,,
player,201111200cle,cle,MassMo00,pass_sacked,0,,,,,
player,201111200cle,cle,MassMo00,pass_sacked_yds,0,,,,,
player,201111200cle,cle,MassMo00,pass_long,0,,,,,
player,201111200cle,cle,MassMo00,pass_rating,,,,,,
player,201111200cle,cle,MassMo00,rush_att,0,,,,,
player,201111200cle,cle,MassMo00,rush_yds,0,,,,,
player,201111200cle,cle,MassMo00,rush_td,0,,,,,
player,201111200cle,cle,MassMo00,rush_long,0,,,,,
player,201111200cle,cle,MassMo00,targets,2,,,,,
player,201111200cle,cle,MassMo00,rec,2,,,,,
player,201111200cle,cle,MassMo00,rec_yds,19,,,,,
player,201111200cle,cle,MassMo00,rec_td,0,,,,,
player,201111200cle,cle,MassMo00,rec_long,13,,,,,
player,201111200cle,cle,MassMo00,fumbles,0,,,,,
player,201111200cle,cle,MassMo00,fumbles_lost,,,,,,
player,201111200cle,cle,WatsBe00,pass_cmp,0,,,,,
player,201111200cle,cle,WatsBe00,pass_att,0,,,,,
player,201111200cle,cle,WatsBe00,pass_yds,0,,,,,
player,201111200cle,cle,WatsBe00,pass_td,0,,,,,
player,201111200cle,cle,WatsBe00,pass_int,0,,,,,
player,201111200cle,cle,WatsBe00,pass_sacked,0,,,,,
player,201111200cle,cle,WatsBe00,pass_sacked_yds,0,,,,,
player,201111200cle,cle,WatsBe00,pass_long,0,,,,,
player,201111200cle,cle,WatsBe00,pass_rating,,,,,,
player,201111200cle,cle,WatsBe00,rush_att,0,,,,,
player,201111200cle,cle,WatsBe00,rush_yds,0,,,,,
player,201111200cle,cle,WatsBe00,rush_td,0,,,,,
player,201111200cle,cle,WatsBe00,rush_long,0,,,,,
player,201111200cle,cle,WatsBe00,targets,4,,,,,
player,201111200cle,cle,WatsBe00,rec,2,,,,,
player,201111200cle,cle,WatsBe00,rec_yds,18,,,,,
player,201111200cle,cle,WatsBe00,rec_td,0,,,,,
player,201111200cle,cle,WatsBe00,rec_long,10,,,,,
player,201111200cle,cle,WatsBe00,fumbles,0,,,,,
player,201111200cle,cle,WatsBe00,fumbles_lost,,,,,,
player,201111200cle,cle,MareOw00,pass_cmp,0,,,,,
player,201111200cle,cle,MareOw00,pass_att,0,,,,,
