game,2011,3,20110925,201109250ram,rav,"Baltimore Ravens",37,ram,"St. Louis Rams",7
player,201109250ram,rav,WillRi00,rush_td,0,,,,,
player,201109250ram,rav,WillRi00,rush_long,28,,,,,
player,201109250ram,rav,WillRi00,targets,1,,,,,
player,201109250ram,rav,WillRi00,rec,1,,,,,
player,201109250ram,rav,WillRi00,rec_yds,11,,,,,
player,201109250ram,rav,WillRi00,rec_td,0,,,,,
player,201109250ram,rav,WillRi00,rec_long,11,,,,,
player,201109250ram,rav,WillRi00,fumbles,0,,,,,
player,201109250ram,rav,WillRi00,fumbles_lost,,,,,,
player,201109250ram,rav,SmitTo02,pass_cmp,0,,,,,
player,201109250ram,rav,SmitTo02,pass_att,0,,,,,
player,201109250ram,rav,SmitTo02,pass_yds,0,,,,,
player,201109250ram,rav,SmitTo02,pass_td,0,,,,,
player,201109250ram,rav,SmitTo02,pass_int,0,,,,,
player,201109250ram,rav,SmitTo02,pass_sacked,0,,,,,
player,201109250ram,rav,SmitTo02,pass_sacked_yds,0,,,,,
player,201109250ram,rav,SmitTo02,pass_long,0,,,,,
player,201109250ram,rav,SmitTo02,pass_rating,,,,,,
player,201109250ram,rav,SmitTo02,rush_att,1,,,,,
player,201109250ram,rav,SmitTo02,rush_yds,10,,,,,
player,201109250ram,rav,SmitTo02,rush_td,0,,,,,
player,201109250ram,rav,SmitTo02,rush_long,10,,,,,
player,201109250ram,rav,SmitTo02,targets,8,,,,,
player,201109250ram,rav,SmitTo02,rec,5,,,,,
player,201109250ram,rav,SmitTo02,rec_yds,152,,,,,
player,201109250ram,rav,SmitTo02,rec_td,3,,,,,
player,201109250ram,rav,SmitTo02,rec_long,74,,,,,
player,201109250ram,rav,SmitTo02,fumbles,0,,,,,
player,201109250ram,rav,SmitTo02,fumbles_lost,,,,,,
player,201109250ram,rav,AlleAn01,pass_cmp,0,,,,,
player,201109250ram,rav,AlleAn01,pass_att,0,,,,,
player,201109250ram,rav,AlleAn01,pass_yds,0,,,,,
player,201109250ram,rav,AlleAn01,pass_td,0,,,,,
player,201109250ram,rav,AlleAn01,pass_int,0,,,,,
player,201109250ram,rav,AlleAn01,pass_sacked,0,,,,,
player,201109250ram,rav,AlleAn01,pass_sacked_yds,0,,,,,
player,201109250ram,rav,AlleAn01,pass_long,0,,,,,
player,201109250ram,rav,AlleAn01,pass_rating,,,,,,
player,201109250ram,rav,AlleAn01,rush_att,3,,,,,
player,201109250ram,rav,AlleAn01,rush_yds,8,,,,,
player,201109250ram,rav,AlleAn01,rush_td,0,,,,,
player,201109250ram,rav,AlleAn01,rush_long,3,,,,,
player,201109250ram,rav,AlleAn01,targets,0,,,,,
player,201109250ram,rav,AlleAn01,rec,0,,,,,
player,201109250ram,rav,AlleAn01,rec_yds,0,,,,,
player,201109250ram,rav,AlleAn01,rec_td,0,,,,,
player,201109250ram,rav,AlleAn01,rec_long,0,,,,,
player,201109250ram,rav,AlleAn01,fumbles,0,,,,,
player,201109250ram,rav,AlleAn01,fumbles_lost,,,,,,
player,201109250ram,rav,BoldAn00,pass_cmp,0,,,,,
player,201109250ram,rav,BoldAn00,pass_att,0,,,,,
player,201109250ram,rav,BoldAn00,pass_yds,0,,,,,
player,201109250ram,rav,BoldAn00,pass_td,0,,,,,
player,201109250ram,rav,BoldAn00,pass_int,0,,,,,
player,201109250ram,rav,BoldAn00,pass_sacked,0,,,,,
player,201109250ram,rav,BoldAn00,pass_sacked_yds,0,,,,,
player,201109250ram,rav,BoldAn00,pass_long,0,,,,,
player,201109250ram,rav,BoldAn00,pass_rating,,,,,,
player,201109250ram,rav,BoldAn00,rush_att,0,,,,,
player,201109250ram,rav,BoldAn00,rush_yds,0,,,,,
player,201109250ram,rav,BoldAn00,rush_td,0,,,,,
player,201109250ram,rav,BoldAn00,rush_long,0,,,,,
player,201109250ram,rav,BoldAn00,targets,14,,,,,
player,201109250ram,rav,BoldAn00,rec,7,,,,,
player,201109250ram,rav,BoldAn00,rec_yds,74,,,,,
player,201109250ram,rav,BoldAn00,rec_td,0,,,,,
player,201109250ram,rav,BoldAn00,rec_long,21,,,,,
player,201109250ram,rav,BoldAn00,fumbles,0,,,,,
player,201109250ram,rav,BoldAn00,fumbles_lost,,,,,,
player,201109250ram,rav,DickEd00,pass_cmp,0,,,,,
player,201109250ram,rav,DickEd00,pass_att,0,,,,,
player,201109250ram,rav,DickEd00,pass_yds,0,,,,,
player,201109250ram,rav,DickEd00,pass_td,0,,,,,
player,201109250ram,rav,DickEd00,pass_int,0,,,,,
player,201109250ram,rav,DickEd00,pass_sacked,0,,,,,
player,201109250ram,rav,DickEd00,pass_sacked_yds,0,,,,,
player,201109250ram,rav,DickEd00,pass_long,0,,,,,
player,201109250ram,rav,DickEd00,pass_rating,,,,,,
player,201109250ram,rav,DickEd00,rush_att,0,,,,,
player,201109250ram,rav,DickEd00,rush_yds,0,,,,,
player,201109250ram,rav,DickEd00,rush_td,0,,,,,
player,201109250ram,rav,DickEd00,rush_long,0,,,,,
player,201109250ram,rav,DickEd00,targets,9,,,,,
player,201109250ram,rav,DickEd00,rec,5,,,,,
player,201109250ram,rav,DickEd00,rec_yds,51,,,,,
player,201109250ram,rav,DickEd00,rec_td,0,,,,,
player,201109250ram,rav,DickEd00,rec_long,19,,,,,
player,201109250ram,rav,DickEd00,fumbles,0,,,,,
player,201109250ram,rav,DickEd00,fumbles_lost,,,,,,
player,201109250ram,rav,LeacVo00,pass_cmp,0,,,,,
player,201109250ram,rav,LeacVo00,pass_att,0,,,,,
player,201109250ram,rav,LeacVo00,pass_yds,0,,,,,
player,201109250ram,rav,LeacVo00,pass_td,0,,,,,
player,201109250ram,rav,LeacVo00,pass_int,0,,,,,
player,201109250ram,rav,LeacVo00,pass_sacked,0,,,,,
player,201109250ram,rav,LeacVo00,pass_sacked_yds,0,,,,,
player,201109250ram,rav,LeacVo00,pass_long,0,,,,,
player,201109250ram,rav,LeacVo00,pass_rating,,,,,,
player,201109250ram,rav,LeacVo00,rush_att,0,,,,,
player,201109250ram,rav,LeacVo00,rush_yds,0,,,,,
player,201109250ram,rav,LeacVo00,rush_td,0,,,,,
player,201109250ram,rav,LeacVo00,rush_long,0,,,,,
player,201109250ram,rav,LeacVo00,targets,4,,,,,
player,201109250ram,rav,LeacVo00,rec,3,,,,,
player,201109250ram,rav,LeacVo00,rec_yds,11,,,,,
player,201109250ram,rav,LeacVo00,rec_td,0,,,,,
player,201109250ram,rav,LeacVo00,rec_long,7,,,,,
player,201109250ram,rav,LeacVo00,fumbles,0,,,,,
player,201109250ram,rav,LeacVo00,fumbles_lost,,,,,,
player,201109250ram,rav,WillLa01,pass_cmp,0,,,,,
player,201109250ram,rav,WillLa01,pass_att,0,,,,,
player,201109250ram,rav,WillLa01,pass_yds,0,,,,,
player,201109250ram,rav,WillLa01,pass_td,0,,,,,
player,201109250ram,rav,WillLa01,pass_int,0,,,,,
player,201109250ram,rav,WillLa01,pass_sacked,0,,,,,
player,201109250ram,rav,WillLa01,pass_sacked_yds,0,,,,,
player,201109250ram,rav,WillLa01,pass_long,0,,,,,
player,201109250ram,rav,WillLa01,pass_rating,,,,,,
player,201109250ram,rav,WillLa01,rush_att,0,,,,,
player,201109250ram,rav,WillLa01,rush_yds,0,,,,,
player,201109250ram,rav,WillLa01,rush_td,0,,,,,
player,201109250ram,rav,WillLa01,rush_long,0,,,,,
player,201109250ram,rav,WillLa01,targets,3,,,,,
player,201109250ram,rav,WillLa01,rec,1,,,,,
player,201109250ram,rav,WillLa01,rec_yds,7,,,,,
player,201109250ram,rav,WillLa01,rec_td,0,,,,,
player,201109250ram,rav,WillLa01,rec_long,7,,,,,
player,201109250ram,rav,WillLa01,fumbles,1,,,,,
player,201109250ram,rav,WillLa01,fumbles_lost,0,,,,,
player,201109250ram,rav,PittDe00,pass_cmp,0,,,,,
player,201109250ram,rav,PittDe00,pass_att,0,,,,,
player,201109250ram,rav,PittDe00,pass_yds,0,,,,,
player,201109250ram,rav,PittDe00,pass_td,0,,,,,
player,201109250ram,rav,PittDe00,pass_int,0,,,,,
player,201109250ram,rav,PittDe00,pass_sacked,0,,,,,
player,201109250ram,rav,PittDe00,pass_sacked_yds,0,,,,,
player,201109250ram,rav,PittDe00,pass_long,0,,,,,
player,201109250ram,rav,PittDe00,pass_rating,,,,,,
player,201109250ram,rav,PittDe00,rush_att,0,,,,,
player,201109250ram,rav,PittDe00,rush_yds,0,,,,,
player,201109250ram,rav,PittDe00,rush_td,0,,,,,
player,201109250ram,rav,PittDe00,rush_long,0,,,,,
player,201109250ram,rav,PittDe00,targets,1,,,,,
player,201109250ram,rav,PittDe00,rec,0,,,,,
player,201109250ram,rav,PittDe00,rec_yds,0,,,,,
player,201109250ram,rav,PittDe00,rec_td,0,,,,,
player,201109250ram,rav,PittDe00,rec_long,0,,,,,
player,201109250ram,rav,PittDe00,fumbles,0,,,,,
player,201109250ram,rav,PittDe00,fumbles_lost,,,,,,
player,201109250ram,rav,DossTa00,pass_cmp,0,,,,,
player,201109250ram,rav,DossTa00,pass_att,0,,,,,
player,201109250ram,rav,DossTa00,pass_yds,0,,,,,
