game,2011,17,20120101,201201010cin,rav,"Baltimore Ravens",24,cin,"Cincinnati Bengals",16
player,201201010cin,cin,DaltAn00,pass_int,0,,,,,
player,201201010cin,cin,DaltAn00,pass_sacked,1,,,,,
player,201201010cin,cin,DaltAn00,pass_sacked_yds,1,,,,,
player,201201010cin,cin,DaltAn00,pass_long,31,,,,,
player,201201010cin,cin,DaltAn00,pass_rating,65.7,,,,,
player,201201010cin,cin,DaltAn00,rush_att,4,,,,,
player,201201010cin,cin,DaltAn00,rush_yds,17,,,,,
player,201201010cin,cin,DaltAn00,rush_td,0,,,,,
player,201201010cin,cin,DaltAn00,rush_long,13,,,,,
player,201201010cin,cin,DaltAn00,targets,0,,,,,
player,201201010cin,cin,DaltAn00,rec,0,,,,,
player,201201010cin,cin,DaltAn00,rec_yds,0,,,,,
player,201201010cin,cin,DaltAn00,rec_td,0,,,,,
player,201201010cin,cin,DaltAn00,rec_long,0,,,,,
player,201201010cin,cin,DaltAn00,fumbles,0,,,,,
player,201201010cin,cin,DaltAn00,fumbles_lost,,,,,,
player,201201010cin,cin,BensCe00,pass_cmp,0,,,,,
player,201201010cin,cin,BensCe00,pass_att,0,,,,,
player,201201010cin,cin,BensCe00,pass_yds,0,,,,,
player,201201010cin,cin,BensCe00,pass_td,0,,,,,
player,201201010cin,cin,BensCe00,pass_int,0,,,,,
player,201201010cin,cin,BensCe00,pass_sacked,0,,,,,
player,201201010cin,cin,BensCe00,pass_sacked_yds,0,,,,,
player,201201010cin,cin,BensCe00,pass_long,0,,,,,
player,201201010cin,cin,BensCe00,pass_rating,,,,,,
player,201201010cin,cin,BensCe00,rush_att,13,,,,,
player,201201010cin,cin,BensCe00,rush_yds,51,,,,,
player,201201010cin,cin,BensCe00,rush_td,0,,,,,
player,201201010cin,cin,BensCe00,rush_long,12,,,,,
player,201201010cin,cin,BensCe00,targets,3,,,,,
player,201201010cin,cin,BensCe00,rec,2,,,,,
player,201201010cin,cin,BensCe00,rec_yds,10,,,,,
player,201201010cin,cin,BensCe00,rec_td,0,,,,,
player,201201010cin,cin,BensCe00,rec_long,6,,,,,
player,201201010cin,cin,BensCe00,fumbles,0,,,,,
player,201201010cin,cin,BensCe00,fumbles_lost,,,,,,
player,201201010cin,cin,ScotBe00,pass_cmp,0,,,,,
player,201201010cin,cin,ScotBe00,pass_att,0,,,,,
player,201201010cin,cin,ScotBe00,pass_yds,0,,,,,
player,201201010cin,cin,ScotBe00,pass_td,0,,,,,
player,201201010cin,cin,ScotBe00,pass_int,0,,,,,
player,201201010cin,cin,ScotBe00,pass_sacked,0,,,,,
player,201201010cin,cin,ScotBe00,pass_sacked_yds,0,,,,,
player,201201010cin,cin,ScotBe00,pass_long,0,,,,,
player,201201010cin,cin,ScotBe00,pass_rating,,,,,,
player,201201010cin,cin,ScotBe00,rush_att,6,,,,,
player,201201010cin,cin,ScotBe00,rush_yds,34,,,,,
player,201201010cin,cin,ScotBe00,rush_td,1,,,,,
player,201201010cin,cin,ScotBe00,rush_long,25,,,,,
player,201201010cin,cin,ScotBe00,targets,2,,,,,
player,201201010cin,cin,ScotBe00,rec,1,,,,,
player,201201010cin,cin,ScotBe00,rec_yds,8,,,,,
player,201201010cin,cin,ScotBe00,rec_td,0,,,,,
player,201201010cin,cin,ScotBe00,rec_long,8,,,,,
player,201201010cin,cin,ScotBe00,fumbles,0,,,,,
player,201201010cin,cin,ScotBe00,fumbles_lost,,,,,,
player,201201010cin,cin,HawkAn00,pass_cmp,0,,,,,
player,201201010cin,cin,HawkAn00,pass_att,0,,,,,
player,201201010cin,cin,HawkAn00,pass_yds,0,,,,,
player,201201010cin,cin,HawkAn00,pass_td,0,,,,,
player,201201010cin,cin,HawkAn00,pass_int,0,,,,,
player,201201010cin,cin,HawkAn00,pass_sacked,0,,,,,
player,201201010cin,cin,HawkAn00,pass_sacked_yds,0,,,,,
player,201201010cin,cin,HawkAn00,pass_long,0,,,,,
player,201201010cin,cin,HawkAn00,pass_rating,,,,,,
player,201201010cin,cin,HawkAn00,rush_att,1,,,,,
player,201201010cin,cin,HawkAn00,rush_yds,3,,,,,
player,201201010cin,cin,HawkAn00,rush_td,0,,,,,
player,201201010cin,cin,HawkAn00,rush_long,3,,,,,
player,201201010cin,cin,HawkAn00,targets,4,,,,,
player,201201010cin,cin,HawkAn00,rec,3,,,,,
player,201201010cin,cin,HawkAn00,rec_yds,34,,,,,
player,201201010cin,cin,HawkAn00,rec_td,0,,,,,
player,201201010cin,cin,HawkAn00,rec_long,26,,,,,
player,201201010cin,cin,HawkAn00,fumbles,0,,,,,
player,201201010cin,cin,HawkAn00,fumbles_lost,,,,,,
player,201201010cin,cin,GresJe00,pass_cmp,0,,,,,
player,201201010cin,cin,GresJe00,pass_att,0,,,,,
player,201201010cin,cin,GresJe00,pass_yds,0,,,,,
player,201201010cin,cin,GresJe00,pass_td,0,,,,,
player,201201010cin,cin,GresJe00,pass_int,0,,,,,
player,201201010cin,cin,GresJe00,pass_sacked,0,,,,,
player,201201010cin,cin,GresJe00,pass_sacked_yds,0,,,,,
player,201201010cin,cin,GresJe00,pass_long,0,,,,,
player,201201010cin,cin,GresJe00,pass_rating,,,,,,
player,201201010cin,cin,GresJe00,rush_att,0,,,,,
player,201201010cin,cin,GresJe00,rush_yds,0,,,,,
player,201201010cin,cin,GresJe00,rush_td,0,,,,,
player,201201010cin,cin,GresJe00,rush_long,0,,,,,
player,201201010cin,cin,GresJe00,targets,5,,,,,
player,201201010cin,cin,GresJe00,rec,5,,,,,
player,201201010cin,cin,GresJe00,rec_yds,72,,,,,
player,201201010cin,cin,GresJe00,rec_td,0,,,,,
player,201201010cin,cin,GresJe00,rec_long,31,,,,,
player,201201010cin,cin,GresJe00,fumbles,1,,,,,
player,201201010cin,cin,GresJe00,fumbles_lost,1,,,,,
player,201201010cin,cin,SimpJe00,pass_cmp,0,,,,,
player,201201010cin,cin,SimpJe00,pass_att,0,,,,,
player,201201010cin,cin,SimpJe00,pass_yds,0,,,,,
player,201201010cin,cin,SimpJe00,pass_td,0,,,,,
player,201201010cin,cin,SimpJe00,pass_int,0,,,,,
player,201201010cin,cin,SimpJe00,pass_sacked,0,,,,,
player,201201010cin,cin,SimpJe00,pass_sacked_yds,0,,,,,
player,201201010cin,cin,SimpJe00,pass_long,0,,,,,
player,201201010cin,cin,SimpJe00,pass_rating,,,,,,
player,201201010cin,cin,SimpJe00,rush_att,0,,,,,
player,201201010cin,cin,SimpJe00,rush_yds,0,,,,,
player,201201010cin,cin,SimpJe00,rush_td,0,,,,,
player,201201010cin,cin,SimpJe00,rush_long,0,,,,,
player,201201010cin,cin,SimpJe00,targets,10,,,,,
player,201201010cin,cin,SimpJe00,rec,5,,,,,
player,201201010cin,cin,SimpJe00,rec_yds,54,,,,,
player,201201010cin,cin,SimpJe00,rec_td,0,,,,,
player,201201010cin,cin,SimpJe00,rec_long,23,,,,,
player,201201010cin,cin,SimpJe00,fumbles,0,,,,,
player,201201010cin,cin,SimpJe00,fumbles_lost,,,,,,
player,201201010cin,cin,GreeA.00,pass_cmp,0,,,,,
player,201201010cin,cin,GreeA.00,pass_att,0,,,,,
player,201201010cin,cin,GreeA.00,pass_yds,0,,,,,
player,201201010cin,cin,GreeA.00,pass_td,0,,,,,
player,201201010cin,cin,GreeA.00,pass_int,0,,,,,
player,201201010cin,cin,GreeA.00,pass_sacked,0,,,,,
player,201201010cin,cin,GreeA.00,pass_sacked_yds,0,,,,,
player,201201010cin,cin,GreeA.00,pass_long,0,,,,,
player,201201010cin,cin,GreeA.00,pass_rating,,,,,,
player,201201010cin,cin,GreeA.00,rush_att,0,,,,,
player,201201010cin,cin,GreeA.00,rush_yds,0,,,,,
player,201201010cin,cin,GreeA.00,rush_td,0,,,,,
player,201201010cin,cin,GreeA.00,rush_long,0,,,,,
player,201201010cin,cin,GreeA.00,targets,9,,,,,
player,201201010cin,cin,GreeA.00,rec,2,,,,,
player,201201010cin,cin,GreeA.00,rec_yds,26,,,,,
player,201201010cin,cin,GreeA.00,rec_td,0,,,,,
player,201201010cin,cin,GreeA.00,rec_long,18,,,,,
player,201201010cin,cin,GreeA.00,fumbles,0,,,,,
player,201201010cin,cin,GreeA.00,fumbles_lost,,,,,,
player,201201010cin,cin,LeonBr00,pass_cmp,0,,,,,
player,201201010cin,cin,LeonBr00,pass_att,0,,,,,
player,201201010cin,cin,LeonBr00,pass_yds,0,,,,,
player,201201010cin,cin,LeonBr00,pass_td,0,,,,,
player,201201010cin,cin,LeonBr00,pass_int,0,,,,,
player,201201010cin,cin,LeonBr00,pass_sacked,0,,,,,
player,201201010cin,cin,LeonBr00,pass_sacked_yds,0,,,,,
player,201201010cin,cin,LeonBr00,pass_long,0,,,,,
player,201201010cin,cin,LeonBr00,pass_rating,,,,,,
player,201201010cin,cin,LeonBr00,rush_att,0,,,,,
player,201201010cin,cin,LeonBr00,rush_yds,0,,,,,
player,201201010cin,cin,LeonBr00,rush_td,0,,,,,
player,201201010cin,cin,LeonBr00,rush_long,0,,,,,
player,201201010cin,cin,LeonBr00,targets,5,,,,,
player,201201010cin,cin,LeonBr00,rec,2,,,,,
player,201201010cin,cin,LeonBr00,rec_yds,19,,,,,
player,201201010cin,cin,LeonBr00,rec_td,0,,,,,
player,201201010cin,cin,LeonBr00,rec_long,16,,,,,
player,201201010cin,cin,LeonBr00,fumbles,0,,,,,
player,201201010cin,cin,LeonBr00,fumbles_lost,,,,,,
player,201201010cin,cin,LeexDo00,pass_cmp,0,,,,,
player,201201010cin,cin,LeexDo00,pass_att,0,,,,,
player,201201010cin,cin,LeexDo00,pass_yds,0,,,,,
player,201201010cin,cin,LeexDo00,pass_td,0,,,,,
player,201201010cin,cin,LeexDo00,pass_int,0,,,,,
player,201201010cin,cin,LeexDo00,pass_sacked,0,,,,,
player,201201010cin,cin,LeexDo00,pass_sacked_yds,0,,,,,
player,201201010cin,cin,LeexDo00,pass_long,0,,,,,
player,201201010cin,cin,LeexDo00,pass_rating,,,,,,
player,201201010cin,cin,LeexDo00,rush_att,0,,,,,
player,201201010cin,cin,LeexDo00,rush_yds,0,,,,,
player,201201010cin,cin,LeexDo00,rush_td,0,,,,,
player,201201010cin,cin,LeexDo00,rush_long,0,,,,,
player,201201010cin,cin,LeexDo00,targets,3,,,,,
player,201201010cin,cin,LeexDo00,rec,2,,,,,
player,201201010cin,cin,LeexDo00,rec_yds,9,,,,,
player,201201010cin,cin,LeexDo00,rec_td,0,,,,,
player,201201010cin,cin,LeexDo00,rec_long,6,,,,,
player,201201010cin,cin,LeexDo00,fumbles,0,,,,,
player,201201010cin,cin,LeexDo00,fumbles_lost,,,,,,
player,201201010cin,cin,WhalRy00,pass_cmp,0,,,,,
player,201201010cin,cin,WhalRy00,pass_att,0,,,,,
player,201201010cin,cin,WhalRy00,pass_yds,0,,,,,
player,201201010cin,cin,WhalRy00,pass_td,0,,,,,
player,201201010cin,cin,WhalRy00,pass_int,0,,,,,
player,201201010cin,cin,WhalRy00,pass_sacked,0,,,,,
player,201201010cin,cin,WhalRy00,pass_sacked_yds,0,,,,,
player,201201010cin,cin,WhalRy00,pass_long,0,,,,,
player,201201010cin,cin,WhalRy00,pass_rating,,,,,,
player,201201010cin,cin,WhalRy00,rush_att,0,,,,,
player,201201010cin,cin,WhalRy00,rush_yds,0,,,,,
player,201201010cin,cin,WhalRy00,rush_td,0,,,,,
player,201201010cin,cin,WhalRy00,rush_long,0,,,,,
player,201201010cin,cin,WhalRy00,targets,1,,,,,
player,201201010cin,cin,WhalRy00,rec,0,,,,,
player,201201010cin,cin,WhalRy00,rec_yds,0,,,,,
player,201201010cin,cin,WhalRy00,rec_td,0,,,,,
player,201201010cin,cin,WhalRy00,rec_long,0,,,,,
player,201201010cin,cin,WhalRy00,fumbles,0,,,,,
player,201201010cin,cin,WhalRy00,fumbles_lost,,,,,,
player,201201010cin,rav,SuggTe99,def_int,0,,,,,
player,201201010cin,rav,SuggTe99,def_int_yds,0,,,,,
player,201201010cin,rav,SuggTe99,def_int_td,0,,,,,
player,201201010cin,rav,SuggTe99,def_int_long,0,,,,,
player,201201010cin,rav,SuggTe99,pass_defended,1,,,,,
player,201201010cin,rav,SuggTe99,sacks,1.0,,,,,
player,201201010cin,rav,SuggTe99,tackles_combined,6,,,,,
player,201201010cin,rav,SuggTe99,tackles_solo,4,,,,,
player,201201010cin,rav,SuggTe99,tackles_assists,2,,,,,
player,201201010cin,rav,SuggTe99,tackles_loss,1,,,,,
player,201201010cin,rav,SuggTe99,qb_hits,2,,,,,
player,201201010cin,rav,SuggTe99,fumbles_rec,0,,,,,
player,201201010cin,rav,SuggTe99,fumbles_rec_yds,0,,,,,
player,201201010cin,rav,SuggTe99,fumbles_rec_td,0,,,,,
player,201201010cin,rav,SuggTe99,fumbles_forced,1,,,,,
player,201201010cin,rav,LewiRa00,def_int,0,,,,,
player,201201010cin,rav,LewiRa00,def_int_yds,0,,,,,
player,201201010cin,rav,LewiRa00,def_int_td,0,,,,,
player,201201010cin,rav,LewiRa00,def_int_long,0,,,,,
player,201201010cin,rav,LewiRa00,pass_defended,1,,,,,
player,201201010cin,rav,LewiRa00,sacks,0.0,,,,,
player,201201010cin,rav,LewiRa00,tackles_combined,7,,,,,
player,201201010cin,rav,LewiRa00,tackles_solo,5,,,,,
player,201201010cin,rav,LewiRa00,tackles_assists,2,,,,,
player,201201010cin,rav,LewiRa00,tackles_loss,0,,,,,
player,201201010cin,rav,LewiRa00,qb_hits,0,,,,,
player,201201010cin,rav,LewiRa00,fumbles_rec,0,,,,,
player,201201010cin,rav,LewiRa00,fumbles_rec_yds,0,,,,,
player,201201010cin,rav,LewiRa00,fumbles_rec_td,0,,,,,
player,201201010cin,rav,LewiRa00,fumbles_forced,0,,,,,
player,201201010cin,rav,McClJa01,def_int,0,,,,,
player,201201010cin,rav,McClJa01,def_int_yds,0,,,,,
player,201201010cin,rav,McClJa01,def_int_td,0,,,,,
player,201201010cin,rav,McClJa01,def_int_long,0,,,,,
player,201201010cin,rav,McClJa01,pass_defended,0,,,,,
player,201201010cin,rav,McClJa01,sacks,0.0,,,,,
player,201201010cin,rav,McClJa01,tackles_combined,7,,,,,
player,201201010cin,rav,McClJa01,tackles_solo,1,,,,,
player,201201010cin,rav,McClJa01,tackles_assists,6,,,,,
player,201201010cin,rav,McClJa01,tackles_loss,0,,,,,
player,201201010cin,rav,McClJa01,qb_hits,0,,,,,
player,201201010cin,rav,McClJa01,fumbles_rec,0,,,,,
player,201201010cin,rav,McClJa01,fumbles_rec_yds,0,,,,,
player,201201010cin,rav,McClJa01,fumbles_rec_td,0,,,,,
player,201201010cin,rav,McClJa01,fumbles_forced,0,,,,,
player,201201010cin,rav,WillCa99,def_int,0,,,,,
player,201201010cin,rav,WillCa99,def_int_yds,0,,,,,
player,201201010cin,rav,WillCa99,def_int_td,0,,,,,
player,201201010cin,rav,WillCa99,def_int_long,0,,,,,
player,201201010cin,rav,WillCa99,pass_defended,3,,,,,
player,201201010cin,rav,WillCa99,sacks,0.0,,,,,
player,201201010cin,rav,WillCa99,tackles_combined,6,,,,,
player,201201010cin,rav,WillCa99,tackles_solo,6,,,,,
player,201201010cin,rav,WillCa99,tackles_assists,0,,,,,
player,201201010cin,rav,WillCa99,tackles_loss,0,,,,,
player,201201010cin,rav,WillCa99,qb_hits,0,,,,,
player,201201010cin,rav,WillCa99,fumbles_rec,0,,,,,
player,201201010cin,rav,WillCa99,fumbles_rec_yds,0,,,,,
player,201201010cin,rav,WillCa99,fumbles_rec_td,0,,,,,
player,201201010cin,rav,WillCa99,fumbles_forced,0,,,,,
player,201201010cin,rav,PollBe20,def_int,0,,,,,
player,201201010cin,rav,PollBe20,def_int_yds,0,,,,,
player,201201010cin,rav,PollBe20,def_int_td,0,,,,,
player,201201010cin,rav,PollBe20,def_int_long,0,,,,,
player,201201010cin,rav,PollBe20,pass_defended,2,,,,,
player,201201010cin,rav,PollBe20,sacks,0.0,,,,,
player,201201010cin,rav,PollBe20,tackles_combined,5,,,,,
player,201201010cin,rav,PollBe20,tackles_solo,4,,,,,
player,201201010cin,rav,PollBe20,tackles_assists,1,,,,,
player,201201010cin,rav,PollBe20,tackles_loss,0,,,,,
player,201201010cin,rav,PollBe20,qb_hits,0,,,,,
player,201201010cin,rav,PollBe20,fumbles_rec,1,,,,,
