game,2011,16,20111224,201112240oti,jax,"Jacksonville Jaguars",17,oti,"Tennessee Titans",23
player,201112240oti,jax,WestCh00,pass_yds,0,,,,,
player,201112240oti,jax,WestCh00,pass_td,0,,,,,
player,201112240oti,jax,WestCh00,pass_int,0,,,,,
player,201112240oti,jax,WestCh00,pass_sacked,0,,,,,
player,201112240oti,jax,WestCh00,pass_sacked_yds,0,,,,,
player,201112240oti,jax,WestCh00,pass_long,0,,,,,
player,201112240oti,jax,WestCh00,pass_rating,,,,,,
player,201112240oti,jax,WestCh00,rush_att,0,,,,,
player,201112240oti,jax,WestCh00,rush_yds,0,,,,,
player,201112240oti,jax,WestCh00,rush_td,0,,,,,
player,201112240oti,jax,WestCh00,rush_long,0,,,,,
player,201112240oti,jax,WestCh00,targets,4,,,,,
player,201112240oti,jax,WestCh00,rec,1,,,,,
player,201112240oti,jax,WestCh00,rec_yds,14,,,,,
player,201112240oti,jax,WestCh00,rec_td,0,,,,,
player,201112240oti,jax,WestCh00,rec_long,14,,,,,
player,201112240oti,jax,WestCh00,fumbles,0,,,,,
player,201112240oti,jax,WestCh00,fumbles_lost,,,,,,
player,201112240oti,jax,LewiMa00,pass_cmp,0,,,,,
player,201112240oti,jax,LewiMa00,pass_att,0,,,,,
player,201112240oti,jax,LewiMa00,pass_yds,0,,,,,
player,201112240oti,jax,LewiMa00,pass_td,0,,,,,
player,201112240oti,jax,LewiMa00,pass_int,0,,,,,
player,201112240oti,jax,LewiMa00,pass_sacked,0,,,,,
player,201112240oti,jax,LewiMa00,pass_sacked_yds,0,,,,,
player,201112240oti,jax,LewiMa00,pass_long,0,,,,,
player,201112240oti,jax,LewiMa00,pass_rating,,,,,,
player,201112240oti,jax,LewiMa00,rush_att,0,,,,,
player,201112240oti,jax,LewiMa00,rush_yds,0,,,,,
player,201112240oti,jax,LewiMa00,rush_td,0,,,,,
player,201112240oti,jax,LewiMa00,rush_long,0,,,,,
player,201112240oti,jax,LewiMa00,targets,3,,,,,
player,201112240oti,jax,LewiMa00,rec,1,,,,,
player,201112240oti,jax,LewiMa00,rec_yds,12,,,,,
player,201112240oti,jax,LewiMa00,rec_td,0,,,,,
player,201112240oti,jax,LewiMa00,rec_long,12,,,,,
player,201112240oti,jax,LewiMa00,fumbles,0,,,,,
player,201112240oti,jax,LewiMa00,fumbles_lost,,,,,,
player,201112240oti,jax,BoleBr00,pass_cmp,0,,,,,
player,201112240oti,jax,BoleBr00,pass_att,0,,,,,
player,201112240oti,jax,BoleBr00,pass_yds,0,,,,,
player,201112240oti,jax,BoleBr00,pass_td,0,,,,,
player,201112240oti,jax,BoleBr00,pass_int,0,,,,,
player,201112240oti,jax,BoleBr00,pass_sacked,0,,,,,
player,201112240oti,jax,BoleBr00,pass_sacked_yds,0,,,,,
player,201112240oti,jax,BoleBr00,pass_long,0,,,,,
player,201112240oti,jax,BoleBr00,pass_rating,,,,,,
player,201112240oti,jax,BoleBr00,rush_att,0,,,,,
player,201112240oti,jax,BoleBr00,rush_yds,0,,,,,
player,201112240oti,jax,BoleBr00,rush_td,0,,,,,
player,201112240oti,jax,BoleBr00,rush_long,0,,,,,
player,201112240oti,jax,BoleBr00,targets,1,,,,,
player,201112240oti,jax,BoleBr00,rec,0,,,,,
player,201112240oti,jax,BoleBr00,rec_yds,0,,,,,
player,201112240oti,jax,BoleBr00,rec_td,0,,,,,
player,201112240oti,jax,BoleBr00,rec_long,0,,,,,
player,201112240oti,jax,BoleBr00,fumbles,0,,,,,
player,201112240oti,jax,BoleBr00,fumbles_lost,,,,,,
player,201112240oti,oti,HassMa00,pass_cmp,24,,,,,
player,201112240oti,oti,HassMa00,pass_att,40,,,,,
player,201112240oti,oti,HassMa00,pass_yds,350,,,,,
player,201112240oti,oti,HassMa00,pass_td,1,,,,,
player,201112240oti,oti,HassMa00,pass_int,2,,,,,
player,201112240oti,oti,HassMa00,pass_sacked,1,,,,,
player,201112240oti,oti,HassMa00,pass_sacked_yds,8,,,,,
player,201112240oti,oti,HassMa00,pass_long,55,,,,,
player,201112240oti,oti,HassMa00,pass_rating,76.0,,,,,
player,201112240oti,oti,HassMa00,rush_att,5,,,,,
player,201112240oti,oti,HassMa00,rush_yds,2,,,,,
player,201112240oti,oti,HassMa00,rush_td,0,,,,,
player,201112240oti,oti,HassMa00,rush_long,7,,,,,
player,201112240oti,oti,HassMa00,targets,0,,,,,
player,201112240oti,oti,HassMa00,rec,0,,,,,
player,201112240oti,oti,HassMa00,rec_yds,0,,,,,
player,201112240oti,oti,HassMa00,rec_td,0,,,,,
player,201112240oti,oti,HassMa00,rec_long,0,,,,,
player,201112240oti,oti,HassMa00,fumbles,0,,,,,
player,201112240oti,oti,HassMa00,fumbles_lost,,,,,,
player,201112240oti,oti,JohnCh04,pass_cmp,0,,,,,
player,201112240oti,oti,JohnCh04,pass_att,0,,,,,
player,201112240oti,oti,JohnCh04,pass_yds,0,,,,,
player,201112240oti,oti,JohnCh04,pass_td,0,,,,,
player,201112240oti,oti,JohnCh04,pass_int,0,,,,,
player,201112240oti,oti,JohnCh04,pass_sacked,0,,,,,
player,201112240oti,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201112240oti,oti,JohnCh04,pass_long,0,,,,,
player,201112240oti,oti,JohnCh04,pass_rating,,,,,,
player,201112240oti,oti,JohnCh04,rush_att,15,,,,,
player,201112240oti,oti,JohnCh04,rush_yds,56,,,,,
player,201112240oti,oti,JohnCh04,rush_td,0,,,,,
player,201112240oti,oti,JohnCh04,rush_long,13,,,,,
player,201112240oti,oti,JohnCh04,targets,4,,,,,
player,201112240oti,oti,JohnCh04,rec,0,,,,,
player,201112240oti,oti,JohnCh04,rec_yds,0,,,,,
player,201112240oti,oti,JohnCh04,rec_td,0,,,,,
player,201112240oti,oti,JohnCh04,rec_long,0,,,,,
player,201112240oti,oti,JohnCh04,fumbles,0,,,,,
player,201112240oti,oti,JohnCh04,fumbles_lost,,,,,,
player,201112240oti,oti,HarpJa01,pass_cmp,0,,,,,
player,201112240oti,oti,HarpJa01,pass_att,0,,,,,
player,201112240oti,oti,HarpJa01,pass_yds,0,,,,,
player,201112240oti,oti,HarpJa01,pass_td,0,,,,,
player,201112240oti,oti,HarpJa01,pass_int,0,,,,,
player,201112240oti,oti,HarpJa01,pass_sacked,0,,,,,
player,201112240oti,oti,HarpJa01,pass_sacked_yds,0,,,,,
player,201112240oti,oti,HarpJa01,pass_long,0,,,,,
player,201112240oti,oti,HarpJa01,pass_rating,,,,,,
player,201112240oti,oti,HarpJa01,rush_att,4,,,,,
player,201112240oti,oti,HarpJa01,rush_yds,6,,,,,
player,201112240oti,oti,HarpJa01,rush_td,1,,,,,
player,201112240oti,oti,HarpJa01,rush_long,8,,,,,
player,201112240oti,oti,HarpJa01,targets,1,,,,,
player,201112240oti,oti,HarpJa01,rec,1,,,,,
player,201112240oti,oti,HarpJa01,rec_yds,5,,,,,
player,201112240oti,oti,HarpJa01,rec_td,0,,,,,
player,201112240oti,oti,HarpJa01,rec_long,5,,,,,
player,201112240oti,oti,HarpJa01,fumbles,1,,,,,
player,201112240oti,oti,HarpJa01,fumbles_lost,1,,,,,
player,201112240oti,oti,HallAh00,pass_cmp,0,,,,,
player,201112240oti,oti,HallAh00,pass_att,0,,,,,
player,201112240oti,oti,HallAh00,pass_yds,0,,,,,
player,201112240oti,oti,HallAh00,pass_td,0,,,,,
player,201112240oti,oti,HallAh00,pass_int,0,,,,,
player,201112240oti,oti,HallAh00,pass_sacked,0,,,,,
player,201112240oti,oti,HallAh00,pass_sacked_yds,0,,,,,
player,201112240oti,oti,HallAh00,pass_long,0,,,,,
player,201112240oti,oti,HallAh00,pass_rating,,,,,,
player,201112240oti,oti,HallAh00,rush_att,1,,,,,
player,201112240oti,oti,HallAh00,rush_yds,1,,,,,
player,201112240oti,oti,HallAh00,rush_td,0,,,,,
player,201112240oti,oti,HallAh00,rush_long,1,,,,,
player,201112240oti,oti,HallAh00,targets,0,,,,,
player,201112240oti,oti,HallAh00,rec,0,,,,,
player,201112240oti,oti,HallAh00,rec_yds,0,,,,,
player,201112240oti,oti,HallAh00,rec_td,0,,,,,
player,201112240oti,oti,HallAh00,rec_long,0,,,,,
player,201112240oti,oti,HallAh00,fumbles,0,,,,,
player,201112240oti,oti,HallAh00,fumbles_lost,,,,,,
player,201112240oti,oti,CookJa02,pass_cmp,0,,,,,
player,201112240oti,oti,CookJa02,pass_att,0,,,,,
player,201112240oti,oti,CookJa02,pass_yds,0,,,,,
player,201112240oti,oti,CookJa02,pass_td,0,,,,,
player,201112240oti,oti,CookJa02,pass_int,0,,,,,
player,201112240oti,oti,CookJa02,pass_sacked,0,,,,,
player,201112240oti,oti,CookJa02,pass_sacked_yds,0,,,,,
player,201112240oti,oti,CookJa02,pass_long,0,,,,,
player,201112240oti,oti,CookJa02,pass_rating,,,,,,
player,201112240oti,oti,CookJa02,rush_att,0,,,,,
player,201112240oti,oti,CookJa02,rush_yds,0,,,,,
player,201112240oti,oti,CookJa02,rush_td,0,,,,,
player,201112240oti,oti,CookJa02,rush_long,0,,,,,
player,201112240oti,oti,CookJa02,targets,8,,,,,
player,201112240oti,oti,CookJa02,rec,8,,,,,
player,201112240oti,oti,CookJa02,rec_yds,169,,,,,
player,201112240oti,oti,CookJa02,rec_td,1,,,,,
player,201112240oti,oti,CookJa02,rec_long,55,,,,,
player,201112240oti,oti,CookJa02,fumbles,0,,,,,
player,201112240oti,oti,CookJa02,fumbles_lost,,,,,,
player,201112240oti,oti,WillDa04,pass_cmp,0,,,,,
player,201112240oti,oti,WillDa04,pass_att,0,,,,,
player,201112240oti,oti,WillDa04,pass_yds,0,,,,,
player,201112240oti,oti,WillDa04,pass_td,0,,,,,
player,201112240oti,oti,WillDa04,pass_int,0,,,,,
player,201112240oti,oti,WillDa04,pass_sacked,0,,,,,
player,201112240oti,oti,WillDa04,pass_sacked_yds,0,,,,,
player,201112240oti,oti,WillDa04,pass_long,0,,,,,
player,201112240oti,oti,WillDa04,pass_rating,,,,,,
player,201112240oti,oti,WillDa04,rush_att,0,,,,,
player,201112240oti,oti,WillDa04,rush_yds,0,,,,,
player,201112240oti,oti,WillDa04,rush_td,0,,,,,
player,201112240oti,oti,WillDa04,rush_long,0,,,,,
player,201112240oti,oti,WillDa04,targets,11,,,,,
player,201112240oti,oti,WillDa04,rec,8,,,,,
player,201112240oti,oti,WillDa04,rec_yds,83,,,,,
player,201112240oti,oti,WillDa04,rec_td,0,,,,,
player,201112240oti,oti,WillDa04,rec_long,48,,,,,
player,201112240oti,oti,WillDa04,fumbles,0,,,,,
player,201112240oti,oti,WillDa04,fumbles_lost,,,,,,
player,201112240oti,oti,WashNa00,pass_cmp,0,,,,,
player,201112240oti,oti,WashNa00,pass_att,0,,,,,
player,201112240oti,oti,WashNa00,pass_yds,0,,,,,
player,201112240oti,oti,WashNa00,pass_td,0,,,,,
player,201112240oti,oti,WashNa00,pass_int,0,,,,,
player,201112240oti,oti,WashNa00,pass_sacked,0,,,,,
player,201112240oti,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201112240oti,oti,WashNa00,pass_long,0,,,,,
player,201112240oti,oti,WashNa00,pass_rating,,,,,,
player,201112240oti,oti,WashNa00,rush_att,0,,,,,
player,201112240oti,oti,WashNa00,rush_yds,0,,,,,
player,201112240oti,oti,WashNa00,rush_td,0,,,,,
player,201112240oti,oti,WashNa00,rush_long,0,,,,,
player,201112240oti,oti,WashNa00,targets,11,,,,,
player,201112240oti,oti,WashNa00,rec,4,,,,,
player,201112240oti,oti,WashNa00,rec_yds,71,,,,,
player,201112240oti,oti,WashNa00,rec_td,0,,,,,
player,201112240oti,oti,WashNa00,rec_long,26,,,,,
player,201112240oti,oti,WashNa00,fumbles,0,,,,,
player,201112240oti,oti,WashNa00,fumbles_lost,,,,,,
player,201112240oti,oti,StevCr00,pass_cmp,0,,,,,
player,201112240oti,oti,StevCr00,pass_att,0,,,,,
player,201112240oti,oti,StevCr00,pass_yds,0,,,,,
player,201112240oti,oti,StevCr00,pass_td,0,,,,,
player,201112240oti,oti,StevCr00,pass_int,0,,,,,
player,201112240oti,oti,StevCr00,pass_sacked,0,,,,,
player,201112240oti,oti,StevCr00,pass_sacked_yds,0,,,,,
player,201112240oti,oti,StevCr00,pass_long,0,,,,,
player,201112240oti,oti,StevCr00,pass_rating,,,,,,
player,201112240oti,oti,StevCr00,rush_att,0,,,,,
player,201112240oti,oti,StevCr00,rush_yds,0,,,,,
player,201112240oti,oti,StevCr00,rush_td,0,,,,,
player,201112240oti,oti,StevCr00,rush_long,0,,,,,
player,201112240oti,oti,StevCr00,targets,2,,,,,
player,201112240oti,oti,StevCr00,rec,1,,,,,
player,201112240oti,oti,StevCr00,rec_yds,17,,,,,
player,201112240oti,oti,StevCr00,rec_td,0,,,,,
player,201112240oti,oti,StevCr00,rec_long,17,,,,,
player,201112240oti,oti,StevCr00,fumbles,0,,,,,
player,201112240oti,oti,StevCr00,fumbles_lost,,,,,,
player,201112240oti,oti,HawkLa00,pass_cmp,0,,,,,
player,201112240oti,oti,HawkLa00,pass_att,0,,,,,
player,201112240oti,oti,HawkLa00,pass_yds,0,,,,,
player,201112240oti,oti,HawkLa00,pass_td,0,,,,,
player,201112240oti,oti,HawkLa00,pass_int,0,,,,,
player,201112240oti,oti,HawkLa00,pass_sacked,0,,,,,
player,201112240oti,oti,HawkLa00,pass_sacked_yds,0,,,,,
player,201112240oti,oti,HawkLa00,pass_long,0,,,,,
player,201112240oti,oti,HawkLa00,pass_rating,,,,,,
player,201112240oti,oti,HawkLa00,rush_att,0,,,,,
player,201112240oti,oti,HawkLa00,rush_yds,0,,,,,
player,201112240oti,oti,HawkLa00,rush_td,0,,,,,
player,201112240oti,oti,HawkLa00,rush_long,0,,,,,
player,201112240oti,oti,HawkLa00,targets,3,,,,,
player,201112240oti,oti,HawkLa00,rec,2,,,,,
player,201112240oti,oti,HawkLa00,rec_yds,5,,,,,
player,201112240oti,oti,HawkLa00,rec_td,0,,,,,
player,201112240oti,oti,HawkLa00,rec_long,5,,,,,
player,201112240oti,oti,HawkLa00,fumbles,0,,,,,
player,201112240oti,oti,HawkLa00,fumbles_lost,,,,,,
player,201112240oti,jax,TrenMo99,def_int,1,,,,,
player,201112240oti,jax,TrenMo99,def_int_yds,22,,,,,
player,201112240oti,jax,TrenMo99,def_int_td,0,,,,,
player,201112240oti,jax,TrenMo99,def_int_long,22,,,,,
player,201112240oti,jax,TrenMo99,pass_defended,2,,,,,
player,201112240oti,jax,TrenMo99,sacks,0.0,,,,,
player,201112240oti,jax,TrenMo99,tackles_combined,4,,,,,
player,201112240oti,jax,TrenMo99,tackles_solo,3,,,,,
player,201112240oti,jax,TrenMo99,tackles_assists,1,,,,,
player,201112240oti,jax,TrenMo99,tackles_loss,0,,,,,
player,201112240oti,jax,TrenMo99,qb_hits,0,,,,,
player,201112240oti,jax,TrenMo99,fumbles_rec,0,,,,,
player,201112240oti,jax,TrenMo99,fumbles_rec_yds,0,,,,,
player,201112240oti,jax,TrenMo99,fumbles_rec_td,0,,,,,
player,201112240oti,jax,TrenMo99,fumbles_forced,0,,,,,
player,201112240oti,jax,MincJe99,def_int,1,,,,,
player,201112240oti,jax,MincJe99,def_int_yds,5,,,,,
player,201112240oti,jax,MincJe99,def_int_td,0,,,,,
player,201112240oti,jax,MincJe99,def_int_long,5,,,,,
player,201112240oti,jax,MincJe99,pass_defended,1,,,,,
player,201112240oti,jax,MincJe99,sacks,0.0,,,,,
player,201112240oti,jax,MincJe99,tackles_combined,2,,,,,
player,201112240oti,jax,MincJe99,tackles_solo,0,,,,,
player,201112240oti,jax,MincJe99,tackles_assists,2,,,,,
player,201112240oti,jax,MincJe99,tackles_loss,0,,,,,
player,201112240oti,jax,MincJe99,qb_hits,2,,,,,
player,201112240oti,jax,MincJe99,fumbles_rec,0,,,,,
player,201112240oti,jax,MincJe99,fumbles_rec_yds,0,,,,,
player,201112240oti,jax,MincJe99,fumbles_rec_td,0,,,,,
player,201112240oti,jax,MincJe99,fumbles_forced,0,,,,,
player,201112240oti,jax,DouzLe00,def_int,0,,,,,
player,201112240oti,jax,DouzLe00,def_int_yds,0,,,,,
player,201112240oti,jax,DouzLe00,def_int_td,0,,,,,
player,201112240oti,jax,DouzLe00,def_int_long,0,,,,,
player,201112240oti,jax,DouzLe00,pass_defended,0,,,,,
player,201112240oti,jax,DouzLe00,sacks,1.0,,,,,
