game,2011,11,20111120,201111200atl,oti,"Tennessee Titans",17,atl,"Atlanta Falcons",23
player,201111200atl,oti,MariMa00,pass_yds,0,,,,,
player,201111200atl,oti,MariMa00,pass_td,0,,,,,
player,201111200atl,oti,MariMa00,pass_int,0,,,,,
player,201111200atl,oti,MariMa00,pass_sacked,0,,,,,
player,201111200atl,oti,MariMa00,pass_sacked_yds,0,,,,,
player,201111200atl,oti,MariMa00,pass_long,0,,,,,
player,201111200atl,oti,MariMa00,pass_rating,,,,,,
player,201111200atl,oti,MariMa00,rush_att,0,,,,,
player,201111200atl,oti,MariMa00,rush_yds,0,,,,,
player,201111200atl,oti,MariMa00,rush_td,0,,,,,
player,201111200atl,oti,MariMa00,rush_long,0,,,,,
player,201111200atl,oti,MariMa00,targets,1,,,,,
player,201111200atl,oti,MariMa00,rec,0,,,,,
player,201111200atl,oti,MariMa00,rec_yds,0,,,,,
player,201111200atl,oti,MariMa00,rec_td,0,,,,,
player,201111200atl,oti,MariMa00,rec_long,0,,,,,
player,201111200atl,oti,MariMa00,fumbles,0,,,,,
player,201111200atl,oti,MariMa00,fumbles_lost,,,,,,
player,201111200atl,atl,RyanMa00,pass_cmp,22,,,,,
player,201111200atl,atl,RyanMa00,pass_att,32,,,,,
player,201111200atl,atl,RyanMa00,pass_yds,316,,,,,
player,201111200atl,atl,RyanMa00,pass_td,1,,,,,
player,201111200atl,atl,RyanMa00,pass_int,0,,,,,
player,201111200atl,atl,RyanMa00,pass_sacked,0,,,,,
player,201111200atl,atl,RyanMa00,pass_sacked_yds,0,,,,,
player,201111200atl,atl,RyanMa00,pass_long,43,,,,,
player,201111200atl,atl,RyanMa00,pass_rating,110.9,,,,,
player,201111200atl,atl,RyanMa00,rush_att,6,,,,,
player,201111200atl,atl,RyanMa00,rush_yds,3,,,,,
player,201111200atl,atl,RyanMa00,rush_td,0,,,,,
player,201111200atl,atl,RyanMa00,rush_long,7,,,,,
player,201111200atl,atl,RyanMa00,targets,0,,,,,
player,201111200atl,atl,RyanMa00,rec,0,,,,,
player,201111200atl,atl,RyanMa00,rec_yds,0,,,,,
player,201111200atl,atl,RyanMa00,rec_td,0,,,,,
player,201111200atl,atl,RyanMa00,rec_long,0,,,,,
player,201111200atl,atl,RyanMa00,fumbles,0,,,,,
player,201111200atl,atl,RyanMa00,fumbles_lost,,,,,,
player,201111200atl,atl,TurnMi00,pass_cmp,0,,,,,
player,201111200atl,atl,TurnMi00,pass_att,0,,,,,
player,201111200atl,atl,TurnMi00,pass_yds,0,,,,,
player,201111200atl,atl,TurnMi00,pass_td,0,,,,,
player,201111200atl,atl,TurnMi00,pass_int,0,,,,,
player,201111200atl,atl,TurnMi00,pass_sacked,0,,,,,
player,201111200atl,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201111200atl,atl,TurnMi00,pass_long,0,,,,,
player,201111200atl,atl,TurnMi00,pass_rating,,,,,,
player,201111200atl,atl,TurnMi00,rush_att,21,,,,,
player,201111200atl,atl,TurnMi00,rush_yds,100,,,,,
player,201111200atl,atl,TurnMi00,rush_td,1,,,,,
player,201111200atl,atl,TurnMi00,rush_long,35,,,,,
player,201111200atl,atl,TurnMi00,targets,2,,,,,
player,201111200atl,atl,TurnMi00,rec,1,,,,,
player,201111200atl,atl,TurnMi00,rec_yds,9,,,,,
player,201111200atl,atl,TurnMi00,rec_td,0,,,,,
player,201111200atl,atl,TurnMi00,rec_long,9,,,,,
player,201111200atl,atl,TurnMi00,fumbles,1,,,,,
player,201111200atl,atl,TurnMi00,fumbles_lost,1,,,,,
player,201111200atl,atl,SnelJa00,pass_cmp,0,,,,,
player,201111200atl,atl,SnelJa00,pass_att,0,,,,,
player,201111200atl,atl,SnelJa00,pass_yds,0,,,,,
player,201111200atl,atl,SnelJa00,pass_td,0,,,,,
player,201111200atl,atl,SnelJa00,pass_int,0,,,,,
player,201111200atl,atl,SnelJa00,pass_sacked,0,,,,,
player,201111200atl,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201111200atl,atl,SnelJa00,pass_long,0,,,,,
player,201111200atl,atl,SnelJa00,pass_rating,,,,,,
player,201111200atl,atl,SnelJa00,rush_att,7,,,,,
player,201111200atl,atl,SnelJa00,rush_yds,11,,,,,
player,201111200atl,atl,SnelJa00,rush_td,0,,,,,
player,201111200atl,atl,SnelJa00,rush_long,4,,,,,
player,201111200atl,atl,SnelJa00,targets,2,,,,,
player,201111200atl,atl,SnelJa00,rec,1,,,,,
player,201111200atl,atl,SnelJa00,rec_yds,4,,,,,
player,201111200atl,atl,SnelJa00,rec_td,0,,,,,
player,201111200atl,atl,SnelJa00,rec_long,4,,,,,
player,201111200atl,atl,SnelJa00,fumbles,0,,,,,
player,201111200atl,atl,SnelJa00,fumbles_lost,,,,,,
player,201111200atl,atl,RodgJa00,pass_cmp,0,,,,,
player,201111200atl,atl,RodgJa00,pass_att,0,,,,,
player,201111200atl,atl,RodgJa00,pass_yds,0,,,,,
player,201111200atl,atl,RodgJa00,pass_td,0,,,,,
player,201111200atl,atl,RodgJa00,pass_int,0,,,,,
player,201111200atl,atl,RodgJa00,pass_sacked,0,,,,,
player,201111200atl,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201111200atl,atl,RodgJa00,pass_long,0,,,,,
player,201111200atl,atl,RodgJa00,pass_rating,,,,,,
player,201111200atl,atl,RodgJa00,rush_att,2,,,,,
player,201111200atl,atl,RodgJa00,rush_yds,2,,,,,
player,201111200atl,atl,RodgJa00,rush_td,0,,,,,
player,201111200atl,atl,RodgJa00,rush_long,3,,,,,
player,201111200atl,atl,RodgJa00,targets,0,,,,,
player,201111200atl,atl,RodgJa00,rec,0,,,,,
player,201111200atl,atl,RodgJa00,rec_yds,0,,,,,
player,201111200atl,atl,RodgJa00,rec_td,0,,,,,
player,201111200atl,atl,RodgJa00,rec_long,0,,,,,
player,201111200atl,atl,RodgJa00,fumbles,0,,,,,
player,201111200atl,atl,RodgJa00,fumbles_lost,,,,,,
player,201111200atl,atl,WhitRo00,pass_cmp,0,,,,,
player,201111200atl,atl,WhitRo00,pass_att,0,,,,,
player,201111200atl,atl,WhitRo00,pass_yds,0,,,,,
player,201111200atl,atl,WhitRo00,pass_td,0,,,,,
player,201111200atl,atl,WhitRo00,pass_int,0,,,,,
player,201111200atl,atl,WhitRo00,pass_sacked,0,,,,,
player,201111200atl,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201111200atl,atl,WhitRo00,pass_long,0,,,,,
player,201111200atl,atl,WhitRo00,pass_rating,,,,,,
player,201111200atl,atl,WhitRo00,rush_att,0,,,,,
player,201111200atl,atl,WhitRo00,rush_yds,0,,,,,
player,201111200atl,atl,WhitRo00,rush_td,0,,,,,
player,201111200atl,atl,WhitRo00,rush_long,0,,,,,
player,201111200atl,atl,WhitRo00,targets,14,,,,,
player,201111200atl,atl,WhitRo00,rec,7,,,,,
player,201111200atl,atl,WhitRo00,rec_yds,147,,,,,
