game,2011,1,20110911,201109110sdg,min,"Minnesota Vikings",17,sdg,"San Diego Chargers",24
player,201109110sdg,min,PeteAd01,rec_td,0,,,,,
player,201109110sdg,min,PeteAd01,rec_long,4,,,,,
player,201109110sdg,min,PeteAd01,fumbles,0,,,,,
player,201109110sdg,min,PeteAd01,fumbles_lost,,,,,,
player,201109110sdg,min,GerhTo00,pass_cmp,0,,,,,
player,201109110sdg,min,GerhTo00,pass_att,0,,,,,
player,201109110sdg,min,GerhTo00,pass_yds,0,,,,,
player,201109110sdg,min,GerhTo00,pass_td,0,,,,,
player,201109110sdg,min,GerhTo00,pass_int,0,,,,,
player,201109110sdg,min,GerhTo00,pass_sacked,0,,,,,
player,201109110sdg,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201109110sdg,min,GerhTo00,pass_long,0,,,,,
player,201109110sdg,min,GerhTo00,pass_rating,,,,,,
player,201109110sdg,min,GerhTo00,rush_att,2,,,,,
player,201109110sdg,min,GerhTo00,rush_yds,16,,,,,
player,201109110sdg,min,GerhTo00,rush_td,0,,,,,
player,201109110sdg,min,GerhTo00,rush_long,12,,,,,
player,201109110sdg,min,GerhTo00,targets,0,,,,,
player,201109110sdg,min,GerhTo00,rec,0,,,,,
player,201109110sdg,min,GerhTo00,rec_yds,0,,,,,
player,201109110sdg,min,GerhTo00,rec_td,0,,,,,
player,201109110sdg,min,GerhTo00,rec_long,0,,,,,
player,201109110sdg,min,GerhTo00,fumbles,0,,,,,
player,201109110sdg,min,GerhTo00,fumbles_lost,,,,,,
player,201109110sdg,min,HarvPe00,pass_cmp,0,,,,,
player,201109110sdg,min,HarvPe00,pass_att,0,,,,,
player,201109110sdg,min,HarvPe00,pass_yds,0,,,,,
player,201109110sdg,min,HarvPe00,pass_td,0,,,,,
player,201109110sdg,min,HarvPe00,pass_int,0,,,,,
player,201109110sdg,min,HarvPe00,pass_sacked,0,,,,,
player,201109110sdg,min,HarvPe00,pass_sacked_yds,0,,,,,
player,201109110sdg,min,HarvPe00,pass_long,0,,,,,
player,201109110sdg,min,HarvPe00,pass_rating,,,,,,
player,201109110sdg,min,HarvPe00,rush_att,4,,,,,
player,201109110sdg,min,HarvPe00,rush_yds,15,,,,,
player,201109110sdg,min,HarvPe00,rush_td,0,,,,,
player,201109110sdg,min,HarvPe00,rush_long,8,,,,,
player,201109110sdg,min,HarvPe00,targets,4,,,,,
player,201109110sdg,min,HarvPe00,rec,2,,,,,
player,201109110sdg,min,HarvPe00,rec_yds,7,,,,,
player,201109110sdg,min,HarvPe00,rec_td,0,,,,,
player,201109110sdg,min,HarvPe00,rec_long,5,,,,,
player,201109110sdg,min,HarvPe00,fumbles,0,,,,,
player,201109110sdg,min,HarvPe00,fumbles_lost,,,,,,
player,201109110sdg,min,JenkMi00,pass_cmp,0,,,,,
player,201109110sdg,min,JenkMi00,pass_att,0,,,,,
player,201109110sdg,min,JenkMi00,pass_yds,0,,,,,
player,201109110sdg,min,JenkMi00,pass_td,0,,,,,
player,201109110sdg,min,JenkMi00,pass_int,0,,,,,
player,201109110sdg,min,JenkMi00,pass_sacked,0,,,,,
player,201109110sdg,min,JenkMi00,pass_sacked_yds,0,,,,,
player,201109110sdg,min,JenkMi00,pass_long,0,,,,,
player,201109110sdg,min,JenkMi00,pass_rating,,,,,,
player,201109110sdg,min,JenkMi00,rush_att,0,,,,,
player,201109110sdg,min,JenkMi00,rush_yds,0,,,,,
player,201109110sdg,min,JenkMi00,rush_td,0,,,,,
player,201109110sdg,min,JenkMi00,rush_long,0,,,,,
player,201109110sdg,min,JenkMi00,targets,3,,,,,
player,201109110sdg,min,JenkMi00,rec,3,,,,,
player,201109110sdg,min,JenkMi00,rec_yds,26,,,,,
player,201109110sdg,min,JenkMi00,rec_td,1,,,,,
player,201109110sdg,min,JenkMi00,rec_long,12,,,,,
player,201109110sdg,min,JenkMi00,fumbles,0,,,,,
player,201109110sdg,min,JenkMi00,fumbles_lost,,,,,,
player,201109110sdg,min,BerrBe00,pass_cmp,0,,,,,
player,201109110sdg,min,BerrBe00,pass_att,0,,,,,
player,201109110sdg,min,BerrBe00,pass_yds,0,,,,,
player,201109110sdg,min,BerrBe00,pass_td,0,,,,,
player,201109110sdg,min,BerrBe00,pass_int,0,,,,,
player,201109110sdg,min,BerrBe00,pass_sacked,0,,,,,
player,201109110sdg,min,BerrBe00,pass_sacked_yds,0,,,,,
player,201109110sdg,min,BerrBe00,pass_long,0,,,,,
player,201109110sdg,min,BerrBe00,pass_rating,,,,,,
player,201109110sdg,min,BerrBe00,rush_att,0,,,,,
player,201109110sdg,min,BerrBe00,rush_yds,0,,,,,
player,201109110sdg,min,BerrBe00,rush_td,0,,,,,
player,201109110sdg,min,BerrBe00,rush_long,0,,,,,
player,201109110sdg,min,BerrBe00,targets,2,,,,,
player,201109110sdg,min,BerrBe00,rec,0,,,,,
player,201109110sdg,min,BerrBe00,rec_yds,0,,,,,
player,201109110sdg,min,BerrBe00,rec_td,0,,,,,
player,201109110sdg,min,BerrBe00,rec_long,0,,,,,
player,201109110sdg,min,BerrBe00,fumbles,0,,,,,
player,201109110sdg,min,BerrBe00,fumbles_lost,,,,,,
player,201109110sdg,min,ShiaVi00,pass_cmp,0,,,,,
player,201109110sdg,min,ShiaVi00,pass_att,0,,,,,
player,201109110sdg,min,ShiaVi00,pass_yds,0,,,,,
player,201109110sdg,min,ShiaVi00,pass_td,0,,,,,
player,201109110sdg,min,ShiaVi00,pass_int,0,,,,,
player,201109110sdg,min,ShiaVi00,pass_sacked,0,,,,,
player,201109110sdg,min,ShiaVi00,pass_sacked_yds,0,,,,,
player,201109110sdg,min,ShiaVi00,pass_long,0,,,,,
player,201109110sdg,min,ShiaVi00,pass_rating,,,,,,
player,201109110sdg,min,ShiaVi00,rush_att,0,,,,,
player,201109110sdg,min,ShiaVi00,rush_yds,0,,,,,
player,201109110sdg,min,ShiaVi00,rush_td,0,,,,,
player,201109110sdg,min,ShiaVi00,rush_long,0,,,,,
player,201109110sdg,min,ShiaVi00,targets,1,,,,,
player,201109110sdg,min,ShiaVi00,rec,0,,,,,
player,201109110sdg,min,ShiaVi00,rec_yds,0,,,,,
player,201109110sdg,min,ShiaVi00,rec_td,0,,,,,
player,201109110sdg,min,ShiaVi00,rec_long,0,,,,,
player,201109110sdg,min,ShiaVi00,fumbles,0,,,,,
player,201109110sdg,min,ShiaVi00,fumbles_lost,,,,,,
player,201109110sdg,min,RudoKy00,pass_cmp,0,,,,,
player,201109110sdg,min,RudoKy00,pass_att,0,,,,,
player,201109110sdg,min,RudoKy00,pass_yds,0,,,,,
player,201109110sdg,min,RudoKy00,pass_td,0,,,,,
player,201109110sdg,min,RudoKy00,pass_int,0,,,,,
player,201109110sdg,min,RudoKy00,pass_sacked,0,,,,,
player,201109110sdg,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201109110sdg,min,RudoKy00,pass_long,0,,,,,
player,201109110sdg,min,RudoKy00,pass_rating,,,,,,
player,201109110sdg,min,RudoKy00,rush_att,0,,,,,
player,201109110sdg,min,RudoKy00,rush_yds,0,,,,,
player,201109110sdg,min,RudoKy00,rush_td,0,,,,,
player,201109110sdg,min,RudoKy00,rush_long,0,,,,,
player,201109110sdg,min,RudoKy00,targets,1,,,,,
player,201109110sdg,min,RudoKy00,rec,0,,,,,
player,201109110sdg,min,RudoKy00,rec_yds,0,,,,,
player,201109110sdg,min,RudoKy00,rec_td,0,,,,,
player,201109110sdg,min,RudoKy00,rec_long,0,,,,,
player,201109110sdg,min,RudoKy00,fumbles,0,,,,,
player,201109110sdg,min,RudoKy00,fumbles_lost,,,,,,
player,201109110sdg,min,WebbJo00,pass_cmp,0,,,,,
player,201109110sdg,min,WebbJo00,pass_att,0,,,,,
player,201109110sdg,min,WebbJo00,pass_yds,0,,,,,
player,201109110sdg,min,WebbJo00,pass_td,0,,,,,
player,201109110sdg,min,WebbJo00,pass_int,0,,,,,
player,201109110sdg,min,WebbJo00,pass_sacked,0,,,,,
player,201109110sdg,min,WebbJo00,pass_sacked_yds,0,,,,,
player,201109110sdg,min,WebbJo00,pass_long,0,,,,,
player,201109110sdg,min,WebbJo00,pass_rating,,,,,,
player,201109110sdg,min,WebbJo00,rush_att,1,,,,,
player,201109110sdg,min,WebbJo00,rush_yds,-2,,,,,
player,201109110sdg,min,WebbJo00,rush_td,0,,,,,
player,201109110sdg,min,WebbJo00,rush_long,-2,,,,,
player,201109110sdg,min,WebbJo00,targets,0,,,,,
player,201109110sdg,min,WebbJo00,rec,0,,,,,
player,201109110sdg,min,WebbJo00,rec_yds,0,,,,,
player,201109110sdg,min,WebbJo00,rec_td,0,,,,,
player,201109110sdg,min,WebbJo00,rec_long,0,,,,,
player,201109110sdg,min,WebbJo00,fumbles,0,,,,,
player,201109110sdg,min,WebbJo00,fumbles_lost,,,,,,
player,201109110sdg,sdg,RivePh00,pass_cmp,33,,,,,
player,201109110sdg,sdg,RivePh00,pass_att,48,,,,,
player,201109110sdg,sdg,RivePh00,pass_yds,335,,,,,
player,201109110sdg,sdg,RivePh00,pass_td,2,,,,,
player,201109110sdg,sdg,RivePh00,pass_int,2,,,,,
player,201109110sdg,sdg,RivePh00,pass_sacked,2,,,,,
player,201109110sdg,sdg,RivePh00,pass_sacked_yds,5,,,,,
player,201109110sdg,sdg,RivePh00,pass_long,37,,,,,
player,201109110sdg,sdg,RivePh00,pass_rating,85.0,,,,,
player,201109110sdg,sdg,RivePh00,rush_att,3,,,,,
player,201109110sdg,sdg,RivePh00,rush_yds,-3,,,,,
player,201109110sdg,sdg,RivePh00,rush_td,0,,,,,
player,201109110sdg,sdg,RivePh00,rush_long,-1,,,,,
player,201109110sdg,sdg,RivePh00,targets,0,,,,,
player,201109110sdg,sdg,RivePh00,rec,0,,,,,
player,201109110sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201109110sdg,sdg,RivePh00,rec_td,0,,,,,
player,201109110sdg,sdg,RivePh00,rec_long,0,,,,,
player,201109110sdg,sdg,RivePh00,fumbles,0,,,,,
player,201109110sdg,sdg,RivePh00,fumbles_lost,,,,,,
player,201109110sdg,sdg,MathRy00,pass_cmp,0,,,,,
player,201109110sdg,sdg,MathRy00,pass_att,0,,,,,
player,201109110sdg,sdg,MathRy00,pass_yds,0,,,,,
player,201109110sdg,sdg,MathRy00,pass_td,0,,,,,
player,201109110sdg,sdg,MathRy00,pass_int,0,,,,,
player,201109110sdg,sdg,MathRy00,pass_sacked,0,,,,,
player,201109110sdg,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201109110sdg,sdg,MathRy00,pass_long,0,,,,,
player,201109110sdg,sdg,MathRy00,pass_rating,,,,,,
player,201109110sdg,sdg,MathRy00,rush_att,12,,,,,
player,201109110sdg,sdg,MathRy00,rush_yds,45,,,,,
player,201109110sdg,sdg,MathRy00,rush_td,0,,,,,
player,201109110sdg,sdg,MathRy00,rush_long,21,,,,,
player,201109110sdg,sdg,MathRy00,targets,5,,,,,
player,201109110sdg,sdg,MathRy00,rec,3,,,,,
player,201109110sdg,sdg,MathRy00,rec_yds,73,,,,,
player,201109110sdg,sdg,MathRy00,rec_td,0,,,,,
player,201109110sdg,sdg,MathRy00,rec_long,37,,,,,
player,201109110sdg,sdg,MathRy00,fumbles,0,,,,,
player,201109110sdg,sdg,MathRy00,fumbles_lost,,,,,,
player,201109110sdg,sdg,TolbMi00,pass_cmp,0,,,,,
player,201109110sdg,sdg,TolbMi00,pass_att,0,,,,,
player,201109110sdg,sdg,TolbMi00,pass_yds,0,,,,,
player,201109110sdg,sdg,TolbMi00,pass_td,0,,,,,
player,201109110sdg,sdg,TolbMi00,pass_int,0,,,,,
player,201109110sdg,sdg,TolbMi00,pass_sacked,0,,,,,
player,201109110sdg,sdg,TolbMi00,pass_sacked_yds,0,,,,,
player,201109110sdg,sdg,TolbMi00,pass_long,0,,,,,
player,201109110sdg,sdg,TolbMi00,pass_rating,,,,,,
player,201109110sdg,sdg,TolbMi00,rush_att,12,,,,,
player,201109110sdg,sdg,TolbMi00,rush_yds,35,,,,,
player,201109110sdg,sdg,TolbMi00,rush_td,1,,,,,
player,201109110sdg,sdg,TolbMi00,rush_long,13,,,,,
player,201109110sdg,sdg,TolbMi00,targets,9,,,,,
player,201109110sdg,sdg,TolbMi00,rec,9,,,,,
player,201109110sdg,sdg,TolbMi00,rec_yds,58,,,,,
player,201109110sdg,sdg,TolbMi00,rec_td,2,,,,,
player,201109110sdg,sdg,TolbMi00,rec_long,19,,,,,
player,201109110sdg,sdg,TolbMi00,fumbles,0,,,,,
player,201109110sdg,sdg,TolbMi00,fumbles_lost,,,,,,
player,201109110sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201109110sdg,sdg,GateAn00,pass_att,0,,,,,
player,201109110sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201109110sdg,sdg,GateAn00,pass_td,0,,,,,
player,201109110sdg,sdg,GateAn00,pass_int,0,,,,,
player,201109110sdg,sdg,GateAn00,pass_sacked,0,,,,,
player,201109110sdg,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201109110sdg,sdg,GateAn00,pass_long,0,,,,,
player,201109110sdg,sdg,GateAn00,pass_rating,,,,,,
player,201109110sdg,sdg,GateAn00,rush_att,0,,,,,
player,201109110sdg,sdg,GateAn00,rush_yds,0,,,,,
player,201109110sdg,sdg,GateAn00,rush_td,0,,,,,
player,201109110sdg,sdg,GateAn00,rush_long,0,,,,,
player,201109110sdg,sdg,GateAn00,targets,13,,,,,
player,201109110sdg,sdg,GateAn00,rec,8,,,,,
player,201109110sdg,sdg,GateAn00,rec_yds,74,,,,,
player,201109110sdg,sdg,GateAn00,rec_td,0,,,,,
player,201109110sdg,sdg,GateAn00,rec_long,15,,,,,
player,201109110sdg,sdg,GateAn00,fumbles,0,,,,,
player,201109110sdg,sdg,GateAn00,fumbles_lost,,,,,,
player,201109110sdg,sdg,FloyMa00,pass_cmp,0,,,,,
player,201109110sdg,sdg,FloyMa00,pass_att,0,,,,,
player,201109110sdg,sdg,FloyMa00,pass_yds,0,,,,,
player,201109110sdg,sdg,FloyMa00,pass_td,0,,,,,
player,201109110sdg,sdg,FloyMa00,pass_int,0,,,,,
player,201109110sdg,sdg,FloyMa00,pass_sacked,0,,,,,
player,201109110sdg,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201109110sdg,sdg,FloyMa00,pass_long,0,,,,,
player,201109110sdg,sdg,FloyMa00,pass_rating,,,,,,
player,201109110sdg,sdg,FloyMa00,rush_att,0,,,,,
player,201109110sdg,sdg,FloyMa00,rush_yds,0,,,,,
player,201109110sdg,sdg,FloyMa00,rush_td,0,,,,,
player,201109110sdg,sdg,FloyMa00,rush_long,0,,,,,
player,201109110sdg,sdg,FloyMa00,targets,8,,,,,
player,201109110sdg,sdg,FloyMa00,rec,3,,,,,
player,201109110sdg,sdg,FloyMa00,rec_yds,45,,,,,
player,201109110sdg,sdg,FloyMa00,rec_td,0,,,,,
player,201109110sdg,sdg,FloyMa00,rec_long,16,,,,,
player,201109110sdg,sdg,FloyMa00,fumbles,0,,,,,
player,201109110sdg,sdg,FloyMa00,fumbles_lost,,,,,,
player,201109110sdg,sdg,JackVi00,pass_cmp,0,,,,,
player,201109110sdg,sdg,JackVi00,pass_att,0,,,,,
player,201109110sdg,sdg,JackVi00,pass_yds,0,,,,,
player,201109110sdg,sdg,JackVi00,pass_td,0,,,,,
player,201109110sdg,sdg,JackVi00,pass_int,0,,,,,
player,201109110sdg,sdg,JackVi00,pass_sacked,0,,,,,
player,201109110sdg,sdg,JackVi00,pass_sacked_yds,0,,,,,
player,201109110sdg,sdg,JackVi00,pass_long,0,,,,,
player,201109110sdg,sdg,JackVi00,pass_rating,,,,,,
player,201109110sdg,sdg,JackVi00,rush_att,0,,,,,
player,201109110sdg,sdg,JackVi00,rush_yds,0,,,,,
player,201109110sdg,sdg,JackVi00,rush_td,0,,,,,
player,201109110sdg,sdg,JackVi00,rush_long,0,,,,,
player,201109110sdg,sdg,JackVi00,targets,3,,,,,
player,201109110sdg,sdg,JackVi00,rec,2,,,,,
player,201109110sdg,sdg,JackVi00,rec_yds,31,,,,,
player,201109110sdg,sdg,JackVi00,rec_td,0,,,,,
player,201109110sdg,sdg,JackVi00,rec_long,21,,,,,
player,201109110sdg,sdg,JackVi00,fumbles,0,,,,,
player,201109110sdg,sdg,JackVi00,fumbles_lost,,,,,,
player,201109110sdg,sdg,WaltBr00,pass_cmp,0,,,,,
player,201109110sdg,sdg,WaltBr00,pass_att,0,,,,,
player,201109110sdg,sdg,WaltBr00,pass_yds,0,,,,,
player,201109110sdg,sdg,WaltBr00,pass_td,0,,,,,
player,201109110sdg,sdg,WaltBr00,pass_int,0,,,,,
player,201109110sdg,sdg,WaltBr00,pass_sacked,0,,,,,
player,201109110sdg,sdg,WaltBr00,pass_sacked_yds,0,,,,,
player,201109110sdg,sdg,WaltBr00,pass_long,0,,,,,
player,201109110sdg,sdg,WaltBr00,pass_rating,,,,,,
player,201109110sdg,sdg,WaltBr00,rush_att,0,,,,,
player,201109110sdg,sdg,WaltBr00,rush_yds,0,,,,,
player,201109110sdg,sdg,WaltBr00,rush_td,0,,,,,
player,201109110sdg,sdg,WaltBr00,rush_long,0,,,,,
player,201109110sdg,sdg,WaltBr00,targets,2,,,,,
player,201109110sdg,sdg,WaltBr00,rec,2,,,,,
player,201109110sdg,sdg,WaltBr00,rec_yds,21,,,,,
player,201109110sdg,sdg,WaltBr00,rec_td,0,,,,,
player,201109110sdg,sdg,WaltBr00,rec_long,13,,,,,
player,201109110sdg,sdg,WaltBr00,fumbles,0,,,,,
player,201109110sdg,sdg,WaltBr00,fumbles_lost,,,,,,
player,201109110sdg,sdg,McMiRa01,pass_cmp,0,,,,,
player,201109110sdg,sdg,McMiRa01,pass_att,0,,,,,
player,201109110sdg,sdg,McMiRa01,pass_yds,0,,,,,
player,201109110sdg,sdg,McMiRa01,pass_td,0,,,,,
player,201109110sdg,sdg,McMiRa01,pass_int,0,,,,,
player,201109110sdg,sdg,McMiRa01,pass_sacked,0,,,,,
player,201109110sdg,sdg,McMiRa01,pass_sacked_yds,0,,,,,
player,201109110sdg,sdg,McMiRa01,pass_long,0,,,,,
player,201109110sdg,sdg,McMiRa01,pass_rating,,,,,,
player,201109110sdg,sdg,McMiRa01,rush_att,0,,,,,
player,201109110sdg,sdg,McMiRa01,rush_yds,0,,,,,
player,201109110sdg,sdg,McMiRa01,rush_td,0,,,,,
player,201109110sdg,sdg,McMiRa01,rush_long,0,,,,,
player,201109110sdg,sdg,McMiRa01,targets,3,,,,,
player,201109110sdg,sdg,McMiRa01,rec,3,,,,,
player,201109110sdg,sdg,McMiRa01,rec_yds,20,,,,,
player,201109110sdg,sdg,McMiRa01,rec_td,0,,,,,
player,201109110sdg,sdg,McMiRa01,rec_long,11,,,,,
player,201109110sdg,sdg,McMiRa01,fumbles,0,,,,,
player,201109110sdg,sdg,McMiRa01,fumbles_lost,,,,,,
player,201109110sdg,sdg,HestJa00,pass_cmp,0,,,,,
player,201109110sdg,sdg,HestJa00,pass_att,0,,,,,
player,201109110sdg,sdg,HestJa00,pass_yds,0,,,,,
player,201109110sdg,sdg,HestJa00,pass_td,0,,,,,
player,201109110sdg,sdg,HestJa00,pass_int,0,,,,,
player,201109110sdg,sdg,HestJa00,pass_sacked,0,,,,,
player,201109110sdg,sdg,HestJa00,pass_sacked_yds,0,,,,,
player,201109110sdg,sdg,HestJa00,pass_long,0,,,,,
player,201109110sdg,sdg,HestJa00,pass_rating,,,,,,
player,201109110sdg,sdg,HestJa00,rush_att,0,,,,,
player,201109110sdg,sdg,HestJa00,rush_yds,0,,,,,
player,201109110sdg,sdg,HestJa00,rush_td,0,,,,,
player,201109110sdg,sdg,HestJa00,rush_long,0,,,,,
player,201109110sdg,sdg,HestJa00,targets,4,,,,,
player,201109110sdg,sdg,HestJa00,rec,3,,,,,
player,201109110sdg,sdg,HestJa00,rec_yds,13,,,,,
player,201109110sdg,sdg,HestJa00,rec_td,0,,,,,
player,201109110sdg,sdg,HestJa00,rec_long,7,,,,,
player,201109110sdg,sdg,HestJa00,fumbles,1,,,,,
player,201109110sdg,sdg,HestJa00,fumbles_lost,0,,,,,
player,201109110sdg,min,AlleJa22,def_int,1,,,,,
player,201109110sdg,min,AlleJa22,def_int_yds,14,,,,,
player,201109110sdg,min,AlleJa22,def_int_td,0,,,,,
player,201109110sdg,min,AlleJa22,def_int_long,14,,,,,
player,201109110sdg,min,AlleJa22,pass_defended,1,,,,,
player,201109110sdg,min,AlleJa22,sacks,0.5,,,,,
player,201109110sdg,min,AlleJa22,tackles_combined,6,,,,,
player,201109110sdg,min,AlleJa22,tackles_solo,3,,,,,
player,201109110sdg,min,AlleJa22,tackles_assists,3,,,,,
player,201109110sdg,min,AlleJa22,tackles_loss,0,,,,,
player,201109110sdg,min,AlleJa22,qb_hits,1,,,,,
player,201109110sdg,min,AlleJa22,fumbles_rec,0,,,,,
player,201109110sdg,min,AlleJa22,fumbles_rec_yds,0,,,,,
player,201109110sdg,min,AlleJa22,fumbles_rec_td,0,,,,,
player,201109110sdg,min,AlleJa22,fumbles_forced,0,,,,,
player,201109110sdg,min,WinfAn20,def_int,1,,,,,
player,201109110sdg,min,WinfAn20,def_int_yds,3,,,,,
player,201109110sdg,min,WinfAn20,def_int_td,0,,,,,
player,201109110sdg,min,WinfAn20,def_int_long,3,,,,,
player,201109110sdg,min,WinfAn20,pass_defended,1,,,,,
player,201109110sdg,min,WinfAn20,sacks,0.0,,,,,
player,201109110sdg,min,WinfAn20,tackles_combined,10,,,,,
player,201109110sdg,min,WinfAn20,tackles_solo,7,,,,,
player,201109110sdg,min,WinfAn20,tackles_assists,3,,,,,
player,201109110sdg,min,WinfAn20,tackles_loss,1,,,,,
player,201109110sdg,min,WinfAn20,qb_hits,0,,,,,
player,201109110sdg,min,WinfAn20,fumbles_rec,0,,,,,
player,201109110sdg,min,WinfAn20,fumbles_rec_yds,0,,,,,
player,201109110sdg,min,WinfAn20,fumbles_rec_td,0,,,,,
player,201109110sdg,min,WinfAn20,fumbles_forced,1,,,,,
player,201109110sdg,min,HendEr99,def_int,0,,,,,
player,201109110sdg,min,HendEr99,def_int_yds,0,,,,,
player,201109110sdg,min,HendEr99,def_int_td,0,,,,,
player,201109110sdg,min,HendEr99,def_int_long,0,,,,,
player,201109110sdg,min,HendEr99,pass_defended,0,,,,,
player,201109110sdg,min,HendEr99,sacks,1.0,,,,,
player,201109110sdg,min,HendEr99,tackles_combined,9,,,,,
player,201109110sdg,min,HendEr99,tackles_solo,6,,,,,
player,201109110sdg,min,HendEr99,tackles_assists,3,,,,,
player,201109110sdg,min,HendEr99,tackles_loss,3,,,,,
player,201109110sdg,min,HendEr99,qb_hits,1,,,,,
player,201109110sdg,min,HendEr99,fumbles_rec,0,,,,,
player,201109110sdg,min,HendEr99,fumbles_rec_yds,0,,,,,
player,201109110sdg,min,HendEr99,fumbles_rec_td,0,,,,,
player,201109110sdg,min,HendEr99,fumbles_forced,0,,,,,
player,201109110sdg,min,RobiBr98,def_int,0,,,,,
player,201109110sdg,min,RobiBr98,def_int_yds,0,,,,,
player,201109110sdg,min,RobiBr98,def_int_td,0,,,,,
player,201109110sdg,min,RobiBr98,def_int_long,0,,,,,
player,201109110sdg,min,RobiBr98,pass_defended,1,,,,,
player,201109110sdg,min,RobiBr98,sacks,0.5,,,,,
player,201109110sdg,min,RobiBr98,tackles_combined,3,,,,,
player,201109110sdg,min,RobiBr98,tackles_solo,1,,,,,
player,201109110sdg,min,RobiBr98,tackles_assists,2,,,,,
player,201109110sdg,min,RobiBr98,tackles_loss,0,,,,,
player,201109110sdg,min,RobiBr98,qb_hits,1,,,,,
player,201109110sdg,min,RobiBr98,fumbles_rec,0,,,,,
player,201109110sdg,min,RobiBr98,fumbles_rec_yds,0,,,,,
player,201109110sdg,min,RobiBr98,fumbles_rec_td,0,,,,,
