game,2011,10,20111113,201111130sfo,nyg,"New York Giants",20,sfo,"San Francisco 49ers",27
player,201111130sfo,nyg,WebsCo20,tackles_solo,3,,,,,
player,201111130sfo,nyg,WebsCo20,tackles_assists,0,,,,,
player,201111130sfo,nyg,WebsCo20,tackles_loss,0,,,,,
player,201111130sfo,nyg,WebsCo20,qb_hits,0,,,,,
player,201111130sfo,nyg,WebsCo20,fumbles_rec,0,,,,,
player,201111130sfo,nyg,WebsCo20,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,WebsCo20,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,WebsCo20,fumbles_forced,0,,,,,
player,201111130sfo,nyg,JoseLi99,def_int,0,,,,,
player,201111130sfo,nyg,JoseLi99,def_int_yds,0,,,,,
player,201111130sfo,nyg,JoseLi99,def_int_td,0,,,,,
player,201111130sfo,nyg,JoseLi99,def_int_long,0,,,,,
player,201111130sfo,nyg,JoseLi99,pass_defended,0,,,,,
player,201111130sfo,nyg,JoseLi99,sacks,1.0,,,,,
player,201111130sfo,nyg,JoseLi99,tackles_combined,2,,,,,
player,201111130sfo,nyg,JoseLi99,tackles_solo,2,,,,,
player,201111130sfo,nyg,JoseLi99,tackles_assists,0,,,,,
player,201111130sfo,nyg,JoseLi99,tackles_loss,1,,,,,
player,201111130sfo,nyg,JoseLi99,qb_hits,2,,,,,
player,201111130sfo,nyg,JoseLi99,fumbles_rec,0,,,,,
player,201111130sfo,nyg,JoseLi99,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,JoseLi99,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,JoseLi99,fumbles_forced,0,,,,,
player,201111130sfo,nyg,UmenOs99,def_int,0,,,,,
player,201111130sfo,nyg,UmenOs99,def_int_yds,0,,,,,
player,201111130sfo,nyg,UmenOs99,def_int_td,0,,,,,
player,201111130sfo,nyg,UmenOs99,def_int_long,0,,,,,
player,201111130sfo,nyg,UmenOs99,pass_defended,1,,,,,
player,201111130sfo,nyg,UmenOs99,sacks,1.0,,,,,
player,201111130sfo,nyg,UmenOs99,tackles_combined,2,,,,,
player,201111130sfo,nyg,UmenOs99,tackles_solo,2,,,,,
player,201111130sfo,nyg,UmenOs99,tackles_assists,0,,,,,
player,201111130sfo,nyg,UmenOs99,tackles_loss,1,,,,,
player,201111130sfo,nyg,UmenOs99,qb_hits,1,,,,,
player,201111130sfo,nyg,UmenOs99,fumbles_rec,0,,,,,
player,201111130sfo,nyg,UmenOs99,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,UmenOs99,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,UmenOs99,fumbles_forced,0,,,,,
player,201111130sfo,nyg,PhilKe99,def_int,0,,,,,
player,201111130sfo,nyg,PhilKe99,def_int_yds,0,,,,,
player,201111130sfo,nyg,PhilKe99,def_int_td,0,,,,,
player,201111130sfo,nyg,PhilKe99,def_int_long,0,,,,,
player,201111130sfo,nyg,PhilKe99,pass_defended,1,,,,,
player,201111130sfo,nyg,PhilKe99,sacks,0.0,,,,,
player,201111130sfo,nyg,PhilKe99,tackles_combined,5,,,,,
player,201111130sfo,nyg,PhilKe99,tackles_solo,4,,,,,
player,201111130sfo,nyg,PhilKe99,tackles_assists,1,,,,,
player,201111130sfo,nyg,PhilKe99,tackles_loss,0,,,,,
player,201111130sfo,nyg,PhilKe99,qb_hits,0,,,,,
player,201111130sfo,nyg,PhilKe99,fumbles_rec,0,,,,,
player,201111130sfo,nyg,PhilKe99,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,PhilKe99,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,PhilKe99,fumbles_forced,0,,,,,
player,201111130sfo,nyg,RollAn20,def_int,0,,,,,
player,201111130sfo,nyg,RollAn20,def_int_yds,0,,,,,
player,201111130sfo,nyg,RollAn20,def_int_td,0,,,,,
player,201111130sfo,nyg,RollAn20,def_int_long,0,,,,,
player,201111130sfo,nyg,RollAn20,pass_defended,1,,,,,
player,201111130sfo,nyg,RollAn20,sacks,0.0,,,,,
player,201111130sfo,nyg,RollAn20,tackles_combined,5,,,,,
player,201111130sfo,nyg,RollAn20,tackles_solo,4,,,,,
player,201111130sfo,nyg,RollAn20,tackles_assists,1,,,,,
player,201111130sfo,nyg,RollAn20,tackles_loss,0,,,,,
player,201111130sfo,nyg,RollAn20,qb_hits,0,,,,,
player,201111130sfo,nyg,RollAn20,fumbles_rec,0,,,,,
player,201111130sfo,nyg,RollAn20,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,RollAn20,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,RollAn20,fumbles_forced,0,,,,,
player,201111130sfo,nyg,KiwaMa20,def_int,0,,,,,
player,201111130sfo,nyg,KiwaMa20,def_int_yds,0,,,,,
player,201111130sfo,nyg,KiwaMa20,def_int_td,0,,,,,
player,201111130sfo,nyg,KiwaMa20,def_int_long,0,,,,,
player,201111130sfo,nyg,KiwaMa20,pass_defended,0,,,,,
