game,2011,15,20111218,201112180kan,gnb,"Green Bay Packers",14,kan,"Kansas City Chiefs",19
player,201112180kan,gnb,CrabTo00,pass_yds,0,,,,,
player,201112180kan,gnb,CrabTo00,pass_td,0,,,,,
player,201112180kan,gnb,CrabTo00,pass_int,0,,,,,
player,201112180kan,gnb,CrabTo00,pass_sacked,0,,,,,
player,201112180kan,gnb,CrabTo00,pass_sacked_yds,0,,,,,
player,201112180kan,gnb,CrabTo00,pass_long,0,,,,,
player,201112180kan,gnb,CrabTo00,pass_rating,,,,,,
player,201112180kan,gnb,CrabTo00,rush_att,0,,,,,
player,201112180kan,gnb,CrabTo00,rush_yds,0,,,,,
player,201112180kan,gnb,CrabTo00,rush_td,0,,,,,
player,201112180kan,gnb,CrabTo00,rush_long,0,,,,,
player,201112180kan,gnb,CrabTo00,targets,1,,,,,
player,201112180kan,gnb,CrabTo00,rec,0,,,,,
player,201112180kan,gnb,CrabTo00,rec_yds,0,,,,,
player,201112180kan,gnb,CrabTo00,rec_td,0,,,,,
player,201112180kan,gnb,CrabTo00,rec_long,0,,,,,
player,201112180kan,gnb,CrabTo00,fumbles,0,,,,,
player,201112180kan,gnb,CrabTo00,fumbles_lost,,,,,,
player,201112180kan,kan,OrtoKy00,pass_cmp,23,,,,,
player,201112180kan,kan,OrtoKy00,pass_att,31,,,,,
player,201112180kan,kan,OrtoKy00,pass_yds,299,,,,,
player,201112180kan,kan,OrtoKy00,pass_td,0,,,,,
player,201112180kan,kan,OrtoKy00,pass_int,0,,,,,
player,201112180kan,kan,OrtoKy00,pass_sacked,0,,,,,
player,201112180kan,kan,OrtoKy00,pass_sacked_yds,0,,,,,
player,201112180kan,kan,OrtoKy00,pass_long,39,,,,,
player,201112180kan,kan,OrtoKy00,pass_rating,104.1,,,,,
player,201112180kan,kan,OrtoKy00,rush_att,4,,,,,
player,201112180kan,kan,OrtoKy00,rush_yds,-5,,,,,
player,201112180kan,kan,OrtoKy00,rush_td,0,,,,,
player,201112180kan,kan,OrtoKy00,rush_long,-1,,,,,
player,201112180kan,kan,OrtoKy00,targets,0,,,,,
player,201112180kan,kan,OrtoKy00,rec,0,,,,,
player,201112180kan,kan,OrtoKy00,rec_yds,0,,,,,
player,201112180kan,kan,OrtoKy00,rec_td,0,,,,,
player,201112180kan,kan,OrtoKy00,rec_long,0,,,,,
player,201112180kan,kan,OrtoKy00,fumbles,0,,,,,
player,201112180kan,kan,OrtoKy00,fumbles_lost,,,,,,
player,201112180kan,kan,JoneTh00,pass_cmp,0,,,,,
player,201112180kan,kan,JoneTh00,pass_att,0,,,,,
player,201112180kan,kan,JoneTh00,pass_yds,0,,,,,
player,201112180kan,kan,JoneTh00,pass_td,0,,,,,
player,201112180kan,kan,JoneTh00,pass_int,0,,,,,
player,201112180kan,kan,JoneTh00,pass_sacked,0,,,,,
player,201112180kan,kan,JoneTh00,pass_sacked_yds,0,,,,,
player,201112180kan,kan,JoneTh00,pass_long,0,,,,,
player,201112180kan,kan,JoneTh00,pass_rating,,,,,,
player,201112180kan,kan,JoneTh00,rush_att,15,,,,,
player,201112180kan,kan,JoneTh00,rush_yds,48,,,,,
player,201112180kan,kan,JoneTh00,rush_td,0,,,,,
player,201112180kan,kan,JoneTh00,rush_long,9,,,,,
player,201112180kan,kan,JoneTh00,targets,1,,,,,
player,201112180kan,kan,JoneTh00,rec,1,,,,,
player,201112180kan,kan,JoneTh00,rec_yds,27,,,,,
player,201112180kan,kan,JoneTh00,rec_td,0,,,,,
player,201112180kan,kan,JoneTh00,rec_long,27,,,,,
player,201112180kan,kan,JoneTh00,fumbles,0,,,,,
player,201112180kan,kan,JoneTh00,fumbles_lost,,,,,,
player,201112180kan,kan,BattJa00,pass_cmp,0,,,,,
player,201112180kan,kan,BattJa00,pass_att,0,,,,,
player,201112180kan,kan,BattJa00,pass_yds,0,,,,,
player,201112180kan,kan,BattJa00,pass_td,0,,,,,
player,201112180kan,kan,BattJa00,pass_int,0,,,,,
player,201112180kan,kan,BattJa00,pass_sacked,0,,,,,
player,201112180kan,kan,BattJa00,pass_sacked_yds,0,,,,,
player,201112180kan,kan,BattJa00,pass_long,0,,,,,
player,201112180kan,kan,BattJa00,pass_rating,,,,,,
player,201112180kan,kan,BattJa00,rush_att,10,,,,,
player,201112180kan,kan,BattJa00,rush_yds,37,,,,,
