game,2011,13,20111205,201112050jax,sdg,"San Diego Chargers",38,jax,"Jacksonville Jaguars",14
player,201112050jax,sdg,BrinCu00,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,BrinCu00,pass_long,0,,,,,
player,201112050jax,sdg,BrinCu00,pass_rating,,,,,,
player,201112050jax,sdg,BrinCu00,rush_att,3,,,,,
player,201112050jax,sdg,BrinCu00,rush_yds,5,,,,,
player,201112050jax,sdg,BrinCu00,rush_td,0,,,,,
player,201112050jax,sdg,BrinCu00,rush_long,3,,,,,
player,201112050jax,sdg,BrinCu00,targets,0,,,,,
player,201112050jax,sdg,BrinCu00,rec,0,,,,,
player,201112050jax,sdg,BrinCu00,rec_yds,0,,,,,
player,201112050jax,sdg,BrinCu00,rec_td,0,,,,,
player,201112050jax,sdg,BrinCu00,rec_long,0,,,,,
player,201112050jax,sdg,BrinCu00,fumbles,0,,,,,
player,201112050jax,sdg,BrinCu00,fumbles_lost,,,,,,
player,201112050jax,sdg,HestJa00,pass_cmp,0,,,,,
player,201112050jax,sdg,HestJa00,pass_att,0,,,,,
player,201112050jax,sdg,HestJa00,pass_yds,0,,,,,
player,201112050jax,sdg,HestJa00,pass_td,0,,,,,
player,201112050jax,sdg,HestJa00,pass_int,0,,,,,
player,201112050jax,sdg,HestJa00,pass_sacked,0,,,,,
player,201112050jax,sdg,HestJa00,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,HestJa00,pass_long,0,,,,,
player,201112050jax,sdg,HestJa00,pass_rating,,,,,,
player,201112050jax,sdg,HestJa00,rush_att,1,,,,,
player,201112050jax,sdg,HestJa00,rush_yds,1,,,,,
player,201112050jax,sdg,HestJa00,rush_td,0,,,,,
player,201112050jax,sdg,HestJa00,rush_long,1,,,,,
player,201112050jax,sdg,HestJa00,targets,2,,,,,
player,201112050jax,sdg,HestJa00,rec,1,,,,,
player,201112050jax,sdg,HestJa00,rec_yds,2,,,,,
player,201112050jax,sdg,HestJa00,rec_td,0,,,,,
player,201112050jax,sdg,HestJa00,rec_long,2,,,,,
player,201112050jax,sdg,HestJa00,fumbles,0,,,,,
player,201112050jax,sdg,HestJa00,fumbles_lost,,,,,,
player,201112050jax,sdg,FloyMa00,pass_cmp,0,,,,,
player,201112050jax,sdg,FloyMa00,pass_att,0,,,,,
player,201112050jax,sdg,FloyMa00,pass_yds,0,,,,,
player,201112050jax,sdg,FloyMa00,pass_td,0,,,,,
player,201112050jax,sdg,FloyMa00,pass_int,0,,,,,
player,201112050jax,sdg,FloyMa00,pass_sacked,0,,,,,
player,201112050jax,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,FloyMa00,pass_long,0,,,,,
player,201112050jax,sdg,FloyMa00,pass_rating,,,,,,
player,201112050jax,sdg,FloyMa00,rush_att,0,,,,,
player,201112050jax,sdg,FloyMa00,rush_yds,0,,,,,
player,201112050jax,sdg,FloyMa00,rush_td,0,,,,,
player,201112050jax,sdg,FloyMa00,rush_long,0,,,,,
player,201112050jax,sdg,FloyMa00,targets,4,,,,,
player,201112050jax,sdg,FloyMa00,rec,4,,,,,
player,201112050jax,sdg,FloyMa00,rec_yds,108,,,,,
player,201112050jax,sdg,FloyMa00,rec_td,1,,,,,
player,201112050jax,sdg,FloyMa00,rec_long,52,,,,,
player,201112050jax,sdg,FloyMa00,fumbles,0,,,,,
player,201112050jax,sdg,FloyMa00,fumbles_lost,,,,,,
player,201112050jax,sdg,JackVi00,pass_cmp,0,,,,,
player,201112050jax,sdg,JackVi00,pass_att,0,,,,,
player,201112050jax,sdg,JackVi00,pass_yds,0,,,,,
player,201112050jax,sdg,JackVi00,pass_td,0,,,,,
player,201112050jax,sdg,JackVi00,pass_int,0,,,,,
player,201112050jax,sdg,JackVi00,pass_sacked,0,,,,,
player,201112050jax,sdg,JackVi00,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,JackVi00,pass_long,0,,,,,
player,201112050jax,sdg,JackVi00,pass_rating,,,,,,
player,201112050jax,sdg,JackVi00,rush_att,0,,,,,
player,201112050jax,sdg,JackVi00,rush_yds,0,,,,,
player,201112050jax,sdg,JackVi00,rush_td,0,,,,,
player,201112050jax,sdg,JackVi00,rush_long,0,,,,,
player,201112050jax,sdg,JackVi00,targets,5,,,,,
player,201112050jax,sdg,JackVi00,rec,4,,,,,
player,201112050jax,sdg,JackVi00,rec_yds,72,,,,,
player,201112050jax,sdg,JackVi00,rec_td,1,,,,,
player,201112050jax,sdg,JackVi00,rec_long,35,,,,,
player,201112050jax,sdg,JackVi00,fumbles,0,,,,,
player,201112050jax,sdg,JackVi00,fumbles_lost,,,,,,
player,201112050jax,sdg,GateAn00,pass_cmp,0,,,,,
player,201112050jax,sdg,GateAn00,pass_att,0,,,,,
player,201112050jax,sdg,GateAn00,pass_yds,0,,,,,
player,201112050jax,sdg,GateAn00,pass_td,0,,,,,
player,201112050jax,sdg,GateAn00,pass_int,0,,,,,
player,201112050jax,sdg,GateAn00,pass_sacked,0,,,,,
player,201112050jax,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,GateAn00,pass_long,0,,,,,
player,201112050jax,sdg,GateAn00,pass_rating,,,,,,
player,201112050jax,sdg,GateAn00,rush_att,0,,,,,
player,201112050jax,sdg,GateAn00,rush_yds,0,,,,,
player,201112050jax,sdg,GateAn00,rush_td,0,,,,,
player,201112050jax,sdg,GateAn00,rush_long,0,,,,,
player,201112050jax,sdg,GateAn00,targets,7,,,,,
player,201112050jax,sdg,GateAn00,rec,6,,,,,
player,201112050jax,sdg,GateAn00,rec_yds,70,,,,,
player,201112050jax,sdg,GateAn00,rec_td,0,,,,,
player,201112050jax,sdg,GateAn00,rec_long,23,,,,,
player,201112050jax,sdg,GateAn00,fumbles,0,,,,,
player,201112050jax,sdg,GateAn00,fumbles_lost,,,,,,
player,201112050jax,sdg,BrowVi00,pass_cmp,0,,,,,
player,201112050jax,sdg,BrowVi00,pass_att,0,,,,,
player,201112050jax,sdg,BrowVi00,pass_yds,0,,,,,
player,201112050jax,sdg,BrowVi00,pass_td,0,,,,,
player,201112050jax,sdg,BrowVi00,pass_int,0,,,,,
player,201112050jax,sdg,BrowVi00,pass_sacked,0,,,,,
player,201112050jax,sdg,BrowVi00,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,BrowVi00,pass_long,0,,,,,
player,201112050jax,sdg,BrowVi00,pass_rating,,,,,,
player,201112050jax,sdg,BrowVi00,rush_att,0,,,,,
player,201112050jax,sdg,BrowVi00,rush_yds,0,,,,,
player,201112050jax,sdg,BrowVi00,rush_td,0,,,,,
player,201112050jax,sdg,BrowVi00,rush_long,0,,,,,
player,201112050jax,sdg,BrowVi00,targets,2,,,,,
player,201112050jax,sdg,BrowVi00,rec,1,,,,,
player,201112050jax,sdg,BrowVi00,rec_yds,22,,,,,
player,201112050jax,sdg,BrowVi00,rec_td,1,,,,,
player,201112050jax,sdg,BrowVi00,rec_long,22,,,,,
player,201112050jax,sdg,BrowVi00,fumbles,0,,,,,
player,201112050jax,sdg,BrowVi00,fumbles_lost,,,,,,
player,201112050jax,sdg,McMiRa01,pass_cmp,0,,,,,
player,201112050jax,sdg,McMiRa01,pass_att,0,,,,,
player,201112050jax,sdg,McMiRa01,pass_yds,0,,,,,
player,201112050jax,sdg,McMiRa01,pass_td,0,,,,,
player,201112050jax,sdg,McMiRa01,pass_int,0,,,,,
player,201112050jax,sdg,McMiRa01,pass_sacked,0,,,,,
player,201112050jax,sdg,McMiRa01,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,McMiRa01,pass_long,0,,,,,
player,201112050jax,sdg,McMiRa01,pass_rating,,,,,,
player,201112050jax,sdg,McMiRa01,rush_att,0,,,,,
player,201112050jax,sdg,McMiRa01,rush_yds,0,,,,,
player,201112050jax,sdg,McMiRa01,rush_td,0,,,,,
player,201112050jax,sdg,McMiRa01,rush_long,0,,,,,
player,201112050jax,sdg,McMiRa01,targets,3,,,,,
player,201112050jax,sdg,McMiRa01,rec,2,,,,,
player,201112050jax,sdg,McMiRa01,rec_yds,13,,,,,
player,201112050jax,sdg,McMiRa01,rec_td,0,,,,,
player,201112050jax,sdg,McMiRa01,rec_long,7,,,,,
player,201112050jax,sdg,McMiRa01,fumbles,0,,,,,
player,201112050jax,sdg,McMiRa01,fumbles_lost,,,,,,
player,201112050jax,sdg,CrayPa00,pass_cmp,0,,,,,
player,201112050jax,sdg,CrayPa00,pass_att,0,,,,,
player,201112050jax,sdg,CrayPa00,pass_yds,0,,,,,
player,201112050jax,sdg,CrayPa00,pass_td,0,,,,,
player,201112050jax,sdg,CrayPa00,pass_int,0,,,,,
player,201112050jax,sdg,CrayPa00,pass_sacked,0,,,,,
player,201112050jax,sdg,CrayPa00,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,CrayPa00,pass_long,0,,,,,
player,201112050jax,sdg,CrayPa00,pass_rating,,,,,,
player,201112050jax,sdg,CrayPa00,rush_att,0,,,,,
player,201112050jax,sdg,CrayPa00,rush_yds,0,,,,,
player,201112050jax,sdg,CrayPa00,rush_td,0,,,,,
player,201112050jax,sdg,CrayPa00,rush_long,0,,,,,
player,201112050jax,sdg,CrayPa00,targets,1,,,,,
player,201112050jax,sdg,CrayPa00,rec,1,,,,,
player,201112050jax,sdg,CrayPa00,rec_yds,5,,,,,
player,201112050jax,sdg,CrayPa00,rec_td,0,,,,,
player,201112050jax,sdg,CrayPa00,rec_long,5,,,,,
player,201112050jax,sdg,CrayPa00,fumbles,0,,,,,
player,201112050jax,sdg,CrayPa00,fumbles_lost,,,,,,
player,201112050jax,sdg,VoleBi00,pass_cmp,0,,,,,
player,201112050jax,sdg,VoleBi00,pass_att,0,,,,,
player,201112050jax,sdg,VoleBi00,pass_yds,0,,,,,
player,201112050jax,sdg,VoleBi00,pass_td,0,,,,,
player,201112050jax,sdg,VoleBi00,pass_int,0,,,,,
player,201112050jax,sdg,VoleBi00,pass_sacked,0,,,,,
player,201112050jax,sdg,VoleBi00,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,VoleBi00,pass_long,0,,,,,
player,201112050jax,sdg,VoleBi00,pass_rating,,,,,,
player,201112050jax,sdg,VoleBi00,rush_att,3,,,,,
player,201112050jax,sdg,VoleBi00,rush_yds,-3,,,,,
player,201112050jax,sdg,VoleBi00,rush_td,0,,,,,
player,201112050jax,sdg,VoleBi00,rush_long,-1,,,,,
player,201112050jax,sdg,VoleBi00,targets,0,,,,,
player,201112050jax,sdg,VoleBi00,rec,0,,,,,
player,201112050jax,sdg,VoleBi00,rec_yds,0,,,,,
player,201112050jax,sdg,VoleBi00,rec_td,0,,,,,
player,201112050jax,sdg,VoleBi00,rec_long,0,,,,,
player,201112050jax,sdg,VoleBi00,fumbles,0,,,,,
player,201112050jax,sdg,VoleBi00,fumbles_lost,,,,,,
player,201112050jax,jax,GabbBl00,pass_cmp,19,,,,,
player,201112050jax,jax,GabbBl00,pass_att,33,,,,,
player,201112050jax,jax,GabbBl00,pass_yds,195,,,,,
player,201112050jax,jax,GabbBl00,pass_td,2,,,,,
player,201112050jax,jax,GabbBl00,pass_int,1,,,,,
player,201112050jax,jax,GabbBl00,pass_sacked,2,,,,,
player,201112050jax,jax,GabbBl00,pass_sacked_yds,18,,,,,
player,201112050jax,jax,GabbBl00,pass_long,48,,,,,
player,201112050jax,jax,GabbBl00,pass_rating,82.3,,,,,
player,201112050jax,jax,GabbBl00,rush_att,6,,,,,
player,201112050jax,jax,GabbBl00,rush_yds,19,,,,,
player,201112050jax,jax,GabbBl00,rush_td,0,,,,,
player,201112050jax,jax,GabbBl00,rush_long,5,,,,,
player,201112050jax,jax,GabbBl00,targets,0,,,,,
player,201112050jax,jax,GabbBl00,rec,0,,,,,
player,201112050jax,jax,GabbBl00,rec_yds,0,,,,,
player,201112050jax,jax,GabbBl00,rec_td,0,,,,,
player,201112050jax,jax,GabbBl00,rec_long,0,,,,,
player,201112050jax,jax,GabbBl00,fumbles,1,,,,,
player,201112050jax,jax,GabbBl00,fumbles_lost,0,,,,,
player,201112050jax,jax,DrewMa00,pass_cmp,0,,,,,
player,201112050jax,jax,DrewMa00,pass_att,0,,,,,
player,201112050jax,jax,DrewMa00,pass_yds,0,,,,,
player,201112050jax,jax,DrewMa00,pass_td,0,,,,,
player,201112050jax,jax,DrewMa00,pass_int,0,,,,,
player,201112050jax,jax,DrewMa00,pass_sacked,0,,,,,
player,201112050jax,jax,DrewMa00,pass_sacked_yds,0,,,,,
player,201112050jax,jax,DrewMa00,pass_long,0,,,,,
player,201112050jax,jax,DrewMa00,pass_rating,,,,,,
player,201112050jax,jax,DrewMa00,rush_att,20,,,,,
player,201112050jax,jax,DrewMa00,rush_yds,97,,,,,
player,201112050jax,jax,DrewMa00,rush_td,0,,,,,
player,201112050jax,jax,DrewMa00,rush_long,17,,,,,
player,201112050jax,jax,DrewMa00,targets,8,,,,,
player,201112050jax,jax,DrewMa00,rec,6,,,,,
player,201112050jax,jax,DrewMa00,rec_yds,91,,,,,
player,201112050jax,jax,DrewMa00,rec_td,1,,,,,
player,201112050jax,jax,DrewMa00,rec_long,48,,,,,
player,201112050jax,jax,DrewMa00,fumbles,0,,,,,
player,201112050jax,jax,DrewMa00,fumbles_lost,,,,,,
player,201112050jax,jax,OwenMo01,pass_cmp,0,,,,,
player,201112050jax,jax,OwenMo01,pass_att,0,,,,,
player,201112050jax,jax,OwenMo01,pass_yds,0,,,,,
player,201112050jax,jax,OwenMo01,pass_td,0,,,,,
player,201112050jax,jax,OwenMo01,pass_int,0,,,,,
player,201112050jax,jax,OwenMo01,pass_sacked,0,,,,,
player,201112050jax,jax,OwenMo01,pass_sacked_yds,0,,,,,
player,201112050jax,jax,OwenMo01,pass_long,0,,,,,
player,201112050jax,jax,OwenMo01,pass_rating,,,,,,
player,201112050jax,jax,OwenMo01,rush_att,2,,,,,
player,201112050jax,jax,OwenMo01,rush_yds,11,,,,,
player,201112050jax,jax,OwenMo01,rush_td,0,,,,,
player,201112050jax,jax,OwenMo01,rush_long,9,,,,,
player,201112050jax,jax,OwenMo01,targets,2,,,,,
player,201112050jax,jax,OwenMo01,rec,1,,,,,
player,201112050jax,jax,OwenMo01,rec_yds,-4,,,,,
player,201112050jax,jax,OwenMo01,rec_td,0,,,,,
player,201112050jax,jax,OwenMo01,rec_long,-4,,,,,
player,201112050jax,jax,OwenMo01,fumbles,0,,,,,
player,201112050jax,jax,OwenMo01,fumbles_lost,,,,,,
player,201112050jax,jax,HarrDu01,pass_cmp,0,,,,,
player,201112050jax,jax,HarrDu01,pass_att,0,,,,,
player,201112050jax,jax,HarrDu01,pass_yds,0,,,,,
player,201112050jax,jax,HarrDu01,pass_td,0,,,,,
player,201112050jax,jax,HarrDu01,pass_int,0,,,,,
player,201112050jax,jax,HarrDu01,pass_sacked,0,,,,,
player,201112050jax,jax,HarrDu01,pass_sacked_yds,0,,,,,
player,201112050jax,jax,HarrDu01,pass_long,0,,,,,
player,201112050jax,jax,HarrDu01,pass_rating,,,,,,
player,201112050jax,jax,HarrDu01,rush_att,2,,,,,
player,201112050jax,jax,HarrDu01,rush_yds,2,,,,,
player,201112050jax,jax,HarrDu01,rush_td,0,,,,,
player,201112050jax,jax,HarrDu01,rush_long,3,,,,,
player,201112050jax,jax,HarrDu01,targets,0,,,,,
player,201112050jax,jax,HarrDu01,rec,0,,,,,
player,201112050jax,jax,HarrDu01,rec_yds,0,,,,,
player,201112050jax,jax,HarrDu01,rec_td,0,,,,,
player,201112050jax,jax,HarrDu01,rec_long,0,,,,,
player,201112050jax,jax,HarrDu01,fumbles,0,,,,,
player,201112050jax,jax,HarrDu01,fumbles_lost,,,,,,
player,201112050jax,jax,LewiMa00,pass_cmp,0,,,,,
player,201112050jax,jax,LewiMa00,pass_att,0,,,,,
player,201112050jax,jax,LewiMa00,pass_yds,0,,,,,
player,201112050jax,jax,LewiMa00,pass_td,0,,,,,
player,201112050jax,jax,LewiMa00,pass_int,0,,,,,
player,201112050jax,jax,LewiMa00,pass_sacked,0,,,,,
player,201112050jax,jax,LewiMa00,pass_sacked_yds,0,,,,,
player,201112050jax,jax,LewiMa00,pass_long,0,,,,,
player,201112050jax,jax,LewiMa00,pass_rating,,,,,,
player,201112050jax,jax,LewiMa00,rush_att,0,,,,,
player,201112050jax,jax,LewiMa00,rush_yds,0,,,,,
player,201112050jax,jax,LewiMa00,rush_td,0,,,,,
player,201112050jax,jax,LewiMa00,rush_long,0,,,,,
player,201112050jax,jax,LewiMa00,targets,4,,,,,
player,201112050jax,jax,LewiMa00,rec,3,,,,,
player,201112050jax,jax,LewiMa00,rec_yds,27,,,,,
player,201112050jax,jax,LewiMa00,rec_td,0,,,,,
player,201112050jax,jax,LewiMa00,rec_long,12,,,,,
player,201112050jax,jax,LewiMa00,fumbles,0,,,,,
player,201112050jax,jax,LewiMa00,fumbles_lost,,,,,,
player,201112050jax,jax,PottZa99,pass_cmp,0,,,,,
player,201112050jax,jax,PottZa99,pass_att,0,,,,,
player,201112050jax,jax,PottZa99,pass_yds,0,,,,,
player,201112050jax,jax,PottZa99,pass_td,0,,,,,
player,201112050jax,jax,PottZa99,pass_int,0,,,,,
player,201112050jax,jax,PottZa99,pass_sacked,0,,,,,
player,201112050jax,jax,PottZa99,pass_sacked_yds,0,,,,,
player,201112050jax,jax,PottZa99,pass_long,0,,,,,
player,201112050jax,jax,PottZa99,pass_rating,,,,,,
player,201112050jax,jax,PottZa99,rush_att,0,,,,,
player,201112050jax,jax,PottZa99,rush_yds,0,,,,,
player,201112050jax,jax,PottZa99,rush_td,0,,,,,
player,201112050jax,jax,PottZa99,rush_long,0,,,,,
player,201112050jax,jax,PottZa99,targets,3,,,,,
player,201112050jax,jax,PottZa99,rec,3,,,,,
player,201112050jax,jax,PottZa99,rec_yds,24,,,,,
player,201112050jax,jax,PottZa99,rec_td,0,,,,,
player,201112050jax,jax,PottZa99,rec_long,9,,,,,
player,201112050jax,jax,PottZa99,fumbles,0,,,,,
player,201112050jax,jax,PottZa99,fumbles_lost,,,,,,
player,201112050jax,jax,ThomMi01,pass_cmp,0,,,,,
player,201112050jax,jax,ThomMi01,pass_att,0,,,,,
player,201112050jax,jax,ThomMi01,pass_yds,0,,,,,
player,201112050jax,jax,ThomMi01,pass_td,0,,,,,
player,201112050jax,jax,ThomMi01,pass_int,0,,,,,
player,201112050jax,jax,ThomMi01,pass_sacked,0,,,,,
player,201112050jax,jax,ThomMi01,pass_sacked_yds,0,,,,,
player,201112050jax,jax,ThomMi01,pass_long,0,,,,,
player,201112050jax,jax,ThomMi01,pass_rating,,,,,,
player,201112050jax,jax,ThomMi01,rush_att,0,,,,,
player,201112050jax,jax,ThomMi01,rush_yds,0,,,,,
player,201112050jax,jax,ThomMi01,rush_td,0,,,,,
player,201112050jax,jax,ThomMi01,rush_long,0,,,,,
player,201112050jax,jax,ThomMi01,targets,6,,,,,
player,201112050jax,jax,ThomMi01,rec,2,,,,,
player,201112050jax,jax,ThomMi01,rec_yds,21,,,,,
player,201112050jax,jax,ThomMi01,rec_td,0,,,,,
player,201112050jax,jax,ThomMi01,rec_long,13,,,,,
player,201112050jax,jax,ThomMi01,fumbles,0,,,,,
player,201112050jax,jax,ThomMi01,fumbles_lost,,,,,,
player,201112050jax,jax,WhimGu20,pass_cmp,0,,,,,
player,201112050jax,jax,WhimGu20,pass_att,0,,,,,
player,201112050jax,jax,WhimGu20,pass_yds,0,,,,,
player,201112050jax,jax,WhimGu20,pass_td,0,,,,,
player,201112050jax,jax,WhimGu20,pass_int,0,,,,,
player,201112050jax,jax,WhimGu20,pass_sacked,0,,,,,
player,201112050jax,jax,WhimGu20,pass_sacked_yds,0,,,,,
player,201112050jax,jax,WhimGu20,pass_long,0,,,,,
player,201112050jax,jax,WhimGu20,pass_rating,,,,,,
player,201112050jax,jax,WhimGu20,rush_att,0,,,,,
player,201112050jax,jax,WhimGu20,rush_yds,0,,,,,
player,201112050jax,jax,WhimGu20,rush_td,0,,,,,
player,201112050jax,jax,WhimGu20,rush_long,0,,,,,
player,201112050jax,jax,WhimGu20,targets,1,,,,,
player,201112050jax,jax,WhimGu20,rec,1,,,,,
player,201112050jax,jax,WhimGu20,rec_yds,17,,,,,
player,201112050jax,jax,WhimGu20,rec_td,0,,,,,
player,201112050jax,jax,WhimGu20,rec_long,17,,,,,
player,201112050jax,jax,WhimGu20,fumbles,0,,,,,
player,201112050jax,jax,WhimGu20,fumbles_lost,,,,,,
player,201112050jax,jax,DillJa00,pass_cmp,0,,,,,
player,201112050jax,jax,DillJa00,pass_att,0,,,,,
player,201112050jax,jax,DillJa00,pass_yds,0,,,,,
player,201112050jax,jax,DillJa00,pass_td,0,,,,,
player,201112050jax,jax,DillJa00,pass_int,0,,,,,
player,201112050jax,jax,DillJa00,pass_sacked,0,,,,,
player,201112050jax,jax,DillJa00,pass_sacked_yds,0,,,,,
player,201112050jax,jax,DillJa00,pass_long,0,,,,,
player,201112050jax,jax,DillJa00,pass_rating,,,,,,
player,201112050jax,jax,DillJa00,rush_att,0,,,,,
player,201112050jax,jax,DillJa00,rush_yds,0,,,,,
player,201112050jax,jax,DillJa00,rush_td,0,,,,,
player,201112050jax,jax,DillJa00,rush_long,0,,,,,
player,201112050jax,jax,DillJa00,targets,7,,,,,
player,201112050jax,jax,DillJa00,rec,2,,,,,
player,201112050jax,jax,DillJa00,rec_yds,14,,,,,
player,201112050jax,jax,DillJa00,rec_td,0,,,,,
player,201112050jax,jax,DillJa00,rec_long,7,,,,,
player,201112050jax,jax,DillJa00,fumbles,0,,,,,
player,201112050jax,jax,DillJa00,fumbles_lost,,,,,,
player,201112050jax,jax,ShorCe00,pass_cmp,0,,,,,
player,201112050jax,jax,ShorCe00,pass_att,0,,,,,
player,201112050jax,jax,ShorCe00,pass_yds,0,,,,,
player,201112050jax,jax,ShorCe00,pass_td,0,,,,,
player,201112050jax,jax,ShorCe00,pass_int,0,,,,,
player,201112050jax,jax,ShorCe00,pass_sacked,0,,,,,
player,201112050jax,jax,ShorCe00,pass_sacked_yds,0,,,,,
