game,2011,7,20111023,201110230mia,den,"Denver Broncos",18,mia,"Miami Dolphins",15
player,201110230mia,den,McGaWi00,rec_td,0,,,,,
player,201110230mia,den,McGaWi00,rec_long,0,,,,,
player,201110230mia,den,McGaWi00,fumbles,1,,,,,
player,201110230mia,den,McGaWi00,fumbles_lost,1,,,,,
player,201110230mia,den,MoreKn00,pass_cmp,0,,,,,
player,201110230mia,den,MoreKn00,pass_att,0,,,,,
player,201110230mia,den,MoreKn00,pass_yds,0,,,,,
player,201110230mia,den,MoreKn00,pass_td,0,,,,,
player,201110230mia,den,MoreKn00,pass_int,0,,,,,
player,201110230mia,den,MoreKn00,pass_sacked,0,,,,,
player,201110230mia,den,MoreKn00,pass_sacked_yds,0,,,,,
player,201110230mia,den,MoreKn00,pass_long,0,,,,,
player,201110230mia,den,MoreKn00,pass_rating,,,,,,
player,201110230mia,den,MoreKn00,rush_att,7,,,,,
player,201110230mia,den,MoreKn00,rush_yds,28,,,,,
player,201110230mia,den,MoreKn00,rush_td,0,,,,,
player,201110230mia,den,MoreKn00,rush_long,13,,,,,
player,201110230mia,den,MoreKn00,targets,2,,,,,
player,201110230mia,den,MoreKn00,rec,2,,,,,
player,201110230mia,den,MoreKn00,rec_yds,10,,,,,
player,201110230mia,den,MoreKn00,rec_td,0,,,,,
player,201110230mia,den,MoreKn00,rec_long,9,,,,,
player,201110230mia,den,MoreKn00,fumbles,0,,,,,
player,201110230mia,den,MoreKn00,fumbles_lost,,,,,,
player,201110230mia,den,BallLa00,pass_cmp,0,,,,,
player,201110230mia,den,BallLa00,pass_att,0,,,,,
player,201110230mia,den,BallLa00,pass_yds,0,,,,,
player,201110230mia,den,BallLa00,pass_td,0,,,,,
player,201110230mia,den,BallLa00,pass_int,0,,,,,
player,201110230mia,den,BallLa00,pass_sacked,0,,,,,
player,201110230mia,den,BallLa00,pass_sacked_yds,0,,,,,
player,201110230mia,den,BallLa00,pass_long,0,,,,,
player,201110230mia,den,BallLa00,pass_rating,,,,,,
player,201110230mia,den,BallLa00,rush_att,6,,,,,
player,201110230mia,den,BallLa00,rush_yds,14,,,,,
player,201110230mia,den,BallLa00,rush_td,0,,,,,
player,201110230mia,den,BallLa00,rush_long,5,,,,,
player,201110230mia,den,BallLa00,targets,0,,,,,
player,201110230mia,den,BallLa00,rec,0,,,,,
player,201110230mia,den,BallLa00,rec_yds,0,,,,,
player,201110230mia,den,BallLa00,rec_td,0,,,,,
player,201110230mia,den,BallLa00,rec_long,0,,,,,
player,201110230mia,den,BallLa00,fumbles,0,,,,,
player,201110230mia,den,BallLa00,fumbles_lost,,,,,,
player,201110230mia,den,WillMa00,pass_cmp,0,,,,,
player,201110230mia,den,WillMa00,pass_att,0,,,,,
player,201110230mia,den,WillMa00,pass_yds,0,,,,,
player,201110230mia,den,WillMa00,pass_td,0,,,,,
player,201110230mia,den,WillMa00,pass_int,0,,,,,
player,201110230mia,den,WillMa00,pass_sacked,0,,,,,
player,201110230mia,den,WillMa00,pass_sacked_yds,0,,,,,
player,201110230mia,den,WillMa00,pass_long,0,,,,,
player,201110230mia,den,WillMa00,pass_rating,,,,,,
player,201110230mia,den,WillMa00,rush_att,0,,,,,
player,201110230mia,den,WillMa00,rush_yds,0,,,,,
player,201110230mia,den,WillMa00,rush_td,0,,,,,
player,201110230mia,den,WillMa00,rush_long,0,,,,,
player,201110230mia,den,WillMa00,targets,2,,,,,
player,201110230mia,den,WillMa00,rec,1,,,,,
player,201110230mia,den,WillMa00,rec_yds,42,,,,,
player,201110230mia,den,WillMa00,rec_td,0,,,,,
player,201110230mia,den,WillMa00,rec_long,42,,,,,
player,201110230mia,den,WillMa00,fumbles,0,,,,,
player,201110230mia,den,WillMa00,fumbles_lost,,,,,,
player,201110230mia,den,FellDa00,pass_cmp,0,,,,,
player,201110230mia,den,FellDa00,pass_att,0,,,,,
player,201110230mia,den,FellDa00,pass_yds,0,,,,,
player,201110230mia,den,FellDa00,pass_td,0,,,,,
player,201110230mia,den,FellDa00,pass_int,0,,,,,
player,201110230mia,den,FellDa00,pass_sacked,0,,,,,
player,201110230mia,den,FellDa00,pass_sacked_yds,0,,,,,
player,201110230mia,den,FellDa00,pass_long,0,,,,,
player,201110230mia,den,FellDa00,pass_rating,,,,,,
player,201110230mia,den,FellDa00,rush_att,0,,,,,
player,201110230mia,den,FellDa00,rush_yds,0,,,,,
player,201110230mia,den,FellDa00,rush_td,0,,,,,
player,201110230mia,den,FellDa00,rush_long,0,,,,,
player,201110230mia,den,FellDa00,targets,4,,,,,
player,201110230mia,den,FellDa00,rec,2,,,,,
player,201110230mia,den,FellDa00,rec_yds,31,,,,,
player,201110230mia,den,FellDa00,rec_td,1,,,,,
player,201110230mia,den,FellDa00,rec_long,28,,,,,
player,201110230mia,den,FellDa00,fumbles,0,,,,,
player,201110230mia,den,FellDa00,fumbles_lost,,,,,,
player,201110230mia,den,ThomDe03,pass_cmp,0,,,,,
player,201110230mia,den,ThomDe03,pass_att,0,,,,,
player,201110230mia,den,ThomDe03,pass_yds,0,,,,,
player,201110230mia,den,ThomDe03,pass_td,0,,,,,
player,201110230mia,den,ThomDe03,pass_int,0,,,,,
player,201110230mia,den,ThomDe03,pass_sacked,0,,,,,
player,201110230mia,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201110230mia,den,ThomDe03,pass_long,0,,,,,
player,201110230mia,den,ThomDe03,pass_rating,,,,,,
player,201110230mia,den,ThomDe03,rush_att,0,,,,,
player,201110230mia,den,ThomDe03,rush_yds,0,,,,,
player,201110230mia,den,ThomDe03,rush_td,0,,,,,
player,201110230mia,den,ThomDe03,rush_long,0,,,,,
player,201110230mia,den,ThomDe03,targets,10,,,,,
player,201110230mia,den,ThomDe03,rec,3,,,,,
player,201110230mia,den,ThomDe03,rec_yds,27,,,,,
player,201110230mia,den,ThomDe03,rec_td,1,,,,,
player,201110230mia,den,ThomDe03,rec_long,15,,,,,
player,201110230mia,den,ThomDe03,fumbles,0,,,,,
player,201110230mia,den,ThomDe03,fumbles_lost,,,,,,
player,201110230mia,den,DeckEr00,pass_cmp,0,,,,,
player,201110230mia,den,DeckEr00,pass_att,0,,,,,
player,201110230mia,den,DeckEr00,pass_yds,0,,,,,
player,201110230mia,den,DeckEr00,pass_td,0,,,,,
player,201110230mia,den,DeckEr00,pass_int,0,,,,,
player,201110230mia,den,DeckEr00,pass_sacked,0,,,,,
player,201110230mia,den,DeckEr00,pass_sacked_yds,0,,,,,
player,201110230mia,den,DeckEr00,pass_long,0,,,,,
player,201110230mia,den,DeckEr00,pass_rating,,,,,,
player,201110230mia,den,DeckEr00,rush_att,0,,,,,
player,201110230mia,den,DeckEr00,rush_yds,0,,,,,
player,201110230mia,den,DeckEr00,rush_td,0,,,,,
player,201110230mia,den,DeckEr00,rush_long,0,,,,,
player,201110230mia,den,DeckEr00,targets,3,,,,,
player,201110230mia,den,DeckEr00,rec,2,,,,,
player,201110230mia,den,DeckEr00,rec_yds,21,,,,,
player,201110230mia,den,DeckEr00,rec_td,0,,,,,
player,201110230mia,den,DeckEr00,rec_long,16,,,,,
player,201110230mia,den,DeckEr00,fumbles,0,,,,,
player,201110230mia,den,DeckEr00,fumbles_lost,,,,,,
player,201110230mia,den,LarsSp99,pass_cmp,0,,,,,
player,201110230mia,den,LarsSp99,pass_att,0,,,,,
player,201110230mia,den,LarsSp99,pass_yds,0,,,,,
player,201110230mia,den,LarsSp99,pass_td,0,,,,,
player,201110230mia,den,LarsSp99,pass_int,0,,,,,
player,201110230mia,den,LarsSp99,pass_sacked,0,,,,,
player,201110230mia,den,LarsSp99,pass_sacked_yds,0,,,,,
player,201110230mia,den,LarsSp99,pass_long,0,,,,,
player,201110230mia,den,LarsSp99,pass_rating,,,,,,
player,201110230mia,den,LarsSp99,rush_att,0,,,,,
player,201110230mia,den,LarsSp99,rush_yds,0,,,,,
player,201110230mia,den,LarsSp99,rush_td,0,,,,,
player,201110230mia,den,LarsSp99,rush_long,0,,,,,
player,201110230mia,den,LarsSp99,targets,1,,,,,
player,201110230mia,den,LarsSp99,rec,1,,,,,
player,201110230mia,den,LarsSp99,rec_yds,16,,,,,
player,201110230mia,den,LarsSp99,rec_td,0,,,,,
player,201110230mia,den,LarsSp99,rec_long,16,,,,,
player,201110230mia,den,LarsSp99,fumbles,0,,,,,
player,201110230mia,den,LarsSp99,fumbles_lost,,,,,,
player,201110230mia,den,RoyaEd00,pass_cmp,0,,,,,
player,201110230mia,den,RoyaEd00,pass_att,0,,,,,
player,201110230mia,den,RoyaEd00,pass_yds,0,,,,,
player,201110230mia,den,RoyaEd00,pass_td,0,,,,,
player,201110230mia,den,RoyaEd00,pass_int,0,,,,,
player,201110230mia,den,RoyaEd00,pass_sacked,0,,,,,
player,201110230mia,den,RoyaEd00,pass_sacked_yds,0,,,,,
player,201110230mia,den,RoyaEd00,pass_long,0,,,,,
player,201110230mia,den,RoyaEd00,pass_rating,,,,,,
player,201110230mia,den,RoyaEd00,rush_att,0,,,,,
player,201110230mia,den,RoyaEd00,rush_yds,0,,,,,
player,201110230mia,den,RoyaEd00,rush_td,0,,,,,
player,201110230mia,den,RoyaEd00,rush_long,0,,,,,
player,201110230mia,den,RoyaEd00,targets,4,,,,,
player,201110230mia,den,RoyaEd00,rec,2,,,,,
player,201110230mia,den,RoyaEd00,rec_yds,14,,,,,
player,201110230mia,den,RoyaEd00,rec_td,0,,,,,
player,201110230mia,den,RoyaEd00,rec_long,7,,,,,
player,201110230mia,den,RoyaEd00,fumbles,0,,,,,
player,201110230mia,den,RoyaEd00,fumbles_lost,,,,,,
player,201110230mia,den,RosaDa00,pass_cmp,0,,,,,
player,201110230mia,den,RosaDa00,pass_att,0,,,,,
player,201110230mia,den,RosaDa00,pass_yds,0,,,,,
player,201110230mia,den,RosaDa00,pass_td,0,,,,,
player,201110230mia,den,RosaDa00,pass_int,0,,,,,
player,201110230mia,den,RosaDa00,pass_sacked,0,,,,,
player,201110230mia,den,RosaDa00,pass_sacked_yds,0,,,,,
player,201110230mia,den,RosaDa00,pass_long,0,,,,,
player,201110230mia,den,RosaDa00,pass_rating,,,,,,
player,201110230mia,den,RosaDa00,rush_att,0,,,,,
player,201110230mia,den,RosaDa00,rush_yds,0,,,,,
player,201110230mia,den,RosaDa00,rush_td,0,,,,,
player,201110230mia,den,RosaDa00,rush_long,0,,,,,
player,201110230mia,den,RosaDa00,targets,1,,,,,
player,201110230mia,den,RosaDa00,rec,0,,,,,
player,201110230mia,den,RosaDa00,rec_yds,0,,,,,
player,201110230mia,den,RosaDa00,rec_td,0,,,,,
player,201110230mia,den,RosaDa00,rec_long,0,,,,,
player,201110230mia,den,RosaDa00,fumbles,0,,,,,
player,201110230mia,den,RosaDa00,fumbles_lost,,,,,,
player,201110230mia,mia,MoorMa01,pass_cmp,22,,,,,
player,201110230mia,mia,MoorMa01,pass_att,33,,,,,
player,201110230mia,mia,MoorMa01,pass_yds,197,,,,,
player,201110230mia,mia,MoorMa01,pass_td,1,,,,,
player,201110230mia,mia,MoorMa01,pass_int,0,,,,,
player,201110230mia,mia,MoorMa01,pass_sacked,4,,,,,
player,201110230mia,mia,MoorMa01,pass_sacked_yds,24,,,,,
player,201110230mia,mia,MoorMa01,pass_long,29,,,,,
player,201110230mia,mia,MoorMa01,pass_rating,92.6,,,,,
player,201110230mia,mia,MoorMa01,rush_att,2,,,,,
player,201110230mia,mia,MoorMa01,rush_yds,-1,,,,,
player,201110230mia,mia,MoorMa01,rush_td,0,,,,,
player,201110230mia,mia,MoorMa01,rush_long,0,,,,,
player,201110230mia,mia,MoorMa01,targets,0,,,,,
player,201110230mia,mia,MoorMa01,rec,0,,,,,
player,201110230mia,mia,MoorMa01,rec_yds,0,,,,,
player,201110230mia,mia,MoorMa01,rec_td,0,,,,,
player,201110230mia,mia,MoorMa01,rec_long,0,,,,,
player,201110230mia,mia,MoorMa01,fumbles,2,,,,,
player,201110230mia,mia,MoorMa01,fumbles_lost,1,,,,,
player,201110230mia,mia,ThomDa03,pass_cmp,0,,,,,
player,201110230mia,mia,ThomDa03,pass_att,0,,,,,
player,201110230mia,mia,ThomDa03,pass_yds,0,,,,,
player,201110230mia,mia,ThomDa03,pass_td,0,,,,,
player,201110230mia,mia,ThomDa03,pass_int,0,,,,,
player,201110230mia,mia,ThomDa03,pass_sacked,0,,,,,
player,201110230mia,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201110230mia,mia,ThomDa03,pass_long,0,,,,,
player,201110230mia,mia,ThomDa03,pass_rating,,,,,,
player,201110230mia,mia,ThomDa03,rush_att,19,,,,,
player,201110230mia,mia,ThomDa03,rush_yds,53,,,,,
player,201110230mia,mia,ThomDa03,rush_td,0,,,,,
player,201110230mia,mia,ThomDa03,rush_long,14,,,,,
player,201110230mia,mia,ThomDa03,targets,5,,,,,
player,201110230mia,mia,ThomDa03,rec,2,,,,,
player,201110230mia,mia,ThomDa03,rec_yds,0,,,,,
player,201110230mia,mia,ThomDa03,rec_td,0,,,,,
player,201110230mia,mia,ThomDa03,rec_long,5,,,,,
player,201110230mia,mia,ThomDa03,fumbles,0,,,,,
player,201110230mia,mia,ThomDa03,fumbles_lost,,,,,,
player,201110230mia,mia,BushRe00,pass_cmp,0,,,,,
player,201110230mia,mia,BushRe00,pass_att,0,,,,,
player,201110230mia,mia,BushRe00,pass_yds,0,,,,,
player,201110230mia,mia,BushRe00,pass_td,0,,,,,
player,201110230mia,mia,BushRe00,pass_int,0,,,,,
player,201110230mia,mia,BushRe00,pass_sacked,0,,,,,
player,201110230mia,mia,BushRe00,pass_sacked_yds,0,,,,,
player,201110230mia,mia,BushRe00,pass_long,0,,,,,
player,201110230mia,mia,BushRe00,pass_rating,,,,,,
player,201110230mia,mia,BushRe00,rush_att,10,,,,,
player,201110230mia,mia,BushRe00,rush_yds,42,,,,,
player,201110230mia,mia,BushRe00,rush_td,0,,,,,
player,201110230mia,mia,BushRe00,rush_long,12,,,,,
player,201110230mia,mia,BushRe00,targets,2,,,,,
player,201110230mia,mia,BushRe00,rec,2,,,,,
player,201110230mia,mia,BushRe00,rec_yds,4,,,,,
player,201110230mia,mia,BushRe00,rec_td,0,,,,,
player,201110230mia,mia,BushRe00,rec_long,6,,,,,
player,201110230mia,mia,BushRe00,fumbles,0,,,,,
player,201110230mia,mia,BushRe00,fumbles_lost,,,,,,
player,201110230mia,mia,MarsBr00,pass_cmp,0,,,,,
player,201110230mia,mia,MarsBr00,pass_att,0,,,,,
player,201110230mia,mia,MarsBr00,pass_yds,0,,,,,
player,201110230mia,mia,MarsBr00,pass_td,0,,,,,
player,201110230mia,mia,MarsBr00,pass_int,0,,,,,
player,201110230mia,mia,MarsBr00,pass_sacked,0,,,,,
player,201110230mia,mia,MarsBr00,pass_sacked_yds,0,,,,,
player,201110230mia,mia,MarsBr00,pass_long,0,,,,,
player,201110230mia,mia,MarsBr00,pass_rating,,,,,,
player,201110230mia,mia,MarsBr00,rush_att,0,,,,,
player,201110230mia,mia,MarsBr00,rush_yds,0,,,,,
player,201110230mia,mia,MarsBr00,rush_td,0,,,,,
player,201110230mia,mia,MarsBr00,rush_long,0,,,,,
player,201110230mia,mia,MarsBr00,targets,9,,,,,
player,201110230mia,mia,MarsBr00,rec,6,,,,,
player,201110230mia,mia,MarsBr00,rec_yds,61,,,,,
player,201110230mia,mia,MarsBr00,rec_td,0,,,,,
player,201110230mia,mia,MarsBr00,rec_long,16,,,,,
player,201110230mia,mia,MarsBr00,fumbles,0,,,,,
player,201110230mia,mia,MarsBr00,fumbles_lost,,,,,,
player,201110230mia,mia,BessDa00,pass_cmp,0,,,,,
player,201110230mia,mia,BessDa00,pass_att,0,,,,,
player,201110230mia,mia,BessDa00,pass_yds,0,,,,,
player,201110230mia,mia,BessDa00,pass_td,0,,,,,
player,201110230mia,mia,BessDa00,pass_int,0,,,,,
player,201110230mia,mia,BessDa00,pass_sacked,0,,,,,
player,201110230mia,mia,BessDa00,pass_sacked_yds,0,,,,,
player,201110230mia,mia,BessDa00,pass_long,0,,,,,
player,201110230mia,mia,BessDa00,pass_rating,,,,,,
player,201110230mia,mia,BessDa00,rush_att,0,,,,,
player,201110230mia,mia,BessDa00,rush_yds,0,,,,,
player,201110230mia,mia,BessDa00,rush_td,0,,,,,
player,201110230mia,mia,BessDa00,rush_long,0,,,,,
player,201110230mia,mia,BessDa00,targets,12,,,,,
player,201110230mia,mia,BessDa00,rec,7,,,,,
player,201110230mia,mia,BessDa00,rec_yds,52,,,,,
player,201110230mia,mia,BessDa00,rec_td,0,,,,,
player,201110230mia,mia,BessDa00,rec_long,13,,,,,
player,201110230mia,mia,BessDa00,fumbles,0,,,,,
player,201110230mia,mia,BessDa00,fumbles_lost,,,,,,
player,201110230mia,mia,ClayCh00,pass_cmp,0,,,,,
player,201110230mia,mia,ClayCh00,pass_att,0,,,,,
player,201110230mia,mia,ClayCh00,pass_yds,0,,,,,
player,201110230mia,mia,ClayCh00,pass_td,0,,,,,
player,201110230mia,mia,ClayCh00,pass_int,0,,,,,
player,201110230mia,mia,ClayCh00,pass_sacked,0,,,,,
player,201110230mia,mia,ClayCh00,pass_sacked_yds,0,,,,,
player,201110230mia,mia,ClayCh00,pass_long,0,,,,,
player,201110230mia,mia,ClayCh00,pass_rating,,,,,,
player,201110230mia,mia,ClayCh00,rush_att,0,,,,,
player,201110230mia,mia,ClayCh00,rush_yds,0,,,,,
player,201110230mia,mia,ClayCh00,rush_td,0,,,,,
player,201110230mia,mia,ClayCh00,rush_long,0,,,,,
player,201110230mia,mia,ClayCh00,targets,1,,,,,
player,201110230mia,mia,ClayCh00,rec,1,,,,,
player,201110230mia,mia,ClayCh00,rec_yds,29,,,,,
player,201110230mia,mia,ClayCh00,rec_td,0,,,,,
player,201110230mia,mia,ClayCh00,rec_long,29,,,,,
player,201110230mia,mia,ClayCh00,fumbles,0,,,,,
player,201110230mia,mia,ClayCh00,fumbles_lost,,,,,,
player,201110230mia,mia,HartBr00,pass_cmp,0,,,,,
player,201110230mia,mia,HartBr00,pass_att,0,,,,,
player,201110230mia,mia,HartBr00,pass_yds,0,,,,,
player,201110230mia,mia,HartBr00,pass_td,0,,,,,
player,201110230mia,mia,HartBr00,pass_int,0,,,,,
player,201110230mia,mia,HartBr00,pass_sacked,0,,,,,
player,201110230mia,mia,HartBr00,pass_sacked_yds,0,,,,,
player,201110230mia,mia,HartBr00,pass_long,0,,,,,
player,201110230mia,mia,HartBr00,pass_rating,,,,,,
player,201110230mia,mia,HartBr00,rush_att,0,,,,,
player,201110230mia,mia,HartBr00,rush_yds,0,,,,,
player,201110230mia,mia,HartBr00,rush_td,0,,,,,
player,201110230mia,mia,HartBr00,rush_long,0,,,,,
player,201110230mia,mia,HartBr00,targets,2,,,,,
player,201110230mia,mia,HartBr00,rec,2,,,,,
player,201110230mia,mia,HartBr00,rec_yds,29,,,,,
player,201110230mia,mia,HartBr00,rec_td,0,,,,,
player,201110230mia,mia,HartBr00,rec_long,15,,,,,
player,201110230mia,mia,HartBr00,fumbles,0,,,,,
player,201110230mia,mia,HartBr00,fumbles_lost,,,,,,
player,201110230mia,mia,FasaAn00,pass_cmp,0,,,,,
player,201110230mia,mia,FasaAn00,pass_att,0,,,,,
player,201110230mia,mia,FasaAn00,pass_yds,0,,,,,
player,201110230mia,mia,FasaAn00,pass_td,0,,,,,
player,201110230mia,mia,FasaAn00,pass_int,0,,,,,
player,201110230mia,mia,FasaAn00,pass_sacked,0,,,,,
player,201110230mia,mia,FasaAn00,pass_sacked_yds,0,,,,,
player,201110230mia,mia,FasaAn00,pass_long,0,,,,,
player,201110230mia,mia,FasaAn00,pass_rating,,,,,,
player,201110230mia,mia,FasaAn00,rush_att,0,,,,,
player,201110230mia,mia,FasaAn00,rush_yds,0,,,,,
player,201110230mia,mia,FasaAn00,rush_td,0,,,,,
player,201110230mia,mia,FasaAn00,rush_long,0,,,,,
player,201110230mia,mia,FasaAn00,targets,2,,,,,
player,201110230mia,mia,FasaAn00,rec,2,,,,,
player,201110230mia,mia,FasaAn00,rec_yds,22,,,,,
player,201110230mia,mia,FasaAn00,rec_td,1,,,,,
player,201110230mia,mia,FasaAn00,rec_long,16,,,,,
player,201110230mia,mia,FasaAn00,fumbles,0,,,,,
player,201110230mia,mia,FasaAn00,fumbles_lost,,,,,,
player,201110230mia,den,DawkBr00,def_int,0,,,,,
player,201110230mia,den,DawkBr00,def_int_yds,0,,,,,
player,201110230mia,den,DawkBr00,def_int_td,0,,,,,
player,201110230mia,den,DawkBr00,def_int_long,0,,,,,
player,201110230mia,den,DawkBr00,pass_defended,0,,,,,
player,201110230mia,den,DawkBr00,sacks,2.0,,,,,
player,201110230mia,den,DawkBr00,tackles_combined,5,,,,,
player,201110230mia,den,DawkBr00,tackles_solo,4,,,,,
player,201110230mia,den,DawkBr00,tackles_assists,1,,,,,
player,201110230mia,den,DawkBr00,tackles_loss,2,,,,,
player,201110230mia,den,DawkBr00,qb_hits,3,,,,,
player,201110230mia,den,DawkBr00,fumbles_rec,0,,,,,
player,201110230mia,den,DawkBr00,fumbles_rec_yds,0,,,,,
player,201110230mia,den,DawkBr00,fumbles_rec_td,0,,,,,
player,201110230mia,den,DawkBr00,fumbles_forced,0,,,,,
player,201110230mia,den,MillVo00,def_int,0,,,,,
player,201110230mia,den,MillVo00,def_int_yds,0,,,,,
player,201110230mia,den,MillVo00,def_int_td,0,,,,,
player,201110230mia,den,MillVo00,def_int_long,0,,,,,
player,201110230mia,den,MillVo00,pass_defended,0,,,,,
player,201110230mia,den,MillVo00,sacks,1.0,,,,,
player,201110230mia,den,MillVo00,tackles_combined,5,,,,,
player,201110230mia,den,MillVo00,tackles_solo,3,,,,,
player,201110230mia,den,MillVo00,tackles_assists,2,,,,,
player,201110230mia,den,MillVo00,tackles_loss,2,,,,,
player,201110230mia,den,MillVo00,qb_hits,3,,,,,
player,201110230mia,den,MillVo00,fumbles_rec,0,,,,,
player,201110230mia,den,MillVo00,fumbles_rec_yds,0,,,,,
player,201110230mia,den,MillVo00,fumbles_rec_td,0,,,,,
player,201110230mia,den,MillVo00,fumbles_forced,0,,,,,
player,201110230mia,den,WillD.20,def_int,0,,,,,
player,201110230mia,den,WillD.20,def_int_yds,0,,,,,
player,201110230mia,den,WillD.20,def_int_td,0,,,,,
player,201110230mia,den,WillD.20,def_int_long,0,,,,,
player,201110230mia,den,WillD.20,pass_defended,0,,,,,
player,201110230mia,den,WillD.20,sacks,1.0,,,,,
player,201110230mia,den,WillD.20,tackles_combined,5,,,,,
player,201110230mia,den,WillD.20,tackles_solo,3,,,,,
player,201110230mia,den,WillD.20,tackles_assists,2,,,,,
player,201110230mia,den,WillD.20,tackles_loss,0,,,,,
player,201110230mia,den,WillD.20,qb_hits,0,,,,,
player,201110230mia,den,WillD.20,fumbles_rec,1,,,,,
player,201110230mia,den,WillD.20,fumbles_rec_yds,0,,,,,
player,201110230mia,den,WillD.20,fumbles_rec_td,0,,,,,
player,201110230mia,den,WillD.20,fumbles_forced,1,,,,,
player,201110230mia,den,WilhJo99,def_int,0,,,,,
player,201110230mia,den,WilhJo99,def_int_yds,0,,,,,
player,201110230mia,den,WilhJo99,def_int_td,0,,,,,
player,201110230mia,den,WilhJo99,def_int_long,0,,,,,
player,201110230mia,den,WilhJo99,pass_defended,0,,,,,
player,201110230mia,den,WilhJo99,sacks,0.0,,,,,
player,201110230mia,den,WilhJo99,tackles_combined,11,,,,,
player,201110230mia,den,WilhJo99,tackles_solo,10,,,,,
player,201110230mia,den,WilhJo99,tackles_assists,1,,,,,
player,201110230mia,den,WilhJo99,tackles_loss,0,,,,,
player,201110230mia,den,WilhJo99,qb_hits,1,,,,,
player,201110230mia,den,WilhJo99,fumbles_rec,0,,,,,
player,201110230mia,den,WilhJo99,fumbles_rec_yds,0,,,,,
player,201110230mia,den,WilhJo99,fumbles_rec_td,0,,,,,
player,201110230mia,den,WilhJo99,fumbles_forced,0,,,,,
player,201110230mia,den,MaysJo99,def_int,0,,,,,
player,201110230mia,den,MaysJo99,def_int_yds,0,,,,,
