game,2010,7,20101024,201010240mia,pit,"Pittsburgh Steelers",23,mia,"Miami Dolphins",22
player,201010240mia,pit,MoorMe00,pass_td,0,,,,,
player,201010240mia,pit,MoorMe00,pass_int,0,,,,,
player,201010240mia,pit,MoorMe00,pass_sacked,,,,,,
player,201010240mia,pit,MoorMe00,pass_sacked_yds,,,,,,
player,201010240mia,pit,MoorMe00,pass_long,0,,,,,
player,201010240mia,pit,MoorMe00,pass_rating,,,,,,
player,201010240mia,pit,MoorMe00,rush_att,4,,,,,
player,201010240mia,pit,MoorMe00,rush_yds,11,,,,,
player,201010240mia,pit,MoorMe00,rush_td,0,,,,,
player,201010240mia,pit,MoorMe00,rush_long,16,,,,,
player,201010240mia,pit,MoorMe00,targets,4,,,,,
player,201010240mia,pit,MoorMe00,rec,4,,,,,
player,201010240mia,pit,MoorMe00,rec_yds,48,,,,,
player,201010240mia,pit,MoorMe00,rec_td,0,,,,,
player,201010240mia,pit,MoorMe00,rec_long,29,,,,,
player,201010240mia,pit,MoorMe00,fumbles,0,,,,,
player,201010240mia,pit,MoorMe00,fumbles_lost,,,,,,
player,201010240mia,pit,RedmIs20,pass_cmp,0,,,,,
player,201010240mia,pit,RedmIs20,pass_att,0,,,,,
player,201010240mia,pit,RedmIs20,pass_yds,0,,,,,
player,201010240mia,pit,RedmIs20,pass_td,0,,,,,
player,201010240mia,pit,RedmIs20,pass_int,0,,,,,
player,201010240mia,pit,RedmIs20,pass_sacked,,,,,,
player,201010240mia,pit,RedmIs20,pass_sacked_yds,,,,,,
player,201010240mia,pit,RedmIs20,pass_long,0,,,,,
player,201010240mia,pit,RedmIs20,pass_rating,,,,,,
player,201010240mia,pit,RedmIs20,rush_att,3,,,,,
player,201010240mia,pit,RedmIs20,rush_yds,9,,,,,
player,201010240mia,pit,RedmIs20,rush_td,0,,,,,
player,201010240mia,pit,RedmIs20,rush_long,6,,,,,
player,201010240mia,pit,RedmIs20,targets,0,,,,,
player,201010240mia,pit,RedmIs20,rec,0,,,,,
player,201010240mia,pit,RedmIs20,rec_yds,0,,,,,
player,201010240mia,pit,RedmIs20,rec_td,0,,,,,
player,201010240mia,pit,RedmIs20,rec_long,0,,,,,
player,201010240mia,pit,RedmIs20,fumbles,0,,,,,
player,201010240mia,pit,RedmIs20,fumbles_lost,,,,,,
player,201010240mia,pit,WardHi00,pass_cmp,0,,,,,
player,201010240mia,pit,WardHi00,pass_att,0,,,,,
player,201010240mia,pit,WardHi00,pass_yds,0,,,,,
player,201010240mia,pit,WardHi00,pass_td,0,,,,,
player,201010240mia,pit,WardHi00,pass_int,0,,,,,
player,201010240mia,pit,WardHi00,pass_sacked,,,,,,
player,201010240mia,pit,WardHi00,pass_sacked_yds,,,,,,
player,201010240mia,pit,WardHi00,pass_long,0,,,,,
player,201010240mia,pit,WardHi00,pass_rating,,,,,,
player,201010240mia,pit,WardHi00,rush_att,0,,,,,
player,201010240mia,pit,WardHi00,rush_yds,0,,,,,
player,201010240mia,pit,WardHi00,rush_td,0,,,,,
player,201010240mia,pit,WardHi00,rush_long,0,,,,,
player,201010240mia,pit,WardHi00,targets,11,,,,,
player,201010240mia,pit,WardHi00,rec,7,,,,,
player,201010240mia,pit,WardHi00,rec_yds,131,,,,,
player,201010240mia,pit,WardHi00,rec_td,1,,,,,
player,201010240mia,pit,WardHi00,rec_long,43,,,,,
player,201010240mia,pit,WardHi00,fumbles,0,,,,,
player,201010240mia,pit,WardHi00,fumbles_lost,,,,,,
player,201010240mia,pit,WallMi00,pass_cmp,0,,,,,
player,201010240mia,pit,WallMi00,pass_att,0,,,,,
player,201010240mia,pit,WallMi00,pass_yds,0,,,,,
player,201010240mia,pit,WallMi00,pass_td,0,,,,,
player,201010240mia,pit,WallMi00,pass_int,0,,,,,
player,201010240mia,pit,WallMi00,pass_sacked,,,,,,
player,201010240mia,pit,WallMi00,pass_sacked_yds,,,,,,
player,201010240mia,pit,WallMi00,pass_long,0,,,,,
player,201010240mia,pit,WallMi00,pass_rating,,,,,,
player,201010240mia,pit,WallMi00,rush_att,0,,,,,
player,201010240mia,pit,WallMi00,rush_yds,0,,,,,
player,201010240mia,pit,WallMi00,rush_td,0,,,,,
player,201010240mia,pit,WallMi00,rush_long,0,,,,,
player,201010240mia,pit,WallMi00,targets,4,,,,,
player,201010240mia,pit,WallMi00,rec,2,,,,,
player,201010240mia,pit,WallMi00,rec_yds,53,,,,,
player,201010240mia,pit,WallMi00,rec_td,1,,,,,
player,201010240mia,pit,WallMi00,rec_long,53,,,,,
player,201010240mia,pit,WallMi00,fumbles,0,,,,,
player,201010240mia,pit,WallMi00,fumbles_lost,,,,,,
player,201010240mia,pit,MillHe00,pass_cmp,0,,,,,
player,201010240mia,pit,MillHe00,pass_att,0,,,,,
player,201010240mia,pit,MillHe00,pass_yds,0,,,,,
player,201010240mia,pit,MillHe00,pass_td,0,,,,,
player,201010240mia,pit,MillHe00,pass_int,0,,,,,
player,201010240mia,pit,MillHe00,pass_sacked,,,,,,
player,201010240mia,pit,MillHe00,pass_sacked_yds,,,,,,
player,201010240mia,pit,MillHe00,pass_long,0,,,,,
player,201010240mia,pit,MillHe00,pass_rating,,,,,,
player,201010240mia,pit,MillHe00,rush_att,0,,,,,
player,201010240mia,pit,MillHe00,rush_yds,0,,,,,
player,201010240mia,pit,MillHe00,rush_td,0,,,,,
player,201010240mia,pit,MillHe00,rush_long,0,,,,,
player,201010240mia,pit,MillHe00,targets,3,,,,,
player,201010240mia,pit,MillHe00,rec,3,,,,,
player,201010240mia,pit,MillHe00,rec_yds,33,,,,,
player,201010240mia,pit,MillHe00,rec_td,0,,,,,
player,201010240mia,pit,MillHe00,rec_long,16,,,,,
player,201010240mia,pit,MillHe00,fumbles,0,,,,,
player,201010240mia,pit,MillHe00,fumbles_lost,,,,,,
player,201010240mia,pit,SandEm00,pass_cmp,0,,,,,
player,201010240mia,pit,SandEm00,pass_att,0,,,,,
player,201010240mia,pit,SandEm00,pass_yds,0,,,,,
player,201010240mia,pit,SandEm00,pass_td,0,,,,,
player,201010240mia,pit,SandEm00,pass_int,0,,,,,
player,201010240mia,pit,SandEm00,pass_sacked,,,,,,
player,201010240mia,pit,SandEm00,pass_sacked_yds,,,,,,
player,201010240mia,pit,SandEm00,pass_long,0,,,,,
player,201010240mia,pit,SandEm00,pass_rating,,,,,,
player,201010240mia,pit,SandEm00,rush_att,0,,,,,
player,201010240mia,pit,SandEm00,rush_yds,0,,,,,
player,201010240mia,pit,SandEm00,rush_td,0,,,,,
player,201010240mia,pit,SandEm00,rush_long,0,,,,,
player,201010240mia,pit,SandEm00,targets,1,,,,,
player,201010240mia,pit,SandEm00,rec,1,,,,,
player,201010240mia,pit,SandEm00,rec_yds,18,,,,,
player,201010240mia,pit,SandEm00,rec_td,0,,,,,
player,201010240mia,pit,SandEm00,rec_long,18,,,,,
player,201010240mia,pit,SandEm00,fumbles,1,,,,,
player,201010240mia,pit,SandEm00,fumbles_lost,1,,,,,
player,201010240mia,pit,RandAn00,pass_cmp,0,,,,,
player,201010240mia,pit,RandAn00,pass_att,0,,,,,
player,201010240mia,pit,RandAn00,pass_yds,0,,,,,
player,201010240mia,pit,RandAn00,pass_td,0,,,,,
player,201010240mia,pit,RandAn00,pass_int,0,,,,,
player,201010240mia,pit,RandAn00,pass_sacked,0,,,,,
player,201010240mia,pit,RandAn00,pass_sacked_yds,,,,,,
player,201010240mia,pit,RandAn00,pass_long,0,,,,,
player,201010240mia,pit,RandAn00,pass_rating,,,,,,
player,201010240mia,pit,RandAn00,rush_att,0,,,,,
player,201010240mia,pit,RandAn00,rush_yds,0,,,,,
player,201010240mia,pit,RandAn00,rush_td,0,,,,,
player,201010240mia,pit,RandAn00,rush_long,0,,,,,
player,201010240mia,pit,RandAn00,targets,3,,,,,
player,201010240mia,pit,RandAn00,rec,1,,,,,
player,201010240mia,pit,RandAn00,rec_yds,13,,,,,
player,201010240mia,pit,RandAn00,rec_td,0,,,,,
player,201010240mia,pit,RandAn00,rec_long,13,,,,,
player,201010240mia,pit,RandAn00,fumbles,0,,,,,
player,201010240mia,pit,RandAn00,fumbles_lost,,,,,,
player,201010240mia,pit,SpaeMa00,pass_cmp,,,,,,
player,201010240mia,pit,SpaeMa00,pass_att,,,,,,
player,201010240mia,pit,SpaeMa00,pass_yds,,,,,,
player,201010240mia,pit,SpaeMa00,pass_td,,,,,,
player,201010240mia,pit,SpaeMa00,pass_int,,,,,,
player,201010240mia,pit,SpaeMa00,pass_sacked,,,,,,
player,201010240mia,pit,SpaeMa00,pass_sacked_yds,,,,,,
player,201010240mia,pit,SpaeMa00,pass_long,,,,,,
player,201010240mia,pit,SpaeMa00,pass_rating,,,,,,
player,201010240mia,pit,SpaeMa00,rush_att,,,,,,
player,201010240mia,pit,SpaeMa00,rush_yds,,,,,,
player,201010240mia,pit,SpaeMa00,rush_td,,,,,,
player,201010240mia,pit,SpaeMa00,rush_long,,,,,,
player,201010240mia,pit,SpaeMa00,targets,1,,,,,
player,201010240mia,pit,SpaeMa00,rec,0,,,,,
player,201010240mia,pit,SpaeMa00,rec_yds,0,,,,,
player,201010240mia,pit,SpaeMa00,rec_td,0,,,,,
player,201010240mia,pit,SpaeMa00,rec_long,,,,,,
player,201010240mia,pit,SpaeMa00,fumbles,,,,,,
player,201010240mia,pit,SpaeMa00,fumbles_lost,,,,,,
player,201010240mia,mia,HennCh01,pass_cmp,23,,,,,
player,201010240mia,mia,HennCh01,pass_att,36,,,,,
player,201010240mia,mia,HennCh01,pass_yds,257,,,,,
player,201010240mia,mia,HennCh01,pass_td,1,,,,,
player,201010240mia,mia,HennCh01,pass_int,1,,,,,
player,201010240mia,mia,HennCh01,pass_sacked,1,,,,,
player,201010240mia,mia,HennCh01,pass_sacked_yds,8,,,,,
player,201010240mia,mia,HennCh01,pass_long,26,,,,,
player,201010240mia,mia,HennCh01,pass_rating,82.8,,,,,
player,201010240mia,mia,HennCh01,rush_att,0,,,,,
player,201010240mia,mia,HennCh01,rush_yds,0,,,,,
player,201010240mia,mia,HennCh01,rush_td,0,,,,,
player,201010240mia,mia,HennCh01,rush_long,0,,,,,
player,201010240mia,mia,HennCh01,targets,0,,,,,
player,201010240mia,mia,HennCh01,rec,0,,,,,
player,201010240mia,mia,HennCh01,rec_yds,0,,,,,
player,201010240mia,mia,HennCh01,rec_td,0,,,,,
player,201010240mia,mia,HennCh01,rec_long,0,,,,,
player,201010240mia,mia,HennCh01,fumbles,0,,,,,
player,201010240mia,mia,HennCh01,fumbles_lost,,,,,,
player,201010240mia,mia,WillRi00,pass_cmp,0,,,,,
player,201010240mia,mia,WillRi00,pass_att,0,,,,,
player,201010240mia,mia,WillRi00,pass_yds,0,,,,,
player,201010240mia,mia,WillRi00,pass_td,0,,,,,
player,201010240mia,mia,WillRi00,pass_int,0,,,,,
player,201010240mia,mia,WillRi00,pass_sacked,,,,,,
player,201010240mia,mia,WillRi00,pass_sacked_yds,,,,,,
player,201010240mia,mia,WillRi00,pass_long,0,,,,,
player,201010240mia,mia,WillRi00,pass_rating,,,,,,
player,201010240mia,mia,WillRi00,rush_att,11,,,,,
player,201010240mia,mia,WillRi00,rush_yds,48,,,,,
player,201010240mia,mia,WillRi00,rush_td,0,,,,,
player,201010240mia,mia,WillRi00,rush_long,11,,,,,
player,201010240mia,mia,WillRi00,targets,2,,,,,
player,201010240mia,mia,WillRi00,rec,0,,,,,
player,201010240mia,mia,WillRi00,rec_yds,0,,,,,
player,201010240mia,mia,WillRi00,rec_td,0,,,,,
player,201010240mia,mia,WillRi00,rec_long,0,,,,,
player,201010240mia,mia,WillRi00,fumbles,0,,,,,
player,201010240mia,mia,WillRi00,fumbles_lost,,,,,,
player,201010240mia,mia,BrowRo05,pass_cmp,0,,,,,
player,201010240mia,mia,BrowRo05,pass_att,0,,,,,
player,201010240mia,mia,BrowRo05,pass_yds,0,,,,,
player,201010240mia,mia,BrowRo05,pass_td,0,,,,,
player,201010240mia,mia,BrowRo05,pass_int,0,,,,,
player,201010240mia,mia,BrowRo05,pass_sacked,0,,,,,
player,201010240mia,mia,BrowRo05,pass_sacked_yds,,,,,,
player,201010240mia,mia,BrowRo05,pass_long,0,,,,,
player,201010240mia,mia,BrowRo05,pass_rating,,,,,,
player,201010240mia,mia,BrowRo05,rush_att,9,,,,,
player,201010240mia,mia,BrowRo05,rush_yds,14,,,,,
player,201010240mia,mia,BrowRo05,rush_td,0,,,,,
player,201010240mia,mia,BrowRo05,rush_long,6,,,,,
player,201010240mia,mia,BrowRo05,targets,4,,,,,
player,201010240mia,mia,BrowRo05,rec,2,,,,,
player,201010240mia,mia,BrowRo05,rec_yds,20,,,,,
player,201010240mia,mia,BrowRo05,rec_td,0,,,,,
player,201010240mia,mia,BrowRo05,rec_long,15,,,,,
player,201010240mia,mia,BrowRo05,fumbles,0,,,,,
player,201010240mia,mia,BrowRo05,fumbles_lost,,,,,,
player,201010240mia,mia,PoliLo00,pass_cmp,0,,,,,
player,201010240mia,mia,PoliLo00,pass_att,0,,,,,
player,201010240mia,mia,PoliLo00,pass_yds,0,,,,,
player,201010240mia,mia,PoliLo00,pass_td,0,,,,,
player,201010240mia,mia,PoliLo00,pass_int,0,,,,,
player,201010240mia,mia,PoliLo00,pass_sacked,,,,,,
player,201010240mia,mia,PoliLo00,pass_sacked_yds,,,,,,
player,201010240mia,mia,PoliLo00,pass_long,0,,,,,
player,201010240mia,mia,PoliLo00,pass_rating,,,,,,
player,201010240mia,mia,PoliLo00,rush_att,1,,,,,
player,201010240mia,mia,PoliLo00,rush_yds,2,,,,,
player,201010240mia,mia,PoliLo00,rush_td,0,,,,,
player,201010240mia,mia,PoliLo00,rush_long,2,,,,,
player,201010240mia,mia,PoliLo00,targets,2,,,,,
player,201010240mia,mia,PoliLo00,rec,1,,,,,
player,201010240mia,mia,PoliLo00,rec_yds,2,,,,,
player,201010240mia,mia,PoliLo00,rec_td,0,,,,,
player,201010240mia,mia,PoliLo00,rec_long,2,,,,,
player,201010240mia,mia,PoliLo00,fumbles,0,,,,,
player,201010240mia,mia,PoliLo00,fumbles_lost,,,,,,
player,201010240mia,mia,BessDa00,pass_cmp,0,,,,,
player,201010240mia,mia,BessDa00,pass_att,0,,,,,
player,201010240mia,mia,BessDa00,pass_yds,0,,,,,
player,201010240mia,mia,BessDa00,pass_td,0,,,,,
player,201010240mia,mia,BessDa00,pass_int,0,,,,,
player,201010240mia,mia,BessDa00,pass_sacked,,,,,,
player,201010240mia,mia,BessDa00,pass_sacked_yds,,,,,,
player,201010240mia,mia,BessDa00,pass_long,0,,,,,
player,201010240mia,mia,BessDa00,pass_rating,,,,,,
player,201010240mia,mia,BessDa00,rush_att,0,,,,,
player,201010240mia,mia,BessDa00,rush_yds,0,,,,,
player,201010240mia,mia,BessDa00,rush_td,0,,,,,
player,201010240mia,mia,BessDa00,rush_long,0,,,,,
player,201010240mia,mia,BessDa00,targets,7,,,,,
player,201010240mia,mia,BessDa00,rec,6,,,,,
player,201010240mia,mia,BessDa00,rec_yds,66,,,,,
player,201010240mia,mia,BessDa00,rec_td,1,,,,,
player,201010240mia,mia,BessDa00,rec_long,26,,,,,
player,201010240mia,mia,BessDa00,fumbles,0,,,,,
player,201010240mia,mia,BessDa00,fumbles_lost,,,,,,
player,201010240mia,mia,MarsBr00,pass_cmp,0,,,,,
player,201010240mia,mia,MarsBr00,pass_att,0,,,,,
player,201010240mia,mia,MarsBr00,pass_yds,0,,,,,
player,201010240mia,mia,MarsBr00,pass_td,0,,,,,
player,201010240mia,mia,MarsBr00,pass_int,0,,,,,
player,201010240mia,mia,MarsBr00,pass_sacked,0,,,,,
player,201010240mia,mia,MarsBr00,pass_sacked_yds,,,,,,
player,201010240mia,mia,MarsBr00,pass_long,0,,,,,
player,201010240mia,mia,MarsBr00,pass_rating,,,,,,
player,201010240mia,mia,MarsBr00,rush_att,0,,,,,
player,201010240mia,mia,MarsBr00,rush_yds,0,,,,,
player,201010240mia,mia,MarsBr00,rush_td,0,,,,,
player,201010240mia,mia,MarsBr00,rush_long,0,,,,,
player,201010240mia,mia,MarsBr00,targets,9,,,,,
player,201010240mia,mia,MarsBr00,rec,5,,,,,
player,201010240mia,mia,MarsBr00,rec_yds,57,,,,,
player,201010240mia,mia,MarsBr00,rec_td,0,,,,,
player,201010240mia,mia,MarsBr00,rec_long,19,,,,,
player,201010240mia,mia,MarsBr00,fumbles,0,,,,,
player,201010240mia,mia,MarsBr00,fumbles_lost,,,,,,
player,201010240mia,mia,HartBr00,pass_cmp,0,,,,,
player,201010240mia,mia,HartBr00,pass_att,0,,,,,
player,201010240mia,mia,HartBr00,pass_yds,0,,,,,
player,201010240mia,mia,HartBr00,pass_td,0,,,,,
player,201010240mia,mia,HartBr00,pass_int,0,,,,,
player,201010240mia,mia,HartBr00,pass_sacked,,,,,,
player,201010240mia,mia,HartBr00,pass_sacked_yds,,,,,,
player,201010240mia,mia,HartBr00,pass_long,0,,,,,
player,201010240mia,mia,HartBr00,pass_rating,,,,,,
player,201010240mia,mia,HartBr00,rush_att,0,,,,,
player,201010240mia,mia,HartBr00,rush_yds,0,,,,,
player,201010240mia,mia,HartBr00,rush_td,0,,,,,
player,201010240mia,mia,HartBr00,rush_long,0,,,,,
player,201010240mia,mia,HartBr00,targets,5,,,,,
player,201010240mia,mia,HartBr00,rec,5,,,,,
player,201010240mia,mia,HartBr00,rec_yds,57,,,,,
player,201010240mia,mia,HartBr00,rec_td,0,,,,,
player,201010240mia,mia,HartBr00,rec_long,24,,,,,
player,201010240mia,mia,HartBr00,fumbles,1,,,,,
player,201010240mia,mia,HartBr00,fumbles_lost,1,,,,,
player,201010240mia,mia,FasaAn00,pass_cmp,0,,,,,
player,201010240mia,mia,FasaAn00,pass_att,0,,,,,
player,201010240mia,mia,FasaAn00,pass_yds,0,,,,,
player,201010240mia,mia,FasaAn00,pass_td,0,,,,,
player,201010240mia,mia,FasaAn00,pass_int,0,,,,,
player,201010240mia,mia,FasaAn00,pass_sacked,,,,,,
player,201010240mia,mia,FasaAn00,pass_sacked_yds,,,,,,
player,201010240mia,mia,FasaAn00,pass_long,0,,,,,
player,201010240mia,mia,FasaAn00,pass_rating,,,,,,
player,201010240mia,mia,FasaAn00,rush_att,0,,,,,
player,201010240mia,mia,FasaAn00,rush_yds,0,,,,,
player,201010240mia,mia,FasaAn00,rush_td,0,,,,,
player,201010240mia,mia,FasaAn00,rush_long,0,,,,,
player,201010240mia,mia,FasaAn00,targets,5,,,,,
player,201010240mia,mia,FasaAn00,rec,3,,,,,
player,201010240mia,mia,FasaAn00,rec_yds,49,,,,,
player,201010240mia,mia,FasaAn00,rec_td,0,,,,,
player,201010240mia,mia,FasaAn00,rec_long,22,,,,,
player,201010240mia,mia,FasaAn00,fumbles,0,,,,,
player,201010240mia,mia,FasaAn00,fumbles_lost,,,,,,
player,201010240mia,mia,WallRo01,pass_cmp,0,,,,,
player,201010240mia,mia,WallRo01,pass_att,0,,,,,
player,201010240mia,mia,WallRo01,pass_yds,0,,,,,
player,201010240mia,mia,WallRo01,pass_td,0,,,,,
player,201010240mia,mia,WallRo01,pass_int,0,,,,,
player,201010240mia,mia,WallRo01,pass_sacked,,,,,,
player,201010240mia,mia,WallRo01,pass_sacked_yds,,,,,,
player,201010240mia,mia,WallRo01,pass_long,0,,,,,
player,201010240mia,mia,WallRo01,pass_rating,,,,,,
player,201010240mia,mia,WallRo01,rush_att,0,,,,,
player,201010240mia,mia,WallRo01,rush_yds,0,,,,,
player,201010240mia,mia,WallRo01,rush_td,0,,,,,
player,201010240mia,mia,WallRo01,rush_long,0,,,,,
player,201010240mia,mia,WallRo01,targets,1,,,,,
player,201010240mia,mia,WallRo01,rec,1,,,,,
player,201010240mia,mia,WallRo01,rec_yds,6,,,,,
player,201010240mia,mia,WallRo01,rec_td,0,,,,,
player,201010240mia,mia,WallRo01,rec_long,6,,,,,
player,201010240mia,mia,WallRo01,fumbles,0,,,,,
player,201010240mia,mia,WallRo01,fumbles_lost,,,,,,
player,201010240mia,pit,HarrJa23,def_int,1,,,,,
player,201010240mia,pit,HarrJa23,def_int_yds,2,,,,,
player,201010240mia,pit,HarrJa23,def_int_td,0,,,,,
player,201010240mia,pit,HarrJa23,def_int_long,2,,,,,
player,201010240mia,pit,HarrJa23,pass_defended,1,,,,,
player,201010240mia,pit,HarrJa23,sacks,0.0,,,,,
player,201010240mia,pit,HarrJa23,tackles_combined,4,,,,,
player,201010240mia,pit,HarrJa23,tackles_solo,3,,,,,
player,201010240mia,pit,HarrJa23,tackles_assists,1,,,,,
player,201010240mia,pit,HarrJa23,tackles_loss,0,,,,,
player,201010240mia,pit,HarrJa23,qb_hits,0,,,,,
player,201010240mia,pit,HarrJa23,fumbles_rec,0,,,,,
player,201010240mia,pit,HarrJa23,fumbles_rec_yds,0,,,,,
player,201010240mia,pit,HarrJa23,fumbles_rec_td,0,,,,,
player,201010240mia,pit,HarrJa23,fumbles_forced,0,,,,,
player,201010240mia,pit,FootLa20,def_int,0,,,,,
player,201010240mia,pit,FootLa20,def_int_yds,0,,,,,
player,201010240mia,pit,FootLa20,def_int_td,0,,,,,
player,201010240mia,pit,FootLa20,def_int_long,0,,,,,
player,201010240mia,pit,FootLa20,pass_defended,0,,,,,
player,201010240mia,pit,FootLa20,sacks,1.0,,,,,
player,201010240mia,pit,FootLa20,tackles_combined,4,,,,,
player,201010240mia,pit,FootLa20,tackles_solo,4,,,,,
player,201010240mia,pit,FootLa20,tackles_assists,0,,,,,
player,201010240mia,pit,FootLa20,tackles_loss,1,,,,,
player,201010240mia,pit,FootLa20,qb_hits,1,,,,,
player,201010240mia,pit,FootLa20,fumbles_rec,0,,,,,
player,201010240mia,pit,FootLa20,fumbles_rec_yds,0,,,,,
player,201010240mia,pit,FootLa20,fumbles_rec_td,0,,,,,
player,201010240mia,pit,FootLa20,fumbles_forced,0,,,,,
player,201010240mia,pit,McFaBr20,def_int,0,,,,,
player,201010240mia,pit,McFaBr20,def_int_yds,0,,,,,
player,201010240mia,pit,McFaBr20,def_int_td,0,,,,,
player,201010240mia,pit,McFaBr20,def_int_long,0,,,,,
player,201010240mia,pit,McFaBr20,pass_defended,0,,,,,
player,201010240mia,pit,McFaBr20,sacks,0.0,,,,,
player,201010240mia,pit,McFaBr20,tackles_combined,6,,,,,
player,201010240mia,pit,McFaBr20,tackles_solo,5,,,,,
player,201010240mia,pit,McFaBr20,tackles_assists,1,,,,,
player,201010240mia,pit,McFaBr20,tackles_loss,0,,,,,
player,201010240mia,pit,McFaBr20,qb_hits,0,,,,,
player,201010240mia,pit,McFaBr20,fumbles_rec,0,,,,,
player,201010240mia,pit,McFaBr20,fumbles_rec_yds,0,,,,,
player,201010240mia,pit,McFaBr20,fumbles_rec_td,0,,,,,
player,201010240mia,pit,McFaBr20,fumbles_forced,1,,,,,
player,201010240mia,pit,TaylIk20,def_int,0,,,,,
player,201010240mia,pit,TaylIk20,def_int_yds,0,,,,,
player,201010240mia,pit,TaylIk20,def_int_td,0,,,,,
player,201010240mia,pit,TaylIk20,def_int_long,0,,,,,
player,201010240mia,pit,TaylIk20,pass_defended,0,,,,,
player,201010240mia,pit,TaylIk20,sacks,0.0,,,,,
player,201010240mia,pit,TaylIk20,tackles_combined,6,,,,,
player,201010240mia,pit,TaylIk20,tackles_solo,6,,,,,
player,201010240mia,pit,TaylIk20,tackles_assists,0,,,,,
player,201010240mia,pit,TaylIk20,tackles_loss,0,,,,,
player,201010240mia,pit,TaylIk20,qb_hits,0,,,,,
player,201010240mia,pit,TaylIk20,fumbles_rec,0,,,,,
