game,2010,14,20101212,201012120jax,rai,"Oakland Raiders",31,jax,"Jacksonville Jaguars",38
player,201012120jax,rai,MurpLo00,rush_att,0,,,,,
player,201012120jax,rai,MurpLo00,rush_yds,0,,,,,
player,201012120jax,rai,MurpLo00,rush_td,0,,,,,
player,201012120jax,rai,MurpLo00,rush_long,0,,,,,
player,201012120jax,rai,MurpLo00,targets,11,,,,,
player,201012120jax,rai,MurpLo00,rec,6,,,,,
player,201012120jax,rai,MurpLo00,rec_yds,59,,,,,
player,201012120jax,rai,MurpLo00,rec_td,1,,,,,
player,201012120jax,rai,MurpLo00,rec_long,15,,,,,
player,201012120jax,rai,MurpLo00,fumbles,0,,,,,
player,201012120jax,rai,MurpLo00,fumbles_lost,,,,,,
player,201012120jax,rai,HeywDa00,pass_cmp,0,,,,,
player,201012120jax,rai,HeywDa00,pass_att,0,,,,,
player,201012120jax,rai,HeywDa00,pass_yds,0,,,,,
player,201012120jax,rai,HeywDa00,pass_td,0,,,,,
player,201012120jax,rai,HeywDa00,pass_int,0,,,,,
player,201012120jax,rai,HeywDa00,pass_sacked,,,,,,
player,201012120jax,rai,HeywDa00,pass_sacked_yds,,,,,,
player,201012120jax,rai,HeywDa00,pass_long,0,,,,,
player,201012120jax,rai,HeywDa00,pass_rating,,,,,,
player,201012120jax,rai,HeywDa00,rush_att,0,,,,,
player,201012120jax,rai,HeywDa00,rush_yds,0,,,,,
player,201012120jax,rai,HeywDa00,rush_td,0,,,,,
player,201012120jax,rai,HeywDa00,rush_long,0,,,,,
player,201012120jax,rai,HeywDa00,targets,3,,,,,
player,201012120jax,rai,HeywDa00,rec,2,,,,,
player,201012120jax,rai,HeywDa00,rec_yds,40,,,,,
player,201012120jax,rai,HeywDa00,rec_td,0,,,,,
player,201012120jax,rai,HeywDa00,rec_long,24,,,,,
player,201012120jax,rai,HeywDa00,fumbles,0,,,,,
player,201012120jax,rai,HeywDa00,fumbles_lost,,,,,,
player,201012120jax,rai,MyerBr00,pass_cmp,0,,,,,
player,201012120jax,rai,MyerBr00,pass_att,0,,,,,
player,201012120jax,rai,MyerBr00,pass_yds,0,,,,,
player,201012120jax,rai,MyerBr00,pass_td,0,,,,,
player,201012120jax,rai,MyerBr00,pass_int,0,,,,,
player,201012120jax,rai,MyerBr00,pass_sacked,,,,,,
player,201012120jax,rai,MyerBr00,pass_sacked_yds,,,,,,
player,201012120jax,rai,MyerBr00,pass_long,0,,,,,
player,201012120jax,rai,MyerBr00,pass_rating,,,,,,
player,201012120jax,rai,MyerBr00,rush_att,0,,,,,
player,201012120jax,rai,MyerBr00,rush_yds,0,,,,,
player,201012120jax,rai,MyerBr00,rush_td,0,,,,,
player,201012120jax,rai,MyerBr00,rush_long,0,,,,,
player,201012120jax,rai,MyerBr00,targets,1,,,,,
player,201012120jax,rai,MyerBr00,rec,1,,,,,
player,201012120jax,rai,MyerBr00,rec_yds,0,,,,,
player,201012120jax,rai,MyerBr00,rec_td,0,,,,,
player,201012120jax,rai,MyerBr00,rec_long,0,,,,,
player,201012120jax,rai,MyerBr00,fumbles,0,,,,,
player,201012120jax,rai,MyerBr00,fumbles_lost,,,,,,
player,201012120jax,rai,FordJa01,pass_cmp,0,,,,,
player,201012120jax,rai,FordJa01,pass_att,0,,,,,
player,201012120jax,rai,FordJa01,pass_yds,0,,,,,
player,201012120jax,rai,FordJa01,pass_td,0,,,,,
player,201012120jax,rai,FordJa01,pass_int,0,,,,,
player,201012120jax,rai,FordJa01,pass_sacked,,,,,,
player,201012120jax,rai,FordJa01,pass_sacked_yds,,,,,,
player,201012120jax,rai,FordJa01,pass_long,0,,,,,
player,201012120jax,rai,FordJa01,pass_rating,,,,,,
player,201012120jax,rai,FordJa01,rush_att,1,,,,,
player,201012120jax,rai,FordJa01,rush_yds,-2,,,,,
player,201012120jax,rai,FordJa01,rush_td,0,,,,,
player,201012120jax,rai,FordJa01,rush_long,-2,,,,,
player,201012120jax,rai,FordJa01,targets,5,,,,,
player,201012120jax,rai,FordJa01,rec,2,,,,,
player,201012120jax,rai,FordJa01,rec_yds,43,,,,,
player,201012120jax,rai,FordJa01,rec_td,0,,,,,
player,201012120jax,rai,FordJa01,rec_long,27,,,,,
player,201012120jax,rai,FordJa01,fumbles,1,,,,,
player,201012120jax,rai,FordJa01,fumbles_lost,1,,,,,
player,201012120jax,rai,SchiCh00,pass_cmp,,,,,,
player,201012120jax,rai,SchiCh00,pass_att,,,,,,
player,201012120jax,rai,SchiCh00,pass_yds,,,,,,
player,201012120jax,rai,SchiCh00,pass_td,,,,,,
player,201012120jax,rai,SchiCh00,pass_int,,,,,,
player,201012120jax,rai,SchiCh00,pass_sacked,,,,,,
player,201012120jax,rai,SchiCh00,pass_sacked_yds,,,,,,
player,201012120jax,rai,SchiCh00,pass_long,,,,,,
player,201012120jax,rai,SchiCh00,pass_rating,,,,,,
player,201012120jax,rai,SchiCh00,rush_att,,,,,,
player,201012120jax,rai,SchiCh00,rush_yds,,,,,,
player,201012120jax,rai,SchiCh00,rush_td,,,,,,
player,201012120jax,rai,SchiCh00,rush_long,,,,,,
player,201012120jax,rai,SchiCh00,targets,1,,,,,
player,201012120jax,rai,SchiCh00,rec,0,,,,,
player,201012120jax,rai,SchiCh00,rec_yds,0,,,,,
player,201012120jax,rai,SchiCh00,rec_td,0,,,,,
player,201012120jax,rai,SchiCh00,rec_long,,,,,,
player,201012120jax,rai,SchiCh00,fumbles,,,,,,
player,201012120jax,rai,SchiCh00,fumbles_lost,,,,,,
player,201012120jax,jax,GarrDa00,pass_cmp,11,,,,,
player,201012120jax,jax,GarrDa00,pass_att,22,,,,,
player,201012120jax,jax,GarrDa00,pass_yds,159,,,,,
player,201012120jax,jax,GarrDa00,pass_td,3,,,,,
player,201012120jax,jax,GarrDa00,pass_int,1,,,,,
player,201012120jax,jax,GarrDa00,pass_sacked,2,,,,,
player,201012120jax,jax,GarrDa00,pass_sacked_yds,8,,,,,
player,201012120jax,jax,GarrDa00,pass_long,48,,,,,
player,201012120jax,jax,GarrDa00,pass_rating,94.5,,,,,
player,201012120jax,jax,GarrDa00,rush_att,5,,,,,
player,201012120jax,jax,GarrDa00,rush_yds,32,,,,,
player,201012120jax,jax,GarrDa00,rush_td,0,,,,,
player,201012120jax,jax,GarrDa00,rush_long,24,,,,,
player,201012120jax,jax,GarrDa00,targets,0,,,,,
player,201012120jax,jax,GarrDa00,rec,0,,,,,
player,201012120jax,jax,GarrDa00,rec_yds,0,,,,,
player,201012120jax,jax,GarrDa00,rec_td,0,,,,,
player,201012120jax,jax,GarrDa00,rec_long,0,,,,,
player,201012120jax,jax,GarrDa00,fumbles,0,,,,,
player,201012120jax,jax,GarrDa00,fumbles_lost,,,,,,
player,201012120jax,jax,JennRa00,pass_cmp,0,,,,,
player,201012120jax,jax,JennRa00,pass_att,0,,,,,
player,201012120jax,jax,JennRa00,pass_yds,0,,,,,
player,201012120jax,jax,JennRa00,pass_td,0,,,,,
player,201012120jax,jax,JennRa00,pass_int,0,,,,,
player,201012120jax,jax,JennRa00,pass_sacked,,,,,,
player,201012120jax,jax,JennRa00,pass_sacked_yds,,,,,,
player,201012120jax,jax,JennRa00,pass_long,0,,,,,
player,201012120jax,jax,JennRa00,pass_rating,,,,,,
player,201012120jax,jax,JennRa00,rush_att,5,,,,,
player,201012120jax,jax,JennRa00,rush_yds,109,,,,,
player,201012120jax,jax,JennRa00,rush_td,1,,,,,
player,201012120jax,jax,JennRa00,rush_long,74,,,,,
player,201012120jax,jax,JennRa00,targets,1,,,,,
player,201012120jax,jax,JennRa00,rec,0,,,,,
player,201012120jax,jax,JennRa00,rec_yds,0,,,,,
player,201012120jax,jax,JennRa00,rec_td,0,,,,,
player,201012120jax,jax,JennRa00,rec_long,0,,,,,
player,201012120jax,jax,JennRa00,fumbles,0,,,,,
player,201012120jax,jax,JennRa00,fumbles_lost,,,,,,
player,201012120jax,jax,DrewMa00,pass_cmp,0,,,,,
player,201012120jax,jax,DrewMa00,pass_att,0,,,,,
player,201012120jax,jax,DrewMa00,pass_yds,0,,,,,
player,201012120jax,jax,DrewMa00,pass_td,0,,,,,
player,201012120jax,jax,DrewMa00,pass_int,0,,,,,
player,201012120jax,jax,DrewMa00,pass_sacked,0,,,,,
