game,2010,10,20101114,201011140sfo,ram,"St. Louis Rams",20,sfo,"San Francisco 49ers",23
player,201011140sfo,sfo,SmitTr02,pass_sacked,5,,,,,
player,201011140sfo,sfo,SmitTr02,pass_sacked_yds,33,,,,,
player,201011140sfo,sfo,SmitTr02,pass_long,65,,,,,
player,201011140sfo,sfo,SmitTr02,pass_rating,116.7,,,,,
player,201011140sfo,sfo,SmitTr02,rush_att,3,,,,,
player,201011140sfo,sfo,SmitTr02,rush_yds,12,,,,,
player,201011140sfo,sfo,SmitTr02,rush_td,0,,,,,
player,201011140sfo,sfo,SmitTr02,rush_long,6,,,,,
player,201011140sfo,sfo,SmitTr02,targets,0,,,,,
player,201011140sfo,sfo,SmitTr02,rec,0,,,,,
player,201011140sfo,sfo,SmitTr02,rec_yds,0,,,,,
player,201011140sfo,sfo,SmitTr02,rec_td,0,,,,,
player,201011140sfo,sfo,SmitTr02,rec_long,0,,,,,
player,201011140sfo,sfo,SmitTr02,fumbles,1,,,,,
player,201011140sfo,sfo,SmitTr02,fumbles_lost,0,,,,,
player,201011140sfo,sfo,GoreFr00,pass_cmp,0,,,,,
player,201011140sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201011140sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201011140sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201011140sfo,sfo,GoreFr00,pass_int,0,,,,,
player,201011140sfo,sfo,GoreFr00,pass_sacked,,,,,,
player,201011140sfo,sfo,GoreFr00,pass_sacked_yds,,,,,,
player,201011140sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201011140sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201011140sfo,sfo,GoreFr00,rush_att,22,,,,,
player,201011140sfo,sfo,GoreFr00,rush_yds,87,,,,,
player,201011140sfo,sfo,GoreFr00,rush_td,1,,,,,
player,201011140sfo,sfo,GoreFr00,rush_long,23,,,,,
player,201011140sfo,sfo,GoreFr00,targets,4,,,,,
player,201011140sfo,sfo,GoreFr00,rec,3,,,,,
player,201011140sfo,sfo,GoreFr00,rec_yds,67,,,,,
player,201011140sfo,sfo,GoreFr00,rec_td,0,,,,,
player,201011140sfo,sfo,GoreFr00,rec_long,30,,,,,
player,201011140sfo,sfo,GoreFr00,fumbles,0,,,,,
player,201011140sfo,sfo,GoreFr00,fumbles_lost,,,,,,
player,201011140sfo,sfo,WalkHu00,pass_cmp,0,,,,,
player,201011140sfo,sfo,WalkHu00,pass_att,0,,,,,
player,201011140sfo,sfo,WalkHu00,pass_yds,0,,,,,
player,201011140sfo,sfo,WalkHu00,pass_td,0,,,,,
player,201011140sfo,sfo,WalkHu00,pass_int,0,,,,,
player,201011140sfo,sfo,WalkHu00,pass_sacked,,,,,,
player,201011140sfo,sfo,WalkHu00,pass_sacked_yds,,,,,,
player,201011140sfo,sfo,WalkHu00,pass_long,0,,,,,
player,201011140sfo,sfo,WalkHu00,pass_rating,,,,,,
player,201011140sfo,sfo,WalkHu00,rush_att,0,,,,,
player,201011140sfo,sfo,WalkHu00,rush_yds,0,,,,,
player,201011140sfo,sfo,WalkHu00,rush_td,0,,,,,
player,201011140sfo,sfo,WalkHu00,rush_long,0,,,,,
player,201011140sfo,sfo,WalkHu00,targets,5,,,,,
