game,2010,2,20100919,201009190clt,nyg,"New York Giants",14,clt,"Indianapolis Colts",38
player,201009190clt,nyg,SmitSt02,rec_td,0,,,,,
player,201009190clt,nyg,SmitSt02,rec_long,9,,,,,
player,201009190clt,nyg,SmitSt02,fumbles,0,,,,,
player,201009190clt,nyg,SmitSt02,fumbles_lost,,,,,,
player,201009190clt,nyg,PascBe00,pass_cmp,0,,,,,
player,201009190clt,nyg,PascBe00,pass_att,0,,,,,
player,201009190clt,nyg,PascBe00,pass_yds,0,,,,,
player,201009190clt,nyg,PascBe00,pass_td,0,,,,,
player,201009190clt,nyg,PascBe00,pass_int,0,,,,,
player,201009190clt,nyg,PascBe00,pass_sacked,,,,,,
player,201009190clt,nyg,PascBe00,pass_sacked_yds,,,,,,
player,201009190clt,nyg,PascBe00,pass_long,0,,,,,
player,201009190clt,nyg,PascBe00,pass_rating,,,,,,
player,201009190clt,nyg,PascBe00,rush_att,0,,,,,
player,201009190clt,nyg,PascBe00,rush_yds,0,,,,,
player,201009190clt,nyg,PascBe00,rush_td,0,,,,,
player,201009190clt,nyg,PascBe00,rush_long,0,,,,,
player,201009190clt,nyg,PascBe00,targets,1,,,,,
player,201009190clt,nyg,PascBe00,rec,1,,,,,
player,201009190clt,nyg,PascBe00,rec_yds,7,,,,,
player,201009190clt,nyg,PascBe00,rec_td,0,,,,,
player,201009190clt,nyg,PascBe00,rec_long,7,,,,,
player,201009190clt,nyg,PascBe00,fumbles,0,,,,,
player,201009190clt,nyg,PascBe00,fumbles_lost,,,,,,
player,201009190clt,nyg,BeckTr00,pass_cmp,0,,,,,
player,201009190clt,nyg,BeckTr00,pass_att,0,,,,,
player,201009190clt,nyg,BeckTr00,pass_yds,0,,,,,
player,201009190clt,nyg,BeckTr00,pass_td,0,,,,,
player,201009190clt,nyg,BeckTr00,pass_int,0,,,,,
player,201009190clt,nyg,BeckTr00,pass_sacked,,,,,,
player,201009190clt,nyg,BeckTr00,pass_sacked_yds,,,,,,
player,201009190clt,nyg,BeckTr00,pass_long,0,,,,,
player,201009190clt,nyg,BeckTr00,pass_rating,,,,,,
player,201009190clt,nyg,BeckTr00,rush_att,0,,,,,
player,201009190clt,nyg,BeckTr00,rush_yds,0,,,,,
player,201009190clt,nyg,BeckTr00,rush_td,0,,,,,
player,201009190clt,nyg,BeckTr00,rush_long,0,,,,,
player,201009190clt,nyg,BeckTr00,targets,1,,,,,
player,201009190clt,nyg,BeckTr00,rec,1,,,,,
player,201009190clt,nyg,BeckTr00,rec_yds,1,,,,,
player,201009190clt,nyg,BeckTr00,rec_td,0,,,,,
player,201009190clt,nyg,BeckTr00,rec_long,1,,,,,
player,201009190clt,nyg,BeckTr00,fumbles,0,,,,,
player,201009190clt,nyg,BeckTr00,fumbles_lost,,,,,,
player,201009190clt,clt,MannPe00,pass_cmp,20,,,,,
player,201009190clt,clt,MannPe00,pass_att,26,,,,,
player,201009190clt,clt,MannPe00,pass_yds,255,,,,,
player,201009190clt,clt,MannPe00,pass_td,3,,,,,
player,201009190clt,clt,MannPe00,pass_int,0,,,,,
player,201009190clt,clt,MannPe00,pass_sacked,1,,,,,
player,201009190clt,clt,MannPe00,pass_sacked_yds,5,,,,,
player,201009190clt,clt,MannPe00,pass_long,50,,,,,
player,201009190clt,clt,MannPe00,pass_rating,145.5,,,,,
player,201009190clt,clt,MannPe00,rush_att,3,,,,,
player,201009190clt,clt,MannPe00,rush_yds,-3,,,,,
player,201009190clt,clt,MannPe00,rush_td,0,,,,,
player,201009190clt,clt,MannPe00,rush_long,-1,,,,,
player,201009190clt,clt,MannPe00,targets,0,,,,,
player,201009190clt,clt,MannPe00,rec,0,,,,,
player,201009190clt,clt,MannPe00,rec_yds,0,,,,,
player,201009190clt,clt,MannPe00,rec_td,0,,,,,
player,201009190clt,clt,MannPe00,rec_long,0,,,,,
player,201009190clt,clt,MannPe00,fumbles,0,,,,,
player,201009190clt,clt,MannPe00,fumbles_lost,,,,,,
player,201009190clt,clt,AddaJo00,pass_cmp,0,,,,,
player,201009190clt,clt,AddaJo00,pass_att,0,,,,,
player,201009190clt,clt,AddaJo00,pass_yds,0,,,,,
player,201009190clt,clt,AddaJo00,pass_td,0,,,,,
player,201009190clt,clt,AddaJo00,pass_int,0,,,,,
player,201009190clt,clt,AddaJo00,pass_sacked,,,,,,
player,201009190clt,clt,AddaJo00,pass_sacked_yds,,,,,,
player,201009190clt,clt,AddaJo00,pass_long,0,,,,,
player,201009190clt,clt,AddaJo00,pass_rating,,,,,,
player,201009190clt,clt,AddaJo00,rush_att,20,,,,,
player,201009190clt,clt,AddaJo00,rush_yds,92,,,,,
player,201009190clt,clt,AddaJo00,rush_td,0,,,,,
player,201009190clt,clt,AddaJo00,rush_long,16,,,,,
player,201009190clt,clt,AddaJo00,targets,3,,,,,
player,201009190clt,clt,AddaJo00,rec,2,,,,,
player,201009190clt,clt,AddaJo00,rec_yds,21,,,,,
player,201009190clt,clt,AddaJo00,rec_td,0,,,,,
player,201009190clt,clt,AddaJo00,rec_long,13,,,,,
player,201009190clt,clt,AddaJo00,fumbles,1,,,,,
player,201009190clt,clt,AddaJo00,fumbles_lost,0,,,,,
player,201009190clt,clt,BrowDo00,pass_cmp,0,,,,,
player,201009190clt,clt,BrowDo00,pass_att,0,,,,,
player,201009190clt,clt,BrowDo00,pass_yds,0,,,,,
player,201009190clt,clt,BrowDo00,pass_td,0,,,,,
player,201009190clt,clt,BrowDo00,pass_int,0,,,,,
player,201009190clt,clt,BrowDo00,pass_sacked,,,,,,
player,201009190clt,clt,BrowDo00,pass_sacked_yds,,,,,,
player,201009190clt,clt,BrowDo00,pass_long,0,,,,,
player,201009190clt,clt,BrowDo00,pass_rating,,,,,,
player,201009190clt,clt,BrowDo00,rush_att,16,,,,,
player,201009190clt,clt,BrowDo00,rush_yds,69,,,,,
player,201009190clt,clt,BrowDo00,rush_td,1,,,,,
player,201009190clt,clt,BrowDo00,rush_long,11,,,,,
player,201009190clt,clt,BrowDo00,targets,1,,,,,
player,201009190clt,clt,BrowDo00,rec,1,,,,,
player,201009190clt,clt,BrowDo00,rec_yds,19,,,,,
player,201009190clt,clt,BrowDo00,rec_td,0,,,,,
player,201009190clt,clt,BrowDo00,rec_long,19,,,,,
player,201009190clt,clt,BrowDo00,fumbles,0,,,,,
player,201009190clt,clt,BrowDo00,fumbles_lost,,,,,,
player,201009190clt,clt,HartMi00,pass_cmp,0,,,,,
player,201009190clt,clt,HartMi00,pass_att,0,,,,,
player,201009190clt,clt,HartMi00,pass_yds,0,,,,,
player,201009190clt,clt,HartMi00,pass_td,0,,,,,
player,201009190clt,clt,HartMi00,pass_int,0,,,,,
player,201009190clt,clt,HartMi00,pass_sacked,,,,,,
player,201009190clt,clt,HartMi00,pass_sacked_yds,,,,,,
player,201009190clt,clt,HartMi00,pass_long,0,,,,,
player,201009190clt,clt,HartMi00,pass_rating,,,,,,
player,201009190clt,clt,HartMi00,rush_att,2,,,,,
player,201009190clt,clt,HartMi00,rush_yds,4,,,,,
player,201009190clt,clt,HartMi00,rush_td,0,,,,,
player,201009190clt,clt,HartMi00,rush_long,3,,,,,
player,201009190clt,clt,HartMi00,targets,0,,,,,
player,201009190clt,clt,HartMi00,rec,0,,,,,
player,201009190clt,clt,HartMi00,rec_yds,0,,,,,
player,201009190clt,clt,HartMi00,rec_td,0,,,,,
player,201009190clt,clt,HartMi00,rec_long,0,,,,,
player,201009190clt,clt,HartMi00,fumbles,0,,,,,
player,201009190clt,clt,HartMi00,fumbles_lost,,,,,,
player,201009190clt,clt,WaynRe00,pass_cmp,0,,,,,
player,201009190clt,clt,WaynRe00,pass_att,0,,,,,
player,201009190clt,clt,WaynRe00,pass_yds,0,,,,,
player,201009190clt,clt,WaynRe00,pass_td,0,,,,,
player,201009190clt,clt,WaynRe00,pass_int,0,,,,,
player,201009190clt,clt,WaynRe00,pass_sacked,,,,,,
player,201009190clt,clt,WaynRe00,pass_sacked_yds,,,,,,
player,201009190clt,clt,WaynRe00,pass_long,0,,,,,
player,201009190clt,clt,WaynRe00,pass_rating,,,,,,
player,201009190clt,clt,WaynRe00,rush_att,0,,,,,
player,201009190clt,clt,WaynRe00,rush_yds,0,,,,,
player,201009190clt,clt,WaynRe00,rush_td,0,,,,,
player,201009190clt,clt,WaynRe00,rush_long,0,,,,,
player,201009190clt,clt,WaynRe00,targets,9,,,,,
player,201009190clt,clt,WaynRe00,rec,7,,,,,
player,201009190clt,clt,WaynRe00,rec_yds,96,,,,,
player,201009190clt,clt,WaynRe00,rec_td,1,,,,,
player,201009190clt,clt,WaynRe00,rec_long,34,,,,,
player,201009190clt,clt,WaynRe00,fumbles,0,,,,,
player,201009190clt,clt,WaynRe00,fumbles_lost,,,,,,
player,201009190clt,clt,ClarDa00,pass_cmp,0,,,,,
player,201009190clt,clt,ClarDa00,pass_att,0,,,,,
player,201009190clt,clt,ClarDa00,pass_yds,0,,,,,
player,201009190clt,clt,ClarDa00,pass_td,0,,,,,
player,201009190clt,clt,ClarDa00,pass_int,0,,,,,
player,201009190clt,clt,ClarDa00,pass_sacked,,,,,,
player,201009190clt,clt,ClarDa00,pass_sacked_yds,,,,,,
player,201009190clt,clt,ClarDa00,pass_long,0,,,,,
player,201009190clt,clt,ClarDa00,pass_rating,,,,,,
player,201009190clt,clt,ClarDa00,rush_att,0,,,,,
player,201009190clt,clt,ClarDa00,rush_yds,0,,,,,
player,201009190clt,clt,ClarDa00,rush_td,0,,,,,
player,201009190clt,clt,ClarDa00,rush_long,0,,,,,
player,201009190clt,clt,ClarDa00,targets,7,,,,,
player,201009190clt,clt,ClarDa00,rec,5,,,,,
player,201009190clt,clt,ClarDa00,rec_yds,83,,,,,
player,201009190clt,clt,ClarDa00,rec_td,1,,,,,
player,201009190clt,clt,ClarDa00,rec_long,50,,,,,
player,201009190clt,clt,ClarDa00,fumbles,0,,,,,
player,201009190clt,clt,ClarDa00,fumbles_lost,,,,,,
player,201009190clt,clt,CollAu00,pass_cmp,0,,,,,
player,201009190clt,clt,CollAu00,pass_att,0,,,,,
player,201009190clt,clt,CollAu00,pass_yds,0,,,,,
player,201009190clt,clt,CollAu00,pass_td,0,,,,,
player,201009190clt,clt,CollAu00,pass_int,0,,,,,
player,201009190clt,clt,CollAu00,pass_sacked,,,,,,
player,201009190clt,clt,CollAu00,pass_sacked_yds,,,,,,
player,201009190clt,clt,CollAu00,pass_long,0,,,,,
player,201009190clt,clt,CollAu00,pass_rating,,,,,,
player,201009190clt,clt,CollAu00,rush_att,0,,,,,
player,201009190clt,clt,CollAu00,rush_yds,0,,,,,
player,201009190clt,clt,CollAu00,rush_td,0,,,,,
player,201009190clt,clt,CollAu00,rush_long,0,,,,,
player,201009190clt,clt,CollAu00,targets,4,,,,,
player,201009190clt,clt,CollAu00,rec,4,,,,,
player,201009190clt,clt,CollAu00,rec_yds,25,,,,,
player,201009190clt,clt,CollAu00,rec_td,1,,,,,
player,201009190clt,clt,CollAu00,rec_long,9,,,,,
player,201009190clt,clt,CollAu00,fumbles,0,,,,,
player,201009190clt,clt,CollAu00,fumbles_lost,,,,,,
player,201009190clt,clt,GarcPi00,pass_cmp,0,,,,,
player,201009190clt,clt,GarcPi00,pass_att,0,,,,,
player,201009190clt,clt,GarcPi00,pass_yds,0,,,,,
player,201009190clt,clt,GarcPi00,pass_td,0,,,,,
player,201009190clt,clt,GarcPi00,pass_int,0,,,,,
player,201009190clt,clt,GarcPi00,pass_sacked,,,,,,
player,201009190clt,clt,GarcPi00,pass_sacked_yds,,,,,,
player,201009190clt,clt,GarcPi00,pass_long,0,,,,,
player,201009190clt,clt,GarcPi00,pass_rating,,,,,,
player,201009190clt,clt,GarcPi00,rush_att,0,,,,,
player,201009190clt,clt,GarcPi00,rush_yds,0,,,,,
player,201009190clt,clt,GarcPi00,rush_td,0,,,,,
player,201009190clt,clt,GarcPi00,rush_long,0,,,,,
player,201009190clt,clt,GarcPi00,targets,2,,,,,
player,201009190clt,clt,GarcPi00,rec,1,,,,,
player,201009190clt,clt,GarcPi00,rec_yds,11,,,,,
player,201009190clt,clt,GarcPi00,rec_td,0,,,,,
player,201009190clt,clt,GarcPi00,rec_long,11,,,,,
player,201009190clt,clt,GarcPi00,fumbles,0,,,,,
player,201009190clt,clt,GarcPi00,fumbles_lost,,,,,,
player,201009190clt,clt,MoorDe01,pass_cmp,0,,,,,
player,201009190clt,clt,MoorDe01,pass_att,0,,,,,
player,201009190clt,clt,MoorDe01,pass_yds,0,,,,,
player,201009190clt,clt,MoorDe01,pass_td,0,,,,,
player,201009190clt,clt,MoorDe01,pass_int,0,,,,,
player,201009190clt,clt,MoorDe01,pass_sacked,,,,,,
player,201009190clt,clt,MoorDe01,pass_sacked_yds,,,,,,
player,201009190clt,clt,MoorDe01,pass_long,0,,,,,
player,201009190clt,clt,MoorDe01,pass_rating,,,,,,
player,201009190clt,clt,MoorDe01,rush_att,2,,,,,
player,201009190clt,clt,MoorDe01,rush_yds,-2,,,,,
player,201009190clt,clt,MoorDe01,rush_td,0,,,,,
player,201009190clt,clt,MoorDe01,rush_long,1,,,,,
player,201009190clt,clt,MoorDe01,targets,0,,,,,
player,201009190clt,clt,MoorDe01,rec,0,,,,,
player,201009190clt,clt,MoorDe01,rec_yds,0,,,,,
player,201009190clt,clt,MoorDe01,rec_td,0,,,,,
player,201009190clt,clt,MoorDe01,rec_long,0,,,,,
player,201009190clt,clt,MoorDe01,fumbles,1,,,,,
player,201009190clt,clt,MoorDe01,fumbles_lost,1,,,,,
player,201009190clt,nyg,KiwaMa20,def_int,0,,,,,
player,201009190clt,nyg,KiwaMa20,def_int_yds,0,,,,,
player,201009190clt,nyg,KiwaMa20,def_int_td,0,,,,,
player,201009190clt,nyg,KiwaMa20,def_int_long,0,,,,,
player,201009190clt,nyg,KiwaMa20,pass_defended,0,,,,,
player,201009190clt,nyg,KiwaMa20,sacks,1.0,,,,,
player,201009190clt,nyg,KiwaMa20,tackles_combined,3,,,,,
player,201009190clt,nyg,KiwaMa20,tackles_solo,3,,,,,
player,201009190clt,nyg,KiwaMa20,tackles_assists,0,,,,,
player,201009190clt,nyg,KiwaMa20,tackles_loss,1,,,,,
player,201009190clt,nyg,KiwaMa20,qb_hits,1,,,,,
player,201009190clt,nyg,KiwaMa20,fumbles_rec,0,,,,,
player,201009190clt,nyg,KiwaMa20,fumbles_rec_yds,0,,,,,
player,201009190clt,nyg,KiwaMa20,fumbles_rec_td,0,,,,,
player,201009190clt,nyg,KiwaMa20,fumbles_forced,0,,,,,
player,201009190clt,nyg,BoleMi20,def_int,0,,,,,
player,201009190clt,nyg,BoleMi20,def_int_yds,0,,,,,
player,201009190clt,nyg,BoleMi20,def_int_td,0,,,,,
player,201009190clt,nyg,BoleMi20,def_int_long,0,,,,,
player,201009190clt,nyg,BoleMi20,pass_defended,0,,,,,
player,201009190clt,nyg,BoleMi20,sacks,0.0,,,,,
player,201009190clt,nyg,BoleMi20,tackles_combined,15,,,,,
player,201009190clt,nyg,BoleMi20,tackles_solo,11,,,,,
player,201009190clt,nyg,BoleMi20,tackles_assists,4,,,,,
player,201009190clt,nyg,BoleMi20,tackles_loss,1,,,,,
player,201009190clt,nyg,BoleMi20,qb_hits,0,,,,,
player,201009190clt,nyg,BoleMi20,fumbles_rec,0,,,,,
player,201009190clt,nyg,BoleMi20,fumbles_rec_yds,0,,,,,
player,201009190clt,nyg,BoleMi20,fumbles_rec_td,0,,,,,
player,201009190clt,nyg,BoleMi20,fumbles_forced,0,,,,,
player,201009190clt,nyg,GoffJo99,def_int,0,,,,,
player,201009190clt,nyg,GoffJo99,def_int_yds,0,,,,,
player,201009190clt,nyg,GoffJo99,def_int_td,0,,,,,
player,201009190clt,nyg,GoffJo99,def_int_long,0,,,,,
player,201009190clt,nyg,GoffJo99,pass_defended,0,,,,,
player,201009190clt,nyg,GoffJo99,sacks,0.0,,,,,
player,201009190clt,nyg,GoffJo99,tackles_combined,9,,,,,
player,201009190clt,nyg,GoffJo99,tackles_solo,8,,,,,
player,201009190clt,nyg,GoffJo99,tackles_assists,1,,,,,
player,201009190clt,nyg,GoffJo99,tackles_loss,0,,,,,
player,201009190clt,nyg,GoffJo99,qb_hits,0,,,,,
player,201009190clt,nyg,GoffJo99,fumbles_rec,0,,,,,
player,201009190clt,nyg,GoffJo99,fumbles_rec_yds,0,,,,,
player,201009190clt,nyg,GoffJo99,fumbles_rec_td,0,,,,,
player,201009190clt,nyg,GoffJo99,fumbles_forced,0,,,,,
player,201009190clt,nyg,RollAn20,def_int,0,,,,,
player,201009190clt,nyg,RollAn20,def_int_yds,0,,,,,
player,201009190clt,nyg,RollAn20,def_int_td,0,,,,,
player,201009190clt,nyg,RollAn20,def_int_long,0,,,,,
player,201009190clt,nyg,RollAn20,pass_defended,0,,,,,
player,201009190clt,nyg,RollAn20,sacks,0.0,,,,,
player,201009190clt,nyg,RollAn20,tackles_combined,8,,,,,
player,201009190clt,nyg,RollAn20,tackles_solo,7,,,,,
player,201009190clt,nyg,RollAn20,tackles_assists,1,,,,,
player,201009190clt,nyg,RollAn20,tackles_loss,0,,,,,
player,201009190clt,nyg,RollAn20,qb_hits,0,,,,,
player,201009190clt,nyg,RollAn20,fumbles_rec,0,,,,,
player,201009190clt,nyg,RollAn20,fumbles_rec_yds,0,,,,,
player,201009190clt,nyg,RollAn20,fumbles_rec_td,0,,,,,
player,201009190clt,nyg,RollAn20,fumbles_forced,0,,,,,
player,201009190clt,nyg,ThomTe99,def_int,0,,,,,
player,201009190clt,nyg,ThomTe99,def_int_yds,0,,,,,
player,201009190clt,nyg,ThomTe99,def_int_td,0,,,,,
player,201009190clt,nyg,ThomTe99,def_int_long,0,,,,,
player,201009190clt,nyg,ThomTe99,pass_defended,0,,,,,
player,201009190clt,nyg,ThomTe99,sacks,0.0,,,,,
player,201009190clt,nyg,ThomTe99,tackles_combined,7,,,,,
