game,2010,7,20101024,201010240oti,phi,"Philadelphia Eagles",19,oti,"Tennessee Titans",37
player,201010240oti,oti,BritKe00,fumbles_lost,,,,,,
player,201010240oti,oti,WillDa04,pass_cmp,0,,,,,
player,201010240oti,oti,WillDa04,pass_att,0,,,,,
player,201010240oti,oti,WillDa04,pass_yds,0,,,,,
player,201010240oti,oti,WillDa04,pass_td,0,,,,,
player,201010240oti,oti,WillDa04,pass_int,0,,,,,
player,201010240oti,oti,WillDa04,pass_sacked,,,,,,
player,201010240oti,oti,WillDa04,pass_sacked_yds,,,,,,
player,201010240oti,oti,WillDa04,pass_long,0,,,,,
player,201010240oti,oti,WillDa04,pass_rating,,,,,,
player,201010240oti,oti,WillDa04,rush_att,0,,,,,
player,201010240oti,oti,WillDa04,rush_yds,0,,,,,
player,201010240oti,oti,WillDa04,rush_td,0,,,,,
player,201010240oti,oti,WillDa04,rush_long,0,,,,,
player,201010240oti,oti,WillDa04,targets,4,,,,,
player,201010240oti,oti,WillDa04,rec,3,,,,,
player,201010240oti,oti,WillDa04,rec_yds,25,,,,,
player,201010240oti,oti,WillDa04,rec_td,0,,,,,
player,201010240oti,oti,WillDa04,rec_long,16,,,,,
player,201010240oti,oti,WillDa04,fumbles,0,,,,,
player,201010240oti,oti,WillDa04,fumbles_lost,,,,,,
player,201010240oti,oti,ScaiBo00,pass_cmp,0,,,,,
player,201010240oti,oti,ScaiBo00,pass_att,0,,,,,
player,201010240oti,oti,ScaiBo00,pass_yds,0,,,,,
player,201010240oti,oti,ScaiBo00,pass_td,0,,,,,
player,201010240oti,oti,ScaiBo00,pass_int,0,,,,,
player,201010240oti,oti,ScaiBo00,pass_sacked,,,,,,
player,201010240oti,oti,ScaiBo00,pass_sacked_yds,,,,,,
player,201010240oti,oti,ScaiBo00,pass_long,0,,,,,
player,201010240oti,oti,ScaiBo00,pass_rating,,,,,,
player,201010240oti,oti,ScaiBo00,rush_att,0,,,,,
player,201010240oti,oti,ScaiBo00,rush_yds,0,,,,,
player,201010240oti,oti,ScaiBo00,rush_td,0,,,,,
player,201010240oti,oti,ScaiBo00,rush_long,0,,,,,
player,201010240oti,oti,ScaiBo00,targets,5,,,,,
player,201010240oti,oti,ScaiBo00,rec,3,,,,,
player,201010240oti,oti,ScaiBo00,rec_yds,7,,,,,
player,201010240oti,oti,ScaiBo00,rec_td,0,,,,,
player,201010240oti,oti,ScaiBo00,rec_long,3,,,,,
player,201010240oti,oti,ScaiBo00,fumbles,0,,,,,
player,201010240oti,oti,ScaiBo00,fumbles_lost,,,,,,
player,201010240oti,oti,WashNa00,pass_cmp,0,,,,,
player,201010240oti,oti,WashNa00,pass_att,0,,,,,
player,201010240oti,oti,WashNa00,pass_yds,0,,,,,
player,201010240oti,oti,WashNa00,pass_td,0,,,,,
player,201010240oti,oti,WashNa00,pass_int,0,,,,,
player,201010240oti,oti,WashNa00,pass_sacked,,,,,,
player,201010240oti,oti,WashNa00,pass_sacked_yds,,,,,,
player,201010240oti,oti,WashNa00,pass_long,0,,,,,
player,201010240oti,oti,WashNa00,pass_rating,,,,,,
player,201010240oti,oti,WashNa00,rush_att,0,,,,,
player,201010240oti,oti,WashNa00,rush_yds,0,,,,,
player,201010240oti,oti,WashNa00,rush_td,0,,,,,
player,201010240oti,oti,WashNa00,rush_long,0,,,,,
player,201010240oti,oti,WashNa00,targets,4,,,,,
player,201010240oti,oti,WashNa00,rec,1,,,,,
player,201010240oti,oti,WashNa00,rec_yds,7,,,,,
player,201010240oti,oti,WashNa00,rec_td,0,,,,,
player,201010240oti,oti,WashNa00,rec_long,7,,,,,
player,201010240oti,oti,WashNa00,fumbles,0,,,,,
player,201010240oti,oti,WashNa00,fumbles_lost,,,,,,
player,201010240oti,oti,HawkLa00,pass_cmp,0,,,,,
player,201010240oti,oti,HawkLa00,pass_att,0,,,,,
player,201010240oti,oti,HawkLa00,pass_yds,0,,,,,
player,201010240oti,oti,HawkLa00,pass_td,0,,,,,
player,201010240oti,oti,HawkLa00,pass_int,0,,,,,
player,201010240oti,oti,HawkLa00,pass_sacked,,,,,,
player,201010240oti,oti,HawkLa00,pass_sacked_yds,,,,,,
player,201010240oti,oti,HawkLa00,pass_long,0,,,,,
player,201010240oti,oti,HawkLa00,pass_rating,,,,,,
player,201010240oti,oti,HawkLa00,rush_att,0,,,,,
player,201010240oti,oti,HawkLa00,rush_yds,0,,,,,
player,201010240oti,oti,HawkLa00,rush_td,0,,,,,
player,201010240oti,oti,HawkLa00,rush_long,0,,,,,
player,201010240oti,oti,HawkLa00,targets,1,,,,,
player,201010240oti,oti,HawkLa00,rec,1,,,,,
player,201010240oti,oti,HawkLa00,rec_yds,5,,,,,
player,201010240oti,oti,HawkLa00,rec_td,0,,,,,
player,201010240oti,oti,HawkLa00,rec_long,5,,,,,
player,201010240oti,oti,HawkLa00,fumbles,0,,,,,
