game,2010,2,20100919,201009190rai,ram,"St. Louis Rams",14,rai,"Oakland Raiders",16
player,201009190rai,ram,FellDa00,pass_int,0,,,,,
player,201009190rai,ram,FellDa00,pass_sacked,,,,,,
player,201009190rai,ram,FellDa00,pass_sacked_yds,,,,,,
player,201009190rai,ram,FellDa00,pass_long,0,,,,,
player,201009190rai,ram,FellDa00,pass_rating,,,,,,
player,201009190rai,ram,FellDa00,rush_att,0,,,,,
player,201009190rai,ram,FellDa00,rush_yds,0,,,,,
player,201009190rai,ram,FellDa00,rush_td,0,,,,,
player,201009190rai,ram,FellDa00,rush_long,0,,,,,
player,201009190rai,ram,FellDa00,targets,2,,,,,
player,201009190rai,ram,FellDa00,rec,1,,,,,
player,201009190rai,ram,FellDa00,rec_yds,36,,,,,
player,201009190rai,ram,FellDa00,rec_td,0,,,,,
player,201009190rai,ram,FellDa00,rec_long,36,,,,,
player,201009190rai,ram,FellDa00,fumbles,0,,,,,
player,201009190rai,ram,FellDa00,fumbles_lost,,,,,,
player,201009190rai,ram,ClayMa01,pass_cmp,0,,,,,
player,201009190rai,ram,ClayMa01,pass_att,0,,,,,
player,201009190rai,ram,ClayMa01,pass_yds,0,,,,,
player,201009190rai,ram,ClayMa01,pass_td,0,,,,,
player,201009190rai,ram,ClayMa01,pass_int,0,,,,,
player,201009190rai,ram,ClayMa01,pass_sacked,,,,,,
player,201009190rai,ram,ClayMa01,pass_sacked_yds,,,,,,
player,201009190rai,ram,ClayMa01,pass_long,0,,,,,
player,201009190rai,ram,ClayMa01,pass_rating,,,,,,
player,201009190rai,ram,ClayMa01,rush_att,0,,,,,
player,201009190rai,ram,ClayMa01,rush_yds,0,,,,,
player,201009190rai,ram,ClayMa01,rush_td,0,,,,,
player,201009190rai,ram,ClayMa01,rush_long,0,,,,,
player,201009190rai,ram,ClayMa01,targets,5,,,,,
player,201009190rai,ram,ClayMa01,rec,2,,,,,
player,201009190rai,ram,ClayMa01,rec_yds,24,,,,,
player,201009190rai,ram,ClayMa01,rec_td,2,,,,,
player,201009190rai,ram,ClayMa01,rec_long,17,,,,,
player,201009190rai,ram,ClayMa01,fumbles,0,,,,,
player,201009190rai,ram,ClayMa01,fumbles_lost,,,,,,
player,201009190rai,ram,BajeBi00,pass_cmp,0,,,,,
player,201009190rai,ram,BajeBi00,pass_att,0,,,,,
player,201009190rai,ram,BajeBi00,pass_yds,0,,,,,
player,201009190rai,ram,BajeBi00,pass_td,0,,,,,
player,201009190rai,ram,BajeBi00,pass_int,0,,,,,
player,201009190rai,ram,BajeBi00,pass_sacked,,,,,,
player,201009190rai,ram,BajeBi00,pass_sacked_yds,,,,,,
player,201009190rai,ram,BajeBi00,pass_long,0,,,,,
player,201009190rai,ram,BajeBi00,pass_rating,,,,,,
player,201009190rai,ram,BajeBi00,rush_att,0,,,,,
player,201009190rai,ram,BajeBi00,rush_yds,0,,,,,
player,201009190rai,ram,BajeBi00,rush_td,0,,,,,
player,201009190rai,ram,BajeBi00,rush_long,0,,,,,
player,201009190rai,ram,BajeBi00,targets,1,,,,,
player,201009190rai,ram,BajeBi00,rec,1,,,,,
player,201009190rai,ram,BajeBi00,rec_yds,13,,,,,
player,201009190rai,ram,BajeBi00,rec_td,0,,,,,
player,201009190rai,ram,BajeBi00,rec_long,13,,,,,
player,201009190rai,ram,BajeBi00,fumbles,0,,,,,
player,201009190rai,ram,BajeBi00,fumbles_lost,,,,,,
player,201009190rai,ram,RobiLa01,pass_cmp,0,,,,,
player,201009190rai,ram,RobiLa01,pass_att,0,,,,,
player,201009190rai,ram,RobiLa01,pass_yds,0,,,,,
player,201009190rai,ram,RobiLa01,pass_td,0,,,,,
player,201009190rai,ram,RobiLa01,pass_int,0,,,,,
player,201009190rai,ram,RobiLa01,pass_sacked,,,,,,
player,201009190rai,ram,RobiLa01,pass_sacked_yds,,,,,,
player,201009190rai,ram,RobiLa01,pass_long,0,,,,,
player,201009190rai,ram,RobiLa01,pass_rating,,,,,,
player,201009190rai,ram,RobiLa01,rush_att,0,,,,,
player,201009190rai,ram,RobiLa01,rush_yds,0,,,,,
player,201009190rai,ram,RobiLa01,rush_td,0,,,,,
player,201009190rai,ram,RobiLa01,rush_long,0,,,,,
player,201009190rai,ram,RobiLa01,targets,4,,,,,
player,201009190rai,ram,RobiLa01,rec,1,,,,,
player,201009190rai,ram,RobiLa01,rec_yds,4,,,,,
player,201009190rai,ram,RobiLa01,rec_td,0,,,,,
player,201009190rai,ram,RobiLa01,rec_long,4,,,,,
player,201009190rai,ram,RobiLa01,fumbles,0,,,,,
player,201009190rai,ram,RobiLa01,fumbles_lost,,,,,,
player,201009190rai,ram,KarnMi00,pass_cmp,0,,,,,
player,201009190rai,ram,KarnMi00,pass_att,0,,,,,
player,201009190rai,ram,KarnMi00,pass_yds,0,,,,,
player,201009190rai,ram,KarnMi00,pass_td,0,,,,,
player,201009190rai,ram,KarnMi00,pass_int,0,,,,,
player,201009190rai,ram,KarnMi00,pass_sacked,,,,,,
player,201009190rai,ram,KarnMi00,pass_sacked_yds,,,,,,
player,201009190rai,ram,KarnMi00,pass_long,0,,,,,
player,201009190rai,ram,KarnMi00,pass_rating,,,,,,
player,201009190rai,ram,KarnMi00,rush_att,0,,,,,
player,201009190rai,ram,KarnMi00,rush_yds,0,,,,,
player,201009190rai,ram,KarnMi00,rush_td,0,,,,,
player,201009190rai,ram,KarnMi00,rush_long,0,,,,,
player,201009190rai,ram,KarnMi00,targets,1,,,,,
player,201009190rai,ram,KarnMi00,rec,1,,,,,
player,201009190rai,ram,KarnMi00,rec_yds,1,,,,,
player,201009190rai,ram,KarnMi00,rec_td,0,,,,,
player,201009190rai,ram,KarnMi00,rec_long,1,,,,,
player,201009190rai,ram,KarnMi00,fumbles,0,,,,,
player,201009190rai,ram,KarnMi00,fumbles_lost,,,,,,
player,201009190rai,ram,DarbKe00,pass_cmp,0,,,,,
player,201009190rai,ram,DarbKe00,pass_att,0,,,,,
player,201009190rai,ram,DarbKe00,pass_yds,0,,,,,
player,201009190rai,ram,DarbKe00,pass_td,0,,,,,
player,201009190rai,ram,DarbKe00,pass_int,0,,,,,
player,201009190rai,ram,DarbKe00,pass_sacked,,,,,,
player,201009190rai,ram,DarbKe00,pass_sacked_yds,,,,,,
player,201009190rai,ram,DarbKe00,pass_long,0,,,,,
player,201009190rai,ram,DarbKe00,pass_rating,,,,,,
player,201009190rai,ram,DarbKe00,rush_att,2,,,,,
player,201009190rai,ram,DarbKe00,rush_yds,0,,,,,
player,201009190rai,ram,DarbKe00,rush_td,0,,,,,
player,201009190rai,ram,DarbKe00,rush_long,3,,,,,
player,201009190rai,ram,DarbKe00,targets,0,,,,,
player,201009190rai,ram,DarbKe00,rec,0,,,,,
player,201009190rai,ram,DarbKe00,rec_yds,0,,,,,
player,201009190rai,ram,DarbKe00,rec_td,0,,,,,
player,201009190rai,ram,DarbKe00,rec_long,0,,,,,
player,201009190rai,ram,DarbKe00,fumbles,0,,,,,
player,201009190rai,ram,DarbKe00,fumbles_lost,,,,,,
player,201009190rai,rai,GradBr00,pass_cmp,11,,,,,
player,201009190rai,rai,GradBr00,pass_att,21,,,,,
player,201009190rai,rai,GradBr00,pass_yds,162,,,,,
player,201009190rai,rai,GradBr00,pass_td,1,,,,,
player,201009190rai,rai,GradBr00,pass_int,1,,,,,
player,201009190rai,rai,GradBr00,pass_sacked,0,,,,,
player,201009190rai,rai,GradBr00,pass_sacked_yds,0,,,,,
player,201009190rai,rai,GradBr00,pass_long,33,,,,,
player,201009190rai,rai,GradBr00,pass_rating,73.9,,,,,
player,201009190rai,rai,GradBr00,rush_att,4,,,,,
player,201009190rai,rai,GradBr00,rush_yds,0,,,,,
player,201009190rai,rai,GradBr00,rush_td,0,,,,,
player,201009190rai,rai,GradBr00,rush_long,5,,,,,
player,201009190rai,rai,GradBr00,targets,0,,,,,
player,201009190rai,rai,GradBr00,rec,0,,,,,
player,201009190rai,rai,GradBr00,rec_yds,0,,,,,
player,201009190rai,rai,GradBr00,rec_td,0,,,,,
player,201009190rai,rai,GradBr00,rec_long,0,,,,,
player,201009190rai,rai,GradBr00,fumbles,0,,,,,
player,201009190rai,rai,GradBr00,fumbles_lost,,,,,,
player,201009190rai,rai,CampJa00,pass_cmp,8,,,,,
player,201009190rai,rai,CampJa00,pass_att,15,,,,,
player,201009190rai,rai,CampJa00,pass_yds,87,,,,,
player,201009190rai,rai,CampJa00,pass_td,0,,,,,
player,201009190rai,rai,CampJa00,pass_int,1,,,,,
player,201009190rai,rai,CampJa00,pass_sacked,2,,,,,
player,201009190rai,rai,CampJa00,pass_sacked_yds,18,,,,,
player,201009190rai,rai,CampJa00,pass_long,27,,,,,
player,201009190rai,rai,CampJa00,pass_rating,42.9,,,,,
player,201009190rai,rai,CampJa00,rush_att,3,,,,,
player,201009190rai,rai,CampJa00,rush_yds,19,,,,,
player,201009190rai,rai,CampJa00,rush_td,0,,,,,
player,201009190rai,rai,CampJa00,rush_long,9,,,,,
player,201009190rai,rai,CampJa00,targets,0,,,,,
player,201009190rai,rai,CampJa00,rec,0,,,,,
player,201009190rai,rai,CampJa00,rec_yds,0,,,,,
player,201009190rai,rai,CampJa00,rec_td,0,,,,,
player,201009190rai,rai,CampJa00,rec_long,0,,,,,
player,201009190rai,rai,CampJa00,fumbles,2,,,,,
player,201009190rai,rai,CampJa00,fumbles_lost,0,,,,,
player,201009190rai,rai,McFaDa00,pass_cmp,0,,,,,
player,201009190rai,rai,McFaDa00,pass_att,0,,,,,
player,201009190rai,rai,McFaDa00,pass_yds,0,,,,,
player,201009190rai,rai,McFaDa00,pass_td,0,,,,,
player,201009190rai,rai,McFaDa00,pass_int,0,,,,,
player,201009190rai,rai,McFaDa00,pass_sacked,,,,,,
player,201009190rai,rai,McFaDa00,pass_sacked_yds,,,,,,
player,201009190rai,rai,McFaDa00,pass_long,0,,,,,
player,201009190rai,rai,McFaDa00,pass_rating,,,,,,
player,201009190rai,rai,McFaDa00,rush_att,30,,,,,
player,201009190rai,rai,McFaDa00,rush_yds,145,,,,,
player,201009190rai,rai,McFaDa00,rush_td,0,,,,,
player,201009190rai,rai,McFaDa00,rush_long,30,,,,,
player,201009190rai,rai,McFaDa00,targets,4,,,,,
player,201009190rai,rai,McFaDa00,rec,2,,,,,
player,201009190rai,rai,McFaDa00,rec_yds,8,,,,,
player,201009190rai,rai,McFaDa00,rec_td,0,,,,,
player,201009190rai,rai,McFaDa00,rec_long,5,,,,,
player,201009190rai,rai,McFaDa00,fumbles,0,,,,,
player,201009190rai,rai,McFaDa00,fumbles_lost,,,,,,
player,201009190rai,rai,ReecMa00,pass_cmp,0,,,,,
player,201009190rai,rai,ReecMa00,pass_att,0,,,,,
player,201009190rai,rai,ReecMa00,pass_yds,0,,,,,
player,201009190rai,rai,ReecMa00,pass_td,0,,,,,
player,201009190rai,rai,ReecMa00,pass_int,0,,,,,
player,201009190rai,rai,ReecMa00,pass_sacked,,,,,,
player,201009190rai,rai,ReecMa00,pass_sacked_yds,,,,,,
player,201009190rai,rai,ReecMa00,pass_long,0,,,,,
player,201009190rai,rai,ReecMa00,pass_rating,,,,,,
player,201009190rai,rai,ReecMa00,rush_att,3,,,,,
player,201009190rai,rai,ReecMa00,rush_yds,9,,,,,
player,201009190rai,rai,ReecMa00,rush_td,0,,,,,
player,201009190rai,rai,ReecMa00,rush_long,5,,,,,
player,201009190rai,rai,ReecMa00,targets,3,,,,,
player,201009190rai,rai,ReecMa00,rec,2,,,,,
player,201009190rai,rai,ReecMa00,rec_yds,21,,,,,
player,201009190rai,rai,ReecMa00,rec_td,0,,,,,
player,201009190rai,rai,ReecMa00,rec_long,19,,,,,
player,201009190rai,rai,ReecMa00,fumbles,0,,,,,
player,201009190rai,rai,ReecMa00,fumbles_lost,,,,,,
player,201009190rai,rai,MurpLo00,pass_cmp,0,,,,,
player,201009190rai,rai,MurpLo00,pass_att,0,,,,,
player,201009190rai,rai,MurpLo00,pass_yds,0,,,,,
player,201009190rai,rai,MurpLo00,pass_td,0,,,,,
player,201009190rai,rai,MurpLo00,pass_int,0,,,,,
player,201009190rai,rai,MurpLo00,pass_sacked,,,,,,
player,201009190rai,rai,MurpLo00,pass_sacked_yds,,,,,,
player,201009190rai,rai,MurpLo00,pass_long,0,,,,,
player,201009190rai,rai,MurpLo00,pass_rating,,,,,,
player,201009190rai,rai,MurpLo00,rush_att,0,,,,,
player,201009190rai,rai,MurpLo00,rush_yds,0,,,,,
player,201009190rai,rai,MurpLo00,rush_td,0,,,,,
player,201009190rai,rai,MurpLo00,rush_long,0,,,,,
player,201009190rai,rai,MurpLo00,targets,10,,,,,
player,201009190rai,rai,MurpLo00,rec,6,,,,,
player,201009190rai,rai,MurpLo00,rec_yds,91,,,,,
player,201009190rai,rai,MurpLo00,rec_td,1,,,,,
player,201009190rai,rai,MurpLo00,rec_long,27,,,,,
player,201009190rai,rai,MurpLo00,fumbles,0,,,,,
player,201009190rai,rai,MurpLo00,fumbles_lost,,,,,,
player,201009190rai,rai,HeywDa00,pass_cmp,0,,,,,
player,201009190rai,rai,HeywDa00,pass_att,0,,,,,
player,201009190rai,rai,HeywDa00,pass_yds,0,,,,,
player,201009190rai,rai,HeywDa00,pass_td,0,,,,,
player,201009190rai,rai,HeywDa00,pass_int,0,,,,,
player,201009190rai,rai,HeywDa00,pass_sacked,,,,,,
player,201009190rai,rai,HeywDa00,pass_sacked_yds,,,,,,
player,201009190rai,rai,HeywDa00,pass_long,0,,,,,
player,201009190rai,rai,HeywDa00,pass_rating,,,,,,
player,201009190rai,rai,HeywDa00,rush_att,0,,,,,
player,201009190rai,rai,HeywDa00,rush_yds,0,,,,,
player,201009190rai,rai,HeywDa00,rush_td,0,,,,,
player,201009190rai,rai,HeywDa00,rush_long,0,,,,,
player,201009190rai,rai,HeywDa00,targets,13,,,,,
player,201009190rai,rai,HeywDa00,rec,6,,,,,
player,201009190rai,rai,HeywDa00,rec_yds,80,,,,,
player,201009190rai,rai,HeywDa00,rec_td,0,,,,,
player,201009190rai,rai,HeywDa00,rec_long,33,,,,,
player,201009190rai,rai,HeywDa00,fumbles,0,,,,,
player,201009190rai,rai,HeywDa00,fumbles_lost,,,,,,
player,201009190rai,rai,MillZa01,pass_cmp,0,,,,,
player,201009190rai,rai,MillZa01,pass_att,0,,,,,
player,201009190rai,rai,MillZa01,pass_yds,0,,,,,
player,201009190rai,rai,MillZa01,pass_td,0,,,,,
player,201009190rai,rai,MillZa01,pass_int,0,,,,,
player,201009190rai,rai,MillZa01,pass_sacked,,,,,,
player,201009190rai,rai,MillZa01,pass_sacked_yds,,,,,,
player,201009190rai,rai,MillZa01,pass_long,0,,,,,
player,201009190rai,rai,MillZa01,pass_rating,,,,,,
player,201009190rai,rai,MillZa01,rush_att,0,,,,,
player,201009190rai,rai,MillZa01,rush_yds,0,,,,,
player,201009190rai,rai,MillZa01,rush_td,0,,,,,
player,201009190rai,rai,MillZa01,rush_long,0,,,,,
player,201009190rai,rai,MillZa01,targets,4,,,,,
player,201009190rai,rai,MillZa01,rec,3,,,,,
player,201009190rai,rai,MillZa01,rec_yds,49,,,,,
player,201009190rai,rai,MillZa01,rec_td,0,,,,,
player,201009190rai,rai,MillZa01,rec_long,24,,,,,
player,201009190rai,rai,MillZa01,fumbles,0,,,,,
player,201009190rai,rai,MillZa01,fumbles_lost,,,,,,
player,201009190rai,rai,MyerBr00,pass_cmp,0,,,,,
player,201009190rai,rai,MyerBr00,pass_att,0,,,,,
player,201009190rai,rai,MyerBr00,pass_yds,0,,,,,
player,201009190rai,rai,MyerBr00,pass_td,0,,,,,
player,201009190rai,rai,MyerBr00,pass_int,0,,,,,
player,201009190rai,rai,MyerBr00,pass_sacked,,,,,,
player,201009190rai,rai,MyerBr00,pass_sacked_yds,,,,,,
player,201009190rai,rai,MyerBr00,pass_long,0,,,,,
player,201009190rai,rai,MyerBr00,pass_rating,,,,,,
player,201009190rai,rai,MyerBr00,rush_att,0,,,,,
player,201009190rai,rai,MyerBr00,rush_yds,0,,,,,
player,201009190rai,rai,MyerBr00,rush_td,0,,,,,
player,201009190rai,rai,MyerBr00,rush_long,0,,,,,
player,201009190rai,rai,MyerBr00,targets,1,,,,,
player,201009190rai,rai,MyerBr00,rec,0,,,,,
player,201009190rai,rai,MyerBr00,rec_yds,0,,,,,
player,201009190rai,rai,MyerBr00,rec_td,0,,,,,
player,201009190rai,rai,MyerBr00,rec_long,0,,,,,
player,201009190rai,rai,MyerBr00,fumbles,1,,,,,
player,201009190rai,rai,MyerBr00,fumbles_lost,0,,,,,
player,201009190rai,rai,HiggJo00,pass_cmp,0,,,,,
player,201009190rai,rai,HiggJo00,pass_att,0,,,,,
player,201009190rai,rai,HiggJo00,pass_yds,0,,,,,
player,201009190rai,rai,HiggJo00,pass_td,0,,,,,
player,201009190rai,rai,HiggJo00,pass_int,0,,,,,
player,201009190rai,rai,HiggJo00,pass_sacked,,,,,,
player,201009190rai,rai,HiggJo00,pass_sacked_yds,,,,,,
player,201009190rai,rai,HiggJo00,pass_long,0,,,,,
player,201009190rai,rai,HiggJo00,pass_rating,,,,,,
player,201009190rai,rai,HiggJo00,rush_att,0,,,,,
player,201009190rai,rai,HiggJo00,rush_yds,0,,,,,
player,201009190rai,rai,HiggJo00,rush_td,0,,,,,
player,201009190rai,rai,HiggJo00,rush_long,0,,,,,
player,201009190rai,rai,HiggJo00,targets,1,,,,,
player,201009190rai,rai,HiggJo00,rec,0,,,,,
player,201009190rai,rai,HiggJo00,rec_yds,0,,,,,
player,201009190rai,rai,HiggJo00,rec_td,0,,,,,
player,201009190rai,rai,HiggJo00,rec_long,0,,,,,
player,201009190rai,rai,HiggJo00,fumbles,0,,,,,
player,201009190rai,rai,HiggJo00,fumbles_lost,,,,,,
player,201009190rai,ram,ButlJa20,def_int,1,,,,,
player,201009190rai,ram,ButlJa20,def_int_yds,-3,,,,,
player,201009190rai,ram,ButlJa20,def_int_td,0,,,,,
player,201009190rai,ram,ButlJa20,def_int_long,-3,,,,,
player,201009190rai,ram,ButlJa20,pass_defended,1,,,,,
player,201009190rai,ram,ButlJa20,sacks,0.0,,,,,
player,201009190rai,ram,ButlJa20,tackles_combined,1,,,,,
player,201009190rai,ram,ButlJa20,tackles_solo,0,,,,,
player,201009190rai,ram,ButlJa20,tackles_assists,1,,,,,
player,201009190rai,ram,ButlJa20,tackles_loss,0,,,,,
player,201009190rai,ram,ButlJa20,qb_hits,0,,,,,
player,201009190rai,ram,ButlJa20,fumbles_rec,0,,,,,
player,201009190rai,ram,ButlJa20,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,ButlJa20,fumbles_rec_td,0,,,,,
player,201009190rai,ram,ButlJa20,fumbles_forced,0,,,,,
player,201009190rai,ram,MurpJe99,def_int,1,,,,,
player,201009190rai,ram,MurpJe99,def_int_yds,19,,,,,
player,201009190rai,ram,MurpJe99,def_int_td,0,,,,,
player,201009190rai,ram,MurpJe99,def_int_long,19,,,,,
player,201009190rai,ram,MurpJe99,pass_defended,1,,,,,
player,201009190rai,ram,MurpJe99,sacks,0.0,,,,,
player,201009190rai,ram,MurpJe99,tackles_combined,1,,,,,
player,201009190rai,ram,MurpJe99,tackles_solo,1,,,,,
player,201009190rai,ram,MurpJe99,tackles_assists,0,,,,,
player,201009190rai,ram,MurpJe99,tackles_loss,0,,,,,
player,201009190rai,ram,MurpJe99,qb_hits,0,,,,,
player,201009190rai,ram,MurpJe99,fumbles_rec,0,,,,,
player,201009190rai,ram,MurpJe99,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,MurpJe99,fumbles_rec_td,0,,,,,
player,201009190rai,ram,MurpJe99,fumbles_forced,0,,,,,
player,201009190rai,ram,LaurJa99,def_int,0,,,,,
player,201009190rai,ram,LaurJa99,def_int_yds,0,,,,,
player,201009190rai,ram,LaurJa99,def_int_td,0,,,,,
player,201009190rai,ram,LaurJa99,def_int_long,0,,,,,
player,201009190rai,ram,LaurJa99,pass_defended,0,,,,,
player,201009190rai,ram,LaurJa99,sacks,1.0,,,,,
player,201009190rai,ram,LaurJa99,tackles_combined,9,,,,,
player,201009190rai,ram,LaurJa99,tackles_solo,9,,,,,
player,201009190rai,ram,LaurJa99,tackles_assists,0,,,,,
player,201009190rai,ram,LaurJa99,tackles_loss,1,,,,,
player,201009190rai,ram,LaurJa99,qb_hits,1,,,,,
player,201009190rai,ram,LaurJa99,fumbles_rec,0,,,,,
player,201009190rai,ram,LaurJa99,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,LaurJa99,fumbles_rec_td,0,,,,,
player,201009190rai,ram,LaurJa99,fumbles_forced,0,,,,,
player,201009190rai,ram,HallJa21,def_int,0,,,,,
player,201009190rai,ram,HallJa21,def_int_yds,0,,,,,
player,201009190rai,ram,HallJa21,def_int_td,0,,,,,
player,201009190rai,ram,HallJa21,def_int_long,0,,,,,
player,201009190rai,ram,HallJa21,pass_defended,0,,,,,
player,201009190rai,ram,HallJa21,sacks,1.0,,,,,
player,201009190rai,ram,HallJa21,tackles_combined,6,,,,,
player,201009190rai,ram,HallJa21,tackles_solo,6,,,,,
player,201009190rai,ram,HallJa21,tackles_assists,0,,,,,
player,201009190rai,ram,HallJa21,tackles_loss,1,,,,,
player,201009190rai,ram,HallJa21,qb_hits,0,,,,,
player,201009190rai,ram,HallJa21,fumbles_rec,0,,,,,
player,201009190rai,ram,HallJa21,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,HallJa21,fumbles_rec_td,0,,,,,
player,201009190rai,ram,HallJa21,fumbles_forced,2,,,,,
player,201009190rai,ram,DahlCr99,def_int,0,,,,,
player,201009190rai,ram,DahlCr99,def_int_yds,0,,,,,
player,201009190rai,ram,DahlCr99,def_int_td,0,,,,,
player,201009190rai,ram,DahlCr99,def_int_long,0,,,,,
player,201009190rai,ram,DahlCr99,pass_defended,0,,,,,
player,201009190rai,ram,DahlCr99,sacks,0.0,,,,,
player,201009190rai,ram,DahlCr99,tackles_combined,10,,,,,
player,201009190rai,ram,DahlCr99,tackles_solo,9,,,,,
player,201009190rai,ram,DahlCr99,tackles_assists,1,,,,,
player,201009190rai,ram,DahlCr99,tackles_loss,0,,,,,
player,201009190rai,ram,DahlCr99,qb_hits,0,,,,,
player,201009190rai,ram,DahlCr99,fumbles_rec,0,,,,,
player,201009190rai,ram,DahlCr99,fumbles_rec_yds,0,,,,,
